AWAY,HOME,VegasSpread,VegasTotal,Court,Time
San Diego St.,Utah St.,-1,127,H,08:00 PM
Stanford,Utah,1,137,H,04:00 PM
BYU,Saint Mary's,-2,128,H,10:00 PM
Purdue,Indiana,-4,126,H,06:00 PM
UNC Greensboro,Samford,1,147,H,06:00 PM
Santa Clara,Pacific,-3,129,H,04:00 PM
Pepperdine,Gonzaga,-26,172,H,08:00 PM
Arizona,Oregon St.,7,141,H,10:00 PM
UCF,Temple,4,132,H,11:00 AM
Washington St.,UCLA,-9,125,H,04:00 PM
Southern Utah,Eastern Washington,-6,154,H,08:05 PM
LIU Brooklyn,Wagner,-1,141,H,06:00 PM
Bryant,St. Francis PA,8,164,H,06:00 PM
Washington,USC,-16,136,H,07:30 PM
California,Colorado,-15,133,H,01:00 PM
Morehead St.,Eastern Illinois,-4,130,H,08:00 PM
San Francisco,Portland,10,146,H,07:00 PM
Florida Atlantic,FIU,-7,139,H,06:00 PM
Murray St.,Southeast Missouri St.,4,136,H,08:00 PM
Colorado St.,San Jose St.,12,158,H,08:30 PM
Merrimack,Mount St. Mary's,-2,118,H,06:00 PM
Central Connecticut,Sacred Heart,-2,148,H,06:00 PM
Belmont,Tennessee Tech,9,147,H,06:00 PM
Hampton,USC Upstate,-3,143,H,05:00 PM
Longwood,Winthrop,-14,156,H,05:00 PM
Northern Colorado,Idaho,4,136,H,08:00 PM
Tennessee St.,Jacksonville St.,-8,126,H,07:30 PM
New Mexico,UNLV,-11,139,H,
Portland St.,Montana St.,-10,150,H,07:00 PM
Charleston Southern,UNC Asheville,-10,136,H,03:00 PM
Northern Arizona,Montana,-12,126,H,06:00 PM
Presbyterian,Campbell,-11,137,H,06:00 PM
