AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Reg_dif,Over_dif
Michigan St.,Butler,1,129,H,06:00 PM,19.2,17.7
UC Riverside,San Diego,-1,139,H,09:30 PM,-8.0,-6.2
Missouri St.,Sam Houston St.,1,149,H,07:30 PM,-0.2,1.0
St. John's,Indiana,-7,145,H,08:00 PM,-1.7,-3.9
Toledo,Oakland,1,143,H,06:00 PM,-6.3,-3.7
North Carolina St.,Oklahoma St.,-5,135,N,07:00 PM,-9.2,-13.3
VCU,Vanderbilt,-5,135,H,07:00 PM,3.5,1.1
Boston College,Rhode Island,-5,135,H,05:00 PM,-2.9,-4.4
Utah Valley,Long Beach St.,-1,153,H,09:00 PM,8.5,14.8
UC Davis,Pepperdine,-3,145,H,09:00 PM,15.6,19.3
Harvard,Albany,-1,139,H,06:00 PM,6.8,5.4
Northern Iowa,Arkansas,-10,142,H,07:00 PM,-2.7,-2.4
George Mason,Maryland,-8,132,H,06:00 PM,22.7,17.8
Saint Peter's,Wagner,-3,127,H,06:00 PM,-26.4,-26.4
Loyola MD,Coppin St.,-1,145,H,06:00 PM,-20.8,-17.3
Marist,Princeton,-3,127,H,06:00 PM,-11.2,-9.4
Tulane,Florida St.,-14,138,H,07:00 PM,-11.0,-14.5
Montana St.,South Dakota St.,-12,156,H,07:00 PM,-10.9,-13.3
Denver,Texas A&M Corpus Chris,1,143,N,01:00 PM,-7.5,-7.9
Rider,Bucknell,3,145,H,06:00 PM,-10.4,-11.0
Valparaiso,Stanford,-9,133,H,07:30 PM,7.7,12.0
Northern Colorado,Texas,-20,138,H,07:30 PM,-2.5,-5.0
Drexel,Saint Joseph's,-6,142,H,06:00 PM,1.7,3.8
La Salle,Delaware,-7,141,H,06:00 PM,3.6,3.3
Merrimack,Army,5,123,H,05:00 PM,-18.7,-13.3
LIU Brooklyn,Connecticut,-20,144,H,05:30 PM,-27.4,-26.3
Texas Southern,Air Force,3,131,H,08:00 PM,-2.0,0.6
Lipscomb,Dayton,-7,133,H,06:00 PM,29.2,29.4
Binghamton,Columbia,2,140,H,06:00 PM,6.1,4.8
North Florida,UCLA,-27,143,H,09:30 PM,3.6,2.1
Stetson,Miami OH,-11,145,H,06:00 PM,-22.6,-21.6
Prairie View A&M,Grand Canyon,-11,135,H,08:00 PM,-21.7,-20.3
Central Arkansas,Baylor,-29,151,H,07:00 PM,-2.3,0.8
Detroit,Mississippi St.,-17,141,H,07:00 PM,-11.6,-10.6
Charleston Southern,Wake Forest,-16,146,H,06:00 PM,-8.7,-8.8
Central Connecticut,UMass Lowell,-6,144,N,04:00 PM,-11.1,-13.4
Bellarmine,Saint Mary's,-17,127,H,09:00 PM,3.7,2.5
Little Rock,Loyola Marymount,-17,137,H,09:00 PM,11.0,14.0
Houston Baptist,Texas A&M,-20,146,H,12:00 PM,-2.2,-0.8
Nebraska Omaha,Kansas St.,-20,132,H,07:00 PM,-0.5,-0.5
IUPUI,UTSA,-12,138,H,04:30 PM,16.7,24.5
