AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Date,Reg_dif,Over_dif
Nevada,Arizona St.,-0.6,135,N,10:00 PM,20230315,-3.4,-8.4
Utah Valley,New Mexico,-5.7,160,N,8:00 PM,20230315,5.3,12.3
UCF,Florida,-2.7,137,N,9:00 PM,20230315,4.7,5.8
Santa Clara,Sam Houston St.,-4.1,138,N,10:00 PM,20230315,4.5,4.3
Virginia Tech,Cincinnati,-6.9,151,N,11:00 PM,20230315,-3.7,0.4
UC Irvine,Oregon,-8.0,148,N,12:00 AM,20230315,1.0,1.0
Youngstown St.,Oklahoma St.,-14.1,149,N,1:00 AM,20230315,0.9,-9.0
Fairleigh Dickinson,Texas Southern,-1.9,154,N,2:00 AM,20230315,-3.1,-3.9
Morehead St.,Clemson,-13.3,136,N,3:00 AM,20230315,4.2,5.6
Alcorn St.,North Texas,-15.1,125,N,4:00 AM,20230315,2.9,-0.0
