,commence_time,DraftKings,BetMGM spreads,FanDuel,AWAY,HOME,date_x,match,teams,muid,Date,conmatch,matchup,prediction,ttq,Div1,HomeAway,Tm,Date_zero,tm_oe,tm_de,tm_Bart,tm_winpercent,tm_proScore,opp,opp_oe,opp_de,opp_Bart,opp_winpercent,opp_proScore,tpro,tm_qual,gp,result,tempo,possessions,tm_pts,opp_pts,winner,loser,tm_adjt,opp_adjt,tm_adjo,tm_adjd,opp_adjo,opp_adjd,gamevalue,mismatch,blowout,tm_elite,opp_elite,ord_date,tm_ppp,opp_ppp,gameppp,tm_rk,opp_rk,tm_gs,opp_gs,gamestats,VegasSpread,VegasTotal,Reg_dif,Over_dif,Daily_Reg_Tm_net_eff,Daily_Reg_Opp_net_eff,LeagueTempo,LeagueOE,DateNew,Pomeroy_Tm_AdjEM,Pomeroy_Tm_AdjOE,Pomeroy_Tm_AdjDE,Pomeroy_Tm_AdjT,Pomeroy_Opp_AdjEM,Pomeroy_Opp_AdjOE,Pomeroy_Opp_AdjDE,Pomeroy_Opp_AdjT,tm_ptdiff,tm_offensive_rating,tm_defensive_rating,opp_offensive_rating,opp_defensive_rating,Team,TRank_Tm_AdjEM,TRank_Tm_AdjOE,TRank_Tm_AdjDE,TRank_Tm_AdjT,TRank_Opp_AdjEM,TRank_Opp_AdjOE,TRank_Opp_AdjDE,TRank_Opp_AdjT,Team_y,MG_Tm_AdjT,MG_ATS_Tm_net_eff,MG_Tm_AdjEM,MG_Tm_AdjOE,MG_Tm_AdjDE,MG_Opp_AdjT,MG_ATS_Opp_net_eff,MG_Opp_AdjEM,MG_Opp_AdjOE,MG_Opp_AdjDE,Pomeroy_Tm_Score,Pomeroy_Opp_Score,Pomeroy_OverUnder,Pomeroy_PointDiff,Pomeroy_GameTempo,TRank_Tm_Score,TRank_Opp_Score,TRank_OverUnder,TRank_PointDiff,TRank_GameTempo,MG_Tm_Score,MG_Opp_Score,MG_OverUnder,MG_PointDiff,MG_GameTempo,MG_ATS_PointDiff,MG_ATS_GameTempo,Daily_Reg_PointDiff,Daily_Reg_GameTempo,away_team_y,home_team_y,date_y,VegasImpliedWinPercent,MG_ATS_ImpliedWinPercent,Dif_from_Vegas,Pt_Spread_Difference,Pomeroy_PointDiffSelection,MG_ATS_PointDiffSelection,Both
0,2024-12-19 18:30:00-06:00,-2.5,-2.5,-2.5,Lipscomb,Middle Tennessee,12/19/2024,True,Lipscomb vs Middle Tennessee,LipscombMiddle Tennessee12-19,2024-12-19,ASun at CUSA,94 Lipscomb at 132 Middle Tennessee,"Lipscomb -0.3, 74-73 (51%)",67.7667985775264,0,H,Lipscomb,12/19/2024,107.60543773625814,102.1797547326698,0.6445075725716803,0.5116636683100242,72.87006911818159,Middle Tennessee,109.2149641027303,104.12979320183136,0.6337456109621651,0.4883363316899758,72.5749859246217,69.29178971535819,,0,,,,,,,,,,,,,,,,,0.7941278878774182,0.8700694491730718,739239,,,,94,132,,,,0.2950831935598899,145.4450550428033,6.2,8.8,12.1,5.9,71.2,101.4,20241219,7.400000000000006,109.2,101.8,68.0,2.0,106.9,104.9,69.0,,,,,,Lipscomb,8.155000000000001,109.023,100.868,68.4287,2.3119999999999976,107.813,105.501,69.1629,Lipscomb,68.70768879279954,12.674006908771688,8.326329995185173,104.59949332486136,96.27316332967621,69.4458545166503,5.019063186872083,3.535456049729439,106.12095750438908,102.58550145465965,72.37557236338809,72.7179200069663,145.0934923703544,-0.3423476435782078,65.89887640449439,73.30305421296967,73.29831420034336,146.60136841331303,0.004740012626314183,66.47088953974719,68.94505364246828,69.42502252305127,138.37007616551955,-0.47996888058298737,67.0149460685399,3.0875398975344694,67.0149460685399,2.1096305022376214,67.0149460685399,Lipscomb Bisons,Middle Tennessee St Blue Raiders,12/19/2024,59.409638599828355,38.43593063485587,-20.973707964972483,5.5875398975344694,Lipscomb,Lipscomb,1
1,2024-12-19 18:30:00-06:00,2.5,2.5,2.5,UC Irvine,Belmont,12/19/2024,True,UC Irvine vs Belmont,UC IrvineBelmont12-19,2024-12-19,BW at MVC,71 UC Irvine at 156 Belmont,"UC Irvine -4.3, 79-75 (65%)",62.36074188170025,0,H,UC Irvine,12/19/2024,103.90448198899644,95.59217397304324,0.7228979916672588,0.6543155161678076,79.38112486224581,Belmont,112.09619183283378,109.012225425228,0.5795238867148736,0.3456844838321924,75.09671830826868,74.67059007224215,,0,,,,,,,,,,,,,,,,,0.8288486946797441,0.8231262155867632,739239,,,,71,156,,,,4.284406553977135,154.4778431705145,-10.5,-11.7,-9.0,1.5,71.2,101.4,20241219,13.5,107.2,93.7,70.3,2.1999999999999886,112.1,109.9,71.9,,,,,,UC Irvine,10.907600000000002,105.273,94.3654,70.8246,0.21000000000000796,110.658,110.448,72.0104,UC Irvine,70.22527702914185,21.624891013600593,15.655831864577422,103.41185942778245,87.75602756320501,71.59656530273793,1.398176137956551,0.8235886053070777,111.30525957563414,110.48167097032706,80.18858950629853,75.61141755492221,155.80000706122075,4.5771719513763145,70.99115168539326,79.85278920837926,75.846041071361,155.69883027974026,4.006748137018263,71.63072718876406,77.35388171289966,69.94171119827966,147.2955929111793,7.412170514620001,70.61641338089629,12.078508115477078,70.61641338089629,-9.317835745609266,70.61641338089629,UC Irvine Anteaters,Belmont Bruins,12/19/2024,40.590361400171645,12.500314426328218,-28.090046973843428,9.578508115477078,UC Irvine,UC Irvine,1
2,2024-12-19 16:00:00-06:00,-5.0,-4.5,-4.5,Alabama St.,Norfolk St.,12/19/2024,False,Alabama St. vs Norfolk St.,Alabama St.Norfolk St.12-19,2024-12-19,SWAC vs. MEAC,237 Alabama St. vs. 209 Norfolk St.,"Norfolk St. -1.6, 77-75 (56%)",50.66917938254729,0,N,Alabama St.,12/19/2024,105.96336186659852,111.79150416344837,0.3507520770148709,0.4408247980851064,75.28638308317969,Norfolk St.,106.71756006896156,110.2828357411413,0.4066287428251455,0.5591752019148936,76.85948440723001,68.64273854079293,,0,,,,,,,,,,,,,,,,,0.9292446734950988,0.943372131425529,739239,,,,237,209,,,,-1.5731013240503273,152.1458674904097,1.3,6.0,-3.0,-4.3,71.2,101.4,20241219,-7.599999999999994,105.5,113.1,70.2,-1.7999999999999972,107.3,109.1,66.8,,,,,,Alabama St.,-5.829000000000008,105.963,111.792,70.3975,-3.5649999999999977,106.718,110.283,66.5989,Alabama St.,70.56437621513425,-2.3716803560117254,-3.795497935587254,107.53997240297852,111.33547033856578,66.61039053661591,0.21215627188730884,-1.8366069508056493,105.41301654623825,107.2496234970439,74.7606099827139,78.82390617977526,153.58451616248917,-4.063296197061362,65.86179775280898,75.88731042454071,77.4737802430814,153.36109066762214,-1.5864698185406922,65.84825930828652,75.0888122940478,76.40773532452023,151.49654761856803,-1.3189230304724333,66.01573957391548,-1.705738859289255,66.01573957391548,0.8582046144608881,66.01573957391548,Alabama St Hornets,Norfolk State Spartans,12/19/2024,66.58824291023754,56.452476997551294,-10.135765912686246,2.794261140710745,Alabama St.,Alabama St.,1
3,2024-12-19 20:00:00-06:00,2.0,2.5,2.5,South Dakota,Utah Tech,12/19/2024,True,South Dakota vs Utah Tech,South DakotaUtah Tech12-19,2024-12-19,Sum at WAC,205 South Dakota at 307 Utah Tech,"South Dakota -2.2, 84-82 (58%)",49.01441075346496,0,H,South Dakota,12/19/2024,111.28822600420828,117.52448378732224,0.3481872297853589,0.5763807274008167,84.33378876388885,Utah Tech,101.47860509859848,110.07346618305726,0.2819214811488811,0.4236192725991833,82.10556441151259,73.35193441688659,,0,,,,,,,,,,,,,,,,,0.9444468485671615,0.957854686190296,739239,,,,205,307,,,,2.228224352376259,166.43935317540144,7.5,10.5,5.9,-1.6,71.2,101.4,20241219,-4.799999999999997,111.2,116.0,73.9,-11.0,101.5,112.5,67.5,,,,,,South Dakota,-3.2620000000000005,112.754,116.016,74.4087,-11.346999999999994,100.176,111.523,67.3314,South Dakota,73.77421446731678,3.2751560584650425,-0.0601643846351565,113.55641219684244,113.61657658147763,67.61434683743121,-10.279457296851612,-9.692483442193907,98.24237857823924,107.93486202043316,84.03136188788145,83.64311611938201,167.67447800726347,0.3882457684994307,70.05969101123596,84.83472261084503,82.92412493938677,167.7588475502318,1.9105976714582624,70.36575762893258,82.32898012265098,79.2943019723928,161.62328209504378,3.0346781502581734,70.05892309904765,7.603266232456377,70.05892309904765,3.250593913949615,70.05892309904765,South Dakota Coyotes,Utah Tech Trailblazers,12/19/2024,40.590361400171645,23.449585133256424,-17.14077626691522,5.103266232456377,Utah Tech,South Dakota,0
4,2024-12-19 18:00:00-06:00,1.0,1.5,1.5,Oakland,Cleveland St.,12/19/2024,True,Oakland vs Cleveland St.,OaklandCleveland St.12-19,2024-12-19,Horz at Horz,208 Oakland at 269 Cleveland St.,"Cleveland St. -0.2, 62-61 (51%)",47.94488449656496,1,H,Oakland,12/19/2024,101.4547222255835,107.5728925179638,0.33773709103821,0.48936261813204,61.49348563262237,Cleveland St.,98.54067900421632,104.09719246536872,0.3473203404583113,0.5106373818679599,61.721464899380166,62.03826588934885,,0,,,,,,,,,,,,,,,,,0.9261600917021586,0.9596876673082704,739239,,,,208,269,,,,-0.22797926675779934,123.21495053200253,-1.8,-6.8,-5.7,-3.8,71.2,101.4,20241219,-2.3000000000000114,103.6,105.9,63.2,-5.5,99.5,105.0,67.0,,,,,,Oakland,-3.4009999999999962,102.791,106.192,63.0388,-8.191900000000004,97.2761,105.468,67.2174,Oakland,62.5589658618211,-4.8926212141747305,-5.305623449558882,99.08474279994819,104.3903662495071,67.49100794292694,-12.502766946638046,-9.79111054902163,93.25340856774878,103.04451911677042,62.02643444560866,63.54317093157303,125.56960537718169,-1.5167364859643726,59.471910112359545,61.85877708699879,62.33695141244464,124.19572849944343,-0.47817432544584904,59.51269993146067,58.05010900541836,58.53539761172111,116.58550661713947,-0.4852886063027455,59.30010761069471,2.996838370163225,59.30010761069471,-2.7082359145804347,59.30010761069471,Oakland Golden Grizzlies,Cleveland St Vikings,12/19/2024,44.32015031835318,38.766380628239425,-5.553769690113754,1.4968383701632249,Cleveland St.,Oakland,0
5,2024-12-19 19:00:00-06:00,-4.0,-4.5,-4.5,SIU Edwardsville,Little Rock,12/19/2024,True,SIU Edwardsville vs Little Rock,SIU EdwardsvilleLittle Rock12-19,2024-12-19,OVC at OVC,254 SIU Edwardsville at 234 Little Rock,"Little Rock -4.6, 68-64 (69%)",38.31409385662832,1,H,SIU Edwardsville,12/19/2024,98.5595613906732,108.38054253577948,0.251174783795112,0.3094961126413429,63.56276579915355,Little Rock,100.7724006990387,103.34485618521614,0.4280331271038886,0.6905038873586571,68.15662622227664,66.49009916906331,,0,,,,,,,,,,,,,,,,,0.899183883158511,0.9731144341900568,739239,,,,254,234,,,,-4.59386042312309,131.7193920214302,8.8,4.6,0.0,-8.8,71.2,101.4,20241219,,,,,-4.5,100.3,104.8,67.8,,,,,,SIU Edwardsville,-7.132300000000001,99.8577,106.99,67.0156,-5.226799999999997,99.4792,104.706,67.7658,SIU Edwardsville,69.0,0.0,0.0,100.0,100.0,67.27049451531552,-5.573810556636515,-5.98246280711366,94.80638149808323,100.78884430519687,,,,,,63.940420627187514,68.836679491809,132.77710011899651,-4.89625886462148,63.78322677640449,62.99731758142159,62.67137792235904,125.66869550378064,0.3259396590625485,65.19191181961756,1.8591715634087649,65.19191181961756,3.991831144538814,65.19191181961756,SIU Edwardsville Cougars,Little Rock Trojans,12/19/2024,66.58824291023754,42.97290757901813,-23.615335331219413,6.359171563408765,SIU Edwardsville,SIU Edwardsville,1
6,2024-12-19 19:30:00-06:00,-5.5,-5.5,-5.5,Eastern Illinois,Southeast Missouri St.,12/19/2024,True,Eastern Illinois vs Southeast Missouri St.,Eastern IllinoisSoutheast Missouri St.12-19,2024-12-19,OVC at OVC,297 Eastern Illinois at 271 Southeast Missouri St.,"Southeast Missouri St. -4.9, 73-68 (69%)",37.03670157101055,1,H,Eastern Illinois,12/19/2024,97.50157443225984,110.49690366247042,0.1917206761741555,0.3117037935322269,68.37352409253873,Southeast Missouri St.,99.82458350757253,105.5990590919352,0.3437330565038447,0.6882962064677731,73.24937153522423,70.7551586805502,,0,,,,,,,,,,,,,,,,,0.9272376411529274,0.98083697780095,739239,,,,297,271,,,,-4.875847442685497,141.62289562776294,2.4,2.8,2.4,0.0,71.2,101.4,20241219,-14.0,96.2,110.2,67.3,,,,,,,,,,Eastern Illinois,-10.293199999999999,98.7858,109.079,67.7582,-8.4465,98.5435,106.99,71.3223,Eastern Illinois,67.92128759220167,-7.769891734358149,-6.984269563501833,97.38145336097081,104.36572292447264,69.0,0.0,0.0,100.0,100.0,,,,,,68.77978125876655,73.97999414954128,142.75977540830783,-5.200212890774736,67.87458803174157,61.45640249164403,69.65797548608259,131.11437797772663,-8.201572994438564,65.8225961216561,-6.885776324427333,65.8225961216561,-0.28540677678348914,65.8225961216561,Eastern Illinois Panthers,SE Missouri St Redhawks,12/19/2024,69.97944856925476,74.40198019768654,4.422531628431784,-1.385776324427333,Eastern Illinois,Southeast Missouri St.,0
7,2024-12-19 19:30:00-06:00,-2.5,-2.5,-2.5,Tennessee Tech,Lindenwood,12/19/2024,True,Tennessee Tech vs Lindenwood,Tennessee TechLindenwood12-19,2024-12-19,OVC at OVC,311 Tennessee Tech at 327 Lindenwood,"Lindenwood -2.7, 74-72 (60%)",36.46354022933045,1,H,Tennessee Tech,12/19/2024,100.64686030922822,115.6874802893286,0.1677502487619415,0.3962620354686449,71.72487479783398,Lindenwood,99.98502777692576,110.79488449534828,0.234945815290603,0.603737964531355,74.39970128886971,68.53172758517147,,0,,,,,,,,,,,,,,,,,0.9560139760861276,0.9836688004532792,739239,,,,311,327,,,,-2.6748264910357307,146.12457608670368,-15.7,-15.2,-4.6,11.1,71.2,101.4,20241219,-14.0,101.0,115.0,67.9,-15.799999999999997,96.9,112.7,68.2,,,,,,Tennessee Tech,-12.230000000000004,101.973,114.203,68.1231,-13.55210000000001,98.7019,112.254,68.7111,Tennessee Tech,68.33455753692841,-7.825386378695752,-8.736558305344117,102.4551810697299,111.19173937507404,68.71227012564711,-10.173167506125333,-11.826992377149724,95.7092772482851,107.53626962543487,70.97988968017305,73.49092736941012,144.47081704958316,-2.511037689237071,65.03904494382023,72.151307692076,75.14192050009184,147.29322819216785,-2.9906128080158396,65.7417575338483,69.66256434181464,71.16381233948286,140.82637668129752,-1.5012479976682158,65.94694629766853,-0.13205158373502002,65.94694629766853,-12.260196786199536,65.94694629766853,Tennessee Tech Golden Eagles,Lindenwood Lions,12/19/2024,59.409638599828355,50.50171020257547,-8.907928397252888,2.36794841626498,Lindenwood,Tennessee Tech,0
8,2024-12-19 21:00:00-06:00,-20.5,-20.5,-20.5,Merrimack,Saint Mary's,12/19/2024,True,Merrimack vs Saint Mary's,MerrimackSaint Mary's12-19,2024-12-19,MAAC at WCC,199 Merrimack at 32 Saint Mary's,"Saint Mary's -16.9, 70-53 (94%)",35.88465146537777,0,H,Merrimack,12/19/2024,98.6470018443406,103.91975986045686,0.354613923899133,0.0581037011601416,53.02295786725137,Saint Mary's,116.18571715068198,96.06541176273126,0.8990621125885337,0.9418962988398584,69.93841014431678,60.79278157501447,Merrimack,0,,,,,,,,,,,,,,,,,0.4283618434258194,0.956701549027964,739239,,,,199,32,,,,-16.915452277065405,122.96136801156814,11.8,6.8,10.9,-0.9,71.2,101.4,20241219,-2.5999999999999943,101.0,103.6,65.4,18.400000000000006,115.4,97.0,63.6,,,,,,Merrimack,-2.639700000000005,99.9463,102.586,65.0161,17.3643,114.695,97.3307,63.8647,Merrimack,65.20667089407445,-2.2761497453764905,-2.715352037474096,98.08226753808007,100.79761957555418,64.48164352723003,17.496244042106238,17.319281791247327,113.00062416852683,95.68134237727946,54.87365055454159,70.82040231537978,125.69405286992136,-15.94675176083819,58.41910112359551,54.39190134676892,69.57806306236024,123.96996440912916,-15.186161715591325,58.317889349297744,53.135132139259085,68.20515591839471,121.3402880576538,-15.070023779135624,59.053838598161725,-13.45569769388824,59.053838598161725,5.2321700997971305,59.053838598161725,Merrimack Warriors,Saint Marys Gaels,12/19/2024,97.45535036187462,89.99900757223638,-7.456342789638242,7.04430230611176,Merrimack,Merrimack,1
9,2024-12-19 18:30:00-06:00,-5.0,-5.5,-5.5,Delaware St.,Grambling St.,12/19/2024,True,Delaware St. vs Grambling St.,Delaware St.Grambling St.12-19,2024-12-19,MEAC vs. SWAC,340 Delaware St. vs. 272 Grambling St.,"Grambling St. -4.4, 73-69 (67%)",34.15684378392848,0,N,Delaware St.,12/19/2024,96.9707486664532,112.03482221553188,0.1596809108009763,0.329738364183736,69.10269526203247,Grambling St.,100.37334397927384,109.02888068486148,0.2786364131694677,0.670261635816264,73.49945301547352,69.63931753061087,,0,,,,,,,,,,,,,,,,,0.958848003165385,0.9793227813751368,739239,,,,340,272,,,,-4.396757753441051,142.602148277506,14.8,12.8,2.4,-12.4,71.2,101.4,20241219,-15.900000000000006,96.6,112.5,70.7,-8.799999999999997,100.9,109.7,67.2,,,,,,Delaware St.,-15.064300000000003,96.9707,112.035,70.8379,-8.655999999999992,100.373,109.029,67.1458,Delaware St.,70.53023306980589,-17.57981539904107,-16.81733119406568,94.60360140624027,111.42093260030596,68.47019525322678,7.581709901050877,0.17628120139836662,99.89234928428812,99.71606808288976,69.73559202180707,74.69893790306496,144.43452992487204,-4.963345881257894,66.72808988764045,69.65449394901188,74.08618045931291,143.7406744083248,-4.431686510301034,66.80431834016854,63.10034761339427,74.44884302116763,137.5491906345619,-11.348495407773363,67.82610715653372,-17.06608311225871,67.82610715653372,10.038263859166996,67.82610715653372,Delaware State Hornets,Grambling State Tigers,12/19/2024,69.97944856925476,94.79550665604097,24.816058086786214,-11.56608311225871,Delaware St.,Grambling St.,0
