muid,Date,conmatch,matchup,prediction,ttq,Div1,HomeAway,Tm,Date_zero,tm_oe,tm_de,tm_Bart,tm_winpercent,tm_proScore,opp,opp_oe,opp_de,opp_Bart,opp_winpercent,opp_proScore,tpro,tm_qual,gp,result,tempo,possessions,tm_pts,opp_pts,winner,loser,tm_adjt,opp_adjt,tm_adjo,tm_adjd,opp_adjo,opp_adjd,gamevalue,mismatch,blowout,tm_elite,opp_elite,ord_date,tm_ppp,opp_ppp,gameppp,tm_rk,opp_rk,tm_gs,opp_gs,gamestats,AWAY,HOME,VegasSpread,VegasTotal,Reg_dif,Over_dif,Daily_Reg_Tm_net_eff,Daily_Reg_Opp_net_eff,LeagueTempo,LeagueOE,DateNew,Pomeroy_Tm_AdjEM,Pomeroy_Tm_AdjOE,Pomeroy_Tm_AdjDE,Pomeroy_Tm_AdjT,Pomeroy_Opp_AdjEM,Pomeroy_Opp_AdjOE,Pomeroy_Opp_AdjDE,Pomeroy_Opp_AdjT,tm_ptdiff,tm_offensive_rating,tm_defensive_rating,opp_offensive_rating,opp_defensive_rating,Tm_TeamID,Opp_TeamID,TeamID,TRank_Tm_AdjEM,TRank_Tm_AdjOE,TRank_Tm_AdjDE,TRank_Tm_AdjT,Team_Opp,TeamID_Opp,TRank_Opp_AdjEM,TRank_Opp_AdjOE,TRank_Opp_AdjDE,TRank_Opp_AdjT,Team,MG_Tm_AdjT,MG_ATS_Tm_net_eff,MG_Tm_AdjEM,MG_Tm_AdjOE,MG_Tm_AdjDE,TeamID_y,Team_Standardized_Tm,Tm_y,MG_Opp_AdjT,MG_ATS_Opp_net_eff,MG_Opp_AdjEM,MG_Opp_AdjOE,MG_Opp_AdjDE,Team_Standardized_Opp,Pomeroy_Tm_Score,Pomeroy_Opp_Score,Pomeroy_OverUnder,Pomeroy_PointDiff,Pomeroy_GameTempo,TRank_Tm_Score,TRank_Opp_Score,TRank_OverUnder,TRank_PointDiff,TRank_GameTempo,MG_Tm_Score,MG_Opp_Score,MG_OverUnder,MG_PointDiff,MG_GameTempo,MG_ATS_PointDiff,MG_ATS_GameTempo,Daily_Reg_PointDiff,Daily_Reg_GameTempo,away_team,home_team,date,teams,commence_time,DraftKings,BetMGM spreads,FanDuel,VegasImpliedWinPercent,MG_ATS_ImpliedWinPercent,Dif_from_Vegas,Pt_Spread_Difference,Total_Diff,Pomeroy_PointDiffSelection,MG_ATS_PointDiffSelection,Both
Washington St.Seattle12-30,2025-12-30,WCC at WCC,146 Washington St. at 114 Seattle,"Seattle -6.4, 75-69 (74%)",49.34380356480148,1,H,Washington St.,12/30/2025,108.3109525774424,109.7844538957734,0.4612291113591636,0.2646978636420926,68.79664902062278,Seattle,106.84037642915082,99.08774223264967,0.7039745845777589,0.7353021363579074,75.18846731888151,69.43390783626117,,0,,,,,,,,,,,,,,,,,0.7373057586457609,0.9341311425875236,739615,,,,146,114,,,,Washington St.,Seattle,-6.391818298258727,143.9851163395043,8.6,9.1,3.3,-5.4,71.2,101.4,20251230,0.7999999999999972,109.8,109.0,68.5,5.099999999999994,106.1,101.0,70.0,,,,,,965,736,965,1.3619999999999948,109.738,108.376,68.3904,Seattle,736,5.075999999999993,105.469,100.393,70.1685,Washington St.,68.15269757930619,1.7834001694635804,2.275343946519774,109.42566836713462,107.15032442061482,965,Washington St.,Washington St.,69.76436976341944,5.891461565171269,5.8492732312266895,104.7701785867665,98.92090535553979,Seattle,71.60580090507611,78.9747854452247,150.5805863503008,-7.368984540148588,67.34550561797752,71.19240933272047,78.11838279208676,149.31079212480722,-6.92597345936629,67.39960368539325,69.3042546980686,76.01614852147307,145.32040321954167,-6.711893823404466,66.7785111558598,-4.6848527673815425,66.7785111558598,3.959565040475553,66.7785111558598,Washington St.,Seattle,12/30/2025,Washington St. vs Seattle,2025-12-30 21:00:00-06:00,-4.5,-4.5,-4.5,66.58824291023754,67.22651050694697,0.6382675967094258,-0.18485276738154255,8.915147232618457,Seattle,Seattle,1
San Diego St.San Jose St.12-30,2025-12-30,MWC at MWC,53 San Diego St. at 207 San Jose St.,"San Diego St. -8.0, 75-67 (79%)",45.21580778172255,1,H,San Diego St.,12/30/2025,112.41752427681476,101.50340315791496,0.7639513803799197,0.787283833780715,74.59074307223527,San Jose St.,109.00698760780014,110.2861554093774,0.4665092801852694,0.212716166219285,66.56790065501045,65.16682338043272,,0,,,,,,,,,,,,,,,,,0.8841645566100613,0.7895290892915535,739615,,,,53,207,,,,San Diego St.,San Jose St.,8.022842417224822,141.1586437272457,-3.1,-2.6,-2.2,0.9,71.2,101.4,20251230,15.400000000000006,116.2,100.8,68.6,-3.1999999999999886,108.9,112.1,66.0,,,,,,722,729,722,13.697000000000003,113.898,100.201,68.6461,San Jose St.,729,-4.131,107.608,111.739,65.611,San Diego St.,68.54279119312172,11.943755730071384,13.76484106556096,112.75883949658586,98.99399843102485,722,San Diego St.,San Diego St.,65.23893290699546,-5.269986442219517,-3.3521016871164235,105.97105707804116,109.32315876515753,San Jose St.,79.41740151771518,70.78063009995505,150.1980316176702,8.63677141776013,63.589887640449426,77.18791064252092,69.16192976531188,146.3498404078328,8.025980877209037,63.257573976123595,74.22791896368247,66.80711667615046,141.03503563983293,7.4208022875320125,62.80419320093071,8.993754783967034,62.80419320093071,-3.6940170356923687,62.80419320093071,San Diego St.,San Jose St.,12/30/2025,San Diego St. vs San Jose St.,2025-12-30 21:00:00-06:00,9.5,9.5,10.5,18.2795768782416,19.584734657692337,1.305157779450738,-1.5062452160329656,-4.106245216032965,San Jose St.,San Jose St.,1
South Carolina St.Tennessee12-30,2025-12-30,MEAC at SEC,361 South Carolina St. at 14 Tennessee,"Tennessee -44.0, 98-54 (100%)",28.334405670740075,0,H,South Carolina St.,12/30/2025,93.992895251812,121.35290764691094,0.0503037532823536,0.0025069278259407,54.23567580270132,Tennessee,122.51982881904992,93.99283588855003,0.9547014942082728,0.9974930721740592,98.22453707899352,69.67124487743467,South Carolina St.,0,,,,,,,,,,,,,,,,,0.2405227236172831,0.9956560512219864,739615,,,,361,14,,,,South Carolina St.,Tennessee,-43.9888612762922,152.46021288169484,-9.3,-6.4,-7.2,2.1,71.2,101.4,20251230,-23.400000000000006,96.5,119.9,70.5,25.299999999999997,120.3,95.0,67.8,,,,,,749,830,749,-24.5651,95.2309,119.796,70.7978,Tennessee,830,25.71719999999999,120.948,95.2308,68.0143,South Carolina St.,70.22302585114475,-31.213894103757298,-25.68006886787055,93.18601450755831,118.86608337542883,749,South Carolina St.,South Carolina St.,68.01279912422987,23.887991155185656,25.67848666342989,119.81613399442885,94.1376473309989,Tennessee,59.0072820218029,98.18871640708147,157.19599842888437,-39.18143438527857,67.13342696629213,58.80458614244173,99.3616889205652,158.16627506300694,-40.55710277812347,67.6300956255618,56.418319656843515,96.87270006727096,153.29101972411448,-40.45438041042744,67.07955830209985,-38.771530313534,67.07955830209985,-8.068731749926371,67.07955830209985,South Carolina St.,Tennessee,12/30/2025,South Carolina St. vs Tennessee,2025-12-30 19:00:00-06:00,-45.5,-46.5,-45.5,99.9992656576163,99.98889814879074,-0.010367508825567029,6.728469686465999,0.32846968646599883,South Carolina St.,South Carolina St.,1
MassachusettsEastern Michigan12-30,2025-12-30,MAC at MAC,149 Massachusetts at 222 Eastern Michigan,"Massachusetts -0.2, 73-72 (51%)",58.67951897594581,1,H,Massachusetts,12/30/2025,103.16041105394608,105.03509588018414,0.4484073311955919,0.5071748774137054,71.8191311404716,Eastern Michigan,104.41462008337152,106.5777601272129,0.4413193413117128,0.4928251225862946,71.64010982013644,70.75499849858414,,0,,,,,,,,,,,,,,,,,0.8941753231957915,0.9372424664406438,739615,,,,149,222,,,,Massachusetts,Eastern Michigan,0.17902132033515272,143.45924096060804,7.2,2.4,4.8,-2.4,71.2,101.4,20251230,-1.2999999999999972,104.3,105.6,73.0,-4.099999999999994,104.7,108.8,67.1,,,,,,444,217,444,0.8320000000000078,104.519,103.687,73.1794,Eastern Michigan,217,-4.9069999999999965,103.075,107.982,66.8243,Massachusetts,72.76926535898846,1.8757284033013144,1.359101634243312,103.20508774606326,101.84598611181993,444,Massachusetts,Massachusetts,66.5862755236706,0.8751889108326917,-2.9486967062451868,102.30943964563674,105.2581363518819,Eastern Michigan,74.85045855996346,77.12833239829212,151.97879095825556,-2.2778738383286594,68.79634831460673,74.32000953107297,74.43186078796269,148.75187031903567,-0.11185125688972164,68.68205308174156,70.88027258205656,71.90354439875433,142.7838169808109,-1.023271816697772,68.05385327034696,-1.250811686708957,68.05385327034696,2.971503449196419,68.05385327034696,Massachusetts,Eastern Michigan,12/30/2025,Massachusetts vs Eastern Michigan,2025-12-30 18:30:00-06:00,-1.5,-1.5,-1.5,55.67984968164682,54.74118070018066,-0.9386689814661651,0.24918831329104307,2.649188313291043,Eastern Michigan,Massachusetts,0
NevadaColorado St.12-30,2025-12-30,MWC at MWC,73 Nevada at 88 Colorado St.,"Colorado St. -2.5, 74-72 (60%)",63.56593301150152,1,H,Nevada,12/30/2025,115.27668126050835,106.71040287465776,0.7084751836320653,0.4044884360765817,71.72101057380047,Colorado St.,122.75098661439432,109.87097385911378,0.7815611969220041,0.5955115639234183,74.17434370964897,61.3364439109673,,0,,,,,,,,,,,,,,,,,0.6510189855361552,0.8332121546358134,739615,,,,73,88,,,,Nevada,Colorado St.,-2.4533331358484958,145.89535428344942,14.9,26.1,13.9,-1.0,71.2,101.4,20251230,10.5,116.3,105.8,66.9,11.200000000000003,122.3,111.1,63.6,,,,,,535,160,535,11.454000000000008,116.795,105.341,67.1278,Colorado St.,160,9.858000000000004,121.176,111.318,63.1513,Nevada,66.87001331609116,14.510059118871727,12.703321755229785,116.90542189429327,104.20210013906345,535,Nevada,Nevada,63.517718071865815,12.86530506090918,10.880084472963247,121.99667382132112,111.1165893483579,Colorado St.,74.03087599279667,78.40672599055955,152.43760198335622,-4.375849997762884,59.75898876404494,74.21816910786374,77.06491786054515,151.2830869684089,-2.846748752681407,59.53943590084268,74.29776237573515,76.89688021482588,151.19464259056105,-2.599117839090738,59.65492490552515,-0.9177916404134407,59.65492490552515,7.110509119189167,59.65492490552515,Nevada,Colorado St.,12/30/2025,Nevada vs Colorado St.,2025-12-30 20:00:00-06:00,-3.5,-3.5,-3.5,63.055865981823636,53.482668386757425,-9.573197595066212,2.5822083595865593,28.68220835958656,Colorado St.,Nevada,0
Florida St.North Carolina12-30,2025-12-30,ACC at ACC,110 Florida St. at 22 North Carolina,"North Carolina -16.5, 87-71 (91%)",54.88432343456518,1,H,Florida St.,12/30/2025,109.05226311814306,106.15544471612452,0.5767905051955653,0.0873711668961492,70.68081615139705,North Carolina,119.89116631026216,95.16834375143104,0.9343660840785096,0.9126288331038508,87.22633880855196,74.02603883542625,Florida St.,0,,,,,,,,,,,,,,,,,0.3191964819746126,0.8990709145686107,739615,,,,110,22,,,,Florida St.,North Carolina,-16.545522657154905,157.90715495994903,-4.3,-0.1,-0.5,3.8,71.2,101.4,20251230,6.0,112.1,106.1,75.0,22.200000000000003,119.4,97.2,68.3,,,,,,246,569,246,5.695999999999998,110.489,104.793,74.8087,North Carolina,569,21.93119999999999,118.353,96.4218,68.3909,Florida St.,74.18968161730233,1.2697764054770864,7.068695794194808,110.14387781118086,103.075182016986,246,Florida St.,Florida St.,68.30252093510255,23.84912681440385,22.20302002496806,117.07152246929522,94.86850244432713,North Carolina,75.16051129944984,92.41865400716291,167.57916530661277,-17.258142707713077,71.94522471910112,73.39738472366888,90.36909486084116,163.76647958451002,-16.97171013717228,71.85722360716292,71.30147747976602,87.0850445537299,158.3865220334959,-15.78356707396388,71.17053766621326,-18.312901760909696,71.17053766621326,-5.0859889627029276,71.17053766621326,Florida St.,North Carolina,12/30/2025,Florida St. vs North Carolina,2025-12-30 18:00:00-06:00,-14.5,-14.5,-14.5,91.63531986724158,95.94279422649599,4.307474359254414,-3.8129017609096962,-3.9129017609096963,North Carolina,North Carolina,1
Southeastern LouisianaIncarnate Word12-30,2025-12-30,Slnd at Slnd,270 Southeastern Louisiana at 165 Incarnate Word,"Incarnate Word -9.5, 75-65 (82%)",30.146310319636136,1,H,Southeastern Louisiana,12/30/2025,99.24929609386768,110.40313786646918,0.227094092421783,0.1817986677524315,65.41053705601858,Incarnate Word,114.61374776299552,111.8625340463921,0.5694029687808908,0.8182013322475684,74.9390345480018,63.99329835655079,,0,,,,,,,,,,,,,,,,,0.834642424011367,0.9763705522335596,739615,,,,270,165,,,,Southeastern Louisiana,Incarnate Word,-9.528497491983217,140.34957160402038,-4.3,-5.9,1.4,5.6,71.2,101.4,20251230,-9.200000000000003,100.5,109.7,66.7,-0.3999999999999915,112.7,113.1,66.7,,,,,,765,325,765,-8.429000000000002,100.557,108.986,66.5582,Incarnate Word,325,-0.19299999999999784,113.143,113.336,66.4506,Southeastern Louisiana,66.99276805725965,-11.006817059453487,-9.665117339791765,98.11185258848585,107.77696992827758,765,Southeastern Louisiana,Southeastern Louisiana,66.16524610713064,5.236724936217872,1.1584244137915847,113.37575060174568,112.21732618795406,Incarnate Word,68.09515546932465,78.33217271366209,146.42732818298674,-10.237017244337437,62.484410112359555,67.87604757346963,77.67063213406627,145.5466797075359,-9.794584560596633,62.11843152977527,65.7166064862643,77.13686088931405,142.85346737557836,-11.420254403049753,62.255519464978995,-11.805365182387632,62.255519464978995,-4.418896771624219,62.255519464978995,Southeastern Louisiana,Incarnate Word,12/30/2025,Southeastern Louisiana vs Incarnate Word,2025-12-30 14:00:00-06:00,-8.5,-8.5,-8.5,79.08930434072549,86.95614562859701,7.866841287871523,-3.305365182387632,-9.205365182387633,Incarnate Word,Incarnate Word,1
Western MichiganToledo12-30,2025-12-30,MAC at MAC,282 Western Michigan at 169 Toledo,"Toledo -11.6, 88-77 (83%)",33.18075500826768,1,H,Western Michigan,12/30/2025,104.21627178841992,117.04343792671636,0.2083526715851406,0.1733551099898376,76.58094237200648,Toledo,113.8040099805118,111.578195553011,0.5565443926138601,0.8266448900101624,88.16551385868935,71.52735592678243,,0,,,,,,,,,,,,,,,,,0.8417303650375955,0.978781591538862,739615,,,,282,169,,,,Western Michigan,Toledo,-11.584571486682876,164.74645623069583,-5.7,-10.7,-7.4,-1.7,71.2,101.4,20251230,-9.200000000000003,106.2,115.4,69.8,0.0,114.0,114.0,70.4,,,,,,984,861,984,-9.951999999999998,105.589,115.541,69.8684,Toledo,861,-0.7040000000000077,112.344,113.048,70.7551,Western Michigan,69.42799650001933,-11.041746554667379,-11.17648824419957,103.40233463492599,114.57882287912555,984,Western Michigan,Western Michigan,70.33084708059612,4.354865193707343,2.1829960779057878,113.07692280765608,110.89392672975025,Toledo,80.11121732760533,92.06545488107867,172.176672208684,-11.954237553473334,69.01573033707865,79.4613590250611,91.3865986048076,170.8479576298687,-11.925239579746503,69.43182062977527,75.39706994482896,90.09833805141412,165.49540799624307,-14.701268106585161,68.58047478869412,-12.415120202688044,68.58047478869412,-5.741968832158214,68.58047478869412,Western Michigan,Toledo,12/30/2025,Western Michigan vs Toledo,2025-12-30 17:30:00-06:00,-10.5,-10.5,-10.5,84.1344746068543,88.14749813579583,4.013023528941531,-1.915120202688044,-12.615120202688043,Toledo,Toledo,1
DuquesneDavidson12-30,2025-12-30,A10 at A10,132 Duquesne at 119 Davidson,"Davidson -5.2, 81-75 (68%)",55.25213288741868,1,H,Duquesne,12/30/2025,110.00239166561208,109.51733892226277,0.51270253779306,0.3172059411617121,75.38741346605299,Davidson,112.22147604434304,104.5212741015449,0.6936975735161439,0.6827940588382879,80.58438197840562,71.02130567379538,,0,,,,,,,,,,,,,,,,,0.7466539877619458,0.9202489621535376,739615,,,,132,119,,,,Duquesne,Davidson,-5.196968512352626,155.97179544445862,3.1,12.1,3.3,0.2,71.2,101.4,20251230,3.1000000000000085,110.7,107.6,73.0,3.799999999999997,110.8,107.0,66.8,,,,,,203,179,203,3.3389999999999986,111.451,108.112,73.8185,Davidson,179,4.88300000000001,110.781,105.898,66.4951,Duquesne,72.8941453086788,2.200194505704069,2.989073733422715,110.26374378681615,107.27467005339341,203,Duquesne,Duquesne,66.41617831732417,8.938659839438499,7.646741058502236,111.8648262198233,104.21808516132104,Davidson,77.77976065713514,82.79599233815729,160.57575299529242,-5.016231681022148,68.48876404494382,78.01218974224369,83.7243922260309,161.7365819682746,-5.712202483787209,68.94056937289325,74.91663030982018,82.73994565918852,157.6565759690087,-7.823315349368343,67.99649653244593,-6.591858679820973,67.99649653244593,0.17067120629641863,67.99649653244593,Duquesne,Davidson,12/30/2025,Duquesne vs Davidson,2025-12-30 18:00:00-06:00,-3.5,-3.5,-3.5,63.055865981823636,73.49312278028934,10.437256798465704,-3.091858679820973,9.008141320179027,Davidson,Davidson,1
VermontPrinceton12-30,2025-12-30,AE at Ivy,193 Vermont at 271 Princeton,"Vermont -0.3, 71-70 (51%)",48.89819772711118,0,H,Vermont,12/30/2025,111.0583036630476,116.85519147434744,0.3577548936082709,0.5138379311264242,70.13766045885515,Princeton,100.38361033223526,106.1330547035848,0.3451362838006134,0.4861620688735758,69.8007996464629,64.45345573415072,,0,,,,,,,,,,,,,,,,,0.9268172469942616,0.9561306007891872,739615,,,,193,271,,,,Vermont,Princeton,0.33686081239224563,139.93846010531806,10.0,4.5,5.5,-4.5,71.2,101.4,20251230,-2.5,111.8,114.3,66.7,-8.100000000000009,100.8,108.9,67.1,,,,,,948,655,948,-2.8349999999999937,112.521,115.356,66.469,Princeton,655,-8.435600000000008,99.0954,107.531,67.0182,Vermont,66.36135743745727,-2.7419237581515334,-1.8005549315067042,111.95977439817436,113.76032932968104,948,Vermont,Vermont,67.03107594237801,-10.784876617230497,-7.941823607441588,98.26576539853863,106.20758900598018,Princeton,73.37598066994109,73.43668732849886,146.81266799843996,-0.060706658557776905,62.859129213483136,72.57968070146903,72.52096075945592,145.10064146092495,0.058719942013112814,62.56506651404493,71.22704015573815,70.81781040039637,142.04485055613452,0.40922975534178363,62.47574705097598,3.3938875404526883,62.47574705097598,4.489507183083134,62.47574705097598,Vermont,Princeton,12/30/2025,Vermont vs Princeton,2025-12-30 12:00:00-06:00,3.5,3.5,3.5,36.944134018176364,37.32615214983822,0.3820181316618587,-0.10611245954731174,4.393887540452688,Princeton,Princeton,1
