,Team,Region,Rank,Make,2nd Round,Sweet 16,Elite 8,Final 4,Championship,Win,Odds
0,Michigan,FinalFour,16,100.0,87.95,68.75,52.04,38.84,28.79,18.83,4.310674455655869
1,Houston,FinalFour,8,100.0,80.84,61.39,43.16,27.82,17.7,9.98,9.020040080160319
2,Arizona,FinalFour,9,100.0,76.64,57.03,38.23,23.95,14.15,8.67,10.534025374855824
3,Duke,FinalFour,1,100.0,75.62,56.68,37.26,24.85,13.26,7.57,12.21003963011889
4,Illinois,EliteEight,13,100.0,75.66,54.54,36.96,23.3,13.36,7.42,12.477088948787062
5,Florida,SweetSixteen,3,100.0,68.36,43.5,29.75,17.85,10.82,5.7,16.543859649122805
6,Purdue,EliteEight,9,100.0,78.8,55.7,32.58,16.81,9.69,5.07,18.723865877712033
7,Connecticut,EliteEight,12,100.0,77.84,52.34,30.77,17.33,7.92,4.03,23.813895781637715
8,Iowa St.,SweetSixteen,4,100.0,69.32,47.81,28.91,12.96,7.41,3.32,29.12048192771085
9,Texas Tech,west,5,100.0,68.99,40.14,21.05,13.24,6.34,2.8,34.714285714285715
10,Vanderbilt,SweetSixteen,15,100.0,66.53,38.99,20.97,11.65,5.76,2.62,37.167938931297705
11,Kansas,SweetSixteen,2,100.0,70.48,42.78,21.08,10.52,4.85,2.4,40.666666666666664
12,Nebraska,EliteEight,16,100.0,65.36,36.77,21.57,11.22,4.31,2.23,43.84304932735426
13,Tennessee,midwest,5,100.0,71.47,43.86,22.27,10.37,5.06,2.06,47.543689320388346
14,Louisville,south,5,100.0,63.59,33.84,15.75,8.83,4.21,1.82,53.94505494505495
15,Gonzaga,SweetSixteen,8,100.0,72.7,43.19,22.94,11.66,4.08,1.69,58.171597633136095
16,Alabama,SweetSixteen,14,100.0,65.95,33.83,14.34,7.69,3.49,1.38,71.46376811594203
17,Virginia,SweetSixteen,13,100.0,66.24,35.1,13.65,6.25,3.7,1.32,74.75757575757576
18,St. John's,west,6,100.0,64.65,37.92,20.13,8.46,3.09,1.19,83.03361344537815
19,Arkansas,east,5,100.0,53.48,33.51,11.52,5.84,2.57,0.84,118.04761904761905
20,Saint Louis,west,7,100.0,49.19,28.55,15.51,6.56,2.23,0.7,141.85714285714286
21,Michigan St.,SweetSixteen,9,100.0,53.73,28.42,12.33,6.2,2.23,0.65,152.84615384615384
22,Indiana,east,9,100.0,52.04,16.08,8.92,3.87,1.54,0.62,160.29032258064515
23,SMU,south,9,100.0,55.38,21.73,10.61,4.47,2.0,0.61,162.9344262295082
24,BYU,south,6,100.0,56.67,30.64,14.59,4.74,1.45,0.59,168.4915254237288
25,Utah St.,south,7,100.0,50.93,22.02,10.93,3.85,1.45,0.5,199.0
26,Saint Mary's,east,11,100.0,49.86,20.72,10.43,2.93,1.36,0.5,199.0
27,North Carolina,midwest,6,100.0,59.21,28.47,11.3,4.25,1.35,0.48,207.33333333333334
28,Auburn,west,8,100.0,47.39,16.84,8.09,3.69,1.29,0.45,221.2222222222222
29,UCLA,west,10,100.0,50.81,26.06,11.2,4.16,1.46,0.44,226.27272727272728
30,Iowa,east,8,100.0,47.96,12.05,6.35,3.33,1.46,0.44,226.27272727272728
31,Villanova,south,8,100.0,44.62,16.33,8.08,3.16,1.29,0.41,242.90243902439028
32,Texas A&M,west,9,100.0,52.61,20.61,9.96,4.63,1.33,0.4,248.99999999999997
33,Clemson,east,7,100.0,49.83,19.7,9.04,3.02,1.02,0.38,262.15789473684214
34,N.C. State,midwest,7,100.0,55.97,23.49,10.38,3.57,1.09,0.35,284.7142857142857
35,Kentucky,east,6,100.0,50.14,19.5,7.77,2.13,0.84,0.24,415.6666666666667
36,Wisconsin,midwest,8,100.0,46.75,15.57,6.61,2.76,1.05,0.23,433.78260869565213
37,Virginia Tech,west,11,100.0,35.35,11.87,4.76,1.89,0.59,0.16,624.0
38,Georgia,midwest,10,100.0,44.03,17.87,7.05,2.17,0.63,0.15,665.6666666666666
39,UCF,south,10,100.0,49.07,15.0,6.1,1.82,0.38,0.12,832.3333333333334
40,Texas,midwest,9,100.0,53.25,18.91,8.19,2.36,0.57,0.11,908.0909090909091
41,Miami FL,east,10,100.0,50.17,18.16,5.96,1.69,0.48,0.08,1249.0
42,Tulsa,east,12,100.0,46.52,21.93,5.18,1.14,0.31,0.07,1427.5714285714284
43,Utah Valley,west,13,100.0,46.27,18.62,6.44,1.98,0.28,0.07,1427.5714285714284
44,TCU,south,11,100.0,43.33,17.17,5.16,1.67,0.38,0.06,1665.6666666666667
45,Stephen F. Austin,south,13,100.0,33.47,16.3,3.31,0.99,0.28,0.06,1665.6666666666667
46,Missouri,midwest,11,100.0,40.79,18.58,6.13,1.87,0.38,0.04,2499.0
47,Hawaii,east,13,100.0,33.76,9.46,1.37,0.41,0.11,0.04,2499.0
48,North Dakota St.,south,15,100.0,24.34,8.44,2.65,0.5,0.06,0.03,3332.3333333333335
49,Liberty,midwest,12,100.0,28.53,12.54,2.62,0.72,0.17,0.02,4999.0
50,Belmont,west,12,100.0,31.01,12.82,3.57,0.89,0.14,0.02,4999.0
51,Bethune Cookman,west,16,100.0,24.38,5.87,1.3,0.11,0.05,0.02,4999.0
52,Yale,south,12,100.0,36.41,10.87,1.94,0.33,0.04,0.02,4999.0
53,High Point,midwest,13,100.0,34.05,9.77,2.09,0.29,0.06,0.0,0.0
54,UNC Wilmington,midwest,14,100.0,31.64,9.45,2.99,0.51,0.04,0.0,0.0
55,Portland St.,east,14,100.0,30.68,11.97,4.03,0.52,0.02,0.0,0.0
56,Wright St.,east,15,100.0,21.2,6.44,1.28,0.14,0.02,0.0,0.0
57,Navy,midwest,15,100.0,22.16,6.3,1.63,0.19,0.01,0.0,0.0
58,Troy,west,14,100.0,27.3,7.02,1.9,0.4,0.0,0.0,0.0
59,Tennessee Martin,midwest,16,100.0,19.16,4.13,0.72,0.25,0.0,0.0,0.0
