ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
10.0,4,,4.399999999999992,4.399999999999992,111.1,0.0,106.7,0.0,Mon 11-07 11-07,H,344 (Ⅳ),Central Connecticut,"W, 94-67",73,128.3,59.9,17.7,44.4,16.9,91.4,47.7,17.7,22.0,9.1,17.0,-17.0,144.0,111.1,0.0,111.1,111.1,106.7,0.0,106.7,106.7,20221107,103.9,102.9,1.0,93.5,107.7,-14.2,101.788,100.044,1.74465,74.2757,-16.503295702572373,145.99623792470464,73.91573227610242,-16.255035354813913,157.56621927494922,-28.480686684902363,157.56621927494922,-16.255035354813913,157.56621927494922,-28.480686684902363,179.54234974038974,-7.114824784379579,90.5108,105.555,-15.0446,69.9593,103.9,102.9,1.0,93.5,107.7,-14.2,-28.480686684902363,179.54234974038974,0,108.8954214,111.8655358,-2.9701144,2.930233283,93.34154937,99.07725407,-5.735704699999999,-3.60106553,2022-11-07,160.47791889510148,-6.8903559405521975,160.47791889510148,-13.168235536452187,160.47791889510148,0.0,0.0,0.0,2.25535,2.25535,0.0,0.0,2.25535,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,-3,0.9472814911099373,0.7509880754544044,2.6553499999999923,,0.0,2.25535,0.0,1,0.0,1,1,1,3,0.0,0.0
-15.0,-21,,-4.066666666666672,-0.2181818181818258,83.1,0.0,104.1,0.0,Thu 11-10 11-10,H,135 (Ⅲ),Towson,"L, 67-55",64,85.7,37.1,17.1,32.6,37.9,104.3,60.6,26.5,39.3,44.7,-24.0,-3.0,146.0,97.1,111.1,101.76666666666668,106.0090909090909,105.4,106.7,105.83333333333334,106.22727272727272,20221110,104.4,103.3,1.1000000000000083,105.1,97.5,7.599999999999994,101.996,100.251,1.74462,74.2929,-0.6528609782947399,147.45527248127385,73.10019776756758,0.6647646423676008,157.08251625334537,-13.076062201624563,157.08251625334537,0.6647646423676008,157.08251625334537,-13.076062201624563,151.605928903806,6.487919298731683,103.54,97.0817,6.45843,69.1714,104.4,103.3,1.1000000000000083,105.1,97.5,7.599999999999994,-13.076062201624563,151.605928903806,0,108.8954214,111.8655358,-2.9701144,2.930233283,107.3638717,96.53088146,10.83299024,7.841158086,2022-11-10,168.01926693296332,1.4328554882148268,168.01926693296332,2.6156712765190946,168.01926693296332,0.0,0.0,0.0,-22.74462,-20.48927,2.25535,2.25535,-22.74462,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,3,0.6124515189020077,0.2683215932644918,-5.811286666666672,,2.6553499999999923,-10.244635,2.25535,-1,1.0,-1,-1,1,-3,3.0,0.0
8.5,13,-0.9333333333333372,1.888888888888884,2.330578512396688,100.1,98.09999999999998,86.3,99.03333333333336,Thu 11-17 11-17,N,80 (Ⅱ),Colorado,"W, 66-63",73,90.0,50.0,24.6,25.0,41.5,85.9,38.4,17.7,38.8,17.8,-20.5,5.5,149.5,98.6,97.1,101.21111111111112,104.93471074380165,95.85,105.4,99.32222222222224,102.60413223140496,20221117,103.8,103.8,0.0,101.4,93.0,8.400000000000006,101.756,101.253,0.502547,72.1379,9.562949358090606,151.78471959953245,76.29716813755336,6.792922073880135,157.20762513836922,15.595700026991052,157.20762513836922,6.792922073880135,157.20762513836922,15.595700026991052,153.1254729908322,1.5033429304395298,104.95,92.0521,12.8975,74.3533,103.8,103.8,0.0,101.4,93.0,8.400000000000006,15.401739863840156,153.26821868366665,0,94.68135907,92.05575548,2.625603589999997,7.47058818,103.2036178,98.30363979,4.899978009999998,-0.102969054,2022-11-17,146.52874232473226,-5.778409696818812,146.52874232473226,12.894221415246534,146.52874232473226,7.700836666666676,-5.811286666666671,1.8895500000000052,12.497453,-7.991817000000001,-5.3261899999999995,-20.48927,-2.6656270000000015,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,3,0.30020551430745246,0.4430757825251791,1.386341888888884,-1.4358803333333372,-5.811286666666672,-2.663939,-10.244635,1,-1.0,-1,-1,-1,-1,-3.0,3.0
0.0,-3,-3.633333333333335,0.0259259259259219,1.2341096919609256,93.2,92.13333333333333,96.9,95.76666666666668,Fri 11-18 11-18,N,214 (Ⅳ),Murray St.,"W, 71-69",72,99.2,39.9,9.8,32.1,25.7,96.4,50.0,15.4,17.6,29.8,-8.0,-2.0,148.0,95.9,98.6,98.54074074074076,102.80112697220132,96.375,95.85,98.51481481481484,101.5670172802404,20221118,103.4,102.6,0.8000000000000114,98.7,99.1,-0.3999999999999915,101.524,99.8208,1.70331,71.6558,2.208359288935,150.11123855541615,73.73310469985775,-0.9066872793519423,153.52765697401333,6.9289229041264395,153.52765697401333,-0.9066872793519423,153.52765697401333,6.9289229041264395,156.44518770867649,-1.2974429832852934,103.994,99.2845,4.70991,72.338,103.4,102.6,0.8000000000000114,98.7,99.1,-0.3999999999999915,6.868003615242099,156.2933659930743,0,94.68135907,92.05575548,2.625603589999997,7.47058818,100.5975285,99.62632539,0.9712031099999905,-1.146997305,2022-11-18,140.8661170573255,-6.35401332825478,140.8661170573255,0.9694537840166504,140.8661170573255,-0.7750210185185222,-1.2243689814814849,-1.999390000000007,-4.70331,-12.695127000000001,-6.214732333333334,-7.991817000000001,-6.480394666666667,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.5755320005597261,0.5491705422743751,-1.6773840740740782,-5.336643333333335,1.386341888888884,-3.17378175,-2.663939,-1,1.0,-1,-1,-1,-3,-1.0,-3.0
7.5,19,9.966666666666663,6.6172839506172805,4.6097261116043935,103.6,98.96666666666664,83.8,89.0,Sun 11-20 11-20,N,121 (Ⅲ),Charlotte,"W, 60-54",61,98.1,52.0,26.2,33.3,15.7,88.3,41.8,16.3,21.2,36.7,-19.5,1.5,133.5,99.75,95.9,100.22716049382718,102.94637661361926,90.0875,96.375,93.60987654320988,98.33665050201488,20221120,103.7,102.9,0.7999999999999972,105.5,99.4,6.099999999999994,101.371,99.0471,2.32372,71.3364,0.7995781199688707,131.9548820379149,66.4649255266003,3.734369972728004,144.1764376432912,13.866775471479265,144.1764376432912,3.734369972728004,144.1764376432912,13.866775471479265,125.99119094921637,4.150502688616577,101.333,97.8173,3.51522,65.4993,103.7,102.9,0.7999999999999972,105.5,99.4,6.099999999999994,13.871134485992041,125.67840499920686,0,97.25683356,91.14703497,6.109798589999997,7.506817515,101.6966994,89.04359698,12.653102419999996,18.53376768,2022-11-20,122.14313643010522,7.32905421502258,122.14313643010522,13.83725899546566,122.14313643010522,19.696750088888894,-1.7318307629629666,17.964919325925926,16.67628,3.9811529999999973,-8.374863888888889,-12.695127000000001,12.356016888888886,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,-3,0.4432015031835318,0.3463159260881441,4.293563950617281,7.6429466666666634,-1.6773840740740782,0.7962305999999997,-3.17378175,1,-1.0,1,1,-1,3,-3.0,-1.0
5.0,17,11.333333333333334,10.378189300411524,7.0261395458581415,101.4,99.4,83.5,88.06666666666666,Tue 11-29 11-29,A,125 (Ⅲ),South Florida,"W, 73-67",75,96.9,55.3,26.6,24.2,26.3,89.0,44.3,22.6,32.5,32.8,7.5,-1.0,132.5,100.575,99.75,100.6181069958848,102.66521722932484,86.79375,90.0875,90.23991769547324,95.63907768346672,20221129,103.5,101.1,2.4000000000000057,100.7,100.1,0.6000000000000085,102.228,99.3384,2.88923,69.0393,0.4289868735857638,125.45324795904912,63.19344883100995,2.5658076178132347,133.24190249251672,-2.737287701247761,133.24190249251672,2.5658076178132347,133.24190249251672,-2.737287701247761,126.87417220769227,-3.733592801882743,98.0021,100.031,-2.0293,64.3474,103.5,101.1,2.4000000000000057,100.7,100.1,0.6000000000000085,-1.2906549802829947,121.91219643406214,0,95.96880355,90.60119453,5.367609020000003,5.859101562,96.76163128,102.7804255,-6.018794220000004,-12.7700866,2022-11-29,120.6783901004047,-10.06415197862966,120.6783901004047,-4.483517150207149,120.6783901004047,-5.402322221987067,4.836744670546736,-0.5655775514403314,14.11077,18.091922999999998,-4.256191592592594,3.9811529999999973,22.34811459259259,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3,0.5379371440662541,0.6389225380905796,7.4889593004115245,8.444103333333334,4.293563950617281,3.0153204999999996,0.7962305999999997,1,1.0,1,1,1,3,3.0,-3.0
1.0,1,13.033333333333331,7.385459533607681,6.003205082974842,108.6,104.53333333333336,107.2,91.5,Fri 12-02 12-02,A,182 (Ⅲ),Harvard,"W, 71-68",68,104.5,47.6,16.2,30.8,25.4,100.1,52.2,25.0,33.3,62.2,-2.5,-2.0,141.5,104.5875,100.575,103.27873799725654,103.74426864217487,96.996875,86.79375,95.89327846364884,97.74106355920004,20221202,103.5,100.0,3.5,99.0,97.0,2.0,102.309,98.8708,3.43826,70.6663,0.9874783634597151,134.94642750462378,67.8268818263158,2.909652523736227,138.53863281044823,3.2824523631505564,138.53863281044823,2.909652523736227,138.53863281044823,3.2824523631505564,118.03137723319186,1.4127952357786953,99.0645,99.7788,-0.714284,67.4753,103.5,100.0,3.5,99.0,97.0,2.0,2.433145352108488,125.68801213681843,0,95.07470366,90.59227703,4.482426629999992,6.487207044,98.66330933,97.22700808,1.4363012499999996,-1.008655953,2022-12-02,126.29262975259772,-3.1330344204608735,126.29262975259772,-1.687333080770216,126.29262975259772,-0.04582908282708864,8.240810068195174,8.194980985368085,-2.43826,15.653662999999998,3.193179938271603,18.091922999999998,12.460483061728395,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,-3,0.5755320005597261,0.44648307618767513,3.9471995336076806,9.595073333333332,7.4889593004115245,2.236237571428571,3.0153204999999996,1,1.0,1,1,1,3,3.0,3.0
1.0,3,7.466666666666664,5.956973022405119,5.475349613343051,100.5,103.5,97.4,96.03333333333336,Mon 12-05 12-05,H,347 (Ⅳ),Albany,"W, 87-73",79,110.2,55.6,15.2,20.6,41.9,92.5,48.4,24.1,31.7,31.7,22.0,-13.0,138.0,102.54375,104.5875,102.35249199817105,103.15440161632488,97.1984375,96.996875,96.3955189757659,97.67905200298183,20221205,104.0,100.3,3.700000000000003,97.0,111.9,-14.900000000000006,103.126,99.2379,3.88788,70.4157,-16.002832835109466,138.25069265487488,66.50076737624467,-17.08866945691112,146.02813560526698,-26.864137968851125,146.02813560526698,-17.08866945691112,146.02813560526698,-26.864137968851125,141.50860553732522,-14.153672933954013,95.7457,109.926,-14.18,66.3915,104.0,100.3,3.700000000000003,97.0,111.9,-14.900000000000006,-20.0018670479423,139.55164737671848,0,96.38022477,91.30195115,5.0782736200000045,6.212292786,99.82331943,110.3677191,-10.544399670000004,-5.825916857,2022-12-05,134.94208349890727,-9.871120478899321,134.94208349890727,-22.07954249639282,134.94208349890727,-14.41004345182574,6.68160860467699,-7.728434847148749,-0.88788,14.765782999999999,7.346674292181069,15.653662999999998,7.41910870781893,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,3,0.8921596253194927,0.9111657992912892,2.069093022405119,3.578786666666664,3.9471995336076806,1.8457228749999999,2.236237571428571,1,1.0,1,1,1,3,3.0,3.0
-8.0,-10,-2.0333333333333408,0.4379820149367441,2.552558774553403,98.8,102.63333333333333,109.4,104.66666666666669,Thu 12-08 12-08,H,122 (Ⅲ),UMass Lowell,"L, 85-80",78,102.0,45.2,26.8,42.5,44.4,108.4,66.4,25.5,25.0,32.7,20.0,-3.0,145.0,100.671875,102.54375,101.16832799878068,102.36269223153856,103.29921875,97.1984375,100.73034598384396,99.81013345698514,20221208,103.5,99.6,3.9000000000000057,101.5,99.1,2.4000000000000057,102.76,99.0122,3.74814,71.7443,-3.5294372386028385,145.21070018319497,72.07322159160739,-5.290036043116771,150.1686818226456,-2.7109749133030756,150.1686818226456,-5.290036043116771,150.1686818226456,-2.7109749133030756,136.80946548774241,1.4564923025657066,102.62,98.15,4.47023,70.6223,103.5,99.6,3.9000000000000057,101.5,99.1,2.4000000000000057,-2.2433156783013724,141.279460416148,0,94.74355718,91.50083922,3.242717959999993,3.79376934,102.9234816,91.95844029,10.965041310000004,7.938137782,2022-12-08,133.50769477956328,0.850551758372859,133.50769477956328,-1.40477462519695,133.50769477956328,1.8247836701531766,4.3134647648414886,6.138248434994665,-13.74814,1.0176429999999996,9.819710528120712,14.765782999999999,-8.802067528120713,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3,0.6124515189020077,0.4448382540967841,-3.3101579850632556,-5.781473333333341,2.069093022405119,0.11307144444444406,1.8457228749999999,-1,1.0,-1,1,1,-1,3.0,3.0
14.0,20,4.166666666666662,6.958654676624495,5.724820815543694,100.4,99.9,80.4,95.73333333333336,Sun 12-11 12-11,N,88 (Ⅱ),Hofstra,"W, 71-56",71,100.4,49.2,17.0,39.5,21.2,79.2,41.8,24.0,23.7,9.8,-18.5,-1.0,145.5,100.5359375,100.671875,100.9122186658538,102.00583909853154,91.849609375,103.29921875,93.95356398922932,96.28101828298784,20221211,103.7,100.5,3.200000000000003,107.1,104.6,2.5,103.302,100.113,3.18891,72.3065,0.6273196190186923,152.3963932150075,70.75000744736842,-0.604223196182275,156.43473914844543,-2.104559485811154,156.43473914844543,-0.604223196182275,156.43473914844543,-2.104559485811154,139.10852300220486,1.5616172535725354,108.562,104.348,4.21427,68.7867,103.7,100.5,3.200000000000003,107.1,104.6,2.5,1.3315745208871201,145.94921399195414,0,95.71785692,93.23124559,2.4866113300000023,1.915990996,104.8565052,99.87868877,4.977816430000004,4.077152526,2022-12-11,139.97012127030774,1.5290219434246666,139.97012127030774,0.4708159046121807,139.97012127030774,1.2577990212329198,-0.5814606610143596,0.6763383602185602,16.81109,17.828733,6.8856880187471425,1.0176429999999996,10.943044981252857,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,-3,0.5379371440662541,0.44088513811593955,3.7697446766244953,0.9777566666666617,-3.3101579850632556,1.7828732999999999,0.11307144444444406,1,-1.0,1,1,1,3,-1.0,3.0
