ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-10.5,-17,,-17.60000000000001,-17.60000000000001,87.6,0.0,105.2,0.0,Mon 11-07 11-07,A,31 (I-A),Indiana,"L, 88-53",72,73.9,45.4,29.3,20.6,9.3,122.8,64.4,14.0,22.2,35.6,2.5,24.5,138.5,87.6,0.0,87.6,87.6,105.2,0.0,105.2,105.2,20221107,93.3,98.1,-4.8,108.2,88.3,19.9,94.8348,100.127,-5.29179,70.2549,24.033862844560645,137.9186767490799,71.8601695002845,21.3450332475563,139.07049731514215,37.56422503691386,139.07049731514215,21.3450332475563,139.07049731514215,37.56422503691386,140.47641408050666,12.358267740046358,110.004,86.3758,23.6277,71.9063,93.3,98.1,-4.8,108.2,88.3,19.9,37.56422503691386,140.47641408050666,0,103.6792108,102.8377601,0.84145070000001,-1.33650464,102.1887745,90.51512214,11.673652359999991,15.52184237,2022-11-07,146.4620072032451,14.269231990657644,146.4620072032451,19.913459010901846,146.4620072032451,0.0,0.0,0.0,-11.708210000000001,-11.708210000000001,0.0,0.0,-11.708210000000001,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,-3,0.009815328628645315,0.11960216761485643,-12.30821000000001,,0.0,-11.708210000000001,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
5.0,5,,-9.766666666666676,-13.327272727272735,94.8,0.0,88.9,0.0,Sat 11-12 11-12,H,255 (Ⅳ),Bellarmine,"W, 62-55",63,98.5,37.3,20.7,41.0,62.7,87.4,35.8,9.5,24.4,23.3,-15.0,-2.0,132.0,91.2,87.6,90.0,88.90909090909089,97.05,105.2,99.76666666666668,102.23636363636362,20221112,94.4,99.1,-4.699999999999989,102.0,105.5,-3.5,95.6984,100.959,-5.26093,70.2394,-3.0807991397958574,133.81322784770816,66.59564370042675,-2.817936317660525,136.9671483052361,10.80123237612742,136.9671483052361,-2.817936317660525,136.9671483052361,10.80123237612742,137.21248396223035,-9.791115211377445,100.502,104.977,-4.47423,66.6531,94.4,99.1,-4.699999999999989,102.0,105.5,-3.5,10.80123237612742,137.21248396223035,0,103.6792108,102.8377601,0.84145070000001,-1.33650464,98.75280519,106.0730447,-7.320239509999993,-4.822783342,2022-11-12,144.5682903454258,-4.128962321694061,144.5682903454258,-0.9890785002387545,144.5682903454258,0.0,0.0,0.0,10.26093,-1.447280000000001,-11.708210000000001,-11.708210000000001,10.26093,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,3,0.5755320005597261,0.8244575911152412,-4.505736666666676,,-12.30821000000001,-0.7236399999999996,-11.708210000000001,-1,-1.0,1,-1,-1,-1,-3.0,0.0
0.5,0,-4.000000000000004,-6.611111111111117,-10.95867768595042,90.4,90.93333333333334,90.7,94.93333333333334,Tue 11-15 11-15,A,19 (I-A),West Virginia,"L, 75-57",71,80.4,44.0,28.2,20.0,30.0,105.8,50.0,14.1,25.0,25.8,-2.0,18.5,134.0,90.8,91.2,90.13333333333334,89.18016528925618,93.875,97.05,96.74444444444448,100.1388429752066,20221115,94.7,98.5,-3.799999999999997,109.3,92.0,17.299999999999997,95.5728,100.343,-4.77017,69.3616,16.823717869938754,135.6664012809813,69.78645213314365,18.56768452688604,139.57122010837003,24.688631383274043,139.57122010837003,18.56768452688604,139.57122010837003,24.688631383274043,131.8313757073939,11.901567570538475,106.425,92.0978,14.3273,70.7306,94.7,98.5,-3.799999999999997,109.3,92.0,17.299999999999997,24.696833166048275,131.92553604024064,0,103.6792108,102.8377601,0.84145070000001,-1.33650464,102.176015,90.65413843,11.521876570000003,10.17423557,2022-11-15,142.44035408874925,10.073303410661879,142.44035408874925,23.888553905394986,142.44035408874925,14.422136666666669,-4.505736666666673,9.916399999999996,4.77017,3.3228899999999992,-8.287900000000002,-1.447280000000001,11.610790000000001,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,3,0.039042694968427716,0.12850581666192495,-1.8409411111111167,0.7701699999999958,-4.505736666666676,1.1076300000000003,-0.7236399999999996,-1,-1.0,1,1,-1,1,-1.0,-3.0
-20.5,-31,-8.466666666666669,-14.740740740740744,-14.60255447032307,65.0,83.39999999999999,96.0,91.86666666666667,Fri 11-18 11-18,A,85 (Ⅱ),Vanderbilt,"L, 76-43",70,61.5,29.4,11.4,13.0,14.3,108.7,55.9,18.6,27.0,30.5,-14.5,12.5,133.5,77.9,90.8,81.75555555555556,84.7837716003005,94.9375,93.875,96.49629629629632,99.38632607062355,20221118,94.6,98.1,-3.5,102.9,96.5,6.400000000000006,95.3856,100.26,-4.87444,69.4663,12.38056538940232,132.90469593979725,67.75642111635847,10.439407097446669,133.64215782653804,5.5667909575443035,133.64215782653804,10.439407097446669,133.64215782653804,5.5667909575443035,128.4596963773188,13.357958457818725,104.521,96.388,8.13307,68.5696,94.6,98.1,-3.5,102.9,96.5,6.400000000000006,5.834137028413418,128.61562767085215,0,85.72931602,97.79305844,-12.063742419999997,-4.886104266,99.09884689,96.46465359,2.634193300000007,2.764387808,2022-11-18,124.96703697444595,7.060753030456617,124.96703697444595,4.464769217509179,124.96703697444595,-9.35885518518517,-0.9846614814814902,-10.34351666666666,-26.12556,-22.80267,-4.417636666666669,3.3228899999999992,-18.38503333333333,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,3,0.11692964134637251,0.10165342801196842,-9.866300740740744,-3.5922266666666687,-1.8409411111111167,-5.7006675,1.1076300000000003,-1,-1.0,-1,-1,1,-3,1.0,-1.0
-13.0,-11,-14.300000000000002,-13.693827160493832,-14.056635475718878,94.3,83.23333333333333,105.9,97.53333333333336,Sat 11-26 11-26,A,84 (Ⅱ),Marshall,"L, 83-59",70,84.1,39.2,24.2,35.7,28.3,118.3,60.3,18.5,33.3,14.3,-8.0,11.0,150.0,86.1,77.9,85.93703703703704,86.5139949457004,100.41875,94.9375,99.63086419753088,100.57063042141928,20221126,93.4,99.0,-5.599999999999994,104.4,101.4,3.0,95.1113,101.357,-6.24532,68.2569,11.324023907913613,144.92694713709724,70.94620244125178,10.3038331964201,143.96501064305514,17.639982481245333,143.96501064305514,10.3038331964201,143.96501064305514,17.639982481245333,132.0721592409048,16.287290739029714,106.194,102.338,3.85631,73.0698,93.4,99.0,-5.599999999999994,104.4,101.4,3.0,17.527367654511835,132.11067187577035,0,86.24344868,97.04159096,-10.798142279999993,-2.849408787,102.1518743,94.79982017,7.352054129999999,5.867277296,2022-11-26,131.6735461316866,8.200626306393929,131.6735461316866,13.567186812882603,131.6735461316866,7.286088555555567,-5.63171862962964,1.654369925925927,-4.75468,-27.55735,-10.545981111111113,-22.80267,-17.01136888888889,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,3,0.14740707903152717,0.06043040926864374,-7.448507160493832,-8.054680000000001,-9.866300740740744,-5.511470000000001,-5.7006675,-1,-1.0,-1,-1,-1,-3,-3.0,1.0
-13.5,-8,-17.13333333333334,-12.062551440329226,-13.10088357104272,98.6,85.96666666666665,107.4,103.1,Sat 12-03 12-03,H,250 (Ⅳ),North Alabama,"L, 81-75",73,102.1,51.7,16.3,22.2,31.7,110.3,53.7,15.0,14.3,50.0,14.5,-7.5,141.5,92.35,86.1,90.15802469135804,88.7114504101185,103.909375,100.41875,102.22057613168728,101.81233398116125,20221203,93.4,99.6,-6.199999999999989,98.3,108.7,-10.400000000000006,94.8718,102.016,-7.14445,66.9357,-7.682195642996078,134.6007521167494,66.76193378022761,-6.297239874780942,136.5475307448205,-4.981395765244921,136.5475307448205,-6.297239874780942,136.5475307448205,-4.981395765244921,128.30544403602764,2.4290932508519205,96.3186,109.786,-13.4673,70.1175,93.4,99.6,-6.199999999999989,98.3,108.7,-10.400000000000006,-3.193782494317674,130.12665787775325,0,90.58821915,100.2919019,-9.703682749999999,-1.518066345,105.8325646,106.9759956,-1.1434310000000067,-0.16839472,2022-12-03,138.77621821925908,-0.952504473041131,138.77621821925908,-0.04789181645477214,138.77621821925908,10.140511743680182,-9.387815770723114,0.7526959729570688,-0.85555,-28.4129,-16.21643740740741,-27.55735,-12.196462592592592,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3,0.7624747379730235,0.4085244768513121,-4.9181014403292265,-9.98888333333334,-7.448507160493832,-4.735483333333334,-5.511470000000001,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
4.0,-7,-9.433333333333342,-10.67503429355282,-12.15526837630768,95.6,96.16666666666669,103.5,105.6,Sun 12-11 12-11,H,241 (Ⅳ),East Tennessee St.,"W, 61-57",60,101.9,52.1,23.4,37.0,38.3,95.2,48.1,16.7,24.2,25.0,-18.0,0.0,136.0,93.975,92.35,91.97201646090537,89.96391397191513,103.7046875,103.909375,102.6470507544582,102.1191823482228,20221211,93.9,100.6,-6.699999999999989,96.4,104.3,-7.899999999999991,95.4009,103.987,-8.58645,68.0635,-2.6660861747575666,136.22237354225967,66.63029375462305,-4.382190273362781,133.15039362080745,-3.495212192283199,133.15039362080745,-4.382190273362781,133.15039362080745,-3.495212192283199,120.33040474158022,-1.029433362645939,99.6313,106.783,-7.15128,68.8197,93.9,100.6,-6.699999999999989,96.4,104.3,-7.899999999999991,-0.2413928978254623,121.96384681443264,0,88.49141318,102.4121449,-13.920731720000006,-8.826952357,92.3187384,102.6793051,-10.360566699999993,-9.441850902,2022-12-11,126.56735793596775,-2.104941130078899,126.56735793596775,2.3049486220554343,126.56735793596775,5.688105834966359,-7.007019754556152,-1.318913919589793,1.5864499999999992,-26.82645,-20.281924938271608,-28.4129,-6.544525061728393,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,3,0.5,0.5390502398034769,-2.0885842935528203,-0.8468833333333432,-4.9181014403292265,-3.832350000000001,-4.735483333333334,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
8.0,17,0.266666666666661,-1.2833561957018809,-6.763401398797193,121.3,105.16666666666669,103.8,104.9,Wed 12-14 12-14,A,181 (Ⅲ),Georgia Southern,"W, 74-71",66,112.1,61.8,21.2,13.0,92.1,107.5,38.2,9.1,39.1,32.4,17.0,5.0,128.0,107.6375,93.975,101.74801097393691,95.66138415883964,103.75234375,103.7046875,103.0313671696388,102.42478555763684,20221214,93.9,101.0,-7.099999999999994,97.4,101.8,-4.399999999999992,95.0276,103.625,-8.5972,67.1566,5.206640814369067,126.7120222131398,63.60198110099572,5.362614835537542,126.68699711783928,8.973477739361906,126.68699711783928,5.362614835537542,126.68699711783928,8.973477739361906,122.02105170666555,7.212853221478369,97.8208,103.91,-6.08874,66.579,93.9,101.0,-7.099999999999994,97.4,101.8,-4.399999999999992,5.433662195300415,116.51960057522213,0,88.79602891,103.6466298,-14.850600889999996,-10.16008251,91.34599785,99.96475357,-8.618755719999996,-0.891136719,2022-12-14,119.87425800193127,7.577685499964822,119.87425800193127,7.065327869502994,119.87425800193127,7.962017484812867,-3.8205888297733583,4.141428655039508,25.5972,-1.2292500000000004,-22.463433292181072,-26.82645,21.234183292181072,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.31696934194067294,0.24606077301675366,7.31384380429812,8.863866666666661,-2.0885842935528203,-0.15365625000000005,-3.832350000000001,1,-1.0,1,-1,-1,1,-3.0,-3.0
-21.0,-42,-10.966666666666663,-15.022237463801249,-13.260964780834064,91.7,102.86666666666667,134.2,113.83333333333331,Sat 12-17 12-17,A,219 (Ⅲ),Mercer,"L, 79-52",60,86.4,36.0,21.6,26.5,65.1,131.2,67.3,14.9,23.8,30.6,-2.5,6.0,133.5,99.66875,107.6375,98.39867398262462,94.94113249359606,118.976171875,103.75234375,113.42091144642586,108.20209727443014,20221217,95.5,101.4,-5.900000000000006,101.4,104.1,-2.6999999999999886,96.0339,103.939,-7.90496,67.3655,7.7086872074172845,133.70554654645247,65.00358699288762,6.045223629464402,134.92059147137857,6.5709969850491925,134.92059147137857,6.045223629464402,134.92059147137857,6.5709969850491925,125.42800585698514,9.178068616644097,102.291,104.323,-2.03189,67.8352,95.5,101.4,-5.900000000000006,101.4,104.1,-2.6999999999999886,5.99778970779485,128.69893715003042,0,92.68952248,104.6044475,-11.914925020000013,-9.371954356,98.25665622,101.9976076,-3.7409513799999985,-3.003254397,2022-12-17,131.73459601060387,5.8473632397431174,131.73459601060387,1.8753288313704388,131.73459601060387,-7.0462138707955075,4.205630045534207,-2.8405838252613007,-34.09504,-35.32429,-15.385372194787385,-1.2292500000000004,-19.93891780521261,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,3,0.2838545830986763,0.19103141601609763,-7.117277463801249,-3.0617066666666632,7.31384380429812,-3.924921111111111,-0.15365625000000005,-1,1.0,-1,-1,-1,-3,1.0,-3.0
11.0,6,-6.199999999999993,-7.881491642534165,-9.686243911591506,116.5,109.83333333333331,110.1,116.03333333333332,Thu 12-29 12-29,A,273 (Ⅳ),Tennessee St.,"W, 83-75",69,119.8,59.5,15.9,28.1,31.0,108.2,52.5,8.7,14.3,31.7,16.5,3.0,141.5,108.084375,99.66875,104.43244932174974,98.8609265856695,114.5380859375,118.976171875,112.31394096428392,108.54717049726102,20221229,94.7,103.2,-8.5,99.6,107.7,-8.100000000000009,95.4674,105.355,-9.88731,67.1272,4.383903099574468,139.64199907540672,67.61169987596017,4.522523690562508,141.88423259116186,0.8047535745457871,141.88423259116186,4.522523690562508,141.88423259116186,0.8047535745457871,153.9826078257654,7.029084605339207,98.8152,108.31,-9.49436,70.8074,94.7,103.2,-8.5,99.6,107.7,-8.100000000000009,3.4247418519840402,137.16499923888904,0,92.09817245,106.8713925,-14.773220049999992,-9.391132089,94.88204559,105.1099975,-10.227951910000002,-8.540177716,2022-12-29,137.40430062143986,2.2987410261124097,137.40430062143986,-1.5348343421296349,137.40430062143986,-4.717503822264716,-1.6427893296845948,-6.36029315194931,15.88731,-19.43698,-22.031678129858257,-35.32429,2.5946981298582585,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,-3,0.38754848109799234,0.2516084962146292,2.0058183574658344,3.6873100000000063,-7.117277463801249,-1.9436980000000013,-3.924921111111111,1,-1.0,1,-1,-1,1,-3.0,1.0
