ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
13.0,4,,4.899999999999992,4.899999999999992,108.3,0.0,103.4,0.0,Mon 11-07 11-07,A,306 (Ⅳ),William & Mary,"W, 74-59",62,119.7,56.5,16.2,40.6,9.7,95.5,45.6,16.2,28.6,17.5,-1.0,-2.0,134.0,108.3,0.0,108.3,108.3,103.4,0.0,103.4,103.4,20221107,91.6,96.0,-4.4,96.5,106.3,-9.8,95.2573,97.9875,-2.73013,67.6707,-4.142389412868454,130.85398564225076,67.93579972660028,0.4095768630607637,132.15818853766484,-12.047358660941427,132.15818853766484,0.4095768630607637,132.15818853766484,-12.047358660941427,155.49374633704335,-10.740906150212865,93.0266,107.822,-14.7955,70.5754,91.6,96.0,-4.4,96.5,106.3,-9.8,-12.047358660941427,155.49374633704335,0,98.41163789,92.72312892,5.688508970000001,0.396710224,86.62796785,102.4547692,-15.826801349999997,-13.80919234,2022-11-07,125.6847177344729,-7.8762574007318875,125.6847177344729,-1.9013871627480796,125.6847177344729,0.0,0.0,0.0,6.73013,6.73013,0.0,0.0,6.73013,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,3,0.5755320005597261,0.8468327062413337,7.630129999999992,,0.0,6.73013,0.0,1,0.0,1,1,1,3,0.0,0.0
2.5,14,,7.966666666666664,6.572727272727267,113.9,0.0,99.8,0.0,Fri 11-11 11-11,H,116 (Ⅲ),Princeton,"W, 74-73",68,109.6,62.2,16.3,11.5,42.9,108.1,58.9,22.2,33.3,30.4,12.5,1.5,134.5,111.1,108.3,110.16666666666669,109.3181818181818,101.6,103.4,102.20000000000002,102.74545454545454,20221111,92.1,96.6,-4.5,99.6,102.3,-2.700000000000003,95.4608,98.1911,-2.73024,67.6877,-1.29300985256981,134.36380531875787,68.05290547098151,-2.325618531438863,132.7264561787234,-5.129321512269144,132.7264561787234,-2.325618531438863,132.7264561787234,-5.129321512269144,161.96232276686035,-7.08237496086231,102.931,102.054,0.877147,70.6793,92.1,96.6,-4.5,99.6,102.3,-2.700000000000003,-5.129321512269144,161.96232276686035,0,98.41163789,92.72312892,5.688508970000001,0.396710224,106.3017864,104.7436578,1.5581286000000034,0.415502954,2022-11-11,140.67194669541777,-1.900430639732619,140.67194669541777,-0.6119317259950776,140.67194669541777,0.0,0.0,0.0,16.73024,23.460369999999998,6.73013,6.73013,16.73024,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.4432015031835318,0.7500070389649329,10.696906666666663,,7.630129999999992,11.730184999999999,6.73013,1,1.0,1,1,1,3,3.0,0.0
-9.0,-28,-3.133333333333335,-4.155555555555559,0.214049586776853,86.3,102.83333333333331,114.7,105.96666666666664,Mon 11-14 11-14,A,350 (Ⅳ),Coppin St.,"L, 75-68",71,96.1,56.4,28.3,31.3,21.8,106.0,47.5,15.5,27.5,42.4,4.0,-2.0,139.0,98.7,111.1,102.21111111111112,105.13305785123966,108.15,101.6,106.36666666666667,104.9190082644628,20221114,94.2,97.7,-3.5,94.9,104.6,-9.699999999999989,96.6553,99.3062,-2.6509,67.264,-2.6585839096817097,137.87231060495063,72.07447633570412,-0.34054057523236736,140.87059355753775,-10.234935449457076,140.87059355753775,-0.34054057523236736,140.87059355753775,-10.234935449457076,159.56750517511853,1.1444256651344489,92.3258,104.267,-11.9412,75.3276,94.2,97.7,-3.5,94.9,104.6,-9.699999999999989,-10.2538254019781,159.52743112721967,0,98.41163789,92.72312892,5.688508970000001,0.396710224,101.4787316,99.49751446,1.9812171399999983,0.769441693,2022-11-14,141.4726550570948,2.2984965622442246,141.4726550570948,-11.735430510059246,141.4726550570948,-9.16162888888888,10.69690666666666,1.5352777777777806,-25.3491,-1.8887300000000025,12.306876666666666,23.460369999999998,-14.195606666666668,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,3,0.5755320005597261,0.45660405275714466,-1.5046555555555594,-0.48243333333333505,10.696906666666663,-0.6295766666666669,11.730184999999999,-1,1.0,-1,-1,1,-3,3.0,3.0
3.5,0,-4.833333333333333,-2.837037037037041,0.1387678437265156,98.0,99.4,98.2,104.23333333333332,Fri 11-18 11-18,H,223 (Ⅳ),UC San Diego,"W, 78-69 OT",75,104.5,44.7,14.7,37.5,17.3,92.4,50.0,24.1,22.9,25.9,15.5,-5.5,131.5,98.35,98.7,100.80740740740742,103.83613824192336,103.175,108.15,103.64444444444447,103.69737039819684,20221118,94.3,98.8,-4.5,101.9,108.2,-6.299999999999997,96.85,100.268,-3.41772,66.9449,-7.791869090803601,130.4005638459105,63.80525084921764,-4.604102063674986,132.7809068975277,-12.579973965004188,132.7809068975277,-4.604102063674986,132.7809068975277,-12.579973965004188,147.52665786288696,-13.736534277329717,99.0569,109.292,-10.235,67.003,94.3,98.8,-4.5,101.9,108.2,-6.299999999999997,-12.481857228076901,147.30920528731383,0,101.539992,95.29689572,6.243096280000003,10.33708651,97.14087495,106.2969877,-9.156112750000005,-10.70103001,2022-11-18,131.59453710165232,-15.206719032431053,131.59453710165232,-12.011019446110978,131.59453710165232,-8.52572981481482,1.040067592592588,-7.485662222222233,3.41772,1.5289899999999976,7.575007777777777,-1.8887300000000025,-6.046017777777779,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.6997944856925475,0.9046042711359383,0.5806829629629591,-1.415613333333333,-1.5046555555555594,0.3822475000000001,-0.6295766666666669,1,-1.0,-1,1,-1,1,-3.0,3.0
16.0,19,-3.133333333333335,4.50864197530864,3.6044464175944224,116.7,100.33333333333331,97.5,103.46666666666664,Sun 11-20 11-20,H,136 (Ⅲ),Youngstown St.,"W, 80-67",65,123.3,69.4,17.0,13.6,32.7,103.3,43.9,17.0,41.3,22.7,7.5,3.0,139.5,107.525,98.35,106.10493827160496,106.17502219793728,100.3375,103.175,101.59629629629632,102.57057578034286,20221120,95.3,99.5,-4.200000000000003,108.1,105.9,2.1999999999999886,96.6733,100.065,-3.39161,67.3712,-2.6915741383151186,144.287739613572,69.6692000068279,0.5709284090295625,148.5707737019554,3.9412144895712147,148.5707737019554,0.5709284090295625,148.5707737019554,3.9412144895712147,152.10122697987242,-5.743072710312447,104.981,106.652,-1.67089,72.6979,95.3,99.5,-4.200000000000003,108.1,105.9,2.1999999999999886,3.736100019468679,152.34332301094076,0,103.4467445,96.39176134,7.054983159999992,12.14859252,102.008417,97.44616447,4.562252529999995,5.89534831,2022-11-20,142.08400041448658,-6.483317784934982,142.08400041448658,6.37973095277637,142.08400041448658,10.658311148148169,-0.6517194814814848,10.006591666666683,22.39161,23.920599999999997,5.559668518518517,1.5289899999999976,18.36093148148148,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,3,0.38754848109799234,0.7077966549548432,7.90025197530864,0.25827666666666493,0.5806829629629591,4.78412,0.3822475000000001,1,1.0,1,1,1,3,1.0,-3.0
10.5,15,11.466666666666669,8.139094650205761,5.749092523486347,115.5,110.06666666666666,100.1,98.6,Sat 11-26 11-26,H,288 (Ⅳ),Mount St. Mary's,"W, 75-59",64,117.6,58.1,12.5,31.3,12.9,92.5,50.0,22.0,22.2,24.0,3.5,-5.5,130.5,111.5125,107.525,109.23662551440331,107.87047270740322,100.21875,100.3375,101.09753086419757,102.12138018391688,20221126,97.4,99.6,-2.1999999999999886,99.3,102.3,-3.0,99.3566,101.319,-1.96251,65.5526,-4.932663006290319,127.88026633902663,63.768879252631585,-4.120697450547908,129.9688347758732,-5.792261605111574,129.9688347758732,-4.120697450547908,129.9688347758732,-5.792261605111574,133.18756093792194,-4.734604379629495,98.3564,102.446,-4.0893,68.3871,97.4,99.6,-2.1999999999999886,99.3,102.3,-3.0,-6.017192744986412,132.95201765395095,0,104.2643748,96.34991872,7.914456079999994,11.91902102,98.76050133,93.04186676,5.718634569999992,4.01378181,2022-11-26,125.81472460035982,-6.968853442705409,125.81472460035982,-3.8999684798546,125.81472460035982,-1.86062255379189,6.4015366067019395,4.54091405291005,16.96251,40.88311,11.679979012345678,23.920599999999997,29.203130987654326,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,-3,0.6997944856925475,0.6739744868349545,10.101604650205761,13.429176666666669,7.90025197530864,6.813851666666666,4.78412,1,1.0,1,1,1,3,3.0,1.0
-1.0,-5,9.600000000000003,3.492729766803843,3.6492575192161034,116.2,116.13333333333333,122.0,106.53333333333336,Wed 11-30 11-30,A,185 (Ⅲ),Lipscomb,"L, 82-77",68,113.2,59.1,27.9,46.7,27.3,120.6,51.6,11.8,32.4,41.0,21.5,4.0,137.5,113.85625,111.5125,111.55775034293556,109.38493221514808,111.109375,100.21875,108.0650205761317,105.735674695932,20221130,99.3,99.3,0.0,105.0,105.6,-0.5999999999999943,100.404,100.948,-0.54396,64.5185,3.9500193219638504,129.90305115209816,61.959052022759614,3.3472576086910237,133.10490076263056,0.22680647104241433,133.10490076263056,3.3472576086910237,133.10490076263056,0.22680647104241433,135.4826756780674,-3.7401438361354167,104.589,104.649,-0.0600424,67.5112,99.3,99.3,0.0,105.0,105.6,-0.5999999999999943,0.13800056536821917,135.90149289086975,0,107.1608569,96.36862384,10.792233060000001,17.0577271,101.7972463,102.4594116,-0.6621652999999981,-6.271964922,2022-11-30,132.12492626330027,-12.626443976038459,132.12492626330027,-4.370170149851575,132.12492626330027,-10.937448021928255,10.723480962668992,-0.2139670592592633,-4.45604,36.42707,21.414356008230452,40.88311,15.012713991769548,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.35161929169946593,0.6391561671815278,4.036689766803843,10.143960000000003,10.101604650205761,5.203867142857144,6.813851666666666,1,1.0,1,1,1,3,3.0,3.0
-19.0,-33,-7.933333333333333,-8.804846822130772,-3.086971120641372,100.0,110.56666666666668,133.4,118.5,Sat 12-03 12-03,A,352 (Ⅳ),VMI,"L, 80-72",65,111.6,54.9,17.1,31.3,8.2,124.0,59.3,10.9,25.0,23.7,9.5,-11.0,142.5,106.928125,113.85625,107.70516689529038,107.67858090330296,122.2546875,111.109375,116.51001371742116,110.76555202394437,20221203,100.8,100.7,0.0999999999999943,91.8,113.8,-22.0,101.676,102.103,-0.426275,64.8214,-5.809937403126327,134.24908714837596,63.37771769587482,-10.71536271161147,134.37892454511325,-15.557940128485306,134.37892454511325,-10.71536271161147,134.37892454511325,-15.557940128485306,144.2300262118984,-6.939478339333164,97.0024,112.341,-15.3384,68.7343,100.8,100.7,0.0999999999999943,91.8,113.8,-22.0,-16.594827415347517,140.35371422775677,0,108.1119725,98.56257492,9.54939757999999,16.08349884,99.46535355,106.0522793,-6.586925749999992,-9.395622185,2022-12-03,138.08500178645426,-14.314168568922739,138.08500178645426,-22.338714270332268,138.08500178645426,-24.770184061009886,7.551524516624205,-17.21865954438568,-32.573725,3.8533449999999974,26.41859400548697,36.42707,-22.565249005486972,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,3,0.8525929209684728,0.7456626424541056,-8.378571822130771,-7.507058333333332,4.036689766803843,0.4816681250000001,5.203867142857144,-1,1.0,-1,1,1,-1,3.0,3.0
-3.5,-6,-15.366666666666667,-8.169897881420518,-3.7802490987065775,110.0,108.73333333333336,116.9,124.09999999999998,Wed 12-07 12-07,A,20 (I-A),West Virginia,"L, 85-64",64,100.5,54.5,14.1,15.6,14.3,133.4,64.7,14.1,37.9,27.6,14.5,17.5,134.5,108.4640625,106.928125,108.47011126352692,108.10065710270244,119.57734375,122.2546875,116.64000914494744,111.88090620140903,20221207,101.7,103.6,-1.8999999999999917,112.3,91.6,20.700000000000003,102.439,103.862,-1.4236,64.6028,16.450681543783993,131.2968769422922,62.88930951806544,18.76052881512122,135.71244538264153,22.72469256623699,135.71244538264153,18.76052881512122,135.71244538264153,22.72469256623699,143.68140614114307,12.051099727084747,110.547,92.1418,18.4054,68.4354,101.7,103.6,-1.8999999999999917,112.3,91.6,20.700000000000003,21.417135787669967,138.197257229929,0,107.8610368,100.5501973,7.3108395,15.78491377,108.354289,89.02912257,19.325166429999996,22.74100409,2022-12-07,132.60675846182494,6.474739410393923,132.60675846182494,19.009377008126755,132.60675846182494,9.26821875333409,-2.8639812495236905,6.4042375038104,-4.5764,-0.7230550000000022,18.896844336991315,3.8533449999999974,-19.619899336991317,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,-3,0.047790352272814696,0.1255413048121944,-6.746297881420517,-13.943066666666667,-8.378571822130771,-0.0803394444444443,0.4816681250000001,-1,-1.0,-1,-1,1,-3,-1.0,3.0
9.5,5,-11.700000000000005,-3.713265254280345,-2.1474765353053806,99.5,103.16666666666669,94.3,114.86666666666666,Sun 12-11 12-11,A,135 (Ⅲ),Towson,"W, 71-69 OT",71,100.6,52.4,19.8,30.3,12.9,97.7,49.1,25.5,31.4,45.3,9.5,7.5,130.5,103.98203125,108.4640625,105.48007417568462,106.53690126584743,106.938671875,119.57734375,109.19333942996496,108.68437780115283,20221211,103.8,105.6,-1.7999999999999972,108.4,102.7,5.700000000000003,103.881,105.477,-1.59589,64.7233,8.64513216767989,126.83454549727824,57.82967011266002,8.36983514108882,131.766144074109,3.479440420630571,131.766144074109,8.36983514108882,131.766144074109,3.479440420630571,142.96296927015516,-0.4070639169765329,108.549,101.689,6.86014,62.8124,103.8,105.6,-1.7999999999999972,108.4,102.7,5.700000000000003,7.171065207573424,132.2933634141048,0,108.6402845,102.8402954,5.799989100000005,12.87238213,101.367006,102.1298834,-0.7628773999999936,-6.090136322,2022-12-11,128.02637234888036,-9.291820997411456,128.02637234888036,2.8368355124682054,128.02637234888036,-4.527604405546102,-6.794431714682258,-11.32203612022836,6.59589,5.872834999999998,12.356877891327542,-0.7230550000000022,-6.484042891327545,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,3,0.23752526202697655,0.5154623178748268,-2.1173752542803452,-10.104110000000004,-6.746297881420517,0.5872834999999998,-0.0803394444444443,-1,-1.0,-1,1,-1,-1,-3.0,-1.0
