ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-8.0,8,,8.200000000000003,8.200000000000003,107.9,0.0,99.7,0.0,Mon 11-07 11-07,H,283 (Ⅳ),Maine,"W, 79-66",70,113.4,51.5,18.7,42.1,24.6,94.7,58.2,21.5,15.2,18.2,0.0,-21.0,145.0,107.9,0.0,107.9,107.9,99.7,0.0,99.7,99.7,20221107,103.1,95.6,7.5,94.2,106.5,-12.3,102.295,96.6655,5.62912,73.9374,-21.73330080607043,144.00310860091759,73.99724406913228,-19.16654871866602,151.5776514313951,-19.887108551079002,151.5776514313951,-19.16654871866602,151.5776514313951,-19.887108551079002,163.90605634796972,-15.656868484449504,88.3516,107.006,-18.654,70.3569,103.1,95.6,7.5,94.2,106.5,-12.3,-19.887108551079002,163.90605634796972,0,95.94207635,99.53114688,-3.5890705300000008,-6.908055626,88.29167959,107.5947465,-19.30306691,-14.25480134,2022-11-07,144.8663531185914,-7.289073158166943,144.8663531185914,-16.67365101160943,144.8663531185914,0.0,0.0,0.0,2.3708799999999997,2.3708799999999997,0.0,0.0,2.3708799999999997,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3,0.9772498680518208,0.9320363598876186,2.5708800000000025,,0.0,2.3708799999999997,0.0,1,0.0,1,1,1,3,0.0,0.0
-3.5,7,,8.100000000000005,8.145454545454548,99.7,0.0,91.8,0.0,Thu 11-10 11-10,H,326 (Ⅳ),Nebraska Omaha,"W, 75-61",69,109.1,57.0,16.0,23.5,62.0,88.7,45.7,23.3,25.0,17.2,-13.5,-17.5,149.5,103.8,107.9,105.16666666666669,106.4090909090909,95.75,99.7,97.06666666666668,98.26363636363637,20221110,103.6,96.1,7.5,94.5,109.0,-14.5,102.501,96.8715,5.62916,73.9545,-18.519030209114604,152.0886321862302,75.63946333783784,-21.49068955987235,157.9036030869236,-15.147174811723735,157.9036030869236,-21.49068955987235,157.9036030869236,-15.147174811723735,170.38694420311293,-12.85249949088707,94.2205,107.543,-13.3223,71.9017,103.6,96.1,7.5,94.5,109.0,-14.5,-15.147174811723735,170.38694420311293,0,95.94207635,99.53114688,-3.5890705300000008,-6.908055626,94.07768089,109.1464426,-15.068761710000004,-11.58378064,2022-11-10,153.50449561833415,-5.458778521221291,153.50449561833415,-18.68446023371269,153.50449561833415,0.0,0.0,0.0,1.3708400000000003,3.74172,2.3708799999999997,2.3708799999999997,1.3708400000000003,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,3,0.9522096477271853,0.8895328586815916,2.4708400000000053,,2.5708800000000025,1.8708600000000004,2.3708799999999997,1,1.0,1,1,1,3,3.0,0.0
-11.0,-6,3.1666666666666714,3.200000000000006,5.464462809917358,81.9,96.5,88.5,93.33333333333331,Thu 11-17 11-17,A,92 (Ⅱ),St. John's,"L, 70-50",71,70.3,33.6,23.9,36.7,21.9,98.4,42.6,18.3,42.9,18.9,-39.0,9.0,159.0,92.85,103.8,97.41111111111113,101.95289256198346,92.125,95.75,94.21111111111112,96.4884297520661,20221117,104.3,96.7,7.599999999999994,107.3,95.0,12.299999999999995,103.312,97.75,5.56166,72.3094,12.239879575024503,158.09332781693723,77.62974667852062,8.20436049742068,160.85583781657274,3.204635817590171,160.85583781657274,8.20436049742068,160.85583781657274,3.204635817590171,178.33874383745783,14.070425223137747,109.702,93.9983,15.7036,75.4725,104.3,96.7,7.599999999999994,107.3,95.0,12.299999999999995,3.1403357721079326,178.29174548530614,0,86.43838428,93.4628273,-7.024443020000007,-5.999946983,107.3624421,101.6422453,5.7201967999999965,5.853979873,2022-11-17,149.42532712867927,11.374219902200338,149.42532712867927,2.975056535125404,149.42532712867927,-9.974828888888883,2.4708400000000035,-7.50398888888888,-11.56166,-7.81994,2.8278266666666667,3.74172,-10.647766666666666,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,3,0.19568296915377603,0.09011608957920081,-2.361659999999994,-2.3949933333333284,2.4708400000000053,-2.6066466666666663,1.8708600000000004,-1,1.0,-1,-1,1,-3,3.0,3.0
6.0,9,3.500000000000005,5.200000000000005,6.143651389932384,116.2,99.26666666666668,107.0,95.76666666666668,Sun 11-20 11-20,H,311 (Ⅳ),Arkansas Pine Bluff,"W, 82-58",64,127.4,60.2,15.5,43.3,48.1,90.1,50.9,28.0,25.0,5.6,-2.0,-18.0,142.0,104.525,92.85,103.6740740740741,104.54327573253192,99.5625,92.125,98.47407407407408,98.39962434259952,20221120,103.4,96.4,7.0,93.8,108.4,-14.600000000000009,101.786,96.9564,4.82949,71.4013,-22.152396879496365,148.8231581517042,74.77615404893315,-20.883795513435587,155.19863248067122,-10.30902858378818,155.19863248067122,-20.883795513435587,155.19863248067122,-10.30902858378818,135.75331783732125,-0.6357568120602082,90.3065,109.785,-19.4788,73.6228,103.4,96.4,7.0,93.8,108.4,-14.600000000000009,-10.237524335195902,135.68918646126386,0,92.85850149,95.06578627,-2.207284780000009,0.402116982,99.80124028,97.48037509,2.3208651900000064,0.71545367,2022-11-20,141.5660320184985,-1.8711306577922642,141.5660320184985,-10.848019855229822,141.5660320184985,13.671691940035279,-1.572916666666659,12.09877527336862,4.17051,-3.6494299999999997,-0.7214288888888882,-7.81994,-2.9280011111111115,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,-3,0.9567618672531671,0.5241405129096781,0.3705100000000048,-1.329489999999995,-2.361659999999994,-0.9123574999999997,-2.6066466666666663,1,-1.0,-1,-1,-1,-1,-3.0,3.0
-6.5,-8,-1.9333333333333325,0.6666666666666687,3.4993511372174035,100.1,99.40000000000002,108.5,101.33333333333331,Thu 11-24 11-24,N,60 (Ⅱ),Oklahoma,"L, 69-56",60,93.0,45.0,18.3,36.7,38.0,114.6,58.8,11.6,14.3,5.3,-7.0,6.5,132.0,102.3125,104.525,102.48271604938272,103.7354074175261,104.03125,99.5625,101.81604938271607,100.2360562803087,20221124,104.2,97.2,7.0,105.8,92.2,13.599999999999994,103.571,98.336,5.2348,68.1638,6.098839082773743,127.00773119296235,63.82099994566145,4.430768446093403,130.27318506658227,4.674284200893846,130.27318506658227,4.430768446093403,130.27318506658227,4.674284200893846,117.46115174848782,4.566242811113064,106.576,91.9163,14.6598,65.8211,104.2,97.2,7.0,105.8,92.2,13.599999999999994,4.53135404239942,117.70904810873205,0,97.89429774,98.78815681,-0.8938590700000049,1.244888673,100.2099915,94.00297479,6.207016710000005,-0.245493559,2022-11-24,125.10519232080645,-0.951176843474876,125.10519232080645,5.675577887760298,125.10519232080645,-1.4211380370370472,-0.9523989999999936,-2.3735370370370408,-13.2348,-16.88423,-1.6974292592592586,-3.6494299999999997,-15.18680074074074,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,-3,0.26794249453351904,0.3318246690360065,-4.568133333333331,-7.168133333333333,0.3705100000000048,-3.3768459999999996,-0.9123574999999997,-1,1.0,-1,-1,-1,-3,-1.0,-3.0
-2.0,0,-0.0333333333333361,0.144444444444444,2.699469112268784,99.8,105.36666666666666,100.7,105.4,Fri 11-25 11-25,N,26 (I),Memphis,"L, 73-61",66,92.5,52.0,30.3,36.7,23.5,110.7,56.8,19.7,33.3,18.6,-4.5,10.0,138.5,101.05625,102.3125,101.58847736625516,103.01987879615773,102.365625,104.03125,101.44403292181072,100.32040968388894,20221125,104.1,98.2,5.899999999999992,108.4,91.0,17.400000000000006,103.44,99.0736,4.36664,66.9998,9.389735979136525,135.38174380090268,67.5050147081081,8.103938918872345,139.13437769128603,10.31223216288211,139.13437769128603,8.103938918872345,139.13437769128603,10.31223216288211,133.55547892177438,7.380242622240026,108.774,90.6681,18.1063,70.8301,104.1,98.2,5.899999999999992,108.4,91.0,17.400000000000006,10.604271370125545,133.3541970700058,0,96.87945408,100.1787385,-3.2992844199999922,-0.66492625,102.7413787,95.22518325,7.516195449999998,6.964816746,2022-11-25,134.9840325481068,5.1504591316406305,134.9840325481068,11.589610951090194,134.9840325481068,4.109992518518519,-3.579183999999996,0.5308085185185227,-4.36664,-21.25087,-6.759696172839505,-16.88423,-14.491173827160495,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,-3,0.17045190796406517,0.24106519018906036,-4.222195555555556,-4.399973333333336,-4.568133333333331,-3.541811666666666,-3.3768459999999996,-1,-1.0,-1,-1,-1,-3,-3.0,-1.0
14.5,15,2.199999999999998,5.396296296296297,5.099565637310824,100.0,99.96666666666664,84.1,97.76666666666668,Sun 11-27 11-27,N,210 (Ⅳ),Florida St.,"W, 75-58",71,106.0,54.5,19.8,38.2,7.6,82.0,41.5,26.9,34.2,25.4,-6.5,-2.5,139.5,100.528125,101.05625,101.05898491083678,102.47080992412904,93.2328125,102.365625,95.66268861454049,97.37124428681824,20221127,104.0,98.3,5.700000000000003,101.7,101.0,0.7000000000000028,103.772,99.5654,4.20712,65.5841,-1.3919886486028474,135.69927645894438,65.19134173399718,-3.3889173344821586,137.06438685933003,-4.070918267954997,137.06438685933003,-3.3889173344821586,137.06438685933003,-4.070918267954997,130.87560047653275,-5.630578713585244,103.977,101.83,2.14735,69.879,104.0,98.3,5.700000000000003,101.7,101.0,0.7000000000000028,-6.0754579107353885,132.65741379000505,0,96.83534449,99.58996748,-2.7546229900000014,-0.403084459,91.9090497,103.2205853,-11.3115356,-10.47983492,2022-11-27,128.0220382133956,-6.569168828712655,128.0220382133956,-5.339681466228079,128.0220382133956,-6.999383199425164,-4.588462063492068,-11.587845262917233,10.79288,-10.457989999999999,-11.59008744855967,-21.25087,1.132097448559671,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.5940963859982835,0.7041055860897689,1.1891762962962975,-2.007120000000002,-4.222195555555556,-1.493998571428572,-3.541811666666666,1,-1.0,1,-1,-1,1,-3.0,-3.0
15.5,20,11.833333333333336,10.43086419753087,7.899644612345222,136.8,112.2,116.3,100.36666666666667,Wed 11-30 11-30,H,163 (Ⅳ),Boston College,"W, 88-67",63,140.0,73.1,15.9,29.2,34.6,106.6,51.9,15.9,29.0,27.8,23.5,-5.5,131.5,118.6640625,100.528125,112.97265660722454,108.71248084701466,104.76640625,93.2328125,102.54179240969368,100.81283623466943,20221130,104.0,97.5,6.5,98.6,94.0,4.599999999999994,103.468,97.894,5.57383,65.6245,-3.199799345628243,122.53022768900786,63.13767684210526,-4.572197284128308,125.72446835907631,-4.492358265243942,125.72446835907631,-4.572197284128308,125.72446835907631,-4.492358265243942,114.29374506063846,-4.878286699115584,99.7904,94.0599,5.73045,67.636,104.0,97.5,6.5,98.6,94.0,4.599999999999994,-5.674967508362094,113.55172710089882,0,97.20005638,97.80189129,-0.6018349099999938,3.206554782,88.59977002,91.82405435,-3.2242843300000033,-9.595246607,2022-11-30,114.0801067761511,-9.794143540149214,114.0801067761511,-2.8948012632957685,114.0801067761511,-3.241359020184205,-0.4965212345679051,-3.73788025475211,14.426169999999999,3.9681800000000003,-11.212721632373114,-10.457989999999999,15.180901632373114,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,-3,0.6997944856925475,0.6788905802005849,4.8570341975308695,6.259503333333336,1.1891762962962975,0.4960225000000005,-1.493998571428572,1,1.0,1,1,-1,3,1.0,-3.0
24.5,29,21.90000000000001,16.720576131687245,11.790618319191545,98.1,111.63333333333333,68.8,89.73333333333333,Sun 12-04 12-04,A,11 (I-A),Creighton,"W, 63-53",71,88.3,50.0,18.2,15.6,11.9,74.3,38.5,21.0,21.3,7.7,-25.5,14.5,141.5,108.38203125,118.6640625,108.01510440481636,106.78293887483017,86.783203125,104.76640625,91.29452827312912,94.99232055563864,20221204,106.7,99.0,7.700000000000003,113.6,93.3,20.3,106.184,98.9413,7.24315,64.684,13.236716149153224,132.10569188332738,62.48253572688478,12.09567494089115,136.2911961448014,14.667995212852507,136.2911961448014,12.09567494089115,136.2911961448014,14.667995212852507,140.65630161127743,10.440119299472798,114.899,92.6047,22.2939,67.9074,106.7,99.0,7.700000000000003,113.6,93.3,20.3,14.360167621847586,134.30941902158725,0,103.5785094,101.1126571,2.4658522999999946,8.315330911,111.2547881,98.70339314,12.551394959999996,11.68491056,2022-12-04,137.9845826259285,4.029863020701185,137.9845826259285,8.574686431502201,137.9845826259285,-6.759136076436504,4.016206862139913,-2.7429292142965913,21.75685,25.72503,-6.152421088248744,3.9681800000000003,31.877451088248744,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.08364680132758417,0.16003912937645937,9.477426131687245,14.65685000000001,4.8570341975308695,2.8583366666666663,0.4960225000000005,1,1.0,1,1,1,3,3.0,1.0
-3.0,-6,14.566666666666668,9.113717421124829,8.537778624793079,97.1,110.66666666666669,103.2,96.09999999999998,Wed 12-07 12-07,A,27 (I-A),Indiana,"L, 81-65",72,90.6,48.2,18.1,12.5,25.0,112.9,62.5,20.9,25.0,13.3,13.0,13.0,133.0,102.741015625,108.38203125,104.37673626987755,105.02240453395194,94.9916015625,86.783203125,95.26301884875276,96.48462590915888,20221207,106.1,97.0,9.099999999999994,110.1,90.5,19.599999999999994,105.782,96.5514,9.23052,65.4995,12.402659526805415,128.66554223552686,63.775269918918916,10.771110935338797,132.96355902422232,6.980661901026446,132.96355902422232,10.771110935338797,132.96355902422232,6.980661901026446,124.69779530170635,13.447735927016595,111.964,89.0757,22.8886,68.4494,106.1,97.0,9.099999999999994,110.1,90.5,19.599999999999994,11.806349593678956,126.51678168548686,0,101.354301,97.32339581,4.030905190000013,7.133926578,107.3560914,88.17200878,19.184082619999998,25.42063545,2022-12-07,127.17204862237685,13.738770137394539,127.17204862237685,3.0916373464065146,127.17204862237685,-16.38095651636389,9.178082649956345,-7.202873866407547,-15.23052,10.49451,4.473395941167502,25.72503,6.021114058832498,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,3,0.10784037468050733,0.10014307257041799,-0.11680257887517165,5.336146666666668,9.477426131687245,1.0494509999999995,2.8583366666666663,-1,1.0,1,1,1,1,3.0,3.0
