ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
0.0,13,,13.5,13.5,113.1,0.0,99.6,0.0,Mon 11-07 11-07,H,112 (Ⅲ),Southern Utah,"W, 89-81",78,113.9,54.2,15.4,30.8,60.0,103.7,55.3,25.6,33.3,19.7,14.5,-8.0,155.5,113.1,0.0,113.1,113.1,99.6,0.0,99.6,99.6,20221107,105.6,97.1,8.5,102.1,102.3,-0.2,103.942,101.501,2.44043,74.3232,-6.847681810329192,161.585859118982,77.74122141678521,-11.657407705429577,164.60604760547818,-11.23390991662409,164.60604760547818,-11.657407705429577,164.60604760547818,-11.23390991662409,174.07275217047223,-6.582086656976031,101.358,101.87,-0.511491,73.533,105.6,97.1,8.5,102.1,102.3,-0.2,-11.23390991662409,174.07275217047223,0,101.0890445,101.8482996,-0.7592551000000043,-3.880204475,94.44018208,97.94841993,-3.5082378500000004,0.128631542,2022-11-07,154.97434550070716,0.9805951452281931,154.97434550070716,-9.0305757622166,154.97434550070716,0.0,0.0,0.0,10.55957,10.55957,0.0,0.0,10.55957,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,3,0.7769415761393583,0.7346262640168384,11.05957,,0.0,10.55957,0.0,1,0.0,1,1,1,3,0.0,0.0
-3.0,12,,13.066666666666665,13.263636363636362,112.6,0.0,100.4,0.0,Fri 11-11 11-11,H,100 (Ⅲ),South Alabama,"W, 80-74",73,109.8,48.5,8.2,26.3,34.8,101.5,56.6,20.6,20.0,9.8,5.5,-9.0,148.5,112.85,113.1,112.93333333333334,113.0090909090909,100.0,99.6,99.86666666666667,99.74545454545456,20221111,106.2,97.6,8.600000000000009,98.7,97.6,1.1000000000000083,104.145,101.704,2.44045,74.3401,-9.49484888522295,150.9572746783057,75.20944560753912,-9.926554849456835,153.82469081754195,-7.8939520457099235,153.82469081754195,-9.926554849456835,153.82469081754195,-7.8939520457099235,163.545617142689,1.6405944816737872,95.5901,100.114,-4.52404,71.1221,106.2,97.6,8.600000000000009,98.7,97.6,1.1000000000000083,-7.8939520457099235,163.545617142689,0,101.0890445,101.8482996,-0.7592551000000043,-3.880204475,103.2488593,96.30417035,6.94468895,9.153998065,2022-11-11,155.4417023292243,7.641557519785351,155.4417023292243,-7.848707324711569,155.4417023292243,0.0,0.0,0.0,9.55955,20.119120000000002,10.55957,10.55957,9.559550000000002,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.804317030846224,0.4379191286522378,10.626216666666664,,11.05957,10.059560000000001,10.55957,1,1.0,1,1,1,3,3.0,0.0
24.5,28,17.933333333333326,18.077777777777776,15.961157024793389,112.5,112.73333333333332,84.4,94.8,Tue 11-15 11-15,A,161 (Ⅲ),SMU,"W, 84-63",76,109.9,56.8,13.1,16.1,42.4,82.4,40.6,19.6,25.0,29.7,-5.0,3.5,152.0,112.675,112.85,112.7888888888889,112.91652892561982,92.2,100.0,94.71111111111114,96.95537190082644,20221115,107.3,98.9,8.399999999999991,99.5,97.1,2.4000000000000057,105.122,102.901,2.22119,73.5837,7.14909304496328,154.35377881191127,74.61889600711238,-0.08485792700982131,154.3596984819909,-2.7416796721400014,154.3596984819909,-0.08485792700982131,154.3596984819909,-2.7416796721400014,157.54431463516877,9.064221468170757,102.795,96.9977,5.79718,71.289,107.3,98.9,8.399999999999991,99.5,97.1,2.4000000000000057,-2.8204639978918946,157.59374401967833,0,101.0890445,101.8482996,-0.7592551000000043,-3.880204475,104.3871099,99.13145824,5.255651659999998,8.891908645,2022-11-15,157.61305303206234,11.67209439164185,157.61305303206234,-4.548270441286846,157.61305303206234,-12.344843333333328,10.62621666666666,-1.7186266666666667,25.77881,45.89793,13.746086666666669,20.119120000000002,32.15184333333333,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,-3,0.36944134018176367,0.19399748904392577,15.856587777777776,15.712143333333326,10.626216666666664,15.299310000000002,10.059560000000001,1,1.0,1,1,1,3,3.0,3.0
5.0,21,20.73333333333333,19.35185185185185,17.040946656649137,111.2,112.1,89.3,91.36666666666667,Fri 11-25 11-25,H,241 (Ⅳ),Jacksonville St.,"W, 79-61",70,112.4,46.8,11.4,36.8,44.4,86.8,46.6,18.5,16.2,19.0,-7.5,-13.0,147.5,111.9375,112.675,112.25925925925928,112.6044327573253,90.75,92.2,92.90740740740743,95.56348610067616,20221125,109.0,98.9,10.099999999999994,100.6,104.0,-3.4000000000000057,107.383,102.49,4.89319,72.3919,-10.784813942909466,148.69330215832835,70.02418028918919,-14.210774288211226,152.85135230534104,-18.023757678036613,152.85135230534104,-14.210774288211226,152.85135230534104,-18.023757678036613,146.80129579648357,-13.159380320899118,99.3216,103.652,-4.33056,68.0007,109.0,98.9,10.099999999999994,100.6,104.0,-3.4000000000000057,-18.219437957461107,146.9428364579976,0,105.0998951,96.36258622,8.73730888,2.679052057,92.68388053,97.34246524,-4.6585847099999995,8.639069075,2022-11-25,137.6133472157795,2.101820112197885,137.6133472157795,-17.07015751743789,137.6133472157795,-13.22762796296296,14.912633703703698,1.6850057407407384,16.10681,62.00474,24.46336777777778,45.89793,37.54137222222222,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,3,0.8921596253194927,0.8949470539291077,14.45866185185185,15.84014333333333,15.856587777777776,15.501185,15.299310000000002,1,1.0,1,1,1,3,3.0,3.0
7.0,16,22.23333333333333,18.467901234567904,16.978956355440204,98.9,107.53333333333336,82.2,85.3,Sat 11-26 11-26,H,206 (Ⅳ),North Dakota St.,"W, 76-55",72,105.7,49.1,15.3,25.0,51.8,76.5,36.4,18.1,23.3,35.6,-20.5,-14.0,151.5,105.41875,111.9375,107.8061728395062,110.11271771053887,86.475,90.75,89.33827160493829,93.13376135509868,20221126,109.3,98.1,11.200000000000005,96.2,105.5,-9.299999999999995,107.556,101.925,5.63111,72.2202,-13.761282271717121,155.83771429364145,72.46829641963016,-19.868991907367416,155.8359126007606,-28.549201949785964,155.8359126007606,-19.868991907367416,155.8359126007606,-28.549201949785964,153.45593192277724,-19.711326203207364,99.4204,106.341,-6.9204,70.5415,109.3,98.1,11.200000000000005,96.2,105.5,-9.299999999999995,-28.46212781666462,153.5290314289225,0,105.0998951,96.36258622,8.73730888,2.679052057,94.62830017,106.6529618,-12.024661629999997,-12.34785759,2022-11-26,151.08812296529757,-12.820762264293137,151.08812296529757,-26.636975322045863,151.08812296529757,-24.710232698412696,15.314406074074078,-9.395826624338616,10.36889,72.37362999999999,36.97715851851852,62.00474,35.39647148148147,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,3,0.9087887802741321,0.9697593937388096,12.836791234567904,16.60222333333333,14.45866185185185,14.474726,15.501185,1,1.0,1,1,1,3,3.0,3.0
10.5,15,18.133333333333336,17.57860082304527,16.764600654451073,120.7,110.26666666666668,104.9,92.13333333333333,Sun 11-27 11-27,H,232 (Ⅳ),Northern Colorado,"W, 98-74",74,132.7,59.0,19.0,53.1,29.9,100.2,59.6,25.7,22.6,19.3,17.5,-13.5,154.5,113.059375,105.41875,112.10411522633748,112.03767812680454,95.6875,86.475,94.5255144032922,95.27307747235346,20221127,108.4,97.2,11.200000000000005,102.8,109.1,-6.299999999999997,107.328,100.911,6.41746,71.5132,-12.470822733080112,155.79713000083962,70.05872527226173,-17.534722303972018,156.83876448204867,-19.34672414177868,156.83876448204867,-17.534722303972018,156.83876448204867,-19.34672414177868,151.62297589854504,-16.994076152443284,104.787,109.367,-4.58032,68.8702,108.4,97.2,11.200000000000005,102.8,109.1,-6.299999999999997,-21.447882381245154,147.82261323314114,0,101.9823416,94.62816653,7.354175069999997,3.554197246,97.13117904,107.8216594,-10.690480359999995,-13.24914934,2022-11-27,145.13369413777647,-13.63876449091567,145.13369413777647,-17.73437170353887,145.13369413777647,-11.17572841181656,13.158467093474416,1.982738681657855,8.58254,80.95616999999999,48.77598234567901,72.37362999999999,32.180187654320974,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3,0.900728603156669,0.9472207739262092,11.16114082304527,11.715873333333336,12.836791234567904,13.492695000000001,14.474726,1,1.0,1,1,1,3,3.0,3.0
13.0,29,20.53333333333333,21.41906721536352,19.00740053545997,116.9,112.16666666666669,87.8,91.63333333333333,Wed 11-30 11-30,A,6 (I-A),Saint Mary's,"W, 69-65",69,100.4,53.9,24.7,20.0,31.4,94.6,51.1,21.8,25.8,57.4,-3.0,9.0,137.0,114.9796875,113.059375,113.702743484225,112.9217366492037,91.74375,95.6875,92.28367626886148,93.91433611374374,20221130,109.1,97.5,11.599999999999994,106.2,87.3,18.90000000000001,107.698,100.205,7.4933,71.5692,12.134032090526112,132.78499879739218,65.85414995675676,9.363486051768689,134.39893917879112,9.619966949428386,134.39893917879112,9.363486051768689,134.39893917879112,9.619966949428386,122.10312403623834,14.228677611153287,107.328,87.927,19.4009,64.6863,109.1,97.5,11.599999999999994,106.2,87.3,18.90000000000001,10.537145109030162,126.86549830388529,0,102.1999508,94.40874458,7.791206219999992,6.841391212,107.3900181,83.70696324,23.683054860000013,30.93005386,2022-11-30,126.53558066877754,18.055537118680036,126.53558066877754,3.0524087244126434,126.53558066877754,-12.706009496864585,11.075395318930052,-1.6306141779345324,21.506700000000002,102.46286999999998,59.50271156378601,80.95616999999999,42.96015843621397,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,-3,0.19568296915377603,0.08769091356000258,13.92576721536352,13.040033333333332,11.16114082304527,14.637552857142857,13.492695000000001,1,1.0,1,1,1,3,3.0,3.0
-2.0,11,18.8,18.112711476909013,17.642418619921795,118.8,118.8,107.3,100.0,Sat 12-10 12-10,H,292 (Ⅳ),UTSA,"W, 94-76",74,127.2,55.8,10.8,29.0,88.5,102.9,47.5,20.3,28.6,37.7,22.0,-20.0,148.0,116.88984375,114.9796875,115.40182898948332,113.99051180389392,99.521875,91.74375,97.28911751257432,96.34809318397214,20221210,110.3,97.4,12.899999999999991,95.3,106.2,-10.900000000000006,108.978,99.8395,9.13822,71.6896,-19.416701790317312,144.18854829836073,68.20485318463727,-21.096431534317944,147.17369006033385,-28.010614876666846,147.17369006033385,-21.096431534317944,147.17369006033385,-28.010614876666846,142.49961188677477,-20.143736359161153,94.7068,107.573,-12.8665,66.8828,110.3,97.4,12.899999999999991,95.3,106.2,-10.900000000000006,-26.516873830975708,141.9402736685032,0,102.9941321,92.72889881,10.265233289999998,7.724242066,92.38337239,105.875769,-13.49239661,-12.31829366,2022-12-10,136.50108413664424,-15.535850829537821,136.50108413664424,-27.06218065248001,136.50108413664424,-16.404766341041217,12.428501496831936,-3.9762648442092825,1.8617799999999995,104.32464999999998,73.82276437585733,102.46286999999998,30.501885624142645,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,-3,0.9715944860326362,0.9724730803841458,8.974491476909012,9.66178,13.92576721536352,13.040581249999999,14.637552857142857,1,1.0,1,1,1,3,3.0,3.0
-1.0,6,15.733333333333334,14.275140984606008,15.634706143572377,100.1,111.93333333333334,93.5,96.2,Mon 12-12 12-12,N,95 (Ⅲ),San Francisco,"W, 67-64",67,100.2,46.5,15.0,28.1,31.6,95.7,45.8,16.5,29.4,21.7,-25.5,-4.0,156.5,108.494921875,116.88984375,110.30121932632224,111.46496420318591,96.5109375,99.521875,96.0260783417162,95.83025805961356,20221212,111.1,98.0,13.099999999999994,103.3,96.5,6.799999999999997,109.945,100.574,9.37098,72.4602,-2.2487651361899736,159.3982392952169,74.60607326287341,-4.55634629779928,158.88747506782366,-8.144061136526474,158.88747506782366,-4.55634629779928,158.88747506782366,-8.144061136526474,158.3624697473035,-7.829751157256283,105.242,99.0271,6.21495,72.3819,111.1,98.0,13.099999999999994,103.3,96.5,6.799999999999997,-8.916137140524784,152.48452324083448,0,103.4091723,94.90888164,8.50029065999999,6.107307546,97.16619674,99.11234106,-1.946144320000002,-4.646604929,2022-12-12,148.4180562869212,-8.023071819723782,148.4180562869212,-9.506683287532553,148.4180562869212,-10.491648877611286,9.589651488530723,-0.9019973890805639,-3.3709799999999994,100.95366999999997,83.99005958390488,104.32464999999998,16.963610416095094,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,-3,0.6483807083005341,0.7720728264804997,4.904160984606008,6.362353333333335,8.974491476909012,11.217074444444446,13.040581249999999,1,1.0,1,1,1,3,3.0,3.0
5.0,22,13.6,17.083427323070673,16.91930502655922,115.7,111.53333333333336,93.0,97.93333333333332,Sun 12-18 12-18,H,70 (Ⅱ),Iona,"W, 82-74",76,107.6,61.0,21.0,15.4,58.0,97.1,43.0,15.8,31.1,22.5,5.0,-3.0,151.0,112.0974609375,108.494921875,112.10081288421482,112.23497071169756,94.75546875,96.5109375,95.01738556114417,95.31566568513836,20221218,110.4,97.3,13.100000000000009,107.4,94.6,12.800000000000011,109.338,99.5281,9.81033,71.4302,-1.7804837217315992,149.72916618147087,71.32656016500711,-4.2233681338829,152.47387866847848,-1.4336451870777136,152.47387866847848,-4.2233681338829,152.47387866847848,-1.4336451870777136,142.33500004736035,2.287753116324808,107.72,94.9463,12.7741,70.198,110.4,97.3,13.100000000000009,107.4,94.6,12.800000000000011,-2.7483462655755675,144.79589803931782,0,103.3294327,94.34528373,8.984148969999993,7.175970462,106.7734476,89.22883008,17.544617520000003,28.45238913,2022-12-18,140.62221974394768,12.822819110806918,140.62221974394768,-0.3276028740368133,140.62221974394768,0.05718282921579032,5.586241978033648,5.643424807249438,12.18967,113.14333999999997,89.6445963892699,100.95366999999997,23.49874361073006,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.6124515189020077,0.41376081858810154,7.273097323070672,3.789669999999999,4.904160984606008,11.314334,11.217074444444446,1,1.0,1,1,1,3,3.0,3.0
