Rank,Team,Conf,AdjEM,AdjO,AdjO_Rank,AdjD,AdjD_Rank,AdjT,AdjT_Rank,Final_Rank,Final_AdjEM,FinalAdjO,Final_AdjO_Rank,AR
1,Gonzaga,WCC,+32.93,123.9,2,91.0,14,75.3,7,1,+32.93,123.8,2,90.8
2,Baylor,B12,+32.49,119.0,4,86.5,1,69.8,140,2,+32.74,119.8,4,87.0
3,Iowa,B10,+28.98,125.1,1,96.2,69,71.2,74,3,+28.98,125.0,1,96.1
4,Villanova,BE,+26.71,119.9,3,93.2,38,63.7,351,4,+26.70,119.8,3,93.1
5,Michigan,B10,+25.69,116.2,9,90.5,11,68.1,229,5,+25.67,116.1,9,90.4
6,Tennessee,SEC,+25.13,112.4,30,87.2,2,65.9,309,6,+25.12,112.2,31,87.1
7,Virginia,ACC,+25.04,115.3,11,90.3,9,59.5,357,7,+25.05,115.2,11,90.2
8,Texas,B12,+24.70,114.3,12,89.5,8,69.8,145,8,+24.71,114.1,13,89.4
9,Houston,Amer,+24.57,113.3,19,88.7,4,65.8,311,9,+24.63,113.2,19,88.6
10,Wisconsin,B10,+24.20,113.5,16,89.3,5,64.9,336,11,+24.05,113.3,16,89.3
11,Illinois,B10,+24.05,116.7,7,92.7,31,71.0,84,10,+24.06,116.6,7,92.6
12,Creighton,BE,+22.88,115.8,10,92.9,35,70.2,123,12,+22.95,115.7,10,92.7
13,Colorado,P12,+22.80,113.4,17,90.6,13,68.1,230,13,+22.80,113.3,18,90.5
14,Texas Tech,B12,+22.76,111.4,35,88.6,3,67.1,277,14,+22.77,111.2,35,88.5
15,Kansas,B12,+22.43,112.8,23,90.4,10,68.6,210,15,+22.43,113.3,17,90.9
16,Ohio St.,B10,+22.10,117.8,6,95.7,63,66.5,297,16,+22.09,117.7,6,95.6
17,Alabama,SEC,+21.85,113.1,21,91.2,16,74.3,13,17,+21.85,113.0,22,91.2
18,West Virginia,B12,+21.49,113.3,18,91.8,23,68.6,203,18,+21.48,113.2,20,91.7
19,USC,P12,+20.98,112.4,31,91.4,18,69.0,181,20,+20.92,112.2,30,91.3
20,Oregon,P12,+20.51,113.1,20,92.6,30,69.7,147,21,+20.51,113.0,21,92.5
21,Connecticut,BE,+19.99,111.2,39,91.3,17,64.8,339,27,+18.90,110.5,48,91.6
22,LSU,SEC,+19.91,118.0,5,98.1,106,70.5,106,22,+19.91,117.9,5,98.0
23,Florida St.,ACC,+19.84,114.0,13,94.1,44,69.7,149,19,+21.10,114.8,12,93.7
24,Minnesota,B10,+19.75,112.3,32,92.5,29,71.5,62,23,+19.74,112.2,32,92.5
25,Duke,ACC,+19.36,112.6,27,93.3,39,69.0,186,24,+19.35,112.6,27,93.2
26,UCLA,P12,+19.18,116.4,8,97.2,91,64.9,338,25,+19.17,116.3,8,97.2
27,Purdue,B10,+18.93,111.3,37,92.4,27,67.1,275,26,+18.94,111.3,34,92.3
28,Oklahoma,B12,+18.43,112.9,22,94.4,49,68.5,212,28,+18.46,112.7,23,94.3
29,Arizona,P12,+18.39,113.6,14,95.2,58,69.8,141,29,+18.39,113.6,14,95.2
30,Saint Louis,A10,+18.20,111.2,40,93.0,36,68.6,204,30,+18.14,111.1,39,92.9
31,Louisville,ACC,+18.18,111.5,34,93.3,40,66.5,293,39,+16.99,111.1,38,94.1
32,Oklahoma St.,B12,+18.01,110.3,51,92.3,26,71.3,71,31,+18.02,110.2,51,92.2
33,Indiana,B10,+17.80,109.8,56,92.0,25,66.9,284,32,+17.86,109.7,56,91.8
34,Virginia Tech,ACC,+17.79,111.2,41,93.4,41,67.1,278,35,+17.70,111.0,40,93.3
35,Loyola Chicago,MVC,+17.72,110.2,53,92.5,28,65.4,320,36,+17.70,110.1,53,92.4
36,Clemson,ACC,+17.68,107.2,78,89.5,7,66.4,299,33,+17.75,107.2,78,89.4
37,North Carolina,ACC,+17.67,109.3,58,91.6,20,70.7,97,34,+17.73,109.3,58,91.6
38,Florida,SEC,+17.13,111.3,38,94.1,47,70.8,91,37,+17.21,111.2,37,94.0
39,Missouri,SEC,+17.02,108.5,64,91.5,19,69.4,157,38,+17.04,108.4,65,91.4
40,Rutgers,B10,+16.76,109.6,57,92.8,34,69.1,174,40,+16.75,109.5,57,92.7
41,Michigan St.,B10,+16.53,110.7,46,94.2,48,70.6,102,41,+16.52,110.6,45,94.1
42,Arkansas,SEC,+16.51,110.2,52,93.7,43,74.0,19,42,+16.51,110.1,52,93.6
43,San Diego St.,MWC,+16.45,108.1,71,91.7,21,65.2,326,43,+16.41,107.9,72,91.5
44,Seton Hall,BE,+15.98,112.0,33,96.0,66,67.7,243,44,+15.98,111.9,33,95.9
45,Maryland,B10,+15.75,112.8,24,97.1,86,66.5,292,45,+15.76,112.7,24,96.9
46,Stanford,P12,+15.56,106.6,87,91.0,15,71.6,59,46,+15.57,106.5,86,90.9
47,Penn St.,B10,+15.55,112.4,29,96.9,83,68.9,188,47,+15.54,112.3,29,96.7
48,Utah St.,MWC,+15.48,105.0,106,89.5,6,69.8,139,48,+15.28,104.9,106,89.7
49,Xavier,BE,+15.12,110.8,45,95.7,62,69.1,170,49,+15.18,110.7,44,95.5
50,Richmond,A10,+15.12,112.5,28,97.4,94,70.1,131,50,+15.12,112.4,28,97.3
