Season,Team,Tempo,RankTempo,AdjT,RankAdjTempo,OE,RankOE,AdjO,RankAdjOE,DE,RankDE,AdjD,RankAdjDE,AdjEM,RankAdjEM
2023,Abilene Christian,70.6055,70,69.0537,96,99.4135,232,101.875,218,105.114,247,106.368,229,-4.49271,229
2023,Air Force,63.9085,347,63.0695,346,106.845,79,104.904,153,99.5279,117,102.672,149,2.23134,142
2023,Akron,66.9583,251,65.2452,291,103.231,154,103.599,181,94.9446,43,98.6357,79,4.96308,116
2023,Alabama,74.3443,4,73.7285,4,110.872,32,115.898,14,90.2436,9,87.9329,5,27.9655,3
2023,Alabama A&M,72.4539,27,70.7436,40,93.0814,337,92.6956,347,104.942,244,108.612,277,-15.9164,340
2023,Alabama St.,69.1704,142,66.7711,217,91.385,347,94.4445,339,108.293,303,109.6,295,-15.1553,335
2023,Albany,67.8171,209,67.2555,192,96.8182,290,97.9529,296,111.958,337,112.816,339,-14.8634,332
2023,Alcorn St.,67.9832,198,67.5487,170,93.9451,329,100.225,252,104.233,225,107.303,252,-7.07805,254
2023,American,63.2457,353,63.0448,347,105.441,110,102.837,199,101.58,160,106.666,236,-3.8294,221
2023,Appalachian St.,66.7074,267,65.615,274,98.2929,258,100.349,251,100.136,133,101.102,114,-0.752906,185
2023,Arizona,74.1431,6,72.5705,11,111.862,21,116.363,12,97.2364,82,96.2766,45,20.086,15
2023,Arizona St.,69.2205,139,67.5965,167,104.545,130,109.058,86,95.7593,57,96.2969,47,12.7615,59
2023,Arkansas,71.3012,51,69.9309,55,105.93,98,111.384,54,92.5618,24,93.1568,20,18.2273,21
2023,Arkansas Pine Bluff,70.7297,69,69.7311,61,86.4203,359,92.6861,348,101.981,173,105.714,219,-13.028,323
2023,Arkansas St.,64.7115,333,63.3793,340,96.6183,297,96.8732,314,104.695,235,109.418,291,-12.5452,318
2023,Army,68.1353,188,68.7422,111,106.664,82,104.587,162,104.504,233,109.721,298,-5.13316,233
2023,Auburn,69.1329,145,68.036,147,105.049,120,110.81,62,90.399,10,91.0531,11,19.7572,17
2023,Austin Peay,65.8339,300,64.2622,315,96.6585,296,98.5732,286,108.468,306,108.607,276,-10.0342,297
2023,Ball St.,67.4699,222,67.3845,182,108.31,54,107.042,111,103.315,209,105.675,218,1.36696,146
2023,Baylor,69.1099,146,67.9441,150,114.261,9,119.48,2,100.208,136,99.3422,92,20.1377,14
2023,Bellarmine,62.0111,361,61.8161,360,97.7458,274,99.6822,263,108.204,301,107.24,250,-7.55793,259
2023,Belmont,68.4653,169,67.8815,155,107.445,74,109.904,71,102.437,187,104.957,203,4.94702,117
2023,Bethune Cookman,70.5322,72,69.1034,91,94.549,324,96.1751,325,112.26,338,114.402,351,-18.2274,353
2023,Binghamton,67.6902,216,66.6148,225,99.0552,247,98.3439,290,106.391,273,109.931,303,-11.5872,312
2023,Boise St.,67.9969,196,67.2665,191,105.413,112,108.464,90,90.4352,11,90.7418,9,17.722,25
2023,Boston College,66.8384,262,66.6728,222,97.5569,278,100.165,254,103.467,212,100.987,110,-0.822014,187
2023,Boston University,66.4926,276,66.3882,237,99.1585,243,98.6136,285,101.927,172,106.213,224,-7.59964,260
2023,Bowling Green,71.4949,48,69.7131,62,105.782,104,103.286,186,109.184,314,111.304,316,-8.01779,264
2023,Bradley,66.935,256,65.6522,271,104.214,141,104.899,154,92.0536,20,96.3567,50,8.54198,86
2023,Brown,68.8306,154,68.6799,114,97.8233,271,98.841,281,96.6366,74,101.904,131,-3.06257,214
2023,Bryant,73.2644,16,73.1431,7,108.147,59,107.765,99,105.971,265,108.583,274,-0.817586,186
2023,Bucknell,66.5849,272,67.1788,196,99.2366,239,99.1782,273,102.188,180,108.829,284,-9.65064,292
2023,Buffalo,75.2859,2,73.0449,8,100.984,208,103.134,192,105.265,253,105.458,212,-2.32457,200
2023,Butler,68.2481,181,66.6772,221,101.126,205,105.99,132,97.9559,92,98.1935,70,7.79642,93
2023,BYU,72.3968,29,70.8313,36,100.453,219,103.863,178,95.0864,45,94.882,31,8.98107,83
2023,Cal Baptist,65.0235,323,64.0907,320,102.479,167,103.872,177,96.2309,66,100.716,104,3.15589,135
2023,Cal Poly,64.3717,341,64.028,322,93.1706,334,96.0529,327,102.29,184,105.053,207,-9.00048,277
2023,Cal St. Bakersfield,62.8749,359,62.8816,351,88.2801,356,92.3855,350,101.752,167,104.135,180,-11.7495,314
2023,Cal St. Fullerton,66.2503,286,65.2639,289,98.9103,248,101.595,224,99.7779,126,101.985,134,-0.390108,181
2023,Cal St. Northridge,64.5755,336,63.7324,334,92.7338,341,95.278,335,106.225,269,108.662,278,-13.384,325
2023,California,64.0295,346,62.3062,357,95.6545,314,101.639,223,106.129,268,105.484,213,-3.8448,222
2023,Campbell,64.6309,335,64.626,309,100.176,221,100.655,244,104.703,236,107.485,256,-6.82998,252
2023,Canisius,68.0156,195,67.1828,195,97.1585,283,98.032,295,106.92,282,106.7,239,-8.66781,271
2023,Central Arkansas,72.9442,20,72.4599,12,96.4078,304,97.2173,307,111.941,336,112.664,335,-15.447,336
2023,Central Connecticut,66.4638,280,64.5925,311,96.797,291,95.879,330,106.559,277,110.921,311,-15.0419,334
2023,Central Michigan,70.0366,96,68.4188,125,93.0239,338,93.9146,343,102.542,191,104.629,196,-10.7146,301
2023,Charleston,70.9499,61,70.5672,43,110.363,36,109.504,76,94.853,40,98.7149,82,10.7888,73
2023,Charleston Southern,66.8189,263,65.9122,261,107.901,65,107.599,102,114.357,355,116.296,357,-8.69654,273
2023,Charlotte,62.5781,360,60.9916,362,107.733,68,107.666,100,97.1508,80,101.603,123,6.06334,107
2023,Chattanooga,67.9816,199,67.2873,189,109.0,48,110.147,65,107.629,293,108.943,286,1.20443,150
2023,Chicago St.,66.519,275,64.7055,306,98.1875,261,100.718,242,110.568,327,111.693,324,-10.9748,305
2023,Cincinnati,70.2066,85,68.644,117,108.12,60,109.268,83,97.2749,84,97.2341,58,12.0342,68
2023,Clemson,68.022,193,68.1613,141,108.188,56,110.146,66,97.0951,78,97.516,62,12.63,60
2023,Cleveland St.,65.184,317,64.2285,316,104.711,126,103.474,184,99.6824,122,102.894,155,0.580059,162
2023,Coastal Carolina,68.418,172,68.2522,138,102.446,169,104.399,167,110.633,330,110.76,309,-6.36019,246
2023,Colgate,68.4444,171,67.5271,173,114.675,8,112.328,36,105.661,261,108.456,271,3.87129,129
2023,Colorado,71.5681,45,70.2407,50,101.814,183,107.342,105,93.7417,32,93.9208,27,13.4216,55
2023,Colorado St.,67.4415,226,66.9681,208,105.861,101,109.868,72,103.402,210,104.285,183,5.5829,111
2023,Columbia,70.0569,95,69.2186,84,89.4847,353,91.4043,354,105.247,252,108.535,273,-17.1307,346
2023,Connecticut,70.2425,83,67.793,161,112.256,17,116.218,13,91.1236,16,91.5171,12,24.7008,6
2023,Coppin St.,74.109,7,73.221,6,96.4458,302,98.7752,283,113.145,346,112.737,338,-13.9615,329
2023,Cornell,72.1081,35,71.5252,24,115.799,4,114.667,21,105.389,256,108.888,285,5.77887,109
2023,Creighton,70.4507,76,68.6714,115,108.577,51,113.524,28,96.0052,62,93.3641,21,20.1595,13
2023,Dartmouth,69.8126,113,68.6513,116,93.888,330,96.2691,322,102.091,175,104.685,198,-8.41584,270
2023,Davidson,66.9491,252,66.7185,219,101.269,196,105.43,140,101.904,171,103.14,160,2.28962,140
2023,Dayton,65.1497,320,63.8267,332,104.177,142,106.281,123,90.7084,13,93.7736,23,12.5076,61
2023,Delaware,67.2921,234,67.1393,200,103.017,160,103.162,191,104.25,226,105.098,208,-1.93636,196
2023,Delaware St.,66.7842,265,66.8151,214,87.3341,357,90.5635,356,113.532,351,113.378,345,-22.8146,356
2023,Denver,68.4837,168,68.3475,131,104.581,128,102.398,206,108.538,307,112.03,327,-9.63206,291
2023,DePaul,70.1366,89,69.107,89,100.523,216,106.468,118,104.902,243,103.054,158,3.41404,133
2023,Detroit Mercy,67.7645,210,67.1424,199,110.171,39,111.494,51,113.206,347,114.102,347,-2.6083,206
2023,Drake,67.3312,232,66.7523,218,105.051,119,106.196,127,94.3597,34,98.1973,71,7.99867,90
2023,Drexel,63.5825,350,63.7559,333,103.671,146,102.553,203,95.9573,60,102.826,152,-0.272957,178
2023,Duke,66.65,269,65.717,269,108.183,57,111.687,47,95.3637,48,95.2048,35,16.4819,31
2023,Duquesne,68.2825,178,66.8809,211,108.475,53,108.749,88,102.779,201,104.819,200,3.93046,127
2023,East Carolina,68.4531,170,67.2251,193,101.149,202,101.357,228,101.824,170,104.388,188,-3.03097,211
2023,East Tennessee St.,67.5829,218,66.9782,206,100.234,220,99.1007,276,102.094,176,105.001,205,-5.9005,241
2023,Eastern Illinois,70.202,86,68.5832,119,92.7684,340,92.1498,352,105.164,249,109.487,294,-17.3371,350
2023,Eastern Kentucky,71.3417,49,70.8509,33,99.2691,237,102.364,208,102.021,174,103.5,167,-1.13647,191
2023,Eastern Michigan,71.2469,52,70.833,35,99.8211,226,99.8967,256,114.643,358,115.441,355,-15.5443,338
2023,Eastern Washington,69.4094,128,69.1218,87,105.096,118,106.227,125,102.717,198,104.973,204,1.25423,149
2023,Elon,67.9194,201,67.4352,178,92.297,343,95.293,334,109.188,315,111.216,314,-15.9229,341
2023,Evansville,69.2113,140,69.3745,75,89.3898,355,92.7407,346,108.761,310,109.988,305,-17.2472,349
2023,Fairfield,65.2551,315,65.3143,286,96.9445,288,97.6995,302,100.157,134,104.48,190,-6.78004,250
2023,Fairleigh Dickinson,70.2579,82,69.4362,74,107.555,72,105.009,150,109.768,320,116.701,361,-11.6922,313
2023,FIU,70.8708,63,70.2255,51,98.0698,264,99.4932,265,104.792,238,106.062,221,-6.56883,247
2023,Florida,69.9868,101,69.2815,81,103.249,153,106.51,117,93.0609,26,91.6957,13,14.814,41
2023,Florida A&M,66.0458,294,64.1953,318,83.6972,363,87.4086,362,112.316,340,111.021,313,-23.6123,359
2023,Florida Atlantic,67.9836,197,67.8021,158,111.562,25,112.412,35,93.4984,29,96.7161,52,15.6958,36
2023,Florida Gulf Coast,65.9949,295,66.0519,251,103.015,161,104.018,176,101.052,148,103.644,170,0.374102,163
2023,Florida St.,68.63,160,68.7775,107,101.594,187,106.889,112,106.936,284,104.668,197,2.22149,143
2023,Fordham,70.2417,84,69.4951,69,101.372,193,100.193,253,94.8472,39,100.926,109,-0.732969,183
2023,Fresno St.,63.1397,356,63.3313,342,96.5715,298,100.794,239,100.301,138,99.6214,96,1.17238,151
2023,Furman,70.0637,94,69.0824,93,111.449,27,111.006,61,102.601,195,104.599,195,6.40616,102
2023,Gardner Webb,66.8674,259,66.0705,250,96.9638,286,97.152,312,97.6323,90,98.5884,78,-1.43647,193
2023,George Mason,68.2286,182,66.6,226,104.262,138,105.051,149,98.8186,105,100.479,103,4.57205,119
