Team,AdjEM,AdjOE,AdjDE
Gonzaga,26.80000000000001,116.4,89.6
Baylor,26.700000000000003,116.4,89.7
Texas,25.700000000000003,113.2,87.5
West Virginia,23.60000000000001,112.4,88.8
Texas Tech,22.0,108.3,86.3
Virginia,21.799999999999997,108.3,86.5
Wisconsin,22.099999999999994,111.0,88.9
Houston,21.200000000000003,108.3,87.1
Villanova,22.099999999999994,114.5,92.4
Florida,21.0,110.9,89.9
Creighton,21.299999999999997,113.3,92.0
Michigan St.,20.39999999999999,108.8,88.4
Indiana,20.0,108.1,88.1
Ohio St.,20.5,111.2,90.7
Illinois,20.400000000000006,112.0,91.6
Saint Louis,19.69999999999999,110.6,90.9
Michigan,19.5,110.7,91.2
Duke,18.799999999999997,108.3,89.5
North Carolina,18.599999999999994,107.5,88.9
Florida St.,18.900000000000006,109.0,90.1
Oregon,19.60000000000001,113.9,94.3
Tennessee,18.799999999999997,109.6,90.8
Oklahoma,18.60000000000001,108.9,90.3
Kansas,18.099999999999994,107.6,89.5
Kentucky,17.700000000000003,106.8,89.1
Louisville,17.900000000000006,109.5,91.6
Iowa,18.89999999999999,115.6,96.7
Syracuse,17.099999999999994,107.6,90.5
Arizona St.,17.700000000000003,111.3,93.6
Stanford,16.700000000000003,105.3,88.6
Miami FL,17.39999999999999,110.1,92.7
Arkansas,16.099999999999994,104.8,88.7
Rutgers,16.0,105.2,89.2
Connecticut,16.700000000000003,110.7,94.0
Alabama,16.0,107.7,91.7
Missouri,15.900000000000006,107.4,91.5
North Carolina St.,16.0,108.1,92.1
Maryland,15.700000000000003,108.3,92.6
Mississippi,15.299999999999997,107.6,92.3
Richmond,15.100000000000009,108.7,93.6
UCLA,15.100000000000009,109.4,94.3
Memphis,13.900000000000006,101.5,87.6
Clemson,13.900000000000006,101.9,88.0
Loyola Chicago,14.599999999999994,106.5,91.9
Xavier,14.100000000000009,104.7,90.6
San Diego St.,14.400000000000006,106.9,92.5
Colorado,14.300000000000011,106.4,92.1
Western Kentucky,14.700000000000003,109.3,94.6
Providence,14.5,107.8,93.3
Marquette,13.800000000000011,104.4,90.6
Team,0.0,0.0,0.0
Notre Dame,14.399999999999991,109.3,94.9
USC,13.799999999999997,105.8,92.0
Virginia Tech,13.599999999999994,104.6,91.0
LSU,14.5,113.2,98.7
Minnesota,13.200000000000003,103.9,90.7
Purdue,13.299999999999997,105.8,92.5
DePaul,13.199999999999989,106.1,92.9
Oklahoma St.,13.0,105.7,92.7
Utah,13.299999999999997,108.6,95.3
Cincinnati,12.300000000000011,102.4,90.1
Northwestern,12.5,105.4,92.9
Northern Iowa,12.900000000000006,109.2,96.3
Rhode Island,12.399999999999991,104.8,92.4
SMU,12.599999999999994,108.8,96.2
BYU,11.600000000000009,103.7,92.1
Penn St.,11.599999999999994,104.6,93.0
Arizona,11.300000000000011,102.9,91.6
St. John's,11.300000000000011,103.9,92.6
Seton Hall,11.5,105.4,93.9
Davidson,11.600000000000009,110.2,98.6
Vermont,10.799999999999997,105.1,94.3
Saint Mary's,10.799999999999997,105.5,94.7
Georgia Tech,10.400000000000006,103.5,93.1
North Texas,10.600000000000009,106.4,95.8
Furman,10.0,102.5,92.5
Butler,10.0,104.2,94.2
Duquesne,9.900000000000006,105.5,95.6
Boise St.,9.5,102.9,93.4
Wichita St.,9.399999999999991,104.1,94.7
VCU,8.799999999999997,98.5,89.7
Washington,9.0,101.5,92.5
South Dakota St.,9.5,106.7,97.2
New Mexico St.,9.200000000000003,104.4,95.2
TCU,8.799999999999997,100.2,91.4
Dayton,8.599999999999994,102.3,93.7
UNC Greensboro,8.5,101.0,92.5
South Carolina,8.399999999999991,101.1,92.7
Old Dominion,8.600000000000009,104.2,95.6
Texas A&M,8.200000000000003,100.2,92.0
Nebraska,8.0,100.9,92.9
Indiana St.,8.200000000000003,105.2,97.0
St. Bonaventure,8.099999999999994,105.0,96.9
Pepperdine,8.299999999999997,108.2,99.9
Abilene Christian,7.400000000000006,98.7,91.3
Pittsburgh,7.799999999999997,104.1,96.3
San Francisco,7.700000000000003,102.0,94.3
Marshall,7.299999999999997,100.5,93.2
UAB,7.299999999999997,102.1,94.8
California,7.299999999999997,101.8,94.5
Louisiana Tech,7.299999999999997,104.0,96.7
Team,0.0,0.0,0.0
Mississippi St.,7.200000000000003,103.2,96.0
Boston College,7.199999999999989,105.1,97.9
Georgia,6.8999999999999915,101.6,94.7
Iowa St.,7.0,105.6,98.6
South Florida,6.799999999999997,101.8,95.0
Kansas St.,6.5,101.2,94.7
Bradley,6.5,101.3,94.8
Ohio,6.400000000000006,101.9,95.5
Santa Clara,5.799999999999997,97.7,91.9
Georgia St.,5.8999999999999915,102.3,96.4
Colorado St.,6.300000000000011,107.4,101.1
Utah St.,5.6000000000000085,99.4,93.8
Drake,5.5,102.8,97.3
Tulsa,5.200000000000003,98.4,93.2
Toledo,5.300000000000011,103.4,98.1
Auburn,5.099999999999994,100.6,95.5
Wake Forest,5.099999999999994,102.6,97.5
