Team,AdjEM,AdjOE,AdjDE
Gonzaga,31.799999999999997,121.1,89.3
Houston,28.69999999999999,118.1,89.4
Baylor,25.400000000000006,118.0,92.6
Duke,25.89999999999999,120.6,94.7
Arizona,25.200000000000003,118.2,93.0
Kentucky,25.60000000000001,120.9,95.3
Auburn,23.5,114.0,90.5
Kansas,24.400000000000006,119.7,95.3
Villanova,24.30000000000001,119.4,95.1
Purdue,24.900000000000006,123.9,99.0
Texas Tech,21.900000000000006,109.9,88.0
UCLA,22.80000000000001,115.4,92.6
Tennessee,21.400000000000006,110.7,89.3
Iowa,22.200000000000003,120.0,97.8
Texas,19.80000000000001,111.9,92.1
Illinois,20.299999999999997,115.0,94.7
Saint Mary's,18.799999999999997,109.1,90.3
Arkansas,18.299999999999997,110.3,92.0
San Francisco,18.099999999999994,111.5,93.4
LSU,16.700000000000003,106.8,90.1
Wisconsin,17.200000000000003,111.7,94.5
Indiana,16.5,108.4,91.9
Connecticut,17.0,113.7,96.7
San Diego St.,15.399999999999991,103.1,87.7
Ohio St.,17.39999999999999,117.8,100.4
Alabama,17.099999999999994,117.1,100.0
Michigan,16.700000000000003,115.3,98.6
Memphis,16.099999999999994,111.0,94.9
Virginia Tech,16.400000000000006,113.7,97.3
Boise St.,15.400000000000006,109.0,93.6
Wake Forest,15.700000000000003,112.7,97.0
Providence,15.5,113.4,97.9
Loyola Chicago,15.0,110.2,95.2
North Carolina,15.399999999999991,114.1,98.7
Oklahoma,14.799999999999997,110.2,95.4
Dayton,14.700000000000003,109.8,95.1
Oklahoma St.,13.799999999999997,103.5,89.7
Murray St.,14.5,110.7,96.2
Notre Dame,14.700000000000003,112.3,97.6
TCU,14.099999999999994,108.5,94.4
Iowa St.,13.400000000000006,104.9,91.5
Seton Hall,13.700000000000003,109.0,95.3
Colorado St.,14.200000000000003,113.8,99.6
Washington St.,13.5,109.1,95.6
Florida,14.0,112.2,98.2
Marquette,13.700000000000003,110.0,96.3
VCU,12.200000000000003,100.5,88.3
Michigan St.,13.299999999999997,110.8,97.5
North Texas,12.599999999999994,106.3,93.7
Utah St.,13.200000000000003,110.7,97.5
Team,0.0,0.0,0.0
Xavier,13.0,110.9,97.9
Saint Louis,13.0,110.9,97.9
SMU,12.899999999999991,110.3,97.4
Fresno St.,12.200000000000003,105.8,93.6
Miami FL,13.200000000000003,114.7,101.5
USC,12.399999999999991,110.8,98.4
Texas A&M,12.200000000000003,108.9,96.7
Davidson,12.900000000000006,116.7,103.8
Virginia,12.200000000000003,110.3,98.1
Mississippi St.,12.0,109.2,97.2
UAB,11.900000000000006,111.4,99.5
Oregon,11.700000000000003,110.7,99.0
West Virginia,11.599999999999994,109.0,97.4
Kansas St.,11.600000000000009,109.9,98.3
Furman,12.099999999999994,115.0,102.9
St. John's,11.5,109.7,98.2
Tulane,11.599999999999994,111.8,100.2
Wyoming,11.400000000000006,110.9,99.5
Syracuse,11.599999999999994,115.3,103.7
Vermont,11.200000000000003,110.7,99.5
Towson,11.099999999999994,110.8,99.7
BYU,10.700000000000003,108.9,98.2
Santa Clara,11.0,112.7,101.7
Missouri St.,11.0,113.5,102.5
Creighton,9.900000000000006,104.0,94.1
Vanderbilt,10.0,106.2,96.2
Toledo,10.5,112.0,101.5
Rutgers,9.799999999999997,106.1,96.3
South Dakota St.,10.700000000000003,115.9,105.2
Northwestern,9.799999999999997,106.8,97.0
UNLV,9.900000000000006,109.2,99.3
Maryland,10.0,110.3,100.3
Wichita St.,9.400000000000006,105.2,95.8
Clemson,9.400000000000006,109.9,100.5
Grand Canyon,8.5,103.9,95.4
Drake,8.799999999999997,108.8,100.0
Belmont,8.600000000000009,107.9,99.3
Colorado,8.400000000000006,105.7,97.3
Chattanooga,8.300000000000011,108.4,100.1
Arizona St.,7.599999999999994,101.0,93.4
Iona,8.099999999999994,107.3,99.2
UCF,8.0,107.3,99.3
Mississippi,7.799999999999997,107.5,99.7
New Mexico St.,7.799999999999997,106.2,98.4
Bradley,7.3999999999999915,104.3,96.9
St. Bonaventure,7.6000000000000085,107.9,100.3
Northern Iowa,7.700000000000003,110.2,102.5
Cincinnati,7.200000000000003,104.8,97.6
Richmond,7.5,109.0,101.5
Penn St.,7.099999999999994,104.8,97.7
Team,0.0,0.0,0.0
Florida St.,7.1000000000000085,106.7,99.6
Middle Tennessee,6.699999999999989,106.1,99.4
DePaul,6.599999999999994,106.8,100.2
Louisiana Tech,6.599999999999994,107.3,100.7
South Carolina,6.099999999999994,102.0,95.9
Hofstra,6.200000000000003,109.9,103.7
Minnesota,6.200000000000003,108.5,102.3
Morehead St.,5.299999999999997,104.2,98.9
Liberty,5.299999999999997,106.6,101.3
Princeton,5.5,111.6,106.1
Washington,4.900000000000006,104.7,99.8
Wofford,5.0,106.7,101.7
Temple,4.799999999999997,102.5,97.7
Stephen F. Austin,4.799999999999997,103.3,98.5
George Mason,4.900000000000006,106.9,102.0
Florida Atlantic,4.6000000000000085,106.7,102.1
Utah Valley,4.299999999999997,102.3,98.0
Utah,4.400000000000006,107.0,102.6
Western Kentucky,4.200000000000003,107.5,103.3
Kent St.,3.799999999999997,102.1,98.3
Stanford,3.799999999999997,102.6,98.8
Southern Illinois,3.700000000000003,102.4,98.7
North Carolina St.,3.8999999999999915,110.3,106.4
Nebraska,3.799999999999997,106.5,102.7
