ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,PPP1,EFG%1,TO%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
1.5,3,,3.700000000000003,3.700000000000003,94.8,0.0,91.1,0.0,Sat 11-28 11-28,N,292 (Ⅳ),Cal St. Northridge,"W, 66-61",65,101.9,55.2,21.6,94.2,42.7,15.4,-17.5,-3.5,144.5,94.8,0.0,94.8,94.8,91.1,0.0,91.1,91.1,20201128,99.3,107.6,-8.299999999999997,92.7,111.0,-18.3,99.3,105.0,-5.7,67.7,-4.572648677098144,148.72453487908962,70.974253200569,-7.608056021740538,152.46042378972845,-20.335430033191074,152.46042378972845,-7.608056021740538,152.46042378972845,-20.335430033191074,128.2910120720721,97.2,109.3,-12.09,73.7,99.3,107.6,-8.299999999999997,92.7,111.0,-18.3,-20.335430033191074,128.2910120720721,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-11-28,-0.0,0.0,,0.0,8.7,8.7,0.0,0.0,8.7,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,9.400000000000002,,0.0,8.7,0.0,1,0.0,1,1,1,3,0.0,0.0
-20.5,-33,,-8.733333333333329,-3.081818181818179,80.4,0.0,114.0,0.0,Sun 11-29 11-29,N,215 (Ⅳ),Seattle,"L, 63-45",57,79.2,47.5,26.4,110.9,51.8,15.8,-24.0,-2.5,132.0,87.6,94.8,90.0,92.1818181818182,102.55,91.1,98.73333333333332,95.26363636363637,20201129,97.7,106.1,-8.399999999999991,93.9,104.0,-10.099999999999994,98.4,104.1,-5.7,67.9,-3.8796302133712715,142.20423527738268,71.18392603129446,-1.441905392383731,146.53963403423853,-6.442818188715037,146.53963403423853,-1.441905392383731,146.53963403423853,-6.442818188715037,135.23656844001903,93.8,104.8,-11.02,73.7,97.7,106.1,-8.399999999999991,93.9,104.0,-10.099999999999994,-6.442818188715037,135.23656844001903,0,96.70573481796184,97.78966697468212,-1.0839321567202802,0.0568412118660333,108.36199003289644,94.3806965342442,13.98129349865225,9.788733533905107,2020-11-29,10.701079693975288,143.62864346030236,6.927543031965527,143.62864346030236,-27.3,-18.6,8.7,8.7,-27.3,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,-3.0333333333333288,,9.400000000000002,-9.3,8.7,-1,1.0,-1,-1,1,-3,3.0,0.0
9.5,3,-8.733333333333329,-4.588888888888887,-1.8487603305785092,86.7,87.3,83.0,96.03333333333336,Sat 12-05 12-05,H,312 (Ⅳ),Lamar,"W, 59-44",62,95.3,62.2,27.5,71.1,33.0,19.4,-31.0,-5.5,134.0,87.15,87.6,88.9,91.18512396694214,92.775,102.55,93.48888888888894,93.03388429752064,20201205,95.7,105.6,-9.899999999999991,90.9,98.4,-7.5,96.1,104.3,-8.13,64.4,-3.877044783598784,130.50682876084844,67.33143669985776,-2.416252699607739,131.17471012635218,-0.27271393621323853,131.17471012635218,-2.416252699607739,131.17471012635218,-0.27271393621323853,117.70731174421108,93.2,101.5,-8.32,73.5,95.7,105.6,-9.899999999999991,90.9,98.4,-7.5,-0.15698543265356765,117.60091513910368,0,90.32290733867997,103.56240922106274,-13.239501882382768,-21.422639665950477,93.24367102996872,97.92771490054199,-4.684043870573262,-2.6675403432706104,2020-12-05,2.025002199442447,127.5047313567047,10.969881301102689,127.5047313567047,11.13,-7.470000000000001,-0.40000000000000036,-18.6,-7.07,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3.541111111111114,-0.6033333333333282,-3.0333333333333288,-2.4899999999999993,-9.3,1,-1.0,-1,-1,-1,-1,-3.0,3.0
-17.5,-20,-16.866666666666664,-9.95925925925926,-5.276258452291508,87.6,84.89999999999998,108.3,101.7666666666667,Sun 12-13 12-13,A,74 (I),Drake,"L, 81-53",66,80.8,38.8,18.3,123.5,65.5,22.9,12.0,10.5,122.0,87.375,87.15,88.46666666666668,90.53328324567991,100.5375,92.775,98.42592592592594,95.80954169797144,20201213,100.3,108.6,-8.299999999999997,104.9,100.6,4.300000000000011,96.3,103.2,-6.9,63.5,10.01223806038427,127.10953651351946,63.22901849217639,12.355999650481735,139.6938521018521,16.825220722691878,139.6938521018521,12.355999650481735,139.6938521018521,16.825220722691878,122.67916363343024,102.7,99.4,3.28,70.0,100.3,108.6,-8.299999999999997,104.9,100.6,4.300000000000011,17.004248112774373,122.96053032785996,0,91.53602970582315,98.50613300799587,-6.970103302172717,-9.707807723286301,106.39930753796719,97.8843639378278,8.51494360013939,10.076251508815368,2020-12-13,13.407207960027876,126.48153244872609,14.282940475599624,126.48153244872609,-13.1,-20.57,-2.7566666666666673,-7.470000000000001,-17.813333333333333,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,-3.0592592592592602,-9.966666666666663,3.541111111111114,-5.1425,-2.4899999999999993,-1,1.0,-1,-1,-1,-3,-1.0,-3.0
-6.0,-14,-10.566666666666668,-11.539506172839506,-6.989666006420325,86.6,86.96666666666665,101.3,97.53333333333336,Fri 12-18 12-18,A,101 (Ⅱ),Nevada,"L, 74-57",69,82.2,47.8,23.1,106.7,59.6,27.4,2.0,11.0,129.0,86.9875,87.375,87.84444444444445,89.81814083737447,100.91875,100.5375,99.38395061728396,96.80780684379481,20201218,95.4,104.9,-9.5,101.7,97.3,4.400000000000006,96.0,104.2,-8.14,63.5,11.719591798960039,129.85463605292662,65.03556187766715,12.972232597376347,133.3605189646649,12.468587477199396,133.3605189646649,12.972232597376347,133.3605189646649,12.468587477199396,124.89151368521004,102.1,97.8,4.3,72.0,95.4,104.9,-9.5,101.7,97.3,4.400000000000006,13.863645267668346,120.31508800800924,0,89.55467862495163,99.91834313678291,-10.363664511831274,-9.714261450590826,98.91483719485905,97.42048405855495,1.494353136304099,-2.5853729436359165,2020-12-18,11.207238200378661,124.35906777682234,6.345320519984668,124.35906777682234,-5.859999999999999,-26.43,-8.694444444444445,-20.57,-17.735555555555557,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,-3.399506172839505,-2.4266666666666676,-3.0592592592592602,-5.286,-5.1425,-1,-1.0,-1,-1,-1,-3,-3.0,-1.0
13.5,8,-9.033333333333337,-4.926337448559671,-4.209726732525721,101.3,91.83333333333331,93.0,100.86666666666667,Sun 12-20 12-20,A,101 (Ⅱ),Nevada,"W, 68-66",69,98.6,55.3,24.7,95.7,44.4,23.2,2.5,11.5,131.5,94.14375,86.9875,92.32962962962965,91.90575159421549,96.959375,100.91875,97.25596707818931,96.1154783267412,20201220,94.7,104.6,-9.899999999999991,101.4,96.5,4.900000000000006,95.5,104.1,-8.6,64.0,12.371755213848253,131.0296478980687,66.00284495021337,13.675253208833574,133.9078253970461,12.766188805554895,133.9078253970461,13.675253208833574,133.9078253970461,12.766188805554895,125.66476142125396,102.0,97.3,4.68,72.5,94.7,104.6,-9.899999999999991,101.4,96.5,4.900000000000006,14.524445918876681,121.1682803780562,0,88.93944537480795,101.86055495624193,-12.921109581433981,-10.715424670878722,97.6533820454733,98.40203390081066,-0.7486518553373713,-3.547163935389542,2020-12-20,11.631581665234108,126.77611867980309,6.447543678066374,126.77611867980309,16.6,-9.829999999999998,-14.606296296296296,-26.43,4.776296296296298,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,3.6736625514403283,-0.4333333333333371,-3.399506172839505,-1.6383333333333336,-5.286,1,-1.0,1,-1,-1,1,-3.0,-3.0
-23.0,-32,-12.866666666666667,-14.017558299039784,-9.298867326611958,90.0,92.63333333333333,122.2,105.5,Thu 12-31 12-31,H,34 (Ⅱ),Utah St.,"L, 83-48",63,76.5,54.2,41.4,132.3,61.5,14.3,2.0,12.0,129.0,92.071875,94.14375,91.5530864197531,91.55925130435811,109.5796875,96.959375,105.57064471879288,100.85811863097008,20201231,96.0,104.6,-8.599999999999994,101.4,93.9,7.5,96.8,104.3,-7.45,63.4,7.402110954207913,125.02103780717009,63.03926031294453,6.749641896525397,126.71400775038165,13.393398102967703,126.71400775038165,6.749641896525397,126.71400775038165,13.393398102967703,111.30651650130515,104.1,94.2,9.92,69.9,96.0,104.6,-8.599999999999994,101.4,93.9,7.5,7.280109487438563,113.83269543863139,0,90.59908607989873,99.94499809937166,-9.345912019472934,-9.306957250672466,96.26234718097534,99.2546072825548,-2.992260101579461,-1.464526288927125,2020-12-31,0.6957824003341813,120.36706051273414,3.273774869748479,120.36706051273414,-24.55,-34.379999999999995,-13.014197530864198,-9.829999999999998,-21.365802469135797,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,-6.567558299039784,-5.416666666666667,3.6736625514403283,-4.91142857142857,-1.6383333333333336,-1,1.0,-1,-1,-1,-3,1.0,-3.0
-5.0,-17,-13.933333333333332,-15.311705532693185,-10.862709630864325,90.4,93.89999999999998,108.3,107.83333333333336,Sat 1-02 1-02,H,34 (Ⅱ),Utah St.,"L, 72-53",64,82.5,45.7,24.9,112.1,60.9,28.0,-4.5,14.0,129.5,91.2359375,92.071875,91.16872427983542,91.34847833992936,108.93984375,109.5796875,106.4804298125286,102.21118797079369,20210102,95.7,106.4,-10.700000000000003,103.3,93.9,9.399999999999991,96.1,105.4,-9.24,63.2,9.546888392392056,124.87458328419333,62.660597439544816,9.302872369434752,128.1960917374111,16.56621080671268,128.1960917374111,9.302872369434752,128.1960917374111,16.56621080671268,112.8511220622404,105.2,93.6,11.57,69.7,95.7,106.4,-10.700000000000003,103.3,93.9,9.399999999999991,11.27357904264488,116.11399747185843,0,90.12327704644264,104.62317462227006,-14.499897575827418,-17.451745028274065,100.20387840090872,98.25845968098614,1.9454187199225856,2.1103133583796008,2021-01-02,6.994282151987925,124.1562031378555,10.637788386604406,124.1562031378555,-7.76,-42.13999999999999,-20.136131687242795,-34.379999999999995,-22.0038683127572,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,-6.071705532693185,-4.693333333333332,-6.567558299039784,-5.267499999999999,-4.91142857142857,-1,-1.0,-1,-1,-1,-3,-3.0,1.0
0.0,-10,-20.033333333333328,-13.541137021795453,-10.705853334343539,93.8,91.39999999999998,103.8,111.43333333333337,Wed 1-06 1-06,A,69 (I),Boise St.,"L, 78-59",69,85.4,52.0,23.1,112.8,57.4,20.3,4.0,19.0,133.0,92.51796875,91.2359375,92.04581618655695,91.79420955085129,106.369921875,108.93984375,105.58695320835241,102.50006288519484,20210106,94.9,106.3,-11.399999999999993,107.1,94.0,13.099999999999996,95.9,105.7,-9.8,62.9,16.533857371535234,126.79638583515451,61.64736842105264,19.20923309727238,129.05726537116274,24.827272834623628,129.05726537116274,19.20923309727238,129.05726537116274,24.827272834623628,124.91879488839646,107.5,96.4,11.17,68.9,94.9,106.3,-11.399999999999993,107.1,94.0,13.099999999999996,23.654087864990522,118.51313448710414,0,89.84763727626394,104.02730006359964,-14.179662787335701,-17.305370407632818,105.3166154452798,90.58011980617023,14.736495639109563,13.315511912955953,2021-01-06,21.232151459633634,121.44831368445182,20.56865945502011,121.44831368445182,-0.1999999999999993,-42.33999999999999,-27.470754458161863,-42.13999999999999,-14.869245541838126,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,-3.7411370217954527,-10.233333333333327,-6.071705532693185,-4.7044444444444435,-5.267499999999999,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
7.5,6,-7.066666666666663,-6.794091347863637,-7.541152728099258,126.5,103.56666666666663,119.8,110.63333333333335,Fri 1-08 1-08,A,69 (I),Boise St.,"L, 80-69",61,113.8,63.3,19.8,132.0,58.5,9.9,16.0,18.5,133.0,109.508984375,92.51796875,103.5305441243713,98.10435326887831,113.0849609375,106.369921875,110.32463547223496,105.64550599697759,20210108,95.2,106.3,-11.099999999999996,107.4,94.3,13.100000000000007,95.8,105.8,-9.97,63.5,17.285919864631815,129.77529002935117,62.95803698435278,19.460067542616372,132.28349709693404,23.538040213758933,132.28349709693404,19.460067542616372,132.28349709693404,23.538040213758933,129.45674581445306,107.9,96.4,11.49,69.7,95.2,106.3,-11.099999999999996,107.4,94.3,13.100000000000007,23.087932767068793,121.14549371066164,0,91.4529003560891,103.37476875933349,-11.921868403244389,-14.276962572129307,104.90998455853529,92.05875192237886,12.851232636156425,12.556439337848833,2021-01-08,19.169894996715684,124.97660780414542,18.641443227047652,124.97660780414542,15.97,-26.36999999999999,-32.42716963877457,-42.33999999999999,6.057169638774582,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,3.1759086521363633,2.9033333333333378,-3.7411370217954527,-2.6369999999999987,-4.7044444444444435,1,-1.0,1,-1,-1,1,-3.0,-3.0
