ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,PPP1,EFG%1,TO%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
3.5,9,,9.300000000000011,9.300000000000011,95.9,0.0,86.6,0.0,Wed 11-25 11-25,A,344 (Ⅳ),South Carolina St.,"W, 81-61",79,102.3,57.3,29.0,77.0,34.4,11.4,3.5,-16.5,138.5,95.9,0.0,95.9,95.9,86.6,0.0,86.6,86.6,20201125,96.4,102.6,-6.199999999999988,89.6,116.2,-26.60000000000001,96.9,99.8,-2.91,70.8,-12.145707499469914,138.04620750856,72.10924608819344,-10.60436052123525,150.0059127262686,-27.08748000349596,150.0059127262686,-10.60436052123525,150.0059127262686,-27.08748000349596,117.80831516573751,85.5,111.1,-25.61,71.6,96.4,102.6,-6.199999999999988,89.6,116.2,-26.60000000000001,-27.08748000349596,117.80831516573751,0,105.7654008,90.5515015,15.213899299999994,16.03459363,90.5515015,105.7654008,-15.213899299999994,-14.39320487,2020-11-25,-18.026067114268024,142.36397374205495,-19.905626906272254,142.36397374205495,11.91,11.91,0.0,0.0,11.91,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,12.210000000000012,,0.0,11.91,0.0,1,0.0,1,1,1,3,0.0,0.0
1.5,-1,,5.5666666666666735,7.263636363636372,96.3,0.0,98.2,0.0,Mon 11-30 11-30,H,136 (Ⅲ),Bowling Green,"L, 78-76 OT",78,97.9,49.2,23.2,100.5,56.6,23.2,-4.0,3.5,158.0,96.1,95.9,96.03333333333332,95.97272727272728,92.4,86.6,90.46666666666668,88.7090909090909,20201130,94.0,100.3,-6.299999999999998,104.4,101.3,3.1000000000000085,98.0,100.6,-2.6,72.4,-2.7973136907831844,156.8494488751104,77.44637268847796,3.078941940506013,157.87190589028233,-8.761564920268114,157.87190589028233,3.078941940506013,157.87190589028233,-8.761564920268114,160.6795575887245,102.2,102.8,-0.58,75.2,94.0,100.3,-6.299999999999998,104.4,101.3,3.1000000000000085,-8.798939501055477,160.62856644359687,0,104.31741537707623,88.69372722708016,15.62368814999607,15.544242776186962,102.41821854475825,114.2476987151359,-11.82948017037765,-8.58445895031637,2020-11-30,-27.057451861893682,166.68205779727026,-20.93076410095773,166.68205779727026,1.6,13.51,11.91,11.91,1.5999999999999996,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,8.166666666666673,,12.210000000000012,6.755,11.91,1,1.0,1,1,1,3,3.0,0.0
7.0,-4,0.833333333333338,2.077777777777785,5.0520661157024875,90.9,94.36666666666667,95.8,93.53333333333336,Fri 12-11 12-11,A,246 (Ⅲ),Charlotte,"W, 61-57",64,94.8,45.9,17.1,88.6,46.9,18.7,-10.5,3.0,128.5,93.5,96.1,94.32222222222221,95.05041322314051,94.1,92.4,92.24444444444444,89.99834710743801,20201211,94.2,99.9,-5.700000000000002,98.6,98.6,0.0,97.5,100.4,-2.88,70.9,4.156543602492256,131.99700944042135,67.97524893314369,7.64506704551755,133.38986680936088,1.6762962015957614,133.38986680936088,7.64506704551755,133.38986680936088,1.6762962015957614,122.06156257966231,97.5,99.7,-2.13,67.4,94.2,99.9,-5.700000000000002,98.6,98.6,0.0,1.6651943646765943,122.16318097883128,0,96.2871755539537,91.74626937605605,4.540906177897654,2.6984824359584088,95.99022839676987,98.20183131582071,-2.211602919050847,0.484446410418625,2020-12-11,-0.9581649258478109,127.0537075465946,0.42860092359151736,127.0537075465946,-1.12,12.39,12.443333333333335,13.51,-0.053333333333334565,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,4.957777777777785,3.713333333333338,8.166666666666673,4.13,6.755,1,1.0,-1,1,1,1,3.0,3.0
-22.0,-41,-16.166666666666668,-12.51481481481481,-3.4483095416979666,78.6,88.60000000000002,120.3,104.7666666666667,Tue 12-15 12-15,A,25 (I-A),Tennessee,"L, 79-38",59,64.2,33.7,30.4,133.4,53.7,10.1,-17.0,19.0,134.0,86.05,93.5,89.08148148148148,92.05942900075131,107.2,94.1,101.59629629629627,95.50773854244929,20201215,94.3,99.6,-5.299999999999997,107.8,88.6,19.200000000000006,97.6,99.9,-2.28,70.0,19.134435481231414,131.77827399296814,68.80512091038406,20.55066803948148,135.00384366958642,15.8391957253011,135.00384366958642,20.55066803948148,135.00384366958642,15.8391957253011,107.63894169862904,107.3,86.7,20.58,69.1,94.3,99.6,-5.299999999999997,107.8,88.6,19.200000000000006,15.987774308103194,107.47985752439104,0,96.47069652979036,92.14349153519976,4.327204994590602,1.5236422010878854,100.1235106891621,81.7383921740266,18.385118515135503,20.858850689364573,2020-12-15,12.820612449247811,120.84055387461711,15.44576118226884,120.84055387461711,-38.72,-26.33,12.425555555555558,12.39,-38.75555555555556,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,-10.234814814814811,-13.886666666666668,4.957777777777785,-6.5825,4.13,-1,1.0,-1,-1,1,-3,1.0,3.0
0.0,-2,-16.466666666666665,-9.276543209876538,-3.330435079571063,98.5,89.33333333333336,101.3,105.80000000000004,Tue 12-22 12-22,A,72 (I),Auburn,"L, 67-53",58,90.8,39.1,12.0,114.8,58.7,22.3,-21.0,14.0,141.0,92.275,86.05,92.22098765432101,93.2304419097056,104.25,107.2,101.49753086419751,96.5608769892767,20201222,94.3,100.9,-6.6000000000000085,102.9,94.3,8.600000000000009,97.7,101.0,-3.3,68.9,14.370683100043045,138.71267475493553,69.68406827880513,14.48028780998856,137.80888570292697,21.100671479556052,137.80888570292697,14.48028780998856,137.80888570292697,21.100671479556052,131.29874403026426,106.3,94.4,11.93,71.1,94.3,100.9,-6.6000000000000085,102.9,94.3,8.600000000000009,18.763098103882857,133.20861043465925,0,95.46612315562984,95.09495543761835,0.37116771801149184,1.7783781905657063,102.28298948991356,90.89077626398381,11.392213225929751,17.57982352233449,2020-12-22,11.163544892108796,131.50340646399061,13.151098020822687,131.50340646399061,1.2999999999999998,-25.029999999999998,-0.4929629629629595,-26.33,-24.537037037037038,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,-5.976543209876538,-13.166666666666664,-10.234814814814811,-5.006,-6.5825,-1,-1.0,-1,-1,-1,-3,-3.0,1.0
-21.0,-30,-25.03333333333333,-16.384362139917688,-8.288537792376323,86.5,87.86666666666667,117.1,112.90000000000003,Fri 1-01 1-01,H,289 (Ⅳ),Troy,"L, 69-56",64,86.9,45.5,20.2,107.1,59.0,20.2,-4.0,-8.0,129.0,89.3875,92.275,90.31399176954731,92.00672519885003,110.675,104.25,106.69835390946504,100.29526299122637,20210101,95.3,101.7,-6.400000000000006,92.6,102.7,-10.100000000000009,98.2,101.7,-3.5,67.2,-8.275521530687776,126.84558967244655,65.28819345661451,-6.0773286186408555,128.67679276316193,-8.357957220082774,128.67679276316193,-6.0773286186408555,128.67679276316193,-8.357957220082774,116.17261116735888,92.3,103.0,-10.72,68.3,95.3,101.7,-6.400000000000006,92.6,102.7,-10.100000000000009,-8.67254409960018,114.88174318632579,0,96.41189417437911,97.4528118878858,-1.040917713506687,0.6273069694160632,90.0413723942788,97.98833344629615,-7.9469610520173575,-2.648434221855392,2021-01-01,-7.919280933697756,122.15268349185078,-3.9482678582924535,122.15268349185078,-26.5,-51.53,-8.671975308641972,-25.029999999999998,-42.858024691358025,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,-12.884362139917688,-21.53333333333333,-5.976543209876538,-8.588333333333333,-5.006,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
24.5,27,-1.9333333333333325,-1.7229080932784644,-1.763349102853355,125.1,103.36666666666667,97.5,105.30000000000004,Sat 1-02 1-02,H,289 (Ⅳ),Troy,"W, 90-59",69,130.5,66.9,11.6,85.6,53.1,26.1,23.0,-6.5,126.0,107.24375,89.3875,101.90932784636487,98.02368425360457,104.0875,110.675,103.63223593964337,99.78703335645793,20210102,95.5,101.9,-6.400000000000006,92.9,102.9,-10.0,98.3,101.8,-3.49,67.1,-8.340621467109493,126.97905720734502,65.19103840682787,-6.021971921361086,129.0825681048016,1.019208751636474,129.0825681048016,-6.021971921361086,129.0825681048016,1.019208751636474,119.08534800643199,92.4,103.2,-10.73,68.3,95.5,101.9,-6.400000000000006,92.9,102.9,-10.0,-4.58270249181785,116.21239286026801,0,94.86799755873587,102.11826384600063,-7.250266287264765,-9.83603743589544,93.56285905264549,96.78606236119545,-3.223203308549955,-1.0940760410199364,2021-01-02,-1.016013556924264,125.2201397064875,3.9733826976972253,125.2201397064875,30.490000000000002,-21.04,-22.95798353909465,-51.53,1.9179835390946494,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1.7670919067215358,1.5566666666666678,-12.884362139917688,-3.005714285714286,-8.588333333333333,1,-1.0,1,-1,-1,1,-3.0,-3.0
0.5,-11,-4.899999999999996,-5.0486053955189725,-3.5700129023345606,97.9,103.16666666666669,109.6,108.0666666666667,Fri 1-08 1-08,H,258 (Ⅳ),Georgia Southern,"W, 66-63",65,102.1,51.0,23.2,97.5,54.7,26.3,-3.5,-2.5,132.5,102.571875,107.24375,100.57288523090996,98.00119620749464,106.84375,104.0875,105.62149062642892,101.5712091098292,20210108,97.5,103.0,-5.5,95.3,103.2,-7.900000000000006,99.4,103.0,-3.65,66.7,-6.510768599279906,133.50085237300925,65.56145092460882,-5.396374663584908,133.70234246908643,-5.343789864075054,133.70234246908643,-5.396374663584908,133.70234246908643,-5.343789864075054,133.02089614290315,97.2,105.0,-7.79,69.1,97.5,103.0,-5.5,95.3,103.2,-7.900000000000006,-8.951958842637532,128.78948698466704,0,98.75149237484777,102.82560059302818,-4.074108218180413,-3.2898645634567676,92.35941577151631,99.25053904131615,-6.891123269799834,-3.1322713190593805,2021-01-08,-5.678062754585632,129.8144675954552,-1.6734539717939612,129.8144675954552,-7.35,-28.39,-22.318655692729767,-21.04,-6.071344307270234,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,-1.3986053955189726,-1.249999999999996,1.7670919067215358,-3.54875,-3.005714285714286,-1,1.0,-1,-1,-1,-3,1.0,-3.0
4.5,-9,2.2333333333333343,-6.432403597012651,-4.593646920091913,113.1,112.03333333333336,122.3,109.80000000000004,Sat 1-09 1-09,H,258 (Ⅳ),Georgia Southern,"W, 77-71",65,117.8,57.5,16.8,108.7,58.0,19.9,17.5,-1.5,130.5,107.8359375,102.571875,104.74859015393996,100.74643326067743,114.571875,106.84375,111.18099375095262,105.3400801807693,20210109,97.5,102.9,-5.400000000000006,95.2,103.1,-7.899999999999991,99.3,103.0,-3.65,66.7,-6.43905920986208,133.2984947492563,65.56145092460882,-5.458517845603822,133.5054137084506,-4.871374107265581,133.5054137084506,-5.458517845603822,133.5054137084506,-4.871374107265581,135.9267459875526,97.1,104.9,-7.79,69.1,97.5,102.9,-5.400000000000006,95.2,103.1,-7.899999999999991,-7.672617985933079,129.51983971328758,0,99.03952733,104.8979358,-5.8584084700000005,-5.280933113,94.2629156,100.3912583,-6.128342700000005,-3.537385117,2021-01-09,-4.100660689586107,133.34887222154515,-0.6116854188421854,133.34887222154515,-5.35,-33.74,-24.342437128486512,-28.39,-9.39756287151349,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,-2.782403597012651,5.883333333333335,-1.3986053955189726,-3.7488888888888896,-3.54875,-1,-1.0,-1,-1,-1,-3,-3.0,1.0
-6.0,-7,-9.599999999999994,-6.921602398008432,-5.194802025529746,97.4,102.8,105.3,112.40000000000003,Fri 1-15 1-15,A,214 (Ⅲ),South Alabama,"L, 73-64",66,96.7,44.6,15.1,110.3,57.7,21.2,2.0,3.0,135.0,102.61796875,107.8359375,102.29906010262665,100.13799084964519,109.9359375,114.571875,109.22066250063507,105.3327928751749,20210115,98.6,104.3,-5.700000000000002,103.5,110.3,-6.799999999999998,100.1,103.8,-3.72,65.6,2.8595550976872204,133.31070692198597,62.42731152204837,3.373502858414838,138.93619979842717,-1.0108873419239934,138.93619979842717,3.373502858414838,138.93619979842717,-1.0108873419239934,141.41549328977118,102.7,107.9,-5.21,66.9,98.6,104.3,-5.700000000000002,103.5,110.3,-6.799999999999998,2.765643685343393,137.9039963571799,0,98.88887618712756,105.19058378119156,-6.301707594063998,-5.223882704412699,105.17507330381142,103.78067352432144,1.394399779489973,-1.137751835622543,2021-01-15,8.961891601643323,136.8857939556592,4.24322680550474,136.8857939556592,-3.28,-37.02,-27.474958085657676,-33.74,-9.545041914342328,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,-3.2016023980084314,-5.879999999999994,-2.782403597012651,-3.702000000000001,-3.7488888888888896,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
