ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,PPP1,EFG%1,TO%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-0.5,15,,15.400000000000004,15.400000000000004,123.5,0.0,108.1,0.0,Wed 11-25 11-25,N,110 (Ⅲ),Rhode Island,"W, 94-88",80,117.9,49.2,15.0,110.4,59.8,21.3,30.0,-6.5,152.0,123.5,0.0,123.5,123.5,108.1,0.0,108.1,108.1,20201125,115.2,96.9,18.3,106.0,96.9,9.099999999999994,109.7,90.2,19.53,75.2,-9.45896076374882,152.6184850971317,78.73001422475106,-7.16111373941105,172.17808251714405,-12.58050790485696,172.17808251714405,-7.16111373941105,172.17808251714405,-12.58050790485696,202.7801581701733,101.3,94.3,7.07,73.6,115.2,96.9,18.3,106.0,96.9,9.099999999999994,-12.58050790485696,202.7801581701733,0,104.9876748,105.89620120000001,-0.9085264000000137,0.280098588,103.5493567,96.93874728,6.610609420000003,6.2992344110000005,2020-11-25,6.33075803917329,169.83713048683177,4.738866489654981,169.83713048683177,-4.530000000000001,-4.530000000000001,0.0,0.0,-4.530000000000001,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,-4.129999999999997,,0.0,-4.530000000000001,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
-3.0,7,,12.900000000000004,14.03636363636364,107.4,0.0,99.5,0.0,Thu 11-26 11-26,N,16 (I-A),Villanova,"L, 83-74",73,101.5,51.7,12.3,113.9,55.2,15.1,-1.5,6.0,158.5,115.45,123.5,118.13333333333334,120.57272727272726,103.8,108.1,105.23333333333336,106.53636363636365,20201126,115.2,96.9,18.3,115.7,94.2,21.5,109.7,90.2,19.53,75.2,4.424436488397276,145.73591977070552,75.09302987197725,2.7576291849429992,169.2454352119913,-2.6783180654338565,169.2454352119913,2.7576291849429992,169.2454352119913,-2.6783180654338565,189.26096067599423,111.4,86.2,25.2,70.2,115.2,96.9,18.3,115.7,94.2,21.5,-2.6783180654338565,189.26096067599423,0,104.9876748,105.89620120000001,-0.9085264000000137,0.280098588,101.6325432,110.8146203,-9.1820771,-5.993452152000001,2020-11-26,-6.686528369353397,171.80369309457615,-4.710999331221842,171.80369309457615,-12.530000000000001,-17.060000000000002,-4.530000000000001,-4.530000000000001,-12.530000000000001,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-6.629999999999997,,-4.129999999999997,-8.530000000000001,-4.530000000000001,-1,-1.0,-1,-1,-1,-3,-3.0,0.0
-14.0,17,13.466666666666674,14.300000000000008,14.593388429752073,116.7,115.86666666666667,99.6,102.4,Sun 11-29 11-29,H,339 (Ⅳ),Houston Baptist,"W, 100-77",81,123.9,63.6,13.6,95.4,49.2,28.5,7.5,-37.0,169.5,116.075,115.45,117.65555555555555,119.8685950413223,101.7,103.8,103.35555555555557,105.27520661157024,20201129,112.3,94.8,17.5,90.8,112.0,-21.200000000000006,111.7,93.0,18.75,76.3,-37.29971921580022,173.48399269068761,82.26941678520625,-38.26695508255317,178.60710557346044,-41.87890627036246,178.60710557346044,-38.26695508255317,178.60710557346044,-41.87890627036246,159.25360048636603,92.0,112.1,-20.1,75.8,112.3,94.8,17.5,90.8,112.0,-21.200000000000006,-41.96349195562743,159.21670107727653,0,104.20755434801659,102.97186937637841,1.2356849716381788,3.7088758679760647,92.85894307752096,93.53447973811413,-0.675536660593167,-2.392166620933668,2020-11-29,-6.086052529726857,161.98029835669374,-7.338001229685631,161.98029835669374,-1.75,-18.810000000000002,-8.706666666666669,-17.060000000000002,-10.103333333333333,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,-4.449999999999992,-5.283333333333326,-6.629999999999997,-6.27,-8.530000000000001,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
1.5,9,11.600000000000005,12.800000000000004,13.721863260706241,97.2,107.1,87.4,95.5,Thu 12-03 12-03,A,161 (Ⅲ),California,"W, 70-62",71,98.1,55.8,19.6,86.9,46.4,28.0,-15.0,-6.5,147.0,106.6375,116.075,110.83703703703705,115.74703230653641,94.55,101.7,98.03703703703708,102.02516904583021,20201203,112.2,94.4,17.799999999999994,102.8,95.3,7.5,111.5,93.0,18.44,76.2,-6.178684294323915,148.58962346855787,75.44125177809389,-3.2164570848928804,156.9884763109376,-2.4924832233897605,156.9884763109376,-3.2164570848928804,156.9884763109376,-2.4924832233897605,143.6321208883289,99.2,95.1,4.15,69.6,112.2,94.4,17.799999999999994,102.8,95.3,7.5,-2.521682399598547,143.6673053806942,0,106.28135808756363,100.85658194153663,5.424776146027,3.3876470844615887,91.69045171829157,92.83013131248669,-1.1396795941951154,-0.7529112550543167,2020-12-03,-0.6431442642153087,147.17787354589484,-0.9835065044759261,147.17787354589484,-9.440000000000001,-28.250000000000004,-12.074444444444447,-18.810000000000002,-16.175555555555555,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,-5.639999999999997,-6.839999999999996,-4.449999999999992,-7.0625,-6.27,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-14.0,5,10.833333333333336,10.400000000000007,12.245160849668743,106.9,106.93333333333337,101.3,96.1,Thu 12-10 12-10,H,10 (I),San Diego St.,"L, 80-68",73,93.6,45.7,17.9,110.1,50.8,16.5,4.0,-2.0,144.0,106.76875,106.6375,109.52469135802471,114.13848097807524,97.925,94.55,99.1246913580247,101.89332012840653,20201210,111.7,94.1,17.600000000000012,105.8,92.1,13.700000000000005,111.1,92.6,18.49,75.8,-4.398901465476953,145.9254773739163,73.96699857752488,-6.792952616327213,153.11778081483897,1.7405052243165482,153.11778081483897,-6.792952616327213,153.11778081483897,1.7405052243165482,150.191688191347,106.8,89.4,17.48,68.6,111.7,94.1,17.600000000000012,105.8,92.1,13.700000000000005,1.7912240793923284,150.4669747179932,0,101.51517461813202,101.65135112067507,-0.13617650254305147,-3.069559524137348,103.63015154940231,86.2859371717283,17.344214377674007,19.132277944972845,2020-12-10,9.334820649510533,145.49051156012385,14.18462129490851,145.49051156012385,-13.489999999999998,-41.74,-17.4662962962963,-28.250000000000004,-24.273703703703703,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,-8.089999999999991,-7.656666666666663,-5.639999999999997,-8.348,-7.0625,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-7.0,6,7.333333333333332,9.133333333333336,11.218767967910788,103.8,102.63333333333335,97.2,95.3,Sun 12-13 12-13,A,124 (Ⅲ),Grand Canyon,"W, 71-70",72,98.5,53.5,16.7,97.2,53.1,25.0,-5.5,-8.0,146.5,105.284375,106.76875,107.61646090534978,112.25875716387974,97.5625,97.925,98.48312757201649,101.03998919596896,20201213,115.2,96.9,18.3,102.6,103.7,-1.1000000000000083,110.8,93.6,17.14,75.9,-7.756556422866296,151.2109664424728,74.60440967283073,-10.608939381302335,166.44384844747947,2.031507639844803,166.44384844747947,-10.608939381302335,166.44384844747947,2.031507639844803,158.3705045815332,100.4,99.4,1.05,69.1,115.2,96.9,18.3,102.6,103.7,-1.1000000000000083,2.1701327197168823,158.15037846662042,0,103.20394255330342,101.67618071497641,1.5277618383270095,-3.964389151285516,105.01304417929035,100.91090518747282,4.102138991817526,9.38464510921653,2020-12-13,6.5059776542163945,160.85572544974963,12.104504177353135,160.85572544974963,-11.14,-52.88,-25.557530864197535,-41.74,-27.322469135802468,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,-8.006666666666664,-9.806666666666668,-8.089999999999991,-8.81333333333333,-8.348,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-26.0,-9,1.0,3.022222222222224,7.5062647010179155,87.5,99.40000000000003,96.7,98.39999999999998,Wed 12-16 12-16,H,128 (Ⅲ),UTEP,"L, 76-63",76,82.8,40.8,13.1,99.9,55.0,26.3,-6.0,-13.0,145.0,96.3921875,105.284375,100.91097393689991,107.75716495226524,97.13125,97.5625,97.8887517146777,100.25090025124732,20201216,109.8,95.2,14.599999999999996,101.8,98.6,3.200000000000003,110.3,94.0,16.31,75.5,-17.849822009093614,149.13598441232887,74.96301564722617,-13.092414951067369,157.39847403941758,-12.440100453458037,157.39847403941758,-13.092414951067369,157.39847403941758,-12.440100453458037,157.55510890290094,96.3,98.7,-2.44,69.8,109.8,95.2,14.599999999999996,101.8,98.6,3.200000000000003,-12.7775330196922,160.74608384485805,0,101.73092640663376,100.21010166436098,1.5208247422727794,-3.0885327431602443,99.95403644131444,98.07149949157315,1.8825369497412936,-1.5596039488016538,2020-12-16,-3.9845035466518652,153.13052739001358,-0.9040519386725663,153.13052739001358,-25.31,-78.19,-34.665020576131695,-52.88,-43.5249794238683,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,-13.287777777777775,-15.309999999999999,-8.006666666666664,-11.170000000000002,-8.81333333333333,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-1.5,6,1.1999999999999982,4.081481481481484,7.268762028105567,98.0,96.43333333333337,91.8,95.2333333333333,Thu 1-07 1-07,H,48 (Ⅱ),UCLA,"L, 81-75 OT",80,93.8,43.1,13.8,101.3,52.3,22.5,13.0,4.5,143.0,97.19609375,96.3921875,99.9406492912666,105.98313496094428,94.465625,97.13125,95.85916780978512,98.71437293283871,20210107,109.5,96.9,12.599999999999996,113.5,97.0,16.5,110.1,96.2,13.89,75.0,-1.5909507389753799,148.5316937234216,69.55903271692746,-1.627888792345459,153.8935118140349,5.1619252619475615,153.8935118140349,-1.627888792345459,153.8935118140349,5.1619252619475615,145.8887513534753,113.5,95.8,17.74,65.2,109.5,96.9,12.599999999999996,113.5,97.0,16.5,3.781110941478355,147.53739459996115,0,99.02307620699608,98.87416309738235,0.14891310961372994,-6.217659311416317,107.83073449880192,98.44647842538393,9.384256073417987,13.841216013710197,2021-01-07,2.434398221324045,145.17282460133708,11.930866521768081,145.17282460133708,-7.890000000000001,-86.08,-49.173347050754465,-78.19,-36.90665294924553,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,-9.808518518518516,-12.690000000000003,-13.287777777777775,-10.759999999999998,-11.170000000000002,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-5.0,6,1.0,4.720987654320988,7.038078022995464,96.6,94.03333333333336,90.6,93.03333333333332,Sat 1-09 1-09,H,14 (I),USC,"L, 73-64",74,86.7,41.5,12.2,98.9,42.0,21.7,-11.5,4.0,148.5,96.898046875,97.19609375,98.82709952751108,104.27711042259077,92.5328125,94.465625,94.10611187319007,97.23903239959527,20210109,108.4,96.7,11.700000000000005,110.8,91.7,19.099999999999994,109.2,96.1,13.14,75.2,1.2261789996885568,151.62487851877813,74.13029871977241,1.4839863213312583,156.32856177021029,12.453316825243597,156.32856177021029,1.4839863213312583,156.32856177021029,12.453316825243597,139.64428013535613,110.9,90.8,20.14,69.3,108.4,96.7,11.700000000000005,110.8,91.7,19.099999999999994,8.500619491045683,147.79240945225064,0,98.39844324,94.7928451,3.605598140000012,-2.236738037,108.21951340000001,90.11950022,18.100013180000005,15.12792963,2021-01-09,6.48099981807097,144.6162058775779,10.663043745379184,144.6162058775779,-7.140000000000001,-93.22,-61.475564700502986,-86.08,-31.744435299497013,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,-8.419012345679013,-12.14,-9.808518518518516,-10.357777777777773,-10.759999999999998,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-7.0,8,6.766666666666667,5.8473251028806565,7.2311547460871965,127.5,107.36666666666667,119.4,100.6,Sat 1-16 1-16,A,94 (Ⅱ),Oregon St.,"L, 80-79",64,123.7,54.5,6.3,125.2,54.6,17.2,10.5,-6.0,148.5,112.1990234375,96.898046875,108.38473301834073,108.49945398211972,105.96640625,92.5328125,102.53740791546007,101.2682992360325,20210116,106.7,95.9,10.799999999999995,102.0,103.2,-1.2000000000000028,108.2,95.7,12.5,75.0,-4.350765401991453,147.4703309113777,70.41251778093884,-4.666610582115382,149.60127556596342,-0.6086537003280598,149.60127556596342,-4.666610582115382,149.60127556596342,-0.6086537003280598,144.1552020026793,103.8,103.0,0.78,66.0,106.7,95.9,10.799999999999995,102.0,103.2,-1.2000000000000028,-2.434335601798224,144.37079740787547,0,98.61775637953457,95.62501391882022,2.9927424607143536,-3.5235049202230386,97.3707255161382,103.78414754109427,-6.413422024956077,-12.586569097378785,2021-01-16,-2.7147477933914246,140.67481885761862,-4.568790299621739,140.67481885761862,-4.5,-97.72,-72.05704313366866,-93.22,-25.662956866331342,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,-6.6526748971193435,-5.733333333333333,-8.419012345679013,-9.771999999999998,-10.357777777777773,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
