ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,PPP1,EFG%1,TO%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
9.0,25,,25.5,25.5,130.5,0.0,105.0,0.0,Sat 11-28 11-28,N,191 (Ⅲ),Louisiana Lafayette,"W, 112-82",81,137.6,65.6,12.3,100.8,57.4,23.3,44.5,-21.0,149.5,130.5,0.0,130.5,130.5,105.0,0.0,105.0,105.0,20201128,114.8,91.3,23.5,99.3,102.9,-3.6000000000000085,114.1,87.9,26.24,70.5,-20.297142636037435,153.62074831744548,75.31365576102418,-21.131091448164597,160.6201583851723,-18.119116674805213,160.6201583851723,-21.131091448164597,160.6201583851723,-18.119116674805213,200.3556819281968,101.2,101.7,-0.49,75.1,114.8,91.3,23.5,99.3,102.9,-3.6000000000000085,-18.119116674805213,200.3556819281968,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-11-28,-0.0,0.0,,0.0,-1.2399999999999984,-1.2399999999999984,0.0,0.0,-1.2399999999999984,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,-0.7399999999999984,,0.0,-1.2399999999999984,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
22.5,43,,31.43333333333334,28.736363636363638,124.9,0.0,81.6,0.0,Sun 11-29 11-29,N,171 (Ⅲ),Washington,"W, 86-52",67,128.4,60.4,23.9,77.7,41.3,20.9,-10.5,-11.5,148.5,127.7,130.5,128.63333333333335,129.48181818181817,93.3,105.0,97.20000000000002,100.74545454545456,20201129,113.2,89.7,23.5,107.4,92.0,15.400000000000004,113.3,87.0,26.24,70.7,-10.517482062942761,142.2311812880123,73.71706970128022,-5.881219796041108,151.04372561629972,-30.848943287828302,151.04372561629972,-5.881219796041108,151.04372561629972,-30.848943287828302,169.01893751300395,103.2,91.9,11.24,73.3,113.2,89.7,23.5,107.4,92.0,15.400000000000004,-30.848943287828302,169.01893751300395,0,111.06739234263607,99.12567839235857,11.941713950277503,15.582487318863802,0.0,0.0,0.0,0.0,2020-11-29,-0.0,0.0,,0.0,16.76,15.520000000000003,-1.2399999999999984,-1.2399999999999984,16.76,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,5.193333333333342,,-0.7399999999999984,7.760000000000002,-1.2399999999999984,1,-1.0,1,1,-1,3,-3.0,0.0
8.5,40,36.33333333333334,34.355555555555576,30.8206611570248,131.8,129.0666666666667,91.6,92.73333333333332,Wed 12-02 12-02,N,6 (I-A),Illinois,"W, 82-69",68,120.6,50.8,10.3,101.5,50.0,17.6,7.0,-4.5,144.0,129.75,127.7,129.68888888888893,129.90330578512393,92.45,93.3,95.33333333333336,99.08264462809916,20201202,115.6,89.5,26.099999999999994,111.9,91.2,20.700000000000006,115.2,87.0,28.29,70.8,-5.903587524681029,144.58100753699495,73.01564722617353,-3.938657370331839,153.448201201673,2.8970791855841664,153.448201201673,-3.938657370331839,153.448201201673,2.8970791855841664,156.27614965127276,109.7,89.9,19.86,72.5,115.6,89.5,26.099999999999994,111.9,91.2,20.700000000000006,2.6196501747393857,156.25683383040698,0,112.22728127167794,99.6510981845178,12.576183087160132,10.779410829871617,113.21129753771328,89.75940134713629,23.45189619057699,31.11639271391694,2020-12-02,9.018123927265279,159.39954487029598,14.849178948905362,159.39954487029598,11.71,27.230000000000004,4.3466666666666685,15.520000000000003,22.883333333333336,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,6.0655555555555765,8.043333333333344,5.193333333333342,9.076666666666668,7.760000000000002,1,1.0,1,1,1,3,3.0,-3.0
7.5,27,37.06666666666669,32.137037037037054,30.25326821938393,97.9,118.2,70.2,81.13333333333333,Wed 12-09 12-09,H,164 (Ⅲ),Stephen F. Austin,"W, 83-52",78,106.0,57.8,25.5,66.4,42.0,44.7,-11.0,-23.5,146.0,113.825,129.75,119.09259259259264,124.08452291510142,81.32499999999997,92.45,86.95555555555558,93.8312546957175,20201209,116.6,89.9,26.699999999999992,98.3,96.5,1.7999999999999972,115.9,87.2,28.73,70.1,-24.299688737048953,147.57796432706095,74.48748221906116,-22.662344799977973,153.43632397533423,-39.23247469325047,153.43632397533423,-22.662344799977973,153.43632397533423,-39.23247469325047,166.9235045972234,98.1,97.3,0.74,74.7,116.6,89.9,26.699999999999992,98.3,96.5,1.7999999999999972,-39.34455398082681,166.80519586934383,0,122.50172661629915,95.347286217442,27.154440398857147,26.654047107483983,94.72351539050442,105.00424160868064,-10.280726218176227,-17.16462089230011,2020-12-09,-33.83240755814232,167.48404162116356,-34.82403012240851,167.48404162116356,-1.7300000000000004,25.500000000000004,11.974444444444448,27.230000000000004,13.525555555555556,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,3.4070370370370533,8.33666666666669,6.0655555555555765,6.375,9.076666666666668,1,1.0,1,1,1,3,3.0,3.0
15.0,47,38.40000000000001,37.19135802469136,33.352673997677755,151.7,127.13333333333333,104.4,88.7333333333333,Sat 12-19 12-19,A,178 (Ⅲ),Kansas St.,"W, 100-69",68,146.3,69.5,17.6,101.0,52.5,20.5,34.0,-16.0,135.0,132.7625,113.825,129.96172839506175,129.1055187487193,92.8625,81.32499999999997,92.7703703703704,95.75284475104161,20201219,117.1,89.8,27.3,103.5,96.6,6.900000000000006,116.3,87.2,29.11,69.7,-14.330764945268626,131.50031593285524,65.93243243243244,-9.74024653592511,138.93167369804857,-17.249736214087037,138.93167369804857,-9.74024653592511,138.93167369804857,-17.249736214087037,139.16639611562385,99.6,98.3,1.36,66.5,117.1,89.8,27.3,103.5,96.6,6.900000000000006,-17.799604919809102,141.2243928912525,0,121.00874740388909,93.54904051368374,27.459706890205354,25.850577722550074,100.3385028890346,106.77075840975608,-6.432255520721483,-15.630332927210755,2020-12-19,-19.668150639098442,150.14214666400204,-25.408926894485496,150.14214666400204,17.89,43.39,16.482962962962965,25.500000000000004,26.907037037037036,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,8.081358024691362,9.290000000000013,3.4070370370370533,8.677999999999997,6.375,1,1.0,1,1,1,3,3.0,3.0
13.5,49,41.5,41.29423868312757,36.288551452645436,121.1,123.56666666666666,71.6,82.06666666666666,Mon 12-21 12-21,H,342 (Ⅳ),Arkansas Pine Bluff,"W, 99-42",71,140.2,59.9,7.1,59.5,31.1,32.6,-0.5,-43.5,141.5,126.93125,132.7625,127.00781893004115,127.64996988531578,82.23124999999997,92.8625,85.7135802469136,91.3614184326704,20201221,120.1,90.6,29.5,93.5,106.6,-13.099999999999996,118.2,88.2,30.08,70.0,-40.0833553104425,144.41732385690392,71.09530583214794,-35.84269608151893,155.64000432163883,-47.28487490195217,155.64000432163883,-35.84269608151893,155.64000432163883,-47.28487490195217,160.18687139192218,86.0,107.3,-21.37,71.4,120.1,90.6,29.5,93.5,106.6,-13.099999999999996,-48.62177790204203,161.2101271321122,0,119.75350612056955,96.22844561806795,23.525060502501603,21.25452220191922,102.3206669899638,106.51550550805688,-4.1948385180930785,-5.75123580205531,2020-12-21,-25.76784919094007,165.01107774955753,-21.34480433283585,165.01107774955753,18.92,62.31,25.451975308641977,43.39,36.858024691358025,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,11.214238683127569,11.420000000000002,8.081358024691362,10.385000000000002,8.677999999999997,1,1.0,1,1,1,3,3.0,3.0
2.0,24,40.266666666666666,35.529492455418385,34.05426937034626,102.4,125.06666666666668,78.4,84.8,Tue 12-29 12-29,H,319 (Ⅳ),Central Arkansas,"W, 93-56",79,117.6,58.8,12.6,70.8,45.0,30.3,-9.5,-35.0,158.5,114.665625,126.93125,118.80521262002745,123.05906626980381,80.315625,82.23124999999997,83.27572016460906,89.00479689945759,20201229,120.9,90.3,30.60000000000001,98.2,105.3,-7.099999999999994,118.9,88.3,30.57,69.7,-32.81553759793397,158.44373467477314,74.65732574679943,-34.0863293735365,165.59992944201815,-41.3475437825517,165.59992944201815,-34.0863293735365,165.59992944201815,-41.3475437825517,163.0993237983184,98.5,105.3,-6.87,75.3,120.9,90.3,30.60000000000001,98.2,105.3,-7.099999999999994,-37.5461115821901,163.01182578793856,0,120.23617536393073,92.2750168050858,27.96115855884493,27.908044925067557,97.57978004025759,96.63972885735859,0.9400511828989977,-2.6256499520772274,2020-12-29,-24.357912141535095,157.8991495160863,-25.150297407476273,157.8991495160863,-6.57,55.74,37.73798353909466,62.31,18.002016460905345,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,4.959492455418385,9.696666666666665,11.214238683127569,7.962857142857146,10.385000000000002,1,1.0,1,1,1,3,3.0,3.0
-15.0,16,30.066666666666674,29.252994970278927,30.898947666646944,133.1,118.86666666666667,116.4,88.8,Wed 12-30 12-30,H,336 (Ⅳ),Alcorn St.,"W, 105-76",72,145.4,63.5,16.6,105.3,50.9,24.9,32.5,-44.0,148.5,123.8828125,114.665625,123.57014174668495,124.88469058438494,98.3578125,80.315625,94.31714677640603,93.985742917738,20201230,120.9,90.4,30.5,94.6,113.8,-19.200000000000006,119.0,88.4,30.57,69.7,-40.537284103275034,150.84590892549858,71.5837837837838,-42.7026668864617,164.44999721108974,-53.290144742541315,164.44999721108974,-42.7026668864617,164.44999721108974,-53.290144742541315,157.69005841895788,90.1,109.8,-19.7,72.2,120.9,90.4,30.5,94.6,113.8,-19.200000000000006,-53.00032677850537,161.3479381823604,0,118.84953968368666,90.43334880648744,28.416190877199213,29.18100251311645,96.73508864653938,112.02573767808056,-15.290649031541179,-7.304524440885067,2020-12-30,-37.9616785192726,162.50272975536933,-28.341306823750813,162.50272975536933,-14.57,41.17,43.73865569272977,55.74,-2.56865569272977,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,-1.3170050297210736,-0.5033333333333267,4.959492455418385,5.146250000000002,7.962857142857146,-1,1.0,-1,1,1,-1,3.0,3.0
-4.5,13,18.000000000000004,23.935329980185948,27.69913899998386,100.8,112.10000000000002,87.5,94.09999999999998,Sat 1-02 1-02,A,152 (Ⅲ),Iowa St.,"W, 76-65",76,100.7,50.9,22.5,86.1,53.7,27.8,-5.5,-15.5,146.5,112.34140625,123.8828125,115.98009449778999,120.50565593267858,92.92890625,98.3578125,92.04476451760405,92.80651693269472,20210102,121.1,90.7,30.39999999999999,104.3,99.6,4.700000000000003,119.7,89.0,30.67,70.4,-11.452616985778377,147.2182095186648,70.19971550497867,-14.36419406040784,154.11905605028733,-18.280182086141295,154.11905605028733,-14.36419406040784,154.11905605028733,-18.280182086141295,142.9685263391312,106.2,97.6,8.55,70.1,121.1,90.7,30.39999999999999,104.3,99.6,4.700000000000003,-20.86450724117631,147.80401422620332,0,118.55343067098795,93.66873520148552,24.884695469502432,23.275840334084354,92.27628525972048,102.40895847820046,-10.13267321847998,-17.733265854139756,2021-01-02,-20.950522126748425,148.64146362860248,-26.768211639896514,148.64146362860248,-17.67,23.5,42.882437128486515,41.17,-19.382437128486515,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,-6.734670019814054,-12.669999999999998,-1.3170050297210736,2.6111111111111143,5.146250000000002,-1,-1.0,-1,1,1,-1,-1.0,3.0
3.5,42,24.20000000000001,30.156886653457303,30.408386454532252,126.7,120.2,84.1,96.0,Wed 1-06 1-06,H,29 (I),Oklahoma,"W, 76-61",66,115.7,56.9,19.8,92.9,39.3,15.2,-12.5,-11.5,149.5,119.520703125,112.34140625,119.55339633186001,121.6319003085552,88.51445312499997,92.92890625,89.39650967840271,91.22351385402295,20210106,120.2,90.3,29.90000000000001,112.6,96.1,16.5,119.4,88.8,30.62,70.8,-14.269681984550274,151.45041512681803,71.10213371266002,-14.488356676208866,158.29334726138228,-13.022801079969163,158.29334726138228,-14.488356676208866,158.29334726138228,-13.022801079969163,149.4298268756683,112.3,95.4,16.9,70.6,120.2,90.3,29.90000000000001,112.6,96.1,16.5,-16.191444136728478,157.15358042595298,0,114.58264293411492,93.67420805147869,20.90843488263623,20.751452200047275,108.28963455835256,99.30583909762872,8.98379546072384,14.001219528044858,2021-01-06,-13.366827399747763,156.83472542122743,-7.136357680008928,156.83472542122743,11.379999999999999,34.879999999999995,36.42162475232435,23.5,-1.5416247523243527,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,-0.4631133465426984,-6.419999999999991,-6.734670019814054,3.4879999999999995,2.6111111111111143,-1,-1.0,-1,1,1,-1,-1.0,-1.0
