ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,PPP1,EFG%1,TO%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
5.5,2,,2.0999999999999943,2.0999999999999943,116.6,0.0,114.5,0.0,Fri 12-11 12-11,H,241 (Ⅳ),Marist,"W, 81-72",70,116.3,62.9,11.5,103.4,53.6,21.5,19.0,-3.5,134.0,116.6,0.0,116.6,116.6,114.5,0.0,114.5,114.5,20201211,99.4,101.9,-2.5,94.0,99.9,-5.900000000000006,97.5,103.1,-5.69,72.7,-5.592368836954634,134.45913335235474,70.83854907539119,-6.506702856967777,141.4903280391793,-9.192194017345228,141.4903280391793,-6.506702856967777,141.4903280391793,-9.192194017345228,143.06106896170272,91.2,99.1,-7.88,68.5,99.4,101.9,-2.5,94.0,99.9,-5.900000000000006,-9.127120384919523,142.97873354865322,0,0.0,0.0,0.0,0.0,96.00096538175808,95.93759116370222,0.06337421805585564,0.2819723890285407,2020-12-11,0.0,0.0,,0.0,7.69,7.69,0.0,0.0,7.69,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,7.789999999999995,,0.0,7.69,0.0,1,0.0,1,1,1,3,0.0,0.0
-8.5,-14,,-3.5333333333333354,-0.9727272727272772,74.4,0.0,89.2,0.0,Sat 12-12 12-12,H,241 (Ⅳ),Marist,"L, 56-52",70,74.6,35.2,24.4,80.3,41.8,31.5,-28.0,-4.5,136.0,95.5,116.6,102.53333333333332,108.92727272727272,101.85,114.5,106.06666666666668,109.9,20201212,99.5,102.0,-2.5,94.1,100.0,-5.900000000000006,97.5,103.2,-5.69,72.6,-5.44368590876941,134.21099970690142,70.63783783783785,-6.499232977021066,141.38634839998582,-12.944747711305695,141.38634839998582,-6.499232977021066,141.38634839998582,-12.944747711305695,155.11308493642713,91.3,99.1,-7.88,68.4,99.5,102.0,-2.5,94.1,100.0,-5.900000000000006,-12.679978782269096,154.56967090981843,0,105.77838687301418,107.2713000354471,-1.492913162432913,1.1482580744026196,100.94224588991476,99.98312377439925,0.9591221155155125,2.443824857616816,2020-12-12,-2.5088418673788624,154.68169356264883,-1.0982222720830066,154.68169356264883,-8.309999999999999,-0.6199999999999983,7.69,7.69,-8.309999999999999,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,2.156666666666665,,7.789999999999995,-0.3099999999999996,7.69,1,1.0,-1,-1,1,-1,3.0,0.0
-13.0,-20,-11.1,-9.222222222222221,-4.541322314049589,87.7,92.9,108.3,104.0,Sun 12-27 12-27,A,194 (Ⅲ),Monmouth,"L, 84-66",76,86.5,40.0,19.7,110.1,58.2,19.7,-5.5,5.0,155.5,91.6,95.5,97.58888888888892,105.06776859504131,105.075,101.85,106.81111111111113,109.6090909090909,20201227,100.1,102.9,-2.800000000000012,101.7,102.5,-0.7999999999999972,98.4,104.0,-5.67,71.7,6.377919377436939,158.02492648319478,77.41152204836416,6.202989312026034,163.84037606775993,3.3443126314688154,163.84037606775993,6.202989312026034,163.84037606775993,3.3443126314688154,168.28124956095732,99.8,102.9,-3.09,75.9,100.1,102.9,-2.800000000000012,101.7,102.5,-0.7999999999999972,3.711090110637939,168.21839787250593,0,98.21571389748071,107.27603648478359,-9.060322587302878,-7.848878454535075,102.96946383537315,111.184203978521,-8.21474014314785,-9.070917603091806,2020-12-27,5.856683388589786,173.63095138929236,1.0381533092499353,173.63095138929236,-14.33,-14.95,4.920000000000002,-0.6199999999999983,-19.87,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,-3.5522222222222215,-5.43,2.156666666666665,-4.9833333333333325,-0.3099999999999996,-1,1.0,-1,-1,-1,-3,-1.0,3.0
-22.5,-37,-24.266666666666666,-18.614814814814814,-10.515627347858755,86.1,82.7333333333333,123.5,107.0,Mon 12-28 12-28,A,194 (Ⅲ),Monmouth,"L, 97-69",79,87.4,41.0,22.8,122.8,69.0,16.5,13.5,5.5,152.5,88.85,91.6,93.75925925925928,101.6190833959429,114.2875,105.075,112.37407407407407,112.13471074380163,20201228,101.7,104.1,-2.3999999999999915,101.7,100.8,0.9000000000000057,98.4,104.0,-5.67,71.7,6.377919377436939,158.02492648319478,77.41152204836416,7.262788321643924,164.76359006548648,10.853507608533214,164.76359006548648,7.262788321643924,164.76359006548648,10.853507608533214,163.5749033624183,99.8,102.9,-3.09,75.9,101.7,104.1,-2.3999999999999915,101.7,100.8,0.9000000000000057,10.40127044003501,163.51342727161995,0,93.75216580602968,104.05400790460469,-10.301842098575008,-6.175388771512562,101.24481279085194,106.97613722963699,-5.731324438785052,-4.089540802065963,2020-12-28,8.54625975834091,162.63450349113396,3.6709619430363176,162.63450349113396,-31.33,-46.28,-1.703333333333331,-14.95,-44.57666666666667,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,-12.944814814814814,-18.596666666666664,-3.5522222222222215,-11.57,-4.9833333333333325,-1,-1.0,-1,-1,-1,-3,-3.0,-1.0
16.0,11,-15.433333333333332,-8.509876543209879,-6.476422375520799,108.0,93.93333333333332,96.3,109.36666666666667,Fri 1-01 1-01,H,211 (Ⅳ),Saint Peter's,"W, 70-58",69,100.8,51.8,20.2,83.6,43.2,18.7,-10.5,4.0,138.5,98.425,88.85,98.50617283950619,102.779250051226,105.29375,114.2875,107.01604938271606,109.25567242674677,20210101,98.5,104.5,-6.0,95.9,95.0,0.9000000000000057,97.3,105.3,-8.03,71.8,2.1094728540058583,139.42953381780467,71.69786628733998,0.8914637180635339,142.0004246683822,9.662499324525559,142.0004246683822,0.8914637180635339,142.0004246683822,9.662499324525559,128.54337596768158,96.9,96.2,0.64,70.2,98.5,104.5,-6.0,95.9,95.0,0.9000000000000057,9.76192965397041,134.02949496540293,0,93.25868701666587,103.86373103810159,-10.605044021435717,-3.9231679421368617,95.82108333346004,93.2049711776796,2.616112155780442,3.7137814497267536,2021-01-01,5.4145033791754855,136.49048880855815,3.470091266427602,136.49048880855815,19.03,-27.25,-16.56222222222222,-46.28,-10.687777777777779,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,-0.4798765432098797,-7.403333333333332,-12.944814814814814,-5.449999999999999,-11.57,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
7.0,-2,-9.300000000000002,-6.406584362139921,-5.698891034517017,108.1,100.73333333333332,110.3,110.03333333333336,Sat 1-02 1-02,H,211 (Ⅳ),Saint Peter's,"W, 63-60",63,100.7,44.3,17.6,95.9,45.4,22.4,-14.0,4.0,137.0,103.2625,98.425,101.70411522633745,103.74665913282128,107.796875,105.29375,108.1106995884774,109.44555016733828,20210102,98.7,104.7,-6.0,96.1,95.2,0.8999999999999915,97.4,105.4,-8.03,71.8,1.960427399230852,139.51118029266274,71.59573257467996,0.8841662740875762,142.38095302891855,0.27289467216956403,142.38095302891855,0.8841662740875762,142.38095302891855,0.27289467216956403,130.28787781994302,96.9,96.4,0.59,70.1,98.7,104.7,-6.0,96.1,95.2,0.8999999999999915,3.938617994094434,133.85297932111678,0,95.58805538279805,101.95334720771892,-6.365291824920874,1.8607412932654084,94.83123371424044,94.20803970240136,0.6231940118390753,2.391948105346957,2021-01-02,1.028653536530328,136.63626610264836,-1.666985521301541,136.63626610264836,6.029999999999999,-21.22,-20.124814814814812,-27.25,-1.095185185185187,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1.6234156378600781,-1.2700000000000031,-0.4798765432098797,-3.536666666666666,-5.449999999999999,1,-1.0,-1,-1,-1,-1,-3.0,-3.0
12.0,-5,1.3333333333333333,-6.104389574759948,-5.662729028241197,94.4,103.5,99.9,102.16666666666669,Fri 2-12 2-12,A,251 (Ⅳ),Quinnipiac,"W, 74-67",77,95.8,36.1,11.7,86.8,48.4,22.0,0.0,5.0,141.0,98.83125,103.2625,99.26941015089164,102.0472665632174,103.8484375,107.796875,105.3737997256516,107.7099955914586,20210212,100.0,105.2,-5.200000000000003,92.0,100.2,-8.200000000000003,99.2,105.9,-6.71,68.4,2.1063953537252047,136.12562203456366,68.59459459459461,1.4743259367938748,138.3281489247729,7.651595706358054,138.3281489247729,1.4743259367938748,138.3281489247729,7.651595706358054,133.58501167152252,93.0,101.8,-8.85,70.5,100.0,105.2,-5.200000000000003,92.0,100.2,-8.200000000000003,5.095077331936281,129.6905396430465,0,94.84514644864063,98.8438071904948,-3.9986607418541666,-3.7665872759416255,87.3465345839616,93.07586092757893,-5.7293263436173305,-2.528293370932405,2021-02-12,2.070445532822461,122.64103545196168,2.7096000626401917,122.64103545196168,1.71,-19.509999999999998,-20.489876543209874,-21.22,0.9798765432098762,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0.6056104252400516,8.043333333333333,1.6234156378600781,-2.7871428571428574,-3.536666666666666,1,1.0,1,-1,-1,1,-1.0,-3.0
17.5,15,2.5333333333333314,1.0304069501600337,-1.8513237503791604,117.1,106.53333333333336,101.8,104.0,Sat 2-13 2-13,A,251 (Ⅳ),Quinnipiac,"W, 89-70",77,115.5,57.3,15.6,90.9,45.4,14.3,16.5,-1.5,142.5,107.965625,98.83125,105.21294010059444,104.78412718808694,102.82421875,103.8484375,104.1825331504344,106.63545093846614,20210213,97.8,106.2,-8.400000000000006,91.3,98.5,-7.200000000000002,99.2,105.9,-6.71,68.3,2.0262280270937936,135.6596998934637,68.39715504978663,4.23079463538717,135.43506108542732,7.137797054710382,135.43506108542732,4.23079463538717,135.43506108542732,7.137797054710382,137.94525643248417,92.9,101.8,-8.89,70.4,97.8,106.2,-8.400000000000006,91.3,98.5,-7.200000000000002,5.393180234099082,127.39561320571879,0,95.48101569626007,100.13326608503851,-4.652250388778441,-3.967330382241298,87.21799132466673,93.02323857669344,-5.805247252026717,-2.9558106510031013,2021-02-13,2.414310259553382,123.38533448996063,2.5406778192326698,123.38533448996063,21.71,2.200000000000003,-20.163251028806584,-19.509999999999998,22.363251028806587,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,7.740406950160033,9.243333333333332,0.6056104252400516,0.27500000000000036,-2.7871428571428574,1,1.0,1,1,-1,3,1.0,-1.0
5.5,-5,1.2999999999999972,-1.2797286998933128,-2.5874467048556777,102.0,104.5,107.9,103.2,Fri 2-19 2-19,A,304 (Ⅳ),Fairfield,"W, 80-69",71,112.1,50.8,9.8,96.7,44.4,21.0,12.5,-5.5,136.5,104.9828125,107.965625,104.14196006706298,104.27792224479843,105.362109375,102.82421875,105.42168876695627,106.86536894965408,20210219,100.8,106.2,-5.400000000000006,95.5,110.7,-15.200000000000005,100.7,105.6,-4.95,69.7,-3.6815809543914213,133.4178321502633,64.14779516358465,-2.7659700294908873,140.03833158615654,-2.049374424457549,140.03833158615654,-2.7659700294908873,140.03833158615654,-2.049374424457549,137.4621905354853,93.6,109.7,-16.14,64.7,100.8,106.2,-5.400000000000006,95.5,110.7,-15.200000000000005,-2.394511880092303,137.88125724125516,0,94.8605233,99.20322893,-4.3427056299999975,-3.954719206,94.75870705,103.5888297,-8.830122650000007,-5.769239166,2021-02-19,0.7381414953020808,126.49497091772503,0.5448358488615312,126.49497091772503,-0.04999999999999982,2.150000000000003,-12.70883401920439,2.200000000000003,14.858834019204394,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,3.6702713001066876,6.249999999999997,7.740406950160033,0.23888888888888982,0.27500000000000036,1,1.0,1,1,1,3,3.0,1.0
-18.0,-31,-7.3000000000000025,-11.286485799928874,-7.8079109403364635,73.3,97.46666666666664,104.6,104.76666666666664,Sat 2-20 2-20,A,304 (Ⅳ),Fairfield,"L, 66-53",68,78.2,38.4,19.2,97.3,42.6,19.2,-17.5,-5.0,136.5,89.14140624999997,104.9828125,93.8613067113753,98.64557274574415,104.9810546875,105.362109375,105.1477925113042,106.45348368608059,20210220,100.9,106.2,-5.299999999999997,95.6,110.8,-15.200000000000005,100.9,105.8,-4.95,69.6,-3.664581742246355,133.33531873827937,63.85775248933144,-2.817093029540203,139.63065767835013,-9.089646210252496,139.63065767835013,-2.817093029540203,139.63065767835013,-9.089646210252496,140.8733985871804,93.8,109.9,-16.12,64.5,100.9,106.2,-5.299999999999997,95.6,110.8,-15.200000000000005,-1.1365389240170363,138.6998854955806,0,94.8605233,99.20322893,-4.3427056299999975,-3.954719206,94.75870705,103.5888297,-8.830122650000007,-5.769239166,2021-02-20,0.7349049167775092,125.94031993421413,0.5423723870039581,125.94031993421413,-26.05,-23.9,-7.75588934613626,2.150000000000003,-16.144110653863738,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,-6.336485799928874,-2.3500000000000023,3.6702713001066876,-2.389999999999999,0.23888888888888982,-1,1.0,-1,-1,1,-3,3.0,3.0
