ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,PPP1,EFG%1,TO%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
0.0,-7,,-7.899999999999991,-7.899999999999991,92.7,0.0,100.6,0.0,Fri 11-27 11-27,H,144 (Ⅲ),East Carolina,"L, 66-57",66,85.8,42.5,18.1,99.4,50.9,15.1,0.0,0.0,0.0,92.7,0.0,92.7,92.7,100.6,0.0,100.6,100.6,20201127,102.1,102.8,-0.7000000000000028,102.8,101.1,1.7000000000000028,97.7,99.2,-1.54,70.0,-0.07504781863960375,140.6266926506172,73.08677098150783,-2.5353632936413533,156.0562328128219,2.6189650482588007,156.0562328128219,-2.5353632936413533,156.0562328128219,2.6189650482588007,132.37698258391634,100.2,96.3,3.86,73.4,102.1,102.8,-0.7000000000000028,102.8,101.1,1.7000000000000028,2.6189650482588007,132.37698258391634,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-11-27,0.0,0.0,,0.0,-5.46,-5.46,0.0,0.0,-5.46,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,-6.3599999999999905,,0.0,-5.46,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
-7.5,-8,,-8.099999999999994,-8.0090909090909,96.9,0.0,105.4,0.0,Fri 12-04 12-04,H,156 (Ⅲ),Georgia St.,"L, 76-65",68,96.1,45.1,19.2,112.4,49.2,11.8,-2.5,3.5,143.5,94.8,92.7,94.1,93.46363636363635,103.0,100.6,102.20000000000002,101.47272727272728,20201204,98.4,99.5,-1.0999999999999943,101.9,96.0,5.900000000000006,97.2,99.5,-2.34,68.8,1.163115522014479,145.57590813998178,73.79118065433856,1.0889281621229827,147.5846182178091,5.537210517215364,147.5846182178091,1.0889281621229827,147.5846182178091,5.537210517215364,142.50364785313033,103.3,98.4,4.85,75.4,98.4,99.5,-1.0999999999999943,101.9,96.0,5.900000000000006,5.639689798155136,142.50423153747207,0,92.9477903345376,99.05717017989777,-6.109379845360166,-5.942232765367747,96.4947061263998,99.83865515699392,-3.3439490305941177,3.756483341399092,2020-12-04,-1.8756011875766916,142.03616671585615,5.113224529459558,142.03616671585615,-5.66,-11.120000000000001,-5.46,-5.46,-5.660000000000001,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,-5.7599999999999945,,-6.3599999999999905,-5.5600000000000005,-5.46,-1,-1.0,-1,-1,-1,-3,-3.0,0.0
17.5,18,0.8333333333333334,0.9000000000000004,-3.1165289256198294,98.8,96.13333333333334,79.9,95.3,Mon 12-07 12-07,H,345 (Ⅳ),South Carolina St.,"W, 78-40",66,117.4,59.5,15.0,60.2,31.1,24.1,-17.0,-20.5,135.0,96.8,94.8,95.66666666666669,94.43388429752066,91.45,103.0,94.76666666666668,97.55041322314051,20201207,98.6,99.9,-1.3000000000000114,85.2,111.9,-26.700000000000006,97.2,100.3,-3.13,68.2,-20.26451645599751,139.437045242899,72.08051209103841,-22.626689030486588,144.61741690220407,-19.672877148367295,144.61741690220407,-22.626689030486588,144.61741690220407,-19.672877148367295,130.05103657153415,85.2,111.4,-26.25,74.3,98.6,99.9,-1.3000000000000114,85.2,111.9,-26.700000000000006,-19.590830728216673,130.0916476450643,0,93.4664666301704,102.56090292387198,-9.094436293701577,-12.562033112077383,91.78366373710514,100.05639379955191,-8.272730062446769,-8.182413416340237,2020-12-07,-3.4196407396194957,138.3373518359613,1.3479358118121354,138.3373518359613,21.13,10.009999999999998,-7.346666666666668,-11.120000000000001,17.356666666666666,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,4.03,3.9633333333333334,-5.7599999999999945,3.3366666666666664,-5.5600000000000005,1,-1.0,1,1,-1,3,-3.0,-3.0
-7.0,-8,0.6333333333333305,-2.2333333333333325,-4.095341848234406,86.6,94.1,95.1,93.46666666666664,Fri 12-11 12-11,H,246 (Ⅳ),Appalachian St.,"L, 61-57",64,88.6,46.9,18.7,94.8,45.9,17.1,-10.5,-3.0,128.5,91.7,96.8,92.64444444444445,93.00954169797146,93.275,91.45,94.87777777777781,97.10488354620584,20201211,98.6,98.6,0.0,94.2,99.9,-5.700000000000002,97.5,99.7,-2.13,67.4,-4.156543602492256,131.99700944042135,67.97524893314369,-7.64506704551755,133.38986680936088,-1.5808553993123062,133.38986680936088,-7.64506704551755,133.38986680936088,-1.5808553993123062,122.02811513493401,97.5,100.4,-2.88,70.9,98.6,98.6,0.0,94.2,99.9,-5.700000000000002,-1.6075817626760585,122.08369795480343,0,95.99022839676987,98.20183131582071,-2.211602919050847,0.484446410418625,96.2871755539537,91.74626937605605,4.540906177897654,2.6984824359584088,2020-12-11,0.9581649258478109,127.0537075465946,-0.42860092359151736,127.0537075465946,-5.87,4.139999999999998,-1.5611111111111127,10.009999999999998,5.701111111111111,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,-0.10333333333333261,2.7633333333333305,4.03,1.0350000000000001,3.3366666666666664,-1,1.0,1,1,1,1,3.0,-3.0
21.5,26,12.233333333333327,7.277777777777778,1.4310839423536676,107.8,97.73333333333336,81.5,85.5,Tue 12-15 12-15,A,78 (I),Davidson,"W, 63-52",59,106.7,46.7,13.5,88.1,43.0,23.7,-10.0,10.5,125.0,99.75,91.7,97.69629629629631,95.69871593470393,87.3875,93.275,90.41851851851854,94.26763199235023,20201215,98.1,98.8,-0.7000000000000028,111.5,98.5,13.0,97.0,99.8,-2.8,66.7,12.439982590323226,127.20099843550999,62.335561877667146,12.37181597246191,132.64646545552424,12.021230917920754,132.64646545552424,12.37181597246191,132.64646545552424,12.021230917920754,129.50629815956097,109.7,98.1,11.57,65.7,98.1,98.8,-0.7000000000000028,111.5,98.5,13.0,12.163346346901506,129.6188135390306,0,94.84178516630881,100.56541117974548,-5.723626013436672,-4.838741162950961,109.47479140860105,102.43986345162813,7.034927956972922,10.063822841005397,2020-12-15,11.99874404713205,132.92972419551398,11.080591914936008,132.92972419551398,28.8,32.94,0.3392592592592574,4.139999999999998,32.60074074074074,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,10.077777777777778,15.033333333333328,-0.10333333333333261,6.588000000000001,1.0350000000000001,1,-1.0,1,1,1,3,1.0,3.0
-8.5,-11,1.9999999999999956,0.9185185185185151,-0.9745676835288196,111.1,101.83333333333336,122.9,99.83333333333331,Sat 12-19 12-19,H,297 (Ⅳ),North Carolina A&T,"W, 76-72",65,116.7,66.0,23.0,110.6,59.6,23.0,14.5,-12.5,133.5,105.425,99.75,102.1641975308642,98.49894940112141,105.14375,87.3875,101.24567901234569,99.4735170846502,20201219,98.7,97.5,1.2000000000000028,91.4,102.3,-10.899999999999993,97.7,98.4,-0.74,66.3,-11.60691988580838,131.71759361111646,68.2805120910384,-12.01398598396802,133.18632534692813,-20.499171804343042,133.18632534692813,-12.01398598396802,133.18632534692813,-20.499171804343042,131.21821740791472,92.4,105.0,-12.55,72.4,98.7,97.5,1.2000000000000028,91.4,102.3,-10.899999999999993,-16.264363768272975,127.07640820662654,0,97.55673770415515,95.41935413815962,2.1373835659955347,-1.2124456365302634,94.86078724999787,103.65949202509243,-8.798704775094564,-1.8173374826108033,2020-12-19,-11.174485591827022,134.25119552571314,-2.2959150686438505,134.25119552571314,-10.26,22.68,11.20617283950617,32.94,11.47382716049383,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1.6585185185185152,2.7399999999999958,10.077777777777778,3.7800000000000002,6.588000000000001,1,1.0,1,1,1,3,3.0,1.0
-1.0,-3,3.63333333333333,-0.5876543209876546,-1.451919013796306,98.7,105.86666666666667,102.3,102.23333333333336,Tue 12-22 12-22,A,205 (Ⅳ),George Washington,"W, 66-65",64,102.8,53.8,21.8,101.3,54.8,21.8,-6.0,-2.0,137.0,102.0625,105.425,101.00946502057616,98.53550405546295,103.721875,105.14375,101.5971193415638,99.98742306925922,20201222,100.2,99.6,0.6000000000000085,98.8,106.8,-8.0,98.9,100.1,-1.15,65.7,0.1528371052658315,135.41263374202887,67.19530583214795,-1.9682946415915978,141.29448431869676,-4.884771309537614,141.29448431869676,-1.9682946415915978,141.29448431869676,-4.884771309537614,138.84163886271998,98.5,105.2,-6.69,71.9,100.2,99.6,0.6000000000000085,98.8,106.8,-8.0,-3.3875402322673915,138.79026016603015,0,98.5005484265509,100.71968085790735,-2.2191324313564422,-8.0824206599071,102.6101592046057,108.13995899210406,-5.529799787498362,-3.4665565959645517,2020-12-22,1.8629917542888421,144.46289999807993,4.87446734963661,144.46289999807993,-1.85,20.83,15.030781893004114,22.68,5.799218106995884,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0.5623456790123453,4.78333333333333,1.6585185185185152,2.975714285714286,3.7800000000000002,1,1.0,1,1,1,3,3.0,3.0
2.5,6,-2.9333333333333367,1.808230452674895,0.012066261439385162,100.6,103.46666666666668,94.0,106.40000000000002,Fri 1-01 1-01,H,86 (Ⅲ),Western Kentucky,"L, 67-63",67,93.6,48.9,20.8,99.6,55.0,22.3,-5.0,6.5,135.0,101.33125,102.0625,100.87297668038413,98.91086695446968,98.8609375,103.721875,99.0647462277092,98.89880069303028,20210101,100.4,100.1,0.30000000000001137,110.3,99.0,11.299999999999995,99.5,100.6,-1.06,65.1,3.3258784054556827,134.7262041755297,65.19260312944525,3.4377757575086463,140.0942519486503,-2.9199046330336285,140.0942519486503,3.4377757575086463,140.0942519486503,-2.9199046330336285,134.86041509313077,108.8,99.0,9.82,70.4,100.4,100.1,0.30000000000001137,110.3,99.0,11.299999999999995,1.0987815025419059,134.04779311287692,0,98.29888397068312,100.35375035617744,-2.0548663854943214,-7.357231100307546,100.20984138662035,104.3506178490256,-4.140776462405242,-8.787584028446068,2021-01-01,-5.147734333348438,135.8801277983186,-2.610524041876019,135.8801277983186,7.0600000000000005,27.89,16.963854595336077,20.83,10.926145404663924,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,2.868230452674895,-1.8733333333333366,0.5623456790123453,3.48625,2.975714285714286,1,1.0,1,1,1,3,3.0,3.0
10.5,11,4.699999999999998,4.905486968449927,2.0280542139049507,105.1,101.46666666666664,94.0,96.7666666666667,Sat 1-02 1-02,H,86 (Ⅲ),Western Kentucky,"W, 75-71 OT",74,101.4,55.8,18.9,96.0,55.3,28.4,13.0,6.5,133.0,103.215625,101.33125,102.28198445358942,100.0361638718388,96.43046875,98.8609375,97.37649748513948,98.00810965793386,20210102,100.6,100.3,0.2999999999999972,110.5,99.2,11.299999999999995,99.6,100.7,-1.06,65.0,3.320429711895045,134.78342634319813,65.09246088193457,3.4320066972542094,140.43284305058364,0.3639804575736268,140.43284305058364,3.4320066972542094,140.43284305058364,0.3639804575736268,133.04463566730624,108.9,99.1,9.87,70.4,100.6,100.3,0.2999999999999972,110.5,99.2,11.299999999999995,-0.3293797743846938,133.021927991849,0,96.49070578585192,100.32726082917021,-3.836555043318299,-7.4569432182793305,99.4789458952084,103.37556883758886,-3.8966229423804606,-7.426150922823432,2021-01-02,-3.692267183829401,133.24351944606292,-1.6669166305744199,133.24351944606292,12.06,39.95,20.605903063557385,27.89,19.344096936442618,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,5.965486968449927,5.759999999999998,2.868230452674895,4.438888888888889,3.48625,1,1.0,1,1,1,3,3.0,3.0
-26.0,-44,-9.1,-11.72967535436671,-6.5225010977141284,61.1,88.93333333333334,106.1,98.03333333333336,Fri 1-15 1-15,H,106 (Ⅲ),UAB,"L, 61-37",61,60.9,35.5,37.8,100.3,50.8,21.4,-32.0,-2.0,130.0,82.15781249999998,103.215625,88.55465630239294,92.95686134968628,101.265234375,96.43046875,100.28433165675966,99.47936244740043,20210115,100.7,99.3,1.4000000000000057,104.6,95.1,9.5,100.1,100.5,-0.4,63.7,1.1066488260761815,126.79068197183449,63.06571834992888,1.627581725378775,129.12519657366198,-0.9371086455284607,129.12519657366198,1.627581725378775,129.12519657366198,-0.9371086455284607,125.96256983169081,104.3,97.3,6.95,69.6,100.7,99.3,1.4000000000000057,104.6,95.1,9.5,3.8112743201247343,119.47271303416609,0,97.15733850515456,98.83577707765758,-1.6784385725030262,-3.0809315364652443,100.54741781845652,92.87239820017678,7.675019618279748,10.711415772414854,2021-01-15,2.4842848325139784,122.61507743412275,6.8650317181066,122.61507743412275,-43.6,-3.6499999999999986,27.053935375704924,39.95,-30.703935375704923,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,-11.32967535436671,-8.7,5.965486968449927,-0.36499999999999977,4.438888888888889,-1,1.0,-1,-1,1,-3,3.0,3.0
