ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,PPP1,EFG%1,TO%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-0.5,10,,10.599999999999994,10.599999999999994,98.0,0.0,87.4,0.0,Tue 12-01 12-01,A,63 (I),Toledo,"L, 70-61",67,90.9,46.1,20.9,104.3,43.9,13.4,-10.0,8.5,141.0,98.0,0.0,98.0,98.0,87.4,0.0,87.4,87.4,20201201,98.8,102.0,-3.200000000000003,102.3,98.8,3.5,95.7,100.7,-5.01,71.5,11.350914057326108,142.7286435399248,72.11024182076817,9.134961579319125,149.09687894335048,6.993071897007583,149.09687894335048,9.134961579319125,149.09687894335048,6.993071897007583,127.73308459033451,103.7,98.4,5.33,70.9,98.8,102.0,-3.200000000000003,102.3,98.8,3.5,6.991379559193688,127.66700950860002,0,0.0,0.0,0.0,0.0,103.347445786422,95.71630746874693,7.631138317675067,0.8856458268344978,2020-12-01,-0.0,0.0,,0.0,15.01,15.01,0.0,0.0,15.01,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,15.609999999999994,,0.0,15.01,0.0,1,0.0,1,1,1,3,0.0,0.0
-44.5,-49,,-9.300000000000004,-0.25454545454546285,65.6,0.0,114.7,0.0,Sun 12-06 12-06,A,95 (Ⅱ),Ohio,"L, 101-46",77,59.5,25.4,25.9,130.7,65.3,19.4,7.5,10.5,139.5,81.8,98.0,87.2,92.1090909090909,101.05,87.4,96.5,92.36363636363636,20201206,98.4,101.0,-2.5999999999999943,102.0,95.6,6.400000000000006,95.0,99.9,-4.91,70.5,10.724010870374528,140.83944102529182,72.9068278805121,10.785007057073031,147.11523494008884,4.782270810197022,147.11523494008884,10.785007057073031,147.11523494008884,4.782270810197022,135.64829145517876,101.7,97.1,4.59,72.7,98.4,101.0,-2.5999999999999943,102.0,95.6,6.400000000000006,4.758929808404947,135.62412105479675,0,99.66938547739012,96.15171154938021,3.5176739280099127,7.148050606439476,106.42548932742599,96.64231514623198,9.783174181194013,0.59165124798343,2020-12-06,8.624035589141513,148.21852540556483,-2.6596728192416634,148.21852540556483,-44.09,-29.080000000000005,15.01,15.01,-44.09,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,-4.390000000000004,,15.609999999999994,-14.54,15.01,-1,1.0,-1,-1,1,-3,3.0,0.0
17.0,12,-8.833333333333337,-2.200000000000004,1.9735537190082573,98.1,87.23333333333332,86.1,96.06666666666668,Sun 12-13 12-13,A,8 (I-A),Ohio St.,"L, 67-61",65,93.5,48.2,21.5,102.7,46.2,15.3,-7.0,23.0,135.0,89.94999999999997,81.8,90.83333333333334,93.198347107438,93.575,101.05,93.03333333333336,91.22479338842976,20201213,101.2,104.3,-3.0999999999999943,115.2,93.2,22.0,94.2,101.3,-7.11,71.2,23.458972375667415,138.34017240270776,69.88335704125178,22.777711317089853,153.95013395338825,32.832577130534894,153.95013395338825,22.777711317089853,153.95013395338825,32.832577130534894,140.66048942042784,111.7,90.2,21.54,69.0,101.2,104.3,-3.0999999999999943,115.2,93.2,22.0,32.94931095484795,140.4520391044061,0,88.33255933121548,104.03320321037936,-15.700643879163877,2.15106193782132,108.86389381341394,102.29381171889929,6.570082094514646,6.1916046550623065,2020-12-13,20.457441930336408,146.12300755871152,4.8620227873949915,146.12300755871152,19.11,-9.970000000000006,0.3133333333333326,-29.080000000000005,-10.283333333333339,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,4.909999999999997,-1.7233333333333372,-4.390000000000004,-3.3233333333333333,-14.54,1,-1.0,-1,-1,-1,-1,-3.0,3.0
4.0,1,-12.033333333333335,-1.133333333333336,1.796543951915847,86.3,83.33333333333333,85.3,95.36666666666667,Sat 12-19 12-19,A,271 (Ⅳ),Fort Wayne,"W, 63-61",70,90.2,52.8,22.9,87.3,53.4,38.6,-9.5,2.0,133.5,88.125,89.94999999999997,89.32222222222224,91.9441021788129,89.4375,93.575,90.45555555555558,90.14755822689709,20201219,96.7,101.9,-5.200000000000003,92.5,101.3,-8.799999999999997,94.9,100.8,-5.9,70.4,4.72783484912847,136.45491750796714,71.60170697012803,1.231589943423316,140.72110673949896,2.0364086227200366,140.72110673949896,1.231589943423316,140.72110673949896,2.0364086227200366,104.52621034187908,95.6,100.2,-4.65,71.5,96.7,101.9,-5.200000000000003,92.5,101.3,-8.799999999999997,2.315162122433669,104.49184049623608,0,88.94746857114805,101.16008931245564,-12.212620741307589,-2.7094217898222235,86.9170257472337,94.23595980709835,-7.3189340598646595,-10.958889025433784,2020-12-19,6.528601954332821,125.88780250979133,-4.0389259754836075,125.88780250979133,6.9,-3.0700000000000056,-3.114444444444447,-9.970000000000006,0.04444444444444118,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,4.766666666666664,-6.133333333333335,4.909999999999997,-0.7675000000000001,-3.3233333333333333,1,1.0,1,-1,-1,1,-1.0,-3.0
10.0,17,10.066666666666665,4.977777777777772,4.597172324294783,128.6,104.33333333333331,111.4,94.26666666666668,Sun 12-20 12-20,A,271 (Ⅳ),Fort Wayne,"W, 89-80",68,131.1,66.7,19.1,117.8,60.4,17.7,37.0,1.0,132.0,108.3625,88.125,102.41481481481483,98.6088108735742,100.41875,89.4375,97.43703703703707,94.0116385492794,20201220,96.7,101.9,-5.200000000000003,92.5,101.3,-8.799999999999997,95.1,101.0,-5.9,70.5,4.677971973546818,137.1340303891657,71.70341394025606,1.23329182353919,140.91556306379786,0.3524473945128643,140.91556306379786,1.23329182353919,140.91556306379786,0.3524473945128643,109.50243425147552,95.7,100.4,-4.65,71.5,96.7,101.9,-5.200000000000003,92.5,101.3,-8.799999999999997,0.6098101706161085,109.51717601501446,0,91.93870542497079,99.29468653677313,-7.355981111802336,0.2142168903429288,85.76275905277977,97.92094623175998,-12.158187178980214,-18.519121661466254,2020-12-20,0.02555141700085528,128.40022559751677,-11.608501079257849,128.40022559751677,22.9,19.82999999999999,-3.0996296296296335,-3.0700000000000056,22.929629629629623,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,10.877777777777773,15.966666666666665,4.766666666666664,3.966,-0.7675000000000001,1,1.0,1,1,-1,3,1.0,-1.0
20.0,10,9.433333333333332,6.685185185185183,5.597686447150277,120.9,111.93333333333332,110.8,102.5,Sat 12-26 12-26,H,231 (Ⅳ),Youngstown St.,"W, 87-69",65,133.7,62.5,12.3,106.0,38.9,13.8,15.0,2.0,141.0,114.63125,108.3625,108.57654320987656,102.66175435110615,105.609375,100.41875,101.89135802469141,97.06406790395587,20201226,99.1,102.7,-3.6000000000000085,103.4,108.1,-4.699999999999988,97.3,102.0,-4.63,69.8,-2.011079290685501,138.17799247950438,67.31778093883356,-4.764933588191781,147.17916729823105,-6.405416030522423,147.17916729823105,-4.764933588191781,147.17916729823105,-6.405416030522423,135.04581667596185,102.5,104.6,-2.08,67.8,99.1,102.7,-3.6000000000000085,103.4,108.1,-4.699999999999988,-6.505034321641084,135.15718908257392,0,97.80244926700377,102.41330462674141,-4.610855359737641,0.3894449402833012,104.73703741137743,99.36029580355864,5.376741607818786,2.7239691316220087,2020-12-26,3.0109950840362956,140.84205690565386,-0.3426903229028966,140.84205690565386,14.629999999999999,34.459999999999994,4.543580246913574,19.82999999999999,29.91641975308642,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,11.315185185185182,14.063333333333333,10.877777777777773,5.743333333333334,3.966,1,1.0,1,1,1,3,3.0,1.0
5.5,-7,6.466666666666669,1.82345679012346,3.143561638577501,108.2,119.2333333333333,116.1,112.76666666666668,Sun 12-27 12-27,H,231 (Ⅳ),Youngstown St.,"W, 81-74",67,120.8,60.2,14.9,110.4,52.5,22.4,15.5,-1.5,139.5,111.415625,114.63125,108.45102880658438,103.66870810545048,110.8546875,105.609375,106.62757201646092,100.52514646687298,20201227,99.1,102.7,-3.6000000000000085,103.4,108.1,-4.699999999999988,97.3,102.0,-4.63,69.8,-2.011079290685501,138.17799247950438,67.31778093883356,-4.764933588191781,147.17916729823105,-8.539637243975088,147.17916729823105,-4.764933588191781,147.17916729823105,-8.539637243975088,147.21264330157064,102.5,104.6,-2.08,67.8,99.1,102.7,-3.6000000000000085,103.4,108.1,-4.699999999999988,-10.015139827996448,145.49092032500567,0,98.32302466403047,100.9535388829128,-2.6305142188823254,5.460951716458711,103.73405938590423,104.38280345155371,-0.6487440656494812,0.23539769340764394,2020-12-27,-2.562116738297334,143.00681064159969,-5.456310060606668,143.00681064159969,-2.37,32.089999999999996,14.515720164609048,34.459999999999994,17.574279835390946,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,6.45345679012346,11.096666666666668,11.315185185185182,4.584285714285715,5.743333333333334,1,1.0,1,1,1,3,3.0,3.0
-0.5,-3,-0.5666666666666581,-0.08436213991769015,1.8629140679270475,87.2,105.43333333333332,91.1,106.0,Fri 1-01 1-01,A,268 (Ⅳ),IUPUI,"W, 65-62",72,90.6,49.1,27.9,86.4,45.0,25.1,-21.5,-3.5,148.5,99.3078125,111.415625,101.36735253772294,100.67439754082312,100.97734375,110.8546875,101.45171467764062,98.81148347289609,20210101,100.6,103.5,-2.9000000000000057,100.1,107.7,-7.600000000000008,99.6,102.6,-2.99,69.5,0.29981321530894434,149.8544998759885,72.46586059743954,0.8824478861930061,156.97732882116514,-8.024417355167435,156.97732882116514,0.8824478861930061,156.97732882116514,-8.024417355167435,136.4826610934994,98.7,107.1,-8.41,73.3,100.6,103.5,-2.9000000000000057,100.1,107.7,-7.600000000000008,-3.0392987721067706,131.06433478332974,0,99.21947252664087,101.06997780572372,-1.850505279082853,4.82086518662894,91.5066018853608,102.13612540997312,-10.629523524612324,-10.464132871066331,2021-01-01,-2.539892203914377,143.45957445875425,-9.104613482989308,143.45957445875425,-0.009999999999999787,32.08,20.3738134430727,32.089999999999996,11.7061865569273,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,2.90563786008231,2.423333333333342,6.45345679012346,4.010000000000001,4.584285714285715,1,1.0,1,1,1,3,3.0,3.0
7.0,3,-2.8333333333333286,1.0437585733882055,2.1242024192130384,79.0,91.46666666666664,75.7,94.3,Sat 1-02 1-02,A,268 (Ⅳ),IUPUI,"W, 59-49",70,84.0,48.1,29.9,69.8,41.3,29.9,-38.5,-3.0,146.5,89.15390625,99.3078125,93.91156835848196,96.73359798794618,88.33867187499997,100.97734375,92.86780978509377,94.60939556873316,20210102,100.9,103.8,-2.8999999999999915,100.4,108.0,-7.599999999999994,99.8,102.8,-2.99,69.5,0.3022611158293955,150.29717902467112,72.46586059743954,0.8976724398390132,157.89414638397164,-4.204760176001933,157.89414638397164,0.8976724398390132,157.89414638397164,-4.204760176001933,135.6494594763553,98.8,107.2,-8.41,73.3,100.9,103.8,-2.8999999999999915,100.4,108.0,-7.599999999999994,-1.2634580217493825,129.28322394815947,0,97.64842902293915,99.41019796860547,-1.7617689456663186,4.317143584137844,86.79554835684792,98.15158338224123,-11.356035025393311,-13.219690189286695,2021-01-02,-3.30626017133919,134.77589203528095,-10.769491716901335,134.77589203528095,5.99,38.07,24.275875628715134,32.08,13.794124371284866,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,4.033758573388206,0.15666666666667162,2.90563786008231,4.23,4.010000000000001,1,1.0,1,1,1,3,3.0,3.0
11.5,22,7.133333333333336,8.029172382258803,5.73798379753794,92.0,86.06666666666666,70.0,78.93333333333331,Fri 1-08 1-08,H,207 (Ⅳ),Northern Kentucky,"W, 58-44",60,96.0,44.5,14.9,72.8,31.1,19.9,-36.5,-2.5,138.5,90.576953125,89.15390625,93.27437890565464,95.87294380831959,79.1693359375,88.33867187499997,85.24520652339584,90.13496001078168,20210108,98.3,100.7,-2.4000000000000057,98.9,104.7,-5.799999999999998,98.3,100.6,-2.38,69.1,-5.040468855990923,136.48120156287635,67.3307254623044,-6.207893473383962,139.79645411121177,-12.289951724615126,139.79645411121177,-6.207893473383962,139.79645411121177,-12.289951724615126,141.4106110342367,100.3,104.5,-4.22,68.5,98.3,100.7,-2.4000000000000057,98.9,104.7,-5.799999999999998,-7.031627828827794,133.28507042211297,0,96.05116645905944,98.33775498938446,-2.2865885303250195,3.807322326675582,95.35877928947616,103.08662148775352,-7.727842198277358,-5.133914659591136,2021-01-08,-7.341023863569141,133.12475717178282,-7.892955181718278,133.12475717178282,24.38,62.45,28.873917085810092,38.07,33.57608291418991,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,10.409172382258802,9.513333333333335,4.033758573388206,6.245000000000001,4.23,1,1.0,1,1,1,3,3.0,3.0
