ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
23.5,17,,17.799999999999994,17.799999999999994,108.7,0.0,90.9,0.0,Mon 12-14 12-14,H,320 (Ⅳ),Northern Arizona,"W, 91-52",69,131.1,63.7,10.1,23.3,25.8,74.9,40.6,21.6,11.8,20.8,-3.0,-15.5,146.0,108.7,0.0,108.7,108.7,90.9,0.0,90.9,90.9,20201214,107.7,101.6,6.1000000000000085,94.5,108.6,-14.099999999999996,106.1,101.4,4.65,71.4,-17.509913956170408,146.75310993582488,70.38435277382645,-19.387182929708487,153.8455942998943,-43.671339118474066,153.8455942998943,-19.387182929708487,153.8455942998943,-43.671339118474066,143.96055641099792,93.6,107.5,-13.92,69.3,107.7,101.6,6.1000000000000085,94.5,108.6,-14.099999999999996,-43.632329491202185,144.03316108325666,0,0.0,0.0,0.0,0.0,89.247204940393,111.07333475663692,-21.82612981624392,-16.330101317399308,2020-12-14,0.0,0.0,,0.0,12.35,12.35,0.0,0.0,12.35,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,13.149999999999993,,0.0,12.35,0.0,1,0.0,1,1,1,3,0.0,0.0
-14.0,-28,,2.333333333333334,9.363636363636363,57.2,0.0,85.8,0.0,Sat 12-19 12-19,A,76 (I),Saint Mary's,"L, 53-33",64,51.7,27.1,25.1,18.4,25.0,83.0,42.5,21.9,30.3,3.3,-55.0,6.0,141.0,82.95,108.7,91.53333333333336,99.33636363636364,88.35,90.9,89.2,89.97272727272725,20201219,108.2,101.4,6.799999999999998,108.2,96.1,12.100000000000007,106.7,100.7,6.02,71.2,8.327862484680239,137.75590128709922,66.13598862019914,7.945255586152442,145.0160639289582,3.0590058068999677,145.0160639289582,7.945255586152442,145.0160639289582,3.0590058068999677,141.93363700281708,107.2,94.8,12.44,65.3,108.2,101.4,6.799999999999998,108.2,96.1,12.100000000000007,0.6969752304377387,134.2196947847989,0,102.72252493280895,96.15883096094878,6.563693971860175,15.05059532896354,108.38071162166241,97.52866088455316,10.852050737109252,14.433121453538456,2020-12-19,6.615465976698559,138.6818455979464,1.7164260954469626,138.6818455979464,-34.019999999999996,-21.669999999999995,12.35,12.35,-34.019999999999996,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,-3.6866666666666656,,13.149999999999993,-10.835,12.35,-1,1.0,-1,-1,1,-3,3.0,0.0
0.0,14,1.2333333333333345,6.388888888888888,10.297520661157025,91.2,85.7,76.7,84.46666666666665,Tue 12-22 12-22,A,133 (Ⅲ),Santa Clara,"W, 70-57",77,90.6,50.0,18.1,8.1,21.7,73.8,40.2,20.7,20.0,13.6,0.0,0.0,0.0,87.075,82.95,91.42222222222223,97.85702479338842,82.525,88.35,85.03333333333335,87.55950413223141,20201222,104.5,100.0,4.5,98.4,94.1,4.300000000000011,104.2,99.5,4.73,70.9,4.34912934531269,138.32447950565432,71.00085348506403,4.048880722060062,142.9326885936216,9.850257491281194,142.9326885936216,4.048880722060062,142.9326885936216,9.850257491281194,108.48978934057162,98.7,93.6,5.08,70.4,104.5,100.0,4.5,98.4,94.1,4.300000000000011,9.42480092510269,108.89975724181677,0,85.13426061606097,87.01099714695789,-1.8767365308969204,8.221797974088608,88.19427426097134,91.65641192000166,-3.4621376590303186,-1.0481436516219018,2020-12-22,2.2089171403748935,112.41686659630798,-4.52240679310961,112.41686659630798,9.27,-12.399999999999995,1.0100000000000033,-21.669999999999995,-13.409999999999998,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1.658888888888888,-3.496666666666666,-3.6866666666666656,-4.133333333333334,-10.835,1,-1.0,-1,-1,-1,-1,-3.0,3.0
12.0,24,3.3000000000000016,12.25925925925926,12.788880540946653,106.6,85.00000000000001,82.6,81.7,Mon 12-28 12-28,H,182 (Ⅳ),Fresno St.,"W, 75-53",68,110.3,60.0,22.1,23.3,42.0,77.9,44.9,32.4,33.3,38.8,-14.0,-10.0,142.0,96.8375,87.075,96.4814814814815,99.44665664913595,82.5625,82.525,84.22222222222223,86.65777610818931,20201228,110.0,103.7,6.299999999999998,101.1,102.0,-0.9000000000000057,104.0,98.1,5.92,72.0,-7.562334630863376,140.92869460848937,69.84921763869133,-9.606978209544451,155.34394262050165,-13.315208476808946,155.34394262050165,-9.606978209544451,155.34394262050165,-13.315208476808946,111.27022265276122,100.6,99.9,0.67,68.2,110.0,103.7,6.299999999999998,101.1,102.0,-0.9000000000000057,-13.4824048097697,111.49417596767668,0,88.47189505641394,85.84949109627581,2.6224039601381293,9.19008699381293,0.0,0.0,0.0,0.0,2020-12-28,0.0,0.0,,0.0,18.08,5.680000000000003,-3.4599999999999955,-12.399999999999995,9.139999999999999,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,6.33925925925926,-2.6199999999999983,1.658888888888888,1.42,-4.133333333333334,1,1.0,1,1,-1,3,-1.0,-3.0
12.5,30,23.03333333333333,18.37283950617284,16.027265897138168,109.8,102.53333333333336,79.2,79.5,Wed 12-30 12-30,H,182 (Ⅳ),Fresno St.,"W, 81-59",74,108.8,62.5,24.2,9.1,72.7,79.3,38.8,18.8,29.2,20.9,1.0,-9.5,139.0,103.31875,96.8375,100.92098765432101,101.32908271292943,80.88125,82.5625,82.54814814814816,85.30181681579127,20201230,103.5,97.2,6.299999999999998,99.3,101.7,-2.4000000000000057,104.4,97.2,7.15,71.8,-9.421482219322172,139.3134393845931,69.34879089615931,-10.21702461945165,143.45250588686653,-17.63994515426389,143.45250588686653,-10.21702461945165,143.45250588686653,-17.63994515426389,114.36974092911707,99.6,100.4,-0.83,67.9,103.5,97.2,6.299999999999998,99.3,101.7,-2.4000000000000057,-17.49068311642266,114.18242081831391,0,91.27235091678044,84.62092715437943,6.651423762401009,13.653478459176652,96.61043460864592,106.59677424755579,-9.986339638909868,-7.150064218427696,2020-12-30,-14.5942504310892,127.4454544066447,-16.431912003578553,127.4454544066447,22.85,28.530000000000005,-0.41333333333332956,5.680000000000003,28.943333333333335,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,11.222839506172841,15.883333333333331,6.33925925925926,5.706,1.42,1,1.0,1,1,1,3,3.0,-1.0
12.0,17,23.966666666666665,18.01522633744856,16.258672097658504,111.1,109.16666666666669,93.8,85.2,Sat 1-02 1-02,A,16 (I-A),San Diego St.,"W, 70-67",68,103.0,51.8,19.1,23.5,22.8,98.6,52.6,14.7,13.9,21.1,2.5,9.0,134.5,107.209375,103.31875,104.31399176954734,103.10561312876044,87.34062499999997,80.88125,86.29876543209879,86.84694103110195,20210102,103.8,96.1,7.700000000000002,109.6,92.9,16.699999999999992,104.5,96.4,8.12,72.3,11.289016730170516,137.31826387966174,68.80327169274537,10.248020384579107,142.34234460789395,8.648178129792823,142.34234460789395,10.248020384579107,142.34234460789395,8.648178129792823,121.74223859169923,109.5,90.6,18.99,66.9,103.8,96.1,7.700000000000002,109.6,92.9,16.699999999999992,10.172104309514417,122.2776659384279,0,92.34729746241274,83.94163848976213,8.405658972650613,15.86342706517603,109.03580289628519,88.02868537269667,21.00711752358852,22.237039966391094,2021-01-02,10.62066894308586,121.97817510324438,6.678746958334813,121.97817510324438,8.88,37.410000000000004,9.23444444444445,28.530000000000005,28.175555555555555,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,9.89522633744856,15.846666666666666,11.222839506172841,6.235000000000001,5.706,1,1.0,1,1,1,3,3.0,3.0
-4.0,-9,12.666666666666664,8.710150891632374,11.502549898084231,100.3,107.06666666666668,110.2,94.40000000000002,Mon 1-04 1-04,A,16 (I-A),San Diego St.,"L, 78-65",68,95.5,50.0,25.0,25.0,53.2,114.6,69.2,25.0,24.0,21.2,8.0,9.0,135.0,103.7546875,107.209375,102.97599451303157,102.59550165080398,98.7703125,87.34062499999997,94.26584362139921,91.09295175271978,20210104,103.6,95.4,8.199999999999989,109.5,92.9,16.599999999999994,105.1,95.8,9.33,72.1,9.83592825120418,136.64357006001632,68.30526315789473,9.681851848815128,140.59433823191637,7.1175595555648234,140.59433823191637,9.681851848815128,140.59433823191637,7.1175595555648234,121.34096627186726,109.4,91.3,18.05,66.6,103.6,95.4,8.199999999999989,109.5,92.9,16.599999999999994,8.42151216671254,124.45242789934548,0,96.01110418841793,85.44789500073018,10.563209187687747,15.393737002181515,109.82556710569948,89.93109404923162,19.89447305646786,18.924185353806237,2021-01-04,8.776977627457796,126.22262961017663,4.65220266611,126.22262961017663,-18.33,19.080000000000005,18.6262962962963,37.410000000000004,0.45370370370370594,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,-0.6198491083676263,3.3366666666666642,9.89522633744856,2.725714285714287,6.235000000000001,-1,1.0,1,1,1,1,3.0,3.0
-7.0,-2,1.7333333333333296,5.073433927754915,9.011177189341641,98.8,103.40000000000002,101.0,101.66666666666669,Thu 1-07 1-07,H,170 (Ⅳ),UNLV,"W, 74-71",72,103.4,52.7,14.0,10.8,40.0,99.2,47.0,14.0,29.3,20.9,-1.0,-10.0,146.0,101.27734375,103.7546875,101.58399634202105,101.90541044156687,99.88515625,98.7703125,96.51056241426613,92.89423325222526,20210107,103.2,96.1,7.1000000000000085,105.3,102.6,2.700000000000003,105.5,96.1,9.36,72.1,-9.15986724806811,147.71647538780803,71.17695590327169,-7.637315947227236,150.90355556943047,-15.801357120026688,150.90355556943047,-7.637315947227236,150.90355556943047,-15.801357120026688,143.574487455127,104.7,102.1,2.52,69.4,103.2,96.1,7.1000000000000085,105.3,102.6,2.700000000000003,-11.751787316113758,139.06987738701943,0,97.41802946768922,86.92935494362905,10.488674524060173,14.4793382171531,100.20165742774229,102.47005230685222,-2.268394879109934,-8.837599437202345,2021-01-07,-13.074395825875321,136.39438139697924,-18.6454598484557,136.39438139697924,-11.36,7.720000000000006,18.777530864197537,19.080000000000005,-11.057530864197531,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,-4.286566072245084,-7.62666666666667,-0.6198491083676263,0.9650000000000007,2.725714285714287,-1,-1.0,-1,1,1,-1,1.0,3.0
-4.0,1,-3.4000000000000057,4.015622618503274,7.718235882188614,117.1,105.40000000000002,115.2,108.8,Sat 1-09 1-09,H,170 (Ⅳ),UNLV,"W, 83-80",69,120.0,68.5,18.8,18.5,24.1,115.7,55.7,20.2,38.7,24.6,17.0,-7.0,146.0,109.188671875,101.27734375,106.75599756134736,104.6680630885547,107.542578125,99.88515625,102.74037494284408,96.94982720636612,20210109,102.6,95.9,6.699999999999988,105.6,102.6,3.0,105.1,96.0,9.14,72.2,-8.71490677016402,147.2517816688658,71.17297297297299,-7.121475828796264,150.48906742292732,-7.586410996862141,150.48906742292732,-7.121475828796264,150.48906742292732,-7.586410996862141,143.841573541447,104.8,101.9,2.88,69.3,102.6,95.9,6.699999999999988,105.6,102.6,3.0,-8.94736330318703,139.22214843963602,0,97.70763248,89.93642459,7.7712078899999995,12.20123538,104.2325666,104.41723459999999,-0.18466799999998784,-7.3690321889999995,2021-01-09,-10.021168541622657,142.73234967661045,-15.969733608261905,142.73234967661045,-8.14,-0.4199999999999946,15.091687242798361,7.720000000000006,-15.511687242798356,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,-5.124377381496727,-12.540000000000006,-4.286566072245084,-0.04666666666666597,0.9650000000000007,-1,-1.0,-1,-1,1,-3,-1.0,1.0
14.5,26,8.699999999999998,11.477081745668853,11.11492026724523,110.2,108.7,83.8,100.0,Thu 1-14 1-14,N,304 (Ⅳ),San Jose St.,"W, 90-57",74,121.5,64.1,18.9,24.1,12.5,77.0,40.6,20.3,20.5,10.9,-12.0,-18.5,159.0,109.6943359375,109.188671875,107.90399837423159,105.67386979972656,95.6712890625,107.542578125,96.42691662856274,94.55894953248136,20210114,102.9,96.4,6.5,97.4,110.5,-13.099999999999996,105.6,96.7,8.97,72.1,-16.687567782708072,162.1851157187038,77.94594594594595,-15.759215328761599,165.1405620008068,-20.289144613924964,165.1405620008068,-15.759215328761599,165.1405620008068,-20.289144613924964,163.73133926729597,97.0,109.2,-12.15,76.0,102.9,96.4,6.5,97.4,110.5,-13.099999999999996,-21.744491658894713,156.32672184396935,0,96.07303730445328,89.50148009102591,6.5715572134273685,11.18839870440101,91.29331842801868,103.95615281208073,-12.662834384062052,-6.913930276574508,2021-01-14,-14.44990139780306,144.44578202748914,-14.110031562468478,144.44578202748914,17.03,16.610000000000007,9.921124828532243,-0.4199999999999946,6.688875171467764,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,2.5070817456688523,-0.2700000000000031,-5.124377381496727,1.6610000000000014,-0.04666666666666597,1,-1.0,1,1,-1,3,-3.0,-1.0
