ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,PPP1,EFG%1,TO%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
29.5,3,,3.200000000000003,3.200000000000003,96.8,0.0,93.6,0.0,Sat 11-28 11-28,A,43 (I),Duke,"L, 81-71",76,93.0,40.0,10.5,106.1,60.2,28.8,0.0,39.5,152.0,96.8,0.0,96.8,96.8,93.6,0.0,93.6,93.6,20201128,90.6,103.2,-12.600000000000007,112.1,90.4,21.699999999999992,88.9,104.6,-15.74,75.3,37.28500990733509,157.42677866770362,80.01294452347084,32.09026209401479,162.04640010511093,3.5246820555976943,162.04640010511093,32.09026209401479,162.04640010511093,3.5246820555976943,159.21762277599504,113.7,87.3,26.32,74.7,90.6,103.2,-12.600000000000007,112.1,90.4,21.699999999999992,3.5246820555976943,159.21762277599504,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-11-28,-0.0,0.0,,0.0,18.740000000000002,18.740000000000002,0.0,0.0,18.740000000000002,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,18.940000000000005,,0.0,18.740000000000002,0.0,1,0.0,1,1,1,3,0.0,0.0
-5.5,-19,,-4.266666666666665,-0.8727272727272712,78.8,0.0,98.0,0.0,Sat 12-05 12-05,A,207 (Ⅳ),George Washington,"L, 85-69",86,80.2,39.1,15.1,98.8,53.2,23.2,9.5,10.5,144.5,87.8,96.8,90.8,93.52727272727272,95.8,93.6,95.06666666666666,94.4,20201205,89.7,100.9,-11.200000000000005,96.1,102.9,-6.800000000000012,88.8,102.9,-14.07,74.5,10.652649784791222,145.3980244016572,77.0433854907539,7.8366740020838535,148.98999962944066,-8.245698824905029,148.98999962944066,7.8366740020838535,148.98999962944066,-8.245698824905029,147.3433405822638,96.2,101.8,-5.55,72.7,89.7,100.9,-11.200000000000005,96.1,102.9,-6.800000000000012,-8.189757436241278,147.44392449988985,0,106.13315568078518,99.01008316391872,7.123072516866458,-3.4043064936186105,98.2745393035638,101.54838714808577,-3.273847844521967,-4.3401991595948655,2020-12-05,-3.7238226753422055,161.0952265010846,1.3526385884867125,161.0952265010846,-4.93,13.810000000000002,18.740000000000002,18.740000000000002,-4.93,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,9.803333333333335,,18.940000000000005,6.905000000000001,18.740000000000002,1,1.0,-1,1,1,1,3.0,0.0
0.0,-13,-9.966666666666663,-7.477777777777773,-3.2413223140495844,75.4,83.66666666666667,89.3,93.63333333333333,Sun 12-06 12-06,A,141 (Ⅲ),Drexel,"L, 69-54",73,74.1,39.3,17.8,94.7,52.7,20.6,-21.5,15.0,144.5,81.6,87.8,85.66666666666669,90.23140495867769,92.55,95.8,93.14444444444445,93.47272727272728,20201206,89.9,101.1,-11.199999999999989,101.3,101.5,-0.20000000000000284,88.8,102.9,-14.08,74.6,15.187000665456189,142.9494907096534,74.06941678520626,12.557544543156112,146.8506090547778,15.632420750652434,146.8506090547778,12.557544543156112,146.8506090547778,15.632420750652434,139.50062276343934,101.4,100.4,0.98,69.8,89.9,101.1,-11.199999999999989,101.3,101.5,-0.20000000000000284,15.764753956522345,139.40227952329252,0,101.44381683577309,97.20476750854307,4.2390493272300205,-1.3235250906758724,97.95076588544008,95.67606000257611,2.2747058828639695,1.28583588275926,2020-12-06,2.6783799105284487,145.52064033116824,4.006291298359031,145.52064033116824,1.08,14.890000000000002,17.09666666666667,13.810000000000002,-2.2066666666666688,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,6.602222222222227,4.113333333333337,9.803333333333335,4.963333333333335,6.905000000000001,1,1.0,-1,1,1,1,1.0,3.0
-11.5,-16,-16.433333333333334,-10.385185185185183,-5.597445529676933,74.5,76.23333333333333,90.7,92.66666666666669,Tue 12-08 12-08,A,73 (Ⅱ),Georgetown,"L, 80-48",77,62.4,33.3,15.6,104.0,64.2,33.8,-22.0,20.5,150.0,78.05,81.6,81.94444444444446,87.37114951164537,91.625,92.55,92.32962962962965,92.9685950413223,20201208,87.8,99.9,-12.100000000000007,101.0,95.9,5.099999999999994,87.5,102.1,-14.63,76.2,21.126922159818605,151.32892009274147,80.53570412517782,17.972950756617564,152.42664752682757,16.64519089525879,152.42664752682757,17.972950756617564,152.42664752682757,16.64519089525879,139.9055944698059,102.5,95.5,6.92,74.3,87.8,99.9,-12.100000000000007,101.0,95.9,5.099999999999994,16.51813523174352,139.73815517542573,0,98.49688115330808,93.406163694935,5.090717458373078,0.55121392549793,96.73263788437296,96.36767382765663,0.3649640567163317,-3.992904046226376,2020-12-08,0.5106975825645463,152.08077742431425,-1.4434427405174546,152.08077742431425,-1.3699999999999992,13.520000000000003,16.361111111111114,14.890000000000002,-2.841111111111111,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,4.244814814814818,-1.8033333333333328,6.602222222222227,3.380000000000001,4.963333333333335,1,1.0,-1,1,1,1,1.0,1.0
27.5,9,-6.966666666666664,-3.8567901234567885,-2.9070008879174902,105.7,85.19999999999997,96.5,92.16666666666669,Thu 12-10 12-10,H,119 (Ⅲ),UNC Greensboro,"W, 85-80",84,101.6,62.3,20.3,95.7,40.9,19.1,21.0,21.5,145.0,91.875,78.05,89.862962962963,90.70366778225531,94.0625,91.625,93.71975308641977,93.6106686701728,20201210,86.5,99.9,-13.400000000000004,101.4,92.8,8.600000000000009,86.8,102.2,-15.34,75.9,12.842576859014741,145.4256122766792,78.16728307254624,12.72046938796636,144.39479201058504,1.2627057992775925,144.39479201058504,12.72046938796636,144.39479201058504,1.2627057992775925,134.10818285306712,102.4,95.5,6.88,72.4,86.5,99.9,-13.400000000000004,101.4,92.8,8.600000000000009,1.2926011080765705,133.90568508705272,0,94.63350890715763,94.63424408006313,-0.0007351729054931866,0.127266925860977,93.18709808603303,101.79164510893305,-8.604547022900022,-6.268220607547164,2020-12-10,-10.617291999032133,147.39616915191812,-7.120659737071804,147.39616915191812,24.34,37.86,15.414074074074078,13.520000000000003,22.44592592592592,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,11.483209876543212,8.373333333333335,4.244814814814818,7.572,3.380000000000001,1,1.0,1,1,1,3,1.0,1.0
-8.5,-14,-7.13333333333333,-7.371193415637856,-4.996637090114309,70.2,83.46666666666665,84.6,90.6,Sun 12-13 12-13,H,170 (Ⅲ),UMBC,"L, 66-49",76,64.6,36.4,23.7,87.0,41.5,25.1,-32.0,8.5,147.0,81.0375,91.875,83.30864197530866,86.97572818548159,89.33125,94.0625,90.67983539094652,91.97236527559592,20201213,91.6,104.2,-12.600000000000007,100.4,101.2,-0.7999999999999972,88.0,101.8,-13.75,77.0,4.553770821912565,147.8010946778198,78.53342816500711,5.12456067606638,157.87835852055002,6.783056994558146,157.87835852055002,5.12456067606638,157.87835852055002,6.783056994558146,142.9187900844153,98.5,101.3,-2.88,71.7,91.6,104.2,-12.600000000000007,100.4,101.2,-0.7999999999999972,6.536424758497,142.79697514352753,0,94.83535200795684,96.36618029340248,-1.5308282854456365,3.635967480082476,105.4700141321308,96.33236109273716,9.13765303939364,11.068799814483082,2020-12-13,3.909242896190918,154.45152523468005,3.476647843300185,154.45152523468005,-0.25,37.61,22.89604938271605,37.86,14.713950617283949,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,6.378806584362144,6.61666666666667,11.483209876543212,6.268333333333333,7.572,1,1.0,1,1,1,3,3.0,1.0
-13.0,-20,-8.466666666666663,-11.647462277091904,-7.760884891911707,91.8,89.2333333333333,112.0,97.7,Sat 12-19 12-19,A,44 (I),Virginia Tech,"L, 97-57",75,75.9,40.9,24.0,129.1,69.0,24.0,16.5,27.0,137.5,86.41874999999997,81.0375,86.13909465020578,87.85286851539402,100.665625,89.33125,97.78655692729768,95.61375340730574,20201219,87.1,98.1,-11.0,105.2,93.3,11.900000000000004,86.8,101.3,-14.46,77.0,26.047730757595076,138.68805386121576,73.38549075391182,20.332504725061334,138.85623976363203,18.56514234569277,138.85623976363203,20.332504725061334,138.85623976363203,18.56514234569277,125.8242938410743,108.3,91.4,16.85,67.0,87.1,98.1,-11.0,105.2,93.3,11.900000000000004,16.72763934291295,129.16400120119317,0,90.41748434310176,95.01146873468296,-4.593984391581202,-1.9489721254328896,105.45252952489264,97.40203245799215,8.05049706690049,1.0400336686820544,2020-12-19,13.049715185937572,141.49730780666445,4.238951906523724,141.49730780666445,-5.539999999999999,32.07,27.800699588477368,37.61,4.269300411522632,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,2.812537722908097,5.993333333333338,6.378806584362144,4.581428571428571,6.268333333333333,1,1.0,1,1,1,3,3.0,3.0
-7.0,-17,-17.3,-13.531641518061276,-9.495269457018672,94.6,85.53333333333332,111.9,102.83333333333331,Wed 12-23 12-23,A,173 (Ⅲ),Iona,"L, 85-65",72,90.7,55.2,19.5,118.6,50.0,16.7,5.0,13.0,145.0,90.509375,86.41874999999997,88.95939643347052,89.07961969441328,106.2828125,100.665625,102.4910379515318,98.57488915143196,20201223,87.5,99.1,-11.599999999999996,98.2,103.6,-5.399999999999992,87.4,102.2,-14.84,77.2,11.211465006016013,144.27067638112874,76.1018492176387,9.271629969009297,146.24838986334817,9.055009071716803,146.24838986334817,9.271629969009297,146.24838986334817,9.055009071716803,128.21658117586247,97.7,103.4,-5.66,69.3,87.5,99.1,-11.599999999999996,98.2,103.6,-5.399999999999992,10.735403445541609,132.54172695368928,0,89.98244954800683,97.418517448572,-7.4360679005651775,-2.672633554233804,99.76355252669657,95.34334837955707,4.420204147139501,-1.8440894054140773,2020-12-23,12.839462021663024,142.47596049604564,2.713266861181623,142.47596049604564,-2.16,29.91,29.22379972565158,32.07,0.686200274348419,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1.3083584819387237,-2.460000000000001,2.812537722908097,3.7387499999999996,4.581428571428571,1,1.0,1,1,1,3,3.0,3.0
6.0,-11,-16.433333333333334,-12.954427678707516,-9.914311373924367,90.9,92.43333333333334,102.7,108.86666666666667,Sat 12-26 12-26,A,290 (Ⅳ),Towson,"L, 78-73",76,96.2,50.0,11.9,102.8,49.3,21.1,8.0,11.0,143.0,90.7046875,90.509375,89.60626428898036,89.41059793179268,104.49140625,106.2828125,102.56069196768787,99.32490930571707,20201226,87.7,100.1,-12.399999999999993,99.5,105.2,-5.700000000000002,87.6,103.3,-15.63,76.6,12.452049018435943,144.45015715954833,74.52972972972974,9.680527770081937,146.28448377901753,6.597423076691534,146.28448377901753,9.680527770081937,146.28448377901753,6.597423076691534,143.70176929451728,99.6,104.5,-4.84,68.4,87.7,100.1,-12.399999999999993,99.5,105.2,-5.700000000000002,5.623481313876195,141.26210806323468,0,92.29482151645114,99.22609879778648,-6.9312772813353405,-1.4231677461757202,95.24663466169895,105.95271517376844,-10.70608051206949,-6.577227084324207,2020-12-26,1.6024507518380773,146.39205071473543,-1.837951479422287,146.39205071473543,4.630000000000001,34.54,29.452533150434387,29.91,5.087466849565612,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2.675572321292485,-0.8033333333333328,1.3083584819387237,3.8377777777777773,3.7387499999999996,1,1.0,1,1,1,3,3.0,3.0
-1.5,-23,-17.433333333333334,-16.369618452471677,-12.329891124119936,88.0,91.16666666666669,111.2,108.6,Mon 1-04 1-04,H,343 (Ⅳ),Delaware St.,"W, 86-78",83,104.1,50.0,18.2,94.4,50.0,23.0,6.0,-9.5,158.0,89.35234375,90.7046875,89.07084285932024,89.15412558055765,107.845703125,104.49140625,105.44046131179192,101.4840167046776,20210104,88.5,100.6,-12.099999999999996,93.4,112.1,-18.69999999999999,88.3,103.6,-15.31,76.9,-10.209643684580854,156.32194493079356,82.36941678520627,-8.947236309395578,162.31979670797367,-16.490957931969337,162.31979670797367,-8.947236309395578,162.31979670797367,-16.490957931969337,159.11044672046486,88.5,111.9,-23.39,75.3,88.5,100.6,-12.099999999999996,93.4,112.1,-18.69999999999999,-14.873878857725087,151.97929189800783,0,92.98764134593056,99.50492430085458,-6.517282954924028,-1.7528237541858431,91.7446436133052,107.54824299695036,-15.803599383645164,-9.187242461352096,2021-01-04,-11.81521150507021,160.82956481979141,-8.303873238121724,160.82956481979141,-7.6899999999999995,26.85,31.148355433622925,34.54,-4.298355433622923,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,-1.0596184524716765,-2.123333333333333,2.675572321292485,2.6850000000000005,3.8377777777777773,-1,1.0,-1,1,1,-1,3.0,3.0
