ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,PPP1,EFG%1,TO%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-29.5,2,,2.4000000000000057,2.4000000000000057,106.5,0.0,104.1,0.0,Sat 11-28 11-28,H,269 (Ⅳ),Coppin St.,"W, 81-71",76,106.1,60.2,28.8,93.0,40.0,10.5,0.0,-39.5,152.0,106.5,0.0,106.5,106.5,104.1,0.0,104.1,104.1,20201128,112.1,90.4,21.699999999999992,90.6,103.2,-12.600000000000007,113.7,87.3,26.32,74.7,-37.28500990733509,157.42677866770362,80.01294452347084,-32.09026209401479,162.04640010511093,-2.752707105426424,162.04640010511093,-32.09026209401479,162.04640010511093,-2.752707105426424,159.228793757529,88.9,104.6,-15.74,75.3,112.1,90.4,21.699999999999992,90.6,103.2,-12.600000000000007,-2.752707105426424,159.228793757529,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-11-28,0.0,0.0,,0.0,-24.32,-24.32,0.0,0.0,-24.32,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,-23.919999999999995,,0.0,-24.32,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
-10.0,2,,2.300000000000007,2.3454545454545515,95.9,0.0,93.8,0.0,Tue 12-01 12-01,H,65 (Ⅱ),Michigan St.,"L, 75-69",78,89.0,36.3,15.5,96.7,46.8,19.3,-5.5,-4.0,149.5,101.2,106.5,102.96666666666668,104.57272727272726,98.95,104.1,100.66666666666669,102.22727272727272,20201201,110.0,90.0,20.0,110.7,89.2,21.5,112.4,87.8,24.6,74.4,-6.844694584564095,153.90587901777366,77.57496443812235,-3.1883067739884865,156.5738212357105,8.949136949626807,156.5738212357105,-3.1883067739884865,156.5738212357105,8.949136949626807,159.31482220971108,111.6,90.1,21.53,73.3,110.0,90.0,20.0,110.7,89.2,21.5,8.93055362020884,159.3390926469509,0,98.4955608254334,103.37170946480377,-4.876148639370371,-14.606966736475005,102.97382395581398,97.12115801665924,5.852665939154747,4.679552366326247,2020-12-01,4.061033951620473,159.81775879295594,12.89722796542408,159.81775879295594,-22.6,-46.92,-24.32,-24.32,-22.6,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,-22.299999999999994,,-23.919999999999995,-23.46,-24.32,-1,-1.0,-1,-1,-1,-3,-3.0,0.0
-8.5,25,9.900000000000006,9.933333333333339,6.500826446280997,101.0,101.13333333333333,75.8,91.23333333333332,Fri 12-04 12-04,H,167 (Ⅳ),Bellarmine,"W, 76-54",69,109.7,63.4,26.0,78.0,46.2,28.9,-17.5,-30.5,147.5,101.1,101.2,102.31111111111113,103.92314049586777,87.375,98.95,92.37777777777781,97.42231404958677,20201204,108.5,89.3,19.200000000000006,90.1,103.5,-13.400000000000004,110.9,87.3,23.64,74.5,-29.65438953278099,151.26172596552905,76.51351351351353,-29.094241534574707,151.31315720177065,-13.952328685001385,151.31315720177065,-29.094241534574707,151.31315720177065,-13.952328685001385,135.8104127890622,94.1,104.2,-10.09,72.2,108.5,89.3,19.200000000000006,90.1,103.5,-13.400000000000004,-13.994701432114432,135.91875148351173,0,97.45430084164582,97.13046969241115,0.32383114923466394,-9.021879238464564,0.0,0.0,0.0,0.0,2020-12-04,0.0,0.0,,0.0,1.3599999999999994,-45.56,-31.853333333333335,-46.92,-13.706666666666667,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,-13.706666666666662,-13.739999999999995,-22.299999999999994,-15.18666666666667,-23.46,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-18.0,0,9.23333333333334,6.755555555555563,5.391585274229908,99.4,98.76666666666664,99.0,89.53333333333335,Tue 12-08 12-08,H,6 (I-A),Illinois,"L, 83-68",75,90.7,44.0,16.0,110.7,65.0,24.0,5.5,-3.0,145.5,100.25,101.1,101.34074074074076,103.10075131480087,93.1875,87.375,94.58518518518521,97.70916604057098,20201208,108.4,89.6,18.80000000000001,112.2,91.6,20.600000000000012,110.6,87.2,23.41,73.6,-7.353785245134375,146.6000398143255,75.17041251778093,-3.346411922819911,153.44252720059916,10.551094441512143,153.44252720059916,-3.346411922819911,153.44252720059916,10.551094441512143,145.00849807467753,109.8,90.5,19.32,71.8,108.4,89.6,18.80000000000001,112.2,91.6,20.600000000000012,10.365677758815368,144.6232943228595,0,101.70449541966455,95.30172749342958,6.402767926234972,-2.2544700212219584,111.19242960136299,92.27183486917583,18.920594732187155,26.559672754680967,2020-12-08,5.015168383920496,153.1987106008463,19.2991539413984,153.1987106008463,-23.41,-68.97,-36.42222222222223,-45.56,-32.54777777777777,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,-16.654444444444437,-14.17666666666666,-13.706666666666662,-17.2425,-15.18666666666667,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
8.0,32,19.3,15.270370370370376,10.284024315279016,123.5,107.96666666666664,91.2,88.66666666666669,Wed 12-16 12-16,A,71 (Ⅱ),Notre Dame,"W, 75-65",62,120.4,58.3,12.8,104.3,56.1,19.3,-9.0,-2.0,149.0,111.875,100.25,108.72716049382716,106.80970562120072,92.19375,93.1875,93.4567901234568,96.52568130592171,20201216,107.9,91.3,16.60000000000001,111.7,96.1,15.600000000000007,110.3,88.7,21.6,72.7,-4.366927058680318,146.1895193333095,72.28634423897583,2.9926951397143142,152.0219680565495,9.084091006650556,152.0219680565495,2.9926951397143142,152.0219680565495,9.084091006650556,146.41295467309678,108.1,97.6,10.5,69.9,107.9,91.3,16.60000000000001,111.7,96.1,15.600000000000007,8.839270508694993,146.4738872465583,0,99.38886537691427,95.51282423562384,3.876041141290429,-9.907234945003015,104.95763114088913,104.47160695799576,0.4860241828933738,1.6635699581777526,2020-12-16,1.5732607826168987,150.80553518112816,10.304702885520882,150.80553518112816,10.399999999999999,-58.57,-47.27148148148149,-68.97,-11.298518518518513,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,-6.3296296296296255,-2.3000000000000007,-16.654444444444437,-11.713999999999999,-17.2425,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-10.5,0,10.9,10.18024691358025,8.414201712501013,111.6,111.5,111.6,100.6,Wed 1-06 1-06,H,127 (Ⅲ),Boston College,"W, 83-82",74,112.9,50.7,19.0,111.5,64.0,28.6,15.5,-11.5,149.5,111.7375,111.875,109.68477366255146,107.68066823552786,101.896875,92.19375,99.50452674897122,99.2664665230268,20210106,109.8,92.8,17.0,105.5,100.8,4.700000000000003,112.0,90.3,21.69,70.1,-15.324005076082244,148.75517298772934,72.39345661450923,-13.781081368182498,154.6946903388382,-14.167657387540926,154.6946903388382,-13.781081368182498,154.6946903388382,-14.167657387540926,147.41406085354657,105.5,98.9,6.57,72.6,109.8,92.8,17.0,105.5,100.8,4.700000000000003,-12.072921442910351,146.45629511699522,0,99.60020578399292,95.7797569845658,3.820448799427126,-9.357732378049203,103.45411428301762,100.24113520472227,3.212979078295348,-6.388626640579151,2021-01-06,-4.68006827818796,147.29795591785603,0.28201215887125386,147.29795591785603,-21.69,-80.26,-51.03765432098766,-58.57,-29.222345679012342,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,-11.509753086419751,-10.790000000000001,-6.3296296296296255,-13.376666666666667,-11.713999999999999,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-2.5,11,14.666666666666664,10.686831275720168,9.011619582955374,120.2,118.43333333333332,108.5,103.76666666666668,Sat 1-09 1-09,H,143 (Ⅳ),Wake Forest,"W, 79-68",65,121.8,58.2,21.6,104.8,52.1,23.1,3.5,-13.5,143.5,115.96875,111.7375,113.18984910836764,109.9569103745228,105.1984375,101.896875,102.50301783264747,100.9452907915674,20210109,110.1,94.5,15.599999999999996,104.7,99.9,4.799999999999997,112.4,91.8,20.61,70.0,-15.883024132453421,143.64420946200138,69.50213371266003,-12.024200559175412,148.89640306930028,-5.747108290096852,148.89640306930028,-12.024200559175412,148.89640306930028,-5.747108290096852,135.48037661980206,103.5,99.8,3.72,69.8,110.1,94.5,15.599999999999996,104.7,99.9,4.799999999999997,-4.654819618045798,136.5759423956272,0,103.4474643,97.92013715,5.527327149999991,-4.91981503,100.11016509999999,98.02094069,2.0892244099999857,7.205677567,2021-01-09,-6.372452920972378,141.98096672702474,6.459174208813792,141.98096672702474,-9.61,-89.87,-60.77843621399178,-80.26,-29.091563786008223,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,-9.923168724279831,-5.943333333333335,-11.509753086419751,-12.838571428571429,-13.376666666666667,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-9.0,1,4.466666666666669,7.691220850480112,7.682234204236216,102.4,111.39999999999998,100.7,106.93333333333334,Tue 1-12 1-12,A,44 (I),Virginia Tech,"L, 74-67",70,96.3,46.7,17.2,106.4,55.4,14.4,-1.0,-2.0,142.0,109.184375,115.96875,109.59323273891178,108.58292667006408,102.94921875,105.1984375,101.90201188843166,100.90069246582786,20210112,110.5,95.5,15.0,109.5,95.8,13.700000000000005,112.7,92.8,19.95,69.0,2.435857351199644,137.33449290768786,65.95732574679944,3.1140885623490817,142.29569059751424,5.650461750107234,142.29569059751424,3.1140885623490817,142.29569059751424,5.650461750107234,144.93882528630652,111.6,93.8,17.83,67.2,110.5,95.5,15.0,109.5,95.8,13.700000000000005,6.109741006886788,138.7491639594379,0,103.65677738188481,98.27760434879038,5.379173033094432,-5.102422749168453,108.0486374737235,95.11505973432732,12.933577739396185,10.085069158010826,2021-01-12,9.013479753263624,138.64213978832842,11.910078515415087,138.64213978832842,-18.95,-108.82000000000001,-70.47562414266119,-89.87,-38.34437585733882,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,-12.258779149519889,-15.48333333333333,-9.923168724279831,-13.6025,-12.838571428571429,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-10.5,0,4.700000000000003,5.3608139003200765,6.412737076193267,100.9,107.8333333333333,100.2,103.13333333333333,Tue 1-19 1-19,A,84 (Ⅱ),Pittsburgh,"L, 79-73",75,97.6,44.3,14.7,105.6,52.9,17.4,8.0,-4.5,144.0,105.0421875,109.184375,106.69548849260786,107.18603091187063,101.574609375,102.94921875,101.33467459228777,100.77329383567735,20210119,109.9,96.0,13.900000000000004,104.5,94.2,10.299999999999997,112.6,93.3,19.36,69.0,-0.4296070197346751,139.4656351813406,68.9018492176387,1.7646123228259825,143.77624529111512,8.363645876881748,143.77624529111512,1.7646123228259825,143.77624529111512,8.363645876881748,135.51301651367976,105.7,93.2,12.57,70.2,109.9,96.0,13.900000000000004,104.5,94.2,10.299999999999997,3.7070452582264277,137.28847147141042,0,103.07246479090996,97.32467340645306,5.747791384456903,-2.399367554425618,101.48021903483342,91.88558266329576,9.59463637153766,8.12916026745606,2021-01-19,6.6842628321010835,136.60107671601116,9.23887320666256,136.60107671601116,-19.36,-128.18,-83.25708276177413,-108.82000000000001,-44.92291723822588,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,-13.999186099679923,-14.659999999999997,-12.258779149519889,-14.242222222222225,-13.6025,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-3.0,10,4.26666666666667,7.040542600213389,7.137693971430855,108.7,103.99999999999996,98.3,99.73333333333332,Sat 1-23 1-23,A,54 (I),Louisville,"L, 70-65",66,98.0,53.7,22.6,105.5,52.0,19.6,-7.0,2.0,142.0,106.87109375,105.0421875,107.36365899507193,107.46129801880323,99.9373046875,101.574609375,100.32311639485852,100.32360404737236,20210123,109.7,96.9,12.799999999999995,109.7,96.6,13.100000000000007,112.3,93.9,18.42,69.1,2.9907210170963623,136.36886619237356,65.1682788051209,4.1923101290509095,141.9023922822177,5.190631251733516,141.9023922822177,4.1923101290509095,141.9023922822177,5.190631251733516,146.34352993071508,111.3,94.2,17.08,66.3,109.7,96.9,12.799999999999995,109.7,96.6,13.100000000000007,5.302816627398266,138.35790727034922,0,105.57650785426986,95.24591727323849,10.330590581031373,-1.4238524819861598,106.26018716681227,97.68725089040714,8.57293627640513,13.332995823022175,2021-01-23,2.536311692222611,136.5617277368308,11.550149625101,136.5617277368308,-8.420000000000002,-136.60000000000002,-98.23138850784943,-128.18,-38.36861149215059,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,-11.379457399786613,-14.153333333333332,-13.999186099679923,-13.66,-14.242222222222225,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
