ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,PPP1,EFG%1,TO%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-16.5,-23,,-23.89999999999999,-23.89999999999999,73.9,0.0,97.8,0.0,Wed 11-25 11-25,N,108 (Ⅱ),Abilene Christian,"L, 70-47",71,66.2,32.4,32.4,98.7,54.1,21.1,-25.0,6.5,142.0,73.9,0.0,73.9,73.9,97.8,0.0,97.8,97.8,20201125,94.8,100.0,-5.200000000000003,102.1,96.3,5.799999999999998,97.1,97.8,-0.73,71.5,0.49337697005725545,137.37024494879796,73.02560455192034,8.06812660453069,144.37195747011742,32.80760662689398,144.37195747011742,8.06812660453069,144.37195747011742,32.80760662689398,106.05090740890142,97.0,97.0,0.05,71.8,94.8,100.0,-5.200000000000003,102.1,96.3,5.799999999999998,32.80760662689398,106.05090740890142,0,94.70235131,101.6105965,-6.908245190000002,-3.8731316039999997,102.3190877,88.99597518,13.323112519999995,23.0365973,2020-11-25,14.695876774256973,140.53177855418306,19.650992215428843,140.53177855418306,-22.27,-22.27,0.0,0.0,-22.27,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,-23.16999999999999,,0.0,-22.27,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
8.0,-3,,-17.166666666666664,-20.22727272727272,90.5,0.0,94.2,0.0,Thu 11-26 11-26,N,188 (Ⅳ),Austin Peay,"L, 67-66",70,95.0,50.0,24.5,96.4,41.1,23.0,-10.5,9.0,143.5,82.2,73.9,79.43333333333334,76.91818181818181,96.0,97.8,96.6,97.14545454545454,20201126,94.8,100.0,-5.200000000000003,105.2,102.3,2.9000000000000057,97.1,97.8,-0.73,71.5,1.870145262308668,145.0714218381775,73.2290184921764,6.1527606009780555,151.3416223915982,15.708025222394438,151.3416223915982,6.1527606009780555,151.3416223915982,15.708025222394438,112.84803057259934,103.1,101.2,1.95,72.0,94.8,100.0,-5.200000000000003,105.2,102.3,2.9000000000000057,15.708025222394438,112.84803057259934,0,94.70235131,101.6105965,-6.908245190000002,-3.8731316039999997,99.76565393,101.282031,-1.5163770700000043,-2.892077908,2020-11-26,4.084083294877459,147.68013314582788,0.7184159924620133,147.68013314582788,-2.27,-24.54,-22.27,-22.27,-2.2699999999999996,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,-16.436666666666664,,-23.16999999999999,-12.27,-22.27,-1,-1.0,-1,-1,-1,-3,-3.0,0.0
12.5,3,-8.099999999999994,-10.34444444444444,-15.949586776859494,68.9,77.76666666666667,65.6,85.86666666666667,Fri 11-27 11-27,N,278 (Ⅳ),Middle Tennessee,"W, 57-43",77,73.7,37.9,23.3,55.6,34.0,34.9,-31.5,-1.5,131.5,75.55000000000003,82.2,75.92222222222223,75.46033057851237,80.8,96.0,86.26666666666668,91.40991735537187,20201127,94.8,100.0,-5.200000000000003,100.9,106.1,-5.199999999999988,95.8,98.6,-2.84,71.6,0.15044254347043307,140.57891312031592,74.55362731152205,0.24162000580314213,153.47501672519337,-1.3068673726196807,153.47501672519337,0.24162000580314213,153.47501672519337,-1.3068673726196807,104.4182666999179,96.2,98.8,-2.59,73.2,94.8,100.0,-5.200000000000003,100.9,106.1,-5.199999999999988,-1.2836931379427101,104.39238556768952,0,94.70235131079173,101.61059649879458,-6.9082451880028515,-3.8731316044564994,94.1962168503543,96.88331227778228,-2.687095427427977,-2.473610649366107,2020-11-27,3.018393792647771,142.79659510857178,1.0433936370047547,142.79659510857178,5.84,-18.7,-23.026666666666667,-24.54,4.326666666666668,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,-7.50444444444444,-5.2599999999999945,-16.436666666666664,-6.233333333333333,-12.27,-1,-1.0,1,-1,-1,-1,-3.0,-3.0
-0.5,1,0.5000000000000048,-6.26296296296296,-12.70420736288504,93.7,84.36666666666666,91.8,83.86666666666667,Sat 12-12 12-12,H,86 (Ⅲ),UAB,"L, 65-61",70,86.6,42.7,24.1,92.2,41.0,17.0,-8.0,3.5,134.0,84.625,75.55000000000003,81.84814814814817,78.77663410969194,86.3,80.8,88.1111111111111,91.480841472577,20201212,90.6,94.7,-4.1000000000000085,102.5,94.1,8.400000000000006,95.0,96.4,-1.4,71.2,2.1709682551102105,139.33221843023247,73.73200568990043,5.05648399670784,137.1669193900881,14.09622336821001,137.1669193900881,5.05648399670784,137.1669193900881,14.09622336821001,112.76832267991658,102.9,95.7,7.17,72.8,90.6,94.7,-4.1000000000000085,102.5,94.1,8.400000000000006,14.089445011755359,112.59393326066117,0,88.10937276646993,93.40983064735701,-5.30045788088708,1.3965472059728712,100.75111388645016,90.42073952262966,10.330374363820496,16.960438002619604,2020-12-12,7.218482815910619,130.6737054568151,9.221583061137338,130.6737054568151,2.4,-16.3,-21.584444444444443,-18.7,5.284444444444443,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,-4.8629629629629605,1.9000000000000048,-7.50444444444444,-4.075,-6.233333333333333,-1,-1.0,1,-1,-1,-1,-1.0,-3.0
0.5,2,2.433333333333337,-3.4753086419753085,-10.01253329690594,91.3,84.63333333333333,89.2,82.2,Tue 12-15 12-15,H,181 (Ⅳ),Gardner Webb,"W, 65-60",67,96.8,45.0,17.9,89.4,49.0,25.3,-9.0,-4.5,134.0,87.9625,84.625,84.99876543209879,81.05360972611156,87.75,86.3,88.47407407407408,91.06614302301756,20201215,90.6,94.4,-3.8000000000000114,94.4,103.7,-9.299999999999997,94.7,96.1,-1.42,70.6,-7.158969268601922,136.7130546714689,72.50810810810812,-7.3880837064961895,135.84730600127426,-0.8483916300378036,135.84730600127426,-7.3880837064961895,135.84730600127426,-0.8483916300378036,115.96692140319408,96.1,102.4,-6.26,72.2,90.6,94.4,-3.8000000000000114,94.4,103.7,-9.299999999999997,-0.5656550073486938,115.9864112178766,0,89.10279921869808,92.52575469434515,-3.422955475647072,0.6599932136080767,93.33315424270916,95.73359898111988,-2.4004447384107266,-4.41045401265612,2020-12-15,-2.780407429840487,127.26622595726587,-5.668640949021068,127.26622595726587,3.42,-12.88,-19.822962962962965,-16.3,6.942962962962964,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,-2.0553086419753086,3.853333333333337,-4.8629629629629605,-2.576,-4.075,-1,-1.0,1,-1,-1,-1,-1.0,-1.0
-2.0,10,4.900000000000001,1.2497942386831276,-6.246618152013951,114.8,99.93333333333332,104.1,95.03333333333336,Tue 12-22 12-22,A,9 (I-A),Alabama,"L, 85-69",73,94.9,57.0,27.5,116.9,58.3,16.5,11.5,14.0,142.5,101.38125,87.9625,94.93251028806587,87.18931704863674,95.925,87.75,93.68271604938272,93.43593520065072,20201222,91.1,95.0,-3.9000000000000057,107.1,93.6,13.5,94.9,96.4,-1.55,69.7,15.540377374183677,142.03767305898532,73.76500711237554,16.370547332129185,141.3620985205663,13.62587898090327,141.3620985205663,16.370547332129185,141.3620985205663,13.62587898090327,132.18752049733806,108.3,93.4,14.93,74.4,91.1,95.0,-3.9000000000000057,107.1,93.6,13.5,12.745589056329324,126.53316516819224,0,89.19479474857425,92.2921354014482,-3.097340652873953,0.8476518589957018,107.32042816299295,91.32188698905763,15.998541173935322,14.276158529649196,2020-12-22,17.07650442027777,136.4755401250498,12.127144217163746,136.4755401250498,11.55,-1.33,-17.50864197530864,-12.88,16.178641975308643,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,2.799794238683128,6.450000000000001,-2.0553086419753086,-0.22166666666666668,-2.576,1,-1.0,1,-1,-1,1,-1.0,-1.0
5.0,-6,2.199999999999998,-1.2334705075445822,-6.2381421243750514,106.0,104.03333333333332,112.2,101.83333333333331,Wed 12-30 12-30,H,243 (Ⅳ),Western Carolina,"W, 86-78",74,115.5,58.1,16.1,104.7,59.3,25.5,20.0,-3.0,144.0,103.690625,101.38125,98.62167352537723,90.60944122161186,104.0625,95.925,99.85514403292184,96.84758334598692,20201230,92.3,95.7,-3.4000000000000057,103.8,104.5,-0.7000000000000028,95.7,97.3,-1.65,69.2,-4.795720996030482,142.12417495589187,71.66088193456615,-1.9045242464185037,143.4721568037353,-8.230755113287207,143.4721568037353,-1.9045242464185037,143.4721568037353,-8.230755113287207,137.1950154139582,101.8,104.7,-2.9,72.8,92.3,95.7,-3.4000000000000057,103.8,104.5,-0.7000000000000028,-3.877771088495575,131.97882187075723,0,91.4468225293042,94.29007547404001,-2.8432529447358093,1.2231487261456502,100.62328602051308,102.40894223940576,-1.785656218892683,-2.5286667874524302,2020-12-30,-2.9687757953671365,138.18199641619918,-4.68199113917845,138.18199641619918,-4.35,-5.68,-12.11576131687243,-1.33,6.43576131687243,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0.4165294924554177,3.849999999999998,2.799794238683128,-0.8114285714285712,-0.22166666666666668,1,1.0,1,-1,-1,1,1.0,-1.0
17.5,24,9.6,7.277686328303609,-0.6857526472159501,112.7,111.16666666666664,88.4,101.56666666666666,Sat 1-02 1-02,A,114 (Ⅱ),UNC Greensboro,"W, 71-61",67,106.0,50.9,26.9,91.0,38.8,13.4,-2.0,7.5,134.0,108.1953125,103.690625,103.31444901691819,94.62590645404606,96.23125,104.0625,96.03676268861456,95.31165910126205,20210102,93.6,96.6,-3.0,99.1,94.6,4.5,96.5,97.8,-1.3,69.5,8.62357895730797,135.98045235189846,70.98293029871978,8.96574737140783,133.99339078183345,2.9687790354022634,133.99339078183345,8.96574737140783,133.99339078183345,2.9687790354022634,126.25112648510162,101.8,96.1,5.69,71.8,93.6,96.6,-3.0,99.1,94.6,4.5,4.3403471910573685,126.41242993532585,0,93.68881031875827,95.08654140442827,-1.397731085670003,2.3110178138132023,93.207051814369,94.1215775490953,-0.9145257347263112,1.2757159694050364,2021-01-02,3.919080248813472,128.43244868978195,1.2882780241453418,128.43244868978195,25.3,19.62,-9.97050754458162,-5.68,29.59050754458162,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,8.57768632830361,10.9,0.4165294924554177,2.4525,-0.8114285714285712,1,1.0,1,1,-1,3,1.0,1.0
-1.5,0,5.966666666666669,4.785124218869077,-0.5974339840857752,104.4,107.7,104.6,101.7333333333333,Sat 1-16 1-16,A,94 (I),Furman,"L, 78-66",67,98.0,49.1,22.3,115.8,58.9,23.8,4.0,10.5,140.0,106.29765625,108.1953125,103.67629934461212,96.40301437149223,100.415625,96.23125,98.89117512574305,97.00044835557804,20210116,95.9,96.7,-0.7999999999999972,108.4,99.5,8.900000000000006,98.2,98.1,0.15,68.2,10.417185731426287,138.88403689554536,67.61792318634424,10.398323677650211,138.921223295541,5.2653080760010615,138.921223295541,10.398323677650211,138.921223295541,5.2653080760010615,145.01181876203188,110.0,100.0,10.02,69.7,95.9,96.7,-0.7999999999999972,108.4,99.5,8.900000000000006,11.45862164044994,134.63345834350093,0,95.90260878156879,96.06467936901957,-0.16207058745078484,1.311461239492369,105.29265380952849,100.27043336609471,5.022220443433781,10.841642120491807,2021-01-16,7.2823635586519515,136.80394557223923,8.452459702177464,136.80394557223923,-0.15,19.470000000000002,-0.10700502972108072,19.62,19.577005029721082,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,4.635124218869077,5.816666666666668,8.57768632830361,2.163333333333333,2.4525,1,1.0,1,1,1,3,3.0,1.0
3.0,12,12.200000000000005,7.3567494792460515,1.783917649384366,133.6,116.89999999999998,121.1,104.7,Mon 1-18 1-18,H,167 (Ⅲ),VMI,"W, 92-81",65,141.4,70.7,16.9,124.5,57.5,9.2,28.0,-8.0,145.0,119.948828125,106.29765625,113.65086622974142,103.16610266758455,110.7578125,100.415625,106.29411675049536,101.3821850182002,20210118,97.2,97.4,-0.20000000000000284,102.8,107.0,-4.200000000000003,98.2,98.3,-0.04,68.0,-8.150414698720951,141.86256071621028,69.06401137980086,-6.783419415511091,144.447156193926,-11.5428818495545,144.447156193926,-6.783419415511091,144.447156193926,-11.5428818495545,155.15952392838392,101.8,108.1,-6.28,71.4,97.2,97.4,-0.20000000000000284,102.8,107.0,-4.200000000000003,-5.764544119226752,137.4623977920071,0,96.4178271345988,97.1554441321146,-0.7376169975158007,-0.28381061152727594,101.92106122195324,101.89398298126856,0.02707824068467346,3.892881695185725,2021-01-18,-3.355490790290858,139.49950788327413,0.9159029616781851,139.49950788327413,12.04,31.51,6.418663313519279,19.470000000000002,25.091336686480723,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,7.3967494792460515,12.240000000000004,4.635124218869077,3.151,2.163333333333333,1,1.0,1,1,1,3,3.0,3.0
