ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,PPP1,EFG%1,TO%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-14.0,-30,,-30.0,-30.0,81.5,0.0,111.5,0.0,Wed 11-25 11-25,A,54 (I),Louisville,"L, 79-44",64,69.0,36.2,15.7,123.8,64.2,18.8,-1.0,21.0,124.0,81.5,0.0,81.5,81.5,111.5,0.0,111.5,111.5,20201125,94.9,105.4,-10.5,112.5,94.6,17.900000000000006,89.9,101.7,-11.82,68.1,23.80895091172097,130.8430406436661,69.45618776671408,24.628605810901078,148.74094334860973,46.49024049687883,148.74094334860973,24.628605810901078,148.74094334860973,46.49024049687883,125.12431132104804,107.0,88.6,18.47,71.7,94.9,105.4,-10.5,112.5,94.6,17.900000000000006,46.49024049687883,125.12431132104804,0,96.69765344,106.0245568,-9.326903360000003,-2.672875656,106.0245568,96.69765344,9.326903360000003,15.98093108,2020-11-25,17.545566029931948,146.81310384057315,15.030402041151603,146.81310384057315,-18.18,-18.18,0.0,0.0,-18.18,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,-18.18,,0.0,-18.18,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
-0.5,-6,,-22.03333333333333,-25.65454545454545,97.7,0.0,103.8,0.0,Fri 11-27 11-27,N,213 (Ⅲ),Prairie View A&M,"L, 64-61",65,93.2,42.0,22.9,97.8,44.7,22.9,-5.0,2.5,130.0,89.6,81.5,86.9,84.44545454545455,107.65,111.5,108.93333333333334,110.1,20201127,94.9,105.4,-10.5,92.9,105.9,-13.0,90.2,102.7,-12.54,67.6,0.30774311203584404,127.77505171949642,70.10014224751068,-1.852722560738286,142.34627058845177,11.873080809324623,142.34627058845177,-1.852722560738286,142.34627058845177,11.873080809324623,132.16213485064011,89.4,101.3,-11.84,72.9,94.9,105.4,-10.5,92.9,105.9,-13.0,11.873080809324623,132.16213485064011,0,96.69765344311408,106.02455681269743,-9.326903369583349,-2.6728756563600755,102.97101616739124,101.09745686581672,1.8735593015745167,0.8609203481311978,2020-11-27,8.189783457422848,148.45701377298786,2.4771960258852346,148.45701377298786,6.539999999999999,-11.64,-18.18,-18.18,6.539999999999999,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,-9.493333333333332,,-18.18,-5.82,-18.18,-1,-1.0,1,-1,-1,-1,-3.0,0.0
-9.5,-29,-21.8,-24.45555555555556,-26.317355371900824,92.8,90.66666666666669,122.1,112.46666666666664,Wed 12-02 12-02,A,337 (Ⅳ),Tennessee Martin,"L, 93-87 2OT",84,103.5,54.9,22.6,110.7,54.5,17.8,45.5,-3.5,134.5,91.2,89.6,88.86666666666667,85.96446280991734,114.875,107.65,113.32222222222221,112.28181818181817,20201202,92.0,102.7,-10.700000000000003,90.7,111.6,-20.899999999999988,90.6,103.5,-12.84,67.4,2.3464153398359144,137.15851090560847,69.41337126600286,-2.8721543601805877,138.98437209573794,19.305966576401737,138.98437209573794,-2.8721543601805877,138.98437209573794,19.305966576401737,137.74999661412483,94.9,110.8,-15.81,72.4,92.0,102.7,-10.700000000000003,90.7,111.6,-20.899999999999988,19.307157328499997,137.7083718672034,0,93.62306353862188,97.88682404033041,-4.263760501708532,0.6131888316909273,0.0,0.0,0.0,0.0,2020-12-02,-0.0,0.0,,0.0,-16.16,-27.8,-16.0,-11.64,-11.8,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,-11.61555555555556,-8.96,-9.493333333333332,-9.266666666666667,-5.82,-1,-1.0,-1,-1,-1,-3,-1.0,-3.0
6.0,-5,-13.599999999999996,-18.103703703703705,-22.51419984973704,103.9,98.13333333333333,109.3,111.73333333333332,Wed 12-09 12-09,H,310 (Ⅳ),Eastern Illinois,"W, 68-65",63,108.5,58.5,12.8,103.8,56.7,16.0,-1.0,3.0,134.0,97.55,91.2,93.87777777777781,89.22546957175055,112.0875,114.875,111.9814814814815,111.7396694214876,20201209,92.0,104.0,-12.0,98.3,99.6,-1.2999999999999972,90.7,103.9,-13.23,67.0,5.142691088223032,128.84840295957667,66.52347083926031,3.527687552609649,132.0049760649833,7.370370236741563,132.0049760649833,3.527687552609649,132.0049760649833,7.370370236741563,131.68361662779165,100.2,100.2,-0.06,69.8,92.0,104.0,-12.0,98.3,99.6,-1.2999999999999972,7.3517033676148245,131.55372520003633,0,97.58484528109152,99.39233052597204,-1.8074852448805245,3.873940698997479,96.18905386308413,102.25450610981018,-6.065452246726053,-8.962258018513523,2020-12-09,-6.58103710472853,133.32744016847835,-10.35435314017662,133.32744016847835,8.23,-19.57,-19.933333333333334,-27.8,0.3633333333333333,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,-4.873703703703704,-0.36999999999999567,-11.61555555555556,-4.892499999999998,-9.266666666666667,-1,-1.0,1,-1,-1,-1,-3.0,-1.0
-1.5,-10,-15.033333333333333,-15.535802469135804,-20.311618058875755,91.5,96.06666666666666,101.9,111.1,Tue 12-15 12-15,H,277 (Ⅳ),Southeast Missouri St.,"W, 66-63 OT",68,96.7,46.3,13.2,92.3,49.1,23.4,-7.0,-4.5,136.0,94.525,97.55,93.08518518518521,89.639020558705,106.99375,112.0875,108.620987654321,109.95063861758075,20201215,93.6,104.0,-10.400000000000006,97.5,109.1,-11.599999999999996,91.9,104.3,-12.4,66.0,-4.66124546119201,131.27711360063228,66.75106685633001,-4.389282535913125,139.26543251435095,5.6907451315423865,139.26543251435095,-4.389282535913125,139.26543251435095,5.6907451315423865,144.69619838015475,94.0,108.3,-14.37,71.1,93.6,104.0,-10.400000000000006,97.5,109.1,-11.599999999999996,5.739455302060413,144.65615720328177,0,97.68981977618746,101.16323373519606,-3.473413959008596,2.9626674313858943,103.13148843275707,101.79219310428944,1.339295328467628,-1.4294011760491054,2020-12-15,-0.5569260480556437,139.3319128250717,-4.81511112666665,139.3319128250717,2.4000000000000004,-17.17,-19.812222222222225,-19.57,2.642222222222223,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,-3.135802469135804,-2.633333333333333,-4.873703703703704,-3.4339999999999993,-4.892499999999998,-1,-1.0,1,-1,-1,-1,-1.0,-3.0
0.0,-7,-7.833333333333332,-12.923868312757206,-18.01859659362562,98.2,97.86666666666666,105.9,105.7,Mon 12-21 12-21,H,96 (Ⅲ),Belmont,"L, 72-63",64,97.9,51.0,17.1,111.9,59.6,20.2,-1.5,9.0,136.5,96.3625,94.525,94.79012345679014,91.19556227530407,106.446875,106.99375,107.71399176954736,109.21415886892972,20201221,93.4,104.0,-10.599999999999994,101.7,99.4,2.299999999999997,92.1,104.6,-12.56,65.2,9.121748098317347,134.5438789284351,68.26059743954481,5.152388698841889,138.6227828217291,8.30534095306245,138.6227828217291,5.152388698841889,138.6227828217291,8.30534095306245,138.30814735837745,104.0,97.5,6.49,73.6,93.4,104.0,-10.599999999999994,101.7,99.4,2.299999999999997,10.114674893827722,141.26187211062253,0,93.96525802602272,102.8501987756977,-8.884940749674982,-2.606262544567325,99.98142788788236,102.26556973361721,-2.284141845734851,-9.306345138786039,2020-12-21,0.81684452785845,138.96606386638715,-6.370970495609896,138.96606386638715,5.5600000000000005,-11.610000000000001,-18.931481481481484,-17.17,7.321481481481483,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,-0.3638683127572051,4.726666666666668,-3.135802469135804,-1.9350000000000005,-3.4339999999999993,-1,-1.0,1,-1,-1,-1,-1.0,-1.0
2.5,-14,-10.866666666666667,-13.449245541838136,-17.37885175842096,88.6,92.76666666666664,103.1,103.63333333333334,Sun 12-27 12-27,A,184 (Ⅲ),Southern Illinois,"L, 63-57",63,90.2,49.0,19.0,99.7,43.8,14.2,-8.0,8.5,128.0,92.48125,96.3625,92.72674897119343,90.72364186161242,104.7734375,106.446875,106.17599451303155,108.1024936200334,20201227,94.0,105.0,-11.0,98.8,97.8,1.0,92.7,105.4,-12.66,64.3,12.153290535928896,125.42871468777753,63.47681365576103,11.264051416673588,127.72277050336513,16.708827152985766,127.72277050336513,11.264051416673588,127.72277050336513,16.708827152985766,131.74514417430302,100.5,99.5,1.03,69.4,94.0,105.0,-11.0,98.8,97.8,1.0,18.46230747920834,130.34120921544334,0,93.4982320757296,104.35952263188531,-10.861290556155708,-5.430908476255066,103.25954872972922,96.52222769887771,6.737321030851504,7.363207232107935,2020-12-27,15.025297018409148,129.3489351022447,9.9158196329887,129.3489351022447,-1.3399999999999999,-12.950000000000001,-16.49098765432099,-11.610000000000001,3.540987654320988,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,-0.7892455418381363,1.793333333333333,-0.3638683127572051,-1.8500000000000014,-1.9350000000000005,-1,-1.0,1,-1,-1,-1,-1.0,-1.0
20.0,9,-4.166666666666667,-5.732830361225426,-12.455424165980785,127.2,104.66666666666664,117.5,108.83333333333331,Mon 12-28 12-28,A,184 (Ⅲ),Southern Illinois,"W, 84-72",64,130.5,73.4,21.8,111.9,58.5,14.0,30.0,8.0,126.0,109.840625,92.48125,104.21783264746229,97.35570697768287,111.13671875,104.7734375,109.95066300868773,109.81113114366369,20201228,94.9,105.4,-10.5,96.1,100.2,-4.1000000000000085,92.7,105.4,-12.66,64.3,12.153290535928896,125.42871468777753,63.47681365576103,7.622304240699663,128.08129899997482,18.855514052472035,128.08129899997482,7.622304240699663,128.08129899997482,18.855514052472035,126.06387917385706,100.5,99.5,1.03,69.4,94.9,105.4,-10.5,96.1,100.2,-4.1000000000000085,17.843524704901448,126.69537032659458,0,94.60037165479947,102.26783830981695,-7.667466655017478,-3.2446367797484994,100.70581087716288,97.77753294440643,2.928277932756444,2.179380268435125,2020-12-28,10.402965593705304,127.57857436529157,5.210877304224546,127.57857436529157,21.66,8.709999999999999,-15.310658436213993,-12.950000000000001,24.020658436213992,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,6.927169638774574,8.493333333333332,-0.7892455418381363,1.0887499999999992,-1.8500000000000014,1,-1.0,1,1,-1,3,-1.0,-1.0
10.5,5,0.20000000000000284,-2.0218869074836165,-9.208983408529733,93.4,103.06666666666666,88.0,102.86666666666667,Sat 1-02 1-02,H,172 (Ⅳ),Northern Iowa,"W, 65-61",69,94.0,50.0,13.0,88.2,45.1,23.1,-9.0,6.5,135.0,101.6203125,109.840625,100.61188843164156,96.63648752719507,99.568359375,111.13671875,102.63377533912515,105.8454709357248,20210102,96.9,106.4,-9.5,105.9,99.9,6.0,95.5,105.8,-10.24,64.0,7.407965050487135,133.8903759791886,65.18349928876245,6.693048691230317,139.76659471940945,4.321696081323653,139.76659471940945,6.693048691230317,139.76659471940945,4.321696081323653,138.93157856423295,105.9,99.3,6.6,71.6,96.9,106.4,-9.5,105.9,99.9,6.0,7.915589250996104,140.40370743359318,0,100.81378337023578,102.16988377404263,-1.356100403806849,0.7066230505097686,97.29120191438368,101.72783466698101,-4.436632752597333,-9.723956870083681,2021-01-02,-5.8886254506543025,135.09289117789817,-8.54186557627311,135.09289117789817,15.24,23.95,-7.303772290809331,8.709999999999999,31.25377229080933,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,8.218113092516383,10.440000000000003,6.927169638774574,2.6611111111111097,1.0887499999999992,1,1.0,1,1,1,3,3.0,-1.0
11.5,11,8.766666666666671,2.3854087283442564,-5.498259152433415,115.4,112.0,104.2,103.23333333333336,Sun 1-03 1-03,H,172 (Ⅳ),Northern Iowa,"W, 70-64",61,115.3,57.7,13.2,105.4,50.0,16.5,1.0,5.5,133.0,108.51015625,101.6203125,105.5412589544277,100.04803524952324,101.8841796875,99.568359375,103.15585022608343,105.54629440195666,20210103,96.8,106.3,-9.5,105.9,99.9,6.0,95.6,105.8,-10.23,64.0,7.331490060680139,133.7695069172782,65.09246088193457,6.68381973184313,139.4398969584361,-0.24825859974014647,139.4398969584361,6.68381973184313,139.4398969584361,-0.24825859974014647,129.51747067941614,105.9,99.3,6.6,71.5,96.8,106.3,-9.5,105.9,99.9,6.0,5.331110916533046,134.15323990926672,0,98.80989534289104,100.64831837692616,-1.8384230340351166,1.5976515882130191,95.51573366676105,99.95438510909108,-4.438651442330027,-8.147936663011807,2021-01-03,-5.399142973787136,130.18717176587256,-8.10653974033756,130.18717176587256,21.23,45.18,3.1141518061271114,23.95,42.06584819387289,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,12.615408728344256,18.99666666666667,8.218113092516383,4.517999999999999,2.6611111111111097,1,1.0,1,1,1,3,3.0,3.0
