ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,PPP1,EFG%1,TO%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-3.0,-23,,-23.0,-23.0,81.3,0.0,104.3,0.0,Wed 11-25 11-25,A,288 (Ⅳ),Florida Gulf Coast,"L, 65-56",69,81.3,52.0,29.0,94.4,62.7,33.4,-12.5,6.0,133.5,81.3,0.0,81.3,81.3,104.3,0.0,104.3,104.3,20201125,95.1,105.4,-10.300000000000011,97.3,100.8,-3.5,88.6,101.4,-12.83,71.6,7.434729986071659,132.1540133949592,72.10924608819346,9.033461312571617,146.47917732770787,20.539185139213036,146.47917732770787,9.033461312571617,146.47917732770787,20.539185139213036,127.04292460963232,93.3,100.9,-7.64,70.8,95.1,105.4,-10.300000000000011,97.3,100.8,-3.5,20.539185139213036,127.04292460963232,0,101.44739,95.98614826,5.4612417400000055,8.448602753,95.98614826,101.44739,-5.4612417400000055,-2.47388066,2020-11-25,-3.9252536103778226,143.63585701665465,-5.796744973953096,143.63585701665465,-10.17,-10.17,0.0,0.0,-10.17,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,-10.17,,0.0,-10.17,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
10.5,-1,,-15.700000000000005,-19.01818181818182,104.8,0.0,105.9,0.0,Sun 11-29 11-29,A,91 (Ⅱ),Georgia,"L, 85-75",74,101.1,54.2,18.9,114.5,52.4,20.2,16.5,20.5,143.5,93.05,81.3,89.13333333333333,85.57272727272726,105.1,104.3,104.83333333333334,104.5909090909091,20201129,92.5,102.9,-10.400000000000006,100.7,94.2,6.5,89.1,102.2,-13.15,71.8,19.58023441865285,144.09503094462397,75.47681365576102,16.828796141721895,147.44051678125686,22.736770409053804,147.44051678125686,16.828796141721895,147.44051678125686,22.736770409053804,162.8257185215794,103.7,95.7,8.01,73.9,92.5,102.9,-10.400000000000006,100.7,94.2,6.5,22.736770409053804,162.8257185215794,0,98.99433797717077,95.35945056127242,3.6348874158983477,5.275660784484606,0.0,0.0,0.0,0.0,2020-11-29,-0.0,0.0,,0.0,12.15,1.9800000000000004,-10.17,-10.17,12.15,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,-2.5500000000000043,,-10.17,0.9900000000000002,-10.17,-1,-1.0,1,1,-1,1,-3.0,0.0
7.5,-9,-11.166666666666671,-13.600000000000005,-17.269421487603307,95.0,93.7,104.4,104.86666666666667,Wed 12-09 12-09,A,52 (I-A),Oregon,"L, 87-66",74,88.7,44.2,25.5,116.9,65.1,21.5,13.5,28.5,139.5,94.025,93.05,91.08888888888887,87.28677685950413,104.75,105.1,104.68888888888891,104.55619834710743,20201209,93.5,103.4,-9.900000000000006,112.4,93.1,19.30000000000001,89.9,102.5,-12.53,71.0,26.23003563102415,137.33728147782702,70.89900426742533,25.293691875304084,148.06606537835745,23.73273915535124,148.06606537835745,25.293691875304084,148.06606537835745,23.73273915535124,140.5968808888934,110.0,90.1,19.96,70.2,93.5,103.4,-9.900000000000006,112.4,93.1,19.30000000000001,23.990574815046187,140.68952619289087,0,105.13469444784471,100.87522777392091,4.2594666739237965,-0.2468989225924878,101.85735853958613,101.62371097098772,0.23364756859841407,0.5277967987406281,2020-12-09,1.2873743444061319,151.9759982299351,2.5372118251762146,151.9759982299351,3.5299999999999994,5.51,-6.120000000000001,1.9800000000000004,11.63,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,-1.0700000000000056,1.363333333333328,-2.5500000000000043,1.836666666666666,0.9900000000000002,-1,-1.0,1,1,1,1,1.0,-3.0
-4.5,-19,-9.866666666666667,-15.433333333333335,-17.602253944402705,88.7,96.16666666666669,107.8,106.03333333333336,Sat 12-12 12-12,A,29 (I-A),Oklahoma,"L, 85-54",70,77.6,36.5,21.6,122.1,53.1,10.1,-10.5,26.5,149.5,91.3625,94.025,90.2925925925926,87.54372652141247,106.275,104.75,105.72592592592594,105.14598046581516,20201212,93.8,103.6,-9.799999999999997,112.0,94.9,17.099999999999994,90.7,102.9,-12.2,71.5,25.607996197579745,148.2996410114903,74.14438122332861,24.822647550262275,155.9594761097032,25.827701829598848,155.9594761097032,24.822647550262275,155.9594761097032,25.827701829598848,171.47230062378608,111.4,94.3,17.07,72.9,93.8,103.6,-9.799999999999997,112.0,94.9,17.099999999999994,25.930819221868507,171.43150455723568,0,103.93404140677832,102.60208054356634,1.3319608632119753,-4.0197396247734245,110.75682440302809,117.50383102761977,-6.747006624591677,3.322137933340291,2020-12-12,-1.4303852885034445,178.4838249575016,7.512391105485818,178.4838249575016,-6.800000000000001,-1.290000000000001,-2.2433333333333345,5.51,0.9533333333333336,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3.233333333333336,2.333333333333332,-1.0700000000000056,-0.32250000000000156,1.836666666666666,-1,-1.0,1,-1,1,-1,1.0,1.0
19.0,4,-8.0,-8.788888888888893,-13.583662318147669,102.7,95.46666666666664,98.2,103.46666666666664,Tue 12-15 12-15,A,189 (Ⅳ),Austin Peay,"W, 76-70",70,108.5,62.0,27.1,99.9,44.8,21.4,4.0,13.0,142.0,97.03125,91.3625,94.4283950617284,90.29941260842837,102.2375,106.275,103.2172839506173,103.88307492657604,20201215,93.6,103.9,-10.300000000000011,101.4,103.6,-2.1999999999999886,90.7,103.2,-12.5,70.8,12.780048011264583,142.94463206073743,71.80711237553342,10.319571694975807,148.7882613001662,4.426558933189598,148.7882613001662,10.319571694975807,148.7882613001662,4.426558933189598,140.8226906406098,102.7,103.3,-0.65,71.3,93.6,103.9,-10.300000000000011,101.4,103.6,-2.1999999999999886,4.627574955473371,140.66612959603992,0,96.72047216975662,100.3554749083181,-3.6350027385614823,-7.776111059431666,98.45312943132868,107.627124791149,-9.173995359820324,-10.729986110696927,2020-12-15,0.2833462805341753,148.930338035759,-0.29653494685787507,148.930338035759,16.5,15.209999999999999,-1.9255555555555568,-1.290000000000001,17.135555555555555,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,3.711111111111107,4.5,-3.233333333333336,3.042,-0.32250000000000156,1,-1.0,1,1,-1,3,-1.0,1.0
12.0,1,-4.266666666666661,-5.259259259259259,-10.78663280575718,107.4,99.59999999999998,105.6,103.86666666666667,Fri 12-18 12-18,A,28 (I-A),Georgia Tech,"L, 74-64",63,101.0,50.0,14.2,116.7,55.3,15.8,0.5,22.0,137.5,102.215625,97.03125,98.7522633744856,93.40861031598685,103.91875,102.2375,104.01152263374487,104.19524312174404,20201218,94.2,103.5,-9.299999999999997,106.0,94.3,11.700000000000005,91.9,103.0,-11.07,70.5,18.975467225619404,136.27115953124726,69.29658605974396,18.758897370377596,141.29077656588538,16.780239045465255,141.29077656588538,18.758897370377596,141.29077656588538,16.780239045465255,143.40055445884846,106.3,95.2,11.08,69.1,94.2,103.5,-9.299999999999997,106.0,94.3,11.700000000000005,16.66535275185397,143.64269430921186,0,100.59684805522065,100.61257339624424,-0.015725341023596684,-5.560044868211898,109.35901989571406,101.64152390373673,7.71749599197733,3.3856026799476164,2020-12-18,9.737509264107857,150.7774249720045,8.118237362652224,150.7774249720045,12.07,27.28,3.7862962962962947,15.209999999999999,23.493703703703705,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,5.810740740740742,6.803333333333339,3.711111111111107,4.546666666666668,3.042,1,1.0,1,1,1,3,3.0,-1.0
11.0,1,2.700000000000008,-2.906172839506169,-8.498154113801325,97.4,102.5,95.6,99.8,Sat 1-02 1-02,A,112 (Ⅱ),South Carolina,"L, 78-71",77,91.9,50.9,23.3,101.0,47.1,14.2,7.5,18.0,141.5,99.8078125,102.215625,98.30150891632375,94.13431753126196,99.759375,103.91875,101.20768175582992,102.63247164506329,20210102,96.3,105.6,-9.299999999999997,104.2,94.7,9.5,93.9,104.2,-10.33,69.2,20.0904666950032,142.83922135718512,71.95618776671408,18.012392956146726,148.4997835082286,11.689367301203465,148.4997835082286,18.012392956146726,148.4997835082286,11.689367301203465,143.08614842413837,106.2,93.9,12.34,73.1,96.3,105.6,-9.299999999999997,104.2,94.7,9.5,13.551952768452653,141.44391918940457,0,103.23192102438178,100.68029781564745,2.551623208734327,-3.97086535652628,95.74518104675828,101.6599232813573,-5.914742234599018,-4.477952389791222,2021-01-02,-2.143667703146818,148.01695719341262,1.5647804994086982,148.01695719341262,11.33,38.61,11.61753086419753,27.28,26.99246913580247,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,7.423827160493831,13.030000000000008,5.810740740740742,5.515714285714285,4.546666666666668,1,1.0,1,1,1,3,3.0,3.0
-14.5,-19,-5.4333333333333265,-8.570781893004114,-10.571217002201085,80.5,95.09999999999998,100.4,100.53333333333336,Sun 1-10 1-10,H,345 (Ⅳ),South Carolina St.,"W, 70-68",79,88.5,54.4,26.5,86.0,45.5,24.0,-1.0,-16.5,139.0,90.15390625,99.8078125,92.36767261088251,91.65535070739614,100.0796875,99.759375,100.93845450388665,102.22656770959722,20210110,97.3,105.4,-8.100000000000009,85.4,114.1,-28.699999999999992,95.0,104.2,-9.18,69.0,-17.290512046566796,140.13948499788665,71.35561877667142,-19.445211589714788,147.19189397285118,-23.816856092541673,147.19189397285118,-19.445211589714788,147.19189397285118,-23.816856092541673,147.71280145984306,85.4,113.5,-28.14,72.7,97.3,105.4,-8.100000000000009,85.4,114.1,-28.699999999999992,-22.025312094765674,139.38063318921925,0,104.0844565786444,100.91394766380587,3.1705089148385355,-4.748362206328742,88.73909707645443,106.9671470648488,-18.228049988394375,-13.835296877877292,2021-01-10,-20.01048889855963,147.10223597419463,-8.296348999429831,147.10223597419463,-9.82,28.79,20.615020576131688,38.61,8.174979423868312,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0.6092181069958862,3.7466666666666733,7.423827160493831,3.598749999999999,5.515714285714285,1,1.0,1,1,1,3,3.0,3.0
-10.0,-25,-14.366666666666665,-14.047187928669407,-13.194632092709975,75.9,84.59999999999998,100.9,98.9666666666667,Sat 1-30 1-30,A,297 (Ⅳ),North Carolina A&T,"L, 70-58",75,77.4,38.6,21.3,93.4,50.0,22.7,-18.0,2.0,146.0,83.026953125,90.15390625,86.87844840725502,88.79074148786955,100.48984375,100.0796875,100.92563633592441,101.9853735805795,20210130,95.9,105.2,-9.299999999999997,95.5,109.0,-13.5,94.5,105.1,-10.6,69.0,2.5003972629171045,141.80487997926843,69.39260312944525,1.1892510638859903,145.57225940749836,-2.5140158626637845,145.57225940749836,1.1892510638859903,145.57225940749836,-2.5140158626637845,151.021645284418,96.7,109.8,-13.11,70.7,95.9,105.2,-9.299999999999997,95.5,109.0,-13.5,-2.2539289981403248,140.4609608845308,0,98.0978708210733,103.85161260463896,-5.753741783565658,-11.555341055328464,98.06491473653635,105.14717286719014,-7.082258130653784,-3.8464801109198112,2021-01-30,3.150010337419772,145.6215647970908,7.1427440236663315,145.6215647970908,-14.4,14.389999999999999,23.340013717421126,28.79,-8.950013717421127,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,-3.4471879286694076,-3.7666666666666657,0.6092181069958862,1.5988888888888866,3.598749999999999,-1,1.0,-1,1,1,-1,3.0,3.0
1.5,-6,-17.200000000000006,-11.598125285779608,-12.013789894035435,94.7,83.69999999999997,101.4,100.90000000000002,Sun 1-31 1-31,A,297 (Ⅳ),North Carolina A&T,"L, 67-65",69,93.8,43.0,23.1,96.7,60.8,30.3,-14.5,3.5,146.5,88.86347656250003,83.026953125,89.48563227150335,89.86515212643872,100.944921875,100.48984375,101.08375755728295,101.87894202047414,20210131,95.8,105.2,-9.400000000000006,95.7,109.1,-13.399999999999993,94.3,104.9,-10.63,68.9,2.4992427192006232,141.37717400936845,69.39004267425321,1.3519957704103405,145.71159410825237,1.6255128393256086,145.71159410825237,1.3519957704103405,145.71159410825237,1.6255128393256086,140.13217406650168,96.6,109.7,-13.06,70.8,95.8,105.2,-9.400000000000006,95.7,109.1,-13.399999999999993,-0.3272567353515086,138.59737220903665,0,95.14664769197735,105.88373876702236,-10.737091075045015,-13.359619917569859,99.69968166866369,105.3286688267098,-5.628987158046115,-2.2604057742078267,2021-01-31,7.893401671914049,146.31233309051174,9.492928230559201,146.31233309051174,4.630000000000001,19.02,20.356675811614085,14.389999999999999,-1.3366758116140858,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,-0.9681252857796068,-6.570000000000006,-3.4471879286694076,1.9019999999999992,1.5988888888888866,-1,-1.0,-1,1,1,-1,-1.0,3.0
