ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,PPP1,EFG%1,TO%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
2.5,-12,,-12.799999999999995,-12.799999999999995,96.4,0.0,109.2,0.0,Wed 11-25 11-25,A,213 (Ⅲ),South Alabama,"L, 68-66",64,103.7,48.4,18.9,106.9,65.9,26.7,-5.0,4.5,139.0,96.4,0.0,96.4,96.4,109.2,0.0,109.2,109.2,20201125,99.2,100.4,-1.2000000000000028,102.9,105.6,-2.6999999999999886,94.3,97.1,-2.74,72.2,3.122001268581471,136.5793729232329,72.71351351351352,3.25764854617276,154.6808815149701,20.100747803030238,154.6808815149701,3.25764854617276,154.6808815149701,20.100747803030238,158.29313272395075,96.7,100.6,-3.87,70.8,99.2,100.4,-1.2000000000000028,102.9,105.6,-2.6999999999999886,20.100747803030238,158.29313272395075,0,106.8267232,100.8584438,5.9682794,7.122307105,100.8584438,106.8267232,-5.9682794,-4.814251679,2020-11-25,-4.72370476102266,160.23556983375346,-6.620017151356777,160.23556983375346,-9.26,-9.26,0.0,0.0,-9.26,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,-10.059999999999995,,0.0,-9.26,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
-13.0,-11,,-12.2,-12.472727272727267,77.6,0.0,88.6,0.0,Fri 11-27 11-27,N,161 (Ⅲ),Jacksonville St.,"L, 60-50",65,77.5,36.4,20.1,93.0,46.9,26.3,-25.0,-3.0,135.0,87.0,96.4,90.13333333333334,92.98181818181818,98.9,109.2,102.33333333333334,105.45454545454544,20201127,99.2,100.4,-1.2000000000000028,93.6,102.5,-8.900000000000006,95.6,98.4,-2.81,70.9,-5.864678927411305,135.1472188242288,72.31194879089617,-5.697693060727659,144.6712413284927,6.263294048109373,144.6712413284927,-5.697693060727659,144.6712413284927,6.263294048109373,136.1087878626781,91.3,102.5,-11.13,71.7,99.2,100.4,-1.2000000000000028,93.6,102.5,-8.900000000000006,6.263294048109373,136.1087878626781,0,106.82672323648485,100.85844384432778,5.968279392157072,7.122307105380392,97.60257508691286,98.88289368370584,-1.2803185967929807,1.7070424497636472,2020-11-27,-5.318603615356096,150.8967293107515,-3.9158834046610735,150.8967293107515,-8.19,-17.45,-9.26,-9.26,-8.19,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,-9.389999999999999,,-10.059999999999995,-8.725,-9.26,-1,-1.0,-1,-1,-1,-3,-3.0,0.0
-5.0,-7,-10.366666666666664,-10.566666666666666,-11.532231404958672,103.7,92.56666666666666,111.0,102.93333333333334,Mon 12-07 12-07,A,293 (Ⅳ),North Florida,"W, 79-77",69,113.8,52.3,14.4,110.9,64.0,21.6,20.5,-7.0,135.5,95.35,87.0,94.65555555555555,94.93057851239668,104.95,98.9,105.22222222222223,106.46280991735537,20201207,94.8,97.4,-2.6000000000000085,93.5,107.6,-14.099999999999996,94.4,98.5,-4.14,69.6,-1.0280369455684024,139.18395254040524,70.88705547652916,-4.011962457839189,139.8310527978079,-0.4377203546130464,139.8310527978079,-4.011962457839189,139.8310527978079,-0.4377203546130464,129.65630249365523,96.7,108.3,-11.63,71.6,94.8,97.4,-2.6000000000000085,93.5,107.6,-14.099999999999996,-0.7120903505499213,129.87787884110557,0,92.52895365383905,93.24549174822357,-0.7165380943845179,4.069624230988392,92.73558729646624,98.98955961762873,-6.253972321162493,-5.1985031293093575,2020-12-07,-0.0996573275812409,129.06247697790587,-4.596268236339654,129.06247697790587,-2.8600000000000003,-20.31,-11.99,-17.45,-8.319999999999999,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,-6.426666666666667,-6.226666666666664,-9.389999999999999,-6.77,-8.725,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-13.0,-21,-13.1,-14.044444444444444,-13.253643876784368,96.2,92.5,117.2,105.6,Tue 12-15 12-15,A,229 (Ⅳ),Stetson,"L, 78-69",67,102.8,46.8,8.9,116.2,66.0,25.3,14.5,-4.0,132.5,95.775,95.35,95.17037037037036,95.16138241923366,111.075,104.95,109.21481481481483,108.41502629601804,20201215,96.1,99.0,-2.9000000000000057,97.2,104.6,-7.399999999999991,95.5,99.6,-4.13,69.2,1.6160838517401714,133.01207183613295,68.31408250355621,0.8504292031851151,137.59659252809,-6.002887097797037,137.59659252809,0.8504292031851151,137.59659252809,-6.002887097797037,125.453155047182,96.7,104.1,-7.45,69.4,96.1,99.0,-2.9000000000000057,97.2,104.6,-7.399999999999991,-6.0001377025931255,125.51034703190017,0,99.608888134802,95.1673880471235,4.441500087678506,10.061478047934141,89.17830112104382,106.67355842662786,-17.495257305584047,-11.133453969104398,2020-12-15,-11.22253156715032,133.3264223156369,-12.576581381805681,133.3264223156369,-16.87,-37.18,-14.763333333333334,-20.31,-22.416666666666664,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,-9.914444444444445,-8.969999999999999,-6.426666666666667,-9.295,-6.77,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-11.0,-11,-13.333333333333336,-13.262962962962966,-12.971163171914485,99.6,99.83333333333331,111.3,113.16666666666669,Tue 1-05 1-05,A,134 (Ⅲ),James Madison,"L, 79-70",70,100.4,45.7,18.6,113.3,56.3,12.9,2.5,-2.0,146.5,97.6875,95.775,96.64691358024693,95.9684037975548,111.1875,111.075,109.90987654320988,108.93956696946928,20210105,97.8,102.1,-4.299999999999997,100.7,107.6,-6.899999999999992,97.3,102.3,-5.0,68.0,1.7186215226092116,145.26245259295735,70.99857752489332,2.474510903477821,151.09657455867432,9.277120698766995,151.09657455867432,2.474510903477821,151.09657455867432,9.277120698766995,144.35396590868808,98.9,107.4,-8.47,73.4,97.8,102.1,-4.299999999999997,100.7,107.6,-6.899999999999992,8.944545003023395,144.42093114712304,0,100.74343106119079,102.12975998685651,-1.3863289256657225,3.6139998440711616,98.26732959453619,103.43357142436078,-5.166241829824585,-10.627887079159363,2021-01-05,1.3689318676329378,148.53592596793013,-8.193293599826035,148.53592596793013,-6.0,-43.18,-22.235555555555557,-37.18,-20.944444444444443,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,-8.262962962962966,-8.333333333333336,-9.914444444444445,-8.636,-9.295,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
3.5,-5,-12.733333333333334,-10.675308641975311,-11.612769867930028,111.0,102.26666666666668,116.5,115.0,Fri 1-08 1-08,A,151 (Ⅱ),Old Dominion,"L, 71-67",62,108.3,56.3,17.8,114.8,49.1,11.3,2.5,7.5,135.5,104.34375,97.6875,101.43127572016462,98.70142128890848,113.84375,111.1875,112.10658436213993,110.31419115683849,20210108,97.9,103.6,-5.699999999999988,103.9,99.9,4.0,97.5,103.3,-5.88,67.5,10.068582645648718,134.16783541911425,66.25177809388336,10.589292781873993,139.73498187153183,8.377573616448206,139.73498187153183,10.589292781873993,139.73498187153183,8.377573616448206,132.96677289315903,103.0,99.3,3.63,69.0,97.9,103.6,-5.699999999999988,103.9,99.9,4.0,9.263951728947218,137.61498970572228,0,100.48592518832771,102.77666525120381,-2.2907400628760968,4.648906553902678,98.31638997197315,104.18832356677014,-5.871933594796985,-1.7150470332172512,2021-01-08,1.4341270673411657,139.68122374394886,-2.3339703445184483,139.68122374394886,0.8799999999999999,-42.3,-29.217037037037038,-43.18,-13.08296296296296,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,-4.7953086419753115,-6.853333333333334,-8.262962962962966,-7.05,-8.636,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-2.5,-2,-6.666666666666668,-8.050205761316874,-10.010448073760932,90.5,100.36666666666667,93.3,107.03333333333336,Sat 1-09 1-09,A,151 (Ⅱ),Old Dominion,"L, 64-55",66,83.3,49.0,34.8,96.9,43.0,16.7,-15.0,6.5,134.0,97.421875,104.34375,97.78751714677642,97.2102537818342,103.571875,113.84375,105.83772290809328,107.22070185559515,20210109,98.0,103.5,-5.5,103.8,99.9,3.899999999999992,97.4,103.3,-5.85,67.5,10.0476227027441,133.8399246674173,66.15576102418208,10.36391291323504,139.45964930466317,7.1465941097287855,139.45964930466317,10.36391291323504,139.45964930466317,7.1465941097287855,138.0687386275293,102.9,99.3,3.59,68.9,98.0,103.5,-5.5,103.8,99.9,3.899999999999992,9.308250351591303,141.78708078192668,0,99.47979963,103.0335348,-3.553735169999996,0.740964565,97.58435984,103.5267209,-5.942361059999996,-4.02975558,2021-01-09,2.2073514899490476,138.0098297702784,-1.3342050557241691,138.0098297702784,3.8499999999999996,-38.449999999999996,-33.578024691358024,-42.3,-4.8719753086419715,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,-2.200205761316875,-0.8166666666666682,-4.7953086419753115,-5.492857142857144,-7.05,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
6.5,-5,-4.599999999999999,-7.2001371742112505,-9.190366605804398,112.3,104.60000000000002,117.8,109.2,Thu 1-14 1-14,A,283 (Ⅳ),FIU,"W, 81-79",70,116.5,55.0,23.0,113.6,57.4,11.5,14.0,4.5,146.0,104.8609375,97.421875,102.62501143118428,99.95384400331888,110.6859375,103.571875,109.82514860539551,109.14421060912329,20210114,98.1,104.1,-6.0,102.6,102.5,0.09999999999999433,97.7,103.6,-5.88,66.0,7.483845057927013,137.69561315093267,66.75106685633001,8.251072480176575,141.99992919326206,6.1350656348445245,141.99992919326206,8.251072480176575,141.99992919326206,6.1350656348445245,140.27801863977916,102.6,103.2,-0.6,71.1,98.1,104.1,-6.0,102.6,102.5,0.09999999999999433,9.67560127772294,138.54280428888637,0,98.87464963879795,100.86183946119448,-1.9871898223965303,2.5431817087894912,101.089780133436,100.76987511326674,0.3199050201692586,1.2236094046906358,2021-01-14,5.452417227679561,137.9820161037233,1.0234025066135786,137.9820161037233,0.8799999999999999,-37.56999999999999,-35.20201646090535,-38.449999999999996,-2.367983539094645,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,-1.3201371742112507,1.2800000000000011,-2.200205761316875,-4.69625,-5.492857142857144,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
41.5,36,9.466666666666667,7.433241883859169,-0.8466635865672334,123.4,108.73333333333336,86.7,99.26666666666668,Sat 1-16 1-16,H,283 (Ⅳ),FIU,"W, 107-63",80,134.0,65.2,18.8,78.9,38.8,20.0,25.5,-2.5,144.5,114.13046875,104.8609375,109.55000762078951,104.21678145726091,98.69296875,110.6859375,102.11676573693035,105.06344504382814,20210116,99.5,104.9,-5.400000000000006,103.1,104.1,-1.0,99.0,104.3,-5.34,66.0,-1.0828591651885802,140.61701654746975,66.93883357041251,-0.9295993627488883,145.17960813416335,-0.35154211674918723,145.17960813416335,-0.9295993627488883,145.17960813416335,-0.35154211674918723,141.54986151362147,103.3,104.5,-1.16,71.3,99.5,104.9,-5.400000000000006,103.1,104.1,-1.0,0.48221516340108644,142.4475442776175,0,102.53016807630657,104.0530303507097,-1.5228622744031384,1.0725657992294877,102.06696320622642,104.30902785491148,-2.2420646486850586,-3.0108867507450925,2021-01-16,-4.604740236552644,146.25638477394182,-4.589537994224671,146.25638477394182,41.34,3.7700000000000102,-35.99134430727023,-37.56999999999999,39.76134430727024,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,12.773241883859168,14.806666666666667,-1.3201371742112507,0.41888888888888864,-4.69625,1,-1.0,1,1,-1,3,-3.0,-3.0
11.5,-2,9.733333333333334,4.2888279225727794,-1.0563611162822821,81.2,105.63333333333334,83.2,95.9,Fri 1-22 1-22,H,247 (Ⅳ),Charlotte,"W, 66-53 OT",74,89.7,48.5,21.7,72.0,40.7,25.8,-8.0,-1.5,127.0,97.665234375,114.13046875,100.10000508052636,100.03191210139528,90.946484375,98.69296875,95.81117715795358,101.08827321767755,20210122,101.4,104.1,-2.6999999999999886,99.7,98.9,0.7999999999999972,100.7,103.6,-2.89,66.9,-1.8568961315869217,121.33307957147231,59.66756756756757,-1.3562187900817761,125.1846782532619,-5.3182008890224415,125.1846782532619,-1.3562187900817761,125.1846782532619,-5.3182008890224415,124.17802936817537,99.9,100.2,-0.31,62.7,101.4,104.1,-2.6999999999999886,99.7,98.9,0.7999999999999972,0.11965018250329615,121.2332650069426,0,103.856825333775,101.31010400525032,2.546721328524683,9.481283437241094,94.4291660491863,97.23174939190008,-2.802583342713774,-4.690226421158727,2021-01-22,-6.640897690210259,120.77974901378553,-10.1665090125489,120.77974901378553,0.8900000000000001,4.660000000000011,-22.737562871513486,3.7700000000000102,27.397562871513497,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,7.178827922572779,12.623333333333335,12.773241883859168,0.4659999999999993,0.41888888888888864,1,1.0,1,1,1,3,3.0,-3.0
