ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,PPP1,EFG%1,TO%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
11.5,23,,23.699999999999992,23.699999999999992,118.1,0.0,94.4,0.0,Wed 11-25 11-25,A,28 (I-A),Georgia Tech,"W, 123-120 4OT",113,108.8,53.7,17.7,106.2,40.3,19.5,96.0,8.5,147.0,118.1,0.0,118.1,118.1,94.4,0.0,94.4,94.4,20201125,106.0,98.4,7.599999999999994,106.8,94.1,12.700000000000005,102.6,96.6,5.96,74.6,8.35236937335533,149.05187815576113,77.4651493598862,8.76226957355398,162.1144504057974,-17.7781328409555,162.1144504057974,8.76226957355398,162.1144504057974,-17.7781328409555,170.55019569240193,102.8,91.5,11.32,73.0,106.0,98.4,7.599999999999994,106.8,94.1,12.700000000000005,-17.7781328409555,170.55019569240193,0,105.6513764,100.93731740000001,4.714058999999992,2.868086665,100.93731740000001,105.6513764,-4.714058999999992,-6.560031239,2020-11-25,-2.9749745086410115,168.635892881519,-5.174521019382411,168.635892881519,17.04,17.04,0.0,0.0,17.04,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,17.73999999999999,,0.0,17.04,0.0,1,0.0,1,1,1,3,0.0,0.0
-20.0,-12,,11.533333333333326,17.063636363636352,88.1,0.0,100.9,0.0,Mon 11-30 11-30,A,163 (Ⅲ),Mercer,"L, 86-69",79,87.0,41.2,18.9,108.4,56.0,24.0,1.5,-3.0,153.5,103.1,118.1,108.1,112.64545454545453,97.65,94.4,96.56666666666668,95.58181818181818,20201130,103.5,96.1,7.400000000000006,100.9,101.2,-0.2999999999999972,104.9,98.3,6.59,74.9,-1.252916610679435,157.39642120262823,77.2439544807966,-1.6801540658098872,158.90476823779505,13.504116122760339,158.90476823779505,-1.6801540658098872,158.90476823779505,13.504116122760339,170.76107207002718,100.5,101.2,-0.65,72.5,103.5,96.1,7.400000000000006,100.9,101.2,-0.2999999999999972,13.504116122760339,170.76107207002718,0,100.55328154108648,101.22627270186014,-0.6729911607736625,-2.1460531830505243,106.4542336227322,96.8857257945729,9.568507828159298,2.8454458058824708,2020-11-30,12.682961361674714,162.04490242660762,6.02602527165223,162.04490242660762,-18.59,-1.5500000000000007,17.04,17.04,-18.59,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,4.943333333333326,,17.73999999999999,-0.7750000000000004,17.04,1,1.0,-1,-1,1,-1,3.0,0.0
7.5,0,3.933333333333323,7.988888888888881,14.12479338842974,106.3,104.16666666666669,105.4,100.23333333333336,Fri 12-04 12-04,A,255 (Ⅲ),Charlotte,"W, 76-65",68,112.4,49.2,11.8,96.1,45.1,19.2,-2.5,-3.5,143.5,104.7,103.1,107.5,111.49173553719008,101.525,97.65,99.51111111111112,97.36694214876032,20201204,101.9,96.0,5.900000000000006,98.4,99.5,-1.0999999999999943,103.3,98.4,4.85,75.4,-1.163115522014479,145.57590813998178,73.79118065433856,-1.0889281621229827,147.5846182178091,-5.713766440567671,147.5846182178091,-1.0889281621229827,147.5846182178091,-5.713766440567671,142.4119580197792,97.2,99.5,-2.34,68.8,101.9,96.0,5.900000000000006,98.4,99.5,-1.0999999999999943,-5.607647064724348,142.37589186659702,0,96.4947061263998,99.83865515699392,-3.3439490305941177,3.756483341399092,92.9477903345376,99.05717017989777,-6.109379845360166,-5.942232765367747,2020-12-04,1.8756011875766916,142.03616671585615,-5.113224529459558,142.03616671585615,-4.85,-6.4,10.843333333333334,-1.5500000000000007,-17.243333333333332,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,3.1388888888888813,-0.9166666666666767,4.943333333333326,-2.1333333333333333,-0.7750000000000004,1,1.0,-1,-1,-1,-1,-1.0,3.0
2.5,13,0.3999999999999915,9.692592592592586,13.938467317806149,119.0,104.46666666666664,105.9,104.06666666666668,Wed 12-16 12-16,H,163 (Ⅲ),Mercer,"W, 88-81",73,121.1,55.0,8.3,111.4,50.0,12.4,12.5,-4.5,156.5,111.85,104.7,111.33333333333334,112.85687453042824,103.7125,101.525,101.64074074074075,98.91840721262207,20201216,103.1,97.3,5.799999999999998,101.7,101.0,0.7000000000000028,104.6,98.8,5.84,74.2,-7.867270914586044,157.26710354722493,77.15533428165007,-8.556886548886638,160.09844328202226,2.724981192145619,160.09844328202226,-8.556886548886638,160.09844328202226,2.724981192145619,159.30065206922598,101.3,100.0,1.26,73.1,103.1,97.3,5.799999999999998,101.7,101.0,0.7000000000000028,2.734742778430345,159.50317011678018,0,102.91950451873994,97.51729650040785,5.4022080183320895,8.35633381485562,105.8082285965793,91.83883114553387,13.969397451045424,13.286515440467156,2020-12-16,2.463119151642033,155.55214716984455,1.4097681763726087,155.55214716984455,7.16,0.7599999999999998,5.095555555555556,-6.4,-4.3355555555555565,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,3.852592592592586,-5.440000000000008,3.1388888888888813,0.1900000000000004,-2.1333333333333333,1,1.0,-1,1,-1,1,-1.0,-1.0
6.5,19,11.199999999999996,12.995061728395054,14.967836896386848,111.8,112.36666666666667,92.2,101.16666666666669,Mon 12-21 12-21,H,217 (Ⅳ),College of Charleston,"W, 72-55",61,118.3,69.8,18.1,90.3,43.8,24.6,-15.0,-10.5,142.0,111.825,111.85,111.48888888888894,112.6647155248958,97.95625,103.7125,98.49382716049385,97.69687862850895,20201221,104.6,98.3,6.299999999999998,99.2,104.1,-4.899999999999992,105.8,99.8,6.01,73.8,-11.404409076768715,145.51058448634575,70.4406827880512,-12.366447060011183,149.0340221892348,-18.07812826447476,149.0340221892348,-12.366447060011183,149.0340221892348,-18.07812826447476,152.00217515751524,98.6,102.9,-4.33,67.1,104.6,98.3,6.299999999999998,99.2,104.1,-4.899999999999992,-18.042726709697572,151.9260274048764,0,104.54386283963629,98.80831217442169,5.735550665214603,8.849662284252505,96.14780771784042,108.90027794529892,-12.752470227458502,-16.72973550317645,2020-12-21,-17.80241777876698,150.94996361449324,-19.91293068928755,150.94996361449324,12.99,13.75,3.6503703703703714,0.7599999999999998,10.099629629629629,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,6.9850617283950545,5.189999999999996,3.852592592592586,2.75,0.1900000000000004,1,1.0,1,1,1,3,1.0,-1.0
-14.5,-16,5.533333333333331,3.2967078189300407,9.319139278861968,87.0,105.93333333333334,103.1,100.40000000000002,Fri 1-01 1-01,A,199 (Ⅲ),Coastal Carolina,"L, 81-69",79,87.0,39.5,16.4,102.1,47.7,22.7,-9.0,-2.5,159.0,99.4125,111.825,103.32592592592594,107.99840361127838,100.528125,97.95625,100.02921810699591,98.67926433241642,20210101,105.6,98.9,6.699999999999988,103.4,105.3,-1.8999999999999917,106.6,100.0,6.6,72.3,-1.7846152453144555,159.9741562023625,74.7682788051209,-2.2603391558379684,162.89471043677042,-10.520642865051117,162.89471043677042,-2.2603391558379684,162.89471043677042,-10.520642865051117,170.5010897175579,103.4,104.9,-1.57,72.7,105.6,98.9,6.699999999999988,103.4,105.3,-1.8999999999999917,-10.839876313856578,170.41370186224648,0,102.92450734323981,99.29403821924112,3.6304691239986937,8.532314612782564,103.40910417078993,109.83163962032572,-6.422535449535786,-4.746864442268873,2021-01-01,-3.3047736082688886,164.59334561211597,-7.795477389243416,164.59334561211597,-22.6,-8.850000000000001,7.016913580246914,13.75,-15.866913580246916,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3.303292181069959,-1.0666666666666682,6.9850617283950545,-1.4750000000000005,2.75,-1,1.0,-1,-1,1,-3,3.0,1.0
5.5,15,6.233333333333333,7.264471879286695,10.388386682705246,105.3,101.36666666666667,90.1,95.13333333333335,Sat 1-02 1-02,A,199 (Ⅲ),Coastal Carolina,"W, 70-62",68,103.3,54.8,16.2,91.5,49.1,25.1,-26.5,-2.5,158.5,102.35625,99.4125,103.98395061728395,107.50778477286413,95.3140625,100.528125,96.71947873799728,97.11939809015888,20210102,105.8,99.1,6.700000000000002,103.7,105.5,-1.7999999999999972,106.8,100.2,6.6,72.3,-1.8560145729048543,160.51522853840373,74.7682788051209,-2.177954607224464,163.6041675444684,0.059357059320183383,163.6041675444684,-2.177954607224464,163.6041675444684,0.059357059320183383,159.9010284067258,103.5,105.1,-1.57,72.7,105.8,99.1,6.700000000000002,103.7,105.5,-1.7999999999999972,-2.69118140303197,160.8301080253761,0,98.57221196160296,99.26815038100595,-0.6959384194029923,4.645051230625387,102.32524162645822,104.01942639647451,-1.6941847700162924,1.7494214036101905,2021-01-02,3.633725266075487,155.92272149579304,-0.004566255901622185,155.92272149579304,8.4,-0.45000000000000107,1.7279423868312769,-8.850000000000001,-2.177942386831278,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0.6644718792866957,-0.36666666666666625,-3.303292181069959,-0.06428571428571495,-1.4750000000000005,1,-1.0,-1,-1,-1,-1,-3.0,3.0
-3.5,-5,-2.13333333333333,3.0096479195244648,7.499589104031564,94.6,95.63333333333334,100.1,97.76666666666672,Sat 1-16 1-16,H,199 (Ⅳ),Coastal Carolina,"W, 71-68",72,99.0,49.2,22.3,94.8,48.3,20.9,-14.5,-6.5,153.5,98.478125,102.35625,100.85596707818931,105.16091481416154,97.70703125,95.3140625,97.84631915866484,97.66132571013,20210116,104.9,98.5,6.400000000000006,103.8,103.6,0.20000000000000284,106.2,99.9,6.28,70.8,-8.417907445723614,152.62894596418846,71.60568990042674,-9.038049361650337,154.63850547436513,-7.96948634814611,154.63850547436513,-9.038049361650337,154.63850547436513,-7.96948634814611,148.6561435329304,104.2,103.5,0.71,71.1,104.9,98.5,6.400000000000006,103.8,103.6,0.20000000000000284,-10.816021001687247,151.53924446062956,0,99.96125603270494,96.9959824365506,2.965273596154333,5.812271725614711,101.23559830312716,98.3728313177562,2.8627669853709676,7.498868098372197,2021-01-16,-4.132977201954702,143.96806246285743,-0.9307018177274387,143.96806246285743,-11.280000000000001,-11.730000000000002,1.001961591220851,-0.45000000000000107,-12.731961591220854,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,-3.2703520804755355,-8.41333333333333,0.6644718792866957,-1.4662500000000005,-0.06428571428571495,-1,1.0,-1,-1,-1,-3,-1.0,-3.0
-13.0,-11,-0.6666666666666621,-1.8935680536503523,4.008754721480372,102.9,100.93333333333337,114.6,101.60000000000002,Fri 1-22 1-22,A,246 (Ⅳ),Appalachian St.,"L, 80-71",69,103.2,52.5,23.3,116.3,62.0,21.8,8.5,-4.0,142.5,100.6890625,98.478125,101.53731138545956,104.7498393934049,106.153515625,97.70703125,103.4308794391099,100.74108467192455,20210122,104.7,98.4,6.299999999999998,100.2,105.9,-5.700000000000002,106.1,99.8,6.29,70.7,-3.0980296703155545,141.16377997354687,66.67724039829302,-4.385525053495783,142.93838661998262,-0.26697085125038145,142.93838661998262,-4.385525053495783,142.93838661998262,-0.26697085125038145,148.00895002034687,101.4,105.4,-3.98,66.3,104.7,98.4,6.299999999999998,100.2,105.9,-5.700000000000002,-5.358653231776706,140.7070311479959,0,101.59311042988692,98.4137384718233,3.1793719580636264,6.149215595329018,100.33796894812349,105.98457219929884,-5.64660325117535,-4.129356239747011,2021-01-22,-2.151671197576576,140.91468232802285,-4.967650310137472,140.91468232802285,-17.29,-29.020000000000003,-3.2420256058527666,-11.730000000000002,-25.777974394147236,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,-8.183568053650353,-6.956666666666662,-3.2703520804755355,-3.2244444444444444,-1.4662500000000005,-1,-1.0,-1,-1,-1,-3,-3.0,-1.0
-17.0,-19,-12.199999999999998,-7.729045369100237,-0.24738250060696965,91.8,96.43333333333337,111.2,108.63333333333335,Sat 1-23 1-23,A,246 (Ⅳ),Appalachian St.,"L, 74-61",66,92.5,43.3,19.7,112.2,45.8,15.2,-9.0,-4.0,144.0,96.24453125,100.6890625,98.29154092363972,102.39532314005855,108.6767578125,106.153515625,106.02058629273995,102.64270564066551,20210123,104.7,98.4,6.299999999999998,100.1,105.9,-5.800000000000012,105.9,99.6,6.29,70.8,-3.172101894730716,140.74782336148508,66.77155049786629,-4.460780514493649,143.06544174541582,0.1063699787272678,143.06544174541582,-4.460780514493649,143.06544174541582,0.1063699787272678,145.46827384569153,101.1,105.2,-4.06,66.3,104.7,98.4,6.299999999999998,100.1,105.9,-5.800000000000012,-3.699671066960891,143.16657140222773,0,101.90154897846807,97.43622980613635,4.465319172331718,7.222286654815785,98.61631725049357,104.7337831757248,-6.11746592523123,-3.993311586522867,2021-01-23,-3.3945339281455915,138.60736650927421,-5.589040915356932,138.60736650927421,-25.29,-54.31,-11.834683737235178,-29.020000000000003,-42.47531626276482,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,-14.019045369100237,-18.49,-8.183568053650353,-5.431,-3.2244444444444444,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
