ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,PPP1,EFG%1,TO%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
2.5,8,,8.299999999999997,8.299999999999997,94.3,0.0,86.0,0.0,Wed 11-25 11-25,H,314 (Ⅳ),Grambling St.,"W, 69-53",70,98.9,46.6,21.5,76.0,37.1,12.9,-17.0,-13.5,139.0,94.3,0.0,94.3,94.3,86.0,0.0,86.0,86.0,20201125,102.6,103.7,-1.1000000000000083,91.0,103.1,-12.099999999999996,97.0,98.0,-0.95,71.2,-13.634484691311705,135.98546941371396,73.83328591749645,-12.842589463932498,151.294128331497,-20.311739670516037,151.294128331497,-12.842589463932498,151.294128331497,-20.311739670516037,118.59021243123703,87.4,102.1,-14.73,72.9,102.6,103.7,-1.1000000000000083,91.0,103.1,-12.099999999999996,-20.311739670516037,118.59021243123703,0,97.20147661,99.74871988,-2.5472432699999956,0.273451112,99.74871988,97.20147661,2.5472432699999956,5.367937647,2020-11-25,-0.3121144496416832,146.29175848631047,1.6357816860349175,146.29175848631047,8.95,8.95,0.0,0.0,8.95,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,9.249999999999996,,0.0,8.95,0.0,1,0.0,1,1,1,3,0.0,0.0
5.5,0,,5.399999999999998,6.718181818181814,97.5,0.0,97.9,0.0,Tue 12-01 12-01,H,347 (Ⅳ),Mississippi Valley St.,"W, 88-49",71,123.1,60.1,19.6,68.5,39.8,21.0,-23.5,-33.5,160.5,95.9,94.3,95.36666666666667,94.88181818181818,91.95,86.0,89.96666666666668,88.16363636363636,20201201,100.3,101.4,-1.1000000000000083,85.7,114.6,-28.89999999999999,98.2,98.8,-0.56,70.9,-28.9659568823038,158.67714001853358,80.78364153627312,-27.760211186072254,166.9415684124831,-42.86385947095271,166.9415684124831,-27.760211186072254,166.9415684124831,-42.86385947095271,157.16501895712355,84.0,115.6,-31.59,80.1,100.3,101.4,-1.1000000000000083,85.7,114.6,-28.89999999999999,-42.73771869539986,157.0876967996001,0,97.59161874216915,98.10193028254105,-0.5103115403719016,1.9175181003854247,97.66351321502577,113.67691484776556,-16.013401632739786,-2.1062377982081393,2020-12-01,-17.233235539267397,170.68510581774967,-5.510344139411359,170.68510581774967,0.56,9.51,8.95,8.95,0.5600000000000005,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,5.959999999999997,,9.249999999999996,4.755,8.95,1,1.0,1,1,1,3,3.0,0.0
11.0,15,7.766666666666667,8.733333333333333,8.29669421487603,127.2,106.33333333333331,111.8,98.56666666666666,Fri 12-11 12-11,H,104 (Ⅲ),Nevada,"W, 87-77",69,127.0,66.3,19.0,112.4,53.4,14.6,27.5,1.0,136.5,111.55,95.9,105.9777777777778,100.75785123966939,101.875,91.95,97.24444444444444,92.46115702479338,20201211,100.2,100.3,-0.09999999999999433,100.4,96.1,4.300000000000011,98.3,98.3,-0.03,69.4,-0.631902080641467,137.37706530749432,71.47311522048365,-0.8085340089178175,143.95507683318107,-2.146964038810279,143.95507683318107,-0.8085340089178175,143.95507683318107,-2.146964038810279,124.86699458443186,100.6,96.0,4.64,72.4,100.2,100.3,-0.09999999999999433,100.4,96.1,4.300000000000011,-2.3021761171933233,124.96627823426695,0,95.81214194297634,95.22601863446629,0.5861233085100537,2.3665690157614683,95.53736863959276,91.41447007201677,4.122898567575987,-1.053671204326905,2020-12-11,-1.1761675017370834,130.49897384021062,-4.458936625011546,130.49897384021062,15.03,24.54,9.136666666666667,9.51,15.403333333333332,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,8.763333333333332,7.796666666666667,5.959999999999997,8.18,4.755,1,1.0,1,1,1,3,3.0,3.0
7.0,5,6.766666666666667,7.588888888888887,7.751840721262204,98.7,107.8,93.4,101.03333333333336,Sun 12-13 12-13,H,87 (Ⅲ),Arizona St.,"L, 71-70",72,97.2,53.1,25.0,98.5,53.5,16.7,-5.5,8.0,146.5,105.125,111.55,103.55185185185186,100.3836964688204,97.6375,101.875,95.962962962963,92.6318557475582,20201213,102.6,103.7,-1.1000000000000083,115.2,96.9,18.3,100.4,99.4,1.05,69.1,7.756556422866296,151.2109664424728,74.60440967283073,10.608939381302335,166.44384844747947,-1.565036213785144,166.44384844747947,10.608939381302335,166.44384844747947,-1.565036213785144,158.88328440957758,110.8,93.6,17.14,75.9,102.6,103.7,-1.1000000000000083,115.2,96.9,18.3,-1.3875141744789508,158.68043541924536,0,105.01304417929035,100.91090518747282,4.102138991817526,9.38464510921653,103.20394255330342,101.67618071497641,1.5277618383270095,-3.964389151285516,2020-12-13,-6.5059776542163945,160.85572544974963,-12.104504177353135,160.85572544974963,3.95,28.49,14.27111111111111,24.54,14.218888888888888,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,6.538888888888887,5.716666666666667,8.763333333333332,7.1225,8.18,1,1.0,1,1,1,3,3.0,3.0
2.5,0,7.066666666666667,5.225925925925926,6.433324226487257,99.9,108.59999999999998,99.4,101.53333333333336,Sun 12-20 12-20,N,102 (Ⅲ),San Francisco,"L, 68-65",67,96.5,50.9,19.3,100.9,52.6,20.8,-7.5,5.5,140.5,102.5125,105.125,102.33456790123456,100.2957516563076,98.51875,97.6375,97.10864197530869,93.86242742982037,20201220,102.3,100.9,1.3999999999999917,104.5,95.1,9.400000000000006,100.9,99.1,1.77,68.3,6.54543778943119,139.2884263951933,69.36870554765292,5.789883881304718,143.9643847216266,5.498514503821664,143.9643847216266,5.789883881304718,143.9643847216266,5.498514503821664,141.40940716025088,106.6,95.3,11.29,71.4,102.3,100.9,1.3999999999999917,104.5,95.1,9.400000000000006,0.5353114121571964,141.7104980716289,0,103.15681113518005,96.41365770947463,6.743153425705415,14.129440628148975,102.23934513151615,97.90742282336856,4.331922308147583,1.655899772997233,2020-12-20,-1.7224236945660465,141.72253213055131,-8.652733827176405,141.72253213055131,-1.77,26.72,19.010740740740744,28.49,7.709259259259255,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,3.4559259259259263,5.296666666666667,6.538888888888887,5.343999999999999,7.1225,1,1.0,1,1,1,3,3.0,3.0
0.5,9,5.23333333333333,6.783950617283947,7.063628912580483,114.6,104.4,104.7,99.16666666666669,Tue 12-22 12-22,N,16 (I-A),Colorado,"L, 74-64",62,102.6,55.7,27.2,118.6,58.3,11.2,-2.5,10.5,140.5,108.55625,102.5125,106.42304526748973,102.89652408243349,101.609375,98.51875,99.63909465020578,95.832895169853,20201222,102.6,100.8,1.7999999999999972,108.7,90.5,18.200000000000006,101.1,99.0,2.1,67.9,11.317550837561853,133.606516167385,67.61024182076814,11.578572820109983,140.20583219889176,13.058141497186895,140.20583219889176,11.578572820109983,140.20583219889176,13.058141497186895,132.36599067514916,108.8,89.9,18.89,70.0,102.6,100.8,1.7999999999999972,108.7,90.5,18.200000000000006,13.827770831297286,131.86012573975924,0,100.89386533654957,96.51154160473101,4.382323731818559,10.869098424793988,111.49305161583156,87.18978457447231,24.30326704135925,31.06538298789765,2020-12-22,13.59963800852627,135.46139671849,13.654756831924828,135.46139671849,6.9,33.62,21.580493827160495,26.72,12.039506172839502,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,4.683950617283948,3.1333333333333298,3.4559259259259263,5.6033333333333335,5.343999999999999,1,1.0,1,1,1,3,3.0,3.0
-7.0,-1,3.0,4.055967078189301,5.524787292111305,107.9,107.46666666666668,109.3,104.46666666666664,Fri 1-08 1-08,A,242 (Ⅳ),Tarleton St.,"W, 75-72",67,111.3,50.0,17.8,106.8,50.0,13.4,13.0,-10.0,134.0,108.228125,108.55625,106.91536351165985,103.80624697653649,105.4546875,101.609375,102.85939643347052,98.2814596844252,20210108,104.7,102.5,2.200000000000003,91.2,109.4,-18.200000000000006,103.1,100.9,2.22,66.5,-8.000157689181115,135.36693197101832,66.12162162162163,-10.330977892997822,140.63071075444196,-7.0942818995350185,140.63071075444196,-10.330977892997822,140.63071075444196,-7.0942818995350185,127.11977072632341,93.3,108.7,-15.39,69.9,104.7,102.5,2.200000000000003,91.2,109.4,-18.200000000000006,-7.051927312908013,124.14721767050179,0,104.52095106264936,97.34354046985665,7.177410592792711,11.274737410373517,94.30113296914995,94.27698008556412,0.024152883585827567,-4.679940703518657,2021-01-08,-0.9591721711000787,128.9116999394977,-8.637038276656945,128.9116999394977,-3.22,30.4,25.59366255144033,33.62,4.806337448559667,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1.835967078189301,0.7799999999999998,4.683950617283948,4.342857142857143,5.6033333333333335,1,1.0,1,1,1,3,3.0,3.0
2.5,3,4.0,3.870644718792868,5.1566441480910665,90.8,104.43333333333337,87.3,100.43333333333332,Sat 1-09 1-09,A,242 (Ⅳ),Tarleton St.,"W, 59-48",60,98.7,53.7,25.1,80.3,35.8,15.1,-27.5,-8.5,134.5,99.5140625,108.228125,101.54357567443991,101.44147479898442,96.37734375,105.4546875,97.672930955647,96.28483065089331,20210109,104.8,102.6,2.200000000000003,91.2,109.4,-18.200000000000006,103.1,100.8,2.26,66.4,-8.053387149790417,134.9664187896144,66.02219061166431,-10.324417891648565,140.5609000837108,-5.203684613901295,140.5609000837108,-10.324417891648565,140.5609000837108,-5.203684613901295,138.1707016937645,93.2,108.6,-15.4,69.9,104.8,102.6,2.200000000000003,91.2,109.4,-18.200000000000006,-5.022318028383919,133.38925243901102,0,106.1534719,97.43885876,8.714613139999997,13.11454582,93.27409702,94.63679745,-1.3627004300000038,-4.953317376,2021-01-09,-2.8557369184349923,129.353748808546,-10.004742636397552,129.353748808546,0.7400000000000002,31.14,27.195775034293558,30.4,3.944224965706443,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1.610644718792868,1.7400000000000002,1.835967078189301,3.8925,4.342857142857143,1,1.0,1,1,1,3,3.0,3.0
-9.0,-12,-3.5999999999999943,-1.719570187471418,1.8736179393472383,99.4,99.36666666666667,112.3,102.96666666666664,Fri 1-22 1-22,A,318 (Ⅳ),Dixie St.,"W, 77-74",74,104.3,50.0,23.0,100.3,51.6,14.9,9.0,-12.0,142.0,99.45703125,99.5140625,100.82905044962659,101.07029756280541,104.338671875,96.37734375,102.54862063709804,99.19667962345815,20210122,103.9,102.8,1.1000000000000083,92.5,109.7,-17.200000000000006,103.3,101.2,2.07,65.0,-7.511071461009976,136.91132641462542,66.47937411095307,-8.883982315662934,142.12393617219084,-10.581043395915712,142.12393617219084,-8.883982315662934,142.12393617219084,-10.581043395915712,133.78689066536586,94.0,108.7,-14.77,71.9,103.9,102.8,1.1000000000000083,92.5,109.7,-17.200000000000006,-10.48714166282983,132.33246627512324,0,105.7038258497896,95.7090308143252,9.994795035464392,14.027738246942045,90.91529356805144,102.88999095878808,-11.974697390736637,-10.503617737974094,2021-01-22,-11.084210468255776,133.00829126193776,-14.414070058993516,133.00829126193776,-14.07,17.07,28.51051668952904,31.14,-11.44051668952904,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,-3.789570187471418,-5.669999999999995,1.610644718792868,1.8966666666666667,3.8925,-1,1.0,-1,1,1,-1,3.0,3.0
24.5,30,6.86666666666667,8.853619875019055,6.987505586738651,109.3,99.83333333333331,79.3,92.96666666666664,Sat 1-23 1-23,A,318 (Ⅳ),Dixie St.,"W, 81-46",69,117.9,55.3,18.9,66.9,37.8,26.2,-16.0,-10.5,143.0,104.378515625,99.45703125,103.65270029975107,102.56660709684078,91.8193359375,104.338671875,94.799080424732,95.57910151010212,20210123,103.9,102.7,1.2000000000000028,92.5,109.8,-17.299999999999994,103.1,100.9,2.19,65.1,-7.722886177259568,136.84243757316514,66.67425320056898,-9.043277809528945,142.53242717631605,-7.509210661010498,142.53242717631605,-9.043277809528945,142.53242717631605,-7.509210661010498,136.4108576808515,93.8,108.7,-14.82,72.0,103.9,102.7,1.2000000000000028,92.5,109.8,-17.299999999999994,-7.60342234589915,134.50050840544426,0,104.96805399900295,95.97055052225966,8.99750347674329,13.168488522970073,90.62667912288927,100.28063372137078,-9.653954598481505,-7.783850655929383,2021-01-23,-8.820807939816063,131.03674489320287,-12.052674246769847,131.03674489320287,27.81,44.879999999999995,24.6970111263527,17.07,20.182988873647297,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,6.663619875019055,4.676666666666669,-3.789570187471418,4.488,1.8966666666666667,1,-1.0,1,1,1,3,-1.0,3.0
