ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,PPP1,EFG%1,TO%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
10.0,5,,5.5,5.5,112.0,0.0,106.5,0.0,Wed 11-25 11-25,A,65 (I),Davidson,"L, 82-73",68,107.5,54.3,14.7,120.7,61.9,17.7,18.0,19.0,137.0,112.0,0.0,112.0,112.0,106.5,0.0,106.5,106.5,20201125,95.8,107.9,-12.100000000000007,111.1,100.3,10.799999999999995,91.4,102.8,-11.36,70.4,18.443103344850513,135.4972209020524,69.89928876244667,21.348839858248155,155.011099909606,-2.4691121756629144,155.011099909606,21.348839858248155,155.011099909606,-2.4691121756629144,174.44048189386118,104.7,94.7,10.03,69.8,95.8,107.9,-12.100000000000007,111.1,100.3,10.799999999999995,-2.4691121756629144,174.44048189386118,0,110.1854124,104.0531953,6.132217100000005,4.786244787,104.0531953,110.1854124,-6.132217100000005,-7.478189361,2020-11-25,-4.799825951900175,164.08497294201206,-6.641915256397596,164.08497294201206,16.36,16.36,0.0,0.0,16.36,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,16.86,,0.0,16.36,0.0,1,0.0,1,1,1,3,0.0,0.0
6.5,0,,3.5999999999999988,4.463636363636363,109.2,0.0,109.4,0.0,Sat 11-28 11-28,A,201 (Ⅲ),Elon,"L, 76-75",71,105.4,54.9,16.9,106.8,47.5,9.8,12.0,7.5,139.0,110.6,112.0,111.06666666666666,111.49090909090908,107.95,106.5,107.46666666666668,107.02727272727272,20201128,94.8,106.9,-12.100000000000007,99.9,106.6,-6.699999999999988,94.7,105.3,-10.64,70.6,8.828056125147171,142.28432773303774,71.20256045519203,8.418091608270586,151.5411400047891,-10.981087529264006,151.5411400047891,8.418091608270586,151.5411400047891,-10.981087529264006,165.83265441464255,98.5,102.3,-3.78,70.9,94.8,106.9,-12.100000000000007,99.9,106.6,-6.699999999999988,-10.981087529264006,165.83265441464255,0,107.79908967586012,102.99530100557828,4.803788670281833,2.1404375244907987,0.0,0.0,0.0,0.0,2020-11-28,-0.0,0.0,,0.0,10.64,27.0,16.36,16.36,10.64,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,14.239999999999998,,16.86,13.5,16.36,1,1.0,1,1,1,3,3.0,0.0
5.5,1,2.133333333333335,2.7666666666666693,3.8520661157024803,104.7,108.63333333333333,103.6,106.5,Sat 12-05 12-05,H,293 (Ⅳ),North Florida,"W, 85-74",73,117.0,48.5,8.3,101.8,53.3,22.0,17.5,-5.5,141.5,107.65,110.6,108.94444444444444,110.25619834710743,105.775,107.95,106.1777777777778,106.40413223140492,20201205,93.5,104.8,-11.299999999999995,93.4,106.6,-13.199999999999989,94.3,104.3,-10.01,71.0,-4.450908463540728,145.2647775428518,72.31294452347085,-5.412398832519202,146.1435993592495,-20.137318498132842,146.1435993592495,-5.412398832519202,146.1435993592495,-20.137318498132842,152.94692094633785,96.5,107.3,-10.89,71.6,93.5,104.8,-11.299999999999995,93.4,106.6,-13.199999999999989,-20.065085132975174,152.84799329415665,0,109.4382490298302,101.82221887992183,7.616030149908369,2.0014476862226607,91.32658062972496,99.55256108568793,-8.225980455962969,-10.388893852249273,2020-12-05,-15.98301950079545,149.68011973242218,-10.899670319539297,149.68011973242218,11.01,38.01,19.906666666666666,27.0,18.10333333333333,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,12.776666666666669,12.143333333333334,14.239999999999998,12.67,13.5,1,1.0,1,1,1,3,3.0,3.0
-8.5,-26,-8.666666666666666,-7.122222222222222,-1.7392186326070638,85.3,99.73333333333332,112.2,108.4,Sat 12-12 12-12,A,250 (Ⅳ),UNC Asheville,"L, 80-67",74,91.0,47.5,21.7,108.6,59.2,20.4,1.0,4.5,146.0,96.475,107.65,101.06296296296298,105.71870773854245,108.9875,105.775,108.1851851851852,107.45792637114948,20201212,95.0,105.4,-10.400000000000006,98.2,104.3,-6.099999999999994,95.4,104.7,-9.28,71.0,6.832152260201767,144.66015042383083,72.0099573257468,7.431280377939274,149.30953308309455,-4.744176718601194,149.30953308309455,7.431280377939274,149.30953308309455,-4.744176718601194,147.31509324188912,98.2,103.7,-5.47,71.3,95.0,105.4,-10.400000000000006,98.2,104.3,-6.099999999999994,-4.720437415122527,147.14558462326383,0,107.7743633095889,103.36602998727257,4.408333322316338,1.861254332942336,90.02641847954175,102.97136223952951,-12.944943759987765,-16.745335525471408,2020-12-12,-8.992077722727203,149.9137561542161,-11.532370898910521,149.9137561542161,-16.72,21.29,25.941111111111113,38.01,-4.651111111111113,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,2.1577777777777776,0.6133333333333333,12.776666666666669,5.3225,12.67,1,1.0,-1,1,1,1,3.0,3.0
0.0,-10,-11.933333333333332,-8.081481481481482,-3.241178881223962,103.2,97.73333333333332,113.2,109.66666666666669,Sun 12-13 12-13,A,250 (Ⅳ),UNC Asheville,"L, 90-84 OT",79,105.8,49.3,17.6,113.4,66.7,22.7,0.0,0.0,0.0,99.8375,96.475,101.7753086419753,105.2607608769893,111.09375,108.9875,109.8567901234568,108.5019397582132,20201213,95.8,107.9,-12.100000000000007,102.8,108.4,-5.6000000000000085,95.5,104.7,-9.2,71.2,6.769449724891146,144.93652165541857,72.11152204836414,9.652123653978805,158.5533544740038,4.120932827918898,158.5533544740038,9.652123653978805,158.5533544740038,4.120932827918898,146.24580674582342,98.2,103.7,-5.49,71.2,95.8,107.9,-12.100000000000007,102.8,108.4,-5.6000000000000085,3.945055143705054,146.31575504652784,0,105.42329316799575,104.41159020472661,1.011702963269144,1.1720574644958064,90.66957810563451,99.68531956421751,-9.015741458582994,-9.683792950996418,2020-12-13,-3.5623162506878714,147.12312014882306,-5.895127536719556,147.12312014882306,-0.8000000000000007,20.49,24.390740740740746,21.29,-3.9007407407407477,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1.118518518518517,-2.7333333333333325,2.1577777777777776,4.097999999999999,5.3225,1,1.0,-1,1,1,1,1.0,3.0
28.5,25,-3.7333333333333343,3.1790123456790114,2.0208536426349424,102.4,96.96666666666668,76.7,100.7,Sat 12-19 12-19,A,282 (Ⅳ),William & Mary,"W, 71-49",68,105.0,56.3,26.6,72.4,33.6,20.7,-23.5,6.5,143.5,101.11875,99.8375,101.98353909465023,104.74062253571847,93.896875,111.09375,98.8045267489712,102.71976889308351,20201219,96.0,106.5,-10.5,96.9,106.9,-10.0,95.9,105.7,-9.75,71.6,5.67292262294545,145.71141943306202,70.27596017069702,4.5578030276444395,148.06066808970937,10.838993747102885,148.06066808970937,4.5578030276444395,148.06066808970937,10.838993747102885,160.75117876578108,99.6,107.4,-7.76,69.0,96.0,106.5,-10.5,96.9,106.9,-10.0,10.84429158381558,160.93477846903136,0,108.39964286797813,106.1473119418024,2.2523309261757305,2.341567161368083,109.49161700322287,96.9510574958548,12.540559507368073,5.071965303462561,2020-12-19,12.460854102418935,159.4184489569618,3.9594794313304646,159.4184489569618,34.75,55.239999999999995,23.090493827160497,20.49,32.149506172839494,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,12.929012345679011,6.016666666666666,1.118518518518517,9.206666666666665,4.097999999999999,1,1.0,1,1,1,3,1.0,1.0
-12.5,-23,-2.5,-5.613991769547327,-2.564756110571412,82.1,95.9,105.3,98.40000000000002,Tue 12-22 12-22,A,174 (Ⅲ),Eastern Kentucky,"L, 86-67",82,82.1,49.1,28.2,105.4,53.4,20.8,-1.5,6.5,154.5,91.609375,101.11875,95.35569272976684,100.6241457110424,99.5984375,93.896875,100.96968449931414,103.18890182161378,20201222,97.0,104.5,-7.5,97.1,97.9,-0.8000000000000114,96.7,104.0,-7.32,71.4,7.040694058186389,152.97195822080545,78.00170697012803,9.558719592253368,156.54318709162754,8.04051151188899,156.54318709162754,9.558719592253368,156.54318709162754,8.04051151188899,153.24429059057516,96.4,100.0,-3.62,76.8,97.0,104.5,-7.5,97.1,97.9,-0.8000000000000114,7.702677716469605,153.86235528960094,0,108.26216594392679,99.00376619990637,9.258399744020423,5.942891060143161,96.32450868948366,95.97529686820927,0.34921182127439465,-3.707751647598717,2020-12-22,-2.3579906022528547,158.46687345157073,-5.319209993933995,158.46687345157073,-15.68,39.559999999999995,33.80699588477366,55.239999999999995,5.753004115226332,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1.7060082304526736,4.82,12.929012345679011,5.651428571428571,9.206666666666665,1,1.0,1,1,1,3,3.0,1.0
4.0,1,1.1666666666666667,-3.4093278463648846,-1.916618635922064,97.4,93.96666666666668,96.4,92.8,Wed 12-30 12-30,H,319 (Ⅳ),USC Upstate,"W, 63-52",59,106.4,53.8,16.9,87.8,40.7,18.6,-29.0,-7.0,144.0,94.5046875,91.609375,96.03712848651121,100.03793739994377,97.99921875,99.5984375,99.4464563328761,101.95455603586582,20201230,96.7,105.0,-8.299999999999997,96.8,110.8,-14.0,96.6,104.7,-8.14,71.8,-6.608598206290921,150.28387795654442,72.82133712660028,-8.450433120639431,155.58268614692014,-9.619176506982717,155.58268614692014,-8.450433120639431,155.58268614692014,-9.619176506982717,153.2553918980089,97.4,109.0,-11.68,71.3,96.7,105.0,-8.299999999999997,96.8,110.8,-14.0,-14.612005204800424,155.09896678744954,0,105.62628748119234,99.64721421982391,5.979073261368427,4.2189717865498295,98.62448415357157,107.636424185642,-9.011940032070427,-17.030243870618254,2020-12-30,-15.897828377466723,158.16121255637876,-17.38234965512587,158.16121255637876,9.14,48.699999999999996,35.72466392318244,39.559999999999995,12.975336076817555,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,4.7306721536351155,9.306666666666667,1.7060082304526736,6.0875,5.651428571428571,1,1.0,1,1,1,3,3.0,3.0
-14.0,-18,-13.700000000000005,-8.572885230909925,-5.004506156663508,75.0,84.83333333333334,93.9,98.53333333333336,Thu 12-31 12-31,H,319 (Ⅳ),USC Upstate,"L, 60-51",66,77.0,42.9,19.6,90.6,40.6,19.6,-29.5,-5.0,140.5,84.75234375,94.5046875,89.02475232434082,95.48558514540852,95.949609375,97.99921875,97.59763755525074,100.49009130207205,20201231,96.8,105.1,-8.299999999999997,96.8,110.9,-14.100000000000007,96.7,104.8,-8.14,71.8,-6.6914539897823175,150.65161085608952,72.82133712660028,-8.539284327149275,155.81166330869308,-11.057334319717311,155.81166330869308,-8.539284327149275,155.81166330869308,-11.057334319717311,150.4217926718037,97.5,109.2,-11.68,71.3,96.8,105.1,-8.299999999999997,96.8,110.9,-14.100000000000007,-15.212564893111036,153.19617935691915,0,103.59887247093701,98.80586219001356,4.793010280923454,4.502133821135844,97.42602611281704,106.15583951417709,-8.729813401360047,-14.72353497035158,2020-12-31,-14.510875548672828,153.85893647869793,-15.935179471178387,153.85893647869793,-9.86,38.839999999999996,40.049775948788294,48.699999999999996,-1.2097759487882982,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-0.4328852309099247,-5.560000000000004,4.7306721536351155,4.315555555555555,6.0875,-1,1.0,-1,1,1,-1,3.0,3.0
-22.5,-38,-18.8,-18.548590153939948,-11.094595946361054,86.2,86.2,124.7,105.0,Tue 1-19 1-19,A,228 (Ⅳ),Longwood,"L, 75-54",62,87.1,43.3,21.0,121.0,63.3,17.7,-3.5,-1.5,132.5,85.476171875,84.75234375,88.08316821622722,93.79729693715242,110.3248046875,95.949609375,106.63175837016716,104.89189288351349,20210119,96.4,104.1,-7.699999999999988,96.6,106.1,-9.5,96.3,104.7,-8.45,68.4,1.5803740129897648,128.19790150344033,63.63243243243245,2.585729051011228,132.4616624325891,-1.0278685369811693,132.4616624325891,2.585729051011228,132.4616624325891,-1.0278685369811693,117.23829177155945,95.2,106.8,-11.52,65.4,96.4,104.1,-7.699999999999988,96.6,106.1,-9.5,-0.17595082951188917,128.2339431094481,0,99.0607322177774,99.55770216498631,-0.4969699472089104,-2.538139964256117,98.30098474796527,100.22709023778204,-1.9261054898167629,0.6156224385601986,2021-01-19,2.677859981946199,128.75110169165058,3.771397012842094,128.75110169165058,-29.55,9.289999999999996,39.6465172991922,38.839999999999996,-30.356517299192202,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,-10.098590153939949,-10.350000000000001,-0.4328852309099247,0.9290000000000003,4.315555555555555,-1,-1.0,-1,1,1,-1,-1.0,3.0
