ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
22.5,31,,31.5,31.5,109.5,0.0,78.0,0.0,Wed 11-25 11-25,H,297 (Ⅳ),Lamar,"W, 89-45",72,123.2,50.7,12.5,44.2,29.2,62.3,31.0,30.5,25.0,44.0,-3.5,-21.5,137.5,109.5,0.0,109.5,109.5,78.0,0.0,78.0,78.0,20201125,111.0,92.0,19.0,94.5,101.4,-6.900000000000006,110.1,90.4,19.73,70.2,-23.118999719318012,142.58117881091658,72.89615931721195,-23.2549611206597,149.23361029517065,-34.63455282198901,149.23361029517065,-23.2549611206597,149.23361029517065,-34.63455282198901,123.62953805349956,93.7,100.9,-7.21,73.0,111.0,92.0,19.0,94.5,101.4,-6.900000000000006,-34.63455282198901,123.62953805349956,0,104.67445190000001,92.36501995,12.309431950000004,21.796793,92.36501995,104.67445190000001,-12.309431950000004,-2.822070908,2020-11-25,-22.145299482365495,145.7663324331733,-20.180944528391777,145.7663324331733,11.27,11.27,0.0,0.0,11.27,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,11.77,,0.0,11.27,0.0,1,0.0,1,1,1,3,0.0,0.0
-2.5,28,,30.56666666666667,30.99090909090909,104.5,0.0,75.8,0.0,Fri 11-27 11-27,H,68 (Ⅱ),Boise St.,"W, 68-58",70,96.8,44.9,24.2,41.7,28.8,82.6,42.2,18.5,12.8,51.0,-15.0,-12.5,141.0,107.0,109.5,107.83333333333334,108.59090909090908,76.9,78.0,77.2666666666667,77.6,20201127,111.0,92.0,19.0,106.6,97.2,9.399999999999991,111.0,90.4,20.62,70.5,-14.590034075773133,146.69348187132508,72.9068278805121,-11.619067677499302,153.74855908970892,-19.25744696242449,153.74855908970892,-11.619067677499302,153.74855908970892,-19.25744696242449,118.93761627444889,103.6,97.4,6.15,72.7,111.0,92.0,19.0,106.6,97.2,9.399999999999991,-19.25744696242449,118.93761627444889,0,104.67445190264131,92.36501994838942,12.309431954251892,21.79679300080863,0.0,0.0,0.0,0.0,2020-11-27,0.0,0.0,,0.0,7.379999999999999,18.65,11.27,11.27,7.379999999999999,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,9.946666666666669,,11.77,9.325,11.27,1,1.0,1,1,1,3,3.0,0.0
14.0,41,34.0,34.311111111111124,32.95619834710743,111.5,108.5,69.7,74.5,Sun 11-29 11-29,N,17 (I-A),Texas Tech,"W, 64-53",66,96.7,42.1,21.2,39.4,36.8,80.1,43.5,27.2,32.4,52.2,-11.0,3.0,128.0,109.25,107.0,109.05555555555556,109.11983471074379,73.30000000000003,76.9,74.74444444444447,76.16363636363636,20201129,107.9,88.3,19.600000000000012,110.5,86.7,23.8,110.6,90.2,20.39,70.7,3.1870907352285514,139.39063718279158,72.2085348506401,2.9699658594651197,141.12233380579323,2.8428046083194256,141.12233380579323,2.9699658594651197,141.12233380579323,2.8428046083194256,122.73402055930703,110.0,85.7,24.31,71.8,107.9,88.3,19.600000000000012,110.5,86.7,23.8,2.8066137625015735,122.71604278960787,0,103.29377496399175,87.68452875988984,15.609246204101908,23.0853446981815,104.39398241412457,90.50161118717422,13.892371226950345,19.097794611100326,2020-11-29,-1.4362925797219646,136.6174711982349,-2.8793514943167224,136.6174711982349,20.61,39.26,13.73,18.65,25.529999999999998,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,13.921111111111124,13.61,9.946666666666669,13.08666666666667,9.325,1,1.0,1,1,1,3,3.0,3.0
2.0,10,26.866666666666664,26.240740740740748,28.800525920360627,107.8,107.93333333333334,97.7,81.06666666666666,Sat 12-05 12-05,H,126 (Ⅲ),South Carolina,"W, 77-67",70,109.4,41.8,12.8,32.4,69.1,95.2,50.0,27.0,32.4,58.0,12.5,-8.0,131.5,108.525,109.25,108.63703703703706,108.87986476333583,85.5,73.30000000000003,82.39629629629631,80.0793388429752,20201205,108.1,86.5,21.599999999999994,100.4,92.4,8.0,110.3,88.5,21.81,69.4,-10.794414826981694,141.7092444859769,73.44751066856332,-13.715236406949124,140.48407140881363,-29.04650223859421,140.48407140881363,-13.715236406949124,140.48407140881363,-29.04650223859421,127.8915451225603,104.1,92.0,12.1,74.4,108.1,86.5,21.599999999999994,100.4,92.4,8.0,-29.209664135512327,127.96929635634704,0,110.00859427947212,80.17674517422036,29.831849105251763,38.33247715914942,88.24267083022673,99.07746534747378,-10.834794517247047,-7.3065908234320585,2020-12-05,-32.494190701487746,135.76789267303914,-35.896318000729366,135.76789267303914,-11.809999999999999,27.45,22.240000000000002,39.26,5.209999999999997,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,4.430740740740749,5.056666666666665,13.921111111111124,6.862500000000001,13.08666666666667,1,1.0,1,1,1,3,3.0,3.0
-0.5,18,23.43333333333333,23.627160493827173,26.90952120756779,116.2,111.83333333333331,97.8,88.39999999999998,Sun 12-20 12-20,H,334 (Ⅳ),Alcorn St.,"W, 88-55",67,131.2,54.5,14.9,52.5,42.4,82.0,41.5,23.9,27.0,57.4,4.5,-33.5,138.5,112.3625,108.525,111.15802469135805,110.21079844272933,91.65,85.5,87.53086419753087,83.30127723516152,20201220,109.8,88.3,21.5,94.1,110.7,-16.60000000000001,111.6,89.7,21.85,69.0,-31.78582626337007,141.36269203795788,70.86486486486487,-32.04294206380338,149.17782681709895,-49.06361336968916,149.17782681709895,-32.04294206380338,149.17782681709895,-49.06361336968916,137.05901293153553,89.1,107.0,-17.83,72.2,109.8,88.3,21.5,94.1,110.7,-16.60000000000001,-49.19710449490276,136.9727568038951,0,111.17558424362663,83.67591252295664,27.499671720669994,34.87689240895938,90.29512159274657,106.09682686610508,-15.801705273358507,-2.8655628373991036,2020-12-20,-34.67429621766372,141.18681918902797,-29.047943119422897,141.18681918902797,-3.8500000000000014,23.599999999999998,23.976666666666667,27.45,-0.3766666666666687,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1.7771604938271715,1.5833333333333286,4.430740740740749,4.719999999999999,6.862500000000001,1,1.0,-1,1,1,1,3.0,3.0
9.5,36,21.7,27.951440329218112,28.67142644255545,113.5,112.5,76.9,90.8,Tue 12-22 12-22,H,122 (Ⅳ),Temple,"W, 76-50",68,112.6,56.9,26.7,46.9,25.9,74.1,34.4,28.1,24.3,55.6,-12.0,-16.5,138.0,112.93125,112.3625,111.93868312757203,110.8088350895058,84.275,91.65,83.98724279835392,82.13740864695033,20201222,110.2,89.0,21.200000000000006,95.0,98.2,-3.200000000000003,112.1,90.0,22.06,68.4,-17.64255972073464,138.4949354084281,70.24864864864867,-20.897111296881576,139.08176965684396,-14.042272241854233,139.08176965684396,-20.897111296881576,139.08176965684396,-14.042272241854233,126.06970485020334,98.8,96.9,1.9,72.2,110.2,89.0,21.200000000000006,95.0,98.2,-3.200000000000003,-14.012984404741495,126.09912018474824,0,111.26257743045844,85.64431994490235,25.618257485556086,29.5110029045418,98.19541002308596,95.49897129172236,2.6964387313635996,3.6864815428263635,2020-12-22,-19.762387607613405,137.31634264425486,-20.434830417683585,137.31634264425486,13.940000000000001,37.54,23.85111111111111,23.599999999999998,13.68888888888889,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,5.8914403292181134,-0.35999999999999943,1.7771604938271715,6.256666666666664,4.719999999999999,1,1.0,1,1,1,3,1.0,3.0
1.5,15,23.6,23.900960219478744,26.331167089363557,100.3,110.0,84.5,86.40000000000002,Sat 12-26 12-26,A,93 (Ⅱ),UCF,"W, 63-54",63,99.5,43.0,15.8,22.9,52.0,85.3,39.5,26.8,35.5,65.1,-20.5,-7.5,137.5,106.615625,112.93125,108.059122085048,108.89813780050474,84.3875,84.275,84.15816186556928,82.56697071114118,20201226,110.6,88.5,22.099999999999994,102.9,96.0,6.900000000000006,112.6,89.7,22.92,67.8,-5.842956943479834,133.47578723450158,67.31778093883356,-6.614276076400984,135.77876819252685,-2.5973742862759024,135.77876819252685,-6.614276076400984,135.77876819252685,-2.5973742862759024,128.2268522065384,103.3,95.0,8.31,69.8,110.6,88.5,22.099999999999994,102.9,96.0,6.900000000000006,-3.119205264366477,127.19329442933609,0,111.19357728807208,84.67541798296006,26.51815930511202,30.11403805908257,106.18082069438124,95.26860635052593,10.912214343855311,10.177464783028146,2020-12-26,-7.2718785766812815,134.79470270036657,-11.156234019713963,134.79470270036657,-7.920000000000002,29.619999999999997,28.414074074074072,37.54,1.205925925925925,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0.9809602194787423,0.6799999999999997,5.8914403292181134,4.231428571428573,6.256666666666664,1,1.0,1,1,1,3,3.0,1.0
-10.5,4,19.0,17.467306812985832,22.380045800388366,103.4,105.73333333333332,98.8,86.73333333333333,Tue 12-29 12-29,A,128 (Ⅱ),Tulsa,"L, 65-64",65,98.3,39.3,16.9,38.1,55.4,99.9,49.0,21.5,26.7,45.8,3.0,-9.5,126.0,105.0078125,106.615625,106.50608139003202,107.89847638223114,91.59375,84.3875,89.03877457704618,85.51843058184278,20201229,110.1,88.3,21.8,99.6,93.2,6.399999999999992,112.3,89.0,23.24,67.2,-5.2013754441578826,124.52555295997777,64.61906116642959,-6.187018015118149,126.07023653191499,-7.365969859445108,126.07023653191499,-6.187018015118149,126.07023653191499,-7.365969859445108,115.5582949882813,101.4,92.4,8.97,67.6,110.1,88.3,21.8,99.6,93.2,6.399999999999992,-9.747139831919183,116.58757284203733,0,109.2777886154342,85.14351417774428,24.134274437689925,27.292397698457886,96.1342121053357,94.2610212756207,1.873190829715,2.2922806770061426,2020-12-29,-10.594368934194414,122.1696255465242,-14.077864417296183,122.1696255465242,-19.24,10.379999999999999,28.81604938271605,29.619999999999997,-18.43604938271605,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,-5.772693187014166,-4.239999999999998,0.9809602194787423,1.2974999999999994,4.231428571428573,-1,1.0,-1,1,1,-1,3.0,3.0
12.0,27,15.933333333333335,20.778204541990558,23.2927647457723,112.5,105.4,85.1,89.4666666666667,Sun 1-03 1-03,A,62 (I),SMU,"W, 74-60",68,109.1,44.5,17.7,45.0,31.3,88.5,45.6,20.6,27.0,26.3,-1.0,-2.0,135.0,108.75390625,105.0078125,108.50405426002136,108.73511704000728,88.346875,91.59375,87.7258497180308,85.44235229423501,20210103,110.3,89.2,21.099999999999994,110.1,98.4,11.699999999999989,112.2,89.6,22.66,67.1,-0.7973807704251072,137.43644425670828,67.38634423897581,-3.133902033189756,142.56704716032368,0.12579572813285686,142.56704716032368,-3.133902033189756,142.56704716032368,0.12579572813285686,133.39085400296855,110.6,94.5,16.11,70.6,110.3,89.2,21.099999999999994,110.1,98.4,11.699999999999989,-3.3288753700036366,131.11568891885116,0,106.55116630237005,86.20295933097073,20.34820697139932,25.569565795563484,104.0314980235934,95.67070375485669,8.360794268736711,13.96889242884801,2021-01-03,-4.761879334606078,132.08312468583136,-5.557442748320355,132.08312468583136,4.34,14.719999999999999,22.67069958847737,10.379999999999999,-7.95069958847737,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,-1.8817954580094423,-6.726666666666665,-5.772693187014166,1.6355555555555554,1.2974999999999994,-1,-1.0,-1,1,1,-1,-1.0,3.0
-4.0,15,15.933333333333335,19.118803027993707,21.930443882904605,107.7,107.86666666666666,91.9,91.93333333333337,Wed 1-06 1-06,H,65 (Ⅱ),Wichita St.,"W, 70-63",66,105.4,44.2,15.1,35.7,40.0,94.8,40.7,16.6,31.8,37.3,-1.5,-11.0,134.5,108.226953125,108.75390625,108.23603617334757,108.54691394182413,90.1234375,88.346875,89.11723314535385,86.61647005891953,20210106,110.2,88.8,21.400000000000006,108.5,98.2,10.299999999999997,112.6,89.0,23.65,66.7,-13.238421762598755,133.07882574792453,64.80241820768137,-11.6977544402638,136.22163657615948,-11.780816004214735,136.22163657615948,-11.6977544402638,136.22163657615948,-11.780816004214735,132.22546953392498,107.4,98.0,9.41,68.3,110.2,88.8,21.400000000000006,108.5,98.2,10.299999999999997,-14.64036398689681,131.45823706806976,0,105.87792765374078,86.5013675569725,19.376560096768287,22.33052028734873,105.9789697658366,98.51456610036188,7.46440366547472,3.6740224509138,2021-01-06,-12.04556944092564,130.52763440755064,-14.14025147622408,130.52763440755064,-8.649999999999999,6.07,20.020466392318248,14.719999999999999,-13.950466392318248,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,-4.531196972006292,-7.716666666666663,-1.8817954580094423,0.6069999999999993,1.6355555555555554,-1,-1.0,-1,1,1,-1,-1.0,-1.0
