ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,PPP1,EFG%1,TO%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
3.5,9,,9.0,9.0,107.6,0.0,98.6,0.0,Sat 12-12 12-12,A,21 (I-A),Purdue,"L, 80-68",72,95.0,50.0,18.2,111.8,61.1,26.5,11.0,15.5,137.0,107.6,0.0,107.6,107.6,98.6,0.0,98.6,98.6,20201212,105.7,97.5,8.200000000000003,105.6,91.3,14.299999999999995,102.1,99.8,2.28,71.0,15.214948070079728,140.654414407888,70.09103840682789,8.638127665036876,143.2380501630008,8.02331060583695,143.2380501630008,8.638127665036876,143.2380501630008,8.02331060583695,143.23707793987168,108.9,90.6,18.26,69.4,105.7,97.5,8.200000000000003,105.6,91.3,14.299999999999995,7.903576868945513,143.3557652448576,0,0.0,0.0,0.0,0.0,108.46245253494044,101.14574284753937,7.316709687401072,12.191470538900653,2020-12-12,-0.0,0.0,,0.0,6.720000000000001,6.720000000000001,0.0,0.0,6.720000000000001,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,6.720000000000001,,0.0,6.720000000000001,0.0,1,0.0,1,1,1,3,0.0,0.0
-4.5,-10,,2.5666666666666687,5.490909090909091,97.8,0.0,108.1,0.0,Tue 12-15 12-15,A,41 (I),Saint Louis,"L, 78-59",66,89.2,41.5,18.1,117.9,61.7,18.1,-8.5,14.5,145.5,102.7,107.6,104.33333333333331,105.8181818181818,103.35,98.6,101.76666666666668,100.32727272727271,20201215,105.7,98.1,7.600000000000008,111.3,91.7,19.599999999999994,102.5,100.0,2.43,71.4,14.558829166877729,142.16779152634913,70.79061166429587,13.060261205889915,149.56177118523243,18.894760935328627,149.56177118523243,13.060261205889915,149.56177118523243,18.894760935328627,151.74082507685875,108.2,90.9,17.27,69.7,105.7,98.1,7.600000000000008,111.3,91.7,19.599999999999994,18.83614940794624,151.78943912608932,0,97.68390236526058,100.334113817818,-2.6502114525574143,-6.470303907257673,114.70222306995024,91.19251242684469,23.50971064310555,32.964957027397425,2020-12-15,22.979232287379695,148.43057515756672,30.16117973168285,148.43057515756672,-12.43,-5.709999999999999,6.720000000000001,6.720000000000001,-12.43,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0.1366666666666685,,6.720000000000001,-2.855,6.720000000000001,1,1.0,-1,-1,1,-1,3.0,0.0
6.5,14,4.233333333333333,6.377777777777778,7.0380165289256205,87.1,97.5,73.1,93.26666666666664,Sat 12-19 12-19,H,141 (Ⅳ),Ball St.,"W, 67-57",77,86.5,41.8,24.5,73.6,40.5,25.8,-16.5,-3.5,140.5,94.9,102.7,98.58888888888887,102.41487603305784,88.225,103.35,92.21111111111112,95.3768595041322,20201219,105.4,98.7,6.700000000000002,98.5,97.5,1.0,102.6,100.7,1.89,70.1,-3.1566111509569055,141.5652185278811,70.19971550497867,-8.007453429398907,143.80959953766953,-4.034172282256759,143.80959953766953,-8.007453429398907,143.80959953766953,-4.034172282256759,146.82631910291826,101.2,98.2,2.95,70.4,105.4,98.7,6.700000000000002,98.5,97.5,1.0,-4.1208740269450255,146.77697574929,0,99.5630535457572,100.70945541021385,-1.1464018644566494,-4.531227348517339,98.9521239769928,103.05742017767416,-4.105296200681366,-2.8208232609586066,2020-12-19,-6.190398802212002,145.39340625672207,-0.6926375701247736,145.39340625672207,12.11,6.4,2.5766666666666684,-5.709999999999999,3.823333333333332,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,4.4877777777777785,2.3433333333333337,0.1366666666666685,2.1333333333333333,-2.855,1,1.0,1,1,-1,3,-1.0,3.0
-6.0,3,2.300000000000002,5.31851851851852,6.3401953418482355,99.0,94.63333333333333,95.8,92.33333333333331,Tue 12-22 12-22,H,277 (Ⅳ),Southeast Missouri St.,"W, 72-66",72,99.7,47.8,20.8,91.4,46.2,26.3,-3.0,-12.0,141.0,96.95,94.9,98.72592592592594,101.79398948159277,92.0125,88.225,93.40740740740742,95.45379413974452,20201222,104.4,97.3,7.1000000000000085,97.3,109.4,-12.100000000000007,101.8,99.3,2.56,71.0,-15.99429750763214,142.70670133099543,70.09103840682789,-18.215254852402254,150.26109541935728,-14.137590841603611,150.26109541935728,-18.215254852402254,150.26109541935728,-14.137590841603611,138.74931266252855,94.1,108.7,-14.58,69.4,104.4,97.3,7.1000000000000085,97.3,109.4,-12.100000000000007,-12.173592324550656,137.5261445737599,0,93.42898349479613,94.94546091358858,-1.516477418792448,-2.424038220343705,97.81321251438757,102.47645714118141,-4.6632446267938406,-8.712153348710514,2020-12-22,-5.8499214063312905,135.38004351356193,-6.260677652744178,135.38004351356193,0.43999999999999995,6.84,3.8511111111111127,6.4,2.988888888888887,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,2.7585185185185197,-0.259999999999998,4.4877777777777785,1.71,2.1333333333333333,1,1.0,1,1,1,3,3.0,-1.0
-15.0,-11,2.0333333333333363,-0.15432098765431768,3.169250734239465,95.9,94.0,107.0,91.96666666666664,Sun 12-27 12-27,H,80 (Ⅱ),Drake,"L, 81-63",68,92.2,45.9,17.6,118.5,61.5,19.0,-2.0,3.0,146.0,96.425,96.95,97.78395061728395,100.72235503039408,99.50625,92.0125,97.93827160493828,97.5531042961546,20201227,103.6,97.1,6.5,106.2,97.0,9.200000000000003,101.5,99.6,1.85,71.3,0.47569383875533333,145.0915982325945,71.19857752489331,-2.237783555808818,148.2752035906584,3.317811775349275,148.2752035906584,-2.237783555808818,148.2752035906584,3.317811775349275,139.33063560860273,106.1,97.8,8.27,70.2,103.6,97.1,6.5,106.2,97.0,9.200000000000003,3.338351570055948,140.79085874555776,0,92.47280322109457,96.60029071202452,-4.127487490929951,-4.506962358554773,112.59374310474199,96.2476126899066,16.346130414835386,21.775687966346997,2020-12-27,10.363874324610151,143.6688851628336,16.547181778622843,143.6688851628336,-12.85,-6.01,4.847407407407409,6.84,-10.857407407407408,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,-2.0043209876543178,0.18333333333333623,2.7585185185185197,-1.202,1.71,-1,1.0,-1,-1,1,-3,3.0,3.0
-2.0,4,-1.1333333333333304,1.397119341563788,3.411205146195926,104.0,99.63333333333333,99.5,100.76666666666664,Mon 12-28 12-28,H,80 (Ⅱ),Drake,"L, 73-66",66,100.0,56.0,25.8,110.6,50.9,18.2,-2.5,5.0,141.5,100.2125,96.425,99.85596707818931,101.31829047941332,99.503125,99.50625,98.45884773662551,97.90708533321741,20201228,107.8,99.6,8.200000000000003,104.9,100.6,4.300000000000011,101.5,99.6,1.85,71.3,0.47569383875533333,145.0915982325945,71.19857752489331,-7.231829372149278,155.19554608535486,8.059576761804188,155.19554608535486,-7.231829372149278,155.19554608535486,8.059576761804188,141.44763898987853,106.1,97.8,8.27,70.2,107.8,99.6,8.200000000000003,104.9,100.6,4.300000000000011,6.5855340175186425,142.9478591648355,0,92.4603711192844,97.02029392406986,-4.559922804785458,-8.219469267811215,112.76866619496492,96.30662841883095,16.46203777613397,19.787237459882906,2020-12-28,10.786998103547504,144.1558143955138,17.83151142133194,144.1558143955138,2.15,-3.86,1.2282716049382731,-6.01,-5.088271604938273,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,-0.45288065843621217,-2.9833333333333307,-2.0043209876543178,-0.6433333333333331,-1.202,-1,-1.0,-1,-1,-1,-3,-3.0,3.0
-6.5,-14,-6.9999999999999964,-3.8685871056241385,0.17280421052394068,95.9,98.59999999999998,110.3,105.59999999999998,Sat 1-02 1-02,A,110 (Ⅱ),Missouri St.,"L, 84-74",76,97.6,44.7,18.5,110.8,65.5,23.7,13.0,3.5,145.0,98.05625,100.2125,98.53731138545956,100.33314675588363,104.9015625,99.503125,102.40589849108368,100.16034254535971,20210102,103.3,98.6,4.700000000000003,106.7,99.9,6.799999999999998,101.1,100.9,0.19,70.7,6.044205737069859,146.90840053822717,71.30341394025605,5.722170298542892,152.07724136488937,7.491545664529252,152.07724136488937,5.722170298542892,152.07724136488937,7.491545664529252,145.51109277795885,103.9,101.0,2.95,70.9,103.3,98.6,4.700000000000003,106.7,99.9,6.799999999999998,6.047462885354258,147.06267246047227,0,93.358048547561,96.02853223618393,-2.6704836886229373,-6.993360065826282,104.21024170246498,97.93562321391516,6.2746184885498195,10.582052230958922,2021-01-02,10.214731051493871,139.88321153650037,14.564188612424232,139.88321153650037,-14.19,-18.05,-0.46781893004115116,-3.86,-17.58218106995885,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,-4.058587105624139,-7.189999999999997,-0.45288065843621217,-2.5785714285714283,-0.6433333333333331,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-0.5,4,-1.6999999999999982,-0.9790580704160938,1.0141125358832237,99.0,99.63333333333333,94.2,101.33333333333331,Sun 1-03 1-03,A,110 (Ⅱ),Missouri St.,"L, 70-66",70,94.4,49.0,20.0,100.1,50.0,24.3,-10.5,3.5,146.5,98.528125,98.05625,98.69154092363969,100.09075643663206,99.55078125,104.9015625,99.67059899405581,99.07664390074885,20210103,103.3,98.5,4.799999999999997,106.5,99.7,6.799999999999998,101.1,100.9,0.2,70.7,6.096693828333997,146.424452344635,71.1022759601707,5.6254329903416505,151.28671972361064,10.648508815432972,151.28671972361064,5.6254329903416505,151.28671972361064,10.648508815432972,145.33634748478673,103.9,100.9,2.98,70.7,103.3,98.5,4.799999999999997,106.5,99.7,6.799999999999998,11.009200676171103,147.91325263758208,0,93.60944336166156,96.55913811546866,-2.949694753807094,-5.769680097730984,105.77299064211563,99.34882282247129,6.424167819644339,10.701144197979907,2021-01-03,10.619202181354296,142.15108914213195,13.751084035524087,142.15108914213195,3.8,-14.25,-6.328545953360767,-18.05,-7.921454046639233,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,-1.1790580704160938,-1.8999999999999981,-4.058587105624139,-1.7812499999999998,-2.5785714285714283,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
13.0,19,3.3000000000000016,5.847294619722604,4.375182983904455,119.1,104.66666666666669,99.6,101.36666666666665,Sun 1-10 1-10,H,22 (I),Loyola Chicago,"W, 76-71",71,107.6,52.0,17.0,100.5,50.9,21.2,10.5,8.0,136.5,108.8140625,98.528125,105.49436061575979,103.5469825390626,99.575390625,99.55078125,99.6470659960372,99.17179955515812,20210110,102.6,99.1,3.5,109.3,94.4,14.899999999999993,101.1,101.1,0.0,71.0,7.308191126126857,137.42274918205766,68.07112375533428,3.9876862499738053,142.8544394311469,10.466664279254127,142.8544394311469,3.9876862499738053,142.8544394311469,10.466664279254127,138.48629451907382,108.7,92.4,16.34,67.4,102.6,99.1,3.5,109.3,94.4,14.899999999999993,7.006305456558632,135.9743251246705,0,94.91354733933836,96.13459441347895,-1.2210470741405857,-4.342644532999877,105.93317793184505,97.31743407587996,8.615743855965093,10.57536641925845,2021-01-10,2.813369099369808,135.24684600517446,8.18946865839743,135.24684600517446,19.0,4.75,-8.969030635573844,-14.25,13.719030635573844,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,5.847294619722604,3.3000000000000016,-1.1790580704160938,0.5277777777777779,-1.7812499999999998,1,-1.0,1,1,-1,3,-3.0,-3.0
-2.0,6,10.333333333333334,6.131529746481737,4.797876986830918,102.3,106.8,95.6,96.46666666666664,Mon 1-11 1-11,H,22 (I),Loyola Chicago,"L, 58-48",56,85.6,43.3,21.4,103.4,48.9,17.8,-31.0,8.0,137.0,105.55703125,108.8140625,104.42957374383987,103.3202584410512,97.5876953125,99.575390625,98.29804399735815,98.5223814542203,20210111,102.6,99.0,3.5999999999999943,109.3,94.7,14.599999999999996,101.5,101.4,0.09,70.7,7.082354249159977,137.8636347987038,67.78349928876246,3.677782876658668,142.4140250615921,8.110084095121055,142.4140250615921,3.677782876658668,142.4140250615921,8.110084095121055,141.04696281041632,109.0,92.9,16.15,67.4,102.6,99.0,3.5999999999999943,109.3,94.7,14.599999999999996,4.6844722744570735,137.77717908351138,0,97.14480239545306,95.28469099628838,1.8601113991646798,0.3520516648135553,105.06003828598236,98.96502433138143,6.09501395460093,9.915415960904825,2021-01-11,-1.0605295481274908,136.21524165089335,4.487009905706685,136.21524165089335,5.91,10.66,-4.396020423715897,4.75,15.056020423715896,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,6.0415297464817375,10.243333333333334,5.847294619722604,1.066,0.5277777777777779,1,1.0,1,1,1,3,3.0,-3.0
