ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,PPP1,EFG%1,TO%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
1.5,9,,9.799999999999997,9.799999999999997,124.8,0.0,115.0,0.0,Wed 11-25 11-25,H,328 (Ⅳ),North Carolina Central,"W, 97-67",69,140.7,56.1,13.1,97.2,47.4,21.8,17.5,-28.5,146.5,124.8,0.0,124.8,124.8,115.0,0.0,115.0,115.0,20201125,117.8,99.5,18.3,96.8,107.6,-10.799999999999995,113.2,92.0,21.23,73.5,-26.99698271942634,146.21767975955373,73.60455192034141,-27.60031960369308,168.48512151443526,-12.132573704798403,168.48512151443526,-27.60031960369308,168.48512151443526,-12.132573704798403,192.92879558982673,91.0,101.6,-10.66,70.4,117.8,99.5,18.3,96.8,107.6,-10.799999999999995,-12.132573704798403,192.92879558982673,0,112.278803,104.8343493,7.444453699999997,11.36773478,108.3622409,106.5014199,1.8608210000000014,1.476341764,2020-11-25,-9.409466653347664,175.5774269930498,-9.473796511715534,175.5774269930498,-12.23,-12.23,0.0,0.0,-12.23,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-11.430000000000003,,0.0,-12.23,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
-1.5,19,,13.0,11.545454545454545,130.8,0.0,111.4,0.0,Fri 11-27 11-27,H,301 (Ⅳ),Southern,"W, 103-76",76,134.9,64.5,13.1,99.5,43.6,20.9,23.5,-28.5,155.5,127.8,124.8,126.8,125.89090909090908,113.2,115.0,113.8,114.34545454545454,20201127,117.8,99.5,18.3,100.5,103.9,-3.4000000000000057,114.7,93.2,21.54,73.2,-25.682902965890534,151.51945664510157,74.24125177809388,-21.7178002844083,169.21946591158326,-31.40231105066185,169.21946591158326,-21.7178002844083,169.21946591158326,-31.40231105066185,188.32454976691847,94.0,101.7,-7.63,71.3,117.8,99.5,18.3,100.5,103.9,-3.4000000000000057,-31.40231105066185,188.32454976691847,0,112.27880295134449,104.83434934403492,7.444453607309569,11.36773478468584,96.0177595252641,105.32303411198086,-9.305274586716763,-10.631993409340511,2020-11-27,-18.00121822146643,166.47950713545237,-18.419275779306716,166.47950713545237,-2.539999999999999,-14.77,-12.23,-12.23,-2.539999999999999,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,-8.54,,-11.430000000000003,-7.384999999999998,-12.23,-1,-1.0,-1,-1,-1,-3,-3.0,0.0
10.0,26,18.666666666666668,17.6,14.319008264462806,106.5,120.7,79.7,102.03333333333336,Thu 12-03 12-03,H,285 (Ⅳ),Western Illinois,"W, 99-58",83,119.7,52.9,13.3,70.1,33.8,16.9,4.0,-31.0,153.0,117.15,127.8,120.03333333333336,122.36528925619831,96.45,113.2,102.43333333333337,108.04628099173551,20201203,115.8,96.9,18.899999999999988,86.7,108.9,-22.200000000000006,115.6,93.9,21.66,73.6,-35.88408958737114,158.44765242780613,74.96102418207681,-36.7463760622817,161.83893505688246,-25.38609653969341,161.83893505688246,-36.7463760622817,161.83893505688246,-25.38609653969341,157.08698075767379,90.0,109.6,-19.68,71.6,115.8,96.9,18.899999999999988,86.7,108.9,-22.200000000000006,-25.416731751381747,157.1180346955704,0,113.55881249312556,104.1971629367076,9.361649556417959,11.109719691993268,0.0,0.0,0.0,0.0,2020-12-03,0.0,0.0,,0.0,4.34,-10.43,-13.076666666666668,-14.77,2.6466666666666683,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,-4.059999999999999,-2.9933333333333323,-8.54,-3.476666666666663,-7.384999999999998,-1,-1.0,1,-1,-1,-1,-3.0,-3.0
9.0,31,26.03333333333333,22.36666666666667,17.51555221637866,129.2,122.16666666666669,97.3,96.13333333333334,Tue 12-08 12-08,H,47 (Ⅱ),North Carolina,"W, 93-80",79,118.4,55.9,14.0,101.8,52.3,22.9,17.0,-4.0,156.0,123.175,117.15,123.08888888888892,123.60796393688952,96.875,96.45,100.72222222222223,106.09241172051088,20201208,115.7,96.8,18.900000000000006,107.8,89.1,18.700000000000006,115.4,93.6,21.76,74.4,-4.0196111402919,155.74860453600843,77.15163584637271,-3.580605395913423,163.3787663523687,-4.810127248592459,163.3787663523687,-3.580605395913423,163.3787663523687,-4.810127248592459,158.8575153209837,108.6,87.7,20.98,72.9,115.7,96.8,18.900000000000006,107.8,89.1,18.700000000000006,-4.818449791660655,158.80850067731305,0,111.78029755156523,99.51655699425966,12.263740557305567,16.26164621065023,101.13859216301864,90.41161585743991,10.72697630557873,12.738042724593608,2020-12-08,-4.77331296791084,158.90428061225487,-5.191995815585514,158.90428061225487,9.239999999999998,-1.1900000000000013,-12.194444444444446,-10.43,11.004444444444445,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.6066666666666691,4.27333333333333,-4.059999999999999,-0.29749999999999943,-3.476666666666663,1,-1.0,1,-1,-1,1,-1.0,-3.0
15.0,28,29.099999999999994,24.444444444444446,19.530906358855265,141.5,125.73333333333332,112.9,96.63333333333335,Fri 12-11 12-11,H,146 (Ⅳ),Iowa St.,"W, 105-77",72,145.7,62.5,9.7,106.8,53.9,23.6,23.5,-13.0,158.5,132.3375,123.175,129.22592592592594,126.8610614029096,104.8875,96.875,104.78148148148149,107.33015504405435,20201211,116.8,96.8,20.0,106.0,98.9,7.099999999999994,116.5,93.9,22.58,74.8,-12.797171007859887,161.3010681393102,76.39601706970127,-14.834538524756269,170.4644194483795,-31.60255009253638,170.4644194483795,-14.834538524756269,170.4644194483795,-31.60255009253638,168.62223670141978,107.0,95.6,11.38,71.8,116.8,96.8,20.0,106.0,98.9,7.099999999999994,-31.332394879435974,168.7592373218522,0,118.08060776580471,98.86254753113306,19.218060234671654,24.96251583469527,93.99553904081706,98.75396729673906,-4.758428255921999,-13.148484078948323,2020-12-11,-23.05431137399836,163.99967770397492,-31.380730773447013,163.99967770397492,5.420000000000002,4.23,-8.526296296296298,-1.1900000000000013,12.756296296296298,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1.8644444444444481,6.519999999999996,0.6066666666666691,0.8460000000000036,-0.29749999999999943,1,1.0,1,1,-1,3,1.0,-1.0
23.5,38,33.066666666666656,29.196296296296293,23.016196111790663,125.6,132.1,86.9,99.03333333333336,Sun 12-13 12-13,H,325 (Ⅳ),Northern Illinois,"W, 106-53",73,144.4,64.4,10.9,72.2,35.7,24.5,8.5,-29.5,150.5,128.96875,132.3375,128.0172839506173,126.63177751147148,95.89375,104.8875,98.82098765432102,103.6155813996808,20201213,117.8,99.5,18.3,98.1,102.7,-4.6000000000000085,118.2,94.4,23.85,74.5,-28.51528927355703,151.42387258880865,71.74466571834994,-21.643658404907796,160.90817090538508,-39.16997127762979,160.90817090538508,-21.643658404907796,160.90817090538508,-39.16997127762979,170.00953554046248,93.8,103.7,-9.94,67.7,117.8,99.5,18.3,98.1,102.7,-4.6000000000000085,-38.994989160021014,170.24102906938168,0,123.05837172115817,99.20362857162128,23.854743149536887,33.39086564214699,90.93438374547979,114.24033908397396,-23.305955338494172,-26.51141114595736,2020-12-13,-41.71097795105554,170.4185390054207,-45.05463786226152,170.4185390054207,14.149999999999999,18.38,-4.274197530864199,4.23,22.6541975308642,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,5.346296296296291,9.216666666666654,1.8644444444444481,3.0633333333333326,0.8460000000000036,1,1.0,1,1,1,3,3.0,1.0
-6.5,20,29.16666666666666,26.19753086419753,22.50416045510145,116.5,127.86666666666666,96.3,98.70000000000003,Sat 12-19 12-19,N,1 (I-A),Gonzaga,"L, 99-88",85,103.7,49.3,14.1,116.6,60.7,21.2,17.5,4.5,169.5,122.734375,128.96875,124.1781893004115,124.7896361457494,96.096875,95.89375,97.98065843621401,102.28547569064793,20201219,119.4,97.6,21.800000000000008,117.8,90.7,27.099999999999994,118.8,94.4,24.41,74.1,4.789752513110116,171.70606237999192,79.68648648648647,5.427071345972834,181.4729102164851,5.107632659433652,181.4729102164851,5.427071345972834,181.4729102164851,5.107632659433652,188.8292262018104,117.9,88.6,29.31,75.6,119.4,97.6,21.800000000000008,117.8,90.7,27.099999999999994,7.765135189979841,191.54595875421052,0,123.58882119190837,99.16615799241976,24.42266319948861,35.813961554831636,120.30767965336071,94.92869676231594,25.37898289104477,24.956927203575603,2020-12-19,1.6119843649219803,192.329622158502,-8.651589211146828,192.329622158502,-4.41,13.969999999999999,3.2772016460905333,18.38,10.692798353909465,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1.7875308641975316,4.756666666666661,5.346296296296291,1.9957142857142856,3.0633333333333326,1,1.0,1,1,1,3,3.0,3.0
8.0,37,32.1,29.931687242798358,25.212494917810282,116.7,119.59999999999998,79.3,87.50000000000004,Tue 12-22 12-22,H,21 (I),Purdue,"W, 70-55",65,108.5,53.6,17.0,85.2,46.6,21.7,-30.5,-7.0,155.5,119.7171875,122.734375,121.6854595336077,123.3187932101586,87.69843750000003,96.096875,91.75377229080935,98.10629829234828,20201222,119.8,98.3,21.5,108.7,92.3,16.400000000000006,119.3,95.2,24.13,75.2,-7.702024942654106,158.357736230878,74.02332859174966,-7.422297337448825,164.58435508508154,-12.760456625036133,164.58435508508154,-7.422297337448825,164.58435508508154,-12.760456625036133,158.1136627262791,110.5,91.9,18.6,69.2,119.8,98.3,21.5,108.7,92.3,16.400000000000006,-8.496153859725583,166.77216740788236,0,120.16702647538601,99.43784570399015,20.72918077139586,32.45508395259803,107.06824602501734,100.25455434395676,6.81369168106059,10.61166600616207,2020-12-22,-15.404069646313971,171.99876260106714,-18.688190428429166,171.99876260106714,12.870000000000001,26.84,6.841467764060356,13.969999999999999,19.998532235939642,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,5.801687242798359,7.970000000000002,1.7875308641975316,3.3550000000000004,1.9957142857142856,1,1.0,1,1,1,3,3.0,3.0
-13.5,12,23.23333333333333,23.98779149519891,22.828404932753863,132.5,121.89999999999998,120.4,98.6666666666667,Fri 12-25 12-25,A,61 (I),Minnesota,"L, 102-95 OT",77,123.5,43.6,9.1,132.6,57.5,10.4,32.0,-6.5,165.0,126.10859375,119.7171875,125.2903063557385,124.9881035355843,104.04921875,87.69843750000003,101.30251486053957,102.15969860283043,20201225,119.8,97.3,22.5,106.7,93.8,12.900000000000004,119.5,94.4,25.07,73.9,-2.1981458475273143,167.59621266849646,78.63044096728308,-2.007027621647836,173.2907681322371,-11.631498491390737,173.2907681322371,-2.007027621647836,173.2907681322371,-11.631498491390737,178.77617221877043,108.9,93.4,15.52,74.8,119.8,97.3,22.5,106.7,93.8,12.900000000000004,-4.501925559112542,173.66261783278662,0,119.30047111506184,96.73495184051279,22.565519274549047,33.6223725539324,102.07840071558373,95.19206009107164,6.886340624512087,9.921442193210657,2020-12-25,-7.122200792000484,170.03535635999373,-15.955151999205071,170.03535635999373,-13.07,13.77,13.507645176040237,26.84,0.26235482395976284,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-1.0822085048010912,-1.8366666666666696,5.801687242798359,1.5300000000000011,3.3550000000000004,-1,1.0,1,1,1,1,3.0,3.0
3.5,28,25.86666666666667,25.358527663465942,23.78687676316225,133.9,127.69999999999996,105.8,101.83333333333336,Tue 12-29 12-29,H,75 (Ⅲ),Northwestern,"W, 87-72",68,127.4,57.8,11.7,105.4,53.4,17.6,-2.0,-11.5,161.0,130.004296875,126.10859375,128.16020423715898,126.60844834729623,104.924609375,104.04921875,102.80167657369304,102.82157158413395,20201229,121.2,98.9,22.3,109.4,93.6,15.800000000000011,120.6,96.3,24.31,72.4,-9.938622742215912,157.2722848986176,73.01792318634426,-8.549462577121545,165.5844464488272,-7.7902833648939644,165.5844464488272,-8.549462577121545,165.5844464488272,-7.7902833648939644,164.34726249000258,108.3,92.8,15.47,70.9,121.2,98.9,22.3,109.4,93.6,15.800000000000011,-6.254878097822508,162.19862650708714,0,117.99564922599345,100.2473777315463,17.748271494447152,28.81113144973245,108.13081546484987,93.61116361092795,14.519651853921928,20.51893291129552,2020-12-29,-6.111272153016785,163.43901068746382,-8.60357004751343,163.43901068746382,3.6900000000000013,17.46,13.595096784026826,13.77,3.8649032159731753,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1.0485276634659435,1.556666666666672,-1.0822085048010912,1.7460000000000022,1.5300000000000011,1,-1.0,1,1,1,3,1.0,3.0
