ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,PPP1,EFG%1,TO%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-4.5,-7,,-7.0,-7.0,98.5,0.0,105.5,0.0,Tue 12-08 12-08,A,56 (Ⅱ),Mississippi St.,"L, 82-59",71,82.9,46.2,25.3,115.2,50.8,19.7,7.0,18.5,134.0,98.5,0.0,98.5,98.5,105.5,0.0,105.5,105.5,20201208,92.8,99.2,-6.400000000000006,103.3,96.1,7.200000000000002,89.8,101.0,-11.24,71.2,17.52515851934676,131.98524044797767,68.7692745376956,13.141064615410443,135.2461836448558,15.252367263040394,135.2461836448558,13.141064615410443,135.2461836448558,15.252367263040394,142.71484169472237,105.2,95.8,9.45,67.9,92.8,99.2,-6.400000000000006,103.3,96.1,7.200000000000002,15.223622592663066,142.7792891281103,0,0.0,0.0,0.0,0.0,106.16933674312418,99.7035212748128,6.465815468311376,2.604889893585219,2020-12-08,-0.0,0.0,,0.0,4.24,4.24,0.0,0.0,4.24,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,4.24,,0.0,4.24,0.0,1,0.0,1,1,1,3,0.0,0.0
-13.0,-36,,-16.700000000000006,-12.290909090909093,71.1,0.0,107.2,0.0,Thu 12-10 12-10,A,48 (I),Mississippi,"L, 80-45",71,63.6,32.0,36.7,113.0,54.1,17.0,-12.0,22.0,137.0,84.8,98.5,89.36666666666667,93.5181818181818,106.35,105.5,106.06666666666668,105.80909090909093,20201210,92.6,100.0,-7.400000000000006,108.0,92.7,15.299999999999995,89.8,101.5,-11.67,72.1,23.567963577144752,136.73472516458955,73.0230440967283,20.597124319875704,145.19285648793732,40.72232803507858,145.19285648793732,20.597124319875704,145.19285648793732,40.72232803507858,144.81389000437454,105.7,89.2,16.48,71.2,92.6,100.0,-7.400000000000006,108.0,92.7,15.299999999999995,40.72232803507858,144.81389000437454,0,96.38797718891556,99.28456887268119,-2.896591683765635,1.3766384049745282,0.0,0.0,0.0,0.0,2020-12-10,-0.0,0.0,,0.0,-24.33,-20.089999999999996,4.24,4.24,-24.33,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,-5.0300000000000065,,4.24,-10.045,4.24,-1,1.0,-1,-1,1,-3,3.0,0.0
-12.0,-20,-21.3,-18.066666666666674,-13.83801652892562,86.8,85.46666666666665,107.6,106.76666666666664,Tue 12-15 12-15,A,81 (I),Louisiana Tech,"L, 85-58",76,76.5,42.5,31.6,112.1,53.2,15.8,10.0,15.0,133.0,85.8,84.8,88.51111111111112,92.296694214876,106.975,106.35,106.57777777777778,106.13471074380163,20201215,91.7,100.2,-8.5,100.7,97.4,3.299999999999997,89.6,101.9,-12.26,71.4,15.182832689511258,136.94904152410572,71.60312944523473,12.387261953025146,139.57414853618116,15.679540798809699,139.57414853618116,12.387261953025146,139.57414853618116,15.679540798809699,135.3074795741172,101.9,98.1,3.78,70.5,91.7,100.2,-8.5,100.7,97.4,3.299999999999997,16.400726840189318,134.6821771927947,0,92.87505531561806,103.29977287037264,-10.42471755475458,-3.299089720916539,95.01891281725956,102.82582209040743,-7.806909273147866,-5.665552549570924,2020-12-15,5.915795066208659,141.90840840007394,0.22056068026245157,141.90840840007394,-7.74,-27.83,-3.8699999999999983,-20.089999999999996,-23.96,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,-5.806666666666674,-9.040000000000001,-5.0300000000000065,-9.276666666666666,-10.045,-1,-1.0,-1,-1,-1,-3,-3.0,3.0
-5.0,-25,-27.500000000000004,-20.577777777777786,-15.976558978211873,82.1,80.0,107.7,107.5,Thu 12-17 12-17,A,142 (Ⅲ),Bradley,"L, 83-60",75,79.9,40.2,21.3,110.5,52.6,24.0,10.0,18.0,133.0,83.94999999999997,85.8,86.3740740740741,90.44274981217129,107.3375,106.975,106.95185185185188,106.41930879038314,20201217,91.1,100.9,-9.800000000000011,101.6,95.7,5.899999999999992,89.3,102.4,-13.05,72.3,15.966695859668057,132.66561248461397,70.65448079658606,14.925777826449355,137.47497827157278,23.822061071285418,137.47497827157278,14.925777826449355,137.47497827157278,23.822061071285418,126.73116006462055,100.4,95.6,4.78,68.7,91.1,100.9,-9.800000000000011,101.6,95.7,5.899999999999992,23.678014577862864,126.73778418509015,0,89.62686563233271,104.68243759984892,-15.055571967516215,-7.1622688565664,95.93784872833643,90.66591292481796,5.271935803518474,1.845967022770396,2020-12-17,17.538408845870556,131.76373717602272,8.290460875366136,131.76373717602272,-11.95,-39.78,-11.856666666666666,-27.83,-27.923333333333336,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,-7.527777777777786,-14.450000000000003,-5.806666666666674,-9.945,-9.276666666666666,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
5.5,-16,-20.8,-19.051851851851854,-15.980820982173347,71.3,80.06666666666669,87.3,100.86666666666666,Sun 12-20 12-20,A,146 (Ⅲ),Iowa St.,"L, 60-45",67,67.6,25.9,21.0,90.1,49.0,28.5,-36.0,20.5,141.0,77.625,83.94999999999997,81.3493827160494,86.96224984632194,97.31875,107.3375,100.40123456790127,102.94307082849531,20201220,90.7,101.3,-10.599999999999994,104.7,99.8,4.900000000000006,89.3,102.7,-13.46,73.0,20.43221349622165,144.8008789728977,73.8307254623044,15.88278538559507,148.6836195492884,17.721799165333664,148.6836195492884,15.88278538559507,148.6836195492884,17.721799165333664,142.91604110585897,106.5,97.5,8.93,71.1,90.7,101.3,-10.599999999999994,104.7,99.8,4.900000000000006,17.71432148282735,143.11284450044016,0,90.10921450345266,104.57166116638895,-14.462446662936287,-6.669033973606732,94.10981680762173,103.3901676896433,-9.28035088202158,-15.355578815727513,2020-12-20,8.008098012634093,144.69012736004197,-4.573731801238445,144.69012736004197,-2.539999999999999,-42.32,-21.164444444444445,-39.78,-21.155555555555555,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,-5.591851851851853,-7.34,-7.527777777777786,-8.464,-9.945,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
9.5,2,-13.066666666666672,-11.901234567901245,-12.638853530869104,88.1,80.5,85.7,93.56666666666663,Mon 1-04 1-04,A,344 (Ⅳ),Alabama St.,"W, 60-44",62,96.7,47.1,21.0,70.9,30.9,29.0,-29.0,-6.5,133.0,82.8625,77.625,83.59958847736627,87.16911351062704,91.509375,97.31875,95.50082304526752,99.80796704149616,20210104,90.4,101.6,-11.199999999999989,82.6,107.6,-25.0,89.6,103.0,-13.41,71.5,-3.037250209030887,131.7226887038097,72.51706970128023,-6.137863789590206,134.0964307286036,-9.877632781442282,134.0964307286036,-6.137863789590206,134.0964307286036,-9.877632781442282,109.28009316269643,84.2,107.2,-22.98,71.3,90.4,101.6,-11.199999999999989,82.6,107.6,-25.0,-9.877944688426746,109.45311948771314,0,89.04932745992521,102.62354449930885,-13.57421703938364,-7.485608006443868,79.28802083126229,98.08578196348779,-18.797761132225503,-21.330924774230663,2021-01-04,-0.9296185019051038,124.99488140103986,-8.302296731491914,124.99488140103986,15.41,-26.91,-28.2162962962963,-42.32,1.3062962962962992,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1.5087654320987554,0.3433333333333284,-5.591851851851853,-4.484999999999999,-8.464,1,-1.0,1,-1,-1,1,-3.0,-3.0
16.5,-2,-5.433333333333337,-8.834156378600829,-10.831789252529266,100.6,86.66666666666669,103.3,92.09999999999998,Sat 1-23 1-23,A,316 (Ⅳ),Grambling St.,"W, 75-61",69,108.0,48.3,14.4,87.9,45.3,21.6,5.0,2.5,131.0,91.73125,82.8625,89.26639231824419,89.6110928723312,97.4046875,91.509375,98.100548696845,100.44288212486047,20210123,90.7,101.5,-10.799999999999995,91.1,102.0,-10.900000000000004,90.2,102.7,-12.49,69.5,3.590831726732837,128.64331998734357,69.30227596017069,3.6409884228727663,131.26389029086909,10.48318886249235,131.26389029086909,3.6409884228727663,131.26389029086909,10.48318886249235,112.90212649296005,90.8,103.4,-12.52,70.1,90.7,101.5,-10.799999999999995,91.1,102.0,-10.900000000000004,7.980189782833396,120.45841314722351,0,89.92368393212017,96.67856577564741,-6.754881843527244,-2.3047665023917334,95.67582499399856,98.31913110485722,-2.64330611085866,-9.108637449871336,2021-01-23,6.493201799122048,128.4576566042801,-2.8855101749596628,128.4576566042801,10.49,-16.42,-27.780864197530867,-26.91,11.360864197530866,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,3.655843621399171,7.056666666666663,1.5087654320987554,-2.345714285714287,-4.484999999999999,1,1.0,1,-1,-1,1,1.0,-3.0
24.5,6,2.0333333333333266,-3.756104252400558,-7.698736661160308,101.6,96.76666666666668,95.2,94.7333333333333,Sat 1-30 1-30,H,347 (Ⅳ),Mississippi Valley St.,"W, 106-56",84,126.7,56.6,15.5,66.9,35.8,26.3,27.5,-25.5,134.5,96.665625,91.73125,93.37759487882946,91.79089416827095,96.30234375,97.4046875,97.13369913123002,99.4896308294313,20210130,91.5,102.1,-10.599999999999994,81.9,120.3,-38.39999999999999,91.9,103.1,-11.17,69.1,-23.16347877715981,135.35986824263722,69.1,-22.556194350684187,137.58245676975758,-27.607912757160545,137.58245676975758,-22.556194350684187,137.58245676975758,-27.607912757160545,126.36653090775279,81.4,122.0,-40.56,70.3,91.5,102.1,-10.599999999999994,81.9,120.3,-38.39999999999999,-18.975604972063646,127.98117578663987,0,91.04235957294901,94.323377826757,-3.2810182538079857,2.6239412639481845,90.56646133225969,108.61311841976573,-18.046657087506034,-12.623798499955962,2021-01-30,-13.174298236405747,130.6841040302367,-12.374249557956624,130.6841040302367,17.17,0.75,-23.99390946502058,-16.42,24.74390946502058,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,7.413895747599442,13.203333333333326,3.655843621399171,0.09375,-2.345714285714287,1,1.0,1,1,-1,3,1.0,1.0
-3.5,-10,-2.400000000000001,-6.1374028349337015,-8.280784540949341,83.4,95.2,94.3,97.59999999999998,Mon 2-01 2-01,H,343 (Ⅳ),Arkansas Pine Bluff,"W, 63-55",67,94.1,42.3,19.4,82.1,35.0,13.4,-17.5,-11.5,135.5,90.0328125,96.665625,90.05172991921965,90.26527704676715,95.301171875,96.30234375,96.18913275415336,98.54606158771652,20210201,91.7,101.4,-9.700000000000003,91.4,114.5,-23.099999999999994,91.5,102.3,-10.78,69.9,-12.843269422183553,134.10277632310363,68.60739687055478,-12.543699068198116,139.14906560015342,-22.722375224272998,139.14906560015342,-12.543699068198116,139.14906560015342,-22.722375224272998,128.7263706719627,89.3,114.4,-25.13,69.0,91.7,101.4,-9.700000000000003,91.4,114.5,-23.099999999999994,-12.424453659716736,129.9796579889717,0,92.08297537981095,95.57045173062424,-3.4874763508132958,3.4959574047005546,98.60472554005108,106.04297493569523,-7.438249395644149,-5.24516390679857,2021-02-01,-6.171282901565448,134.9041173081834,-7.90126171083466,134.9041173081834,0.7799999999999994,1.5299999999999994,-15.745939643347054,0.75,17.27593964334705,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,4.642597165066298,8.379999999999999,7.413895747599442,0.16999999999999993,0.09375,1,1.0,1,1,1,3,3.0,1.0
4.0,-3,-2.6999999999999984,-5.2916018899558,-7.429732806231277,97.5,94.16666666666669,101.1,96.86666666666666,Sat 2-06 2-06,A,337 (Ⅳ),Alcorn St.,"W, 74-66",71,104.0,59.4,29.5,92.7,48.0,25.3,4.0,-4.0,136.0,93.76640625,90.0328125,92.5344866128131,91.58068122008221,98.2005859375,95.301171875,97.8260885027689,99.0104140263135,20210206,91.0,100.9,-9.900000000000006,93.4,111.6,-18.19999999999999,90.8,102.0,-11.23,69.3,-0.8961499289360688,131.20339322067696,68.60995732574679,-1.288915579125046,137.44712622279758,-4.389323657676134,137.44712622279758,-1.288915579125046,137.44712622279758,-4.389323657676134,121.83794305494439,91.0,109.6,-18.52,69.6,91.0,100.9,-9.900000000000006,93.4,111.6,-18.19999999999999,-0.7798874742603321,130.0013444118282,0,91.94517026493868,95.58423436732649,-3.639064102387806,3.458283704594645,97.31494535386732,107.22647768228386,-9.911532328416541,-9.053204510140578,2021-02-06,-0.14607433030342065,134.53751260022136,-6.716789338704089,134.53751260022136,8.23,9.76,-9.987293095564704,1.5299999999999994,19.747293095564704,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,5.938398110044201,8.530000000000001,4.642597165066298,0.9760000000000009,0.16999999999999993,1,1.0,1,1,1,3,3.0,3.0
