ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,PPP1,EFG%1,TO%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
14.5,15,,15.0,15.0,108.0,0.0,93.0,0.0,Fri 12-04 12-04,A,18 (I-A),Virginia,"L, 71-64 OT",67,96.2,46.8,18.0,106.7,55.7,18.0,13.0,21.5,122.0,108.0,0.0,108.0,108.0,93.0,0.0,93.0,93.0,20201204,94.9,102.5,-7.599999999999994,108.8,85.2,23.599999999999994,99.3,101.0,-1.68,72.2,18.481524410563217,125.73445267850815,65.52432432432433,24.22658857613373,129.85574662963634,10.053030510724529,129.85574662963634,24.22658857613373,129.85574662963634,10.053030510724529,134.9930578451155,106.5,85.2,21.32,63.8,94.9,102.5,-7.599999999999994,108.8,85.2,23.599999999999994,10.22513790313261,134.8928456668777,0,0.0,0.0,0.0,0.0,107.78694926360498,97.62736325795788,10.1595860056471,20.941665419863423,2020-12-04,-0.0,0.0,,0.0,16.68,16.68,0.0,0.0,16.68,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,16.68,,0.0,16.68,0.0,1,0.0,1,1,1,3,0.0,0.0
12.0,17,,15.966666666666665,15.527272727272726,100.6,0.0,82.7,0.0,Tue 12-08 12-08,A,168 (Ⅲ),Detroit,"W, 80-66",75,106.9,58.3,24.1,88.2,39.3,16.0,-0.5,-2.0,146.5,104.3,108.0,105.53333333333336,106.65454545454546,87.85,93.0,89.56666666666668,91.12727272727273,20201208,96.4,102.0,-5.599999999999994,104.6,105.8,-1.2000000000000028,100.1,100.7,-0.62,71.1,2.1453976638858308,149.81098061261332,73.52731152204836,7.924619335003015,156.95832191953178,-2.4490372935269615,156.95832191953178,7.924619335003015,156.95832191953178,-2.4490372935269615,151.22592234694605,100.3,103.7,-3.44,72.7,96.4,102.0,-5.599999999999994,104.6,105.8,-1.2000000000000028,-2.4599288424721717,151.161258542913,0,99.90133804840029,95.73646034760758,4.164877700792715,-6.97659421457713,101.33328856913595,99.73976484493824,1.5935237241977092,-6.293793566222591,2020-12-08,2.1623718625494774,147.7623918511643,2.4242066513147336,147.7623918511643,17.62,34.3,16.68,16.68,17.619999999999997,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,16.586666666666666,,16.68,17.15,16.68,1,1.0,1,1,1,3,3.0,0.0
13.5,15,16.13333333333333,15.81111111111111,15.522314049586775,112.8,107.13333333333333,97.3,91.0,Sun 12-13 12-13,H,207 (Ⅳ),Northern Kentucky,"W, 92-73",75,121.9,63.4,19.9,96.7,42.4,18.6,25.5,-5.5,139.5,108.55,104.3,107.95555555555555,107.77190082644628,92.575,87.85,92.14444444444445,92.24958677685949,20201213,97.7,105.2,-7.5,99.3,101.4,-2.1000000000000085,100.7,100.1,0.65,71.4,-6.257867303971295,142.4302572044918,71.09530583214794,-0.21966530264404582,147.950870093906,-17.59513380378313,147.950870093906,-0.21966530264404582,147.950870093906,-17.59513380378313,139.70067869241956,98.9,101.5,-2.62,70.0,97.7,105.2,-7.5,99.3,101.4,-2.1000000000000085,-17.576200592417546,139.6648483904495,0,104.76818505075451,91.29810673548398,13.470078315270527,4.822271495142216,104.21638104501335,103.57480640979469,0.6415746352186602,0.3441781642421848,2020-12-13,-13.870645622187936,148.42724754252484,-5.225806156956594,148.42724754252484,14.35,48.65,22.553333333333335,34.3,26.096666666666664,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,15.16111111111111,15.483333333333329,16.586666666666666,16.216666666666665,17.15,1,1.0,1,1,1,3,3.0,3.0
-1.0,5,13.0,12.40740740740741,13.718256949661908,90.7,101.36666666666666,85.1,88.36666666666667,Fri 1-01 1-01,A,121 (Ⅱ),Akron,"L, 66-62",71,87.0,42.1,18.2,92.6,41.5,21.0,-20.5,3.0,148.5,99.625,108.55,102.20370370370372,104.66791885800151,88.83749999999998,92.575,89.79629629629629,90.94966190833958,20210101,99.9,102.3,-2.3999999999999915,101.3,100.9,0.3999999999999915,102.7,101.2,1.54,71.7,5.825798308147313,150.79957054505462,72.31194879089617,6.326029674264788,151.2476125392071,2.789957460366414,151.2476125392071,6.326029674264788,151.2476125392071,2.789957460366414,152.9280382749026,104.6,100.9,3.67,70.9,99.9,102.3,-2.3999999999999915,101.3,100.9,0.3999999999999915,2.460909591002519,152.90770583222917,0,103.65570166153715,93.2605326792934,10.395168982243746,7.766535754397767,113.84342039894842,99.1820470689288,14.661373330019629,20.466609721532496,2021-01-01,6.8139249358814595,154.62353723271588,11.494228677446102,154.62353723271588,3.46,52.11,31.252222222222223,48.65,20.857777777777777,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,10.86740740740741,11.46,15.16111111111111,13.0275,16.216666666666665,1,1.0,1,1,1,3,3.0,3.0
-5.0,12,11.066666666666668,12.30493827160494,13.42402841335974,121.8,108.43333333333332,109.7,97.36666666666667,Tue 1-05 1-05,H,67 (Ⅱ),Toledo,"L, 84-82",68,120.4,52.2,20.6,123.3,57.0,8.8,18.5,-3.0,147.5,110.7125,99.625,108.73580246913582,107.78284270200123,99.26875,88.83749999999998,96.43086419753088,94.3588142886415,20210105,99.8,101.5,-1.7000000000000028,107.5,98.1,9.400000000000006,102.3,100.8,1.51,71.0,1.24889699755839,144.1157727645948,69.0810810810811,3.8294953687443893,146.2240616093382,-4.664794061153813,146.2240616093382,3.8294953687443893,146.2240616093382,-4.664794061153813,132.0539724081688,107.9,98.8,9.08,68.4,99.8,101.5,-1.7000000000000028,107.5,98.1,9.400000000000006,-4.994288217896346,135.48564064001312,0,100.68545704471217,91.03252782468054,9.652929220031623,6.282174482392616,101.9069022926822,97.70195191454184,4.204950378140367,2.6617722460873967,2021-01-05,-7.749074353608066,135.32595852780446,-4.5217833258724625,135.32595852780446,10.49,62.6,38.20481481481481,52.11,24.39518518518519,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,10.79493827160494,9.556666666666668,10.86740740740741,12.520000000000001,13.0275,1,1.0,1,1,1,3,3.0,3.0
14.5,11,9.600000000000003,11.903292181069965,13.001477792748881,103.7,105.39999999999998,92.6,95.8,Sat 1-09 1-09,H,234 (Ⅳ),Western Michigan,"W, 80-54",70,114.3,56.8,20.0,77.2,43.1,24.3,-5.5,-11.5,139.5,107.20625,110.7125,107.05720164609056,107.04050766527374,95.934375,99.26875,95.15390946502058,94.03902987252482,20210109,102.0,102.5,-0.5,97.2,103.1,-5.899999999999992,103.7,101.9,1.75,70.8,-10.42212015762017,136.722154577938,66.87226173541964,-7.721409935266465,140.47682331209944,-15.150993701172391,140.47682331209944,-7.721409935266465,140.47682331209944,-15.150993701172391,129.47433179773677,95.8,103.7,-7.85,66.4,102.0,102.5,-0.5,97.2,103.1,-5.899999999999992,-14.79663693065354,131.67531266167117,0,104.24265759999999,94.88878569,9.353871909999981,8.843067996,92.30162242,102.4047144,-10.103091980000002,-11.31645849,2021-01-09,-16.865546028770233,133.56970489384832,-15.330398474622513,133.56970489384832,9.25,71.85,46.33654320987654,62.6,25.513456790123456,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,10.153292181069965,7.850000000000003,10.79493827160494,11.975,12.520000000000001,1,1.0,1,1,1,3,3.0,3.0
1.0,0,7.700000000000002,7.902194787379978,10.619390921339992,109.2,111.56666666666663,109.3,103.86666666666667,Tue 1-12 1-12,A,271 (Ⅳ),Central Michigan,"W, 94-85",80,117.8,54.9,18.8,106.5,48.3,21.3,23.5,-8.0,155.5,108.203125,107.20625,107.77146776406036,107.43314263522396,102.6171875,95.934375,99.86927297668038,96.81375171388396,20210112,102.3,101.5,0.7999999999999972,99.6,109.0,-9.400000000000006,104.1,101.1,2.97,71.1,-3.0674200415537314,155.03132799769114,73.02162162162163,-3.330969665472196,158.51665980060153,-13.88654567748417,158.51665980060153,-3.330969665472196,158.51665980060153,-13.88654567748417,153.49346399106523,100.6,107.5,-6.84,72.2,102.3,101.5,0.7999999999999972,99.6,109.0,-9.400000000000006,-16.391523974758233,152.64210628836324,0,104.12528155204114,94.93046089139213,9.194820660649015,8.69878288921189,99.60801945175206,101.71408254549772,-2.106063093745661,-0.4829409910809116,2021-01-12,-4.285437970676071,149.4384945858393,-4.576047491029698,149.4384945858393,-2.97,68.88,54.84102880658436,71.85,14.038971193415634,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,4.932194787379977,4.730000000000002,10.153292181069965,9.84,11.975,1,1.0,1,1,1,3,3.0,3.0
13.0,25,12.166666666666671,13.76812985825332,13.324956208369086,126.9,113.26666666666664,101.4,101.1,Sat 1-16 1-16,A,101 (Ⅱ),Ohio,"W, 89-79",71,125.6,64.8,21.2,111.4,54.0,11.3,17.5,3.0,150.5,117.5515625,108.203125,114.14764517604023,110.97257124700144,102.00859375,102.6171875,100.37951531778693,97.64761503863231,20210116,103.2,101.6,1.6000000000000083,110.0,103.2,6.799999999999998,104.8,101.4,3.44,71.8,4.974264279737767,154.29605299619146,70.88079658605974,8.245303792873372,158.41775484459623,1.5347230313815428,158.41775484459623,8.245303792873372,158.41775484459623,1.5347230313815428,159.36076136128173,108.3,103.9,4.42,69.4,103.2,101.6,1.6000000000000083,110.0,103.2,6.799999999999998,2.4552303786252656,152.02318747445563,0,104.61276782105035,95.6989330531545,8.91383476789585,7.92106977255771,106.36740546254818,105.67087532246364,0.6965301400845334,4.131869589186368,2021-01-16,-2.037047462464372,153.83594468674283,-0.5815478977614248,153.83594468674283,21.56,90.44,59.520685871056244,68.88,30.919314128943753,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,10.32812985825332,8.726666666666672,4.932194787379977,11.305,9.84,1,1.0,1,1,1,3,3.0,3.0
-1.0,19,15.033333333333335,15.745419905502214,14.484055079574704,117.0,117.69999999999996,97.3,102.66666666666669,Tue 1-19 1-19,H,72 (Ⅲ),Buffalo,"W, 84-81",78,108.1,47.7,18.0,104.2,47.9,19.3,0.5,-4.0,164.5,117.27578125,117.5515625,115.09843011736015,112.06846738391023,99.654296875,102.00859375,99.35301021185795,97.58441230433552,20210119,105.0,101.0,4.0,104.6,98.8,5.799999999999998,106.2,101.2,4.97,71.9,-3.818856220229719,162.86716855376662,76.70697012802277,-3.0984971743606735,163.9718141355546,-2.470983281623796,163.9718141355546,-3.0984971743606735,163.9718141355546,-2.470983281623796,164.14148403262809,105.9,100.0,5.82,75.0,105.0,101.0,4.0,104.6,98.8,5.799999999999998,-8.410872786031321,158.35820559134913,0,104.87793530957322,96.06752714513595,8.810408164437263,6.746762574222128,100.55329228735235,98.6149720400112,1.938320247341153,0.2593097027404088,2021-01-19,-9.733277171371356,156.83029378232644,-7.199361740542585,156.83029378232644,14.030000000000001,104.47,69.8271239140375,90.44,34.6428760859625,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,10.775419905502215,10.063333333333336,10.32812985825332,11.607777777777777,11.305,1,1.0,1,1,1,3,3.0,3.0
1.5,9,18.066666666666666,13.496946603668144,13.486954156015669,107.6,117.16666666666664,98.6,99.1,Sat 1-23 1-23,A,67 (I),Toledo,"L, 76-74",69,107.1,46.7,18.8,110.0,55.9,15.9,-4.0,3.5,154.0,112.437890625,117.27578125,112.59895341157343,111.25601876865385,99.1271484375,99.654296875,99.10200680790531,97.76906461263813,20210123,106.2,100.8,5.400000000000006,114.1,102.1,12.0,106.5,101.1,5.41,72.0,8.92159505198434,154.7902892654127,69.54196301564724,9.140496040023805,159.2225881551366,4.595534834894638,159.2225881551366,9.140496040023805,159.2225881551366,4.595534834894638,174.81265306730467,113.8,101.8,11.96,67.9,106.2,100.8,5.400000000000006,114.1,102.1,12.0,3.2149096373629114,154.35131032988772,0,105.3939945254905,95.73073988267309,9.663254642817407,7.543074619406723,106.32329371095268,99.58798944023651,6.7353042707161705,6.567400740475341,2021-01-23,1.8597497503650686,147.13828275606693,1.4060500181837483,147.13828275606693,3.59,108.06,81.374749276025,104.47,26.685250723975003,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,8.086946603668144,12.656666666666666,10.775419905502215,10.806000000000001,11.607777777777777,1,1.0,1,1,1,3,3.0,3.0
