ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,PPP1,EFG%1,TO%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-16.5,4,,4.200000000000003,4.200000000000003,130.4,0.0,126.2,0.0,Thu 11-26 11-26,N,318 (Ⅳ),SIU Edwardsville,"W, 94-81",69,135.8,62.1,13.0,117.0,62.3,21.7,20.0,-29.5,155.0,130.4,0.0,130.4,130.4,126.2,0.0,126.2,126.2,20201126,113.1,99.7,13.399999999999993,91.6,110.0,-18.400000000000006,110.4,93.0,17.4,73.2,-25.848034139402564,148.79655752531795,75.49075391180655,-25.510110398222253,166.34311734641162,-37.31541767690704,166.34311734641162,-25.510110398222253,166.34311734641162,-37.31541767690704,178.37090541602086,88.0,105.3,-17.39,72.5,113.1,99.7,13.399999999999993,91.6,110.0,-18.400000000000006,-37.31541767690704,178.37090541602086,0,111.13919720000001,114.6001828,-3.4609855999999866,-9.162704388,105.27227260000001,108.2772392,-3.004966599999989,-2.139445805,2020-11-26,0.2342167213359403,185.80869544413926,5.301910853482369,185.80869544413926,-13.399999999999999,-13.399999999999999,0.0,0.0,-13.399999999999999,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,-13.199999999999996,,0.0,-13.399999999999999,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
-1.5,12,,7.1,5.781818181818182,131.2,0.0,118.3,0.0,Sat 11-28 11-28,A,45 (I),Saint Louis,"L, 85-81",66,122.1,62.5,13.6,128.2,64.3,15.1,12.0,2.5,154.0,130.8,130.4,130.66666666666669,130.54545454545453,122.25,126.2,123.56666666666666,124.76363636363637,20201128,112.9,100.3,12.600000000000007,109.9,92.0,17.900000000000006,113.3,96.8,16.51,72.5,4.7494868332425,150.79031996813364,73.94381223328593,9.338204168180553,161.95134386975036,36.613118252379806,161.95134386975036,9.338204168180553,161.95134386975036,36.613118252379806,178.5783020938215,106.2,90.1,16.14,71.7,112.9,100.3,12.600000000000007,109.9,92.0,17.900000000000006,36.613118252379806,178.5783020938215,0,108.95274479050173,112.91189100767616,-3.9591462171744354,-11.14291625618941,97.74305352163073,89.78261941203722,7.960434109593507,16.026664070578615,2020-11-28,13.884884045428919,157.61262691426705,22.211207414322615,157.61262691426705,-4.510000000000002,-17.91,-13.399999999999999,-13.399999999999999,-4.510000000000002,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,-9.410000000000002,,-13.199999999999996,-8.954999999999998,-13.399999999999999,-1,-1.0,-1,-1,-1,-3,-3.0,0.0
25.5,38,18.366666666666664,17.4,11.639669421487605,112.8,124.8,74.8,106.43333333333334,Mon 11-30 11-30,H,338 (Ⅳ),Southeastern Louisiana,"W, 96-43",73,131.7,60.8,16.5,59.0,26.3,24.7,-15.5,-27.5,154.5,121.8,130.8,124.71111111111112,127.31900826446278,98.525,122.25,107.31111111111109,115.6793388429752,20201130,113.0,100.1,12.900000000000004,91.1,103.7,-12.600000000000007,114.2,97.9,16.29,71.5,-27.86845288343963,158.64545940625982,75.87339971550497,-24.66332922659531,162.05466733776973,-27.685272849418897,162.05466733776973,-24.66332922659531,162.05466733776973,-27.685272849418897,166.01153558324214,91.0,105.2,-14.23,74.6,113.0,100.1,12.900000000000004,91.1,103.7,-12.600000000000007,-27.77302279861006,166.0933587529648,0,113.6544033046602,118.0470311707588,-4.392627866098593,-11.621077483919985,95.42255048853188,90.26927616123652,5.153274327295364,2.530941357941546,2020-11-30,3.117859045986137,166.59431171102008,8.709720566110704,166.59431171102008,21.71,3.8000000000000007,-14.903333333333332,-17.91,18.703333333333333,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1.1099999999999994,2.0766666666666644,-9.410000000000002,1.2666666666666693,-8.954999999999998,1,-1.0,1,1,-1,3,-3.0,-3.0
22.0,43,31.43333333333333,26.06666666666667,17.414274981217133,119.7,121.23333333333336,76.3,89.80000000000003,Sun 12-06 12-06,H,82 (Ⅱ),Louisiana Tech,"W, 86-55",76,113.9,62.5,19.9,72.8,32.6,15.9,-11.0,-9.0,152.0,120.75,121.8,123.04074074074074,125.93373403456043,87.4125,98.525,96.97407407407408,108.51945905334331,20201206,113.2,98.9,14.299999999999995,104.1,96.8,7.299999999999998,114.0,96.9,17.14,70.8,-11.971628884472779,151.77988108208277,71.70640113798008,-9.222400168632348,156.03725205665455,-15.919073963073169,156.03725205665455,-9.222400168632348,156.03725205665455,-15.919073963073169,173.04800572606544,104.0,97.9,6.11,71.2,113.2,98.9,14.299999999999995,104.1,96.8,7.299999999999998,-15.5275160545602,173.09702187410454,0,119.62515738664317,104.89503839547636,14.730118991166805,15.534297731957473,102.8607140535326,103.0778020816496,-0.21708802811699002,-1.0285678458522405,2020-12-06,-16.052517531007027,169.9131280271606,-14.030035579073825,169.9131280271606,25.86,29.66,-8.668888888888889,3.8000000000000007,38.32888888888889,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,8.92666666666667,14.29333333333333,1.1099999999999994,7.414999999999999,1.2666666666666693,1,1.0,1,1,1,3,3.0,-3.0
-8.5,20,34.03333333333333,24.277777777777782,18.011679530086738,108.1,113.53333333333336,87.4,79.50000000000001,Mon 12-14 12-14,H,184 (Ⅳ),Sam Houston St.,"W, 88-66",79,111.3,54.4,21.5,83.4,42.9,25.3,0.0,-30.5,154.0,114.425,120.75,118.06049382716049,122.69123693736765,87.40625,87.4125,93.78271604938274,104.6795574072809,20201214,113.5,97.4,16.099999999999994,92.3,104.0,-11.700000000000005,114.6,96.3,18.35,71.1,-27.06863220423888,156.97776538231903,73.62844950213372,-25.561393255080702,157.1031442167101,-38.029583972435674,157.1031442167101,-25.561393255080702,157.1031442167101,-38.029583972435674,164.37831923653354,94.7,106.6,-11.94,72.8,113.5,97.4,16.099999999999994,92.3,104.0,-11.700000000000005,-38.297083159881204,164.03515998511705,0,117.19332201314491,98.92547826938005,18.267843743764857,24.027995634604345,92.32939128593895,106.61844648413981,-14.289055198200856,-15.121556086038654,2020-12-14,-29.856329279770137,163.50082958462073,-30.978611931841456,163.50082958462073,1.6499999999999986,31.31,4.107407407407407,29.66,27.20259259259259,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,5.927777777777781,15.68333333333333,8.92666666666667,6.2620000000000005,7.414999999999999,1,1.0,1,1,1,3,3.0,3.0
-15.0,4,22.7,17.51851851851852,15.464101433707333,114.4,114.0666666666667,110.4,91.36666666666667,Sat 12-26 12-26,H,211 (Ⅳ),Nicholls St.,"W, 86-80",74,116.3,58.9,20.3,108.1,51.4,18.9,16.5,-21.0,149.5,114.4125,114.425,116.840329218107,121.1837393123917,98.903125,87.40625,99.32181069958851,105.71963787868437,20201226,114.6,98.3,16.299999999999994,93.8,102.0,-8.200000000000003,115.3,96.8,18.52,70.7,-22.270699619343134,153.58709372656494,72.51024182076814,-22.646788044658777,155.56671467732002,-26.50247474946245,155.56671467732002,-22.646788044658777,155.56671467732002,-26.50247474946245,150.86517977877185,96.7,102.8,-6.11,72.1,114.6,98.3,16.299999999999994,93.8,102.0,-8.200000000000003,-25.7633762927434,151.14189115862436,0,114.86693477692184,98.07111312106701,16.795821655854823,21.280332285893806,93.87682256904442,95.95498426799578,-2.0781616989513623,0.7727596687881358,2020-12-26,-17.661586885607363,150.38062424826595,-17.124247771488626,150.38062424826595,-14.52,16.79,13.174938271604937,31.31,3.6150617283950623,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,-1.0014814814814805,4.18,5.927777777777781,2.7983333333333356,6.2620000000000005,-1,1.0,1,1,1,1,3.0,3.0
15.0,31,18.6,22.045679012345687,18.306992082124182,120.9,114.46666666666671,89.8,95.86666666666667,Tue 12-29 12-29,H,124 (Ⅲ),Texas A&M,"W, 77-54",63,121.8,53.9,15.8,85.4,42.7,20.6,-11.0,-8.0,142.0,117.65625,114.4125,118.19355281207136,121.13215034650229,94.3515625,98.903125,96.14787379972564,102.82515826437813,20201229,115.1,99.6,15.5,101.5,95.0,6.5,115.4,97.9,17.42,70.8,-7.898317274803048,141.88691363031023,68.28221906116643,-9.89189658421472,147.35578030863562,-19.838217532818785,147.35578030863562,-9.89189658421472,147.35578030863562,-19.838217532818785,141.66216138159317,103.6,92.9,10.76,67.8,115.1,99.6,15.5,101.5,95.0,6.5,-14.987993272254284,144.77130905320828,0,114.65028127088249,100.99601927364556,13.65426199723693,15.103948319536665,100.50856440426593,97.75442087312182,2.754143531144109,-0.8999102590515158,2020-12-29,-11.572810510098321,149.60187848329213,-12.975475559959406,149.60187848329213,13.579999999999998,30.369999999999997,14.379958847736624,16.79,15.990041152263373,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,4.625679012345685,1.1799999999999997,-1.0014814814814805,4.338571428571431,2.7983333333333356,1,-1.0,1,1,1,3,1.0,3.0
-1.5,16,17.233333333333338,20.23045267489713,17.996629885374333,123.9,119.73333333333339,107.3,102.50000000000004,Sat 1-02 1-02,A,33 (I-A),Florida,"L, 83-79",70,112.2,46.7,18.5,117.9,54.3,18.5,9.0,2.5,153.0,120.778125,117.65625,120.09570187471424,121.63539573804731,100.82578125,94.3515625,99.86524919981713,103.638765852673,20210102,116.2,99.4,16.799999999999994,110.9,92.2,18.700000000000006,116.4,97.6,18.8,70.2,5.91846997979934,153.74616496295684,71.89758179231863,6.7538678314266605,159.9278629146756,0.7718706154569401,159.9278629146756,6.7538678314266605,159.9278629146756,0.7718706154569401,140.745464064543,111.2,91.3,19.95,72.0,116.2,99.4,16.799999999999994,110.9,92.2,18.700000000000006,6.175486140058003,151.49229156029912,0,116.73072017824823,98.5596551172491,18.17106506099914,21.323255790039717,103.49330063749359,95.18615913087706,8.307141506616532,7.467590658743816,2021-01-02,-2.3113682701665255,156.54585186699407,-7.658956967219311,156.54585186699407,-2.8000000000000007,27.569999999999997,19.70997256515775,30.369999999999997,7.860027434842248,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1.4304526748971291,-1.5666666666666629,4.625679012345685,3.446249999999999,4.338571428571431,1,1.0,1,1,1,3,3.0,1.0
-6.0,7,18.466666666666672,16.053635116598088,16.124515360760814,109.9,118.23333333333339,102.2,99.7666666666667,Wed 1-06 1-06,H,87 (Ⅲ),Georgia,"W, 94-92 OT",86,109.2,51.4,18.6,106.8,56.3,25.5,25.0,-8.0,161.0,115.3390625,120.778125,116.69713458314286,119.50168742203873,101.512890625,100.82578125,100.64349946654477,103.3771720612779,20210106,117.1,99.9,17.199999999999992,102.6,95.6,7.0,117.3,98.5,18.8,69.3,-11.232075638181442,158.43891693441432,73.63741109530584,-11.632741993393012,161.62445609496675,-16.350709676363973,161.62445609496675,-11.632741993393012,161.62445609496675,-16.350709676363973,148.7927267306035,104.9,96.0,8.88,74.7,117.1,99.9,17.199999999999992,102.6,95.6,7.0,-15.794247583155203,159.98440940423234,0,115.0632224540938,99.77698522860236,15.286237225491448,18.13442653541371,101.66502789734548,92.14891443889624,9.51611345844924,12.116484030846456,2021-01-06,-7.82806496639617,156.26992273760885,-6.8051683954683995,156.26992273760885,-11.8,15.769999999999996,22.329981710105166,27.569999999999997,-6.55998171010517,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,-2.746364883401913,-0.3333333333333286,1.4304526748971291,1.752222222222219,3.446249999999999,-1,1.0,-1,1,1,-1,3.0,3.0
16.5,46,23.53333333333333,26.135756744398734,21.610967113349762,125.2,119.6666666666667,78.9,96.13333333333334,Sat 1-09 1-09,A,42 (I),Mississippi,"W, 75-61",70,107.2,55.4,22.9,87.2,43.8,28.6,-13.0,2.5,149.0,120.26953125,115.3390625,119.53142305542856,120.53774425439529,90.2064453125,101.512890625,93.39566631102983,98.92677714104558,20210109,117.2,100.8,16.400000000000006,107.0,90.3,16.700000000000006,117.3,99.3,18.01,69.6,3.68240987002207,144.93909359753803,69.00597439544808,5.657904115476327,151.04572166107891,6.552431894809534,151.04572166107891,5.657904115476327,151.04572166107891,6.552431894809534,143.46227488835532,106.0,90.2,15.8,69.7,117.2,100.8,16.400000000000006,107.0,90.3,16.700000000000006,6.376649630892522,140.0558198578897,0,113.40784520000001,98.4426297,14.965215500000014,14.7650905,97.86174766,87.2194843,10.642263360000001,12.25966323,2021-01-09,2.0421988426089115,137.9264947918133,0.4643545075907838,137.9264947918133,27.99,43.75999999999999,20.14332114007011,15.769999999999996,23.61667885992988,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,8.125756744398732,5.52333333333333,-2.746364883401913,4.376000000000001,1.752222222222219,1,-1.0,1,1,1,3,-1.0,3.0
