ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,PPP1,EFG%1,TO%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-22.5,-15,,-15.600000000000007,-15.600000000000007,82.1,0.0,97.7,0.0,Wed 11-25 11-25,A,2 (I-A),Houston,"L, 89-45",72,62.3,31.0,30.5,123.2,50.7,12.5,-3.5,21.5,137.5,82.1,0.0,82.1,82.1,97.7,0.0,97.7,97.7,20201125,94.5,101.4,-6.900000000000006,111.0,92.0,19.0,93.7,100.9,-7.21,73.0,23.118999719318012,142.58117881091658,72.89615931721195,23.2549611206597,149.23361029517065,33.3052796603789,149.23361029517065,23.2549611206597,149.23361029517065,33.3052796603789,124.66243567513332,110.1,90.4,19.73,70.2,94.5,101.4,-6.900000000000006,111.0,92.0,19.0,33.3052796603789,124.66243567513332,0,92.36501995,104.67445190000001,-12.309431950000004,-2.822070908,104.67445190000001,92.36501995,12.309431950000004,21.796793,2020-11-25,22.145299482365495,145.7663324331733,20.180944528391777,145.7663324331733,-7.79,-7.79,0.0,0.0,-7.79,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,-8.390000000000008,,0.0,-7.79,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
1.5,-1,,-10.800000000000008,-12.981818181818188,88.5,0.0,89.7,0.0,Fri 11-27 11-27,A,149 (Ⅲ),Tulane,"L, 66-57",72,78.8,37.3,24.9,91.2,40.3,20.7,-19.0,10.5,142.0,85.3,82.1,84.23333333333333,83.26363636363634,93.7,97.7,95.03333333333332,96.24545454545456,20201127,94.5,101.4,-6.900000000000006,96.1,105.8,-9.700000000000003,93.7,101.8,-8.1,73.3,5.489691040476643,141.33063348785015,75.38534850640114,2.3037288861352323,151.99414056481504,6.467175459225734,151.99414056481504,2.3037288861352323,151.99414056481504,6.467175459225734,117.10912996571753,93.5,99.4,-5.87,72.3,94.5,101.4,-6.900000000000006,96.1,105.8,-9.700000000000003,6.467175459225734,117.10912996571753,0,92.36501994838943,104.67445190264131,-12.309431954251878,-2.82207090769526,0.0,0.0,0.0,0.0,2020-11-27,-0.0,0.0,,0.0,7.1,-0.6900000000000004,-7.79,-7.79,7.1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,-2.700000000000008,,-8.390000000000008,-0.34500000000000064,-7.79,-1,-1.0,1,-1,-1,-1,-3.0,0.0
5.5,-13,-10.133333333333336,-11.733333333333338,-13.09421487603306,92.5,87.7,106.1,97.83333333333331,Sat 11-28 11-28,N,226 (Ⅳ),Lipscomb,"L, 76-73",74,98.6,51.8,21.6,102.6,64.8,20.3,5.0,8.5,144.0,88.9,85.3,86.98888888888891,84.94297520661155,99.9,93.7,98.72222222222223,98.03719008264463,20201128,93.5,100.4,-6.900000000000006,98.0,103.3,-5.299999999999997,95.0,103.1,-8.1,73.4,5.08344703679326,151.68566083267865,75.80142247510668,1.3984902457839041,150.94056567801107,2.038210555776916,150.94056567801107,1.3984902457839041,150.94056567801107,2.038210555776916,138.90816057985757,100.8,102.3,-1.53,72.6,93.5,100.4,-6.900000000000006,98.0,103.3,-5.299999999999997,1.9421874558355983,138.88507000334022,0,90.16876649163454,99.4124818721022,-9.243715380467663,-2.3599211244788822,0.0,0.0,0.0,0.0,2020-11-28,-0.0,0.0,,0.0,-4.9,-5.590000000000001,-5.423333333333335,-0.6900000000000004,-0.16666666666666607,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,-3.633333333333338,-2.0333333333333368,-2.700000000000008,-1.8633333333333342,-0.34500000000000064,-1,-1.0,-1,-1,-1,-3,-1.0,-3.0
-9.5,-25,-13.333333333333336,-16.222222222222232,-15.295266716754325,70.2,83.73333333333333,95.4,97.06666666666666,Sat 12-05 12-05,A,293 (Ⅳ),Air Force,"L, 59-44",62,71.1,33.0,19.4,95.3,62.2,27.5,-31.0,5.5,134.0,79.55000000000003,88.9,81.39259259259259,82.26243425995492,97.65,99.9,97.61481481481482,97.55770097670923,20201205,90.9,98.4,-7.5,95.7,105.6,-9.899999999999991,93.2,101.5,-8.32,73.5,3.877044783598784,130.50682876084844,67.33143669985776,2.416252699607739,131.17471012635218,1.1699234987434326,131.17471012635218,2.416252699607739,131.17471012635218,1.1699234987434326,117.840542952216,96.1,104.3,-8.13,64.4,90.9,98.4,-7.5,95.7,105.6,-9.899999999999991,1.1512389474751836,117.86359816360604,0,93.24367102996872,97.92771490054199,-4.684043870573262,-2.6675403432706104,90.32290733867997,103.56240922106274,-13.239501882382768,-21.422639665950477,2020-12-05,-2.025002199442447,127.5047313567047,-10.969881301102689,127.5047313567047,-16.68,-22.27,-5.47888888888889,-5.590000000000001,-16.79111111111111,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-7.902222222222232,-5.013333333333335,-3.633333333333338,-5.567500000000001,-1.8633333333333342,-1,-1.0,-1,-1,-1,-3,-3.0,-1.0
6.0,-9,-16.233333333333334,-14.114814814814821,-14.314309131889901,84.0,82.23333333333333,93.9,98.46666666666668,Wed 12-09 12-09,A,283 (Ⅳ),Louisiana Monroe,"W, 63-60",71,88.2,43.7,18.2,84.0,48.2,21.0,-13.0,3.0,136.0,81.775,79.55000000000003,82.26172839506174,82.57835530359947,95.775,97.65,96.37654320987656,96.89266443548937,20201209,89.4,98.2,-8.799999999999997,92.8,103.4,-10.600000000000009,91.7,101.4,-9.68,73.0,5.212861474010836,136.32965282365802,71.96159317211948,2.818400957881991,135.09471327273428,7.2895801057989855,135.09471327273428,2.818400957881991,135.09471327273428,7.2895801057989855,135.20976567898876,94.8,102.7,-7.84,69.3,89.4,98.2,-8.799999999999997,92.8,103.4,-10.600000000000009,7.289140103728808,135.05964937147962,0,88.52418768110991,98.48107087889738,-9.956883197787477,-5.3126304297216445,102.81165965641944,99.6239138744316,3.187745781987843,-0.21535399176987305,2020-12-09,13.515968492826964,139.71312551724733,5.627313582716354,139.71312551724733,0.6799999999999997,-21.59,-11.075925925925926,-22.27,-10.514074074074074,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,-4.434814814814821,-6.553333333333335,-7.902222222222232,-4.318,-5.567500000000001,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-8.0,-25,-20.3,-18.009876543209874,-16.402616562455368,87.3,80.50000000000001,113.1,100.8,Tue 12-15 12-15,H,266 (Ⅳ),Southern Miss,"L, 66-63",67,93.5,40.6,17.8,97.9,58.7,31.2,-3.5,-5.0,132.5,84.5375,81.775,83.94115226337448,83.43683615749048,104.4375,95.775,101.95102880658442,99.83945271994585,20201215,89.4,97.9,-8.5,92.5,99.0,-6.5,91.7,100.9,-9.22,72.8,-5.431971920864527,133.66671703008396,71.55732574679942,-2.167837520788453,131.04267183748706,-8.740726889703783,131.04267183748706,-2.167837520788453,131.04267183748706,-8.740726889703783,117.37532180667613,91.8,103.6,-11.79,69.1,89.4,97.9,-8.5,92.5,99.0,-6.5,-8.656690415595481,117.46539223248296,0,90.79555888078418,96.44758285475494,-5.652023973970756,-3.612073520424647,82.32826172022801,95.99109364105408,-13.662831920826065,-5.358702866179226,2020-12-15,-9.088326289217854,122.08976924006072,-3.163576903907469,122.08976924006072,-15.78,-37.37,-14.580617283950618,-21.59,-22.78938271604938,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,-8.789876543209873,-11.08,-4.434814814814821,-6.2283333333333335,-4.318,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-16.0,-28,-21.33333333333333,-21.439917695473248,-18.565777187463485,83.5,84.93333333333334,111.8,106.26666666666664,Sat 12-19 12-19,A,80 (I),Louisiana Tech,"L, 86-57",75,75.7,34.4,15.9,114.3,52.1,15.9,4.5,13.0,138.5,84.01875,84.5375,83.79410150891633,83.4483204924922,108.11875,104.4375,105.2340192043896,102.0140976799557,20201219,89.0,98.9,-9.900000000000006,100.9,96.9,4.0,91.3,101.3,-10.03,72.2,14.089418155820553,140.01075938753587,72.81621621621623,13.966160028454901,138.7985506829098,14.678445931499958,138.7985506829098,13.966160028454901,138.7985506829098,14.678445931499958,129.59981434226927,102.1,97.9,4.22,70.9,89.0,98.9,-9.900000000000006,100.9,96.9,4.0,14.383228751525126,132.50254062658178,0,89.19649003488047,100.26634745791596,-11.069857423035486,-11.650505037090593,94.82888437816423,102.13572641030704,-7.306842032142811,-4.670530686517603,2020-12-19,6.844290277892341,138.71214801091958,6.9550262197465145,138.71214801091958,-17.97,-55.339999999999996,-22.17707818930041,-37.37,-33.162921810699586,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,-11.409917695473249,-11.30333333333333,-8.789876543209873,-7.9057142857142875,-6.2283333333333335,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-15.5,-12,-22.066666666666666,-18.32661179698217,-17.390181335197394,90.4,87.06666666666668,102.5,109.13333333333333,Tue 12-22 12-22,A,143 (Ⅲ),UTSA,"L, 88-66",77,86.1,49.1,26.1,114.8,54.8,11.7,4.5,6.5,149.5,87.209375,84.01875,85.99606767261089,84.71226222112998,105.309375,108.11875,104.32267946959308,102.10244355632736,20201222,88.6,100.3,-11.700000000000005,104.2,104.1,0.10000000000000853,91.1,102.1,-11.01,72.6,11.174347700413776,149.62914735284096,75.38833570412518,13.69987032125178,151.79479646474198,9.467722184135502,151.79479646474198,13.69987032125178,151.79479646474198,9.467722184135502,144.5453281488088,102.1,104.2,-2.06,73.0,88.6,100.3,-11.700000000000005,104.2,104.1,0.10000000000000853,6.777661631213832,142.69377146782145,0,87.57760829232656,101.23893760425459,-13.661329311928029,-11.967863270214028,86.54071330188677,108.86718145962179,-22.32646815773502,-10.824345754139033,2020-12-22,-2.0091069356065816,140.74326418992803,2.7323948848182766,140.74326418992803,-0.9900000000000002,-56.33,-33.231385459533605,-55.339999999999996,-23.098614540466393,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,-7.316611796982171,-11.056666666666667,-11.409917695473249,-7.04125,-7.9057142857142875,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
5.5,-9,-16.599999999999994,-15.351074531321444,-15.937421092434228,91.9,88.60000000000002,101.3,105.2,Tue 12-29 12-29,H,338 (Ⅳ),Southeastern Louisiana,"W, 74-64",72,103.4,48.3,14.0,89.4,43.4,21.0,-3.5,-4.5,141.5,89.5546875,87.209375,87.96404511507393,86.01912363547,103.3046875,105.309375,103.3151196463954,101.95654472790423,20201229,88.8,101.1,-12.299999999999995,92.2,106.0,-13.799999999999995,91.1,103.1,-12.0,72.3,-4.811805389112465,138.98293094276983,72.09431009957325,-4.541178118792018,138.16524917851012,4.208906324615906,138.16524917851012,-4.541178118792018,138.16524917851012,4.208906324615906,137.8592409034003,93.3,107.0,-13.63,70.1,88.8,101.1,-12.299999999999995,92.2,106.0,-13.799999999999995,-3.11020257635201,129.0442517804423,0,88.10319303460614,103.88217931590736,-15.77898628130123,-13.83386905325742,96.4848616345504,96.07017857094408,0.41468306360631857,2.221991275464561,2020-12-29,7.67951506733273,136.00264645081978,9.6739220961842,136.00264645081978,3.0,-53.33,-40.93092363968907,-56.33,-12.399076360310929,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-3.3510745313214443,-4.599999999999994,-7.316611796982171,-5.925555555555555,-7.04125,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-5.0,-14,-11.86666666666666,-14.934049687547626,-15.603344530173453,96.4,92.90000000000002,110.5,104.76666666666668,Sat 1-02 1-02,A,113 (Ⅱ),Abilene Christian,"L, 83-65",75,87.0,45.1,25.4,111.1,50.0,17.4,13.0,13.0,135.0,92.97734375,89.5546875,90.77603007671594,87.90655570174816,106.90234375,103.3046875,105.7100797642636,103.50990023192163,20210102,89.2,101.6,-12.399999999999993,99.9,93.2,6.700000000000002,91.2,103.1,-11.81,72.4,15.171843921668085,135.41478858165448,71.8850640113798,17.30404207135944,136.14200109710205,20.463005870174836,136.14200109710205,17.30404207135944,136.14200109710205,20.463005870174836,125.64366607186747,99.3,94.8,4.53,69.8,89.2,101.6,-12.399999999999993,99.9,93.2,6.700000000000002,21.451313098208942,120.28576090729818,0,88.49709030382155,102.60395249102112,-14.106862187199567,-12.38150603181085,98.47399625697176,90.25299571558071,8.22100054139105,7.606959703162289,2021-01-02,19.288450678565013,133.4618773236433,16.333452581212377,133.4618773236433,-2.1899999999999995,-55.519999999999996,-45.06394909312605,-53.33,-10.456050906873948,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,-3.1240496875476254,-0.05666666666665954,-3.3510745313214443,-5.552,-5.925555555555555,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
