ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,PPP1,EFG%1,TO%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-1.0,0,,-0.6000000000000085,-0.6000000000000085,95.8,0.0,96.4,0.0,Fri 11-27 11-27,H,258 (Ⅳ),UT Arlington,"W, 76-71",77,99.2,50.8,15.7,92.7,43.6,14.4,3.5,-6.0,143.5,95.8,0.0,95.8,95.8,96.4,0.0,96.4,96.4,20201127,106.0,98.9,7.099999999999994,96.5,98.1,-1.5999999999999943,103.0,97.1,5.86,71.3,-8.34424765667164,145.28824916863158,73.63271692745377,-10.6360380634585,150.2892955853294,2.0165999974250894,150.2892955853294,-10.6360380634585,150.2892955853294,2.0165999974250894,133.94016360456186,99.0,99.0,0.06,72.6,106.0,98.9,7.099999999999994,96.5,98.1,-1.5999999999999943,2.0165999974250894,133.94016360456186,0,0.0,0.0,0.0,0.0,98.11729839773814,101.29884932686564,-3.1815509291274964,-0.027523215904235343,2020-11-27,0.0,0.0,,0.0,-5.86,-5.86,0.0,0.0,-5.86,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,-6.460000000000009,,0.0,-5.86,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
-3.0,-3,,-1.6000000000000036,-1.1454545454545513,115.7,0.0,119.3,0.0,Sun 11-29 11-29,H,308 (Ⅳ),Northwestern St.,"W, 91-77",71,128.2,61.2,15.5,108.5,50.0,12.7,16.0,-17.0,152.0,105.75,95.8,102.43333333333334,99.41818181818181,107.85,96.4,104.03333333333336,100.56363636363636,20201129,103.2,96.2,7.0,100.6,104.8,-4.200000000000003,103.0,97.3,5.7,72.6,-15.947355314719587,157.38136432810785,79.00284495021337,-13.796027485208484,165.4630248259071,-21.03663775890602,165.4630248259071,-13.796027485208484,165.4630248259071,-21.03663775890602,146.02500321671891,95.1,104.1,-8.99,76.5,103.2,96.2,7.0,100.6,104.8,-4.200000000000003,-21.010708641798985,145.98339651488646,0,98.33255961060387,101.35448755980845,-3.0219279492045814,-2.37911930725232,95.33846694008871,103.23014147829669,-7.89167453820798,-2.7112232206632765,2020-11-29,-8.404842634868984,159.84086099632418,-2.4181499825849215,159.84086099632418,-8.7,-14.559999999999999,-5.86,-5.86,-8.7,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,-7.300000000000004,,-6.460000000000009,-7.28,-5.86,-1,-1.0,-1,-1,-1,-3,-3.0,0.0
3.0,13,3.0,3.3333333333333317,1.462809917355368,107.8,106.43333333333334,94.6,103.43333333333332,Thu 12-03 12-03,H,283 (Ⅳ),Louisiana Monroe,"W, 78-62",71,110.0,55.8,24.0,87.5,45.9,15.5,-0.5,-13.0,140.5,106.775,105.75,104.22222222222223,100.94214876033057,101.225,107.85,100.88888888888891,99.4793388429752,20201203,104.0,97.0,7.0,92.1,103.1,-11.0,104.0,98.2,5.82,70.9,-13.866122576210529,139.09226246782177,70.19402560455192,-16.805198744573644,141.58675201709366,-13.512861195129895,141.58675201709366,-16.805198744573644,141.58675201709366,-13.512861195129895,151.986840269047,93.9,102.4,-8.46,69.6,104.0,97.0,7.0,92.1,103.1,-11.0,-13.495448551887597,152.17264108358214,0,102.12408693620912,105.6886617847482,-3.564574848539081,-5.444111823546477,0.0,0.0,0.0,0.0,2020-12-03,0.0,0.0,,0.0,7.18,-7.379999999999999,-8.76,-14.559999999999999,1.3800000000000008,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,-2.4866666666666686,-2.8200000000000003,-7.300000000000004,-2.4600000000000004,-7.28,-1,-1.0,1,-1,-1,-1,-3.0,-3.0
-22.0,-15,-2.066666666666668,-3.0444444444444487,-1.6758827948910646,78.6,100.7,94.4,102.76666666666664,Sun 12-06 12-06,A,30 (I-A),LSU,"L, 86-55",76,72.8,32.6,15.9,113.9,62.5,19.9,-11.0,9.0,152.0,92.6875,106.775,95.68148148148147,96.8799398948159,97.8125,101.225,98.72592592592596,98.555822689707,20201206,104.1,96.8,7.299999999999998,113.2,98.9,14.299999999999995,104.0,97.9,6.11,71.2,11.971628884472779,151.77988108208277,71.70640113798008,9.222400168632348,156.03725205665455,16.38170379597271,156.03725205665455,9.222400168632348,156.03725205665455,16.38170379597271,172.71603938914294,114.0,96.9,17.14,70.8,104.1,96.8,7.299999999999998,113.2,98.9,14.299999999999995,16.363220604036105,172.67384147075703,0,102.8607140535326,103.0778020816496,-0.21708802811699002,-1.0285678458522405,119.62515738664317,104.89503839547636,14.730118991166805,15.534297731957473,2020-12-06,16.052517531007027,169.9131280271606,14.030035579073825,169.9131280271606,-21.11,-28.49,-8.3,-7.379999999999999,-20.189999999999998,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,-9.154444444444449,-8.17666666666667,-2.4866666666666686,-7.1225000000000005,-2.4600000000000004,-1,-1.0,-1,-1,-1,-3,-1.0,-3.0
-9.5,-18,-6.966666666666669,-8.129629629629632,-4.698449559456325,101.5,95.96666666666664,119.8,102.93333333333332,Wed 12-09 12-09,H,338 (Ⅳ),Southeastern Louisiana,"W, 78-69",67,116.7,56.9,15.0,103.3,65.3,26.9,0.5,-18.5,146.5,97.09375,92.6875,97.620987654321,97.7199508230312,108.80625,97.8125,105.75061728395063,102.4184003824875,20201209,102.0,96.6,5.400000000000006,89.0,103.5,-14.5,102.8,97.9,4.93,71.9,-19.258770913806714,149.64130383291757,76.40014224751067,-19.47371601700864,149.88096926336948,-19.263826282084466,149.88096926336948,-19.47371601700864,149.88096926336948,-19.263826282084466,138.59717140901768,90.1,105.1,-15.0,74.7,102.0,96.6,5.400000000000006,89.0,103.5,-14.5,-19.03398569421121,138.6707109565215,0,96.25878877437185,100.15919099941809,-3.9004022250462356,0.8116177821624806,90.85021172190396,92.92509631573284,-2.074884593828884,2.9232681478605844,2020-12-09,-2.734914845278837,140.75788415522095,-0.5658485140533571,140.75788415522095,-22.93,-51.42,-15.030000000000001,-28.49,-36.39,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,-13.059629629629631,-11.896666666666668,-9.154444444444449,-10.283999999999999,-7.1225000000000005,-1,-1.0,-1,-1,-1,-3,-3.0,-1.0
-9.5,-1,-11.966666666666667,-6.019753086419754,-4.171458730464265,77.7,85.93333333333332,79.5,97.89999999999998,Sat 12-12 12-12,A,198 (Ⅲ),Louisiana Lafayette,"L, 61-56",74,76.1,39.3,19.0,82.9,39.7,23.1,-35.5,-4.5,152.5,87.396875,97.09375,90.98065843621401,94.07995976429822,94.153125,108.80625,97.00041152263377,98.25141849476252,20201212,102.4,98.5,3.9000000000000057,97.8,101.3,-3.5,103.4,99.1,4.32,70.8,0.11970231931222486,154.26083401319784,76.4398293029872,-1.4032163091574859,156.01819648464925,8.164302716820453,156.01819648464925,-1.4032163091574859,156.01819648464925,8.164302716820453,153.05970849954622,99.6,100.8,-1.2,75.9,102.4,98.5,3.9000000000000057,97.8,101.3,-3.5,7.915491565256558,153.19408599119555,0,97.99837197744048,105.65531728759449,-7.656945310154001,-5.6320316196366536,97.5647654321165,99.6867169141143,-2.1219514819977974,1.5259845073736846,2020-12-12,8.596165229017885,156.8515778186371,7.567949353798639,156.8515778186371,-5.32,-56.74,-27.160000000000004,-51.42,-29.58,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,-10.339753086419755,-16.28666666666667,-13.059629629629631,-9.456666666666667,-10.283999999999999,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
12.0,22,0.8666666666666695,3.553497942386831,0.7142610387110566,117.5,98.89999999999998,94.8,98.0333333333333,Tue 12-15 12-15,H,272 (Ⅳ),Jackson St.,"W, 85-58",76,112.1,53.2,15.8,76.5,42.5,31.6,10.0,-15.0,133.0,102.4484375,87.396875,99.820438957476,98.33814889806222,94.4765625,94.153125,96.2669410150892,97.62388785935114,20201215,100.7,97.4,3.299999999999997,91.7,100.2,-8.5,101.9,98.1,3.78,70.5,-15.182832689511258,136.94904152410572,71.60312944523473,-12.387261953025146,139.57414853618116,-15.16351418962166,139.57414853618116,-12.387261953025146,139.57414853618116,-15.16351418962166,134.49317379614476,89.6,101.9,-12.26,71.4,100.7,97.4,3.299999999999997,91.7,100.2,-8.5,-15.806262215604013,134.19577050599636,0,95.01891281725956,102.82582209040743,-7.806909273147866,-5.665552549570924,92.87505531561806,103.29977287037264,-10.42471755475458,-3.299089720916539,2020-12-15,-5.915795066208659,141.90840840007394,-0.22056068026245157,141.90840840007394,18.22,-38.52,-37.02000000000001,-56.74,-1.499999999999993,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,-0.22650205761316888,-2.9133333333333304,-10.339753086419755,-5.502857142857144,-9.456666666666667,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
16.0,23,14.9,10.302331961591221,4.911668122581774,108.0,101.06666666666663,84.2,86.16666666666663,Sat 12-19 12-19,H,316 (Ⅳ),Lamar,"W, 86-57",75,114.3,52.1,15.9,75.7,34.4,15.9,4.5,-13.0,138.5,105.22421875,102.4484375,102.546959304984,100.09484909841451,89.33828125,94.4765625,92.24462734339279,95.18318097583277,20201219,100.9,96.9,4.0,89.0,98.9,-9.900000000000006,102.1,97.9,4.22,70.9,-14.089418155820553,140.01075938753587,72.81621621621623,-13.966160028454901,138.7985506829098,-13.980073299895297,138.7985506829098,-13.966160028454901,138.7985506829098,-13.980073299895297,129.10279002362518,91.3,101.3,-10.03,72.2,100.9,96.9,4.0,89.0,98.9,-9.900000000000006,-14.038180455442305,132.30952158413805,0,94.82888437816423,102.13572641030704,-7.306842032142811,-4.670530686517603,89.19649003488047,100.26634745791596,-11.069857423035486,-11.650505037090593,2020-12-19,-6.844290277892341,138.71214801091958,-6.9550262197465145,138.71214801091958,18.78,-19.740000000000002,-37.52000000000001,-38.52,17.78000000000001,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,6.082331961591222,10.68,-0.22650205761316888,-2.4675000000000002,-5.502857142857144,1,-1.0,1,-1,-1,1,-3.0,-3.0
0.5,-1,15.033333333333333,6.401554641060812,3.7640921002941767,86.5,104.0,87.9,88.96666666666663,Tue 12-22 12-22,A,283 (Ⅳ),Louisiana Monroe,"W, 68-57",74,92.1,51.9,24.4,77.2,42.1,21.7,-11.5,-10.5,136.5,95.862109375,105.22421875,97.19797286998934,97.62305835324824,88.619140625,89.33828125,90.7964182289285,93.85896625295408,20201222,102.2,97.1,5.1000000000000085,92.3,104.1,-11.799999999999995,102.8,98.0,4.85,71.2,-6.577800211443474,133.7214728311957,67.95903271692745,-7.853377082918357,136.14685273446162,-7.437410821885463,136.14685273446162,-7.853377082918357,136.14685273446162,-7.437410821885463,124.40644861293966,93.3,103.8,-10.58,67.1,102.2,97.1,5.1000000000000085,92.3,104.1,-11.799999999999995,-8.086639668946447,130.10703536230972,0,96.57683462433836,102.40639268465681,-5.829558060318448,-1.521615072975505,93.4248155007603,106.97215486651173,-13.547339365751426,-16.18654536003574,2020-12-22,-1.4390691816475396,138.39251287044476,-8.231771979215196,138.39251287044476,-5.85,-25.590000000000003,-31.59333333333334,-19.740000000000002,6.003333333333337,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1.5515546410608128,10.183333333333334,6.082331961591222,-2.8433333333333337,-2.4675000000000002,1,1.0,1,-1,-1,1,1.0,-3.0
8.5,11,11.166666666666664,7.967703094040545,5.097893536604328,102.2,98.89999999999998,91.1,87.7333333333333,Fri 1-01 1-01,H,96 (Ⅲ),Marshall,"W, 75-68",71,105.3,52.6,15.4,95.5,45.3,12.6,-11.0,1.5,154.0,99.0310546875,95.862109375,98.86531524665956,98.45522956174857,89.8595703125,88.619140625,90.89761215261902,93.35733602514424,20210101,101.4,96.9,4.5,103.9,95.5,8.400000000000006,102.6,97.7,4.96,71.8,-0.5495155442597905,155.13806045936434,77.00881934566145,-1.3267174689699175,155.22460566668735,-0.6792127401732497,155.22460566668735,-1.3267174689699175,155.22460566668735,-0.6792127401732497,148.19705746608847,106.2,96.3,9.93,75.4,101.4,96.9,4.5,103.9,95.5,8.400000000000006,2.848807452108643,145.737903216855,0,95.83209249091189,100.20406897765656,-4.371976486744671,-0.2398222757360972,100.46453121713795,93.7112354686516,6.753295748486352,4.415944699321928,2021-01-01,4.3497618134575475,149.53352545741748,1.384080481279213,149.53352545741748,6.04,-19.550000000000004,-29.59222222222223,-25.590000000000003,10.042222222222225,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,3.0077030940405454,6.206666666666664,1.5515546410608128,-1.9550000000000005,-2.8433333333333337,1,1.0,1,-1,-1,1,1.0,1.0
