ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,PPP1,EFG%1,TO%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
8.5,23,,23.39999999999999,23.39999999999999,121.6,0.0,98.2,0.0,Wed 11-25 11-25,H,152 (Ⅲ),Old Dominion,"W, 85-67",71,120.4,55.6,12.8,94.9,42.4,15.6,28.5,-9.5,123.5,121.6,0.0,121.6,121.6,98.2,0.0,98.2,98.2,20201125,108.4,95.3,13.100000000000007,106.0,96.6,9.400000000000006,105.8,90.8,15.02,70.9,-8.930529232044535,132.18804334946364,70.09317211948792,-6.7843847720109665,147.68427822939924,-25.1916711163195,147.68427822939924,-6.7843847720109665,147.68427822939924,-25.1916711163195,165.9518965280377,100.1,93.0,7.03,69.5,108.4,95.3,13.100000000000007,106.0,96.6,9.400000000000006,-25.1916711163195,165.9518965280377,0,108.35792279999998,102.72779670000001,5.63012609999997,10.45082041,102.72779670000001,108.35792279999998,-5.63012609999997,-0.809431653,2020-11-25,-13.004865532403272,160.1980990082455,-9.949888051978604,160.1980990082455,7.98,7.98,0.0,0.0,7.98,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,8.379999999999992,,0.0,7.98,0.0,1,0.0,1,1,1,3,0.0,0.0
14.5,31,,26.0,24.81818181818181,119.2,0.0,88.0,0.0,Fri 11-27 11-27,H,146 (Ⅲ),Navy,"W, 82-52",64,128.2,77.3,23.5,81.3,45.5,20.3,-1.0,-15.5,135.0,120.4,121.6,120.8,121.16363636363636,93.1,98.2,94.8,96.34545454545454,20201127,108.4,95.3,13.100000000000007,100.7,103.1,-2.3999999999999915,107.6,91.7,15.9,71.5,-16.527169295094495,137.07113761449952,69.97439544807966,-15.478265968891066,149.11263292131125,-15.388209792634909,149.11263292131125,-15.478265968891066,149.11263292131125,-15.388209792634909,162.0253286711818,97.1,99.7,-2.61,68.8,108.4,95.3,13.100000000000007,100.7,103.1,-2.3999999999999915,-15.388209792634909,162.0253286711818,0,108.35792275109304,102.72779671811851,5.63012603297453,10.450820412864571,102.1590113824322,106.13702150289996,-3.978010120467758,-0.15731574057772235,2020-11-27,-11.618201780750752,157.75528824025042,-9.483101661534604,157.75528824025042,15.1,23.08,7.98,7.98,15.099999999999998,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,10.1,,8.379999999999992,11.54,7.98,1,1.0,1,1,1,3,3.0,0.0
-3.0,8,21.033333333333328,20.166666666666664,21.85123966942148,124.5,121.76666666666668,116.0,100.73333333333332,Sun 11-29 11-29,H,224 (Ⅳ),Mount St. Mary's,"W, 79-61",60,130.6,66.3,16.5,100.8,51.0,16.5,0.5,-21.0,139.5,122.45,120.4,122.03333333333336,121.77024793388428,104.55,93.1,101.86666666666667,99.91900826446279,20201129,106.6,92.4,14.199999999999989,94.3,102.5,-8.200000000000003,108.8,91.8,17.01,71.1,-20.572251997995146,136.2550223343559,69.88634423897581,-19.767162045147295,140.95187151103858,-22.964997129202406,140.95187151103858,-19.767162045147295,140.95187151103858,-22.964997129202406,145.21117909687203,93.2,100.8,-7.63,69.1,106.6,92.4,14.199999999999989,94.3,102.5,-8.200000000000003,-22.973221741625316,145.3567864502761,0,108.8056519976652,93.12712894888465,15.678523048780548,23.334409655622363,99.50242178092851,99.5138425509936,-0.011420770065086572,-1.3661915031799676,2020-11-29,-15.194361839371311,144.07094914318228,-19.434103777484935,144.07094914318228,-9.010000000000002,14.069999999999997,13.013333333333334,23.08,1.056666666666663,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3.1566666666666627,4.023333333333326,10.1,4.6899999999999995,11.54,1,1.0,1,1,1,3,3.0,3.0
20.0,34,24.866666666666664,25.077777777777772,24.22374154770848,127.8,123.83333333333331,92.9,98.96666666666668,Fri 12-04 12-04,H,216 (Ⅳ),Saint Peter's,"W, 90-57",73,122.5,61.0,21.8,77.6,38.7,23.1,14.5,-13.0,132.5,125.125,122.45,123.95555555555555,122.86656649135986,98.725,104.55,98.87777777777781,98.64282494365138,20201204,107.0,93.2,13.799999999999995,96.5,96.1,0.4000000000000057,109.5,92.3,17.21,69.5,-14.909403325854342,133.19102359398437,68.21479374110953,-12.777657594673641,134.95470173106503,-10.834474306006046,134.95470173106503,-12.777657594673641,134.95470173106503,-10.834474306006046,148.276340701914,97.1,96.9,0.15,69.0,107.0,93.2,13.799999999999995,96.5,96.1,0.4000000000000057,-10.643004564071646,148.34945501107978,0,114.8040512465277,94.15528800160459,20.648763244923117,26.525370081187933,102.89583905667952,98.40344666576651,4.492392390913011,3.28133014188767,2020-12-04,-15.348260639809723,146.95826917361666,-18.05054423354069,146.95826917361666,16.79,30.859999999999996,13.365555555555556,14.069999999999997,17.49444444444444,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,7.867777777777771,7.656666666666663,3.1566666666666627,7.714999999999996,4.6899999999999995,1,1.0,1,1,1,3,3.0,3.0
-14.0,-18,8.4,10.651851851851855,16.510333993579664,88.4,113.56666666666666,106.6,105.16666666666669,Wed 12-09 12-09,A,49 (I-A),Clemson,"L, 67-51",62,82.2,46.0,24.2,108.0,52.6,14.5,-14.0,2.0,132.0,106.7625,125.125,112.10370370370373,116.59991803838535,102.6625,98.725,101.45185185185188,100.08958404480566,20201209,108.5,92.8,15.700000000000005,102.1,88.2,13.899999999999993,110.1,91.9,18.17,70.3,4.6009623768023715,135.2575025502352,70.1,3.1452075766853795,136.6360125145003,10.18955071564389,136.6360125145003,3.1452075766853795,136.6360125145003,10.18955071564389,133.4028360750332,106.1,87.5,18.65,70.1,108.5,92.8,15.700000000000005,102.1,88.2,13.899999999999993,9.876097442310432,133.3373955446743,0,117.29208753284395,91.22444081413866,26.06764671870529,34.00091097883296,97.62919664962128,81.15448843486061,16.474708214760668,17.503346374220108,2020-12-09,-0.6946853712317278,132.08581129533297,-9.096530006170724,132.08581129533297,-36.17,-5.310000000000006,19.197037037037035,30.859999999999996,-24.50703703703704,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,-7.518148148148146,-9.770000000000001,7.867777777777771,-1.062000000000003,7.714999999999996,-1,1.0,-1,-1,1,-3,3.0,3.0
-16.5,-2,4.699999999999998,6.234567901234567,13.035727812928815,101.1,105.76666666666664,103.7,101.06666666666666,Mon 12-14 12-14,H,41 (Ⅱ),Rutgers,"L, 74-60",67,89.5,37.7,13.4,110.3,55.8,11.9,0.0,-2.5,134.0,103.93125,106.7625,108.4358024691358,113.78175112231527,103.18125,102.6625,102.20123456790122,100.74602330938644,20201214,107.9,94.2,13.700000000000005,106.1,89.6,16.5,110.0,92.9,17.12,69.0,-2.0499901165777317,137.2659858503359,70.1778093883357,-1.6066193691372348,141.17522750877202,-2.594162106118705,141.17522750877202,-1.6066193691372348,141.17522750877202,-2.594162106118705,145.0722000348394,107.2,88.2,18.98,71.5,107.9,94.2,13.700000000000005,106.1,89.6,16.5,-2.2907913408204927,144.83143143190895,0,114.21874338988368,96.71553378578835,17.503209604095332,26.290279046481984,103.18869973641328,93.91315818427002,9.275541552143267,11.317206962398727,2020-12-14,-9.52764103702053,148.8913942683567,-12.842242187478263,148.8913942683567,-19.12,-24.430000000000007,11.028024691358024,-5.310000000000006,-35.458024691358034,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-10.885432098765435,-12.420000000000002,-7.518148148148146,-4.071666666666671,-1.062000000000003,-1,-1.0,-1,-1,-1,-3,-3.0,3.0
-3.5,14,-2.0333333333333314,9.056378600823042,13.338322756032666,120.3,103.26666666666664,105.6,105.3,Tue 12-22 12-22,H,198 (Ⅳ),La Salle,"W, 84-71",67,124.8,51.5,5.9,105.5,55.2,19.3,20.0,-16.5,135.0,112.115625,103.93125,112.39053497942386,114.96688728189432,104.390625,103.18125,103.33415637860085,101.62856452586165,20201222,108.5,95.7,12.799999999999995,95.9,95.9,0.0,109.9,94.0,15.87,68.0,-14.8475395749416,132.14930969249266,66.83926031294452,-12.165564741176695,134.39744821489745,-11.784762545282106,134.39744821489745,-12.165564741176695,134.39744821489745,-11.784762545282106,136.11623948898657,96.5,97.8,-1.28,69.1,108.5,95.7,12.799999999999995,95.9,95.9,0.0,-13.540805913950043,134.44818937123222,0,112.64151452049566,96.86834493820145,15.773169582294216,20.943149197639478,89.89993379803091,94.92227184261681,-5.022338044585894,-4.81505569132542,2020-12-22,-17.3114476598522,133.29468066087415,-19.23901148407012,133.29468066087415,-1.8699999999999992,-26.300000000000004,-0.7913168724279842,-24.430000000000007,-25.50868312757202,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,-6.813621399176958,-17.90333333333333,-10.885432098765435,-3.75714285714286,-4.071666666666671,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
3.0,11,7.6999999999999975,9.704252400548695,12.913173164026725,113.9,111.76666666666664,102.9,104.06666666666663,Fri 12-25 12-25,A,21 (I-A),Purdue,"L, 73-70",66,106.0,51.7,7.6,110.6,54.4,15.1,8.0,6.0,135.0,113.0078125,112.115625,112.8936899862826,114.77290777609535,103.6453125,104.390625,103.18943758573393,101.85973461206859,20201225,110.4,97.0,13.400000000000004,107.4,92.1,15.300000000000011,111.2,95.4,15.8,67.9,5.451159555790156,135.44828238184334,65.67852062588905,5.5651738557211985,138.70173169066538,11.791495923245662,138.70173169066538,5.5651738557211985,138.70173169066538,11.791495923245662,138.8465251463596,109.9,92.0,17.82,68.0,110.4,97.0,13.400000000000004,107.4,92.1,15.300000000000011,7.346032635863227,141.11535926113652,0,114.159017900769,100.48223091924694,13.676786981522056,17.3802067214902,104.11498854336857,99.056330753725,5.058657789643561,7.865352069877241,2020-12-25,-1.5965153521820241,146.47144073578923,-4.178084463827346,146.47144073578923,-4.800000000000001,-31.100000000000005,-9.294211248285324,-26.300000000000004,-21.80578875171468,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,-6.095747599451306,-8.100000000000003,-6.813621399176958,-3.887500000000003,-3.75714285714286,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
16.0,29,18.3,16.202834933699133,15.874414406930955,123.8,119.33333333333331,94.6,101.03333333333332,Mon 12-28 12-28,A,11 (I-A),Wisconsin,"W, 70-64",63,110.9,55.8,14.3,101.4,50.9,11.1,1.0,10.0,133.0,118.40390625,113.0078125,116.52912665752174,116.41419727135073,99.12265625,103.6453125,100.32629172382264,100.53978286441976,20201228,108.4,95.3,13.100000000000007,113.4,91.7,21.70000000000001,111.6,95.8,15.83,67.7,11.04930782495724,131.98587055993494,64.23314366998578,9.541752830492833,136.9189682017382,22.290424861243736,136.9189682017382,9.541752830492833,136.9189682017382,22.290424861243736,143.56716824402363,113.6,87.2,26.43,66.7,108.4,95.3,13.100000000000007,113.4,91.7,21.70000000000001,15.22198786154726,141.71821168034805,0,112.08909334919106,101.17155637283308,10.91753697635798,13.554258900245992,110.79203824031208,91.13990519993193,19.65213304038015,21.2483557489972,2020-12-28,10.500440833859315,141.40810129982816,7.053655694285652,141.40810129982816,13.17,-17.930000000000007,-16.562807498856884,-31.100000000000005,-1.3671925011431227,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0.37283493369913323,2.4700000000000006,-6.095747599451306,-1.9922222222222263,-3.887500000000003,1,-1.0,-1,-1,-1,-1,-3.0,-3.0
-8.0,16,18.8,16.201889955799423,15.933611787488966,124.2,120.63333333333333,108.0,101.83333333333331,Thu 12-31 12-31,H,3 (I-A),Michigan,"L, 84-73",67,108.7,59.5,17.9,125.0,64.7,17.9,14.5,3.0,142.5,121.301953125,118.40390625,119.08608443834784,117.82979776746878,103.561328125,99.12265625,102.88419448254842,101.8961859799798,20201231,112.2,97.4,14.799999999999995,113.4,92.9,20.5,112.8,95.4,17.35,67.5,-1.0106141510970872,140.28167236399858,66.5398293029872,0.14173592643602717,146.32290584434725,10.076093227346295,146.32290584434725,0.14173592643602717,146.32290584434725,10.076093227346295,144.16970824666635,113.4,92.0,21.41,69.3,112.2,97.4,14.799999999999995,113.4,92.9,20.5,1.3040824700360307,147.09421613621709,0,111.82004098976887,98.8084201720442,13.011620817724676,13.674748558757713,109.1792526940432,92.9822014089179,16.197051285125298,15.554172833139233,2020-12-31,-1.3813703719097674,144.43367377287444,-0.8848337580490977,144.43367377287444,-1.3500000000000014,-19.28000000000001,-17.01853833257126,-17.930000000000007,-2.2614616674287475,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,-1.1481100442005783,1.4499999999999993,0.37283493369913323,-1.9280000000000026,-1.9922222222222263,-1,1.0,-1,-1,-1,-3,-1.0,-3.0
