ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,PPP1,EFG%1,TO%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-40.0,-47,,-47.10000000000001,-47.10000000000001,91.3,0.0,138.4,0.0,Wed 11-25 11-25,A,23 (I-A),Arkansas,"L, 142-62",87,71.5,41.0,24.2,163.7,67.4,8.1,43.5,40.0,160.5,91.3,0.0,91.3,91.3,138.4,0.0,138.4,138.4,20201125,88.4,116.6,-28.199999999999992,107.0,94.1,12.900000000000004,82.7,113.3,-30.64,78.2,41.329909359094714,161.60833855344833,82.42702702702702,39.82624348041102,175.70174144780063,72.64688539210555,175.70174144780063,39.82624348041102,175.70174144780063,72.64688539210555,226.83615011963624,106.2,91.2,14.91,74.1,88.4,116.6,-28.199999999999992,107.0,94.1,12.900000000000004,72.64688539210555,226.83615011963624,0,99.41324011,113.1490994,-13.735859289999993,1.5046614999999999,112.83096189999999,99.75477036,13.076191539999996,28.43697269,2020-11-25,29.2804523389501,191.2663333159843,24.852980165026835,191.2663333159843,-16.36,-16.36,0.0,0.0,-16.36,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,-16.460000000000008,,0.0,-16.36,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
-15.0,-41,,-45.23333333333334,-46.08181818181818,87.6,0.0,129.1,0.0,Thu 11-26 11-26,A,82 (I),North Texas,"L, 116-62",83,74.5,45.2,26.4,139.4,81.7,20.4,20.0,39.0,158.0,89.44999999999997,91.3,90.06666666666666,90.62727272727273,133.75,138.4,135.3,136.70909090909092,20201126,88.4,116.6,-28.199999999999992,111.8,98.2,13.599999999999996,82.7,113.3,-30.64,78.2,31.816552432929598,148.26766887218193,76.53143669985775,38.788457100802674,170.68246313794862,50.08356538633929,170.68246313794862,38.788457100802674,170.68246313794862,50.08356538633929,191.35185858238205,101.5,95.1,6.41,68.8,88.4,116.6,-28.199999999999992,111.8,98.2,13.599999999999996,50.08356538633929,191.35185858238205,0,99.41324011,113.1490994,-13.735859289999993,1.5046614999999999,102.1132801,101.4536123,0.659667799999994,3.52044895,2020-11-26,16.209491393563596,169.44981136709788,3.739432373020392,169.44981136709788,-10.36,-26.72,-16.36,-16.36,-10.36,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,-14.59333333333334,,-16.460000000000008,-13.36,-16.36,-1,-1.0,-1,-1,-1,-3,-3.0,0.0
-4.5,-43,-43.90000000000001,-44.522222222222226,-45.539669421487595,74.3,84.39999999999998,117.4,128.29999999999998,Sat 11-28 11-28,A,176 (Ⅲ),Wyoming,"L, 97-61",78,77.7,43.4,21.7,123.6,61.9,12.7,0.0,31.5,158.0,81.875,89.44999999999997,84.81111111111113,87.65867768595041,125.575,133.75,129.33333333333334,133.19834710743802,20201128,87.3,115.8,-28.5,102.3,97.5,4.799999999999997,84.6,115.8,-31.14,80.1,27.342872329368646,159.35651808668388,80.89758179231863,32.21268134388092,168.7270877785443,44.34479330840293,168.7270877785443,32.21268134388092,168.7270877785443,44.34479330840293,184.91765685883212,97.4,99.7,-2.35,71.0,87.3,115.8,-28.5,102.3,97.5,4.799999999999997,44.259218930892786,184.81522134893365,0,97.12533742507016,112.8538393153146,-15.728501890244445,-1.4760152495875043,0.0,0.0,0.0,0.0,2020-11-28,-0.0,0.0,,0.0,-11.86,-38.58,-19.813333333333333,-26.72,-18.766666666666666,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,-13.382222222222225,-12.760000000000012,-14.59333333333334,-12.859999999999996,-13.36,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-5.5,-36,-40.333333333333336,-41.81481481481481,-43.877911344853494,79.7,80.53333333333332,116.1,120.86666666666667,Tue 12-01 12-01,A,124 (Ⅲ),Grand Canyon,"L, 88-49",71,68.5,39.8,21.0,123.1,60.1,19.6,-23.5,33.5,160.5,80.7875,81.875,83.10740740740742,86.21164537941397,120.8375,125.575,124.92222222222223,130.08955672426748,20201201,85.7,114.6,-28.89999999999999,100.3,101.4,-1.1000000000000083,84.0,115.6,-31.59,80.1,28.9659568823038,158.67714001853358,80.78364153627312,27.760211186072254,166.9415684124831,42.96494866564142,166.9415684124831,27.760211186072254,166.9415684124831,42.96494866564142,155.73055949562695,98.2,98.8,-0.56,70.9,85.7,114.6,-28.89999999999999,100.3,101.4,-1.1000000000000083,42.87230816469775,155.7463472096524,0,97.66351321502577,113.67691484776556,-16.013401632739786,-2.1062377982081393,97.59161874216915,98.10193028254105,-0.5103115403719016,1.9175181003854247,2020-12-01,17.233235539267397,170.68510581774967,5.510344139411359,170.68510581774967,-4.41,-42.989999999999995,-26.06888888888889,-38.58,-16.921111111111106,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,-10.22481481481481,-8.743333333333336,-13.382222222222225,-10.747499999999999,-12.859999999999996,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
15.5,-20,-33.26666666666667,-34.64320987654322,-39.591018373061935,98.8,84.26666666666667,119.1,117.53333333333336,Sun 12-06 12-06,A,89 (Ⅱ),Western Kentucky,"L, 96-69",76,90.5,51.8,22.3,126.0,54.4,18.4,5.5,42.5,159.5,89.79374999999997,80.7875,88.3382716049383,88.50043712861144,119.96875,120.8375,122.9814814814815,128.09145550167338,20201206,84.3,114.2,-29.90000000000001,109.3,94.7,14.599999999999996,83.0,115.2,-32.2,79.0,38.7965231784227,161.40215618166945,79.44950213371267,41.11181315893668,166.91271410877425,47.44647898363196,166.91271410877425,41.11181315893668,166.91271410877425,47.44647898363196,174.20384986503765,106.9,96.1,10.8,70.7,84.3,114.2,-29.90000000000001,109.3,94.7,14.599999999999996,47.86060264168089,174.48358990690764,0,93.82405975298893,112.1917007919666,-18.367641038977666,-6.450956262852363,96.51948946016192,103.02357128268444,-6.504081822522522,-3.174771596494952,2020-12-06,14.07477832117128,166.3948092269672,4.720432166091996,166.3948092269672,12.200000000000003,-30.789999999999992,-31.70925925925926,-42.989999999999995,0.9192592592592668,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,-2.4432098765432144,-1.06666666666667,-10.22481481481481,-6.157999999999998,-10.747499999999999,-1,-1.0,1,-1,-1,-1,-3.0,-3.0
8.5,-24,-27.03333333333333,-31.22880658436215,-36.82901503250522,93.0,90.5,117.4,117.53333333333336,Tue 12-08 12-08,A,29 (I),Memphis,"L, 94-57",77,74.4,45.0,22.2,122.8,51.9,14.4,-12.0,45.5,163.0,91.396875,89.79374999999997,89.89218106995888,89.31853946886389,118.684375,119.96875,121.120987654321,126.14755450136913,20201208,84.6,114.0,-29.40000000000001,101.6,87.7,13.899999999999993,83.4,115.3,-31.92,78.8,43.74021286139858,164.49025691667384,85.52546230440967,40.896136436849034,166.53446021320144,44.634249622340526,166.53446021320144,40.896136436849034,166.53446021320144,44.634249622340526,168.60845221149387,103.2,87.5,15.77,76.3,84.6,114.0,-29.40000000000001,101.6,87.7,13.899999999999993,44.860450880180636,168.69681198666885,0,96.41648141072059,111.0926937337226,-14.676212323002005,-7.1666845834162,96.66008446706263,91.38725744730465,5.272827019757983,-1.025713937651495,2020-12-08,21.552636631029088,170.75960276828496,7.548714265366343,170.75960276828496,7.920000000000002,-22.86999999999999,-31.40283950617284,-30.789999999999992,8.532839506172849,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0.6911934156378514,4.88666666666667,-2.4432098765432144,-3.811666666666664,-6.157999999999998,1,-1.0,1,-1,-1,1,-1.0,-3.0
-9.5,-33,-26.03333333333333,-31.95253772290809,-36.2055577538679,75.9,89.23333333333332,109.3,115.2666666666667,Sun 12-13 12-13,A,91 (Ⅱ),Vanderbilt,"L, 84-41",65,62.8,32.5,18.4,128.7,53.0,13.8,-33.5,33.5,158.5,83.6484375,91.396875,85.2281207133059,86.87880501997955,113.9921875,118.684375,117.180658436214,123.08436277384745,20201213,88.4,116.6,-28.199999999999992,103.4,100.7,2.700000000000003,83.8,115.7,-31.9,77.9,32.88906615384483,160.3635455592147,81.22432432432434,30.98769733414865,174.32188098469845,31.068736491993842,174.32188098469845,30.98769733414865,174.32188098469845,31.068736491993842,167.27617195975955,100.5,96.8,3.74,73.3,88.4,116.6,-28.199999999999992,103.4,100.7,2.700000000000003,33.02279836002595,170.3850609729719,0,95.36045183251065,108.62779351601246,-13.267341683501812,-7.900716133577082,98.74817068134644,97.2076825177383,1.5404881636081313,-0.6987384997417838,2020-12-13,16.70462696476227,165.96239098460615,8.026250867251903,165.96239098460615,-1.1000000000000014,-23.96999999999999,-28.55855967078189,-22.86999999999999,4.588559670781898,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-0.052537722908091666,5.866666666666667,0.6911934156378514,-3.4242857142857126,-3.811666666666664,-1,1.0,1,-1,-1,-1,1.0,-1.0
-2.0,-31,-29.90000000000001,-31.935025148605405,-35.42272907134647,88.0,85.63333333333333,119.9,115.53333333333336,Mon 12-21 12-21,A,57 (Ⅱ),Mississippi St.,"L, 87-48",66,72.8,40.0,24.3,132.0,63.6,19.7,-13.5,37.0,148.5,85.82421875,83.6484375,86.15208047553728,87.08265865271052,116.94609375,113.9921875,118.08710562414268,122.505387724057,20201221,85.1,115.1,-30.0,105.8,98.0,7.799999999999998,84.0,116.6,-32.61,75.7,34.90362070538304,147.96610502391513,71.50042674253201,32.27450431059859,150.86865252018978,36.99199076342426,150.86865252018978,32.27450431059859,150.86865252018978,36.99199076342426,151.58141200048277,107.2,97.3,9.89,66.4,85.1,115.1,-30.0,105.8,98.0,7.799999999999998,35.83351657538633,153.934109392607,0,93.41677768272899,109.14437611101759,-15.727598428288601,-9.600768837776402,106.85875811128565,102.68686306089994,4.171895050385714,2.0680619056726446,2020-12-21,19.49715653631911,155.90752877193125,10.269872879796687,155.90752877193125,1.6099999999999994,-22.359999999999992,-27.02903978052126,-23.96999999999999,4.669039780521267,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0.6749748513945946,2.70999999999999,-0.052537722908091666,-2.7950000000000017,-3.4242857142857126,1,-1.0,1,-1,-1,1,-1.0,1.0
-29.5,-61,-42.40000000000001,-41.92335009907027,-40.23677833110165,64.4,76.09999999999998,126.3,118.5,Sat 1-02 1-02,A,342 (Ⅳ),Arkansas Pine Bluff,"L, 92-52",78,66.6,33.6,24.3,117.9,54.9,16.7,-2.0,10.5,146.0,75.112109375,85.82421875,78.90138698369151,82.95853889767223,121.623046875,116.94609375,120.8247370827618,123.1953172287739,20210102,85.9,116.2,-30.3,93.8,107.9,-14.100000000000007,84.4,117.6,-33.15,74.5,11.961043625097531,145.27278842302485,75.45376955903274,16.924060395970358,155.81532474383056,7.674232227712887,155.81532474383056,16.924060395970358,155.81532474383056,7.674232227712887,150.4763908952249,86.6,108.2,-21.57,71.2,85.9,116.2,-30.3,93.8,107.9,-14.100000000000007,10.488244244605404,152.92535788191734,0,91.57464481049392,107.8292477455878,-16.25460293509387,-9.90770151157218,98.6380086379738,106.70441991332113,-8.066411275347335,-6.906524558931048,2021-01-02,11.068736116275915,157.4946606561069,4.199589146064326,157.4946606561069,-27.85,-50.209999999999994,-25.472693187014173,-22.359999999999992,-24.73730681298582,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,-8.77335009907027,-9.250000000000014,0.6749748513945946,-5.578888888888894,-2.7950000000000017,-1,1.0,-1,-1,-1,-3,1.0,-1.0
-3.5,-45,-46.53333333333334,-43.21556673271351,-41.24827317999225,74.8,75.7333333333333,120.6,122.26666666666668,Tue 1-12 1-12,H,345 (Ⅳ),Alabama St.,"L, 64-51",62,81.6,40.7,16.0,102.4,54.9,20.8,-29.5,9.5,144.5,74.9560546875,75.112109375,77.53425798912768,81.47516818900455,121.1115234375,121.623046875,120.74982472184121,122.72344136899682,20210112,84.5,116.8,-32.3,84.2,110.0,-25.8,83.5,118.7,-35.15,73.7,2.9083661676626917,138.21816880266016,72.12745376955904,0.02978429114055814,141.01329489491036,-6.3627999238721245,141.01329489491036,0.02978429114055814,141.01329489491036,-6.3627999238721245,141.51826253935647,85.2,109.8,-24.58,68.8,84.5,116.8,-32.3,84.2,110.0,-25.8,-4.453557430736613,143.47697645874192,0,88.71754853739806,106.63388868116444,-17.916340143766377,-9.34180797661792,88.09863368441195,107.29258919688057,-19.19395551246862,-24.193927120677298,2021-01-12,-4.824000590026742,139.55305652213104,-12.393385469378742,139.55305652213104,-9.850000000000001,-60.059999999999995,-33.718462124676115,-50.209999999999994,-26.34153787532388,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-8.065566732713513,-11.38333333333334,-8.77335009907027,-6.006000000000007,-5.578888888888894,-1,-1.0,-1,-1,-1,-3,-3.0,1.0
