ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,PPP1,EFG%1,TO%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
3.0,-16,,-16.799999999999994,-16.799999999999994,81.9,0.0,98.7,0.0,Wed 11-25 11-25,H,235 (Ⅳ),Mount St. Mary's,"L, 62-55",68,81.4,43.3,23.7,91.8,43.4,20.7,-33.5,10.0,150.5,81.9,0.0,81.9,81.9,98.7,0.0,98.7,98.7,20201125,93.0,106.4,-13.400000000000004,96.9,105.0,-8.099999999999994,88.6,103.6,-15.02,72.6,1.0714618513996328,130.89995424304686,71.2574679943101,-0.12273453146215729,146.2512838290822,10.843552413861051,146.2512838290822,-0.12273453146215729,146.2512838290822,10.843552413861051,108.76278123632034,92.4,100.5,-8.1,69.0,93.0,106.4,-13.400000000000004,96.9,105.0,-8.099999999999994,10.843552413861051,108.76278123632034,0,91.13354996,102.86184709999999,-11.728297139999995,-8.74093606,102.86184709999999,91.13354996,11.728297139999995,14.71565815,2020-11-25,12.733510075994644,137.2274821367199,14.65976190837084,137.2274821367199,-0.9800000000000004,-0.9800000000000004,0.0,0.0,-0.9800000000000004,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-1.779999999999994,,0.0,-0.9800000000000004,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
19.0,16,,-5.833333333333335,-10.818181818181818,117.6,0.0,101.5,0.0,Tue 12-08 12-08,A,183 (Ⅲ),Iona,"W, 83-72",70,119.0,58.7,20.1,103.2,51.7,25.8,3.5,8.0,151.5,99.75,81.9,93.8,88.3909090909091,100.1,98.7,99.63333333333334,99.2090909090909,20201208,90.5,103.9,-13.400000000000004,97.9,104.8,-6.899999999999992,88.6,104.2,-15.53,72.3,10.597140714748733,142.3904290290978,74.35689900426743,9.405335966116965,149.51752174751311,20.48741070376917,149.51752174751311,9.405335966116965,149.51752174751311,20.48741070376917,138.688705410808,96.5,103.4,-6.93,72.3,90.5,103.9,-13.400000000000004,97.9,104.8,-6.899999999999992,20.38034229126899,138.79409193834107,0,87.24831077875645,99.46083311630056,-12.212522337544115,-9.823703664879217,105.21739349661121,102.99722763828095,2.2201658583302617,-0.8932956461831929,2020-12-08,15.374730833973274,148.12903438535847,8.610804046294078,148.12903438535847,31.53,30.55,-0.9800000000000004,-0.9800000000000004,31.53,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,9.696666666666665,,-1.779999999999994,15.274999999999999,-0.9800000000000004,1,-1.0,1,1,-1,3,-3.0,0.0
12.5,4,1.1333333333333353,-2.522222222222221,-8.105785123966937,96.2,98.56666666666666,92.1,97.43333333333332,Mon 12-21 12-21,A,201 (Ⅲ),Delaware,"W, 65-59",68,96.2,47.1,23.7,87.3,38.2,17.8,-20.0,6.5,144.0,97.975,99.75,94.6,89.8107438016529,96.1,100.1,97.12222222222223,97.91652892561984,20201221,93.5,105.0,-11.5,98.5,106.0,-7.5,91.8,105.1,-13.33,71.3,8.688254512549747,139.07469483106425,70.18435277382646,7.173060221959105,145.5865143750779,-2.3566773126915854,145.5865143750779,7.173060221959105,145.5865143750779,-2.3566773126915854,136.07261780061427,97.9,104.6,-6.79,69.2,93.5,105.0,-11.5,98.5,106.0,-7.5,-2.120799871732934,135.92678567457986,0,105.4921348389417,96.90941924741121,8.582715591530487,4.802926939750228,95.1938495891335,100.36328642225538,-5.169436833121878,2.3106642952439898,2020-12-21,-5.802527215616763,142.05920366693658,0.2858802627381749,142.05920366693658,17.33,47.879999999999995,9.53,30.55,38.349999999999994,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,10.80777777777778,14.463333333333335,9.696666666666665,15.959999999999999,15.274999999999999,1,1.0,1,1,1,3,3.0,-3.0
12.5,7,9.333333333333334,0.918518518518518,-5.213824192336585,103.8,105.86666666666667,96.0,96.53333333333332,Sun 1-03 1-03,A,132 (Ⅱ),James Madison,"W, 80-73",76,105.7,46.4,19.8,96.4,52.7,23.8,9.0,5.5,144.0,100.8875,97.975,97.66666666666669,92.35424492862509,96.05,96.1,96.74814814814816,97.56806912096168,20210103,94.2,104.7,-10.5,101.3,106.9,-5.6000000000000085,92.6,104.7,-12.09,70.7,7.937235933734087,148.78128662571345,73.81763869132291,8.412857975522599,156.12514629670727,-0.10374343394915518,156.12514629670727,8.412857975522599,156.12514629670727,-0.10374343394915518,147.69277351337158,99.1,106.5,-7.44,73.4,94.2,104.7,-10.5,101.3,106.9,-5.6000000000000085,-0.032153513521110816,147.51918054680172,0,104.30800778347692,94.2447217186523,10.063286064824624,1.5492074355055363,99.45746935910074,102.62339193941489,-3.1659225803141453,-8.665364580187989,2021-01-03,-5.802750216111633,151.21618713963557,-5.546803689429353,151.21618713963557,19.09,66.97,22.313333333333333,47.879999999999995,44.656666666666666,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,13.008518518518517,21.423333333333332,10.80777777777778,16.7425,15.959999999999999,1,1.0,1,1,1,3,3.0,3.0
7.5,8,6.733333333333333,3.3790123456790115,-2.7567652482753875,107.1,102.36666666666667,98.8,95.63333333333333,Sat 1-09 1-09,A,248 (Ⅲ),Norfolk St.,"W, 78-74",74,105.9,43.7,16.3,100.4,42.9,14.9,15.0,3.5,137.0,103.99375,100.8875,100.81111111111113,95.03529130523873,97.425,96.05,97.43209876543209,97.79205655351409,20210109,95.1,104.7,-9.600000000000009,97.6,101.6,-4.0,93.6,104.8,-11.16,70.4,7.136585205879783,131.87174952322135,67.59601706970129,7.709810246991765,137.80953406890393,-3.7513181050166966,137.80953406890393,7.709810246991765,137.80953406890393,-3.7513181050166966,130.73533739888634,95.9,101.9,-5.98,67.5,95.1,104.7,-9.600000000000009,97.6,101.6,-4.0,-0.17020966292854328,130.3356876260964,0,106.2137477,93.97549668,12.238251019999993,4.19837564,96.46550917,100.6041639,-4.138654729999999,-7.288526513,2021-01-09,-7.392013818812757,136.48745930939742,-5.901243326932423,136.48745930939742,19.16,86.13,37.19888888888889,66.97,48.93111111111111,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,14.539012345679012,17.893333333333334,13.008518518518517,17.226,16.7425,1,1.0,1,1,1,3,3.0,3.0
-1.5,-7,2.7666666666666657,-0.3473251028806579,-3.673717021316225,109.4,106.76666666666668,117.2,104.0,Sun 1-10 1-10,A,248 (Ⅲ),Norfolk St.,"L, 89-85",77,110.6,59.5,18.2,115.8,54.2,15.6,33.5,2.5,140.5,106.696875,103.99375,103.6740740740741,97.64705652246805,107.3125,97.425,104.02139917695473,101.32077354378427,20210110,95.2,104.8,-9.599999999999994,97.5,101.6,-4.099999999999993,93.6,104.8,-11.22,70.4,7.125314229044136,131.73806916040203,67.59601706970129,7.636282141658327,137.8728090380415,-5.103492391306754,137.8728090380415,7.636282141658327,137.8728090380415,-5.103492391306754,131.43312077103184,95.8,101.8,-6.0,67.5,95.2,104.8,-9.599999999999994,97.5,101.6,-4.099999999999993,-2.642429761919999,132.11062374550403,0,106.21374767910105,93.97549668017113,12.238250998929914,4.198375639516507,96.4655091699106,100.60416394960819,-4.138654779697589,-7.28852651280306,2021-01-10,-7.392013840073602,136.48745933077373,-5.901243326475189,136.48745933077373,4.220000000000001,90.35,53.50925925925926,86.13,36.840740740740735,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,10.872674897119342,13.986666666666666,14.539012345679012,15.058333333333332,17.226,1,1.0,1,1,1,3,3.0,3.0
13.0,4,1.6666666666666667,1.2684499314128947,-2.187586653804184,119.2,111.9,114.7,110.23333333333332,Sat 1-16 1-16,H,272 (Ⅳ),Coppin St.,"W, 92-72",74,124.1,60.7,22.9,97.1,46.0,25.6,11.5,-7.0,152.5,112.9484375,106.696875,108.8493827160494,101.56577351838293,111.00625,107.3125,107.5809327846365,103.75336017218712,20210116,97.6,105.0,-7.400000000000006,88.0,100.6,-12.599999999999996,95.8,105.6,-9.86,71.8,-9.185908098846724,150.6670088886891,78.33655761024183,-8.891482950456876,152.50752491125434,-23.6085461203102,152.50752491125434,-8.891482950456876,152.50752491125434,-23.6085461203102,159.93239281457662,88.4,104.1,-15.64,76.7,97.6,105.0,-7.400000000000006,88.0,100.6,-12.599999999999996,-16.714406071417812,146.99199225889998,0,108.63919476020607,95.8929949742762,12.74619978592986,5.922114100931329,90.0883750402824,100.30949161274613,-10.221116572463728,-8.106148807042834,2021-01-16,-22.431564241250186,156.70392311973728,-13.158729301227226,156.70392311973728,13.86,104.21,65.78950617283951,90.35,38.420493827160485,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,11.128449931412895,11.526666666666666,10.872674897119342,14.887142857142855,15.058333333333332,1,1.0,1,1,1,3,3.0,3.0
-18.0,-20,-7.866666666666664,-5.921033379058068,-5.480752716748877,93.2,107.26666666666664,113.5,115.13333333333333,Sun 1-17 1-17,H,272 (Ⅳ),Coppin St.,"L, 89-79",87,91.3,43.0,19.6,102.8,55.2,25.4,16.0,-8.0,152.0,103.07421875,112.9484375,103.6329218106996,100.04472378776785,112.253125,111.00625,109.55395518975769,105.52547650451672,20210117,97.5,104.7,-7.200000000000002,87.7,100.3,-12.599999999999996,95.9,105.7,-9.75,71.7,-9.177551701775855,150.41101742794862,78.12546230440968,-8.993962307775774,151.3364616366757,-22.25730323335772,151.3364616366757,-8.993962307775774,151.3364616366757,-22.25730323335772,163.81331404668947,88.4,104.1,-15.65,76.6,97.5,104.7,-7.200000000000002,87.7,100.3,-12.599999999999996,-17.83372915418128,152.8869233913635,0,108.92749305808344,97.79009031474912,11.13740274333432,6.855370931126312,91.24457231147724,100.33868557460957,-9.094113263132328,-5.631764652106668,2021-01-17,-20.434692659093145,158.75635486190774,-11.956528620374456,158.75635486190774,-10.25,93.96,78.59633744855967,104.21,15.363662551440328,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,3.828966620941932,1.8833333333333364,11.128449931412895,11.745,14.887142857142855,1,1.0,1,1,1,3,3.0,3.0
2.5,0,-5.266666666666667,-3.947355586038713,-4.484252222794535,108.7,107.0333333333333,108.7,112.3,Sun 1-24 1-24,H,346 (Ⅳ),Delaware St.,"W, 99-83",82,120.5,59.8,19.5,101.0,52.4,25.6,21.0,-13.5,161.0,105.887109375,103.07421875,105.32194787379976,101.61841037181006,110.4765625,112.253125,109.26930345983843,106.10266259460458,20210124,99.3,106.8,-7.5,94.6,113.2,-18.600000000000012,97.0,106.5,-9.53,72.5,-14.690096493006521,158.469331194691,76.93456614509245,-13.629651690741937,167.92306231732846,-16.381858170944376,167.92306231732846,-13.629651690741937,167.92306231732846,-16.381858170944376,169.09299100933274,90.7,113.4,-22.68,74.6,99.3,106.8,-7.5,94.6,113.2,-18.600000000000012,-21.083255801986688,164.26096677222606,0,108.30279946907874,97.42463311377384,10.878166355304899,6.090361997675817,97.4674563097883,104.5228656946585,-7.055409384870202,-3.901742937993359,2021-01-24,-18.909652440398673,163.9248107697801,-9.865123697175932,163.9248107697801,9.53,103.49,83.71755829903978,93.96,19.772441700960215,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,5.582644413961287,4.263333333333333,3.828966620941932,11.498888888888889,11.745,1,1.0,1,1,1,3,3.0,3.0
0.5,-7,-9.300000000000002,-5.164903724025812,-5.050751818650077,94.6,98.83333333333331,102.2,108.13333333333333,Sat 1-30 1-30,A,272 (Ⅳ),Coppin St.,"W, 79-76",84,94.5,44.6,21.5,90.9,44.1,19.1,-3.0,-2.5,158.0,100.2435546875,105.887109375,101.74796524919985,100.34233575875368,106.33828125,110.4765625,106.91286897322563,105.39308757740378,20210130,100.6,106.7,-6.1000000000000085,90.0,101.1,-11.099999999999996,98.3,107.3,-8.93,72.6,0.11064395854307918,158.7697591803849,80.13883357041252,-0.11531132776219977,161.5122541395629,0.8279674747451743,161.5122541395629,-0.11531132776219977,161.5122541395629,0.8279674747451743,169.43470791995603,90.3,104.1,-13.83,77.6,100.6,106.7,-6.1000000000000085,90.0,101.1,-11.099999999999996,-5.68879714665035,160.51751760097417,0,108.09543056191832,97.53345560498369,10.561974956934634,6.088194807859828,91.92670836375048,97.07760839962921,-5.150900035878735,-1.5406049416798961,2021-01-30,-8.035283863003087,158.72502826205564,-3.8187223980916087,158.72502826205564,1.9299999999999997,105.41999999999999,90.30837219935987,103.49,15.111627800640122,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,3.7650962759741873,-0.37000000000000277,5.582644413961287,10.542,11.498888888888889,1,1.0,1,1,1,3,3.0,3.0
