ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
5.5,7,,7.899999999999991,7.899999999999991,110.3,0.0,102.4,0.0,Wed 11-25 11-25,H,214 (Ⅳ),George Washington,"W, 78-71",69,112.9,56.3,13.0,28.6,14.1,102.7,54.8,23.2,24.2,44.2,21.0,-1.5,128.0,110.3,0.0,110.3,110.3,102.4,0.0,102.4,102.4,20201125,100.7,103.1,-2.3999999999999915,100.1,105.8,-5.700000000000002,95.4,98.5,-3.03,68.1,-4.0405084161385005,128.6273967953624,68.1,-6.424771545024882,146.39269661234346,-18.619187100971942,146.39269661234346,-6.424771545024882,146.39269661234346,-18.619187100971942,154.74986229516418,96.0,99.8,-3.81,70.3,100.7,103.1,-2.3999999999999915,100.1,105.8,-5.700000000000002,-18.619187100971942,154.74986229516418,0,102.15901140000001,106.1370215,-3.9780100999999917,-0.157315741,106.1370215,102.15901140000001,3.9780100999999917,7.7987044999999995,2020-11-25,1.5423622594481543,151.23871702290393,3.4383967836926814,151.23871702290393,10.03,10.03,0.0,0.0,10.03,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,10.92999999999999,,0.0,10.03,0.0,1,0.0,1,1,1,3,0.0,0.0
-14.5,-13,,0.8999999999999968,4.081818181818175,96.5,0.0,109.6,0.0,Fri 11-27 11-27,A,34 (I-A),Maryland,"L, 82-52",64,81.3,45.5,20.3,17.1,7.3,128.2,77.3,23.5,25.0,43.2,-1.0,15.5,135.0,103.4,110.3,105.70000000000002,107.79090909090908,106.0,102.4,104.8,103.7090909090909,20201127,100.7,103.1,-2.3999999999999915,108.4,95.3,13.100000000000007,97.1,99.7,-2.61,68.8,16.527169295094495,137.07113761449952,69.97439544807966,15.478265968891066,149.11263292131125,16.344756123866837,149.11263292131125,15.478265968891066,149.11263292131125,16.344756123866837,162.08592519256507,107.6,91.7,15.9,71.5,100.7,103.1,-2.3999999999999915,108.4,95.3,13.100000000000007,16.344756123866837,162.08592519256507,0,102.1590113824322,106.13702150289996,-3.978010120467758,-0.15731574057772235,108.35792275109304,102.72779671811851,5.63012603297453,10.450820412864571,2020-11-27,11.618201780750752,157.75528824025042,9.483101661534604,157.75528824025042,-10.39,-0.3600000000000012,10.03,10.03,-10.39,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,3.5099999999999967,,10.92999999999999,-0.18000000000000016,10.03,1,1.0,-1,-1,1,-1,3.0,0.0
4.0,4,-0.20000000000000284,2.1333333333333293,4.176033057851233,116.8,107.86666666666667,112.2,108.06666666666666,Sat 11-28 11-28,N,221 (Ⅲ),Mount St. Mary's,"W, 73-67",64,114.8,50.9,12.6,25.8,41.5,105.3,54.5,20.4,29.4,17.9,9.0,-2.0,131.0,110.1,103.4,109.4,109.42892561983471,109.1,106.0,107.26666666666668,105.25289256198349,20201128,99.7,102.1,-2.3999999999999915,96.0,104.0,-8.0,98.3,100.9,-2.61,68.9,-3.3776034801808805,130.83530208813687,67.52788051209106,-3.924001375766977,139.54280209762004,5.464038085115139,139.54280209762004,-3.924001375766977,139.54280209762004,5.464038085115139,121.02019257329812,94.0,101.6,-7.63,68.9,99.7,102.1,-2.3999999999999915,96.0,104.0,-8.0,5.536939773885654,120.97134838739643,0,97.09217544742344,105.57280909007336,-8.48063364264992,-3.263506053327908,100.4755243522951,90.07565564930519,10.399868702989906,12.069850890532196,2020-11-28,12.880589784226508,133.88873060171775,10.354290955542268,133.88873060171775,6.609999999999999,6.249999999999998,6.566666666666667,-0.3600000000000012,-0.3166666666666691,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,4.743333333333329,2.409999999999997,3.5099999999999967,2.0833333333333335,-0.18000000000000016,1,1.0,-1,1,-1,1,-1.0,3.0
17.5,22,4.63333333333333,8.888888888888882,7.489481592787371,120.6,111.3,98.2,106.66666666666669,Tue 12-01 12-01,A,51 (I),Georgetown,"W, 78-71",69,113.2,57.0,13.1,25.7,15.6,103.0,50.0,18.9,30.8,28.3,11.0,10.5,138.0,115.35,110.1,113.13333333333335,111.46003005259202,103.65,109.1,104.24444444444448,103.97054845980465,20201201,98.8,101.8,-3.0,100.7,95.5,5.200000000000003,98.4,101.8,-3.37,68.4,12.780888487597892,144.51901816287472,73.45945945945947,10.265838152103058,148.0158896374482,12.458845984720014,148.0158896374482,10.265838152103058,148.0158896374482,12.458845984720014,132.39654765992464,102.8,94.2,8.62,75.5,98.8,101.8,-3.0,100.7,95.5,5.200000000000003,12.373719763563154,132.4830414606327,0,101.068771903164,102.7242521655114,-1.655480262347396,1.919778448427756,94.41980830754864,89.33312341145785,5.086684896090787,4.553065153794812,2020-12-01,8.972019637755011,140.78584414130455,4.057831867551215,140.78584414130455,25.37,31.619999999999997,6.461111111111112,6.249999999999998,25.158888888888885,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,12.258888888888883,8.00333333333333,4.743333333333329,7.905,2.0833333333333335,1,1.0,1,1,1,3,1.0,-1.0
6.0,-7,6.533333333333327,3.459259259259253,4.782303121371483,94.0,110.46666666666668,101.4,103.93333333333332,Sat 1-02 1-02,H,261 (Ⅳ),Bucknell,"W, 78-69",74,106.1,51.7,16.3,18.8,30.0,93.8,46.6,15.0,15.4,34.5,10.5,-3.0,136.5,104.675,115.35,106.75555555555556,108.28547913393892,102.525,103.65,103.2962962962963,103.50317601256745,20210102,101.9,103.7,-1.7999999999999972,91.1,102.6,-11.5,100.8,102.7,-1.81,66.3,-7.287591918621132,137.12450109034728,67.71465149359885,-10.85830893150348,138.27870708716546,-7.319367036636019,138.27870708716546,-10.85830893150348,138.27870708716546,-7.319367036636019,144.80925465685752,96.5,103.4,-6.97,71.8,101.9,103.7,-1.7999999999999972,91.1,102.6,-11.5,-7.266270676117316,144.87736961345715,0,105.3394756303648,104.00290671568108,1.336568914683724,0.01951151005153424,0.0,0.0,0.0,0.0,2021-01-02,0.0,0.0,,0.0,-5.1899999999999995,26.43,14.847407407407408,31.619999999999997,11.582592592592592,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,5.269259259259253,8.343333333333327,12.258888888888883,5.2860000000000005,7.905,1,1.0,1,1,1,3,3.0,1.0
4.5,3,6.066666666666663,3.372839506172837,4.494611644758487,87.4,100.66666666666669,84.2,94.59999999999998,Sun 1-03 1-03,A,261 (Ⅲ),Bucknell,"W, 63-60",70,90.1,40.6,14.3,31.8,31.3,85.8,34.0,20.0,25.0,49.1,-16.0,1.5,139.0,96.0375,104.675,100.30370370370373,104.48811929140457,93.3625,102.525,96.93086419753088,99.9935076466461,20210103,101.8,103.6,-1.7999999999999972,91.1,102.5,-11.400000000000004,100.8,102.7,-1.82,66.2,0.38335088153205277,136.53429421879116,67.51834992887625,-3.045709184056875,137.29667895427474,2.358313888776507,137.29667895427474,-3.045709184056875,137.29667895427474,2.358313888776507,141.61066678896506,96.5,103.4,-6.97,71.7,101.8,103.6,-1.7999999999999972,91.1,102.5,-11.400000000000004,2.4487890746465264,141.44150466061592,0,105.17498824618414,103.79849351033212,1.3764947358520203,1.3102943001617908,96.27194614332777,95.78536660926201,0.48657953406575416,3.684291037064626,2021-01-03,3.323884978564138,138.82062829131326,3.5406088846074937,138.82062829131326,4.82,31.25,18.708271604938272,26.43,12.541728395061728,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,5.192839506172837,7.886666666666663,5.269259259259253,5.208333333333334,5.2860000000000005,1,1.0,1,1,1,3,3.0,3.0
5.0,0,-1.5333333333333314,2.115226337448561,3.6046822548024,107.7,96.36666666666667,108.1,97.9,Sat 1-09 1-09,A,317 (Ⅳ),Lehigh,"W, 69-61",62,111.6,50.0,17.8,41.4,52.0,98.7,59.4,25.9,25.0,18.8,-10.5,-3.0,140.5,101.86875,96.0375,102.76913580246917,105.07209760205826,100.73125,93.3625,100.6539094650206,101.4674153472559,20210109,101.9,104.0,-2.0999999999999943,96.2,107.3,-11.099999999999996,101.0,102.6,-1.6,66.6,-2.4646504741555475,140.1440848884839,67.26315789473684,-2.3636954618461345,144.15530864323182,-5.952883860694995,144.15530864323182,-2.3636954618461345,144.15530864323182,-5.952883860694995,140.21139902658723,97.5,108.5,-10.95,71.0,101.9,104.0,-2.0999999999999943,96.2,107.3,-11.099999999999996,-6.843367712437345,141.2057267126169,0,103.98308349999999,103.14648879999999,0.8365947000000062,0.454516608,98.69699936,101.6961055,-2.999106139999995,0.015156293999999999,2021-01-09,1.2862606863228336,142.99187777323874,1.5922636348792452,142.99187777323874,1.6,32.85,22.888847736625515,31.25,9.961152263374487,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,3.715226337448561,0.06666666666666865,5.192839506172837,4.692857142857143,5.208333333333334,1,1.0,1,1,1,3,3.0,3.0
8.5,-3,-0.16666666666666194,0.3101508916323752,2.3492854812019632,106.0,100.36666666666667,109.3,100.53333333333336,Sun 1-10 1-10,H,317 (Ⅳ),Lehigh,"W, 73-58",62,116.9,57.5,24.0,48.3,32.1,92.9,50.0,14.4,10.0,15.1,-7.0,-6.5,138.0,103.934375,101.86875,103.84609053497944,105.24080712895676,105.015625,100.73125,103.53593964334705,102.8915216477548,20210110,101.9,104.1,-2.1999999999999886,96.2,107.3,-11.099999999999996,100.9,102.6,-1.67,66.6,-10.243860948039597,140.29115926216497,67.26315789473685,-10.380392506809144,144.5783338660877,-15.797078845905078,144.5783338660877,-10.380392506809144,144.5783338660877,-15.797078845905078,142.928492128763,97.4,108.4,-10.95,71.0,101.9,104.1,-2.1999999999999886,96.2,107.3,-11.099999999999996,-14.242564025453694,143.35962320986698,0,103.98308346085354,103.1464888272294,0.8365946336241308,0.4545166080652136,98.69699935786848,101.69610545938478,-2.999106101516304,0.01515629394644831,2021-01-10,-6.72397672177388,143.1441039463802,-2.1833188784245294,143.1441039463802,-1.33,31.520000000000003,26.20923182441701,32.85,5.310768175582993,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1.9801508916323751,1.503333333333338,3.715226337448561,3.9400000000000004,4.692857142857143,1,1.0,1,1,1,3,3.0,3.0
-7.5,-12,-5.333333333333329,-3.893232738911749,-0.31422096992566617,108.9,107.53333333333336,121.2,112.86666666666667,Sat 1-16 1-16,H,250 (Ⅳ),American,"W, 87-86 OT",76,115.0,44.6,17.2,45.7,61.5,113.7,66.7,26.4,32.1,15.0,42.0,-8.5,131.0,106.4171875,103.934375,105.53072702331964,105.90611492369189,113.1078125,105.015625,109.4239597622314,106.22033589361756,20210116,102.4,104.1,-1.6999999999999886,97.5,104.8,-7.299999999999998,101.9,102.6,-0.69,65.1,-8.313445420201234,130.63039394889438,63.525746799431005,-7.605939116315312,136.27824632572333,-2.889493918651721,136.27824632572333,-7.605939116315312,136.27824632572333,-2.889493918651721,145.74343989087572,97.0,104.9,-7.93,68.6,102.4,104.1,-1.6999999999999886,97.5,104.8,-7.299999999999998,-2.3113149203923107,149.29318188668694,0,103.9874615242908,102.91534572651169,1.0721157977791052,0.8373768034566782,0.0,0.0,0.0,0.0,2021-01-16,0.0,0.0,,0.0,-11.31,20.21,27.979487882944678,31.520000000000003,-7.769487882944677,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,-3.203232738911749,-4.643333333333329,1.9801508916323751,2.245555555555556,3.9400000000000004,-1,1.0,-1,1,1,-1,3.0,3.0
5.5,5,-3.2666666666666657,-0.6621551592745005,0.7974555700608181,97.5,104.13333333333334,91.7,107.40000000000002,Sun 1-17 1-17,H,250 (Ⅳ),American,"W, 71-59",69,103.1,51.8,20.3,25.0,30.9,85.7,50.0,30.5,31.3,27.5,-6.0,-6.5,136.0,101.95859375,106.4171875,102.85381801554642,104.37773039211154,102.40390625,113.1078125,103.51597317482091,103.58027482205074,20210117,102.2,103.7,-1.5,97.2,104.6,-7.399999999999991,102.0,102.6,-0.67,65.0,-8.356547650147576,130.30757462457274,63.33570412517781,-7.750263818210293,135.16315217915624,1.8289795508644666,135.16315217915624,-7.750263818210293,135.16315217915624,1.8289795508644666,146.89841347808255,97.0,104.9,-7.93,68.5,102.2,103.7,-1.5,97.2,104.6,-7.399999999999991,-1.2318822902367226,150.48548818008263,0,103.36069514447705,103.72078599585356,-0.360090851376512,-0.9979756953510476,105.613614853674,99.86761553863451,5.745999315039484,2.4587847275231414,2021-01-17,0.23609832114726714,138.23337693091813,0.4030108466325544,138.23337693091813,5.67,25.880000000000003,25.389658588629786,20.21,0.4903414113702169,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0.007844840725499513,-2.596666666666666,-3.203232738911749,2.5880000000000005,2.245555555555556,1,-1.0,1,1,1,3,-1.0,3.0
