ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,PPP1,EFG%1,TO%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
14.0,13,,13.100000000000007,13.100000000000007,106.9,0.0,93.8,0.0,Sun 12-13 12-13,A,196 (Ⅲ),Rice,"W, 72-61",64,112.7,47.0,23.5,95.5,45.5,23.5,-17.5,3.0,150.5,106.9,0.0,106.9,106.9,93.8,0.0,93.8,93.8,20201213,95.8,103.5,-7.700000000000002,96.4,109.2,-12.799999999999995,98.1,103.3,-5.12,74.2,3.6145182280924217,151.1739811871484,76.52204836415365,0.6893565779058974,159.6163002443415,2.4173505964977893,159.6163002443415,0.6893565779058974,159.6163002443415,2.4173505964977893,138.69674596455422,95.7,101.6,-5.88,72.5,95.8,103.5,-7.700000000000002,96.4,109.2,-12.799999999999995,2.3941224665365772,138.76961571721364,0,0.0,0.0,0.0,0.0,107.4191194347913,82.17389057363698,25.245228861154317,21.72070320651122,2020-12-13,-0.0,0.0,,0.0,18.12,18.12,0.0,0.0,18.12,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,18.220000000000006,,0.0,18.12,0.0,1,0.0,1,1,1,3,0.0,0.0
-14.5,-13,,4.133333333333342,8.209090909090914,90.8,0.0,104.6,0.0,Mon 12-21 12-21,A,70 (I),Boise St.,"L, 77-53",66,80.0,38.4,19.6,116.2,62.5,18.1,-9.5,9.5,139.5,98.85,106.9,101.53333333333336,103.97272727272728,99.2,93.8,97.4,95.76363636363637,20201221,95.5,102.2,-6.700000000000002,104.2,94.0,10.200000000000003,99.2,103.1,-3.89,71.9,12.960487926444173,145.84813550087284,71.9,16.3396391244832,144.68891635011505,10.361950544521715,144.68891635011505,16.3396391244832,144.68891635011505,10.361950544521715,134.7220187332225,104.7,96.3,8.43,70.3,95.5,102.2,-6.700000000000002,104.2,94.0,10.200000000000003,10.371722352182672,134.69743978174245,0,106.62378282708269,90.99368967820257,15.630093148880121,8.760764357427975,102.98414074985835,89.19390356568006,13.790237184178295,8.603000282454598,2020-12-21,2.8630477408863726,138.83566586378734,2.0745512849591847,138.83566586378734,-9.11,9.010000000000002,18.12,18.12,-9.11,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,8.023333333333342,,18.220000000000006,4.505,18.12,1,1.0,-1,1,1,1,3.0,0.0
-26.5,-32,-11.199999999999998,-8.211111111111109,0.7347107438016556,82.3,93.33333333333331,115.2,104.53333333333332,Wed 12-23 12-23,A,70 (I),Boise St.,"L, 89-52",71,73.6,34.3,25.5,126.0,69.2,18.4,0.5,10.5,140.5,90.575,98.85,95.12222222222223,100.0322314049587,107.2,99.2,103.33333333333334,99.29752066115702,20201223,95.6,102.6,-7.0,104.7,93.9,10.799999999999995,98.7,103.6,-4.91,71.3,14.22295677408971,142.66709630661384,70.28577524893313,16.671471137685785,142.21493047675395,18.04658388685872,142.21493047675395,16.671471137685785,142.21493047675395,18.04658388685872,133.0904301075818,105.3,95.7,9.56,69.3,95.6,102.6,-7.0,104.7,93.9,10.799999999999995,18.01723310212918,133.3999225450894,0,101.46735358650423,94.96144594544613,6.505907641058101,7.877127644488232,105.87752747884895,87.72634197417017,18.15118550467878,16.711998358577567,2020-12-23,12.111696095797974,136.5995445017973,8.41961629034347,136.5995445017973,-27.09,-18.08,15.083333333333336,9.010000000000002,-33.163333333333334,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,-3.3011111111111084,-6.289999999999997,8.023333333333342,-6.026666666666666,4.505,-1,1.0,-1,-1,1,-3,1.0,3.0
-9.0,-10,-19.1,-9.007407407407404,-1.326145755071372,77.9,83.66666666666666,88.5,102.76666666666664,Thu 12-31 12-31,N,101 (Ⅱ),Nevada,"L, 68-54",72,74.8,33.6,22.2,94.2,42.3,20.8,-23.0,5.0,145.0,84.2375,90.575,89.3814814814815,96.00818933132985,97.85,107.2,98.38888888888891,97.3343350864012,20201231,95.4,103.8,-8.399999999999991,101.5,97.8,3.700000000000003,98.5,104.7,-6.22,71.1,7.123993068512348,148.6479364922189,73.22389758179233,9.023724024542986,148.6949660754549,5.152646423524094,148.6949660754549,9.023724024542986,148.6949660754549,5.152646423524094,147.30270495469586,102.1,98.6,3.53,72.4,95.4,103.8,-8.399999999999991,101.5,97.8,3.700000000000003,9.756957482353076,141.93415597480228,0,98.28044492832274,98.36014688358091,-0.07970195525817303,7.093463642361679,96.625258821811,100.0738844635754,-3.4486256417643943,-6.998182581041322,2020-12-31,-2.4792542193404614,144.75458518644388,-10.318452598213128,144.75458518644388,-3.7800000000000002,-21.86,4.028888888888893,-18.08,-25.888888888888893,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,-2.7874074074074047,-12.880000000000003,-3.3011111111111084,-5.465,-6.026666666666666,-1,-1.0,-1,-1,-1,-3,-3.0,1.0
-4.0,-3,-15.699999999999998,-7.2049382716049335,-1.739573799603849,123.2,94.46666666666664,126.8,110.16666666666669,Sat 1-02 1-02,N,101 (Ⅱ),Nevada,"L, 84-74",62,118.7,53.9,12.8,134.8,61.8,12.8,15.5,6.0,142.5,103.71875,84.2375,100.6543209876543,100.95215490745169,112.325,97.85,107.85925925925928,102.69172870705552,20210102,94.8,103.3,-8.5,100.6,97.0,3.5999999999999943,97.3,103.9,-6.64,70.9,7.462862559605966,145.2649509331012,72.91706970128024,8.918336701414702,146.01433792431868,9.207302122876207,146.01433792431868,8.918336701414702,146.01433792431868,9.207302122876207,138.1836387743133,101.3,97.6,3.71,72.3,94.8,103.3,-8.5,100.6,97.0,3.5999999999999943,9.954577961420952,134.00818116793786,0,92.0264357459835,97.24573853593444,-5.21930278995093,1.2978077646958646,95.78427445262055,97.92452356624099,-2.140249113620442,-6.3245293061488566,2021-01-02,2.2584524681431617,136.61189073537452,-5.557984834814377,136.61189073537452,3.6399999999999997,-18.22,-4.600740740740736,-21.86,-13.619259259259263,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,-0.5649382716049338,-9.059999999999999,-2.7874074074074047,-3.644,-5.465,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-20.0,-22,-12.133333333333333,-12.203292181069958,-5.459651290584969,76.7,92.59999999999998,98.9,104.73333333333332,Wed 1-06 1-06,N,39 (I),Utah St.,"L, 77-45",71,63.1,31.3,25.2,108.0,52.6,21.0,-15.5,12.0,137.5,90.209375,103.71875,92.6695473251029,96.54267219700591,105.6125,112.325,104.87283950617287,102.00232348759087,20210106,97.0,105.3,-8.299999999999997,103.8,93.6,10.200000000000003,98.8,105.8,-7.0,68.9,13.060812005972984,137.87579404711863,67.82190611664298,12.8593192942825,139.01395611303374,22.81952558309664,139.01395611303374,12.8593192942825,139.01395611303374,22.81952558309664,131.23955215534215,105.7,93.6,12.07,69.2,97.0,105.3,-8.299999999999997,103.8,93.6,10.200000000000003,15.123610036966298,133.2582655964403,0,95.05648441644148,104.12516656611307,-9.068682149671588,-4.423906427124728,100.85623708794115,96.12271346683607,4.733523621105078,4.023552845263785,2021-01-06,9.480392507457424,136.4393667733686,5.729227896960992,136.4393667733686,-15.0,-33.22,-9.14049382716049,-18.22,-24.07950617283951,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,-5.203292181069958,-5.133333333333333,-0.5649382716049338,-5.536666666666666,-3.644,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-21.0,-33,-19.866666666666664,-19.40219478737997,-10.612441965024065,75.9,91.93333333333332,109.7,111.8,Fri 1-08 1-08,N,39 (I),Utah St.,"L, 82-46",70,65.3,35.2,19.9,116.3,56.3,24.1,-8.0,15.0,136.0,83.0546875,90.209375,87.07969821673527,92.78945907027756,107.65625,105.6125,106.48189300411524,103.40190103530163,20210108,95.7,105.5,-9.799999999999997,104.1,92.1,12.0,97.9,106.0,-8.09,68.6,14.40146113585699,136.66490572684233,67.62418207681365,15.02344365852106,137.14592168828688,29.532233787637118,137.14592168828688,15.02344365852106,137.14592168828688,29.532233787637118,127.10304587588239,105.9,92.8,13.1,69.3,95.7,105.5,-9.799999999999997,104.1,92.1,12.0,17.34441251709815,128.75912633823668,0,91.67663433508062,104.21436557204828,-12.537731236967659,-11.474307318827686,100.7326908641967,93.88714993449278,6.845540929703915,4.087094140666364,2021-01-08,13.097213121989213,132.35557971665753,10.5232704566722,132.35557971665753,-24.91,-58.129999999999995,-17.16699588477366,-33.22,-40.96300411522634,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,-11.312194787379969,-11.776666666666664,-5.203292181069958,-8.304285714285715,-5.536666666666666,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
6.5,-3,-19.700000000000006,-13.968129858253318,-9.24654342592878,101.8,84.8,104.9,104.5,Wed 1-13 1-13,A,321 (Ⅳ),Dixie St.,"W, 72-63",67,106.7,43.8,14.8,93.4,39.4,10.4,-12.5,-2.5,147.5,92.42734375,83.0546875,91.98646547782353,94.42773923931802,106.278125,107.65625,105.95459533607685,103.67428266524678,20210113,94.5,105.3,-10.799999999999995,94.1,109.8,-15.700000000000005,97.0,105.9,-8.92,68.5,1.4969825888234993,143.2295303984749,69.86415362731152,0.7187390389825197,144.98481777689176,12.985164481452191,144.98481777689176,0.7187390389825197,144.98481777689176,12.985164481452191,134.82903118747748,95.6,108.1,-12.51,71.7,94.5,105.3,-10.799999999999995,94.1,109.8,-15.700000000000005,9.00853244417411,135.41106638381027,0,92.3734262615653,106.02370391066795,-13.650277649102648,-14.757405082389953,97.7490894354645,103.02619644120531,-5.277107005740817,-4.3774901918459905,2021-01-13,10.037102785716968,142.35689129868996,9.020877930247096,142.35689129868996,5.92,-52.209999999999994,-30.821330589849104,-58.129999999999995,-21.38866941015089,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-5.0481298582533185,-10.780000000000006,-11.312194787379969,-6.526249999999999,-8.304285714285715,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-12.5,-30,-22.46666666666667,-19.478753238835548,-13.11080825757809,83.5,87.06666666666666,114.0,109.5333333333333,Sat 1-16 1-16,A,171 (Ⅲ),UNLV,"L, 77-54",65,83.3,36.3,21.6,118.8,59.6,18.5,-9.0,10.5,140.0,87.963671875,92.42734375,89.15764365188234,92.440877559442,110.1390625,106.278125,108.6363968907179,105.55168581702007,20210116,95.6,105.0,-9.400000000000006,106.9,103.6,3.300000000000012,97.4,105.4,-8.01,67.6,11.482185237512681,139.02017519436936,65.77297297297298,12.895081070933102,142.7600298534461,21.4834952141674,142.7600298534461,12.895081070933102,142.7600298534461,21.4834952141674,140.53040278578234,106.1,102.9,3.17,68.4,95.6,105.0,-9.400000000000006,106.9,103.6,3.300000000000012,14.899221029871839,137.75712527786195,0,93.55572120429329,101.91170946214788,-8.355988257854591,-11.07041997286901,104.13476513522616,104.52920250487136,-0.39443736964520326,-6.557188648753753,2021-01-16,9.47056361932998,137.69839248177465,4.647810830698582,137.69839248177465,-21.990000000000002,-74.19999999999999,-37.9508870598994,-52.209999999999994,-36.24911294010059,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,-11.468753238835548,-14.456666666666669,-5.0481298582533185,-8.244444444444444,-6.526249999999999,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
5.0,-2,-11.966666666666667,-13.752502159223699,-11.145206756200256,74.9,86.73333333333333,77.2,98.69999999999996,Mon 1-18 1-18,A,171 (Ⅲ),UNLV,"L, 53-46",64,72.3,40.8,31.4,83.3,42.9,23.6,-39.0,12.0,138.0,81.43183593750003,87.963671875,84.40509576792158,89.25162709408892,93.66953125,110.1390625,98.15759792714529,100.39683385028916,20210118,95.6,105.8,-10.200000000000003,107.7,103.0,4.700000000000003,96.6,105.7,-9.05,66.8,12.84219744404949,136.80197355209833,65.0896159317212,14.305270210123204,142.11625656753645,24.8954313905498,142.11625656753645,14.305270210123204,142.11625656753645,24.8954313905498,141.9560310772433,106.3,101.9,4.33,68.5,95.6,105.8,-10.200000000000003,107.7,103.0,4.700000000000003,17.8621327966679,136.67070820675153,0,92.63153078893156,103.02196922028305,-10.390438431351498,-10.757739735671391,104.32790512262184,103.68495934488277,0.6429457777390724,-3.0807219140780786,2021-01-18,11.439718254828797,136.10561698643477,6.693347039631547,136.10561698643477,7.050000000000001,-67.14999999999999,-50.03392470659959,-74.19999999999999,-17.1160752934004,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,-4.702502159223698,-2.916666666666666,-11.468753238835548,-6.714999999999999,-8.244444444444444,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
