ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,PPP1,EFG%1,TO%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
11.5,0,,0.09999999999999433,0.09999999999999433,119.3,0.0,119.2,0.0,Wed 11-25 11-25,N,227 (Ⅳ),UC Davis,"W, 101-93",82,122.7,56.2,15.8,112.9,66.3,24.3,50.5,3.5,143.5,119.3,0.0,119.3,119.3,119.2,0.0,119.2,119.2,20201125,97.9,106.6,-8.699999999999989,99.3,107.7,-8.400000000000006,95.4,102.4,-7.08,72.4,2.912022963419048,141.59184119233137,73.63584637268848,0.3127034245557354,159.0174807498779,-11.532838931940592,159.0174807498779,0.3127034245557354,159.0174807498779,-11.532838931940592,207.1682624969039,96.3,99.2,-2.88,71.5,97.9,106.6,-8.699999999999989,99.3,107.7,-8.400000000000006,-11.532838931940592,207.1682624969039,0,109.42686929999999,107.11576480000001,2.311104499999985,8.131798792,107.11576480000001,109.42686929999999,-2.311104499999985,3.5095899680000002,2020-11-25,-3.7663841009320294,176.46879127313002,-3.4036025886654784,176.46879127313002,7.08,7.08,0.0,0.0,7.08,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,7.179999999999994,,0.0,7.08,0.0,1,0.0,1,1,1,3,0.0,0.0
11.5,21,,7.1999999999999975,3.972727272727268,96.4,0.0,75.0,0.0,Fri 11-27 11-27,N,266 (Ⅳ),Idaho St.,"W, 70-51",74,95.0,52.7,21.7,69.2,41.3,38.0,-32.5,-7.5,153.5,107.85,119.3,111.66666666666669,115.13636363636364,97.1,119.2,104.46666666666668,111.16363636363636,20201127,97.9,106.6,-8.699999999999989,95.7,109.5,-13.799999999999995,97.9,104.0,-6.09,74.6,-3.591115699171283,150.46587514801524,74.3877667140825,-3.940468646525531,159.02086042079787,-15.24601334550578,159.02086042079787,-3.940468646525531,159.02086042079787,-15.24601334550578,153.236282829947,95.4,106.3,-10.81,70.1,97.9,106.6,-8.699999999999989,95.7,109.5,-13.799999999999995,-15.24601334550578,153.236282829947,0,109.42686925863687,107.11576484701996,2.3111044116169097,8.131798791506924,96.63598385073652,94.44359660688126,2.192387243855265,4.679748290411896,2020-11-27,0.1259465057055138,157.2288598124272,-2.567903273606902,157.2288598124272,27.09,34.17,7.08,7.08,27.090000000000003,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,13.289999999999997,,7.179999999999994,17.085,7.08,1,1.0,1,1,1,3,3.0,0.0
-12.5,-20,0.2666666666666657,-2.1000000000000014,-0.5132231404958714,80.3,98.66666666666669,101.0,98.4,Sat 11-28 11-28,A,144 (Ⅲ),Santa Clara,"L, 73-57",73,78.1,33.6,15.1,100.0,43.9,13.7,-16.0,3.5,146.0,94.075,107.85,101.21111111111115,108.80247933884294,99.05,97.1,103.31111111111113,109.31570247933882,20201128,97.0,105.7,-8.700000000000003,103.7,98.0,5.700000000000002,99.1,105.2,-6.09,74.7,13.507857643016067,153.1530986467792,76.50640113798009,15.845432959887845,160.2299560806822,0.3647719429714322,160.2299560806822,15.845432959887845,160.2299560806822,0.3647719429714322,134.96452397296136,101.2,95.2,5.97,72.0,97.0,105.7,-8.700000000000003,103.7,98.0,5.700000000000002,0.3931352053831521,135.05059359241326,0,107.4576316703569,96.79893039035878,10.658701279998127,11.428351915452836,86.64306132650711,93.0945656812902,-6.451504354783097,-6.515187052661692,2020-11-28,-8.609486983038138,143.3348182301542,-11.533152270773058,143.3348182301542,-13.91,20.26,16.11,34.17,4.150000000000002,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,3.9899999999999984,6.356666666666666,13.289999999999997,6.753333333333332,17.085,1,1.0,1,1,1,3,3.0,3.0
-3.0,-13,-4.199999999999998,-5.833333333333332,-2.8380916604057123,72.7,83.13333333333333,86.0,87.33333333333331,Mon 11-30 11-30,A,162 (Ⅲ),California,"L, 60-49",68,71.5,38.3,26.3,87.6,50.0,29.2,-33.0,8.0,142.0,83.38749999999997,94.075,91.70740740740743,102.23839218632605,92.525,99.05,97.54074074074076,105.07648384673176,20201130,94.0,101.9,-7.900000000000006,104.9,97.2,7.700000000000002,97.4,102.6,-5.23,74.6,10.90865626064047,147.18116134054088,74.70611664295875,16.08878642572627,151.683225497506,0.09022785268715283,151.683225497506,16.08878642572627,151.683225497506,0.09022785268715283,139.46869157668155,100.8,96.8,3.96,70.4,94.0,101.9,-7.900000000000006,104.9,97.2,7.700000000000002,0.11441531412599276,139.68571398713294,0,103.32952555927437,97.3707310077483,5.9587945515260685,9.241223486934178,98.16580524259741,99.8804136232598,-1.7146083806623835,0.5315587106470879,2020-11-30,-1.569650592819272,151.59287807446458,-4.312668936031841,151.59287807446458,-7.77,12.490000000000002,17.493333333333332,20.26,-5.00333333333333,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,-0.6033333333333317,1.030000000000002,3.9899999999999984,3.1224999999999996,6.753333333333332,-1,1.0,-1,1,1,-1,3.0,3.0
-9.0,-23,-19.233333333333334,-11.788888888888891,-6.631165903968309,91.5,81.49999999999999,115.2,100.73333333333332,Tue 12-01 12-01,A,74 (I),Saint Mary's,"L, 73-50",64,78.6,40.7,17.3,114.8,59.6,17.3,-12.5,14.0,135.5,87.44375,83.38749999999997,91.6382716049383,100.2859572433577,103.8625,92.525,103.42716049382722,106.917123147326,20201201,94.1,101.7,-7.600000000000008,104.6,94.4,10.199999999999989,97.3,102.6,-5.23,74.6,15.928829926893734,143.01377872905596,73.22048364153628,17.227421913563674,146.50270664065914,10.545004158854255,146.50270664065914,17.227421913563674,146.50270664065914,10.545004158854255,127.60549497322465,103.4,92.2,11.18,69.0,94.1,101.7,-7.600000000000008,104.6,94.4,10.199999999999989,10.042958761686425,127.75033099903415,0,99.16906449014208,95.01045612700729,4.158608363134789,7.106974284977404,97.78375192241741,90.4238592306545,7.359892691762909,9.923953370435157,2020-12-01,6.245987815805563,136.74677762261496,4.287361038787182,136.74677762261496,-17.77,-5.279999999999998,15.825555555555557,12.490000000000002,-21.105555555555554,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,-6.558888888888891,-14.003333333333334,-0.6033333333333317,-1.056,3.1224999999999996,-1,-1.0,-1,-1,1,-3,-1.0,3.0
15.0,9,-9.166666666666666,-4.692592592592595,-3.6982266487013433,110.1,91.43333333333332,100.6,100.59999999999998,Sat 12-26 12-26,A,30 (I-A),LSU,"L, 86-80",74,108.1,51.4,18.9,116.3,58.9,20.3,16.5,21.0,149.5,98.771875,87.44375,97.79218106995887,102.07032865365628,102.23125,103.8625,102.48477366255146,105.7685553023576,20201226,93.8,102.0,-8.200000000000003,114.6,98.3,16.299999999999994,96.7,102.8,-6.11,72.1,22.270699619343134,153.58709372656494,72.51024182076814,22.646788044658777,155.56671467732002,26.20702600244506,155.56671467732002,22.646788044658777,155.56671467732002,26.20702600244506,151.13740839619174,115.3,96.8,18.52,70.7,93.8,102.0,-8.200000000000003,114.6,98.3,16.299999999999994,26.706338876615614,151.0553866395588,0,93.87682256904442,95.95498426799578,-2.0781616989513623,0.7727596687881358,114.86693477692184,98.07111312106701,16.795821655854823,21.280332285893806,2020-12-26,17.661586885607363,150.38062424826595,17.124247771488626,150.38062424826595,15.11,9.830000000000002,8.790370370370372,-5.279999999999998,1.03962962962963,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1.4174074074074055,-3.0566666666666658,-6.558888888888891,1.6383333333333336,-1.056,1,-1.0,1,1,-1,3,-3.0,-1.0
-7.5,-3,-5.966666666666664,-4.361728395061728,-3.698549076210188,106.9,102.83333333333331,110.6,108.8,Sat 1-02 1-02,H,177 (Ⅲ),Sam Houston St.,"L, 84-81",77,105.7,56.3,18.3,109.6,56.9,22.2,16.0,-4.5,149.0,102.8359375,98.771875,100.82812071330594,102.94845071662785,106.415625,102.23125,105.18984910836764,106.64699979283805,20210102,95.4,102.4,-7.0,93.8,103.3,-9.5,97.9,102.9,-4.95,72.4,-7.2939537335355595,153.62556732140604,76.72546230440969,-6.224616765936034,152.5217373573944,-3.645154739399174,152.5217373573944,-6.224616765936034,152.5217373573944,-3.645154739399174,132.0464687548624,95.8,104.7,-8.91,74.5,95.4,102.4,-7.0,93.8,103.3,-9.5,-6.81106384311976,141.74900496033095,0,96.88183440339806,95.14648039595556,1.7353540074424956,1.1179993919156113,93.84702976902422,97.22306028570526,-3.376030516681041,-6.5686585486600135,2021-01-02,-7.863021153147145,143.8653180452978,-7.987388177075658,143.8653180452978,1.9500000000000002,11.780000000000001,9.136913580246915,9.830000000000002,2.643086419753086,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0.5882716049382726,-1.016666666666664,1.4174074074074055,1.6828571428571424,1.6383333333333336,1,1.0,1,1,1,3,3.0,-3.0
-1.5,-13,-2.5333333333333266,-7.374485596707815,-5.462449244171972,103.7,106.89999999999998,117.1,109.43333333333334,Wed 1-06 1-06,H,306 (Ⅳ),Lamar,"W, 76-69",68,112.3,53.8,10.3,102.0,41.5,5.9,-2.5,-8.5,147.5,103.26796875,102.8359375,101.78541380887064,103.0850960408773,111.7578125,106.415625,109.15989940557844,108.54754528504931,20210106,96.0,103.3,-7.299999999999998,89.6,102.5,-12.900000000000004,98.4,103.9,-5.53,72.0,-9.240799107644264,145.021627156485,73.74110953058322,-8.434119724786186,144.06474308362976,-9.004301716999588,144.06474308362976,-8.434119724786186,144.06474308362976,-9.004301716999588,141.09150375585787,91.6,103.9,-12.26,72.0,96.0,103.3,-7.299999999999998,89.6,102.5,-12.900000000000004,-12.160439768579028,137.34551008266033,0,97.17510444610487,98.47675420107224,-1.3016497549673716,-2.4227776601334163,90.02448245113544,103.34768130351841,-13.323198852382973,-10.873349914980576,2021-01-06,-12.865902019358572,142.77626184647565,-8.159030841285372,142.77626184647565,-7.47,4.310000000000001,10.017942386831278,11.780000000000001,-5.707942386831276,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,-1.8444855967078144,2.9966666666666737,0.5882716049382726,0.5387500000000003,1.6828571428571424,-1,1.0,-1,1,1,-1,3.0,3.0
10.5,2,-4.766666666666661,-3.982990397805212,-3.960185745231613,101.1,103.89999999999998,98.3,108.66666666666669,Sat 1-09 1-09,H,338 (Ⅳ),Southeastern Louisiana,"W, 87-67",77,112.8,58.7,19.4,86.9,38.6,15.6,11.5,-9.5,142.5,102.183984375,103.26796875,101.55694253924709,102.72416948799055,105.02890625,111.7578125,105.53993293705228,106.68435523322216,20210109,96.9,104.7,-7.799999999999998,91.4,108.3,-16.89999999999999,99.1,104.5,-5.45,71.4,-11.266451762736281,141.51668185403759,69.57183499288763,-10.587354770862703,143.09861772048706,-8.896455642759937,143.09861772048706,-10.587354770862703,143.09861772048706,-8.896455642759937,145.24489723083644,92.6,108.3,-15.7,68.5,96.9,104.7,-7.799999999999998,91.4,108.3,-16.89999999999999,-12.942936500365363,134.7146786651231,0,97.86752822,99.85256976,-1.9850415399999974,-1.325932071,94.65311725,99.78389447,-5.130777220000013,-5.0963279539999995,2021-01-09,-6.07030707149643,136.9445201255317,-4.508591804036541,136.9445201255317,7.45,11.760000000000002,8.115294924554187,4.310000000000001,3.644705075445815,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1.4670096021947883,0.6833333333333389,-1.8444855967078144,1.3066666666666666,0.5387500000000003,1,-1.0,1,1,1,3,-1.0,3.0
3.5,-3,-4.766666666666667,-3.8886602652034754,-3.912879246098592,90.5,98.43333333333332,94.2,103.2,Wed 1-13 1-13,A,307 (Ⅳ),Northwestern St.,"W, 76-66",76,99.8,46.2,14.4,86.7,41.9,19.7,-12.0,-6.5,154.0,96.3419921875,102.183984375,97.87129502616474,100.50159321744681,99.614453125,105.02890625,101.7599552913682,104.41447246354538,20210113,97.5,103.9,-6.400000000000006,97.4,109.9,-12.5,99.8,104.3,-4.51,71.2,-1.8460342445557387,152.5450999280145,73.0230440967283,-0.0905025483372981,155.4397058055368,-1.6538157994513694,155.4397058055368,-0.0905025483372981,155.4397058055368,-1.6538157994513694,155.562356187991,96.7,109.5,-12.82,72.1,97.5,103.9,-6.400000000000006,97.4,109.9,-12.5,-2.5894985368885455,148.32783908673954,0,100.26572156218404,101.1320935412549,-0.8663719790708626,-0.20447732314617434,98.32296853805927,107.78903283220215,-9.466064294142882,-10.93690510317261,2021-01-13,-2.113145754820877,154.7567125782901,-5.906401108179992,154.7567125782901,1.5099999999999998,13.270000000000001,9.33019661636946,11.760000000000002,3.939803383630542,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0.6213397347965244,-0.2566666666666668,1.4670096021947883,1.3270000000000008,1.3066666666666666,1,1.0,1,1,1,3,3.0,-1.0
