ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,PPP1,EFG%1,TO%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-8.5,-29,,-29.0,-29.0,84.4,0.0,113.4,0.0,Thu 12-10 12-10,H,298 (Ⅳ),Troy,"L, 62-57",64,89.3,42.7,15.7,97.1,42.1,18.8,-24.0,-3.5,143.0,84.4,0.0,84.4,84.4,113.4,0.0,113.4,113.4,20201210,95.6,101.8,-6.200000000000002,92.8,103.8,-11.0,95.5,102.6,-7.1,72.9,-6.8979912327538955,140.59751374928865,73.21109530583215,-7.623653333553449,145.08969628517943,-0.8695588279796485,145.08969628517943,-7.623653333553449,145.08969628517943,-0.8695588279796485,130.69796234971594,92.0,103.1,-11.1,70.6,95.6,101.8,-6.200000000000002,92.8,103.8,-11.0,-0.7635158211125103,130.5951639273712,0,0.0,0.0,0.0,0.0,90.54038154160463,99.63377261016736,-9.093391068562724,-6.58736536038841,2020-12-10,0.0,0.0,,0.0,-21.9,-21.9,0.0,0.0,-21.9,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,-21.9,,0.0,-21.9,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
-10.5,-18,,-25.5,-27.09090909090909,74.1,0.0,92.6,0.0,Sun 12-13 12-13,A,45 (I),Indiana,"L, 87-52",82,63.3,36.5,21.9,105.9,61.6,21.9,-1.0,24.5,140.0,79.25,84.4,80.96666666666667,82.52727272727272,103.0,113.4,106.46666666666668,109.61818181818182,20201213,97.8,104.0,-6.200000000000002,111.4,92.8,18.60000000000001,94.8,103.0,-8.21,71.1,23.52364047360618,136.6825418467243,70.18975817923187,22.186837867473486,148.94623990232716,38.434993087990314,148.94623990232716,22.186837867473486,148.94623990232716,38.434993087990314,135.89816901059913,108.3,87.9,20.42,69.4,97.8,104.0,-6.200000000000002,111.4,92.8,18.60000000000001,38.514806818924775,136.0313007184918,0,92.26996671992023,107.98683093993,-15.716864220009768,-20.63899380260053,103.08005032500813,95.02184768126698,8.058202643741154,-0.6374402887685131,2020-12-13,20.98358114343681,143.43876810553792,15.795280985536316,143.43876810553792,-9.79,-31.689999999999998,-21.9,-21.9,-9.79,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,-17.29,,-21.9,-15.844999999999999,-21.9,-1,-1.0,-1,-1,-1,-3,-3.0,0.0
-12.0,-23,-23.566666666666666,-24.733333333333334,-26.383471074380164,95.6,84.7,118.8,108.26666666666668,Fri 1-08 1-08,H,235 (Ⅳ),Stetson,"L, 86-77",74,103.6,46.7,22.9,115.7,65.4,22.9,23.0,-3.0,140.0,87.425,79.25,85.84444444444446,84.90413223140496,110.9,103.0,110.57777777777778,111.28760330578513,20210108,96.1,104.5,-8.400000000000006,100.0,107.1,-7.099999999999994,96.2,104.9,-8.66,71.7,-2.5234153946562827,142.3037626076076,69.150213371266,-2.99513210960464,146.84526288857467,2.6898702014153373,146.84526288857467,-2.99513210960464,146.84526288857467,2.6898702014153373,122.0044493542389,99.6,106.4,-6.88,67.8,96.1,104.5,-8.400000000000006,100.0,107.1,-7.099999999999994,2.788182543771422,122.13000778628634,0,86.09379926710498,103.54864048128358,-17.4548412141786,-16.631961550186137,92.47509207266596,104.95781612544776,-12.482724052781805,-6.5327876245187095,2021-01-08,0.13044772312930775,131.68403943359493,5.271652972676016,131.68403943359493,-14.34,-46.03,-25.163333333333334,-31.689999999999998,-20.866666666666667,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,-16.073333333333334,-14.906666666666666,-17.29,-15.343333333333334,-15.844999999999999,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
6.0,2,-13.133333333333335,-15.722222222222225,-21.16829451540195,82.3,83.99999999999999,80.0,97.13333333333333,Sat 1-09 1-09,H,235 (Ⅳ),Stetson,"W, 73-66 OT",83,87.7,49.2,24.0,79.3,41.3,28.8,-4.0,-1.0,143.0,84.8625,87.425,84.66296296296298,84.43065364387678,95.45,110.9,100.38518518518521,105.59894815927872,20210109,96.0,104.4,-8.400000000000006,100.0,107.1,-7.099999999999994,96.2,104.8,-8.67,71.8,-2.6638549860133196,142.3653135016094,69.24665718349928,-2.9900467693270514,146.89732357084887,4.629815461984741,146.89732357084887,-2.9900467693270514,146.89732357084887,4.629815461984741,133.62101759833848,99.5,106.4,-6.88,67.8,96.0,104.4,-8.400000000000006,100.0,107.1,-7.099999999999994,4.645443240718182,133.93564904596448,0,84.8174498,104.8284639,-20.011014099999997,-23.04412968,92.49133935,103.97698630000001,-11.485646950000003,-6.4724544470000005,2021-01-09,2.540917943311541,131.10710747931896,9.822574206538214,131.10710747931896,10.67,-35.36,-32.11888888888889,-46.03,-3.2411111111111097,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,-7.052222222222225,-4.463333333333335,-16.073333333333334,-8.84,-15.343333333333334,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
18.0,11,-3.100000000000004,-6.614814814814823,-15.210422785328868,91.0,89.63333333333333,79.4,92.7333333333333,Fri 1-15 1-15,A,320 (Ⅳ),Kennesaw St.,"W, 66-43",67,98.9,48.4,15.0,64.4,36.7,28.5,-27.0,-5.0,136.0,87.93125,84.8625,86.77530864197533,85.625080254081,87.42500000000003,95.45,93.39012345679016,100.83550303940987,20210115,95.0,104.1,-9.099999999999994,90.4,106.1,-15.699999999999989,95.4,104.5,-9.06,72.1,-3.8370214556783395,132.78466206043834,68.92062588904695,-0.8698691853941085,137.43240217747586,5.9857516527242565,137.43240217747586,-0.8698691853941085,137.43240217747586,5.9857516527242565,126.70053635203861,87.5,107.4,-19.87,67.2,95.0,104.1,-9.099999999999994,90.4,106.1,-15.699999999999989,4.631927844256041,120.9603781454255,0,84.58382860396252,105.18138822190706,-20.59755961794454,-23.294253620915534,90.8288165626343,98.54467986759391,-7.715863304959612,-9.637134001092287,2021-01-15,12.132998495889929,126.50266260375915,11.024598586808807,126.50266260375915,20.060000000000002,-15.299999999999997,-33.199259259259264,-35.36,17.899259259259267,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,2.445185185185178,5.959999999999996,-7.052222222222225,-3.0600000000000005,-8.84,1,-1.0,1,-1,-1,1,-3.0,-3.0
-3.5,-11,0.8999999999999962,-8.143209876543217,-14.481255006178165,82.0,85.1,93.2,84.19999999999997,Sat 1-16 1-16,A,320 (Ⅳ),Kennesaw St.,"W, 66-64",78,84.5,37.7,16.7,82.0,45.9,28.2,-0.5,-5.5,130.5,84.965625,87.93125,85.18353909465023,84.965974753339,90.3125,87.42500000000003,93.32674897119342,99.44722975951716,20210116,94.9,104.0,-9.099999999999994,90.4,106.1,-15.699999999999989,95.5,104.6,-9.11,72.1,-3.846928675913162,132.91796415206528,68.92062588904695,-0.862670510968556,137.29401951362473,-1.756431135029413,137.29401951362473,-0.862670510968556,137.29401951362473,-1.756431135029413,120.2542652813481,87.5,107.4,-19.9,67.2,94.9,104.0,-9.099999999999994,90.4,106.1,-15.699999999999989,-0.5000059349064296,117.87511648649082,0,89.46624409453199,98.56932708767224,-9.103082993140248,-14.37257601786499,88.04517501299897,100.51446137006315,-12.469286357064178,-15.142029545765554,2021-01-16,1.274697655737576,124.66416194843404,1.114682225174974,124.66416194843404,-1.8900000000000006,-17.189999999999998,-27.232839506172844,-15.299999999999997,10.042839506172847,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0.9667901234567822,10.009999999999996,2.445185185185178,-2.865,-3.0600000000000005,1,1.0,1,-1,-1,1,1.0,-3.0
-3.0,-11,-3.766666666666671,-9.328806584362146,-13.975572277782135,103.5,92.16666666666664,115.2,95.9333333333333,Fri 1-22 1-22,H,316 (Ⅳ),Jacksonville,"W, 82-81 OT",77,106.2,54.6,24.6,104.9,50.8,14.2,24.5,-4.0,138.5,94.2328125,84.965625,91.28902606310015,88.3357975254592,102.75625,90.3125,100.61783264746231,102.3113698032413,20210122,93.9,102.1,-8.199999999999989,94.1,105.9,-11.800000000000011,94.8,103.0,-8.15,72.8,-6.127005395505222,138.61593764913118,70.72887624466571,-6.396604491709468,141.58518455668874,-9.544658349941574,141.58518455668874,-6.396604491709468,141.58518455668874,-9.544658349941574,121.0161416194802,94.0,105.5,-11.51,68.3,93.9,102.1,-8.199999999999989,94.1,105.9,-11.800000000000011,-5.80150144160739,126.27379181225912,0,89.57188726664101,97.80372965255172,-8.23184238591071,-11.059208440527975,94.14984189765538,101.49903275743178,-7.3491908597763995,-4.58544862665193,2021-01-22,-2.8629992841761123,132.43156538309938,2.7533230941859372,132.43156538309938,-2.8499999999999996,-20.04,-23.885226337448564,-17.189999999999998,3.8452263374485653,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,-1.178806584362146,4.383333333333329,0.9667901234567822,-2.862857142857143,-2.865,-1,1.0,1,-1,-1,-1,1.0,1.0
20.0,16,-2.133333333333335,-0.7192043895747648,-8.4345591363672,96.1,93.86666666666665,79.6,95.99999999999996,Sat 1-23 1-23,H,316 (Ⅳ),Jacksonville,"W, 76-54",76,100.3,49.2,17.2,71.3,33.6,23.8,-10.0,-2.0,140.0,95.16640625,94.2328125,92.89268404206679,89.74747070264841,91.178125,102.75625,93.61188843164156,98.1820298390156,20210123,93.9,102.1,-8.199999999999989,94.0,105.9,-11.900000000000004,94.7,102.8,-8.08,72.9,-6.19140683759052,138.32298549603763,70.82603129445235,-6.477077770917916,141.70239311755364,-8.72800624009486,141.70239311755364,-6.477077770917916,141.70239311755364,-8.72800624009486,132.68655632708726,93.8,105.3,-11.49,68.3,93.9,102.1,-8.199999999999989,94.0,105.9,-11.900000000000004,-6.413071445586446,131.85171497974383,0,89.43481564216013,97.67765140608178,-8.242835763921647,-11.013625989409098,94.16261674872247,101.4359629105974,-7.273346161874926,-4.524935867034731,2021-01-23,-2.795972302260381,132.38795512938873,2.7666276739923674,132.38795512938873,24.08,4.039999999999999,-22.60348422496571,-20.04,26.64348422496571,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,7.360795610425235,5.946666666666665,-1.178806584362146,0.5050000000000008,-2.862857142857143,1,-1.0,1,1,-1,3,-1.0,1.0
5.5,0,1.5333333333333359,-0.5461362597165061,-6.937366566118616,104.4,101.3333333333333,104.6,99.79999999999997,Fri 1-29 1-29,A,295 (Ⅳ),North Florida,"W, 82-78",73,112.9,57.0,23.4,107.3,55.1,16.5,15.5,1.5,144.5,99.783203125,95.16640625,96.7284560280445,92.41156693853053,97.8890625,91.178125,97.27459228776104,99.34893350464912,20210129,94.3,101.2,-6.900000000000006,99.9,110.4,-10.5,94.8,102.3,-7.52,73.3,2.0762440228694743,146.85985115299283,70.79758179231864,1.9823964780462262,148.60991439327688,-0.3914910756020702,148.60991439327688,1.9823964780462262,148.60991439327688,-0.3914910756020702,134.3660405853726,100.5,111.5,-10.99,67.9,94.3,101.2,-6.900000000000006,99.9,110.4,-10.5,4.500461557513507,139.38177390209162,0,88.79237273055811,97.05007386202922,-8.257701131471109,-10.684570941239947,97.57566789719161,99.1183638593148,-1.5426959621231902,-2.214180875646809,2021-01-29,8.55086336177267,132.505992704748,7.85131556385317,132.505992704748,7.52,11.559999999999999,-13.72232281664381,4.039999999999999,25.28232281664381,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,6.973863740283494,9.053333333333335,7.360795610425235,1.2844444444444445,0.5050000000000008,1,1.0,1,1,1,3,3.0,-1.0
-7.5,-22,-2.099999999999999,-7.89742417314434,-9.785118099551596,104.8,101.76666666666664,127.4,103.86666666666666,Sat 1-30 1-30,A,295 (Ⅳ),North Florida,"L, 82-72",63,113.8,51.7,22.1,129.6,61.8,12.6,6.5,2.5,147.5,102.2916015625,99.783203125,99.418970685363,94.66400931334314,112.64453125,97.8890625,107.31639485850737,104.44912741289473,20210130,94.2,101.2,-7.0,99.8,110.3,-10.5,95.2,102.7,-7.51,73.3,2.098720357290688,148.01482343238374,70.79758179231864,2.0511071575277953,148.39046065987003,-4.4466268467089245,148.39046065987003,2.0511071575277953,148.39046065987003,-4.4466268467089245,142.46731824112885,100.9,111.9,-10.99,67.9,94.2,101.2,-7.0,99.8,110.3,-10.5,3.5297387360823906,141.61800901959046,0,88.78077189387342,97.10493212230223,-8.32416022842881,-10.808362152133453,97.32855146554031,99.039078418561,-1.7105269530206897,-2.3453861143725203,2021-01-30,8.469678723197404,132.3094735896969,7.843539172954756,132.3094735896969,-14.49,-2.9300000000000015,-5.294881877762543,11.559999999999999,2.3648818777625413,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,-0.38742417314433997,5.41,6.973863740283494,-0.29299999999999926,1.2844444444444445,-1,1.0,1,-1,1,-1,3.0,3.0
