ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
2.0,2,,2.300000000000012,2.300000000000012,111.4,0.0,109.1,0.0,Wed 11-25 11-25,H,148 (Ⅳ),Ball St.,"W, 74-73",66,111.4,47.7,13.5,45.5,35.4,109.9,48.4,13.5,39.5,32.8,19.5,1.0,127.5,111.4,0.0,111.4,111.4,109.1,0.0,109.1,109.1,20201125,99.3,101.4,-2.1000000000000085,99.1,98.3,0.7999999999999972,96.1,99.5,-3.34,71.1,1.0239846336760792,137.3859615887518,72.92048364153626,-1.9909591490091145,147.64748447284995,-11.61834817172712,147.64748447284995,-1.9909591490091145,147.64748447284995,-11.61834817172712,171.38620457255305,98.6,95.1,3.48,72.1,99.3,101.4,-2.1000000000000085,99.1,98.3,0.7999999999999972,-11.61834817172712,171.38620457255305,0,102.4967006,106.6902135,-4.193512900000002,-1.539485175,106.6902135,102.4967006,4.193512900000002,6.8475406020000005,2020-11-25,1.9719775871004117,163.02177663102287,4.0198969821151,163.02177663102287,5.34,5.34,0.0,0.0,5.34,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,5.640000000000011,,0.0,5.34,0.0,1,0.0,1,1,1,3,0.0,0.0
-3.5,-8,,-1.1333333333333255,0.4272727272727364,98.8,0.0,106.8,0.0,Thu 12-03 12-03,H,313 (Ⅳ),Tennessee Tech,"W, 74-65",67,109.8,43.8,11.9,38.3,42.2,96.5,56.3,29.7,34.4,47.9,13.5,-12.5,125.5,105.1,111.4,107.20000000000002,109.10909090909092,107.95,109.1,108.33333333333331,108.68181818181816,20201203,96.6,98.7,-2.1000000000000085,93.9,100.6,-6.699999999999988,98.2,101.2,-2.98,70.2,-10.66998639449747,138.2347201747174,72.79630156472264,-7.306393927998272,141.42240643946548,-19.852947886834496,141.42240643946548,-7.306393927998272,141.42240643946548,-19.852947886834496,147.01207623447672,89.5,101.8,-12.36,72.9,96.6,98.7,-2.1000000000000085,93.9,100.6,-6.699999999999988,-19.722736471065016,146.84813714758783,0,99.63843257320733,105.74753056312132,-6.109097989913991,-7.5018263836933485,91.04268868489392,104.77948363884964,-13.736794953955723,-7.889706929962863,2020-12-03,-10.230170376607518,149.5500841661214,-2.1637965978952707,149.5500841661214,-5.02,0.3200000000000003,5.34,5.34,-5.02,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1.8466666666666745,,5.640000000000011,0.16000000000000014,5.34,1,1.0,-1,1,1,1,3.0,0.0
0.0,-5,-3.8666666666666605,-2.7222222222222143,-0.7231404958677596,100.7,103.63333333333333,106.6,107.5,Sat 12-05 12-05,A,140 (Ⅲ),Chattanooga,"L, 79-72",73,98.8,56.0,28.8,37.1,24.1,108.4,54.8,17.8,29.4,27.4,0.0,0.0,0.0,102.9,105.1,105.03333333333336,107.58016528925621,107.275,107.95,107.75555555555556,108.30330578512395,20201205,97.0,99.2,-2.200000000000003,98.9,102.4,-3.5,98.5,101.5,-3.01,69.6,3.4237193832528448,138.59414217817067,70.78805120910384,3.1206819079716013,142.99872461101288,2.5493148772103256,142.99872461101288,3.1206819079716013,142.99872461101288,2.5493148772103256,118.3073148299146,96.6,100.2,-3.6,71.5,97.0,99.2,-2.200000000000003,98.9,102.4,-3.5,2.556464561017606,118.28394152931122,0,98.56857768927357,109.89176850799471,-11.323190818721145,-15.277868021764741,90.57259561089458,85.1238841908757,5.448711420018881,2.8960396574433704,2020-12-05,15.03977159877629,133.1990357830444,14.72431253846377,133.1990357830444,-1.9900000000000002,-1.67,3.6666666666666674,0.3200000000000003,-5.336666666666668,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0.28777777777778546,-0.8566666666666607,1.8466666666666745,-0.5566666666666666,0.16000000000000014,1,1.0,-1,-1,1,-1,1.0,3.0
5.0,0,-4.566666666666663,-1.7481481481481422,-0.5552967693463482,92.3,97.26666666666664,92.1,101.83333333333331,Tue 12-08 12-08,A,89 (Ⅱ),Dayton,"L, 66-60",67,89.1,42.0,22.3,35.7,41.1,98.1,56.0,32.7,40.0,24.0,-6.0,11.0,132.0,97.6,102.9,100.7888888888889,104.80195341848234,99.6875,107.275,102.53703703703705,105.35725018782871,20201208,97.2,99.9,-2.700000000000003,102.4,93.8,8.600000000000009,98.7,102.1,-3.43,70.1,15.803463227096785,139.75728404731552,69.20256045519204,11.7207022938548,137.31863128987325,10.398845311993568,137.31863128987325,11.7207022938548,137.31863128987325,10.398845311993568,141.27662047615593,107.6,93.8,13.76,69.4,97.2,99.9,-2.700000000000003,102.4,93.8,8.600000000000009,10.410544935583845,141.29888126368843,0,103.93987645193184,107.03193746144541,-3.0920610095135714,-2.9634991991129325,96.28868333012093,96.70878202770044,-0.4200986975795047,-5.4668015076176415,2020-12-08,5.838861063334335,144.31070804128757,0.12364662412237237,144.31070804128757,3.43,1.7600000000000002,1.8877777777777784,-1.67,-0.1277777777777782,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1.681851851851858,-1.1366666666666627,0.28777777777778546,0.43999999999999995,-0.5566666666666666,1,1.0,-1,1,-1,1,-1.0,1.0
-13.5,-18,-7.933333333333333,-7.198765432098764,-3.7452428112833767,99.6,97.53333333333332,117.7,105.46666666666664,Sun 12-13 12-13,A,131 (Ⅱ),Kent St.,"L, 92-73",75,96.7,42.4,18.6,37.8,20.8,121.9,63.4,19.9,39.3,11.9,25.5,5.5,139.5,98.6,97.6,100.39259259259262,103.85614370603099,108.69375,99.6875,107.59135802469136,107.60138651731438,20201213,99.3,101.4,-2.1000000000000085,97.7,105.2,-7.5,98.9,101.5,-2.62,70.0,6.257867303971295,142.4302572044918,71.09530583214794,0.21966530264404582,147.950870093906,17.34225679526163,147.950870093906,0.21966530264404582,147.950870093906,17.34225679526163,139.29849622888466,100.7,100.1,0.65,71.4,99.3,101.4,-2.1000000000000085,97.7,105.2,-7.5,17.154585589183423,139.25930172894854,0,104.21638104501335,103.57480640979469,0.6415746352186602,0.3441781642421848,104.76818505075451,91.29810673548398,13.470078315270527,4.822271495142216,2020-12-13,13.870645622187936,148.42724754252484,5.225806156956594,148.42724754252484,-15.379999999999999,-13.62,1.8451851851851857,1.7600000000000002,-15.465185185185184,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,-4.578765432098764,-5.313333333333333,1.681851851851858,-2.724,0.43999999999999995,-1,1.0,-1,-1,1,-3,1.0,-1.0
13.0,9,-2.833333333333338,-1.66584362139918,-1.3551986637773097,115.6,102.5,106.2,105.33333333333331,Sat 12-19 12-19,H,236 (Ⅳ),Youngstown St.,"W, 79-64",63,126.3,64.5,19.2,39.3,25.5,102.4,37.5,14.4,42.9,40.0,1.0,-2.0,142.0,107.1,98.6,105.46172839506175,105.99139030493444,107.446875,108.69375,107.12757201646092,107.34658896871176,20201219,97.8,102.0,-4.200000000000003,102.7,106.9,-4.200000000000003,99.1,102.8,-3.7,70.0,-2.563413781865009,142.52998589674803,69.40256045519205,-4.017457080565691,148.7286637068274,-2.819915812254417,148.7286637068274,-4.017457080565691,148.7286637068274,-2.819915812254417,151.92225241595827,101.4,103.1,-1.75,69.7,97.8,102.0,-4.200000000000003,102.7,106.9,-4.200000000000003,-2.890533599885151,151.84233679925953,0,102.52221857231672,104.58216837347705,-2.0599498011603288,0.49654168080634603,109.97151893092959,97.83958052682523,12.13193840410436,9.157355502512393,2020-12-19,6.164968772724748,152.71509852111564,3.973754130170704,152.71509852111564,12.7,-0.9199999999999999,-3.3098765432098753,-13.62,2.3898765432098754,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,2.0341563786008203,0.8666666666666623,-4.578765432098764,-0.15333333333333377,-2.724,1,-1.0,1,-1,-1,1,-3.0,1.0
-14.0,-18,-9.13333333333334,-7.343895747599454,-4.5087989067268905,90.7,101.96666666666664,109.4,111.09999999999998,Sun 12-20 12-20,H,236 (Ⅳ),Youngstown St.,"L, 70-60",63,94.7,46.4,18.9,28.1,16.1,110.5,48.2,15.8,36.4,40.0,-12.0,-4.0,142.0,98.9,107.1,100.54115226337451,103.21113752221909,108.4234375,107.446875,107.88504801097395,107.71993642894596,20201220,97.8,102.1,-4.299999999999997,102.8,106.9,-4.1000000000000085,99.2,102.9,-3.73,70.0,-2.640330775899784,142.881225513012,69.40256045519205,-3.875997780123427,148.87012300726968,-10.395871639636388,148.87012300726968,-3.875997780123427,148.87012300726968,-10.395871639636388,155.25903315486687,101.5,103.3,-1.75,69.7,97.8,102.1,-4.299999999999997,102.8,106.9,-4.1000000000000085,-11.270072819370228,156.99392914834894,0,104.7517219187203,103.01659563491212,1.7351262838081851,5.752401478233508,103.9269700284934,103.49054752157619,0.43642250691721074,1.9651100973061961,2020-12-20,-5.242960221495522,153.14256342812791,-4.646734991923651,153.14256342812791,-14.27,-15.19,-2.5132510288065837,-0.9199999999999999,-12.676748971193415,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3.613895747599454,-5.4033333333333395,2.0341563786008203,-2.1700000000000004,-0.15333333333333377,-1,1.0,-1,-1,-1,-3,1.0,-3.0
0.5,-8,-5.900000000000006,-7.6959304983996395,-5.216290014594731,94.0,100.09999999999998,102.4,106.0,Fri 1-01 1-01,H,272 (Ⅳ),Fort Wayne,"W, 75-68",71,106.3,54.9,28.4,44.4,47.1,96.4,62.8,32.6,24.0,29.8,-1.5,-6.5,144.5,96.45,98.9,98.36076817558302,101.53638524545201,105.41171875,108.4234375,106.05669867398264,106.75267526004671,20210101,99.4,103.9,-4.5,96.7,107.7,-11.0,100.5,104.2,-3.79,68.4,-6.610555491723446,145.1741834674117,69.56756756756758,-8.826305602947428,147.94197253384453,-11.61517259779717,147.94197253384453,-8.826305602947428,147.94197253384453,-11.61517259779717,152.58891872264,98.8,106.1,-7.25,71.5,99.4,103.9,-4.5,96.7,107.7,-11.0,-12.065644751738693,153.76082529617022,0,100.88930078672456,103.5792191435149,-2.6899183567903435,-1.514580347114879,95.67708415257023,113.31736535782127,-17.640281205251043,-26.16226993727486,2021-01-01,-15.098585947832902,152.31769161868175,-18.825132440060422,152.31769161868175,-4.21,-19.4,-6.738834019204388,-15.19,-12.66116598079561,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,-3.9059304983996395,-2.1100000000000056,-3.613895747599454,-2.4250000000000003,-2.1700000000000004,-1,-1.0,-1,-1,-1,-3,-3.0,1.0
-4.5,-11,-12.733333333333334,-8.830620332266424,-6.286055466486597,89.5,91.39999999999998,100.6,104.13333333333333,Sat 1-02 1-02,H,272 (Ⅳ),Fort Wayne,"W, 70-68",70,99.4,51.6,22.7,31.3,11.5,96.6,51.9,25.6,31.4,41.5,-8.5,-6.5,146.5,92.975,96.45,95.40717878372202,99.34795156446071,103.005859375,105.41171875,104.23779911598845,105.63400703094729,20210102,99.6,104.2,-4.6000000000000085,96.9,107.9,-11.0,100.6,104.4,-3.79,68.3,-6.474696461261743,145.38193495063769,69.46586059743954,-8.772269643953862,148.37949241547983,-10.338049488779044,148.37949241547983,-8.772269643953862,148.37949241547983,-10.338049488779044,155.5524153180193,99.0,106.2,-7.25,71.5,99.6,104.2,-4.6000000000000085,96.9,107.9,-11.0,-10.68007266761218,150.71839569571668,0,98.37844993223732,103.34076048980843,-4.962310557571115,-2.6781162865652792,96.87624530616291,111.50315244922605,-14.626907143063136,-21.986781997339897,2021-01-02,-10.992884887034549,149.41495604103454,-15.118103328583047,149.41495604103454,-7.21,-26.61,-10.959222679469592,-19.4,-15.650777320530407,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-5.040620332266424,-8.943333333333335,-3.9059304983996395,-2.9566666666666666,-2.4250000000000003,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-11.5,-27,-15.800000000000002,-15.18708022151095,-10.215863563489034,71.3,84.93333333333331,99.2,100.7333333333333,Fri 1-08 1-08,A,180 (Ⅲ),Cleveland St.,"L, 58-44",60,72.8,31.1,19.9,37.5,19.7,96.0,44.5,14.9,30.6,27.3,-36.5,2.5,138.5,82.13749999999997,92.975,87.37145252248135,94.24832400728606,101.1029296875,103.005859375,102.55853274399229,104.46418757077505,20210108,98.9,104.7,-5.799999999999998,98.3,100.7,-2.4000000000000057,100.3,104.5,-4.22,68.5,5.040468855990923,136.48120156287635,67.3307254623044,6.207893473383962,139.79645411121177,13.096545146794906,139.79645411121177,6.207893473383962,139.79645411121177,13.096545146794906,142.1789526809886,98.3,100.6,-2.38,69.1,98.9,104.7,-5.799999999999998,98.3,100.7,-2.4000000000000057,7.103154664005037,133.80095300839764,0,95.35877928947616,103.08662148775352,-7.727842198277358,-5.133914659591136,96.05116645905944,98.33775498938446,-2.2865885303250195,3.807322326675582,2021-01-08,7.341023863569141,133.12475717178282,7.892955181718278,133.12475717178282,-22.78,-49.39,-16.176148452979728,-26.61,-33.21385154702027,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,-10.967080221510951,-11.580000000000002,-5.040620332266424,-4.939,-2.9566666666666666,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
