ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,PPP1,EFG%1,TO%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-16.5,-24,,-24.40000000000001,-24.40000000000001,86.1,0.0,110.5,0.0,Wed 11-25 11-25,A,18 (I-A),Texas Tech,"L, 101-58",80,72.6,38.5,23.8,126.4,60.0,12.5,13.0,26.5,146.0,86.1,0.0,86.1,86.1,110.5,0.0,110.5,110.5,20201125,103.2,107.4,-4.200000000000003,113.2,89.7,23.5,94.1,102.6,-8.54,74.9,27.54625393265915,143.94746709514158,75.21963015647226,26.898714285950717,165.1972625724891,44.27460838046081,165.1972625724891,26.898714285950717,165.1972625724891,44.27460838046081,147.3967548461413,108.6,85.0,23.65,70.6,103.2,107.4,-4.200000000000003,113.2,89.7,23.5,44.27460838046081,147.3967548461413,0,96.47739369,105.9619145,-9.484520810000006,-1.997159757,105.9619145,96.47739369,9.484520810000006,16.97188185,2020-11-25,19.17366470220854,158.2318655878152,16.532287613448375,158.2318655878152,-15.46,-15.46,0.0,0.0,-15.46,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,-15.86000000000001,,0.0,-15.46,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
-1.0,-22,,-23.86666666666667,-24.109090909090916,82.4,0.0,105.2,0.0,Sat 11-28 11-28,N,255 (Ⅳ),UT Arlington,"L, 80-71",81,87.6,45.0,21.0,98.7,45.8,13.6,-1.5,8.0,152.5,84.25,86.1,84.86666666666667,85.42727272727272,107.85,110.5,108.73333333333332,109.53636363636365,20201128,102.2,106.4,-4.200000000000003,95.5,97.1,-1.5999999999999943,95.9,104.9,-9.0,76.2,7.153208926349748,157.8431696864186,78.8014224751067,1.9101295474264504,161.48079862253462,22.493962567460578,161.48079862253462,1.9101295474264504,161.48079862253462,22.493962567460578,150.5100882410803,100.3,100.2,0.06,72.7,102.2,106.4,-4.200000000000003,95.5,97.1,-1.5999999999999943,22.49679276955463,150.5194399548071,0,95.91033913083551,106.01044694322368,-10.100107812388174,-3.120364992402391,97.51091714513935,97.1579639448817,0.35295320025764454,1.4804398409144055,2020-11-28,8.190471461902717,158.0301290901596,3.6254996539570925,158.0301290901596,-13.0,-28.46,-15.46,-15.46,-13.0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,-14.86666666666667,,-15.86000000000001,-14.23,-15.46,-1,-1.0,-1,-1,-1,-3,-3.0,0.0
3.0,0,-15.9,-16.077777777777786,-19.816528925619835,122.5,97.0,123.0,112.9,Sun 11-29 11-29,A,79 (I),Louisiana Tech,"L, 91-77",71,108.5,50.0,12.7,128.2,61.2,15.5,16.0,17.0,152.0,103.375,84.25,97.41111111111113,92.16776859504131,115.425,107.85,113.48888888888891,111.98429752066114,20201129,100.6,104.8,-4.200000000000003,103.2,96.2,7.0,95.1,104.1,-8.99,76.5,15.947355314719587,157.38136432810785,79.00284495021337,13.796027485208484,165.4630248259071,21.63310482144053,165.4630248259071,13.796027485208484,165.4630248259071,21.63310482144053,145.68449082950576,103.0,97.3,5.7,72.6,100.6,104.8,-4.200000000000003,103.2,96.2,7.0,21.72846865420986,145.72648252658135,0,95.33846694008871,103.23014147829669,-7.89167453820798,-2.7112232206632765,98.33255961060387,101.35448755980845,-3.0219279492045814,-2.37911930725232,2020-11-29,8.404842634868984,159.84086099632418,2.4181499825849215,159.84086099632418,8.99,-19.47,-19.793333333333337,-28.46,0.3233333333333377,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,-7.087777777777786,-6.91,-14.86666666666667,-6.49,-14.23,-1,-1.0,1,-1,-1,-1,-3.0,-3.0
13.0,-3,-8.866666666666664,-11.818518518518527,-16.813523666416227,93.8,99.56666666666668,97.1,108.43333333333332,Thu 12-03 12-03,A,108 (Ⅱ),TCU,"L, 74-68",74,92.4,42.3,13.6,100.5,52.3,17.7,2.5,19.0,139.5,98.5875,103.375,96.20740740740743,92.46453794139742,106.2625,115.425,108.02592592592592,109.27806160781364,20201203,100.2,105.6,-5.399999999999992,100.9,91.8,9.100000000000009,95.4,104.7,-9.27,75.8,20.975072647529046,139.94286192462596,72.99658605974395,15.020664816895007,148.48636240094044,26.539377460852773,148.48636240094044,15.020664816895007,148.48636240094044,26.539377460852773,143.5367994155096,102.9,88.3,14.64,67.7,100.2,105.6,-5.399999999999992,100.9,91.8,9.100000000000009,26.887075951724075,143.28387762894207,0,98.02228239982028,106.81767996052177,-8.795397560701488,-5.979381685137402,96.8544209021197,86.35133169900813,10.503089203111571,12.846294299892525,2020-12-03,17.97277891585808,140.78825843003096,15.856181746284435,140.78825843003096,6.27,-13.2,-19.68555555555556,-19.47,6.48555555555556,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,-2.5485185185185273,0.403333333333336,-7.087777777777786,-3.3000000000000007,-6.49,-1,-1.0,1,-1,-1,-1,-1.0,-3.0
-12.5,-18,-7.566666666666667,-14.179012345679018,-17.192882999795092,102.6,106.30000000000004,121.5,113.86666666666666,Sun 12-06 12-06,H,281 (Ⅳ),Louisiana Monroe,"L, 92-83 OT",81,102.8,45.4,17.3,113.9,48.4,11.1,27.5,-3.5,147.5,100.59375,98.5875,98.33827160493829,94.30734922477971,113.88125,106.2625,112.5172839506173,111.50023222457479,20201206,100.0,105.1,-5.099999999999994,91.9,103.2,-11.299999999999995,95.8,104.0,-8.19,76.2,-4.620814693201211,147.3141778094111,75.76642958748222,-9.446825500390233,154.7677497332159,-5.527429205243203,154.7677497332159,-9.446825500390233,154.7677497332159,-5.527429205243203,157.09740237259612,93.6,102.3,-8.77,69.9,100.0,105.1,-5.099999999999994,91.9,103.2,-11.299999999999995,-5.661116505961877,156.93490138315792,0,100.5523931246282,104.44372774385451,-3.8913346192263134,-4.382300044723189,95.41103230309645,99.08707686244036,-3.6760445593439073,-1.7271607165809857,2020-12-06,-4.305066338905888,154.23587473376455,-0.04495087494065331,154.23587473376455,-9.81,-23.009999999999998,-17.523703703703706,-13.2,-5.486296296296292,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,-5.9890123456790185,0.6233333333333322,-2.5485185185185273,-4.602000000000002,-3.3000000000000007,-1,-1.0,-1,-1,-1,-3,-1.0,-1.0
-9.5,-29,-17.100000000000005,-19.152674897119347,-19.357813363468715,80.3,92.23333333333336,109.4,109.33333333333331,Fri 12-18 12-18,A,125 (Ⅱ),Tulsa,"L, 82-55",74,74.5,38.9,27.1,111.0,56.6,21.7,-9.0,17.5,146.0,90.446875,100.59375,92.3255144032922,91.76055845663794,111.640625,113.88125,111.47818930041154,111.11837182010665,20201218,100.6,107.1,-6.5,99.4,94.9,4.5,96.7,106.0,-9.35,75.4,16.018912949988405,145.78958404824965,73.79118065433856,12.552002952552982,152.54316848348822,13.816830342871379,152.54316848348822,12.552002952552982,152.54316848348822,13.816830342871379,151.4884390045786,101.1,94.0,7.14,68.8,100.6,107.1,-6.5,99.4,94.9,4.5,13.67454291574742,151.44884796464623,0,97.30897258447314,108.74303494543312,-11.434062360959985,-12.770505653354896,98.47598614735891,101.29054196016244,-2.8145558128035333,-1.835222246286076,2020-12-18,10.76979567494476,155.29986741924003,9.984539445451269,155.29986741924003,-19.65,-42.66,-19.352469135802473,-23.009999999999998,-23.307530864197524,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-9.802674897119347,-7.750000000000005,-5.9890123456790185,-7.110000000000001,-4.602000000000002,-1,-1.0,-1,-1,-1,-3,-3.0,-1.0
-16.0,-18,-22.066666666666674,-18.835116598079566,-19.14730184283804,96.5,93.13333333333335,114.7,115.2,Sat 12-19 12-19,A,105 (Ⅱ),Missouri St.,"L, 94-67",76,88.6,42.7,14.5,124.3,60.0,9.3,11.0,11.0,150.0,93.4734375,90.446875,93.7170096021948,92.6222751008856,113.1703125,111.640625,112.55212620027436,111.76957694372362,20201219,100.8,107.3,-6.5,103.8,99.1,4.700000000000003,96.5,105.9,-9.37,75.5,10.508103384596936,153.62554376670806,75.8221906116643,13.475563983252385,163.87818407292235,25.13908552577076,163.87818407292235,13.475563983252385,163.87818407292235,25.13908552577076,165.61572116402112,99.9,101.1,-1.19,70.6,100.8,107.3,-6.5,103.8,99.1,4.700000000000003,26.00630356033801,163.93123058625045,0,94.53277251541931,107.5599690286932,-13.027196513273893,-12.992923522871989,0.0,0.0,0.0,0.0,2020-12-19,-0.0,0.0,,0.0,-8.63,-51.29,-27.12164609053498,-42.66,-24.16835390946502,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,-9.465116598079566,-12.696666666666674,-9.802674897119347,-7.3271428571428565,-7.110000000000001,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
4.5,-3,-16.933333333333334,-13.723411065386376,-16.30233787141294,100.3,92.36666666666672,103.8,109.3,Mon 12-21 12-21,A,1 (I-A),Gonzaga,"L, 95-57",71,80.8,43.8,28.4,134.7,61.7,19.9,-18.5,42.5,170.5,96.88671875,93.4734375,95.91133973479654,94.01822508254274,108.48515625,113.1703125,109.63475080018291,110.32056295395569,20201221,98.9,108.2,-9.299999999999997,118.6,90.7,27.89999999999999,96.0,107.4,-11.4,75.7,39.366236386526396,175.05249755722366,82.26856330014225,37.51019314563578,183.75718171661285,48.25655016706582,183.75718171661285,37.51019314563578,183.75718171661285,48.25655016706582,189.57883269577204,118.6,88.8,29.81,76.4,98.9,108.2,-9.299999999999997,118.6,90.7,27.89999999999999,49.549739365271826,184.87964846015902,0,94.73926129190652,108.42540008562555,-13.686138793719039,-12.839099405350828,121.6535916515044,88.25705597843765,33.39653567306675,31.451896831483253,2020-12-21,45.558071147990645,181.87907765671685,38.95546078222168,181.87907765671685,8.4,-42.89,-35.17776406035665,-51.29,-7.7122359396433495,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,-2.3234110653863755,-5.533333333333333,-9.465116598079566,-5.36125,-7.3271428571428565,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
22.0,8,-4.433333333333334,-6.348940710257584,-11.811003712974221,109.4,102.0666666666667,101.0,106.5,Tue 12-22 12-22,A,1 (I-A),Gonzaga,"L, 95-78",79,99.2,56.1,21.6,120.8,61.2,14.0,5.5,39.0,167.5,103.143359375,96.88671875,100.4075598231977,96.81491143117132,104.742578125,108.48515625,106.7565005334553,108.62591514414557,20201222,99.0,108.4,-9.400000000000006,118.8,90.9,27.89999999999999,96.0,107.4,-11.4,75.7,39.30073238379484,174.6567938923405,82.16088193456613,37.61812891468681,184.14832118808408,45.721090186183076,184.14832118808408,37.61812891468681,184.14832118808408,45.721090186183076,181.423035184354,118.5,88.7,29.81,76.3,99.0,108.4,-9.400000000000006,118.8,90.9,27.89999999999999,46.29020903182033,183.50053958541542,0,95.12006847789247,106.76774511234372,-11.647676634451244,-11.170003803494833,119.96398989014808,88.50231146128564,31.46167842886244,29.13849798486005,2020-12-22,41.74668532192612,178.82059796384436,35.62500828414737,178.82059796384436,19.4,-23.490000000000002,-37.7485093735711,-42.89,14.258509373571101,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,5.051059289742416,6.966666666666667,-2.3234110653863755,-2.6099999999999994,-5.36125,1,-1.0,1,-1,-1,1,-3.0,-3.0
8.5,-9,-1.6666666666666667,-7.532627140171725,-11.463548492433453,77.0,95.5666666666667,86.9,97.23333333333332,Wed 12-23 12-23,A,88 (Ⅱ),Washington St.,"L, 62-52",72,72.2,35.8,20.8,86.1,35.5,22.2,-31.0,18.5,145.0,90.0716796875,103.143359375,92.6050398821318,93.21220026186745,95.8212890625,104.742578125,100.13766702230356,104.6757487543009,20201223,99.0,108.5,-9.5,96.5,93.1,3.4000000000000057,96.2,107.8,-11.59,74.8,14.897474498068675,145.70962728061323,74.37439544807967,13.7157460130191,149.90737826505364,22.02225035582527,149.90737826505364,13.7157460130191,149.90737826505364,22.02225035582527,147.47376746544134,97.9,94.5,3.42,69.9,99.0,108.5,-9.5,96.5,93.1,3.4000000000000057,18.428276443403085,140.35558707030765,0,97.1426917573961,105.66890571240887,-8.526213955012778,-9.457840566960881,89.63468092885944,89.13555323141928,0.4991276974401586,6.248226124479983,2020-12-23,10.035393605895678,137.9813741535907,13.730355384248256,137.9813741535907,2.59,-20.900000000000002,-32.995672915714074,-23.490000000000002,12.095672915714072,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,4.057372859828275,9.923333333333334,5.051059289742416,-2.09,-2.6099999999999994,1,1.0,1,-1,-1,1,1.0,-3.0
