ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,PPP1,EFG%1,TO%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
8.0,31,,31.3,31.3,123.1,0.0,91.8,0.0,Wed 11-25 11-25,H,212 (Ⅳ),Illinois St.,"W, 94-67",76,124.4,53.1,13.2,88.7,46.5,21.2,28.0,-19.0,133.0,123.1,0.0,123.1,123.1,91.8,0.0,91.8,91.8,20201125,115.2,93.2,22.0,100.8,103.0,-2.200000000000003,108.2,86.4,21.8,70.5,-23.79539348392514,136.57467756381595,72.00426742532005,-22.582779986238933,157.09166481865267,-35.21717115521677,157.09166481865267,-22.582779986238933,157.09166481865267,-35.21717115521677,153.76631321865057,93.7,100.6,-6.83,71.8,115.2,93.2,22.0,100.8,103.0,-2.200000000000003,-35.21717115521677,153.76631321865057,0,104.8558235,101.4296642,3.426159299999995,8.080186982,101.4296642,104.8558235,-3.426159299999995,1.227868444,2020-11-25,-9.593468780032296,156.89406442501672,-7.043912012539735,156.89406442501672,9.2,9.2,0.0,0.0,9.2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,9.5,,0.0,9.2,0.0,1,0.0,1,1,1,3,0.0,0.0
-17.5,0,,20.966666666666665,25.66363636363636,100.8,0.0,100.5,0.0,Sun 11-29 11-29,H,243 (Ⅳ),UMass Lowell,"W, 74-64",68,108.6,43.6,13.2,93.9,47.3,19.1,-12.5,-27.5,150.5,111.95,123.1,115.66666666666669,119.04545454545452,96.15,91.8,94.7,93.38181818181818,20201129,112.6,90.7,21.89999999999999,98.0,106.9,-8.900000000000006,109.8,87.8,21.96,71.9,-24.34175725154875,151.4027658602401,76.0933143669986,-29.02174611110283,163.31833496962497,-33.16417920125661,163.31833496962497,-29.02174611110283,163.31833496962497,-33.16417920125661,168.51568859176504,98.3,102.8,-4.44,74.4,112.6,90.7,21.89999999999999,98.0,106.9,-8.900000000000006,-33.089282495676144,168.22628630292186,0,106.1415005850687,97.1710085872324,8.970491997836305,9.661051436453636,101.15582007967085,96.86163369143726,4.294186388233584,-2.1364965773179314,2020-11-29,-7.8855386081898615,156.3967377459232,-11.187917664564267,156.3967377459232,-21.96,-12.760000000000002,9.2,9.2,-21.96,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,-0.9933333333333358,,9.5,-6.380000000000003,9.2,-1,1.0,-1,-1,1,-3,3.0,0.0
8.0,39,23.66666666666667,27.11111111111111,28.161157024793386,120.7,114.86666666666666,81.3,91.2,Wed 12-02 12-02,H,129 (Ⅲ),Morehead St.,"W, 77-44",62,124.4,52.5,11.3,71.1,31.7,27.5,-16.5,-25.0,137.5,116.325,111.95,117.34444444444445,119.34628099173551,88.725,96.15,90.23333333333332,91.18512396694214,20201202,111.5,91.1,20.400000000000006,94.0,104.2,-10.200000000000003,109.5,88.4,21.08,70.5,-26.7012375852101,138.99838256131454,70.29943100995733,-26.04640137107785,145.8304185360693,-24.036197927772665,145.8304185360693,-26.04640137107785,145.8304185360693,-24.036197927772665,141.21458108196487,93.4,105.2,-11.71,70.1,111.5,91.1,20.400000000000006,94.0,104.2,-10.200000000000003,-23.963005487279823,141.0678524652957,0,104.07340654325311,97.03496093006058,7.038445613192536,3.972053741862772,94.59831718789863,103.84458377438489,-9.246266586486257,-0.845950905454932,2020-12-02,-15.740882365805916,144.1406652490012,-5.386180776471377,144.1406652490012,17.92,5.16,1.88,-12.760000000000002,3.2800000000000002,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,6.031111111111112,2.586666666666673,-0.9933333333333358,1.7199999999999989,-6.380000000000003,1,-1.0,1,1,-1,3,-3.0,3.0
-1.0,16,18.66666666666667,23.507407407407413,26.004583020285498,131.9,117.8,115.6,99.13333333333334,Tue 12-08 12-08,A,81 (Ⅱ),Notre Dame,"W, 90-85",67,134.4,55.6,11.9,126.9,60.2,19.4,34.5,-6.0,140.5,124.1125,116.325,122.19629629629631,121.6287753568745,102.1625,88.725,98.68888888888891,95.62419233658902,20201208,111.3,90.8,20.5,108.5,94.9,13.599999999999996,109.4,87.9,21.57,69.5,-4.526455276469008,138.65360632624675,70.68634423897583,-1.0061273547092924,147.5299556544767,-11.5801977701241,147.5299556544767,-1.0061273547092924,147.5299556544767,-11.5801977701241,143.22326542827074,105.5,95.7,9.8,71.5,111.3,90.8,20.5,108.5,94.9,13.599999999999996,-11.49574104077119,142.9784672322256,0,105.08633487333971,93.44103916820671,11.645295705132995,10.539369965803253,97.35611070877891,100.33936909141613,-2.983258382637217,0.1294243269426386,2020-12-08,-6.49162225670959,141.79029802586035,-5.273613041445074,141.79029802586035,-5.57,-0.41000000000000014,2.9733333333333336,5.16,-3.3833333333333337,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1.937407407407413,-2.903333333333329,6.031111111111112,-0.10249999999999915,1.7199999999999989,1,1.0,-1,-1,1,-1,3.0,-3.0
-17.0,9,21.566666666666674,18.671604938271614,22.91284065296086,103.7,118.76666666666664,94.7,97.2,Sun 12-13 12-13,H,180 (Ⅲ),Cleveland St.,"W, 67-61",65,102.7,46.2,15.3,93.5,48.2,21.5,-7.0,-23.0,135.0,113.90625,124.1125,116.03086419753087,118.36899801926096,98.43125,102.1625,97.35925925925928,95.45615736630009,20201213,115.2,93.2,22.0,101.2,104.3,-3.0999999999999943,111.7,90.2,21.54,69.0,-23.458972375667415,138.34017240270776,69.88335704125178,-22.777711317089853,153.95013395338825,-31.77640371165277,153.95013395338825,-22.777711317089853,153.95013395338825,-31.77640371165277,139.68809082400077,94.2,101.3,-7.11,71.2,115.2,93.2,22.0,101.2,104.3,-3.0999999999999943,-31.822792699106568,139.7311147172556,0,108.86389381341394,102.29381171889929,6.570082094514646,6.1916046550623065,88.33255933121548,104.03320321037936,-15.700643879163877,2.15106193782132,2020-12-13,-20.457441930336408,146.12300755871152,-4.8620227873949915,146.12300755871152,-12.54,-12.95,1.8455555555555558,-0.41000000000000014,-14.795555555555556,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,-2.8683950617283855,0.026666666666674388,1.937407407407413,-2.5899999999999963,-0.10249999999999915,-1,1.0,-1,-1,-1,-3,-1.0,3.0
0.0,7,10.933333333333335,14.947736625514409,20.110505988786155,98.1,111.23333333333332,90.6,100.3,Wed 12-16 12-16,A,25 (I-A),Purdue,"L, 67-60",67,90.0,43.1,19.5,100.5,52.8,24.0,-6.0,7.0,133.0,106.003125,113.90625,110.0539094650206,114.68372565212259,94.515625,98.43125,95.1061728395062,94.57321966333643,20201216,112.9,93.5,19.400000000000006,106.3,91.7,14.599999999999996,111.4,91.1,20.29,68.1,2.2848023759206484,134.23887975627127,67.13129445234708,1.060799555373677,139.53081170572122,-0.26250950158190595,139.53081170572122,1.060799555373677,139.53081170572122,-0.26250950158190595,141.8274883719092,109.1,91.2,17.97,69.3,112.9,93.5,19.400000000000006,106.3,91.7,14.599999999999996,0.6965412889082158,141.5207022985011,0,105.82775662151472,103.88195010483463,1.9458065166800935,-3.700805365255503,106.4019834245483,100.56194881744374,5.84003460710457,10.956672252778569,2020-12-16,7.006366524406474,149.34596082801434,11.78762410682971,149.34596082801434,-13.29,-26.24,-3.086296296296296,-12.95,-23.1537037037037,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,-5.34226337448559,-9.356666666666664,-2.8683950617283855,-4.373333333333331,-2.5899999999999963,-1,-1.0,-1,-1,-1,-3,-3.0,-1.0
9.0,23,13.466666666666667,17.931824417009608,20.799504899915945,133.4,111.73333333333336,109.5,98.2666666666667,Sat 12-19 12-19,N,50 (I),UCLA,"W, 77-70",59,130.8,58.0,11.9,118.9,43.3,10.2,15.0,2.0,132.0,119.7015625,106.003125,117.83593964334707,118.08668462446394,102.0078125,94.515625,99.9041152263375,97.287179724548,20201219,111.6,93.6,18.0,111.1,93.7,17.39999999999999,110.7,91.1,19.62,68.2,-0.3723132227907513,131.5216761005782,65.2896159317212,-0.3880702626271102,139.6402144396085,5.2091671400718695,139.6402144396085,-0.3880702626271102,139.6402144396085,5.2091671400718695,134.98869647272164,110.8,91.7,19.07,67.3,111.6,93.6,18.0,111.1,93.7,17.39999999999999,1.4254789557997751,137.37808326634018,0,101.73940299775947,102.94956534281359,-1.2101623450541155,-6.8320124712349335,107.59853565785863,95.88558551609033,11.712950141768303,18.51873644478085,2020-12-19,8.8506282982747,139.48410724425048,16.55140660308166,139.48410724425048,3.379999999999999,-22.86,-10.804197530864197,-26.24,-12.055802469135802,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-1.688175582990393,-6.153333333333334,-5.34226337448559,-3.2657142857142816,-4.373333333333331,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
9.0,18,16.533333333333335,18.021216278006406,20.326867645385768,117.0,116.16666666666669,98.8,99.63333333333335,Wed 12-23 12-23,H,43 (Ⅱ),Rutgers,"W, 80-68",71,112.8,50.0,15.5,95.9,50.0,12.7,10.5,-3.0,137.5,118.35078125,119.7015625,117.55729309556473,117.88910560183413,100.40390625,102.0078125,99.53607681755831,97.56223795644837,20201223,113.5,95.1,18.400000000000006,109.5,91.3,18.200000000000006,112.9,92.7,20.2,67.2,-3.2227591111163605,136.86139151822118,67.67795163584637,-3.680230107048402,144.06105009729527,-0.33793491807518966,144.06105009729527,-3.680230107048402,144.06105009729527,-0.33793491807518966,146.99339840601277,110.1,89.6,20.57,70.8,113.5,95.1,18.400000000000006,109.5,91.3,18.200000000000006,-0.6495124263974048,144.26751943672454,0,105.56673530899263,100.48926178363787,5.077473525354762,1.7240479747366897,109.01287509762676,91.31780273975627,17.695072357870487,15.918329555281804,2020-12-23,5.11738308384102,142.5588440686358,7.54425638108296,142.5588440686358,-2.1999999999999993,-25.06,-14.822798353909466,-22.86,-10.237201646090533,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-2.178783721993593,-3.6666666666666643,-1.688175582990393,-3.1324999999999967,-3.2657142857142816,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-3.5,13,18.666666666666668,16.647477518670936,19.158346255315628,116.8,122.40000000000002,102.9,103.73333333333336,Sat 12-26 12-26,A,77 (Ⅱ),Northwestern,"L, 71-70",66,105.4,47.5,15.1,106.9,53.4,7.5,0.5,-2.5,140.5,117.575390625,118.35078125,117.30486206370985,117.69108640150064,101.651953125,100.40390625,100.65738454503891,98.53274014618499,20201226,113.7,95.4,18.3,109.1,93.4,15.699999999999989,113.7,92.8,20.91,67.4,0.32813318885565934,138.94266720393824,67.97524893314369,2.6269942085986457,146.39741929743417,7.019170455223254,146.39741929743417,2.6269942085986457,146.39741929743417,7.019170455223254,148.56079038232016,107.9,92.7,15.15,70.9,113.7,95.4,18.3,109.1,93.4,15.699999999999989,4.5458608161002605,144.80991692611343,0,108.15817906011948,97.9881598656867,10.170019194432783,8.420150531724818,107.33064960650377,93.77969891767692,13.550950688826845,20.15185440124767,2020-12-26,6.6330240810220715,143.95195604546717,10.14986836023273,143.95195604546717,-7.91,-32.97,-18.23519890260631,-25.06,-14.734801097393689,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,-4.262522481329064,-2.2433333333333323,-2.178783721993593,-3.6633333333333304,-3.1324999999999967,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
23.0,47,26.600000000000005,26.99831834578063,24.347737845258244,129.8,121.2,82.1,94.60000000000002,Wed 12-30 12-30,H,86 (Ⅲ),Nebraska,"W, 90-54",72,125.5,58.7,13.9,75.3,32.5,20.9,-1.5,-13.0,145.5,123.6876953125,117.575390625,121.46990804247324,119.89270705577326,91.8759765625,101.651953125,94.4715896966926,95.544969210515,20201230,113.8,96.0,17.799999999999994,102.1,93.9,8.199999999999989,114.0,93.5,20.55,67.2,-14.675047460072946,143.80422049166242,70.25889046941678,-10.483226842680182,147.5101883589262,-7.996577653798434,147.5101883589262,-10.483226842680182,147.5101883589262,-7.996577653798434,143.98561603165342,101.6,96.7,4.96,73.5,113.8,96.0,17.799999999999994,102.1,93.9,8.199999999999989,-6.990905329192046,142.98573470106905,0,106.81240892151571,98.74332199923336,8.069086922282352,5.687503251984782,96.7510570956482,93.93535724041752,2.81569985523069,7.205602040304584,2020-12-30,-7.394641134696684,140.95344019717695,-1.0274693063963412,140.95344019717695,26.45,-6.52,-23.14679926840421,-32.97,16.62679926840421,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,6.448318345780628,6.050000000000004,-4.262522481329064,-0.6519999999999975,-3.6633333333333304,1,-1.0,1,-1,-1,1,-3.0,-3.0
