ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,PPP1,EFG%1,TO%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-13.0,-11,,-11.899999999999993,-11.899999999999993,95.2,0.0,107.1,0.0,Wed 11-25 11-25,A,35 (I-A),Missouri,"L, 91-64",75,85.8,40.2,20.1,121.9,60.9,22.8,5.5,14.0,149.5,95.2,0.0,95.2,95.2,107.1,0.0,107.1,107.1,20201125,102.9,108.3,-5.399999999999992,108.8,94.7,14.099999999999996,100.0,103.6,-3.62,72.7,17.125883306595128,144.457994328349,72.80341394025606,19.66164407763877,160.68938091589115,31.28928181716667,160.68938091589115,19.66164407763877,160.68938091589115,31.28928181716667,145.80479610651852,104.7,90.4,14.31,70.4,102.9,108.3,-5.399999999999992,108.8,94.7,14.099999999999996,31.28928181716667,145.80479610651852,0,98.5009409,102.99312690000001,-4.492186000000004,1.8285083309999999,102.99312690000001,98.5009409,4.492186000000004,10.81288043,2020-11-25,10.971217893922983,151.3882989307926,8.70827227571958,151.3882989307926,-7.38,-7.38,0.0,0.0,-7.38,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,-8.279999999999994,,0.0,-7.38,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
5.0,13,,-3.5333333333333283,-7.336363636363629,120.3,0.0,107.1,0.0,Wed 12-02 12-02,A,61 (I),Wichita St.,"L, 85-80",71,113.1,51.4,15.6,120.2,47.7,9.9,15.5,10.0,149.5,107.75,95.2,103.56666666666666,99.76363636363637,107.1,107.1,107.1,107.1,20201202,100.4,105.8,-5.399999999999992,103.9,93.4,10.5,101.0,105.3,-4.35,73.3,13.389076461669404,153.3652143279936,75.80241820768137,16.922498433431755,158.07593253739486,14.086076175331302,158.07593253739486,16.922498433431755,158.07593253739486,14.086076175331302,168.64190681743503,102.1,94.5,7.59,72.7,100.4,105.8,-5.399999999999992,103.9,93.4,10.5,14.086076175331302,168.64190681743503,0,95.29682997592978,102.16924420052861,-6.872414224598828,-2.550238560130172,0.0,0.0,0.0,0.0,2020-12-02,-0.0,0.0,,0.0,17.35,9.970000000000002,-7.38,-7.38,17.35,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0.8166666666666713,,-8.279999999999994,4.984999999999999,-7.38,1,-1.0,1,1,-1,3,-3.0,0.0
10.5,14,5.166666666666671,2.3777777777777818,-3.4206611570247865,114.7,110.06666666666666,100.5,104.9,Tue 12-08 12-08,A,33 (I-A),Oklahoma St.,"L, 83-78",76,102.3,56.7,23.6,108.9,46.9,15.7,5.0,15.5,156.0,111.225,107.75,107.2777777777778,102.4793388429752,103.8,107.1,104.9,105.89999999999998,20201208,101.8,106.0,-4.200000000000003,105.8,92.8,13.0,101.9,105.7,-3.77,72.8,20.884057524105728,153.49312908897946,75.49246088193458,18.094204327706876,159.72998177126678,11.088452234706462,159.72998177126678,18.094204327706876,159.72998177126678,11.088452234706462,155.8162525003125,106.8,89.1,17.74,72.9,101.8,106.0,-4.200000000000003,105.8,92.8,13.0,10.841459250345979,155.9767218836139,0,100.3746202436898,100.772350178611,-0.3977299349212018,2.7484571836919374,99.44916883624128,97.52169605179571,1.9274727844455697,-2.0228916213195993,2020-12-08,6.0741826526507054,152.8323829829118,-1.480551263292952,152.8323829829118,17.77,27.740000000000002,-1.5966666666666667,9.970000000000002,29.33666666666667,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,6.147777777777781,8.936666666666671,0.8166666666666713,9.246666666666666,4.984999999999999,1,1.0,1,1,1,3,3.0,-3.0
2.5,-5,7.400000000000001,-0.14814814814814592,-3.7441773102930083,94.6,109.86666666666666,99.8,102.46666666666664,Wed 12-16 12-16,A,32 (I-A),Oklahoma,"L, 79-65",73,88.6,39.6,15.0,107.7,49.2,19.1,-15.5,16.5,159.5,102.9125,111.225,103.05185185185186,101.04673178061607,101.8,103.8,103.20000000000002,104.79090909090908,20201216,103.3,106.3,-3.0,112.6,95.0,17.599999999999994,103.3,106.0,-2.66,72.5,20.11854065295792,160.5970721735689,74.45945945945947,21.045167168282674,166.2138425305739,15.093544612219633,166.2138425305739,21.045167168282674,166.2138425305739,15.093544612219633,181.21717743286544,111.9,94.4,17.52,72.2,103.3,106.3,-3.0,112.6,95.0,17.599999999999994,15.136797865460508,181.3040536356797,0,103.51666697194064,101.23349930692952,2.2831676650111206,2.8333665925594462,111.20894710184571,110.23270785057413,0.9762392512715792,11.66047599731892,2020-12-16,3.665871356597023,172.46482230637665,8.80857132940649,172.46482230637665,-2.34,25.400000000000002,8.182222222222222,27.740000000000002,17.21777777777778,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,2.511851851851854,10.060000000000002,6.147777777777781,6.35,9.246666666666666,1,1.0,1,1,1,3,3.0,3.0
8.5,15,8.299999999999997,5.201234567901233,-0.17250870842155308,109.1,106.13333333333333,93.2,97.83333333333331,Sun 12-20 12-20,A,23 (I-A),Arkansas,"L, 87-76",81,93.7,45.3,16.0,107.3,44.2,18.5,9.0,19.5,154.0,106.00625,102.9125,105.06790123456793,102.51096236595859,97.5,101.8,99.86666666666667,102.68347107438015,20201220,102.6,105.5,-2.9000000000000057,105.9,89.1,16.800000000000008,103.0,105.4,-2.42,72.3,19.761015523498784,154.23074976023685,74.56258890469417,19.807108296581234,155.2198211920113,19.954797857745305,155.2198211920113,19.807108296581234,155.2198211920113,19.954797857745305,148.32048096715405,108.2,90.5,17.64,72.5,102.6,105.5,-2.9000000000000057,105.9,89.1,16.800000000000008,19.897669209717826,153.92885210819426,0,98.41308238635106,97.90540821861349,0.5076741677375765,-0.9245266502634646,109.742455936532,88.55407633177822,21.188379604753777,29.029313434986427,2020-12-20,19.614934465425875,148.70587533444936,24.715490326125476,148.70587533444936,17.42,42.82000000000001,13.921481481481482,25.400000000000002,28.898518518518525,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,7.621234567901233,10.719999999999997,2.511851851851854,8.564,6.35,1,1.0,1,1,1,3,3.0,3.0
10.0,4,5.133333333333326,5.0341563786008185,0.7134019658369091,125.1,109.59999999999997,120.4,104.46666666666664,Sat 1-02 1-02,A,314 (Ⅳ),Nebraska Omaha,"W, 95-83",74,129.1,64.9,12.2,112.8,61.4,19.0,25.5,-2.0,152.5,115.553125,106.00625,111.74526748971195,106.61806011760248,108.95,97.5,106.71111111111115,105.90465815176556,20210102,104.2,106.2,-2.0,92.8,100.6,-7.799999999999998,104.0,105.9,-1.93,72.6,0.8517575364435572,153.76195445278927,74.8719772403983,-0.4422799254166847,155.45965856881224,-10.225540617809054,155.45965856881224,-0.4422799254166847,155.45965856881224,-10.225540617809054,149.83655069139084,95.3,101.5,-6.15,72.5,104.2,106.2,-2.0,92.8,100.6,-7.799999999999998,-8.915135652401974,146.2856864625223,0,99.19874041633504,96.57103697734941,2.627703438985634,-0.09026142191004803,90.39401651534482,99.72597213515205,-9.331955619807232,-4.530244444584449,2021-01-02,-4.9110495249222765,142.2186174032266,-1.2763202128937223,142.2186174032266,5.93,48.75000000000001,23.554320987654325,42.82000000000001,25.195679012345682,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,6.964156378600818,7.0633333333333255,7.621234567901233,8.125,8.564,1,1.0,1,1,1,3,3.0,3.0
7.5,-7,4.466666666666659,0.9561042524005452,-0.7253983915879841,107.5,113.89999999999998,114.7,109.43333333333332,Sun 1-03 1-03,A,314 (Ⅳ),Nebraska Omaha,"W, 86-75",74,116.6,59.6,16.3,101.7,43.2,10.8,5.0,-3.5,156.0,111.5265625,115.553125,110.33017832647465,106.77841282349293,111.825,108.95,109.3740740740741,107.50381121508093,20210103,104.1,106.2,-2.1000000000000085,92.7,100.5,-7.799999999999998,104.0,106.0,-1.93,72.7,0.9247538866114411,153.83436978197528,74.87169274537699,-0.3735801556440492,155.22334112534833,-16.20418815101087,155.22334112534833,-0.3735801556440492,155.22334112534833,-16.20418815101087,162.16426906456198,95.3,101.5,-6.15,72.4,104.1,106.2,-2.1000000000000085,92.7,100.5,-7.799999999999998,-9.85822115373006,155.3118003259292,0,102.97745142732548,98.0327018748524,4.94474955247307,1.6963345025079908,91.3057892697994,101.98616016863855,-10.680370898839143,-6.716634210276536,2021-01-03,-7.701972307721249,148.49319344743526,-4.255147655739549,148.49319344743526,-5.07,43.68000000000001,31.952880658436218,48.75000000000001,11.727119341563789,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,2.8861042524005454,6.3966666666666585,6.964156378600818,6.24,8.125,1,1.0,1,1,1,3,3.0,3.0
-10.5,-12,-5.100000000000004,-3.6292638317329686,-2.92078050220835,101.5,111.36666666666665,114.3,116.46666666666664,Fri 1-08 1-08,H,283 (Ⅳ),North Dakota,"L, 72-71",66,108.2,43.8,15.2,109.7,51.6,12.2,-4.5,-9.5,147.5,106.51328125,111.5265625,107.38678555098309,105.81870140103966,113.0625,111.825,111.01604938271609,108.73948190324802,20210108,107.3,107.7,-0.4000000000000057,93.2,105.0,-11.799999999999995,106.9,107.0,-0.11,72.0,-12.352938745906002,147.82137279469407,69.54196301564723,-12.99584158302494,151.93038298369936,-22.757180474659044,151.93038298369936,-12.99584158302494,151.93038298369936,-22.757180474659044,143.36533443861842,94.1,105.3,-11.3,67.9,107.3,107.7,-0.4000000000000057,93.2,105.0,-11.799999999999995,-15.158087043042537,144.67795965707512,0,103.15711400681171,98.49462932067725,4.662484686134462,0.4204869562891885,91.51877048285351,99.43927556982256,-7.920505086969044,-8.131745913590814,2021-01-08,-12.696886174503447,137.4643488674758,-7.819489731892311,137.4643488674758,-11.89,31.790000000000006,35.86192043895748,43.68000000000001,-4.071920438957477,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,-3.5192638317329688,-4.990000000000004,2.8861042524005454,3.97375,6.24,-1,1.0,-1,1,1,-1,3.0,3.0
8.5,12,-2.5333333333333314,1.7138241121780218,-0.1351840472613759,95.9,101.63333333333328,83.5,104.16666666666669,Sat 1-09 1-09,H,283 (Ⅳ),North Dakota,"W, 74-57",72,103.2,55.8,20.9,79.5,43.8,22.3,-16.0,-8.5,147.0,101.206640625,106.51328125,103.55785703398874,104.01530114630518,98.28125,113.0625,101.84403292181072,104.15048519356657,20210109,107.3,107.6,-0.2999999999999972,93.2,104.9,-11.700000000000005,106.8,106.9,-0.1,71.9,-12.395997148671796,147.4062225238343,69.44537695590328,-12.964279762942795,151.58242369782369,-14.850116163243522,151.58242369782369,-12.964279762942795,151.58242369782369,-14.850116163243522,140.9939433427002,94.0,105.3,-11.29,67.9,107.3,107.6,-0.2999999999999972,93.2,104.9,-11.700000000000005,-12.732799499182892,144.19453819295546,0,101.51436729999999,99.88481999999999,1.6295472999999987,-2.238351358,92.00467893,98.31288326,-6.3082043300000095,-6.168930678,2021-01-09,-9.435164578046127,136.4637030049069,-4.59233761826701,136.4637030049069,12.1,43.89000000000001,34.50461362597166,31.790000000000006,9.38538637402835,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1.8138241121780219,-2.4333333333333313,-3.5192638317329688,4.876666666666667,3.97375,1,-1.0,1,1,1,3,-1.0,3.0
-7.5,-14,-4.833333333333333,-3.557450591881321,-2.6742414932138545,106.6,101.3333333333333,120.7,106.16666666666669,Fri 1-15 1-15,A,336 (Ⅳ),Denver,"W, 88-84",75,117.4,57.3,12.0,112.0,50.8,13.3,16.5,-11.5,155.5,103.9033203125,101.206640625,104.57190468932585,104.48524639243149,109.490625,98.28125,108.12935528120715,107.15948788564538,20210115,107.4,106.9,0.5,90.7,110.5,-19.8,106.7,106.8,-0.08,71.2,-8.460493869642903,155.22067653085358,72.21280227596017,-11.582490606696638,158.81498402495725,-13.663768028166288,158.81498402495725,-11.582490606696638,158.81498402495725,-13.663768028166288,151.60495221454002,93.0,109.8,-16.89,71.3,107.4,106.9,0.5,90.7,110.5,-19.8,-15.691234488761644,151.2635982712937,0,102.17449168923224,99.92362422348774,2.2508674657445056,-2.4347573860437097,87.86926450863918,110.05844231836558,-22.189177809726402,-17.394404029459835,2021-01-15,-14.06515366847951,147.393914724988,-8.981290291828927,147.393914724988,-13.92,29.970000000000006,37.63307575064778,43.89000000000001,-7.663075750647771,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,-3.477450591881321,-4.753333333333333,1.8138241121780219,2.997,4.876666666666667,-1,1.0,-1,1,1,-1,3.0,-1.0
