ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,PPP1,EFG%1,TO%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
9.0,-14,,-14.099999999999996,-14.099999999999996,92.4,0.0,106.5,0.0,Wed 11-25 11-25,N,263 (Ⅳ),Little Rock,"L, 71-66",70,94.5,56.4,34.4,101.7,47.1,27.2,-7.0,14.0,144.0,92.4,0.0,92.4,92.4,106.5,0.0,106.5,106.5,20201125,92.9,105.9,-13.0,105.5,101.1,4.400000000000006,88.3,100.7,-12.37,73.8,11.191811913122862,143.20756060805502,76.73940256045519,13.947921273858313,161.1191509921233,11.203036482452593,161.1191509921233,13.947921273858313,161.1191509921233,11.203036482452593,156.9685008182416,100.4,97.9,2.46,73.1,92.9,105.9,-13.0,105.5,101.1,4.400000000000006,11.203036482452593,156.9685008182416,0,102.97101620000001,101.0974569,1.8735593000000108,0.860920348,101.0974569,102.97101620000001,-1.8735593000000108,-2.886198255,2020-11-25,-2.99550060711546,163.1490290422342,-2.875516429173871,163.1490290422342,-1.6300000000000008,-1.6300000000000008,0.0,0.0,-1.6300000000000008,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,-1.7299999999999969,,0.0,-1.6300000000000008,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
0.5,-3,,-10.433333333333328,-12.099999999999996,89.0,0.0,92.1,0.0,Fri 11-27 11-27,N,206 (Ⅳ),Evansville,"W, 64-61",65,97.8,44.7,22.9,93.2,42.0,22.9,-5.0,-2.5,130.0,90.7,92.4,91.26666666666668,91.78181818181818,99.3,106.5,101.70000000000002,103.88181818181818,20201127,92.9,105.9,-13.0,94.9,105.4,-10.5,89.4,101.3,-11.84,72.9,-0.30774311203586535,127.77505171949639,70.10014224751066,1.852722560738286,142.34627058845177,-11.923720315067637,142.34627058845177,1.852722560738286,142.34627058845177,-11.923720315067637,131.67150360629284,90.2,102.7,-12.54,67.6,92.9,105.9,-13.0,94.9,105.4,-10.5,-11.923720315067637,131.67150360629284,0,102.97101616739124,101.09745686581672,1.8735593015745167,0.8609203481311978,96.69765344311408,106.02455681269743,-9.326903369583349,-2.6728756563600755,2020-11-27,-8.189783457422863,148.4570137729878,-2.477196025885249,148.4570137729878,8.84,7.209999999999999,-1.6300000000000008,-1.6300000000000008,8.84,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1.4066666666666716,,-1.7299999999999969,3.6050000000000004,-1.6300000000000008,1,-1.0,1,1,-1,3,-3.0,0.0
4.0,-8,-8.599999999999994,-9.822222222222218,-11.463636363636358,119.2,100.2,127.8,108.8,Sun 11-29 11-29,A,60 (I),Louisville,"L, 86-64",61,104.3,47.3,16.3,140.2,67.4,17.9,11.0,26.0,139.0,104.95,90.7,100.57777777777781,96.76694214876032,113.55,99.3,110.40000000000002,108.23057851239668,20201129,90.4,102.9,-12.5,109.5,91.8,17.700000000000006,90.1,101.7,-11.6,72.7,25.580399207528387,140.74504604275074,73.73413940256046,26.505196360784865,148.10155515780315,28.447609239352083,148.10155515780315,26.505196360784865,148.10155515780315,28.447609239352083,133.6342653425391,108.4,89.6,18.79,71.3,90.4,102.9,-12.5,109.5,91.8,17.700000000000006,28.33860879668708,133.59319015255483,0,97.6817904058998,101.60110659779923,-3.9193161918994264,-7.092357270695278,105.60926294859371,93.81952080598604,11.789742142607665,15.052886616429529,2020-11-29,15.997698403233727,150.27922813980135,18.475335691310818,150.27922813980135,3.5999999999999996,10.809999999999999,1.3166666666666655,7.209999999999999,9.493333333333332,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1.7777777777777821,3.0000000000000053,1.4066666666666716,3.6033333333333335,3.6050000000000004,1,1.0,1,1,1,3,3.0,-3.0
-15.5,-26,-12.633333333333333,-15.28148148148148,-14.142975206611569,99.0,102.40000000000002,125.2,115.03333333333332,Mon 12-21 12-21,A,92 (Ⅱ),Washington St.,"L, 90-62",71,87.9,42.2,18.4,127.6,58.9,21.3,17.0,12.5,135.0,101.975,104.95,100.05185185185188,97.17295266716755,119.375,113.55,115.33333333333336,111.31592787377909,20201221,93.0,105.2,-12.200000000000005,95.1,93.1,2.0,92.0,103.7,-11.68,69.9,13.005256508317693,129.95451597817868,69.60170697012803,13.316085198930573,133.25877093231338,13.188858044591342,133.25877093231338,13.316085198930573,133.25877093231338,13.188858044591342,131.09781713149837,96.8,94.4,2.44,70.0,93.0,105.2,-12.200000000000005,95.1,93.1,2.0,11.549329380622355,127.61608737928574,0,102.68898240376535,107.67149909052273,-4.9825166867573785,-10.293191767497063,86.22815881314203,88.17287314069206,-1.944714327550031,1.853392796357881,2020-12-21,5.296824320631018,130.72640852453117,10.320838572094061,130.72640852453117,-14.32,-3.5100000000000016,4.48111111111111,10.809999999999999,-7.9911111111111115,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,-3.60148148148148,-0.9533333333333331,1.7777777777777821,-0.8774999999999995,3.6033333333333335,-1,1.0,-1,-1,1,-3,3.0,3.0
15.0,-1,-11.933333333333332,-10.520987654320988,-11.753343350864007,85.7,101.3,86.7,113.2333333333333,Wed 12-30 12-30,A,119 (Ⅲ),TCU,"L, 66-61",73,83.0,40.9,20.4,89.8,42.2,19.1,-10.5,20.0,137.5,93.8375,101.975,95.26790123456793,95.08696127313705,103.0375,119.375,105.78888888888893,106.84030462400106,20201230,94.0,107.5,-13.5,106.9,96.2,10.700000000000003,92.7,105.3,-12.56,70.1,21.17777318418048,136.65285720067385,68.20540540540541,21.12726817580723,143.9535318482928,25.028550254448962,143.9535318482928,21.12726817580723,143.9535318482928,25.028550254448962,160.05930517607314,107.4,94.4,13.02,68.4,94.0,107.5,-13.5,106.9,96.2,10.700000000000003,22.094576138406143,149.12799583680368,0,104.51383336510176,110.90304620500487,-6.389212839903109,-7.211834123279003,103.97306532293116,98.34064039014835,5.632424932782811,0.16436300912428406,2020-12-30,13.020251054032201,152.6233710702366,6.873421921589575,152.6233710702366,11.56,8.049999999999999,1.8174074074074067,-3.5100000000000016,6.232592592592592,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,2.039012345679012,0.6266666666666687,-3.60148148148148,1.6100000000000012,-0.8774999999999995,1,-1.0,1,1,-1,3,-3.0,3.0
3.5,4,-7.700000000000002,-5.647325102880663,-8.870917287070553,97.5,94.06666666666668,93.4,101.76666666666664,Mon 1-11 1-11,H,228 (Ⅳ),Texas Southern,"W, 71-67",73,96.8,54.5,23.2,91.4,48.9,30.0,-7.5,-2.5,147.5,95.66875,93.8375,96.01193415637863,95.52569558711212,98.21875,103.0375,101.6592592592593,104.39661287418268,20210111,94.7,106.6,-11.899999999999993,101.0,105.8,-4.799999999999997,93.6,104.8,-11.13,70.0,0.3077949141013505,140.67445119460567,69.60170697012803,1.1789872851875742,147.9697971432845,2.573247749240227,147.9697971432845,1.1789872851875742,147.9697971432845,2.573247749240227,154.00174950915732,99.9,105.3,-5.43,69.9,94.7,106.6,-11.899999999999993,101.0,105.8,-4.799999999999997,3.260033368362907,146.74680620866135,0,101.9006103566108,104.93942678451118,-3.038816427900386,-5.745875306612724,101.98082851459694,102.21738258086228,-0.2365540662653416,-4.019842633087071,2021-01-11,-2.1761719766771677,150.4274217723708,-0.6523401021527206,150.4274217723708,15.13,23.18,3.8949382716049374,8.049999999999999,19.285061728395064,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,5.482674897119338,3.429999999999999,2.039012345679012,3.863333333333335,1.6100000000000012,1,1.0,1,1,1,3,3.0,-3.0
4.5,-1,0.6333333333333305,-4.164883401920442,-7.476205053057725,79.8,87.66666666666669,81.0,87.0333333333333,Mon 1-18 1-18,H,316 (Ⅳ),Grambling St.,"W, 59-50",70,84.9,50.0,24.5,71.9,39.8,27.3,-29.5,-4.5,138.5,87.734375,95.66875,90.60795610425241,92.6664782076372,89.609375,98.21875,94.77283950617287,100.14268326069492,20210118,94.6,105.9,-11.300000000000011,92.6,103.0,-10.400000000000006,92.9,103.9,-11.02,70.0,-4.615709939457517,133.83222414103983,70.09957325746801,-3.4783679537223975,140.26933027286103,-7.129243181023606,140.26933027286103,-3.4783679537223975,140.26933027286103,-7.129243181023606,137.87520457316865,91.7,103.9,-12.23,70.4,94.6,105.9,-11.300000000000011,92.6,103.0,-10.400000000000006,-5.891710175301651,135.7180735720187,0,98.20657453950123,104.18963613004006,-5.983061590538824,-7.492406931566263,96.19740569362507,98.60573223490358,-2.4083265412785124,-8.57754914515605,2021-01-18,-1.5257428576253034,141.33577618039465,-2.565758523317953,141.33577618039465,10.02,33.2,10.32329218106996,23.18,22.876707818930043,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,6.855116598079557,11.65333333333333,5.482674897119338,4.742857142857144,3.863333333333335,1,1.0,1,1,1,3,3.0,3.0
26.0,14,5.833333333333332,2.0900777320530404,-3.462349588865409,94.7,90.66666666666669,80.1,84.83333333333331,Sat 1-23 1-23,A,347 (Ⅳ),Mississippi Valley St.,"W, 77-31",62,124.5,53.9,11.3,50.1,43.9,46.9,-36.0,-20.0,144.0,91.2171875,87.734375,91.97197073616829,93.03620944261223,84.8546875,89.609375,89.88189300411526,96.49855903147764,20210123,93.5,104.2,-10.700000000000003,83.5,119.4,-35.90000000000001,92.5,103.2,-10.65,69.6,-14.6589828410616,137.14041848129503,70.39203413940255,-13.739892736458174,142.61968232167789,-24.002393159714277,142.61968232167789,-13.739892736458174,142.61968232167789,-24.002393159714277,142.0779789958897,82.4,120.5,-38.15,71.1,93.5,104.2,-10.700000000000003,83.5,119.4,-35.90000000000001,-17.763129083441278,137.8838333257312,0,96.16540807180807,101.64248592457554,-5.477077852767465,-4.776065634370603,90.50061137042653,108.31760663048578,-17.816995260059258,-11.348971671417882,2021-01-23,-4.816880981785786,141.07343939024952,-2.8147356903598606,141.07343939024952,24.65,57.85,17.94886145404664,33.2,39.90113854595336,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,12.740077732053042,16.483333333333334,6.855116598079557,7.231250000000001,4.742857142857144,1,1.0,1,1,1,3,3.0,3.0
7.5,12,8.600000000000003,5.526718488035362,-0.5782860272535153,106.4,93.63333333333335,94.0,85.03333333333332,Mon 1-25 1-25,A,343 (Ⅳ),Arkansas Pine Bluff,"W, 73-56",64,114.8,58.5,15.7,88.1,38.9,23.6,-6.5,-9.5,135.5,98.80859375,91.2171875,96.7813138241122,95.46598954395547,89.42734375,84.8546875,91.25459533607685,96.044275571209,20210125,93.8,102.3,-8.5,92.6,112.3,-19.700000000000006,93.0,102.4,-9.39,68.8,-6.0982956869550975,133.2358079865396,68.40853485064012,-3.508374965885082,139.98295651264814,-13.61739640680556,139.98295651264814,-3.508374965885082,139.98295651264814,-13.61739640680556,130.93870414609174,88.7,113.2,-24.53,69.9,93.8,102.3,-8.5,92.6,112.3,-19.700000000000006,-10.700117161242796,134.3298556262282,0,99.29816173531981,96.48220492629791,2.8159568090218983,-0.04173264416410497,95.50191353423874,111.00644691032558,-15.50453337608684,-8.988057533234578,2021-01-25,-8.702776513391001,141.4496937627659,-4.291090864019594,141.4496937627659,21.39,79.24000000000001,31.249240969364426,57.85,47.99075903063559,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,14.916718488035363,17.990000000000002,12.740077732053042,8.804444444444446,7.231250000000001,1,1.0,1,1,1,3,3.0,3.0
13.5,3,10.300000000000006,4.984478992023577,0.2359477958834885,104.9,102.0,101.0,91.69999999999996,Sat 1-30 1-30,H,341 (Ⅳ),Alabama A&M,"W, 79-57",71,111.9,64.0,24.1,80.7,39.2,21.2,1.0,-8.5,135.0,101.854296875,98.80859375,99.48754254940815,97.18126417232719,95.213671875,89.42734375,94.50306355738456,96.94531637644371,20210130,95.2,101.6,-6.399999999999992,92.8,105.7,-12.900000000000004,94.3,102.8,-8.51,67.8,-8.374926203441198,130.9506469376454,67.8,-8.195670521803805,135.52101815109413,-10.135677893777585,135.52101815109413,-8.195670521803805,135.52101815109413,-10.135677893777585,117.3823347322368,90.9,106.5,-15.6,70.3,95.2,101.6,-6.399999999999992,92.8,105.7,-12.900000000000004,-5.304572084572348,126.32385080653752,0,100.69905128838656,96.05270566010988,4.646345628276677,0.8693001569693706,94.59349482994696,97.81245787215269,-3.218963042205729,0.8996904409472741,2021-01-30,-8.987229865030947,131.6870879200172,-1.8945866462184142,131.6870879200172,11.51,90.75000000000001,47.246160646242956,79.24000000000001,43.50383935375706,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,13.494478992023577,18.810000000000006,14.916718488035363,9.075000000000001,8.804444444444446,1,1.0,1,1,1,3,3.0,3.0
