ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,PPP1,EFG%1,TO%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
23.0,22,,22.200000000000006,22.200000000000006,116.7,0.0,94.5,0.0,Wed 11-25 11-25,H,304 (Ⅳ),Fairfield,"W, 97-56",72,134.6,53.6,9.7,77.7,39.2,20.8,27.0,-18.0,126.0,116.7,0.0,116.7,116.7,94.5,0.0,94.5,94.5,20201125,112.3,93.1,19.200000000000006,94.6,102.4,-7.800000000000012,104.1,89.3,14.84,71.9,-18.435437714448994,126.85092666542681,69.95675675675677,-23.3510596130932,145.96226492349638,-36.94571401873263,145.96226492349638,-23.3510596130932,145.96226492349638,-36.94571401873263,156.6625108154694,89.7,97.5,-7.82,68.4,112.3,93.1,19.200000000000006,94.6,102.4,-7.800000000000012,-36.94571401873263,156.6625108154694,0,110.291113,99.36195699999999,10.929156000000006,20.5831837,99.36195699999999,110.291113,-10.929156000000006,-1.275128275,2020-11-25,-20.826749804498306,158.27196247372473,-17.43925737982677,158.27196247372473,7.16,7.16,0.0,0.0,7.16,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,7.3600000000000065,,0.0,7.16,0.0,1,0.0,1,1,1,3,0.0,0.0
-19.0,-15,,9.800000000000004,15.436363636363636,94.4,0.0,109.4,0.0,Mon 11-30 11-30,N,46 (Ⅱ),Indiana,"L, 79-58",67,87.1,40.2,19.5,118.6,49.2,13.5,-5.5,2.0,142.5,105.55,116.7,109.26666666666668,112.64545454545456,101.95,94.5,99.46666666666668,97.2090909090909,20201130,109.9,90.8,19.100000000000012,109.1,90.5,18.599999999999994,106.6,90.7,15.92,72.8,2.4311883110762125,143.79084990637136,74.87112375533427,-0.30343059496260594,151.84708747754823,3.149280611451971,151.84708747754823,-0.30343059496260594,151.84708747754823,3.149280611451971,152.85979170548396,108.2,89.0,19.21,72.3,109.9,90.8,19.100000000000012,109.1,90.5,18.599999999999994,3.149280611451971,152.85979170548396,0,109.75902624210838,96.63232275035476,13.126703491753617,20.872870583063108,104.43326437108318,98.14557200859095,6.287692362492237,8.033859453801652,2020-11-30,-5.206840747434683,159.58591631446635,-9.612711911550477,159.58591631446635,-30.92,-23.76,7.16,7.16,-30.92,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,-6.119999999999996,,7.3600000000000065,-11.879999999999999,7.16,-1,1.0,-1,-1,1,-3,3.0,0.0
-0.5,20,9.133333333333336,13.266666666666673,16.302479338842975,110.8,107.3,90.6,98.16666666666669,Tue 12-01 12-01,N,80 (Ⅱ),Davidson,"W, 63-62",60,104.8,46.4,6.7,103.1,48.1,18.3,-15.5,-1.5,140.5,108.175,105.55,109.7777777777778,112.30991735537191,96.275,101.95,96.51111111111112,96.00743801652894,20201201,109.9,90.8,19.100000000000012,108.8,97.9,10.899999999999993,106.6,90.6,15.92,72.8,-5.1557398645463905,144.4104139037388,72.38577524893316,-6.514639582174496,152.75544537624825,2.8317301808586626,152.75544537624825,-6.514639582174496,152.75544537624825,2.8317301808586626,176.98561810939222,106.7,97.4,9.35,69.9,109.9,90.8,19.100000000000012,108.8,97.9,10.899999999999993,3.0237342563937046,177.07402262622165,0,105.24922985024686,97.98543456767116,7.2637952825757,6.693125930399148,114.97902904628657,105.21340620286274,9.765622843423827,8.46723403218902,2020-12-01,1.4258395260017522,165.35032715674885,1.284201903234731,165.35032715674885,4.08,-19.68,-3.1466666666666656,-23.76,-16.533333333333335,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,-2.653333333333327,-6.7866666666666635,-6.119999999999996,-6.5600000000000005,-11.879999999999999,-1,-1.0,-1,-1,-1,-3,-3.0,3.0
-14.5,3,3.0333333333333363,10.144444444444455,14.047483095416979,121.4,108.86666666666667,117.5,105.83333333333331,Wed 12-02 12-02,N,9 (I-A),Alabama,"L, 88-71",68,103.8,46.4,13.2,128.7,56.5,19.0,16.0,2.5,143.0,114.7875,108.175,113.65185185185189,113.96265965439518,106.8875,96.275,103.5074074074074,99.91517655897819,20201202,108.7,91.7,17.0,105.7,91.3,14.400000000000004,105.8,91.7,14.16,71.5,0.3619250122078199,153.5285901785525,79.33143669985776,-1.8744266038229966,158.75410882996115,-0.07670636340630074,158.75410882996115,-1.8744266038229966,158.75410882996115,-0.07670636340630074,152.79005559735037,106.3,91.7,14.58,78.0,108.7,91.7,17.0,105.7,91.3,14.400000000000004,-0.359266888095798,152.78834847166303,0,104.57538992126264,94.93262321383752,9.642766707425125,10.503106861034171,100.06509705487574,93.79097973271891,6.274117322156826,4.437237146120544,2020-12-02,-2.498907349292537,156.25080354022293,-4.812141593182545,156.25080354022293,-11.16,-30.84,-8.657777777777778,-19.68,-22.182222222222222,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-4.0155555555555456,-11.126666666666663,-2.653333333333327,-7.710000000000001,-6.5600000000000005,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-8.0,3,9.033333333333337,7.762962962962968,12.038849805341165,97.0,109.73333333333336,94.0,100.7,Sat 12-05 12-05,H,263 (Ⅳ),Fairleigh Dickinson,"W, 79-67",73,108.0,52.9,17.8,91.6,46.5,20.5,2.5,-20.0,143.5,105.89375,114.7875,108.10123456790127,110.8785397172324,100.44375,106.8875,100.33827160493829,98.83968991189123,20201205,108.6,93.2,15.399999999999993,99.7,107.1,-7.399999999999991,105.8,93.3,12.49,69.0,-19.145349632011147,146.50027395054653,71.84637268847796,-21.494990894817334,154.252165872666,-19.82841299300744,154.252165872666,-21.494990894817334,154.252165872666,-19.82841299300744,159.19372398167894,98.2,106.5,-8.33,73.2,108.6,93.2,15.399999999999993,99.7,107.1,-7.399999999999991,-20.257615785903358,159.2672838747835,0,105.41475457430431,104.20039652676118,1.2143580475431293,6.0486377385379075,97.86573326271892,105.44192339453932,-7.576190131820397,-4.399394563626262,2020-12-05,-11.127832796845354,156.8236076848675,-9.534819561274617,156.8236076848675,-9.49,-40.33,-16.05185185185185,-30.84,-24.278148148148148,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,-4.727037037037032,-3.4566666666666634,-4.0155555555555456,-8.066,-7.710000000000001,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
10.0,25,10.633333333333336,13.508641975308645,14.395422568006403,126.4,114.93333333333334,101.4,104.3,Wed 12-09 12-09,A,102 (Ⅱ),TCU,"W, 79-70",65,121.7,57.9,18.5,107.8,66.7,29.3,15.5,1.0,133.5,116.146875,105.89375,114.20082304526753,113.70062340500832,100.921875,100.44375,100.69218106995886,99.30520083700192,20201209,107.9,93.5,14.400000000000004,102.2,92.8,9.400000000000006,105.6,93.7,11.98,69.1,4.665409135865019,126.66043062934526,66.0529160739687,0.6122548572214299,132.4482264579293,7.935081765180604,132.4482264579293,0.6122548572214299,132.4482264579293,7.935081765180604,136.7856451996828,103.7,90.4,13.26,67.2,107.9,93.5,14.400000000000004,102.2,92.8,9.400000000000006,7.667911246474298,136.7498143908725,0,101.22693704945543,101.4995889442569,-0.27265189480147,2.3352688614435624,98.50362037083174,92.08900398251795,6.414616388313789,3.878500794728484,2020-12-09,8.242736552011898,130.9777218975952,2.926292608574798,130.9777218975952,13.02,-27.31,-24.144567901234566,-40.33,-3.1654320987654323,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1.5286419753086449,-1.346666666666664,-4.727037037037032,-4.551666666666668,-8.066,1,-1.0,-1,-1,-1,-1,-3.0,-3.0
6.5,18,15.633333333333335,15.305761316872434,15.214436646550697,116.2,113.2,97.3,97.56666666666666,Sun 12-20 12-20,A,43 (I),Seton Hall,"W, 80-77 OT",73,109.2,54.0,20.5,105.1,49.2,16.4,17.0,3.5,140.0,116.1734375,116.146875,114.86721536351169,114.15505551318864,99.1109375,100.921875,99.56145404663927,98.94061886663792,20201220,110.7,95.2,15.5,108.1,94.1,14.0,108.0,95.1,12.9,68.6,6.186742442240657,139.01895237193804,68.20967283072547,3.172003668101908,144.67054320991667,12.764082431628227,144.67054320991667,3.172003668101908,144.67054320991667,12.764082431628227,146.0977558074642,109.4,93.2,16.17,69.9,110.7,95.2,15.5,108.1,94.1,14.0,7.427846364176422,147.10226975467117,0,106.11862935178803,103.98015762636236,2.138471725425674,3.8793809994485415,106.1470079263693,97.70737887690952,8.439629049459782,8.18647876807029,2020-12-20,8.859005519359386,149.7014998746465,4.962949304339617,149.7014998746465,5.1,-22.21,-25.19971193415638,-27.31,2.9897119341563787,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,2.405761316872434,2.7333333333333343,1.5286419753086449,-3.1728571428571435,-4.551666666666668,1,1.0,1,-1,-1,1,-1.0,-3.0
-8.5,0,14.833333333333336,10.403840877914961,12.557266347177846,101.2,114.6,100.6,99.76666666666664,Wed 12-23 12-23,A,108 (Ⅱ),Butler,"L, 70-64",69,93.0,44.4,17.4,101.7,50.0,14.5,0.5,-2.5,133.5,108.68671875,116.1734375,110.3114769090078,111.79959087442705,99.85546875,99.1109375,99.90763603109284,99.24232452724921,20201223,111.4,96.4,15.0,106.1,98.0,8.099999999999994,109.1,95.7,13.31,67.8,2.286050389706574,135.87574707739583,66.06401137980086,-0.6584827746927573,143.10433325433672,-6.689682004946585,143.10433325433672,-0.6584827746927573,143.10433325433672,-6.689682004946585,146.06866950289302,106.8,95.8,11.02,68.5,111.4,96.4,15.0,106.1,98.0,8.099999999999994,-4.671132402219577,144.66001819002332,0,106.2916956574176,102.89414550575066,3.397550151666948,4.287395760879887,96.0423372261365,110.01444541058883,-13.972108184452338,-16.453314418541346,2020-12-23,-8.178923205740873,145.80818164158825,-11.964874928960292,145.80818164158825,-13.31,-35.52,-24.20314128943759,-22.21,-11.316858710562414,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-2.9061591220850396,1.5233333333333352,2.405761316872434,-4.440000000000001,-3.1728571428571435,-1,1.0,-1,-1,-1,-3,1.0,-1.0
-2.0,8,9.333333333333336,9.769227251943306,11.819581556781873,113.1,110.16666666666669,104.6,100.83333333333331,Sun 12-27 12-27,H,114 (Ⅳ),DePaul,"W, 95-90 2OT",90,105.2,46.2,13.3,99.7,55.3,18.8,41.5,-7.0,143.5,110.893359375,108.68671875,111.24098460600521,112.03602889725849,102.227734375,99.85546875,101.47175735406192,100.21644734047659,20201227,110.2,96.6,13.600000000000007,107.8,95.0,12.799999999999995,108.6,95.9,12.72,67.6,-6.279156891938584,143.10590644658777,70.10014224751066,-4.593175948559605,149.85442446910557,-2.5514421516223718,149.85442446910557,-4.593175948559605,149.85442446910557,-2.5514421516223718,151.5684478932528,105.2,95.9,9.29,72.9,110.2,96.6,13.600000000000007,107.8,95.0,12.799999999999995,-2.713719439136586,149.1305063554218,0,103.26857907617949,103.49945717669736,-0.23087810051787017,1.8945527065858616,102.7038434251277,100.02849631336252,2.675347111765177,7.242873488527832,2020-12-27,-2.057676612944718,150.33633695436816,1.6967016104166959,150.33633695436816,-4.720000000000001,-40.24,-27.97542752629173,-35.52,-12.264572473708274,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,-2.9507727480566945,-3.386666666666665,-2.9061591220850396,-4.471111111111112,-4.440000000000001,-1,-1.0,-1,-1,-1,-3,-3.0,1.0
10.0,35,14.800000000000002,18.27948483462887,16.088748546457893,124.7,113.0,89.4,98.2,Wed 12-30 12-30,H,108 (Ⅲ),Butler,"W, 71-55",61,116.0,64.6,21.2,89.8,40.2,13.1,-9.0,-6.0,135.0,117.7966796875,110.893359375,115.72732307067015,114.33856909775696,95.8138671875,102.227734375,97.44783823604128,98.24982055129902,20201230,110.3,97.0,13.299999999999995,106.0,97.4,8.599999999999994,108.8,96.3,12.53,67.7,-4.654768232127893,136.55970070156633,66.35177809388337,-7.1413431685446085,143.11199516451177,-9.802425085014823,143.11199516451177,-7.1413431685446085,143.11199516451177,-9.802425085014823,142.10433240012838,106.7,95.6,11.09,68.9,110.3,97.0,13.299999999999995,106.0,97.4,8.599999999999994,-8.883733022122446,143.3151373897861,0,103.7302866152175,102.75062896557512,0.9796576496423768,2.382501437778638,94.99641319470587,105.7239933844758,-10.727580189769938,-10.219748465434913,2020-12-30,-12.14996364503591,141.23005893480268,-10.146864538655194,141.23005893480268,22.47,-17.770000000000003,-32.063618350861155,-40.24,14.293618350861152,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,5.749484834628872,2.270000000000003,-2.9507727480566945,-1.777000000000001,-4.471111111111112,1,-1.0,1,-1,-1,1,-3.0,-3.0
