ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,PPP1,EFG%1,TO%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
0.0,-21,,-21.700000000000006,-21.700000000000006,96.8,0.0,118.5,0.0,Fri 12-18 12-18,H,136 (Ⅲ),Bowling Green,"L, 85-65",68,95.1,51.0,21.9,124.4,57.6,13.2,0.0,0.0,0.0,96.8,0.0,96.8,96.8,118.5,0.0,118.5,118.5,20201218,94.2,100.8,-6.599999999999994,103.7,104.1,-0.3999999999999915,95.1,101.1,-5.91,69.8,-0.18961214378342106,146.44518986493316,72.87795163584637,0.5931356061469018,150.83654544059726,11.355906965831451,150.83654544059726,0.5931356061469018,150.83654544059726,11.355906965831451,166.83585985578642,102.6,103.4,-0.82,73.4,94.2,100.8,-6.599999999999994,103.7,104.1,-0.3999999999999915,11.089126411075872,166.65300334181808,0,0.0,0.0,0.0,0.0,104.27838066454883,107.55980535533882,-3.28142469078999,-4.669822881293497,2020-12-18,0.0,0.0,,0.0,-15.09,-15.09,0.0,0.0,-15.09,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,-15.790000000000006,,0.0,-15.09,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
1.0,-12,,-18.7,-20.063636363636363,87.4,0.0,100.1,0.0,Sun 12-20 12-20,A,95 (Ⅱ),Marshall,"L, 85-71",80,89.1,47.1,28.9,106.6,53.8,23.8,11.0,15.0,145.0,92.1,96.8,93.66666666666669,95.09090909090908,109.3,118.5,112.36666666666667,115.15454545454546,20201220,94.2,102.0,-7.799999999999998,103.4,95.1,8.300000000000011,94.8,102.5,-7.76,69.0,16.564557003473723,146.96825733074854,73.90753911806544,16.124403951449054,147.68750317503134,29.551821194703837,147.68750317503134,16.124403951449054,147.68750317503134,29.551821194703837,155.40059269126212,105.5,96.2,9.32,75.3,94.2,102.0,-7.799999999999998,103.4,95.1,8.300000000000011,29.544497160606173,155.36600098341248,0,92.1670709425143,108.42563381194384,-16.25856286942954,-15.00266606005347,102.36140174235344,92.95305996197874,9.408341780374698,6.909662150439706,2020-12-20,23.282295849388603,149.1001149097151,18.180534878730427,149.1001149097151,-4.24,-19.33,-15.09,-15.09,-4.239999999999998,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-10.94,,-15.790000000000006,-9.665,-15.09,-1,-1.0,-1,-1,-1,-3,-3.0,0.0
16.5,2,-10.566666666666665,-11.566666666666665,-15.92479338842975,126.0,103.4,123.3,113.96666666666664,Sat 12-26 12-26,A,270 (Ⅳ),Fort Wayne,"W, 102-88",74,138.5,70.0,16.3,119.5,54.8,13.6,50.0,2.5,140.0,109.05,92.1,104.44444444444444,100.71074380165287,116.3,109.3,116.01111111111112,116.63553719008264,20201226,94.8,103.0,-8.200000000000003,93.3,104.1,-10.799999999999995,95.4,103.0,-7.56,69.6,4.855964241643349,137.79570931891038,69.99601706970128,2.052921790071622,139.51575851424275,3.5773198639873285,139.51575851424275,2.052921790071622,139.51575851424275,3.5773198639873285,137.98960796212046,96.7,102.9,-6.13,70.7,94.8,103.0,-8.200000000000003,93.3,104.1,-10.799999999999995,3.5870587040814765,137.72709131893646,0,94.58049672670263,104.71739311854935,-10.136896391846719,-8.769351227304579,92.22841875248116,107.66330089223922,-15.43488213975806,-22.942466295400774,2020-12-26,0.21856504455939785,142.0575179406572,-8.271485693309657,142.0575179406572,9.559999999999999,-9.77,-16.503333333333334,-19.33,6.733333333333334,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,-4.006666666666665,-3.006666666666665,-10.94,-3.256666666666667,-9.665,-1,-1.0,1,-1,-1,-1,-3.0,-3.0
-4.0,-22,-10.96666666666666,-15.34444444444444,-17.193012772351608,100.7,104.7,123.6,115.66666666666669,Sun 12-27 12-27,A,270 (Ⅳ),Fort Wayne,"L, 87-82",73,112.1,57.0,19.1,118.9,74.5,28.7,21.5,1.0,147.5,104.875,109.05,103.19629629629631,100.70879038317055,119.95,116.3,118.54074074074074,117.90180315552216,20201227,94.8,103.0,-8.200000000000003,93.4,104.2,-10.799999999999995,95.4,103.0,-7.56,69.6,4.855964241643349,137.79570931891038,69.99601706970128,2.06276483278711,139.65765039146757,-3.862829335721099,139.65765039146757,2.06276483278711,139.65765039146757,-3.862829335721099,159.96629718095613,96.7,102.9,-6.13,70.7,94.8,103.0,-8.200000000000003,93.4,104.2,-10.799999999999995,-3.7207441737562315,159.23009092198652,0,103.88209177442845,107.3277587733474,-3.445666998918952,-4.012223787503279,94.78967405681598,114.23828197929072,-19.448607922474736,-30.01423701910104,2020-12-27,-7.714934848437167,157.58724635229098,-16.57392548450521,157.58724635229098,-14.440000000000001,-24.21,-14.25888888888889,-9.77,-9.95111111111111,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,-7.78444444444444,-3.40666666666666,-4.006666666666665,-6.0525,-3.256666666666667,-1,-1.0,-1,-1,-1,-3,-1.0,-3.0
1.5,-6,-8.799999999999997,-12.296296296296296,-15.194283177378587,88.8,105.16666666666669,95.0,113.96666666666664,Fri 1-01 1-01,H,236 (Ⅳ),Milwaukee,"W, 67-64",70,96.0,43.3,22.9,91.7,44.6,20.1,-14.5,-1.5,145.5,96.8375,104.875,98.39753086419756,98.54355576804859,107.475,119.95,110.69382716049385,113.73783894542723,20210101,98.1,107.1,-9.0,99.1,102.4,-3.300000000000012,99.0,105.2,-6.27,70.6,-4.079878043443031,142.95559700760492,70.19829302987198,-0.07307500789353583,148.32755261085532,7.013643189869999,148.32755261085532,-0.07307500789353583,148.32755261085532,7.013643189869999,156.9512714281967,97.2,103.4,-6.25,69.9,98.1,107.1,-9.0,99.1,102.4,-3.300000000000012,6.87804386412889,156.8863511702213,0,103.62150319931972,108.38442279831379,-4.762919598994074,-2.7528490765372946,108.27522630946986,95.80584290890872,12.469383400561142,6.842698669223969,2021-01-01,8.63215553311828,155.29113479201698,4.730164455132581,155.29113479201698,0.2699999999999996,-23.94,-17.57592592592593,-24.21,-6.364074074074072,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-6.026296296296296,-2.5299999999999976,-7.78444444444444,-4.788,-6.0525,-1,-1.0,-1,-1,-1,-3,-3.0,-1.0
-11.5,-28,-19.266666666666666,-17.764197530864195,-17.649868054218842,76.4,88.63333333333333,105.1,107.9,Fri 1-15 1-15,A,294 (Ⅳ),Illinois Chicago,"L, 67-53",69,76.9,30.8,17.4,97.2,48.1,18.9,-21.5,2.5,141.5,86.61875,96.8375,91.06502057613173,94.51745471931248,106.2875,107.475,108.82921810699591,112.16732277353137,20210115,99.0,106.6,-7.599999999999994,95.9,101.6,-5.699999999999988,99.8,105.4,-5.64,69.0,2.9188255731194914,138.25594109708703,68.11664295874823,5.110141193740176,141.55833183584934,5.273799623167981,141.55833183584934,5.110141193740176,141.55833183584934,5.273799623167981,145.68985335365295,96.1,102.9,-6.81,69.4,99.0,106.6,-7.599999999999994,95.9,101.6,-5.699999999999988,7.160617782816537,140.9336432107458,0,104.94114617181398,104.74743172457285,0.19371444724113474,0.8261392159264637,95.43947480754015,99.99222200750685,-4.552747199966703,1.019682184862376,2021-01-15,0.5398192435625617,142.8876656804913,2.056703337992033,142.8876656804913,-22.36,-46.3,-19.69728395061729,-23.94,-26.602716049382707,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,-12.124197530864194,-13.626666666666665,-6.026296296296296,-7.716666666666666,-4.788,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-0.5,-15,-16.666666666666668,-16.8761316872428,-17.186255680724507,83.6,82.93333333333334,98.7,99.59999999999998,Sat 1-16 1-16,A,294 (Ⅳ),Illinois Chicago,"L, 66-62 OT",73,85.0,35.1,12.3,90.5,43.6,16.5,-11.5,3.5,139.5,85.109375,86.61875,88.57668038408781,92.53246295216476,102.49375,106.2875,105.45281207133058,109.71871863288929,20210116,98.9,106.6,-7.699999999999988,95.9,101.6,-5.699999999999988,99.8,105.5,-5.63,69.0,2.9978702330235194,138.66170847421924,68.21479374110953,5.186304172921069,141.68747853448716,6.597924369343007,141.68747853448716,5.186304172921069,141.68747853448716,6.597924369343007,134.19130252591054,96.2,103.0,-6.8,69.5,98.9,106.6,-7.699999999999988,95.9,101.6,-5.699999999999988,10.04136898799407,135.84541179153163,0,101.33784292798741,103.24973990596969,-1.9118969779822805,-0.30882907419183137,94.69335823803354,97.28232576350209,-2.588967525468547,3.569894262280876,2021-01-16,3.272918347672757,137.19493756108113,4.587020752999663,137.19493756108113,-9.370000000000001,-55.67,-28.564855967078195,-46.3,-27.105144032921807,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,-11.246131687242801,-11.036666666666669,-12.124197530864194,-7.952857142857142,-7.716666666666666,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-6.5,-13,-19.16666666666666,-15.817421124828535,-16.552391011501868,106.9,88.96666666666668,120.6,108.13333333333333,Fri 1-22 1-22,H,207 (Ⅳ),Northern Kentucky,"L, 81-76",67,114.1,53.5,12.0,121.6,66.4,19.5,21.5,-1.5,135.5,96.0046875,85.109375,94.68445358939188,95.14474241540752,111.546875,102.49375,110.5018747142204,111.69713342690943,20210122,97.6,106.3,-8.700000000000003,97.6,105.9,-8.300000000000011,98.5,105.2,-6.71,68.3,-3.526707341044073,131.1652017129018,63.345092460881936,-3.516622602329875,134.6803720110427,-3.8720126621223963,134.6803720110427,-3.516622602329875,134.6803720110427,-3.8720126621223963,126.51974705879064,99.0,105.5,-6.49,65.2,97.6,106.3,-8.700000000000003,97.6,105.9,-8.300000000000011,-0.841193937079651,128.1087173833871,0,99.53074349220782,101.4612420699127,-1.9304985777048813,-0.7557108241573388,94.70742883424755,103.74664908162222,-9.039220247374672,-10.109447464679176,2021-01-22,-8.291163894331937,129.7740109662352,-7.602440088493466,129.7740109662352,-6.29,-61.96,-37.599903978052126,-55.67,-24.360096021947875,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-9.107421124828534,-12.45666666666666,-11.246131687242801,-7.744999999999999,-7.952857142857142,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-6.5,-6,-11.899999999999995,-12.844947416552351,-14.797410827592435,103.9,98.13333333333335,110.8,110.03333333333336,Sat 1-23 1-23,H,207 (Ⅳ),Northern Kentucky,"L, 79-74 OT",69,107.7,51.8,17.5,115.0,51.6,17.5,15.5,-1.5,137.5,99.95234375,96.0046875,97.7563023929279,96.73660743078794,111.1734375,111.546875,110.60124980948028,111.53401825838043,20210123,97.4,106.2,-8.799999999999997,97.5,105.8,-8.299999999999997,98.2,105.0,-6.83,68.3,-3.4496062799665097,130.78307424661114,63.442247510668565,-3.443851341241114,134.54457903493307,-0.33329064830346106,134.54457903493307,-3.443851341241114,134.54457903493307,-0.33329064830346106,128.61172972674643,98.8,105.3,-6.47,65.3,97.4,106.2,-8.799999999999997,97.5,105.8,-8.299999999999997,-1.2345975011309573,132.8676466371345,0,99.30206653803451,101.72609765260546,-2.424031114570951,-1.2420843608212069,94.45336173134544,103.82667938849389,-9.373317657148448,-10.17833464504114,2021-01-23,-8.202678501118605,129.85650513915937,-7.344305766891985,129.85650513915937,0.8300000000000001,-61.13,-45.71993598536808,-61.96,-15.41006401463192,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,-6.014947416552351,-5.069999999999995,-9.107421124828534,-6.792222222222222,-7.744999999999999,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
4.5,4,-5.36666666666666,-7.06329827770157,-11.288790677121087,114.4,108.40000000000002,109.9,113.76666666666668,Fri 1-29 1-29,A,81 (I),Wright St.,"L, 79-70",67,105.2,52.3,15.0,118.8,50.8,9.0,3.5,13.5,145.5,107.176171875,99.95234375,103.30420159528528,99.94813335246289,110.53671875,111.1734375,110.36749987298685,111.236924029584,20210129,99.0,109.3,-10.299999999999997,106.7,93.6,13.100000000000007,99.1,107.5,-8.41,67.9,18.377619701346845,143.852512039071,69.25220483641537,21.144417761278397,148.88447748496446,29.994501713036886,148.88447748496446,21.144417761278397,148.88447748496446,29.994501713036886,142.5168833147537,106.5,94.5,12.05,71.7,99.0,109.3,-10.299999999999997,106.7,93.6,13.100000000000007,23.73056122300902,144.273372370796,0,99.14131729202609,102.7563873605162,-3.6150700684901125,-2.7194607395852697,99.2746017543842,92.50191406869229,6.772687685691906,4.271878083727967,2021-01-29,11.151869576097667,137.57352589691965,6.795769183495494,137.57352589691965,12.41,-48.72,-50.85662399024539,-61.13,2.13662399024539,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1.3467017222984303,3.04333333333334,-6.014947416552351,-4.871999999999999,-6.792222222222222,1,-1.0,1,-1,-1,1,-3.0,-3.0
