ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,PPP1,EFG%1,TO%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-13.0,-9,,-9.5,-9.5,104.2,0.0,113.7,0.0,Wed 11-25 11-25,A,51 (I),SMU,"L, 97-67",74,90.0,45.2,17.5,130.3,61.9,21.5,24.0,17.0,140.0,104.2,0.0,104.2,104.2,113.7,0.0,113.7,113.7,20201125,95.4,105.7,-10.299999999999997,112.9,100.1,12.800000000000011,94.1,104.2,-10.11,73.4,21.54661323446266,143.7462543842814,72.25149359886203,22.06106607936441,159.24568148318184,31.393759052724363,159.24568148318184,22.06106607936441,159.24568148318184,31.393759052724363,173.8466170781544,107.3,92.9,14.41,69.2,95.4,105.7,-10.299999999999997,112.9,100.1,12.800000000000011,31.393759052724363,173.8466170781544,0,102.122845,105.75811110000001,-3.6352661000000097,2.685428272,105.75811110000001,102.122845,3.6352661000000097,9.955960487999999,2020-11-25,10.055636774125588,159.87528332170618,7.40398023008494,159.87528332170618,1.1099999999999994,1.1099999999999994,0.0,0.0,1.1099999999999994,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0.6099999999999994,,0.0,1.1099999999999994,0.0,1,0.0,1,1,1,3,0.0,0.0
-4.5,-23,,-14.300000000000002,-12.118181818181819,81.5,0.0,105.4,0.0,Fri 11-27 11-27,A,18 (I-A),Texas Tech,"L, 84-52",72,72.4,35.2,25.1,116.9,56.7,16.7,-10.5,27.5,146.5,92.85,104.2,96.63333333333335,100.07272727272726,109.55,113.7,110.93333333333334,112.19090909090907,20201127,95.4,105.7,-10.299999999999997,113.2,89.7,23.5,94.8,105.5,-10.63,74.2,30.228734851688955,149.06944555669452,75.78321479374111,30.828168258664263,159.6069968138391,36.482046483878555,159.6069968138391,30.828168258664263,159.6069968138391,36.482046483878555,162.21767077934675,109.6,85.5,24.1,71.8,95.4,105.7,-10.299999999999997,113.2,89.7,23.5,36.482046483878555,162.21767077934675,0,102.1228449667093,105.75811107501028,-3.635266108300982,2.6854282715890383,105.96191449381372,96.47739369019017,9.484520803623553,16.971881850180218,2020-11-27,15.043505355199713,163.31310676186496,13.157220997828162,163.31310676186496,-12.37,-11.26,1.1099999999999994,1.1099999999999994,-12.37,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,-3.6700000000000017,,0.6099999999999994,-5.629999999999999,1.1099999999999994,-1,1.0,-1,-1,1,-3,3.0,0.0
-17.0,-22,-18.700000000000006,-17.100000000000005,-14.04214876033058,84.1,89.93333333333332,106.8,108.63333333333334,Sun 11-29 11-29,N,70 (I),Boise St.,"L, 86-55",73,74.9,38.7,28.6,117.1,47.1,19.1,-9.0,14.0,150.0,88.475,92.85,92.45555555555558,97.16859504132229,108.175,109.55,109.55555555555556,111.21074380165287,20201129,92.4,103.0,-10.599999999999994,102.7,94.2,8.5,95.1,105.9,-10.84,74.2,13.183225738731664,154.09529337890916,76.83869132290185,14.701023314720828,151.2618743335952,16.21994455337718,151.2618743335952,14.701023314720828,151.2618743335952,16.21994455337718,137.54459041695264,103.3,96.9,6.37,72.8,92.4,103.0,-10.599999999999994,102.7,94.2,8.5,16.233660313297804,137.55534183955535,0,95.84890244785404,102.47305065330114,-6.624148205447099,-3.537389516803615,98.13791873703232,94.08740375035885,4.050514986673477,0.023625792512984575,2020-11-29,8.145233389732596,149.63400284802012,2.736237561487073,149.63400284802012,-11.16,-22.42,-3.013333333333333,-11.26,-19.40666666666667,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,-6.260000000000005,-7.8600000000000065,-3.6700000000000017,-7.473333333333333,-5.629999999999999,-1,-1.0,-1,-1,-1,-3,-3.0,3.0
8.5,-5,-17.26666666666667,-13.133333333333338,-12.434485349361385,88.1,84.56666666666666,93.3,101.83333333333336,Mon 12-14 12-14,A,29 (I-A),LSU,"L, 88-66",79,83.4,42.9,25.3,111.3,54.4,21.5,0.0,30.5,154.0,88.2875,88.475,91.00370370370372,95.51975957926369,100.7375,108.175,104.13703703703705,107.95424492862507,20201214,92.3,104.0,-11.700000000000005,113.5,97.4,16.099999999999994,94.7,106.6,-11.94,72.8,27.06863220423888,156.97776538231903,73.62844950213372,25.561393255080702,157.1031442167101,37.71425585658372,157.1031442167101,25.561393255080702,157.1031442167101,37.71425585658372,164.11997089119635,114.6,96.3,18.35,71.1,92.3,104.0,-11.700000000000005,113.5,97.4,16.099999999999994,37.84699379084085,164.2661594971681,0,92.32939128593895,106.61844648413981,-14.289055198200856,-15.121556086038654,117.19332201314491,98.92547826938005,18.267843743764857,24.027995634604345,2020-12-14,29.856329279770137,163.50082958462073,30.978611931841456,163.50082958462073,6.9399999999999995,-15.480000000000002,-9.482222222222223,-22.42,-5.997777777777779,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,-1.1933333333333387,-5.32666666666667,-6.260000000000005,-3.869999999999999,-7.473333333333333,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
13.0,-9,-12.333333333333336,-11.788888888888893,-11.82821528584113,90.4,87.53333333333335,99.5,99.86666666666667,Wed 12-16 12-16,A,22 (I-A),Texas,"L, 79-63",73,86.0,42.6,23.2,107.8,51.8,24.6,-1.5,29.0,143.5,89.34375,88.2875,90.80246913580248,94.58889420121572,100.11875,100.7375,102.59135802469136,106.41710948705686,20201216,92.4,104.0,-11.599999999999996,112.4,87.6,24.800000000000008,94.5,106.2,-11.73,73.6,29.637345494804364,143.88044657102574,72.65775248933144,30.828913874994207,147.7435151504615,31.397795417619157,147.7435151504615,30.828913874994207,147.7435151504615,31.397795417619157,140.04759451099576,109.9,86.0,23.93,69.4,92.4,104.0,-11.599999999999996,112.4,87.6,24.800000000000008,31.80876023791829,140.52532284774574,0,92.11752810946967,101.9421587955204,-9.824630686050725,-13.014948034539499,101.37664872653666,96.7586268227892,4.6180219037474615,4.5388198055417845,2020-12-16,14.5646031667509,143.30790625583717,14.702370359729144,143.30790625583717,2.7300000000000004,-12.750000000000002,-11.481481481481483,-15.480000000000002,-1.268518518518519,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,-0.058888888888892765,-0.6033333333333353,-1.1933333333333387,-2.549999999999999,-3.869999999999999,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
11.0,5,-3.0,-6.092592592592597,-8.713994324779106,97.5,92.0,92.2,95.0,Sat 12-19 12-19,H,196 (Ⅳ),Rice,"W, 82-69",77,106.8,60.7,19.5,89.9,51.6,26.1,-1.0,-2.0,152.0,93.421875,89.34375,93.03497942386831,95.11818616463106,96.159375,100.11875,99.12757201646092,103.83218048941019,20201219,92.5,104.0,-11.5,94.7,104.8,-10.099999999999994,94.7,105.8,-11.04,73.9,-1.3292841114688656,148.30782845750227,75.2665718349929,-3.016610431038174,150.245394710379,2.9623205862534063,150.245394710379,-3.016610431038174,150.245394710379,2.9623205862534063,144.20580494092968,95.4,102.6,-7.23,71.6,92.5,104.0,-11.5,94.7,104.8,-10.099999999999994,3.294113331007627,143.99750803290064,0,93.64273513792128,100.41388860153853,-6.771153463617253,-11.825836820361367,100.3523067739673,92.8331950665,7.519111707467303,3.022362753838436,2020-12-19,6.598984190438841,144.03763270053298,9.161031811189957,144.03763270053298,16.04,3.2899999999999974,-11.904320987654323,-12.750000000000002,15.19432098765432,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,4.947407407407402,8.04,-0.058888888888892765,0.548333333333332,-2.549999999999999,1,-1.0,1,1,-1,3,-3.0,-3.0
8.0,4,0.09999999999999903,-2.695061728395067,-6.3841771748192695,92.5,93.46666666666664,88.4,93.36666666666666,Mon 12-21 12-21,A,274 (Ⅳ),UT Rio Grande Valley,"W, 69-66",80,86.7,33.6,25.1,83.0,35.7,22.6,-15.5,5.0,150.5,92.9609375,93.421875,92.85665294924557,94.6421523165163,92.2796875,96.159375,95.55171467764065,101.0263294913356,20201221,93.1,103.9,-10.800000000000011,94.3,101.4,-7.1000000000000085,95.6,105.5,-9.89,74.2,7.496658299367198,149.59727270457498,76.52204836415365,7.0018785290888985,150.41768520929094,6.530585107001524,150.41768520929094,7.0018785290888985,150.41768520929094,6.530585107001524,137.7993396890012,95.1,100.4,-5.34,72.5,93.1,103.9,-10.800000000000011,94.3,101.4,-7.1000000000000085,5.946309639754589,141.20306365192133,0,95.680166284555,100.09745754397119,-4.417291259416189,-6.79122657724547,92.81524039676613,102.74230216910694,-9.927061772340807,-3.6090828390991287,2020-12-21,-0.035546766205641234,149.30598391256027,4.466239507295171,149.30598391256027,13.89,17.18,-6.839547325102884,3.2899999999999974,24.019547325102884,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,7.194938271604934,9.99,4.947407407407402,2.4542857142857137,0.548333333333332,1,1.0,1,1,1,3,3.0,-3.0
7.5,-2,2.299999999999997,-2.6300411522633778,-5.6779631430339474,107.0,99.0,109.5,96.7,Sat 1-02 1-02,A,212 (Ⅲ),Nicholls St.,"W, 84-81",77,109.6,56.9,22.2,105.7,56.3,18.3,16.0,4.5,149.0,99.98046875,92.9609375,97.57110196616371,96.88903371351331,100.88984375,92.2796875,100.20114311842708,102.56699685654729,20210102,93.8,103.3,-9.5,95.4,102.4,-7.0,95.8,104.7,-8.91,74.5,7.2939537335355595,153.62556732140604,76.72546230440969,6.224616765936034,152.5217373573944,3.8098697022069556,152.5217373573944,6.224616765936034,152.5217373573944,3.8098697022069556,132.1456425090465,97.9,102.9,-4.95,72.4,93.8,103.3,-9.5,95.4,102.4,-7.0,7.491860279291496,141.74469556318067,0,93.84702976902422,97.22306028570526,-3.376030516681041,-6.5686585486600135,96.88183440339806,95.14648039595556,1.7353540074424956,1.1179993919156113,2021-01-02,7.863021153147145,143.8653180452978,7.987388177075658,143.8653180452978,6.91,24.09,1.1669684499314101,17.18,22.92303155006859,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,6.279958847736623,11.209999999999997,7.194938271604934,3.0112499999999986,2.4542857142857137,1,1.0,1,1,1,3,3.0,3.0
14.0,16,5.933333333333333,3.646639231824415,-1.7001516624823196,100.2,99.9,84.0,93.96666666666664,Wed 1-06 1-06,A,338 (Ⅳ),Southeastern Louisiana,"W, 70-52",66,106.3,50.0,16.7,79.0,37.8,25.8,-27.5,-4.0,149.5,100.090234375,99.98046875,98.44740131077579,97.49102758378362,92.444921875,100.88984375,94.8007620789514,99.19117924626595,20210106,94.9,103.9,-9.0,92.7,107.2,-14.5,96.9,105.0,-8.06,74.1,-0.2873506979619549,147.54948390266063,73.15135135135135,0.09480658533870212,148.01094349473834,-5.000099876511123,148.01094349473834,0.09480658533870212,148.01094349473834,-5.000099876511123,143.83222900755402,93.7,107.8,-14.16,69.4,94.9,103.9,-9.0,92.7,107.2,-14.5,-2.611417291091261,137.39953364607183,0,95.99028080287428,97.59216750047436,-1.6018866976000794,-4.602570976570157,96.63227586627971,96.7586859666659,-0.12641010038618106,1.0468427005106795,2021-01-06,4.986193342505473,140.02910153807068,6.144445400070083,140.02910153807068,24.060000000000002,48.150000000000006,8.80797896662094,24.09,39.34202103337907,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,11.706639231824415,13.993333333333332,6.279958847736623,5.35,3.0112499999999986,1,1.0,1,1,1,3,3.0,3.0
12.0,1,5.066666666666666,2.931092821216277,-1.1183059056673523,108.1,105.09999999999998,106.6,100.03333333333336,Sat 1-09 1-09,A,323 (Ⅳ),Central Arkansas,"W, 91-80",77,118.3,56.8,11.7,104.0,50.9,22.1,15.5,1.0,155.5,104.0951171875,100.090234375,101.66493420718388,99.41993165945931,99.5224609375,92.444921875,98.7338413859676,100.53823756512669,20210109,95.4,102.4,-7.0,98.5,105.2,-6.700000000000002,97.2,103.9,-6.64,73.1,4.882890178384756,159.75430371424005,77.98719772403983,4.884864348421232,160.19591594172022,-3.6324697054135635,160.19591594172022,4.884864348421232,160.19591594172022,-3.6324697054135635,146.93022082946092,99.3,105.6,-6.25,75.0,95.4,102.4,-7.0,98.5,105.2,-6.700000000000002,3.950562258145543,150.4794525331639,0,99.43960159,95.8490985,3.5905030899999986,-0.8400333259999999,96.16270693,100.3122851,-4.149578169999998,-8.849473782,2021-01-09,-1.7563279878007592,152.60970555888883,-4.168488679672052,152.60970555888883,7.64,55.790000000000006,21.921985977747294,48.150000000000006,33.86801402225271,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,9.571092821216276,11.706666666666667,11.706639231824415,5.578999999999999,5.35,1,1.0,1,1,1,3,3.0,3.0
