ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,PPP1,EFG%1,TO%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
3.0,11,,11.100000000000007,11.100000000000007,108.7,0.0,97.6,0.0,Wed 11-25 11-25,N,14 (I-A),West Virginia,"L, 79-71",70,100.8,49.2,19.9,112.2,44.2,4.3,5.5,11.0,144.5,108.7,0.0,108.7,108.7,97.6,0.0,97.6,97.6,20201125,109.6,101.5,8.099999999999994,116.0,92.2,23.8,106.2,98.6,7.53,71.8,12.160697956589729,147.22752931218727,74.65974395448079,12.729941640871033,166.8903221044139,1.8490358477880735,166.8903221044139,12.729941640871033,166.8903221044139,1.8490358477880735,155.9226779598452,108.8,85.6,23.12,73.1,109.6,101.5,8.099999999999994,116.0,92.2,23.8,1.8490358477880735,155.9226779598452,0,106.8055193,98.56844886,8.237070439999997,17.55902875,109.2974705,92.91677984,16.38069066,17.20264893,2020-11-25,6.477994049186975,157.8756476922418,-0.2660722611174293,157.8756476922418,3.4699999999999998,3.4699999999999998,0.0,0.0,3.4699999999999998,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3.5700000000000065,,0.0,3.4699999999999998,0.0,1,0.0,1,1,1,3,0.0,0.0
27.0,49,,23.90000000000001,18.081818181818182,131.4,0.0,81.9,0.0,Thu 11-26 11-26,N,36 (I),Utah St.,"W, 83-59",70,118.5,69.3,17.1,84.2,43.0,22.8,-4.0,3.0,146.0,120.05,108.7,116.26666666666668,112.82727272727271,89.75,97.6,92.36666666666667,94.74545454545454,20201126,109.6,101.5,8.099999999999994,103.1,96.3,6.799999999999998,106.2,98.6,7.53,71.8,3.807935050211256,145.3900655697331,73.53627311522048,-0.6751665088497703,157.98077057953475,-5.097051527568411,157.98077057953475,-0.6751665088497703,157.98077057953475,-5.097051527568411,166.06495338952465,103.4,91.1,12.26,72.0,109.6,101.5,8.099999999999994,103.1,96.3,6.799999999999998,-5.097051527568411,166.06495338952465,0,106.8055193,98.56844886,8.237070439999997,17.55902875,94.85016397,113.566348,-18.716184030000008,-14.56089239,2020-11-26,-20.89670962638958,161.43526840083422,-23.61979293390383,161.43526840083422,41.47,44.94,3.4699999999999998,3.4699999999999998,41.47,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,16.370000000000008,,3.5700000000000065,22.47,3.4699999999999998,1,1.0,1,1,1,3,3.0,0.0
-15.0,-17,14.4,10.133333333333336,11.630578512396696,90.0,110.03333333333336,107.4,95.63333333333333,Fri 11-27 11-27,N,73 (Ⅱ),Saint Mary's,"L, 72-59",71,83.4,37.9,14.1,101.8,52.6,17.0,-4.0,-2.0,135.0,105.025,120.05,107.51111111111112,108.67685950413221,98.575,89.75,97.37777777777781,97.04628099173551,20201127,109.6,101.5,8.099999999999994,107.9,99.5,8.400000000000006,107.3,99.5,7.81,71.5,1.9379149947276488,140.29069582740635,69.6692745376956,0.33267379673468156,155.86854895862086,-23.18423650755822,155.86854895862086,0.33267379673468156,155.86854895862086,-23.18423650755822,139.74244265668457,103.1,93.0,10.06,68.5,109.6,101.5,8.099999999999994,107.9,99.5,8.400000000000006,-23.008159346594194,139.56326408304423,0,106.80551934149904,98.56844886413685,8.237070477362181,17.5590287525966,98.05368497517229,96.10912664277586,1.9445583323964257,2.566516607630775,2020-11-27,-4.278659620115974,142.1261247214054,-10.445174446373613,142.1261247214054,-24.81,20.13,17.293333333333333,44.94,2.836666666666666,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,2.323333333333337,6.590000000000001,16.370000000000008,6.71,22.47,1,1.0,1,1,1,3,3.0,3.0
4.5,15,15.800000000000002,11.855555555555561,12.297746055597296,105.4,108.93333333333334,90.1,93.13333333333333,Wed 12-02 12-02,A,154 (Ⅲ),Iowa St.,"W, 71-68",72,99.0,51.8,25.1,94.8,51.7,19.5,-16.0,1.5,155.0,105.2125,105.025,106.80740740740741,108.08106686701727,94.3375,98.575,94.95185185185188,95.78332081141994,20201202,106.2,97.7,8.5,107.3,99.0,8.299999999999997,107.7,98.5,9.22,71.5,6.585638366109507,154.28956385899465,73.83926031294452,4.205647574453948,158.47212530257355,-16.232227733399476,158.47212530257355,4.205647574453948,158.47212530257355,-16.232227733399476,155.15955075207768,108.1,96.0,12.05,72.6,106.2,97.7,8.5,107.3,99.0,8.299999999999997,-16.361264807284968,155.18359758545589,0,100.7056260363481,97.76871712577969,2.9369089105684054,12.683710224822214,96.38693322247512,103.05714751958789,-6.670214297112764,-13.878319922524376,2020-12-02,-3.0225316396568473,149.25776127713434,-17.558056569641366,149.25776127713434,5.779999999999999,25.909999999999997,18.238888888888887,20.13,7.671111111111109,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,2.6355555555555608,6.580000000000002,2.323333333333337,6.477499999999999,6.71,1,1.0,1,1,1,3,3.0,3.0
3.0,3,0.6000000000000038,9.203703703703713,10.770883136397789,118.0,104.46666666666664,114.1,103.86666666666667,Fri 12-04 12-04,A,155 (Ⅲ),Bradley,"W, 88-84",74,119.6,63.6,17.7,114.2,49.3,12.2,31.5,-1.0,140.5,111.60625,105.2125,110.53827160493827,109.88450925483231,104.21875,94.3375,101.33456790123456,99.11362611843452,20201204,105.6,96.1,9.5,100.2,94.1,6.1000000000000085,107.3,97.5,9.86,71.4,0.6797868156744755,137.67055062952477,69.97809388335706,1.719257455738358,140.0987223701859,3.065872658449953,140.0987223701859,1.719257455738358,140.0987223701859,3.065872658449953,121.37766992603673,99.1,94.3,4.83,68.9,105.6,96.1,9.5,100.2,94.1,6.1000000000000085,3.0467818799279134,121.53354704493718,0,97.03992012954123,96.84935462800101,0.19056550154022034,9.51213732784395,93.65030113474651,88.76381506231365,4.886486072432859,2.3088990689478406,2020-12-04,6.81512998659494,126.76630197740926,-2.9654922994499486,126.76630197740926,-6.859999999999999,19.049999999999997,20.795925925925925,25.909999999999997,-1.7459259259259277,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,-0.6562962962962864,-9.259999999999996,2.6355555555555608,3.8099999999999987,6.477499999999999,-1,1.0,-1,1,1,-1,3.0,3.0
-5.5,9,9.63333333333334,9.369135802469142,10.576177111598193,114.8,112.73333333333332,105.1,103.10000000000002,Thu 12-10 12-10,N,161 (Ⅲ),North Dakota St.,"W, 77-75",69,111.2,52.5,10.1,108.3,55.8,15.9,12.5,-7.5,139.5,113.203125,111.60625,111.95884773662551,110.77823484486278,104.659375,104.21875,102.5897119341564,100.2020577332646,20201210,107.0,97.6,9.400000000000006,94.2,99.1,-4.899999999999992,108.4,98.3,10.14,72.2,-8.079350302541371,140.38333071399762,69.94054054054055,-10.091575646093858,141.7165655936534,-10.248031181878176,141.7165655936534,-10.091575646093858,141.7165655936534,-10.248031181878176,133.47973919564504,96.7,98.4,-1.79,68.1,107.0,97.6,9.400000000000006,94.2,99.1,-4.899999999999992,-9.98734756738685,133.49877623830255,0,102.05002028503388,99.81789223140684,2.2321280536270365,10.339962171867736,89.7477602734157,97.53592564253252,-7.788165369116825,-8.45985384892188,2020-12-10,-7.123265473824588,135.37688923397167,-13.148692945567404,135.37688923397167,-1.1400000000000006,17.909999999999997,20.21395061728395,19.049999999999997,-2.3039506172839523,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,-0.7708641975308588,-0.5066666666666606,-0.6562962962962864,2.9849999999999994,3.8099999999999987,-1,-1.0,-1,1,1,-1,-1.0,3.0
2.5,5,6.3000000000000025,8.012757201646094,9.6168721822167,96.8,109.86666666666667,91.5,103.56666666666668,Fri 12-11 12-11,N,284 (Ⅳ),North Dakota,"W, 74-62",71,104.0,54.5,19.7,87.1,42.3,15.5,-9.5,-9.5,145.5,105.0015625,113.203125,106.90589849108368,108.23673760034228,98.0796875,104.659375,98.8931412894376,98.61986541812557,20201211,107.0,97.5,9.5,95.1,107.3,-12.200000000000005,108.6,98.5,10.15,72.1,-13.025629993843026,151.81906834547033,72.92048364153626,-16.46647863598085,154.71154419722157,-12.252233646490819,154.71154419722157,-16.46647863598085,154.71154419722157,-12.252233646490819,158.8274239432456,97.1,104.6,-7.51,71.1,107.0,97.5,9.5,95.1,107.3,-12.200000000000005,-12.251677752965078,158.40484068534252,0,104.00772482390042,103.00771590948715,1.0000089144132716,7.2138726229397365,103.82778906863926,102.3421732256607,1.4856158429785609,-1.9615557392827507,2020-12-11,0.3778587319771134,159.08071290918568,-6.690766737915325,159.08071290918568,-5.15,12.759999999999996,19.445967078189298,17.909999999999997,-6.685967078189302,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,-2.137242798353906,-3.849999999999998,-0.7708641975308588,1.822857142857142,2.9849999999999994,-1,-1.0,-1,1,1,-1,-1.0,-1.0
-23.5,-23,-2.799999999999997,-2.4581618655692674,3.6138045127227567,98.2,103.26666666666668,121.6,106.06666666666668,Sat 12-12 12-12,N,151 (Ⅲ),South Dakota,"L, 91-78",74,105.5,53.1,16.2,123.1,57.6,6.8,22.0,-10.5,147.0,101.60078125,105.0015625,104.00393232738915,106.41187621846187,109.83984375,98.0796875,106.46209419295843,102.7980717057391,20201212,107.4,98.4,9.0,92.3,104.7,-12.400000000000004,108.9,99.2,9.73,72.2,-11.554127632109697,152.39270938281567,73.02162162162163,-16.142413521581304,151.73850794675275,-8.851536063199678,151.73850794675275,-16.142413521581304,151.73850794675275,-8.851536063199678,151.93287701681,97.7,103.6,-5.89,71.1,107.4,98.4,9.0,92.3,104.7,-12.400000000000004,-14.413858279478823,152.35033759508352,0,102.21099009868776,100.17792044324742,2.033069655440343,7.036661414460733,94.45935357871036,103.9670091158461,-9.507655537135733,-9.117742254321922,2020-12-12,-8.68779738632172,149.96346314019172,-11.796207522247826,149.96346314019172,-32.730000000000004,-19.970000000000006,17.21731138545953,12.759999999999996,-37.18731138545954,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,-12.188161865569267,-12.529999999999998,-2.137242798353906,-2.49625,1.822857142857142,-1,-1.0,-1,-1,1,-3,-1.0,-1.0
-12.0,-2,-6.833333333333332,-2.43877457704618,2.5203855104095267,108.5,101.16666666666669,110.9,108.0,Fri 1-08 1-08,H,288 (Ⅳ),Western Illinois,"W, 83-77",72,114.9,54.2,11.1,106.6,52.3,20.8,6.5,-18.0,153.5,105.050390625,101.60078125,105.50262155159277,106.79153508783243,110.369921875,109.83984375,107.94139612863896,104.2711495774229,20210108,109.3,103.0,6.299999999999998,92.2,109.6,-17.39999999999999,110.5,102.4,8.08,71.4,-23.365528552234807,159.34509542019026,73.32972972972975,-23.11979023489154,161.52496205390418,-18.770660763812003,161.52496205390418,-23.11979023489154,161.52496205390418,-18.770660763812003,162.66129145044746,93.6,110.2,-16.66,72.2,109.3,103.0,6.299999999999998,92.2,109.6,-17.39999999999999,-20.350573284855695,153.37212001233146,0,103.45201197537769,103.68998979609518,-0.2379778207174894,5.714826981569688,96.54013025337768,100.15767582613816,-3.617545572760477,-8.895440948477674,2021-01-08,-6.9089432624897285,152.8000722883221,-12.734249719566037,152.8000722883221,-10.08,-30.050000000000004,4.821540923639688,-19.970000000000006,-34.87154092363969,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,-10.51877457704618,-14.913333333333332,-12.188161865569267,-3.3388888888888886,-2.49625,-1,-1.0,-1,-1,-1,-3,-3.0,-1.0
12.5,8,-5.8666666666666645,1.1074836153025474,3.5530426903350683,108.2,104.96666666666664,100.0,110.83333333333331,Sat 1-09 1-09,H,288 (Ⅳ),Western Illinois,"W, 92-63",74,125.1,62.9,13.6,85.7,39.1,13.6,1.0,-16.5,154.0,106.6251953125,105.050390625,106.40174770106184,107.04761961731742,105.1849609375,110.369921875,105.29426408575931,103.49457692698239,20210109,109.3,102.9,6.399999999999992,92.2,109.5,-17.299999999999994,110.5,102.4,8.08,71.4,-23.405704374279168,159.0518577920899,73.2281650071124,-23.071592761849416,161.15596442802763,-12.809293222241013,161.15596442802763,-23.071592761849416,161.15596442802763,-12.809293222241013,163.00476073964344,93.5,110.2,-16.63,72.1,109.3,102.9,6.399999999999992,92.2,109.5,-17.299999999999994,-19.530000366441662,155.03291390290292,0,103.7602949,103.9136514,-0.153356500000001,5.987239624,96.720681,100.6273608,-3.9066798000000063,-9.02321901,2021-01-09,-7.2186874533534535,153.50044970404915,-13.011147349107944,153.50044970404915,-0.08000000000000007,-30.130000000000003,-6.802306050906875,-30.050000000000004,-23.327693949093128,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,-6.972516384697453,-13.946666666666665,-10.51877457704618,-3.012999999999999,-3.3388888888888886,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
