ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-3.5,-10,,-10.900000000000004,-10.900000000000004,96.0,0.0,106.9,0.0,Fri 12-04 12-04,H,329 (Ⅳ),McNeese St.,"W, 86-76",78,110.2,58.2,20.5,27.6,58.2,97.4,62.2,33.3,23.1,60.0,9.0,-13.5,153.0,96.0,0.0,96.0,96.0,106.9,0.0,106.9,106.9,20201204,98.2,95.6,2.6000000000000085,94.2,108.3,-14.099999999999996,98.0,96.9,1.11,74.1,-15.839710489604002,152.18366642660544,76.31351351351351,-16.98581636956942,153.43258899463538,-23.999167685408906,153.43258899463538,-16.98581636956942,153.43258899463538,-23.999167685408906,160.68226455348486,95.3,109.8,-14.46,72.4,98.2,95.6,2.6000000000000085,94.2,108.3,-14.099999999999996,-23.999167685408906,160.68226455348486,0,0.0,0.0,0.0,0.0,88.77547452380324,106.11272576365043,-17.33725123984719,-1.7056723896124992,2020-12-04,0.0,0.0,,0.0,-11.11,-11.11,0.0,0.0,-11.11,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,-12.010000000000003,,0.0,-11.11,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
-7.5,-5,,-9.233333333333334,-9.990909090909092,78.2,0.0,84.1,0.0,Wed 12-09 12-09,A,3 (I-A),Baylor,"L, 83-52",78,66.4,42.0,44.7,36.4,61.4,106.0,57.8,25.5,25.0,52.9,-11.0,23.5,146.0,87.1,96.0,90.06666666666666,92.76363636363637,95.5,106.9,99.3,102.75454545454546,20201209,98.3,96.5,1.7999999999999972,116.6,89.9,26.699999999999992,98.1,97.3,0.74,74.7,24.299688737048953,147.57796432706095,74.48748221906116,22.662344799977973,153.43632397533423,41.4572529648526,153.43632397533423,22.662344799977973,153.43632397533423,41.4572529648526,169.60599406338926,115.9,87.2,28.73,70.1,98.3,96.5,1.7999999999999972,116.6,89.9,26.699999999999992,41.43916591423473,169.61438678377598,0,94.72351539050442,105.00424160868064,-10.280726218176227,-17.16462089230011,122.50172661629915,95.347286217442,27.154440398857147,26.654047107483983,2020-12-09,33.83240755814232,167.48404162116356,34.82403012240851,167.48404162116356,-5.74,-16.85,-11.11,-11.11,-5.740000000000002,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,-9.973333333333334,,-12.010000000000003,-8.425,-11.11,-1,-1.0,-1,-1,-1,-3,-3.0,0.0
-18.0,-19,-12.166666666666664,-12.722222222222225,-11.75619834710744,85.2,86.46666666666665,104.9,98.63333333333333,Sat 12-12 12-12,A,280 (Ⅳ),Louisiana Monroe,"L, 66-55",66,83.4,47.7,24.3,17.9,52.3,100.1,67.1,27.3,5.3,60.5,-17.5,-7.0,138.5,86.15,87.1,88.44444444444444,91.38842975206607,100.2,95.5,101.16666666666669,103.14462809917356,20201212,97.2,95.7,1.5,92.3,103.0,-10.700000000000003,97.7,97.2,0.45,75.3,-2.5214831690528854,141.64317612011519,74.33598862019915,-4.945274001687636,142.914687196805,2.1482393892084315,142.914687196805,-4.945274001687636,142.914687196805,2.1482393892084315,133.31620421107536,94.1,102.6,-8.48,69.4,97.2,95.7,1.5,92.3,103.0,-10.700000000000003,2.404287922157104,133.25707951320075,0,88.0029588198379,96.93816249461456,-8.935203674776659,-10.037103546658214,96.28432518302151,101.67149526626119,-5.387170083239681,-9.657387178262733,2020-12-12,6.8222145553942255,138.96503835261154,2.1587122763879165,138.96503835261154,-19.45,-36.3,-13.023333333333333,-16.85,-23.276666666666664,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,-13.172222222222224,-12.616666666666664,-9.973333333333334,-12.100000000000001,-8.425,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
0.5,9,-5.466666666666664,-5.414814814814816,-7.9459804658151745,102.5,88.63333333333333,93.3,94.09999999999998,Sat 1-02 1-02,H,275 (Ⅳ),New Orleans,"W, 78-67",73,106.2,58.7,27.2,36.0,71.7,91.2,50.0,31.3,28.6,66.7,2.5,-10.5,142.5,94.325,86.15,93.12962962962965,93.40871525169044,96.75,100.2,98.54444444444448,101.35469571750565,20210102,98.1,98.4,-0.30000000000001137,93.5,108.0,-14.5,98.1,99.4,-1.31,72.6,-13.062226452336859,145.23161880393056,73.42617354196301,-14.626965559711962,148.8869365781132,-4.753258638235442,148.8869365781132,-14.626965559711962,148.8869365781132,-4.753258638235442,129.18357258818472,93.6,107.4,-13.82,71.1,98.1,98.4,-0.30000000000001137,93.5,108.0,-14.5,-5.373482052835706,128.64161018049182,0,86.14997440365471,100.31488063611752,-14.164906232462812,-8.763392795651598,93.01851848495228,100.80578995785388,-7.787271472901594,-5.892251241177031,2021-01-02,1.0688488735338808,135.09901316874536,0.20289162198739064,135.09901316874536,10.31,-25.989999999999995,-20.782222222222224,-36.3,-5.207777777777771,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,-4.104814814814816,-4.1566666666666645,-13.172222222222224,-6.4975000000000005,-12.100000000000001,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
15.5,9,-0.3000000000000019,-0.4098765432098808,-4.755802199303326,113.6,100.43333333333334,104.0,100.7333333333333,Wed 1-13 1-13,H,325 (Ⅳ),Central Arkansas,"W, 95-69",72,131.2,62.1,13.8,32.3,37.1,95.3,51.0,26.2,29.0,45.1,11.5,-10.5,152.5,103.9625,94.325,99.95308641975309,97.07985793320127,100.375,96.75,100.36296296296301,101.8356601325046,20210113,98.6,98.6,0.0,98.6,106.5,-7.900000000000006,98.8,100.1,-1.29,71.6,-8.752593746638269,155.3590921754493,76.08136557610241,-10.452280442702047,157.31751182233057,-6.175788644333725,157.31751182233057,-10.452280442702047,157.31751182233057,-6.175788644333725,146.7659025973814,99.5,106.7,-7.26,74.7,98.6,98.6,0.0,98.6,106.5,-7.900000000000006,-4.368875755917708,144.13135630816905,0,89.43059013216947,104.2811287486567,-14.850538616487228,-10.960192947142554,97.76076562937388,101.50122498554262,-3.740459356168742,-8.534740606709573,2021-01-13,4.489824877680931,149.5154093069168,-0.07731281080899066,149.5154093069168,10.29,-15.699999999999996,-22.51814814814815,-25.989999999999995,6.818148148148154,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0.8801234567901193,0.9899999999999982,-4.104814814814816,-3.14,-6.4975000000000005,1,-1.0,1,-1,-1,1,-3.0,-3.0
5.5,5,8.1,1.560082304526746,-2.8911108903390845,104.9,107.0,99.4,98.89999999999998,Sat 1-16 1-16,A,328 (Ⅳ),Incarnate Word,"W, 83-65",71,116.4,58.6,21.0,43.8,46.6,91.2,48.1,23.8,32.4,55.8,9.0,-12.5,139.0,104.43125,103.9625,101.60205761316877,98.50170194534651,99.8875,100.375,100.04197530864201,101.39281283568558,20210116,99.8,99.1,0.7000000000000028,97.1,109.4,-12.300000000000011,100.1,100.2,-0.14,71.1,-7.625074982630878,138.6092918289133,67.9647226173542,-5.016738496214344,142.7731575780175,-0.2157994941974673,142.7731575780175,-5.016738496214344,142.7731575780175,-0.2157994941974673,135.86048652261871,94.0,111.1,-17.08,67.2,99.8,99.1,0.7000000000000028,97.1,109.4,-12.300000000000011,-0.48176342795668126,132.42365209827398,0,92.82280110929449,102.71983336720831,-9.897032257913821,-3.544874742989128,98.31525519157213,100.00686628024452,-1.6916110886723885,-2.6293227826034444,2021-01-16,9.459931848809894,135.11539326772473,2.466516716470167,135.11539326772473,5.14,-10.559999999999995,-20.245432098765434,-15.699999999999996,9.685432098765439,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1.7000823045267461,8.24,0.8801234567901193,-1.76,-3.14,1,1.0,1,-1,-1,1,1.0,-3.0
-5.0,0,5.033333333333331,1.0400548696844976,-2.3654543648228867,110.1,109.53333333333336,110.1,104.5,Wed 1-20 1-20,H,309 (Ⅳ),Northwestern St.,"W, 86-74",72,120.2,64.5,22.4,42.9,45.5,103.5,56.5,23.8,19.2,24.1,8.5,-17.0,151.5,107.265625,104.43125,104.43470507544585,100.61048340982893,104.99375,99.8875,103.39465020576134,102.97593777465185,20210120,100.2,99.1,1.1000000000000083,95.9,109.6,-13.699999999999989,100.4,100.1,0.36,71.1,-14.509375545226874,149.3760824479566,72.92048364153626,-15.298068072127535,153.0540915292906,-16.637096430728583,153.0540915292906,-15.298068072127535,153.0540915292906,-16.637096430728583,141.2438433407897,95.5,109.4,-13.89,72.1,100.2,99.1,1.1000000000000083,95.9,109.6,-13.699999999999989,-13.237518575927714,144.69500418139253,0,95.34243627620334,100.26164870289236,-4.919212426689015,-0.4260842158614909,94.42900965881876,104.62216314932584,-10.193153490507086,-12.276229713667712,2021-01-20,-7.841038324878312,145.07405586068086,-10.553280708673945,145.07405586068086,-0.36,-10.919999999999995,-17.01695473251029,-10.559999999999995,6.096954732510294,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0.6800548696844976,4.673333333333331,1.7000823045267461,-1.56,-1.76,1,1.0,1,-1,-1,1,1.0,1.0
15.5,16,7.433333333333337,6.2933699131230005,1.1191737015085494,126.4,113.8,109.6,106.36666666666665,Sat 1-23 1-23,H,298 (Ⅳ),Lamar,"W, 102-72",75,136.0,66.9,20.0,37.5,30.6,96.0,43.8,20.0,40.5,35.9,32.5,-14.5,141.5,116.8328125,107.265625,111.75647005029722,105.29948642622368,107.296875,104.99375,105.46310013717422,104.18031272471512,20210123,100.9,100.1,0.8000000000000114,90.5,105.4,-14.900000000000004,101.0,100.7,0.29,70.7,-14.037193743227085,141.42471702582145,71.30341394025606,-15.51806532875905,143.99483896043392,-15.694364992969367,143.99483896043392,-15.51806532875905,143.99483896043392,-15.694364992969367,150.32182090389094,91.7,105.5,-13.75,70.9,100.9,100.1,0.8000000000000114,90.5,105.4,-14.900000000000004,-15.056692016730835,138.8814928756307,0,95.47295623583344,101.84555589171332,-6.372599655879881,-2.6327596610649007,91.40443920882156,103.03966717165092,-11.635227962829362,-7.583932280970464,2021-01-23,-7.764874721281515,139.78840352198915,-5.424862796345039,139.78840352198915,15.71,4.790000000000006,-14.984636488340193,-10.919999999999995,19.7746364883402,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,6.0033699131230005,7.143333333333337,0.6800548696844976,0.59875,-1.56,1,1.0,1,1,-1,3,1.0,1.0
-17.5,-7,3.100000000000004,1.6955799420820012,-0.4479487896748233,97.3,111.26666666666664,104.8,108.16666666666664,Wed 1-27 1-27,A,104 (I),Abilene Christian,"L, 82-62",75,82.9,44.4,30.7,35.9,46.3,109.6,46.0,14.7,31.0,46.0,8.0,2.5,136.0,107.06640625,116.8328125,106.93764670019813,103.84503434872845,106.0484375,107.296875,105.24206675811615,104.29298313840329,20210127,102.3,101.2,1.0999999999999943,97.4,91.5,5.900000000000006,102.2,101.0,1.2,70.9,6.799976375281467,133.74967133740697,69.18549075391181,7.3282986487545685,136.2440472867571,2.990002448581458,136.2440472867571,7.3282986487545685,136.2440472867571,2.990002448581458,136.12797684940725,98.3,92.8,5.51,68.6,102.3,101.2,1.0999999999999943,97.4,91.5,5.900000000000006,8.063162372249622,128.59069896747923,0,98.32816142336722,102.83151261530807,-4.503351191940851,-0.31660216197822216,95.51583074443373,88.9860089349719,6.529821809461822,12.79237217858631,2021-01-27,11.279388182467109,131.7854502656697,11.12754188939195,131.7854502656697,-8.2,-3.409999999999993,-8.393090992226794,4.790000000000006,4.983090992226801,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0.4955799420820013,1.9000000000000041,6.0033699131230005,-0.3788888888888889,0.59875,1,1.0,1,-1,1,1,3.0,1.0
3.5,9,6.13333333333334,4.1637199613880025,1.2880418993569642,114.9,112.86666666666665,105.8,106.7333333333333,Sun 1-31 1-31,H,184 (Ⅳ),Sam Houston St.,"W, 78-68",67,117.2,48.4,15.0,44.1,36.1,102.2,47.4,18.0,28.6,28.1,-6.0,-6.5,152.0,110.983203125,107.06640625,109.59176446679876,105.85502810350508,105.92421875,106.0484375,105.42804450541078,104.56698620414814,20210131,102.6,102.3,0.2999999999999972,100.5,101.6,-1.0999999999999943,102.3,102.3,0.01,71.3,-6.15695251557031,151.32197925213632,72.61849217638691,-5.366492981328037,153.79110700367337,-7.395696489945921,153.79110700367337,-5.366492981328037,153.79110700367337,-7.395696489945921,166.72780855410238,101.0,103.6,-2.65,71.6,102.6,102.3,0.2999999999999972,100.5,101.6,-1.0999999999999943,-2.8102072985906275,149.36423690308473,0,98.10578100041229,103.63379616202816,-5.528015161615869,-0.6443129767568823,101.07668271426792,99.02913937134345,2.0475433429244703,0.2431515293256853,2021-01-31,1.4437379031998887,149.7788339244985,-1.3847759945006146,149.7788339244985,8.99,5.580000000000007,-6.732060661484527,-3.409999999999993,12.312060661484534,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,4.153719961388003,6.12333333333334,0.4955799420820013,0.5579999999999999,-0.3788888888888889,1,1.0,1,1,-1,3,1.0,3.0
