ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,PPP1,EFG%1,TO%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-3,-23,,-23.1,-23.1,80.5,0,103.6,0,Wed 11-25 11-25,A,293 (Ⅳ),Florida Gulf Coast,"L, 65-56",69,81.3,52,29,94.4,62.7,33.4,-12.5,6,133.5,80.5,0,80.5,80.5,103.6,0,103.6,103.6,20201125,95.1,105.4,-10.3,97.3,100.8,-3.5,88.6,101.4,-12.83,71.6,7.434729986,132.1540134,72.10924609,9.033461313,146.4791773,21.4351966,146.4791773,9.033461313,146.4791773,21.4351966,125.7678645,93.3,100.9,-7.64,70.8,95.1,105.4,-10.3,97.3,100.8,-3.5,21.4351966,125.7678645,0,101.44739,95.98614826,5.46124174,8.448602753,95.98614826,101.44739,-5.46124174,-2.47388066,11/25/2020,-3.92525361,143.635857,-5.796744974,143.635857,-10.17,-10.17,0,0,-10.17,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,-10.27,,0,-10.17,0,-1,0,-1,-1,1,-3,0,0
10.5,0,,-15.53333333,-18.97272727,104.9,0,105.3,0,Sun 11-29 11-29,A,84 (Ⅱ),Georgia,"L, 85-75",74,101.1,54.2,18.9,114.5,52.4,20.2,16.5,20.5,143.5,92.7,80.5,88.63333333,84.93636364,104.45,103.6,104.1666667,103.9090909,20201129,92.5,102.9,-10.4,100.7,94.2,6.5,89.1,102.2,-13.15,71.8,19.58023442,144.0950309,75.47681366,16.82879614,147.4405168,24.0473975,147.4405168,16.82879614,147.4405168,24.0473975,161.2296905,103.7,95.7,8.01,73.9,92.5,102.9,-10.4,100.7,94.2,6.5,24.0473975,161.2296905,0,98.99433798,95.35945056,3.634887416,5.275660784,0,0,0,0,11/29/2020,0,0,,0,13.15,2.98,-10.17,-10.17,13.15,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,-2.383333333,,-10.27,1.49,-10.17,-1,-1,1,1,-1,1,-3,0
7.5,-11,-11.6,-14.12222222,-17.57768595,95.8,93.73333333,107.1,105.3333333,Wed 12-09 12-09,A,63 (I),Oregon,"L, 87-66",74,88.7,44.2,25.5,116.9,65.1,21.5,13.5,28.5,139.5,94.25,92.7,91.02222222,86.91157025,105.775,104.45,105.1444444,104.4892562,20201209,93.5,103.4,-9.9,112.4,93.1,19.3,89.9,102.5,-12.53,71,26.23003563,137.3372815,70.89900427,25.29369188,148.0660654,23.23193726,148.0660654,25.29369188,148.0660654,23.23193726,139.5943114,110,90.1,19.96,70.2,93.5,103.4,-9.9,112.4,93.1,19.3,23.48245819,139.4825505,0,105.1346944,100.8752278,4.259466674,-0.246898923,101.8573585,101.623711,0.233647569,0.527796799,12/9/2020,1.287374344,151.9759982,2.537211825,151.9759982,1.53,4.51,-5.786666667,2.98,10.29666667,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,-1.592222222,0.93,-2.383333333,1.503333333,1.49,-1,-1,1,1,1,1,1,-3
-4.5,-19,-10.23333333,-15.74814815,-17.8362885,90.2,96.96666667,109.2,107.2,Sat 12-12 12-12,A,26 (I-A),Oklahoma,"L, 85-54",70,77.6,36.5,21.6,122.1,53.1,10.1,-10.5,26.5,149.5,92.225,94.25,90.74814815,87.50946657,107.4875,105.775,106.4962963,105.3457551,20201212,93.8,103.6,-9.8,112,94.9,17.1,90.7,102.9,-12.2,71.5,25.6079962,148.299641,74.14438122,24.82264755,155.9594761,25.85825151,155.9594761,24.82264755,155.9594761,25.85825151,171.7679249,111.4,94.3,17.07,72.9,93.8,103.6,-9.8,112,94.9,17.1,25.84379263,171.8118288,0,103.9340414,102.6020805,1.331960863,-4.019739625,110.7568244,117.503831,-6.747006625,3.322137933,12/12/2020,-1.430385289,178.483825,7.512391105,178.483825,-6.8,-2.29,-2.354444444,4.51,0.064444444,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3.548148148,1.966666667,-1.592222222,-0.5725,1.503333333,-1,-1,1,-1,1,-1,1,1
19,5,-8.333333333,-8.732098765,-13.62969059,102.8,96.26666667,97.5,104.6,Tue 12-15 12-15,A,181 (Ⅳ),Austin Peay,"W, 76-70",70,108.5,62,27.1,99.9,44.8,21.4,4,13,142,97.5125,92.225,94.7654321,90.28956355,102.49375,107.4875,103.4975309,103.9192541,20201215,93.6,103.9,-10.3,101.4,103.6,-2.2,90.7,103.2,-12.5,70.8,12.78004801,142.9446321,71.80711238,10.31957169,148.7882613,5.547129136,148.7882613,10.31957169,148.7882613,5.547129136,141.5500649,102.7,103.3,-0.65,71.3,93.6,103.9,-10.3,101.4,103.6,-2.2,5.358229963,141.7937868,0,96.72047217,100.3554749,-3.635002739,-7.776111059,98.45312943,107.6271248,-9.17399536,-10.72998611,12/15/2020,0.283346281,148.930338,-0.296534947,148.930338,17.5,15.21,-2.332962963,-2.29,17.54296296,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,3.767901235,4.166666667,-3.548148148,3.042,-0.5725,1,-1,1,1,-1,3,-1,1
12,1,-4.1,-5.35473251,-10.89701958,107,100,105.6,104.1,Fri 12-18 12-18,A,28 (I-A),Georgia Tech,"L, 74-64",63,101,50,14.2,116.7,55.3,15.8,0.5,22,137.5,102.25625,97.5125,98.8436214,93.32782473,104.046875,102.49375,104.1983539,104.2248443,20201218,94.2,103.5,-9.3,106,94.3,11.7,91.9,103,-11.07,70.5,18.97546723,136.2711595,69.29658606,18.75889737,141.2907766,16.68829641,141.2907766,18.75889737,141.2907766,16.68829641,144.1999617,106.3,95.2,11.08,69.1,94.2,103.5,-9.3,106,94.3,11.7,16.56755252,144.0769507,0,100.5968481,100.6125734,-0.015725341,-5.560044868,109.3590199,101.6415239,7.717495992,3.38560268,12/18/2020,9.737509264,150.777425,8.118237363,150.777425,12.07,27.28,3.514691358,15.21,23.76530864,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,5.71526749,6.97,3.767901235,4.546666667,3.042,1,1,1,1,1,3,3,-1
11,0,2.5,-3.303155007,-8.770288745,96.8,102.2,96,99.7,Sat 1-02 1-02,A,118 (Ⅱ),South Carolina,"L, 78-71",77,91.9,50.9,23.3,101,47.1,14.2,7.5,18,141.5,99.528125,102.25625,98.16241427,93.95912932,100.0234375,104.046875,101.4655693,102.7294181,20210102,96.3,105.6,-9.3,104.2,94.7,9.5,93.9,104.2,-10.33,69.2,20.0904667,142.8392214,71.95618777,18.01239296,148.4997835,11.1171436,148.4997835,18.01239296,148.4997835,11.1171436,144.6688113,106.2,93.9,12.34,73.1,96.3,105.6,-9.3,104.2,94.7,9.5,13.01019396,142.3872503,0,103.231921,100.6802978,2.551623209,-3.970865357,95.74518105,101.6599233,-5.914742235,-4.47795239,1/2/2021,-2.143667703,148.0169572,1.564780499,148.0169572,10.33,37.61,11.43646091,27.28,26.17353909,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,7.026844993,12.83,5.71526749,5.372857143,4.546666667,1,1,1,1,1,3,3,3
-14.5,-20,-6.2,-9.135436671,-10.95750897,79.8,94.53333333,100.6,100.7333333,Sun 1-10 1-10,H,345 (Ⅳ),South Carolina St.,"W, 70-68",79,88.5,54.4,26.5,86,45.5,24,-1,-16.5,139,89.6640625,99.528125,92.04160951,91.38474217,100.3117188,100.0234375,101.1770462,102.3422511,20210110,97.3,105.4,-8.1,85.4,114.1,-28.7,95,104.2,-9.18,69,-17.29051205,140.139485,71.35561878,-19.44521159,147.191894,-23.5081596,147.191894,-19.44521159,147.191894,-23.5081596,147.314765,85.4,113.5,-28.14,72.7,97.3,105.4,-8.1,85.4,114.1,-28.7,-21.49864942,139.1450116,0,104.0844566,100.9139477,3.170508915,-4.748362206,88.73909708,106.9671471,-18.22804999,-13.83529688,1/10/2021,-20.0104889,147.102236,-8.296348999,147.102236,-10.82,26.79,20.16097394,37.61,6.629026063,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0.044563329,2.98,7.026844993,3.34875,5.372857143,1,1,1,1,1,3,3,3
-10,-23,-14.53333333,-13.95695778,-13.25614371,74.7,83.76666667,98.3,98.3,Sat 1-30 1-30,A,290 (Ⅳ),North Carolina A&T,"L, 70-58",75,77.4,38.6,21.3,93.4,50,22.7,-18,2,146,82.18203125,89.6640625,86.26107301,88.35115269,99.30585938,100.3117188,100.2180308,101.6072964,20210130,95.9,105.2,-9.3,95.5,109,-13.5,94.5,105.1,-10.6,69,2.500397263,141.80488,69.39260313,1.189251064,145.5722594,-2.625895624,145.5722594,1.189251064,145.5722594,-2.625895624,151.0670923,96.7,109.8,-13.11,70.7,95.9,105.2,-9.3,95.5,109,-13.5,-1.910055086,140.8715039,0,98.09787082,103.8516126,-5.753741784,-11.55534106,98.06491474,105.1471729,-7.082258131,-3.846480111,1/30/2021,3.150010337,145.6215648,7.142744024,145.6215648,-12.4,14.39,22.37064929,26.79,-7.980649291,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,-3.356957781,-3.933333333,0.044563329,1.598888889,3.34875,-1,1,-1,1,1,-1,3,3
1.5,-5,-16.66666667,-11.17130519,-11.86411758,93.2,82.56666667,98.8,99.23333333,Sun 1-31 1-31,A,290 (Ⅳ),North Carolina A&T,"L, 67-65",69,93.8,43,23.1,96.7,60.8,30.3,-14.5,3.5,146.5,87.69101563,82.18203125,88.57404867,89.23276129,99.05292969,99.30585938,99.74535386,101.0968789,20210131,95.8,105.2,-9.4,95.7,109.1,-13.4,94.3,104.9,-10.63,68.9,2.499242719,141.377174,69.39004267,1.35199577,145.7115941,1.161187433,145.7115941,1.35199577,145.7115941,1.161187433,139.5189266,96.6,109.7,-13.06,70.8,95.8,105.2,-9.4,95.7,109.1,-13.4,-0.210964698,138.5646667,0,95.14664769,105.8837388,-10.73709108,-13.35961992,99.69968167,105.3286688,-5.628987158,-2.260405774,1/31/2021,7.893401672,146.3123331,9.492928231,146.3123331,5.63,20.02,19.71043286,14.39,0.309567139,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,-0.541305187,-6.036666667,-3.356957781,2.002,1.598888889,-1,-1,1,1,1,1,-1,3
