ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,PPP1,EFG%1,TO%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-5.0,-13,,-13.700000000000005,-13.700000000000005,94.7,0.0,108.4,0.0,Sat 11-28 11-28,H,153 (Ⅲ),Texas St.,"L, 75-63",70,90.3,41.5,21.5,107.5,60.4,21.5,2.5,7.0,135.5,94.7,0.0,94.7,94.7,108.4,0.0,108.4,108.4,20201128,94.6,104.5,-9.900000000000006,100.9,97.3,3.6000000000000085,94.4,106.0,-11.64,70.8,5.822610882356926,141.85260129776663,72.00853485064012,5.793807093031475,145.18188426189982,0.9418826602455823,145.18188426189982,5.793807093031475,145.18188426189982,0.9418826602455823,148.566731210718,100.0,97.8,2.24,71.5,94.6,104.5,-9.900000000000006,100.9,97.3,3.6000000000000085,0.9418826602455823,148.566731210718,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-11-28,0.0,0.0,,0.0,-1.3599999999999994,-1.3599999999999994,0.0,0.0,-1.3599999999999994,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,-2.060000000000004,,0.0,-1.3599999999999994,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
-15.0,-24,,-17.433333333333334,-15.736363636363635,76.9,0.0,101.8,0.0,Mon 11-30 11-30,A,49 (I),SMU,"L, 91-54",80,67.8,36.1,23.9,114.3,60.3,23.9,6.5,22.0,138.5,85.80000000000003,94.7,88.76666666666668,91.46363636363635,105.1,108.4,106.20000000000002,107.2,20201130,93.2,103.2,-10.0,110.5,97.8,12.700000000000005,93.7,105.8,-12.07,70.7,23.128653569651597,144.0743345367133,70.59943100995733,20.686201973647925,148.7144338991841,32.34706676285577,148.7144338991841,20.686201973647925,148.7144338991841,32.34706676285577,158.852098083732,109.4,94.5,14.92,70.2,93.2,103.2,-10.0,110.5,97.8,12.700000000000005,32.34706676285577,158.852098083732,0,95.42803066204009,104.18106784921116,-8.753037187171074,-10.340203429194938,104.80687071971852,103.00696708686543,1.7999036328530877,8.815203706179704,2020-11-30,12.066062936857918,150.1342245704511,15.485319537711149,150.1342245704511,-11.93,-13.29,-1.3599999999999994,-1.3599999999999994,-11.93,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,-5.363333333333333,,-2.060000000000004,-6.645,-1.3599999999999994,-1,-1.0,-1,-1,-1,-3,-3.0,0.0
6.5,-18,-19.033333333333328,-17.78888888888889,-16.238842975206612,85.0,85.53333333333335,103.5,104.56666666666666,Wed 12-02 12-02,A,271 (Ⅳ),UT Rio Grande Valley,"L, 62-59",69,86.0,40.6,27.7,90.3,44.8,20.4,-22.5,9.5,143.5,85.4,85.80000000000003,87.51111111111112,90.28842975206612,104.3,105.1,105.30000000000004,106.5272727272727,20201202,92.0,102.8,-10.799999999999995,93.3,101.3,-8.0,92.8,105.5,-12.68,72.3,9.52649600130762,145.79800782815119,75.89957325746798,6.2102373941732765,146.6694129900707,18.344150415432846,146.6694129900707,6.2102373941732765,146.6694129900707,18.344150415432846,139.19452491797298,94.8,100.0,-5.11,73.8,92.0,102.8,-10.799999999999995,93.3,101.3,-8.0,18.34632499615546,139.28220000442988,0,87.81287063791676,103.47475031650788,-15.66187967859112,-16.98545255790953,95.3214319978529,102.34301354326496,-7.021581545412062,3.686380003397916,2020-12-02,10.885092564493931,146.3320387703702,17.6737055993147,146.3320387703702,-5.32,-18.61,-5.336666666666666,-13.29,-13.273333333333333,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,-5.108888888888892,-6.353333333333328,-5.363333333333333,-6.203333333333331,-6.645,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-2.0,-14,-19.2,-16.592592592592595,-15.868144252441773,86.1,82.66666666666669,100.3,101.86666666666667,Thu 12-10 12-10,H,271 (Ⅳ),UT Rio Grande Valley,"L, 68-64",76,84.6,45.8,31.7,89.8,39.4,22.5,-4.5,2.0,136.5,85.75,85.4,87.04074074074074,89.52689706987226,102.3,104.3,103.63333333333335,105.395041322314,20201210,91.2,102.5,-11.299999999999995,93.8,101.1,-7.299999999999998,92.3,104.6,-12.31,71.3,0.9508943084266832,140.01414288129604,73.63271692745377,-1.0017963558795202,141.68886126616496,5.354751356211146,141.68886126616496,-1.0017963558795202,141.68886126616496,5.354751356211146,135.57149453507,94.6,100.0,-5.42,72.6,91.2,102.5,-11.299999999999995,93.8,101.1,-7.299999999999998,5.376134893698558,135.71676848112656,0,85.61976912011535,99.75211291879309,-14.132343798677738,-16.849465442203606,92.6174594197203,107.69327529606674,-15.07581587634644,-9.251260905435387,2020-12-10,-3.7533954467371586,138.94273076186337,3.80210979942472,138.94273076186337,-1.6899999999999995,-20.299999999999997,-9.761111111111111,-18.61,-10.538888888888886,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,-4.282592592592595,-6.889999999999999,-5.108888888888892,-5.074999999999999,-6.203333333333331,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
8.0,-10,-14.266666666666673,-14.428395061728402,-14.819390751997814,100.3,90.4666666666667,110.4,104.73333333333332,Sat 12-12 12-12,N,16 (I-A),Texas Tech,"L, 77-57",63,89.8,51.0,31.5,121.4,42.6,6.3,5.0,28.0,129.0,93.025,85.75,91.46049382716049,91.4856430571682,106.35,102.3,105.88888888888893,106.30503380916599,20201212,91.2,101.8,-10.599999999999994,106.4,84.8,21.60000000000001,91.9,104.3,-12.4,71.6,24.180171125029176,132.86838921636482,70.58150782361308,22.37214842544035,134.0792055291112,27.124437948146493,134.0792055291112,22.37214842544035,134.0792055291112,27.124437948146493,119.5071578911408,107.2,84.2,22.9,69.3,91.2,101.8,-10.599999999999994,106.4,84.8,21.60000000000001,27.808219123030426,121.31956553849709,0,83.55398202202427,100.50587476181411,-16.95189273978984,-20.383657696636966,100.75259061608179,85.56645717510409,15.186133440977699,21.81458146048909,2020-12-12,21.49863561118972,124.7654126849425,29.78415347211387,124.7654126849425,2.4000000000000004,-17.9,-13.274074074074074,-20.299999999999997,-4.625925925925925,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,-2.0283950617284017,-1.8666666666666725,-4.282592592592595,-3.58,-5.074999999999999,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
5.5,-4,-9.63333333333334,-11.152263374485603,-12.961319706180033,84.6,90.33333333333336,89.2,99.96666666666664,Tue 12-15 12-15,A,153 (Ⅲ),Texas St.,"L, 51-46",57,80.4,45.3,28.0,89.1,47.8,21.0,-32.5,10.5,129.5,88.8125,93.025,89.17366255144033,90.23370795586487,97.775,106.35,100.32592592592596,103.19502766204492,20201215,91.8,102.5,-10.700000000000003,98.4,97.0,1.4000000000000057,92.4,104.7,-12.29,70.7,12.561060989228793,133.95559193462594,69.29203413940257,12.154180618433529,134.975338026879,9.766463781836558,134.975338026879,12.154180618433529,134.975338026879,9.766463781836558,131.3082007314438,98.7,98.0,0.67,68.9,91.8,102.5,-10.700000000000003,98.4,97.0,1.4000000000000057,9.790291611889602,131.3221005046003,0,88.14272570323915,102.36102517891784,-14.218299475678691,-19.789624824543413,93.74494434095385,103.0888890313698,-9.343944690415952,-5.966143907494622,2020-12-15,7.324273744009581,132.65487003051174,11.268894327321142,132.65487003051174,8.29,-9.61,-14.816049382716049,-17.9,5.206049382716049,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1.1377366255143961,2.656666666666659,-2.0283950617284017,-1.6016666666666666,-3.58,1,-1.0,1,-1,-1,1,-3.0,-3.0
-10.5,-32,-15.600000000000005,-18.13484224965707,-16.44107975960184,82.2,89.03333333333337,114.3,104.63333333333333,Wed 1-13 1-13,A,338 (Ⅳ),Southeastern Louisiana,"L, 76-63",72,87.9,50.0,22.3,106.0,51.0,22.3,5.5,2.5,133.5,85.50625,88.8125,86.84910836762688,88.77303378207127,106.0375,97.775,104.983950617284,105.21411354167309,20210113,92.7,103.8,-11.099999999999996,91.1,108.9,-17.80000000000001,93.7,105.8,-12.13,67.6,0.8956132292881307,131.2909125083554,65.86913229018492,-0.6181921341281225,131.93728412891133,-1.1585653947602859,131.93728412891133,-0.6181921341281225,131.93728412891133,-1.1585653947602859,123.05801158598776,92.7,109.2,-16.48,68.5,92.7,103.8,-11.099999999999996,91.1,108.9,-17.80000000000001,0.20500719352290908,122.76794449589084,0,90.71408069290364,101.54954400081283,-10.835463307909194,-13.651706555074684,95.48880730868326,100.94032824752306,-5.451520938839792,-5.360746463391044,2021-01-13,7.213314619476286,127.44791851287249,7.130192445417926,127.44791851287249,-19.869999999999997,-29.479999999999997,-13.080699588477367,-9.61,-16.39930041152263,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,-6.004842249657068,-3.470000000000004,1.1377366255143961,-4.21142857142857,-1.6016666666666666,-1,1.0,-1,-1,-1,-3,1.0,-3.0
-14.5,-34,-23.83333333333334,-23.68989483310472,-19.77906525785605,81.6,82.80000000000005,116.4,106.63333333333333,Wed 1-20 1-20,A,274 (Ⅳ),New Orleans,"L, 87-68",78,87.1,47.6,24.3,111.5,55.3,15.4,14.0,4.5,141.0,83.553125,85.50625,85.09940557841794,87.46884582169466,111.21875,106.0375,108.78930041152266,107.2479110795507,20210120,92.9,104.9,-12.0,96.8,108.6,-11.799999999999995,93.4,106.3,-12.95,68.2,5.06875601634421,140.04885742739225,68.78207681365576,4.452608833571247,142.61397028227083,10.043395907273514,142.61397028227083,4.452608833571247,142.61397028227083,10.043395907273514,136.89778386724208,97.0,108.6,-11.65,70.9,92.9,104.9,-12.0,96.8,108.6,-11.799999999999995,6.702714633839945,130.19889251516742,0,91.80444784397592,100.05161942937885,-8.247171585402924,-9.31903942613862,96.2299632917073,103.81156396336368,-7.581600671656375,-4.686908205942237,2021-01-20,4.465628129325964,134.97765119002065,4.977104061544274,134.97765119002065,-21.05,-50.53,-18.54713305898491,-29.479999999999997,-31.98286694101509,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,-10.73989483310472,-10.88333333333334,-6.004842249657068,-6.31625,-4.21142857142857,-1,-1.0,-1,-1,-1,-3,-3.0,1.0
-18.0,-30,-32.6,-26.093263222069808,-21.801053392791317,85.0,82.93333333333338,115.9,115.53333333333332,Sat 1-23 1-23,A,324 (Ⅳ),Incarnate Word,"L, 72-53",62,85.2,40.8,19.3,115.7,54.8,12.9,-10.0,1.0,135.0,84.2765625,83.553125,85.06627038561196,87.01996476320471,113.559375,111.21875,111.1595336076818,108.82101815599606,20210123,91.8,105.6,-13.799999999999995,97.2,109.8,-12.599999999999996,92.5,106.7,-14.18,69.2,1.9419685093465944,134.0138975018326,66.24694167852063,5.122575222735406,138.21274509985804,7.767481239363226,138.21274509985804,5.122575222735406,138.21274509985804,7.767481239363226,130.17161005463836,94.0,111.4,-17.39,67.3,91.8,105.6,-13.799999999999995,97.2,109.8,-12.599999999999996,8.796610388351304,127.14803500077403,0,91.55817850287224,99.92591091543358,-8.367732412561338,-9.428108033251432,96.869874102367,102.70130034964222,-5.831426247275218,-7.835673947122512,2021-01-23,5.507585031046936,129.6653953291783,2.7497390611846555,129.6653953291783,-15.82,-66.35,-29.208088705989944,-50.53,-37.14191129401005,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,-11.913263222069808,-18.42,-10.73989483310472,-7.372222222222222,-6.31625,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
4.5,-11,-25.66666666666667,-21.16217548137988,-19.891770957738352,102.0,89.5333333333334,113.3,115.2,Wed 1-27 1-27,H,170 (Ⅲ),Sam Houston St.,"L, 75-70",67,103.9,55.8,22.3,111.3,50.8,13.4,5.0,9.5,140.0,93.13828125,84.2765625,90.71084692374131,89.74360753353113,113.4296875,113.559375,111.87302240512122,109.63537849126949,20210127,91.0,106.1,-15.099999999999996,99.3,100.8,-1.5,91.4,107.6,-16.19,68.6,5.511821940444392,140.40091521999477,70.16130867709815,5.825738937439098,141.2654969197785,16.472295254926664,141.2654969197785,5.825738937439098,141.2654969197785,16.472295254926664,140.14518347456587,99.9,102.8,-2.9,71.9,91.0,106.1,-15.099999999999996,99.3,100.8,-1.5,12.022160772066758,133.72225649440983,0,91.51384948274506,99.9926782824764,-8.478828799731346,-9.732802900086726,99.56859997190833,98.87993873328213,0.6886612386261959,-1.9965686957769555,2021-01-27,2.694629347774807,136.30471961019572,3.5785392456678835,136.30471961019572,5.190000000000001,-61.16,-41.5887258039933,-66.35,-19.571274196006698,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,-4.972175481379878,-9.47666666666667,-11.913263222069808,-6.116,-7.372222222222222,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
