ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,PPP1,EFG%1,TO%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
16.5,30,,30.5,30.5,112.8,0.0,82.3,0.0,Wed 11-25 11-25,H,309 (Ⅳ),Northwestern St.,"W, 101-58",80,126.4,60.0,12.5,72.6,38.5,23.8,13.0,-26.5,146.0,112.8,0.0,112.8,112.8,82.3,0.0,82.3,82.3,20201125,113.2,89.7,23.5,103.2,107.4,-4.200000000000003,108.6,85.0,23.65,70.6,-27.54625393265915,143.94746709514158,75.21963015647226,-26.898714285950717,165.1972625724891,-44.47941468267629,165.1972625724891,-26.898714285950717,165.1972625724891,-44.47941468267629,147.3620207384481,94.1,102.6,-8.54,74.9,113.2,89.7,23.5,103.2,107.4,-4.200000000000003,-44.47941468267629,147.3620207384481,0,105.9619145,96.47739369,9.484520810000006,16.97188185,96.47739369,105.9619145,-9.484520810000006,-1.997159757,2020-11-25,-19.17366470220854,158.2318655878152,-16.532287613448375,158.2318655878152,6.350000000000001,6.350000000000001,0.0,0.0,6.350000000000001,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,6.850000000000001,,0.0,6.350000000000001,0.0,1,0.0,1,1,1,3,0.0,0.0
4.5,41,,34.300000000000004,32.57272727272727,115.4,0.0,73.5,0.0,Fri 11-27 11-27,H,171 (Ⅲ),Sam Houston St.,"W, 84-52",72,116.9,56.7,16.7,72.4,35.2,25.1,-10.5,-27.5,146.5,114.1,112.8,113.66666666666669,113.27272727272728,77.9,82.3,79.36666666666667,80.69999999999997,20201127,113.2,89.7,23.5,95.4,105.7,-10.299999999999997,109.6,85.5,24.1,71.8,-30.228734851688955,149.06944555669452,75.78321479374111,-30.828168258664263,159.6069968138391,-36.54916649485243,159.6069968138391,-30.828168258664263,159.6069968138391,-36.54916649485243,161.80212044753574,94.8,105.5,-10.63,74.2,113.2,89.7,23.5,95.4,105.7,-10.299999999999997,-36.54916649485243,161.80212044753574,0,105.96191449381372,96.47739369019017,9.484520803623553,16.971881850180218,102.1228449667093,105.75811107501028,-3.635266108300982,2.6854282715890383,2020-11-27,-15.043505355199713,163.31310676186496,-13.157220997828162,163.31310676186496,16.9,23.25,6.350000000000001,6.350000000000001,16.9,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,10.200000000000003,,6.850000000000001,11.625,6.350000000000001,1,1.0,1,1,1,3,3.0,0.0
-14.0,0,24.4,23.133333333333336,26.795867768595038,87.5,105.23333333333332,86.7,80.83333333333333,Sun 11-29 11-29,N,2 (I-A),Houston,"L, 64-53",66,80.1,43.5,27.2,96.7,42.1,21.2,-11.0,-3.0,128.0,100.8,114.1,104.94444444444444,108.58677685950413,82.30000000000003,77.9,81.81111111111113,81.79090909090908,20201129,110.5,86.7,23.8,107.9,88.3,19.600000000000012,110.0,85.7,24.31,71.8,-3.1870907352285514,139.39063718279158,72.2085348506401,-2.9699658594651197,141.12233380579323,-3.6320737548011834,141.12233380579323,-2.9699658594651197,141.12233380579323,-3.6320737548011834,123.20417408025239,110.6,90.2,20.39,70.7,110.5,86.7,23.8,107.9,88.3,19.600000000000012,-3.607554696556589,123.22404707611133,0,104.39398241412457,90.50161118717422,13.892371226950345,19.097794611100326,103.29377496399175,87.68452875988984,15.609246204101908,23.0853446981815,2020-11-29,1.4362925797219646,136.6174711982349,2.8793514943167224,136.6174711982349,-24.31,-1.0599999999999987,11.983333333333334,23.25,-13.043333333333333,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,-1.1766666666666623,0.08999999999999986,10.200000000000003,-0.3533333333333317,11.625,-1,1.0,-1,-1,1,-3,3.0,3.0
6.0,34,25.83333333333333,27.02222222222223,28.25116453794139,115.6,106.16666666666664,80.8,80.33333333333333,Fri 12-04 12-04,H,300 (Ⅳ),Troy,"W, 80-46",67,120.2,65.7,19.5,69.1,35.8,33.1,-8.0,-28.0,134.0,108.2,100.8,108.49629629629631,109.8619083395943,81.55000000000003,82.30000000000003,81.47407407407408,81.61074380165287,20201204,108.2,86.7,21.5,93.8,103.4,-9.600000000000009,108.4,85.6,22.87,70.8,-26.84238750650801,137.117792034672,71.90782361308678,-26.45229680585365,142.73901476734167,-32.09941887571017,142.73901476734167,-26.45229680585365,142.73901476734167,-32.09941887571017,121.6438807731784,92.6,102.8,-10.17,71.4,108.2,86.7,21.5,93.8,103.4,-9.600000000000009,-32.34447018757246,121.75682895178245,0,99.69413601641821,90.66423891524023,9.02989710117798,16.393351499988064,91.23841433869232,94.10520437111113,-2.8667900324188054,-1.0102708500017017,2020-12-04,-11.79730286413217,130.08019272764508,-14.682848061885537,130.08019272764508,11.129999999999999,10.07,7.635555555555558,-1.0599999999999987,2.434444444444442,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,4.152222222222228,2.9633333333333276,-1.1766666666666623,2.5174999999999983,-0.3533333333333317,1,-1.0,1,1,-1,3,-3.0,3.0
9.0,26,20.566666666666666,26.71481481481481,27.860043712861128,99.1,100.7333333333333,73.0,80.16666666666667,Sun 12-06 12-06,H,316 (Ⅳ),Grambling St.,"W, 81-40",72,112.2,48.4,18.0,55.4,37.8,41.6,-12.5,-32.0,133.5,103.65,108.2,105.36419753086422,107.90519773239531,77.275,81.55000000000003,78.64938271604939,80.04515401953415,20201206,108.4,86.4,22.0,87.9,100.1,-12.199999999999989,108.5,85.2,23.34,70.2,-29.923372836571396,134.63179360888964,72.59658605974397,-28.008156160952062,137.61541928554809,-29.24280773944223,137.61541928554809,-28.008156160952062,137.61541928554809,-29.24280773944223,119.13708097234813,87.5,102.1,-14.63,72.7,108.4,86.4,22.0,87.9,100.1,-12.199999999999989,-29.24151902803759,119.04842424287544,0,101.05520560282444,89.45297290303003,11.602232699794413,18.757586287860807,95.00354579908104,97.41910510419041,-2.415559305109369,-2.7978778499625134,2020-12-06,-13.807624542966302,136.45868551491301,-17.84344233165905,136.45868551491301,2.66,12.73,8.447037037037038,10.07,4.282962962962962,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,3.374814814814812,-2.7733333333333334,4.152222222222228,2.545999999999996,2.5174999999999983,1,1.0,1,1,1,3,3.0,-3.0
-7.0,13,24.93333333333333,22.44320987654321,25.321853946886378,84.9,99.86666666666665,71.0,74.93333333333334,Wed 12-09 12-09,H,115 (Ⅲ),Abilene Christian,"W, 51-44",64,79.8,30.2,25.0,68.8,42.2,34.4,-35.0,-14.0,130.0,94.275,103.65,98.54279835390949,103.72243450832342,74.1375,77.275,76.09958847736627,78.40058056143701,20201209,108.3,86.0,22.3,98.9,91.5,7.400000000000006,108.5,84.9,23.61,70.3,-17.185610846704463,132.60285102872237,71.69999999999999,-14.079567287866666,135.3569998777333,-9.184996494895177,135.3569998777333,-14.079567287866666,135.3569998777333,-9.184996494895177,114.65869846561056,98.0,94.1,3.86,71.7,108.3,86.0,22.3,98.9,91.5,7.400000000000006,-9.00505742055236,114.4150721215134,0,101.58732580356016,86.96168934925768,14.62563645430248,22.995893501353887,100.59926358972766,89.88236308632301,10.716900503404645,12.080963226919975,2020-12-09,-6.477675097036965,131.2183303869051,-10.185706494607516,131.2183303869051,-10.61,2.120000000000001,9.874691358024693,12.73,-7.754691358024692,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,-1.1667901234567886,1.3233333333333306,3.374814814814812,0.3533333333333353,2.545999999999996,-1,1.0,-1,1,1,-1,3.0,3.0
-8.0,9,16.633333333333336,18.262139917695478,22.517880501997947,113.4,99.13333333333328,103.5,82.5,Sat 12-12 12-12,N,341 (Ⅳ),Texas A&M Corpus Chris,"W, 77-57",63,121.4,42.6,6.3,89.8,51.0,31.5,5.0,-28.0,129.0,103.8375,94.275,103.49519890260632,105.48199187044644,88.81875,74.1375,85.23305898491084,82.96411136844847,20201212,106.4,84.8,21.60000000000001,91.2,101.8,-10.599999999999994,107.2,84.2,22.9,69.3,-24.180171125029176,132.86838921636482,70.58150782361308,-22.37214842544035,134.0792055291112,-25.82724600779805,134.0792055291112,-22.37214842544035,134.0792055291112,-25.82724600779805,117.92620722023463,91.9,104.3,-12.4,71.6,106.4,84.8,21.60000000000001,91.2,101.8,-10.599999999999994,-27.0489969772511,120.12737872567801,0,100.75259061608179,85.56645717510409,15.186133440977699,21.81458146048909,83.55398202202427,100.50587476181411,-16.95189273978984,-20.383657696636966,2020-12-12,-21.49863561118972,124.7654126849425,-29.78415347211387,124.7654126849425,-13.899999999999999,-11.779999999999998,7.28979423868313,2.120000000000001,-19.069794238683127,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,-4.63786008230452,-6.266666666666662,-1.1667901234567886,-1.6828571428571415,0.3533333333333353,-1,-1.0,-1,-1,1,-3,-1.0,3.0
-4.5,15,13.100000000000005,17.34142661179699,21.241902228907414,99.8,99.36666666666665,84.3,86.26666666666668,Thu 12-17 12-17,H,23 (I-A),Kansas,"L, 58-57",64,88.6,37.1,10.9,90.1,46.8,24.9,-20.5,-3.5,135.5,101.81875,103.8375,102.26346593507091,104.44890243945616,86.55937499999997,88.81875,84.9220393232739,83.20700021054873,20201217,107.2,85.6,21.60000000000001,108.3,89.6,18.700000000000006,107.8,85.1,22.72,68.2,-4.132817973939062,131.9266190120797,70.81934566145092,-6.25465567754577,136.86174687994156,-4.098209577363843,136.86174687994156,-6.25465567754577,136.86174687994156,-4.098209577363843,123.5795330623468,109.6,87.1,22.55,73.0,107.2,85.6,21.60000000000001,108.3,89.6,18.700000000000006,-7.307027553896505,128.65047073850994,0,103.86154753714607,87.11023610410845,16.751311433037614,22.83829681609581,102.2079519030083,97.79336150338742,4.414590399620877,5.233068396529558,2020-12-17,-12.95203250557811,138.38693961622351,-14.729168647726695,138.38693961622351,-7.719999999999999,-19.499999999999996,0.9331961591220876,-11.779999999999998,-20.433196159122083,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,-5.378573388203009,-9.619999999999994,-4.63786008230452,-2.4375,-1.6828571428571415,-1,-1.0,-1,-1,-1,-3,-3.0,-1.0
-0.5,26,17.400000000000006,20.49428440786466,22.25246546001516,113.9,109.0333333333333,87.1,91.63333333333333,Tue 12-22 12-22,A,28 (I-A),Oklahoma,"W, 69-67",68,101.0,52.6,19.0,98.1,46.3,23.4,-1.0,-2.5,137.0,107.859375,101.81875,106.14231062338058,106.1672838141005,86.82968749999998,86.55937499999997,85.64802621551594,83.91481835408533,20201222,106.6,85.9,20.69999999999999,111.8,95.2,16.599999999999994,107.5,85.1,22.38,67.1,-0.9459637328022552,133.3276265225449,68.24537695590327,0.05764705242508228,137.97841423716437,-4.8545843838847285,137.97841423716437,0.05764705242508228,137.97841423716437,-4.8545843838847285,136.94829920395247,111.4,94.6,16.82,71.5,106.6,85.9,20.69999999999999,111.8,95.2,16.599999999999994,-2.609251933153742,135.35917810365152,0,102.6501645324572,85.5866981026773,17.063466429779893,21.579827092899567,106.19409721016804,104.16053816422782,2.0335590459402226,8.547068490006941,2020-12-22,-7.337275211208123,137.97368616867246,-6.695541693152364,137.97368616867246,3.620000000000001,-15.879999999999995,-5.8778692272519395,-19.499999999999996,-10.002130772748057,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,-1.8857155921353375,-4.979999999999993,-5.378573388203009,-1.7644444444444431,-2.4375,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-8.0,25,22.5,22.062856271909776,22.788380830921486,108.6,107.43333333333332,83.4,84.93333333333331,Tue 12-29 12-29,H,323 (Ⅳ),Incarnate Word,"W, 79-51",66,119.4,48.5,10.6,77.1,40.5,30.2,0.5,-36.0,129.5,108.2296875,107.859375,106.96154041558708,106.60959584790041,85.11484375,86.82968749999998,84.8986841436773,83.8212150169789,20201229,106.8,85.8,21.0,95.7,108.9,-13.200000000000005,107.9,85.3,22.57,67.1,-30.847470540652168,130.40601864290107,65.85917496443813,-26.844511997013896,134.64620082303765,-20.552861249767464,134.64620082303765,-26.844511997013896,134.64620082303765,-20.552861249767464,120.0282223052017,91.6,110.9,-19.37,69.0,106.8,85.8,21.0,95.7,108.9,-13.200000000000005,-22.848390898460934,120.69632073165306,0,101.12821815681606,86.8853033912019,14.24291476561416,17.862990187535587,95.04443926378474,100.39464335119264,-5.350204087407903,-11.39924094683409,2020-12-29,-16.277000997250695,124.69449726625666,-21.175518507190823,124.69449726625666,2.4299999999999997,-13.449999999999996,-9.211912818167958,-15.879999999999995,-4.238087181832038,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,-0.5071437280902238,-0.07000000000000028,-1.8857155921353375,-1.3449999999999989,-1.7644444444444431,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
