ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,PPP1,EFG%1,TO%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
1.5,-1,,-1.9000000000000057,-1.9000000000000057,103.5,0.0,105.4,0.0,Fri 11-27 11-27,N,262 (Ⅳ),Little Rock,"W, 77-70",71,108.2,51.7,23.9,98.4,55.2,28.1,3.5,-5.5,143.5,103.5,0.0,103.5,103.5,105.4,0.0,105.4,105.4,20201127,105.8,94.4,11.399999999999993,105.5,101.1,4.400000000000006,103.5,94.8,8.78,71.6,-4.914781121419921,145.03104219443327,73.53513513513514,-5.540596111335205,155.24597279548203,1.4374838456366916,155.24597279548203,-5.540596111335205,155.24597279548203,1.4374838456366916,158.0475659755278,101.0,99.0,1.94,72.2,105.8,94.4,11.399999999999993,105.5,101.1,4.400000000000006,1.4374838456366916,158.0475659755278,0,0.0,0.0,0.0,0.0,101.09745686581672,102.97101616739124,-1.8735593015745167,-2.886198255017835,2020-11-27,-0.0,0.0,,0.0,-9.78,-9.78,0.0,0.0,-9.78,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,-10.680000000000005,,0.0,-9.78,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
-14.0,0,,-1.5666666666666724,-1.7181818181818238,89.1,0.0,90.0,0.0,Tue 12-01 12-01,N,104 (Ⅱ),Winthrop,"L, 75-67",80,83.7,39.6,25.0,93.7,46.3,22.5,-2.0,-6.0,144.0,96.3,103.5,98.70000000000002,100.88181818181818,97.7,105.4,100.26666666666668,102.6,20201201,103.6,92.3,11.299999999999995,101.1,99.3,1.7999999999999972,104.6,95.6,8.98,71.4,-4.8777134124541135,154.15957764803295,76.47823613086771,-7.464802968089856,153.2005273068512,9.580630299144389,153.2005273068512,-7.464802968089856,153.2005273068512,9.580630299144389,144.5772731984459,102.6,99.9,2.64,75.3,103.6,92.3,11.299999999999995,101.1,99.3,1.7999999999999972,9.580630299144389,144.5772731984459,0,101.39728294931419,101.43872081978287,-0.04143787046868397,1.710224557480998,0.0,0.0,0.0,0.0,2020-12-01,-0.0,0.0,,0.0,-8.98,-18.759999999999998,-9.78,-9.78,-8.979999999999999,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,-10.546666666666672,,-10.680000000000005,-9.379999999999999,-9.78,-1,-1.0,-1,-1,-1,-3,-3.0,0.0
-12.0,-13,-5.466666666666669,-5.57777777777778,-3.8785123966942185,96.5,96.36666666666667,110.1,101.83333333333331,Wed 12-02 12-02,N,107 (Ⅲ),Duquesne,"L, 81-68",74,91.9,50.8,25.7,109.5,51.9,17.6,11.0,1.0,138.0,96.4,96.3,97.9666666666667,100.08512396694212,103.9,97.7,103.54444444444445,103.96363636363635,20201202,103.5,92.1,11.400000000000004,105.0,96.3,8.700000000000003,104.4,95.4,9.09,71.2,-0.4195141912061331,143.46216414258723,72.51664295874822,-2.1987970616335133,145.60440815269314,-12.791378846811742,145.60440815269314,-2.1987970616335133,145.60440815269314,-12.791378846811742,140.02939203580118,103.9,95.5,8.39,71.6,103.5,92.1,11.400000000000004,105.0,96.3,8.700000000000003,-12.823754648873864,140.13200680883037,0,97.05344814405869,98.57029277510141,-1.5168446310427157,-3.5375772994508363,95.111964520169,101.26363496481346,-6.151670444644466,-12.677586280154625,2020-12-02,-3.357110124353099,142.3838739842597,-6.628027678934494,142.3838739842597,-22.09,-40.849999999999994,-12.773333333333333,-18.759999999999998,-28.07666666666666,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-14.66777777777778,-14.556666666666668,-10.546666666666672,-13.616666666666667,-9.379999999999999,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-27.5,-15,-10.0,-8.885185185185186,-5.991510142749815,97.0,94.2,112.5,104.2,Thu 12-10 12-10,A,271 (Ⅳ),Coppin St.,"L, 85-80",84,95.7,40.9,19.1,101.6,62.3,20.3,21.0,-21.5,145.0,96.7,96.4,97.64444444444449,99.524192336589,108.2,103.9,106.52962962962965,105.51570247933884,20201210,101.4,92.8,8.600000000000009,86.5,99.9,-13.400000000000004,102.4,95.5,6.88,72.4,-12.842576859014741,145.4256122766792,78.16728307254624,-12.72046938796636,144.39479201058504,-1.400354436889683,144.39479201058504,-12.72046938796636,144.39479201058504,-1.400354436889683,133.9198099601323,86.8,102.2,-15.34,75.9,101.4,92.8,8.600000000000009,86.5,99.9,-13.400000000000004,-1.5342474686703147,133.9883069303072,0,93.18709808603303,101.79164510893305,-8.604547022900022,-6.268220607547164,94.63350890715763,94.63424408006313,-0.0007351729054931866,0.127266925860977,2020-12-10,10.617291999032133,147.39616915191812,7.120659737071804,147.39616915191812,-21.88,-62.72999999999999,-22.132222222222218,-40.849999999999994,-40.59777777777777,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,-15.765185185185185,-16.88,-14.66777777777778,-15.6825,-13.616666666666667,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
4.5,6,-7.4999999999999964,-3.7234567901234548,-3.7021446622498466,84.4,92.63333333333333,77.8,100.13333333333334,Sun 12-13 12-13,H,251 (Ⅳ),Norfolk St.,"W, 64-47",68,93.9,39.3,19.1,69.0,36.2,22.0,-25.5,-12.5,136.5,90.55,96.7,93.22962962962968,96.7743391844819,93.0,108.2,96.95308641975309,100.47648384673175,20201213,105.8,94.4,11.399999999999993,98.3,101.0,-2.700000000000003,102.1,96.8,5.34,73.2,-11.716795021187494,139.66439779540278,72.67937411095306,-14.605833533239021,148.67964180508312,0.7840888899917083,148.67964180508312,-14.605833533239021,148.67964180508312,0.7840888899917083,145.84707754067102,94.0,99.7,-5.7,69.8,105.8,94.4,11.399999999999993,98.3,101.0,-2.700000000000003,0.5406596235467707,145.82019084987914,0,94.03363646847762,102.05222685496024,-8.018590386482614,-0.9637278039118836,100.29453275516629,99.6584342944435,0.636098460722792,-2.267127654499724,2020-12-13,2.3423469366807836,145.5406279553958,-2.949451011318587,145.5406279553958,0.6600000000000001,-62.06999999999999,-35.66481481481481,-62.72999999999999,-26.405185185185182,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-9.063456790123455,-12.839999999999996,-15.765185185185185,-12.413999999999998,-15.6825,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-10.0,0,-3.0666666666666633,-2.582304526748969,-3.0835729054771472,85.5,88.96666666666665,85.8,92.03333333333336,Tue 12-15 12-15,H,319 (Ⅳ),USC Upstate,"W, 65-57",71,91.4,48.2,19.7,80.2,42.7,22.5,-25.0,-18.0,147.0,88.025,90.55,90.65308641975314,94.72445933275793,89.4,93.0,93.23539094650208,97.80803223823506,20201215,99.7,93.5,6.200000000000002,96.0,110.9,-14.900000000000004,101.7,95.8,5.81,72.6,-18.061490339063567,153.86763387058892,76.00796586059742,-20.50758992598911,155.97647641817161,-16.714300904031298,155.97647641817161,-20.50758992598911,155.97647641817161,-16.714300904031298,156.1868610135162,96.4,108.7,-12.3,73.6,99.7,93.5,6.200000000000002,96.0,110.9,-14.900000000000004,-16.781058887146816,156.11930540719266,0,93.6448528522673,97.7749973915007,-4.130144539233399,3.852677912145502,93.86908597630405,114.74509762313619,-20.87601164683214,-21.04624487455313,2020-12-15,-16.49731690298998,155.01560616583987,-20.87042904836907,155.01560616583987,-5.81,-67.88,-44.46654320987654,-62.06999999999999,-23.413456790123455,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,-8.392304526748969,-8.876666666666663,-9.063456790123455,-11.313333333333333,-12.413999999999998,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-1.5,0,2.200000000000003,-1.6215363511659808,-2.468377831754029,104.7,91.53333333333332,104.4,89.33333333333331,Sat 12-19 12-19,A,205 (Ⅲ),Elon,"W, 71-64",66,106.9,47.6,15.1,96.3,45.7,21.1,1.0,-8.5,134.0,96.3625,88.025,95.33539094650207,96.53819399952921,96.9,89.4,96.95692729766806,99.00657183128322,20201219,98.2,92.9,5.299999999999997,98.3,105.2,-6.900000000000006,100.5,95.4,5.07,72.0,-2.3425854645443422,137.335410987871,70.56614509246089,-4.721124804466442,140.31595405552554,4.225253187060234,140.31595405552554,-4.721124804466442,140.31595405552554,4.225253187060234,130.68282689799932,98.0,101.8,-3.73,68.9,98.2,92.9,5.299999999999997,98.3,105.2,-6.900000000000006,4.087888291763086,133.70279297146848,0,89.21343795189838,96.87582594874424,-7.662387996845851,-1.983162724392184,95.36396568556984,97.45727477642477,-2.0933090908549303,-0.9294706279379762,2020-12-19,7.554055872054427,129.62051737365928,2.690627293116748,129.62051737365928,-5.07,-72.94999999999999,-52.27102880658436,-67.88,-20.678971193415627,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,-6.691536351165981,-2.8699999999999974,-8.392304526748969,-10.42142857142857,-11.313333333333333,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
8.0,15,5.066666666666666,3.9856424325560136,0.7440545012921582,107.9,99.36666666666667,92.7,94.3,Tue 12-22 12-22,A,299 (Ⅳ),North Carolina A&T,"W, 86-65",77,111.5,45.3,14.3,84.3,34.7,14.3,6.5,-13.0,144.5,102.13125,96.3625,99.52359396433474,98.60397690870572,94.8,96.9,95.5379515317787,97.85992240741356,20201222,98.2,93.9,4.299999999999997,93.1,103.7,-10.600000000000009,101.1,95.8,5.25,71.5,-8.496793841656384,143.05443574816093,73.02560455192034,-6.805460199802539,141.0092007643263,-8.124491080978803,141.0092007643263,-6.805460199802539,141.0092007643263,-8.124491080978803,147.06050181430857,94.0,106.1,-12.09,71.8,98.2,93.9,4.299999999999997,93.1,103.7,-10.600000000000009,-4.305467325230629,139.82408728539744,0,91.45198195273741,96.44179029205428,-4.989808339316866,-0.7223581770287539,97.21838299433537,103.41791424194345,-6.199531247608078,0.10819350500668752,2020-12-22,3.3255297187931205,140.60834095769457,2.6449533498706472,140.60834095769457,9.75,-63.19999999999999,-59.164019204389575,-72.94999999999999,-4.0359807956104135,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,-1.2643575674439864,-0.18333333333333357,-6.691536351165981,-7.8999999999999995,-10.42142857142857,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-17.5,-16,-0.4333333333333324,-2.9429050449626564,-2.4457735898518704,91.3,101.3,108.1,101.73333333333332,Sat 1-02 1-02,H,132 (Ⅲ),East Tennessee St.,"L, 71-61",67,91.0,38.8,13.4,106.0,50.9,26.9,-2.0,-7.5,134.0,96.715625,102.13125,96.78239597622316,97.27598110712285,101.45,94.8,99.7253010211858,99.72175469697471,20210102,99.1,94.6,4.5,93.6,96.6,-3.0,101.8,96.1,5.69,71.8,-8.62357895730797,135.98045235189846,70.98293029871978,-8.96574737140783,133.99339078183345,-2.7321221732752563,133.99339078183345,-8.96574737140783,133.99339078183345,-2.7321221732752563,126.15979355716195,96.5,97.8,-1.3,69.5,99.1,94.6,4.5,93.6,96.6,-3.0,-4.613635697023249,126.24602005300162,0,93.207051814369,94.1215775490953,-0.9145257347263112,1.2757159694050364,93.68881031875827,95.08654140442827,-1.397731085670003,2.3110178138132023,2021-01-02,-3.919080248813472,128.43244868978195,-1.2882780241453418,128.43244868978195,-21.69,-84.88999999999999,-60.509346136259715,-63.19999999999999,-24.38065386374027,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,-8.632905044962657,-6.123333333333333,-1.2643575674439864,-9.43222222222222,-7.8999999999999995,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
10.5,9,2.566666666666668,1.1380633033582281,-0.31017839169698513,118.1,105.76666666666668,108.8,103.2,Wed 1-06 1-06,A,139 (Ⅱ),Wofford,"W, 84-75",69,122.2,55.5,16.0,109.1,52.7,23.3,20.0,1.5,139.0,107.4078125,96.715625,103.8882639841488,101.06216636037323,105.125,101.45,102.75020068079054,101.37234475207022,20210106,98.0,96.4,1.5999999999999943,103.8,102.9,0.8999999999999915,101.3,97.3,4.01,70.8,3.3421297861804646,137.82958505003137,67.27510668563299,3.3406406866863705,138.49697908386162,4.786739832794346,138.49697908386162,3.3406406866863705,138.49697908386162,4.786739832794346,134.92152141461602,105.4,102.0,3.37,66.8,98.0,96.4,1.5999999999999943,103.8,102.9,0.8999999999999915,7.858892409354013,138.07273250800318,0,93.21732763138992,97.8214734276964,-4.604145796306483,-4.912511385615395,100.94016559327879,100.13820736261259,0.8019582306662016,1.4971866564154508,2021-01-06,7.426910948150166,132.53673922167087,6.163666896227689,132.53673922167087,4.99,-79.89999999999999,-68.63623075750647,-84.88999999999999,-11.263769242493524,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-2.8719366966417716,-1.4433333333333316,-8.632905044962657,-7.989999999999999,-9.43222222222222,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
