ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
20.5,6,,6.299999999999997,6.299999999999997,98.0,0.0,91.7,0.0,Tue 11-09 11-09,A,124 (Ⅱ),Western Kentucky,"L, 79-74",80,92.8,56.0,28.8,25.8,19.0,99.1,48.4,21.3,32.6,46.9,13.5,25.5,139.5,98.0,0.0,98.0,98.0,91.7,0.0,91.7,91.7,20211109,92.3,109.5,-17.200000000000003,105.1,97.7,7.399999999999991,84.5,103.4,-18.91,74.5,23.47512289889562,143.51735793734744,76.40753911806544,23.919843858564533,160.71535670557694,-12.896894719323313,160.71535670557694,23.919843858564533,160.71535670557694,-12.896894719323313,137.76845751015915,103.3,96.1,7.22,72.1,92.3,109.5,-17.200000000000003,105.1,97.7,7.399999999999991,-12.896894719323313,137.76845751015915,0,98.31240731298936,103.10394472046671,-4.79153740747735,-1.7276485185885126,100.2244428065422,100.780534270893,-0.5560914643507999,-4.49220257546188,2021-11-09,7.742484935020855,158.04303640827996,-0.03945071934853672,158.04303640827996,24.91,24.91,0.0,0.0,24.91,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,3,0.007579219438719753,0.23044579386448616,25.209999999999997,,0.0,24.91,0.0,1,0.0,1,1,1,3,0.0,0.0
6.5,-10,,0.7333333333333347,3.2636363636363623,100.7,0.0,111.1,0.0,Wed 11-10 11-10,A,62 (I),Vanderbilt,"L, 91-72",78,92.5,55.8,30.8,22.2,32.7,116.9,51.6,19.3,43.6,51.6,19.0,25.5,144.0,99.35,98.0,98.9,98.49090909090908,101.4,91.7,98.16666666666669,95.22727272727272,20211110,92.3,109.5,-17.200000000000003,106.5,98.3,8.200000000000003,84.5,103.0,-18.49,74.9,25.76705011588715,146.24391902684334,76.92432432432435,24.892519050344703,163.4352854175892,4.3702117559363955,163.4352854175892,24.892519050344703,163.4352854175892,4.3702117559363955,149.49132807948195,106.1,95.8,10.31,72.2,92.3,109.5,-17.200000000000003,106.5,98.3,8.200000000000003,4.3702117559363955,149.49132807948195,0,98.20341504990188,103.07180777361664,-4.868392723714763,-1.5107284901381184,0.0,0.0,0.0,0.0,2021-11-10,-0.0,0.0,,0.0,8.489999999999998,33.4,24.91,24.91,8.489999999999998,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,3,0.007579219438719753,0.5,19.223333333333333,,25.209999999999997,16.7,24.91,1,1.0,1,1,1,3,3.0,0.0
7.0,-11,-5.166666666666662,-3.311111111111108,0.597520661157025,83.2,93.96666666666664,94.6,99.13333333333333,Sat 11-13 11-13,A,79 (I),Missouri St.,"L, 78-60",74,81.2,41.9,21.7,22.5,19.4,105.6,49.2,19.0,35.1,30.2,-14.0,25.0,152.0,91.275,99.35,93.66666666666669,95.71074380165288,98.0,101.4,96.9777777777778,95.11322314049588,20211113,90.3,105.4,-15.100000000000009,104.1,97.4,6.699999999999989,85.0,103.5,-18.52,74.8,26.22991348018178,150.28987659492591,76.82162162162162,21.41777773438659,155.54280908239878,-4.392507710649941,155.54280908239878,21.41777773438659,155.54280908239878,-4.392507710649941,183.56911337991554,108.5,98.2,10.29,72.2,90.3,105.4,-15.100000000000009,104.1,97.4,6.699999999999989,-4.307760601033846,183.67991383978958,0,100.58500434697132,98.15389741060592,2.4311069363653957,-4.309220903057952,104.04451278979428,89.59803313147242,14.446479658321863,16.042112346488686,2021-11-13,13.636373606837523,151.07058171116864,17.911417193906672,151.07058171116864,7.52,40.92,27.740000000000002,33.4,13.18,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,3,0.008633971998087797,0.09702306611323852,15.208888888888891,13.353333333333339,19.223333333333333,13.64,16.7,1,1.0,1,1,1,3,3.0,3.0
11.0,4,-5.933333333333327,-0.8740740740740718,1.216153268219384,95.3,93.06666666666666,91.3,99.0,Tue 11-16 11-16,A,44 (I),Iowa St.,"L, 68-60",74,81.2,47.4,31.1,34.3,21.1,92.1,37.9,10.8,28.9,27.1,-15.5,19.0,143.5,93.2875,91.275,94.21111111111114,95.63606311044326,94.65,98.0,95.0851851851852,94.41990984222387,20211116,90.3,105.5,-15.200000000000005,97.1,97.0,0.0999999999999943,84.9,103.0,-18.14,74.3,21.938635878133233,140.17837058806222,77.15362731152204,15.888450510941581,150.02529023194455,12.5250431494463,150.02529023194455,15.888450510941581,150.02529023194455,12.5250431494463,122.92679362551705,99.7,93.3,6.38,73.0,90.3,105.5,-15.200000000000005,97.1,97.0,0.0999999999999943,12.730286554964746,122.94818659345992,0,101.5602111168689,95.04187198442035,6.518339132448546,-2.812311875534824,112.61002034154043,101.01073421139806,11.599286130142374,15.027766644022153,2021-11-16,8.120139470865027,165.22141398724506,16.056514588035313,165.22141398724506,22.14,63.06,32.13333333333334,40.92,30.926666666666662,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,3,0.03518483230489555,0.21965863715891465,17.265925925925927,12.206666666666674,15.208888888888891,15.765,13.64,1,1.0,1,1,1,3,3.0,3.0
2.0,-8,-5.13333333333333,-3.2493827160493813,-0.4595109623659585,116.0,98.16666666666669,124.0,103.3,Thu 11-18 11-18,A,13 (I-A),Iowa,"L, 108-82",74,111.1,58.5,19.0,21.2,32.2,146.3,65.8,13.5,47.4,21.9,38.5,28.0,151.5,104.64375,93.2875,101.4740740740741,99.33859709036268,109.325,94.65,104.72345679012346,99.79810805272864,20211118,89.7,104.2,-14.5,108.9,95.3,13.600000000000009,85.1,102.2,-17.14,74.1,31.42475121426145,150.16649774707574,77.05135135135134,26.402370419333565,157.14355208641524,25.297705384639706,157.14355208641524,26.402370419333565,157.14355208641524,25.297705384639706,160.669516280411,112.7,93.6,19.07,73.1,89.7,104.2,-14.5,108.9,95.3,13.600000000000009,25.509682308005814,160.78359509580392,0,108.15593585832252,101.47785548400394,6.678080374318583,-0.9985056163340484,118.44428471277052,106.73690755498669,11.707377157783839,16.099803629132577,2021-11-18,8.92862349705456,185.4885087004019,15.494816728369301,185.4885087004019,9.14,72.2,42.44222222222223,63.06,29.757777777777775,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.003830380567589775,0.1975666260105151,13.890617283950618,12.006666666666671,17.265925925925927,14.440000000000001,15.765,1,1.0,1,1,1,3,3.0,3.0
4.0,-10,-4.933333333333333,-5.76625514403292,-2.33959987829942,87.2,99.5,98.0,104.43333333333334,Sat 11-20 11-20,H,316 (Ⅳ),North Carolina Central,"W, 80-74 OT",84,95.1,49.2,20.2,36.8,45.2,88.0,40.8,20.2,25.0,35.2,17.0,-2.0,137.0,95.921875,104.64375,96.71604938271606,97.13157943756946,103.6625,109.325,102.48230452674898,99.47117931586888,20211120,90.7,105.3,-14.599999999999994,94.5,105.8,-11.299999999999995,86.3,103.0,-16.78,73.6,-4.246695725996119,132.21220460254222,72.97183499288764,-1.435684091579958,145.7721555827631,-3.078342997239645,145.7721555827631,-1.435684091579958,145.7721555827631,-3.078342997239645,136.3119388656404,88.0,105.9,-17.91,69.7,90.7,105.3,-14.599999999999994,94.5,105.8,-11.299999999999995,-3.2353558709512713,136.3607422612358,0,107.6393644872403,102.21332641950627,5.4260380677340265,0.4844164136867015,98.8800686130556,86.87661150583307,12.00345710722253,12.02944065780464,2021-11-20,1.572810987242903,145.02658660724234,6.253562385637409,145.02658660724234,6.780000000000001,78.98,52.36148148148149,72.2,26.618518518518513,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,-3,0.5755320005597261,0.4404645489424708,11.013744855967081,11.846666666666668,13.890617283950618,13.163333333333334,14.440000000000001,1,1.0,1,1,1,3,3.0,3.0
-9.0,-37,-18.73333333333333,-16.310836762688616,-8.714218082244981,89.5,97.56666666666666,126.9,116.3,Sun 11-28 11-28,H,304 (Ⅳ),North Alabama,"L, 81-69",74,93.2,42.5,24.3,42.9,43.3,109.5,55.6,17.6,30.3,22.2,8.5,3.0,141.5,92.7109375,95.921875,94.31069958847738,95.74401953982954,115.28125,103.6625,110.621536351166,104.45823762207452,20211128,92.0,105.0,-13.0,91.7,103.8,-12.099999999999994,87.6,103.8,-16.16,72.8,-0.7174176737814832,135.51354577900895,72.8,-3.4093269555104513,142.75002966452536,-8.243649735188006,142.75002966452536,-3.4093269555104513,142.75002966452536,-8.243649735188006,127.84057442258964,92.2,104.4,-12.17,70.3,92.0,105.0,-13.0,91.7,103.8,-12.099999999999994,-9.885513127252581,126.61692011569664,0,106.20491220410798,102.26039155894956,3.94452064515842,-2.265982968364127,99.10018817478628,91.8938577991876,7.206330375598682,6.350932722083632,2021-11-28,-1.3583274384394457,148.0148192994953,4.193080814756044,148.0148192994953,-20.84,58.14,61.234320987654336,78.98,-3.094320987654335,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,-3,0.38754848109799234,0.5514653888517793,-0.15083676268861623,-2.5733333333333306,11.013744855967081,8.305714285714286,13.163333333333334,-1,1.0,-1,1,1,-1,3.0,3.0
-19.5,-27,-25.066666666666663,-19.873891175125745,-12.038905703654985,93.3,90.0,120.3,115.06666666666666,Wed 12-01 12-01,A,43 (I),Dayton,"L, 93-54",68,78.9,39.8,24.8,26.3,27.8,135.8,55.6,11.7,42.9,42.9,8.0,19.5,139.0,93.00546875,92.7109375,93.9737997256516,95.29965235076962,117.790625,115.28125,113.84769090077732,107.3385580544246,20211201,92.3,106.9,-14.600000000000009,101.6,99.2,2.3999999999999915,88.3,105.4,-17.05,73.0,19.20517390289914,131.39699880292355,67.08108108108108,15.57380221477176,137.9481139938879,15.8156819636949,137.9481139938879,15.57380221477176,137.9481139938879,15.8156819636949,141.70139357712657,104.1,97.9,6.23,64.6,92.3,106.9,-14.600000000000009,101.6,99.2,2.3999999999999915,10.849050301025205,139.08248146465266,0,103.77061983133206,106.49893544722204,-2.728315615889983,-4.400001975180638,99.77254264667808,100.80580752965383,-1.0332648829757574,-11.199445872309074,2021-12-01,5.19268812118645,145.002243002101,-2.829370099047928,145.002243002101,-9.95,48.19,60.20288065843623,58.14,-12.01288065843623,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.0316454161166726,0.310461822880993,-2.8238911751257447,-8.016666666666662,-0.15083676268861623,6.02375,8.305714285714286,-1,-1.0,-1,1,1,-1,-1.0,3.0
-2.5,-18,-27.46666666666667,-19.249260783417164,-13.122741030263168,77.1,86.63333333333333,95.1,114.1,Wed 12-08 12-08,H,168 (Ⅳ),Samford,"L, 74-64",79,81.1,35.4,17.7,26.1,38.5,93.8,43.4,25.3,42.6,33.8,-16.5,7.5,154.5,85.052734375,93.00546875,88.34919981710107,91.99062465062968,106.4453125,117.790625,107.59846060051822,105.11336568089284,20211208,92.2,108.2,-16.0,98.7,106.3,-7.599999999999994,88.6,106.5,-17.91,72.8,5.21943526578859,147.632134629961,75.38890469416786,2.350209262947459,157.54699753888715,3.8605750663672427,157.54699753888715,2.350209262947459,157.54699753888715,3.8605750663672427,155.97244575444176,98.4,104.2,-5.76,72.8,92.2,108.2,-16.0,98.7,106.3,-7.599999999999994,1.3683235306243644,152.03333882697729,0,100.44650678721383,105.93350942197245,-5.4870026347586105,-6.674295760680887,100.61253775567536,98.15346967254057,2.4590680831347953,0.4388491080373582,2021-12-08,1.7305478099527676,157.8507259498158,3.3174443634784296,157.8507259498158,-0.08999999999999986,48.099999999999994,56.198587105624156,48.19,-8.098587105624162,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.23752526202697655,0.43454516180836456,-1.3392607834171635,-9.556666666666668,-2.8238911751257447,5.344444444444443,6.02375,-1,-1.0,-1,1,1,-1,-1.0,-1.0
-2.0,-18,-21.066666666666663,-18.899507188944774,-14.045879024760772,89.0,86.46666666666665,107.2,107.53333333333336,Sat 12-11 12-11,A,263 (Ⅳ),Pepperdine,"L, 79-62",73,85.4,40.0,16.5,26.7,26.2,108.8,61.8,24.8,27.6,27.3,-10.0,15.0,151.0,87.0263671875,85.052734375,88.56613321140071,91.44687471415156,106.82265625,106.4453125,107.46564040034548,105.49275373891234,20211211,91.2,107.8,-16.599999999999994,97.9,101.7,-3.799999999999997,88.2,106.3,-18.07,73.6,14.239862499790604,144.79045611137977,73.70469416785207,13.815414282816675,149.66438878769202,19.60624426210717,149.66438878769202,13.815414282816675,149.66438878769202,19.60624426210717,151.60306336829365,99.2,103.8,-4.53,70.4,91.2,107.8,-16.599999999999994,97.9,101.7,-3.799999999999997,11.071376727555831,147.8429916768889,0,100.43795505498028,106.43230651175976,-5.9943514567794836,-7.0364301036275965,92.72369873385058,104.49601592437396,-11.772317190523381,-8.680763265327277,2021-12-11,-0.42556781492221774,153.29719010788529,0.6896003785075209,153.29719010788529,0.07000000000000028,48.169999999999995,53.499058070416105,48.099999999999994,-5.32905807041611,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,-3,0.07656372550983481,0.516164811791981,-0.829507188944774,-2.9966666666666626,-1.3392607834171635,4.817000000000002,5.344444444444443,-1,-1.0,-1,1,1,-1,-1.0,-1.0
