ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-6.0,17,,17.099999999999994,17.099999999999994,97.3,0.0,80.2,0.0,Tue 11-09 11-09,H,148 (Ⅳ),Portland,"W, 76-60",76,99.7,52.3,24.9,36.1,13.6,78.7,46.3,27.5,12.1,20.4,-21.0,-22.0,157.0,97.3,0.0,97.3,97.3,80.2,0.0,80.2,80.2,20211109,107.5,96.5,11.0,102.3,112.4,-10.100000000000009,106.5,93.4,13.06,74.3,-26.465693494153726,155.43370865452673,77.57638691322902,-22.378162453051516,174.3646321358559,-21.503513732793127,174.3646321358559,-22.378162453051516,174.3646321358559,-21.503513732793127,130.31885068395195,92.0,107.6,-15.59,73.4,107.5,96.5,11.0,102.3,112.4,-10.100000000000009,-21.503513732793127,130.31885068395195,0,99.61059960211264,94.49552572878804,5.115073873324604,5.345629428880213,97.42183930894868,105.98784017762408,-8.566000868675403,-15.668778646453076,2021-11-09,-15.085668803130545,156.81820241257384,-18.362240783114657,156.81820241257384,3.9399999999999995,3.9399999999999995,0.0,0.0,3.9399999999999995,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.9819250838115705,0.9246026878895668,4.039999999999994,,0.0,3.9399999999999995,0.0,1,0.0,1,1,1,3,0.0,0.0
-9.5,-3,,10.36666666666666,13.42727272727272,98.8,0.0,101.9,0.0,Thu 11-11 11-11,H,160 (Ⅳ),UC Riverside,"L, 66-65",66,97.8,43.0,15.0,31.7,20.3,99.3,49.2,19.6,32.5,16.4,-7.5,-8.5,138.5,98.05,97.3,97.8,97.57272727272726,91.05,80.2,87.43333333333334,84.14545454545454,20211111,104.0,93.2,10.799999999999995,102.4,95.0,7.400000000000006,105.3,93.5,11.8,73.1,-10.39335807855769,137.7363247475047,71.5402560455192,-6.441167543091581,142.22834795883662,-13.524870104265691,142.22834795883662,-6.441167543091581,142.22834795883662,-13.524870104265691,120.64471510458975,98.4,96.1,2.24,68.8,104.0,93.2,10.799999999999995,102.4,95.0,7.400000000000006,-13.524870104265691,120.64471510458975,0,94.33757098386914,99.33143815698176,-4.993867173112619,-9.709155393663757,97.44661260969492,95.64465174537597,1.801960864318957,-0.8103198374354152,2021-11-11,0.973875343293102,136.74592099457203,4.468481805930551,136.74592099457203,-14.8,-10.860000000000001,3.9399999999999995,3.9399999999999995,-14.8,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,3,0.790893043407255,0.46305107397281753,-1.4333333333333407,,4.039999999999994,-5.43,3.9399999999999995,-1,1.0,-1,-1,1,-3,3.0,0.0
-7.0,-3,3.3999999999999964,5.644444444444442,10.295041322314043,100.3,98.8,104.1,95.4,Mon 11-15 11-15,H,266 (Ⅳ),North Florida,"W, 72-63",67,107.0,54.2,17.8,35.9,30.0,93.6,44.6,17.8,22.2,30.4,-13.0,-16.0,148.0,99.175,98.05,98.63333333333335,98.0685950413223,97.575,91.05,92.9888888888889,87.77355371900825,20211115,103.8,93.6,10.200000000000005,94.3,105.0,-10.700000000000005,105.7,93.9,11.8,72.9,-17.458898708405457,149.90466047669952,73.41849217638693,-19.700658338338954,148.49095710634856,-10.414324672822456,148.49095710634856,-19.700658338338954,148.49095710634856,-10.414324672822456,135.24388078408774,99.3,105.4,-6.08,70.8,103.8,93.6,10.200000000000005,94.3,105.0,-10.700000000000005,-10.30727053884663,135.34487389705887,0,95.70559693618058,101.84411584845697,-6.138518912276382,-11.216581714719338,92.03958886099156,107.23410817529566,-15.194519314304102,-16.005505633581553,2021-11-15,-10.80032375978702,147.57516566404007,-5.291868868660956,147.57516566404007,-14.8,-25.660000000000004,-0.9933333333333336,-10.860000000000001,-24.66666666666667,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.9362218501099964,0.848166692899907,-6.1555555555555586,-8.400000000000004,-1.4333333333333407,-8.553333333333335,-5.43,-1,-1.0,-1,-1,-1,-3,-3.0,3.0
6.0,17,3.3999999999999964,9.462962962962958,11.532306536438762,112.0,103.7,94.9,100.3,Thu 11-18 11-18,A,28 (I-A),San Diego St.,"L, 65-63",67,93.4,42.4,16.3,25.0,30.5,96.4,45.1,16.3,31.3,54.9,-5.0,8.0,133.0,105.5875,99.175,103.0888888888889,100.60157776108188,96.2375,97.575,93.62592592592594,89.0692712246431,20211118,102.7,93.8,8.900000000000006,103.0,89.2,13.799999999999995,105.1,93.9,11.19,71.8,8.194175236842916,133.42250546637155,70.0637268847795,7.369006033885377,135.09220292585968,8.033333182833513,135.09220292585968,7.369006033885377,135.09220292585968,8.033333182833513,124.01900723625928,105.2,87.9,17.35,68.6,102.7,93.8,8.900000000000006,103.0,89.2,13.799999999999995,7.972249261961903,123.94777712976494,0,94.3799889453718,99.9250293760524,-5.5450404306805865,-12.155183337328245,96.0839563512919,94.43334247003308,1.6506138812588205,4.750200388597087,2021-11-18,8.655505991188875,132.91791429020293,13.733691336923222,132.91791429020293,5.8100000000000005,-19.85,-9.215555555555557,-25.660000000000004,-10.634444444444444,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.22305842386064167,0.20487492969370336,-1.7270370370370411,-7.790000000000003,-6.1555555555555586,-4.9625,-8.553333333333335,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
0.0,5,6.099999999999999,7.975308641975307,10.34461443890444,101.6,104.63333333333333,96.6,98.53333333333332,Wed 11-24 11-24,N,5 (I-A),Baylor,"L, 75-63",68,92.1,44.6,21.9,26.3,28.6,109.6,47.9,11.7,36.6,12.7,-1.0,12.0,139.0,103.59375,105.5875,102.5925925925926,100.7831090772488,96.41875,96.2375,94.61728395061728,90.43849463834437,20211124,103.5,94.5,9.0,112.4,90.3,22.10000000000001,106.0,94.2,11.82,70.5,10.04667633383579,141.9236571198064,70.80085348506401,9.241362072992075,144.6444300757946,13.983227599235692,144.6444300757946,9.241362072992075,144.6444300757946,13.983227599235692,131.81567551751937,114.5,88.3,26.21,70.6,103.5,94.5,9.0,112.4,90.3,22.10000000000001,13.670391470827377,131.97350697810492,0,99.61192958688206,98.15376183930267,1.458167747579381,-3.51021982542993,104.53667625411416,89.60555934134464,14.931116912769511,20.742036497238956,2021-11-24,9.669730674713989,138.98407818336767,17.170804465834962,138.98407818336767,-6.82,-26.67,-12.760370370370373,-19.85,-13.90962962962963,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.12654895447355774,0.1785443407482572,-3.8446913580246935,-5.7200000000000015,-1.7270370370370411,-5.334000000000001,-4.9625,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-6.0,0,7.63333333333333,5.583539094650204,8.609229995467267,114.7,109.43333333333332,113.9,101.8,Thu 11-25 11-25,N,45 (Ⅱ),Syracuse,"L, 92-84",72,115.9,55.8,11.0,28.6,21.7,126.9,60.7,15.2,37.5,44.3,33.5,2.0,142.5,109.146875,103.59375,106.6283950617284,103.31345288138536,105.159375,96.41875,101.0448559670782,94.70422288591811,20211125,103.8,94.6,9.200000000000005,108.6,98.2,10.399999999999991,106.0,94.5,11.55,69.9,0.4630571389142375,143.29291095942762,69.30341394025605,0.5704273115220246,145.20865752829027,1.4986508058724437,145.20865752829027,0.5704273115220246,145.20865752829027,1.4986508058724437,145.4173152264039,110.3,97.7,12.59,69.7,103.8,94.6,9.200000000000005,108.6,98.2,10.399999999999991,1.4749496313490154,145.4761241036736,0,100.079066250447,102.08829619911312,-2.0092299486661176,-5.0204352912661285,109.08497160828507,103.9545608012287,5.1304108070563785,1.337938991634573,2021-11-25,5.197866442714897,152.82325389331055,4.406570449149456,152.82325389331055,-11.55,-38.22,-17.396913580246917,-26.67,-20.823086419753082,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.4244679994402739,0.31028774292369965,-5.966460905349797,-3.9166666666666705,-3.8446913580246935,-6.369999999999999,-5.334000000000001,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-11.0,-9,-1.1333333333333353,0.6556927297668027,5.3711881781095805,107.0,107.76666666666664,116.2,108.9,Fri 11-26 11-26,N,39 (I-A),Loyola Chicago,"L, 77-59",62,94.7,44.8,19.3,20.0,39.6,123.6,61.5,17.7,33.3,30.8,1.5,7.0,134.5,108.0734375,109.146875,106.7522633744856,103.98373417567892,110.6796875,105.159375,106.0965706447188,98.61254599756936,20211126,103.5,95.0,8.5,107.3,92.4,14.899999999999991,106.9,96.0,10.87,69.8,3.894717000488299,136.2581939610624,67.11920341394026,4.3335333404103125,135.87872536605732,6.0326249423804486,135.87872536605732,4.3335333404103125,135.87872536605732,6.0326249423804486,139.42303705532782,109.3,92.7,16.69,67.6,103.5,95.0,8.5,107.3,92.4,14.899999999999991,9.011638410703469,135.1210373157961,0,99.24171441478092,105.3022246749159,-6.06051026013499,-7.354994448530743,109.9212583804218,91.7662362280022,18.155022152419605,22.072282736140444,2021-11-26,16.97316219294091,142.24107345472981,19.751354032763494,142.24107345472981,-19.869999999999997,-58.089999999999996,-24.33794238683128,-38.22,-33.752057613168716,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.2524925375469229,0.05299402999961844,-10.214307270233196,-12.003333333333334,-5.966460905349797,-8.298571428571428,-6.369999999999999,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-20.0,-23,-10.46666666666667,-7.229538180155467,0.2127903275442006,49.9,90.53333333333336,72.9,101.0,Wed 12-01 12-01,H,42 (Ⅱ),Washington St.,"L, 51-29",66,44.1,23.7,22.8,20.8,14.0,77.6,36.4,22.8,34.1,23.7,-59.5,2.0,139.5,78.98671875,108.0734375,87.80150891632374,94.15032796191912,91.78984375,110.6796875,95.0310470964792,93.93753763437492,20211201,105.0,99.1,5.900000000000006,108.9,96.7,12.200000000000005,107.4,98.0,9.34,68.7,-2.395694606655127,140.74032931235394,66.94096728307255,0.3576796227696093,143.5873490514535,6.649607274913312,143.5873490514535,0.3576796227696093,143.5873490514535,6.649607274913312,151.36255531329502,109.0,97.3,11.66,68.5,105.0,99.1,5.900000000000006,108.9,96.7,12.200000000000005,4.911097401285084,147.11190890148404,0,91.69544767852337,98.94743459689654,-7.251986918373177,-10.448777027286551,105.11808630984484,94.2652163321585,10.852869977686339,2.521461730882754,2021-12-01,8.40024935291153,130.33190198021134,6.882348901262354,130.33190198021134,-32.34,-90.43,-35.58862825788752,-58.089999999999996,-54.841371742112486,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,3,0.4244679994402739,0.21184851908378266,-16.56953818015547,-19.806666666666672,-10.214307270233196,-11.30375,-8.298571428571428,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
11.0,15,-5.600000000000001,0.3136412132296895,2.97410117708162,101.2,86.03333333333335,85.8,91.63333333333333,Sun 12-05 12-05,A,71 (Ⅱ),Oregon,"W, 69-67 OT",72,96.1,53.4,22.3,24.2,20.7,93.3,45.0,18.1,28.9,35.0,3.5,9.0,132.5,90.093359375,78.98671875,92.2676726108825,95.43208651429748,88.794921875,91.78984375,91.9540313976528,92.45798533721585,20211205,99.9,96.9,3.0,109.2,98.0,11.200000000000005,103.4,96.4,7.01,68.2,7.757317425693344,131.75468796467365,63.83442389758179,8.92100419163583,133.61983089754378,4.771940025884955,133.61983089754378,8.92100419163583,133.61983089754378,4.771940025884955,124.5519576773962,110.8,97.1,13.66,65.8,99.9,96.9,3.0,109.2,98.0,11.200000000000005,9.213899442661141,128.8559800323428,0,92.18657483997454,98.6016463892585,-6.415071549283965,-9.870393957232508,104.90384591920908,99.55197655179832,5.351869367410757,0.7116855618166913,2021-12-05,11.22233975259114,128.11530339471727,8.460523644131904,128.11530339471727,7.99,-82.44000000000001,-53.869085505258354,-90.43,-28.570914494741658,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,-3,0.19568296915377603,0.1425811926958176,-6.69635878677031,-12.610000000000001,-16.56953818015547,-9.16,-11.30375,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
1.5,15,2.766666666666668,5.509094142153128,5.324264599430418,101.5,84.2,85.6,81.43333333333334,Thu 12-09 12-09,H,91 (Ⅲ),Grand Canyon,"W, 67-62",71,94.7,33.6,14.1,29.5,45.9,87.6,37.0,15.6,37.7,17.8,-2.5,-3.5,131.5,95.7966796875,90.093359375,95.34511507392168,96.53534351169792,87.1974609375,88.794921875,89.83602093176854,91.2110789122675,20211209,99.7,96.6,3.1000000000000085,104.7,98.6,6.1000000000000085,103.7,96.2,7.55,67.8,-5.772769852396671,125.24872686913196,62.68847795163584,-1.7687228842380591,128.34971774363942,-0.07438998844744683,128.34971774363942,-1.7687228842380591,128.34971774363942,-0.07438998844744683,118.58451355559153,102.4,98.5,3.95,65.0,99.7,96.6,3.1000000000000085,104.7,98.6,6.1000000000000085,0.22967482343118878,121.74039804114196,0,92.88316842737868,97.41620218218868,-4.533033754810006,-7.654459405601603,97.61048198412306,97.57706313900572,0.03341884511733895,0.4272140194820762,2021-12-09,-0.47860506100881395,119.48556144803666,3.3744297823864287,119.48556144803666,7.45,-74.99000000000001,-63.392723670172245,-82.44000000000001,-11.597276329827764,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.6305586598182363,0.5181780664964224,-2.040905857846872,-4.783333333333331,-6.69635878677031,-7.4990000000000006,-9.16,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
