ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-22.5,-19,,-19.599999999999994,-19.599999999999994,84.0,0.0,103.6,0.0,Fri 11-12 11-12,A,19 (I-A),Illinois,"L, 92-53",76,69.4,33.1,24.9,23.8,27.1,120.5,49.3,17.0,52.2,54.3,5.0,16.5,140.0,84.0,0.0,84.0,84.0,103.6,0.0,103.6,103.6,20211112,102.5,102.0,0.5,110.8,88.8,22.0,100.2,101.8,-1.59,70.9,23.20519298445646,144.0711488993383,72.41280227596017,20.519659136624625,151.55916739988936,33.594952167059255,151.55916739988936,20.519659136624625,151.55916739988936,33.594952167059255,125.74045967044509,110.9,86.1,24.83,71.8,102.5,102.0,0.5,110.8,88.8,22.0,33.594952167059255,125.74045967044509,0,91.40751434853992,102.21623262955214,-10.808718281012219,-3.021264417132143,99.69935168666076,100.58939466021056,-0.8900429735497966,1.1733638152464705,2021-11-12,11.397045396399534,143.77007768648375,5.0462726793234225,143.77007768648375,-17.41,-17.41,0.0,0.0,-17.41,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,-3,0.05804156686932749,0.13886498486149046,-18.009999999999994,,0.0,-17.41,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
10.0,15,,-7.799999999999999,-13.16363636363636,105.6,0.0,89.8,0.0,Fri 11-19 11-19,A,229 (Ⅳ),Southeast Missouri St.,"W, 72-60",65,111.0,50.8,21.6,45.7,23.7,92.5,40.5,18.5,31.0,32.8,-15.5,-2.0,147.5,94.8,84.0,91.2,87.92727272727272,96.7,103.6,99.0,101.09090909090908,20211119,101.3,102.0,-0.7000000000000028,101.0,105.6,-4.599999999999994,99.8,102.1,-2.27,71.1,-0.05312483935969681,150.84921518155116,73.72958748221907,1.4514639055111616,158.18311852350362,19.454247148637172,158.18311852350362,1.4514639055111616,158.18311852350362,19.454247148637172,160.9822213556723,97.9,106.0,-8.1,72.9,101.3,102.0,-0.7000000000000028,101.0,105.6,-4.599999999999994,19.25062161560497,160.938559035953,0,92.54720506741069,97.50942016689314,-4.962215099482449,0.2624719712950995,100.76793724755024,114.52187669182604,-13.753939444275801,-25.03477932511108,2021-11-19,-1.515510132136555,153.77149661685985,-16.842833855983606,153.77149661685985,17.27,-0.14000000000000057,-17.41,-17.41,17.27,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,-3,0.5755320005597261,0.557381752135605,-5.529999999999999,,-18.009999999999994,-0.06999999999999984,-17.41,-1,-1.0,1,-1,-1,-1,-3.0,0.0
-26.0,-29,-11.166666666666666,-15.1,-16.170247933884294,81.0,90.2,110.7,101.36666666666667,Fri 11-26 11-26,H,116 (Ⅲ),Morehead St.,"L, 75-51",67,76.2,39.2,23.9,27.8,37.3,112.1,60.8,25.4,41.9,13.3,-9.0,-2.0,135.0,87.9,94.8,87.80000000000001,86.66776859504132,103.7,96.7,102.9,102.8380165289256,20211126,102.4,102.3,0.1000000000000085,100.5,101.8,-1.2999999999999972,101.3,102.6,-1.28,68.4,-3.558772439699105,131.1591039179749,64.8,-4.805287719818537,137.67803718861853,-9.46602511088463,137.67803718861853,-4.805287719818537,137.67803718861853,-9.46602511088463,120.86639601821899,99.2,100.3,-1.1,66.6,102.4,102.3,0.1000000000000085,100.5,101.8,-1.2999999999999972,-9.524066545302626,121.13145887061404,0,83.54481511652244,102.47915183809975,-18.93433672157731,-22.009649277058955,99.62460752372456,99.1252238238791,0.4993836998454668,-2.582206822330708,2021-11-26,9.376467110797051,122.56957638326173,10.997680029197575,122.56957638326173,-27.72,-27.86,-11.653333333333334,-0.14000000000000057,-16.206666666666663,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,3,0.5755320005597261,0.18592942504133825,-13.82,-9.886666666666667,-5.529999999999999,-9.286666666666667,-0.06999999999999984,-1,-1.0,-1,-1,-1,-3,-1.0,-3.0
6.5,14,0.0333333333333314,-5.400000000000002,-10.684748309541694,103.7,96.76666666666668,89.7,96.73333333333332,Sun 11-28 11-28,H,204 (Ⅳ),UMKC,"W, 66-55",63,105.1,60.5,22.3,16.7,48.8,87.6,45.8,20.7,17.2,29.2,-10.0,-4.5,131.0,95.8,87.9,93.1,89.76453794139745,96.7,103.7,98.5,100.44928625093912,20211128,100.2,102.8,-2.5999999999999943,100.4,101.7,-1.2999999999999972,99.5,103.5,-3.98,68.3,-3.2021574117958735,129.29360084837666,63.9280227596017,-2.909461025508236,134.55757519623222,3.4191377168303165,134.55757519623222,-2.909461025508236,134.55757519623222,3.4191377168303165,124.0958948689742,98.5,101.8,-3.28,65.8,100.2,102.8,-2.5999999999999943,100.4,101.7,-1.2999999999999972,3.5464818287709945,124.0180737643473,0,88.3449433826307,99.893449613746,-11.548506231115297,-13.319406972931167,104.03428956712318,103.58084185680464,0.45344771031854236,-1.438426840027705,2021-11-28,4.556148108522294,128.00044436438912,5.937372525180251,128.00044436438912,17.98,-9.879999999999999,-17.055555555555557,-27.86,7.175555555555558,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.6658824291023754,0.3321736790989691,-1.4200000000000021,4.013333333333331,-13.82,-2.4699999999999998,-9.286666666666667,-1,-1.0,1,-1,-1,-1,-3.0,-1.0
-2.5,7,-2.800000000000002,-1.1666666666666696,-7.414794071443206,123.3,102.66666666666669,116.0,105.46666666666664,Sat 12-04 12-04,H,292 (Ⅳ),Central Arkansas,"W, 95-82",72,132.3,65.1,25.1,60.9,56.6,114.2,51.6,18.1,39.5,38.1,34.5,-15.5,142.5,109.55,95.8,103.16666666666669,95.8618946793252,106.35,96.7,104.33333333333334,103.27668875076836,20211204,100.9,102.5,-1.5999999999999943,93.6,109.2,-15.600000000000009,100.1,103.3,-3.15,68.0,-14.9834974780169,144.2511930451098,70.61166429587482,-14.462386684051822,149.24189541394543,-9.930513403788114,149.24189541394543,-14.462386684051822,149.24189541394543,-9.930513403788114,132.21791076190235,91.6,110.1,-18.46,73.0,100.9,102.5,-1.5999999999999943,93.6,109.2,-15.600000000000009,-11.838491381950492,130.7432991294324,0,93.5963882852446,105.7844015150486,-12.188013229804,-15.477679460270808,92.2536282296238,103.39143185227884,-11.137803622655042,-5.392463832089632,2021-12-04,-3.33987181365066,140.4372797313113,5.350526579877261,140.4372797313113,10.15,0.27000000000000135,-14.663703703703705,-9.879999999999999,14.933703703703706,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,3,0.9300536172447476,0.6247890220702579,1.9833333333333303,0.34999999999999787,-1.4200000000000021,0.053999999999999826,-2.4699999999999998,1,-1.0,1,1,-1,3,-1.0,-3.0
0.0,-13,2.5,-5.377777777777778,-8.575740603908077,96.0,107.66666666666669,109.8,105.16666666666669,Wed 12-08 12-08,A,350 (Ⅳ),Arkansas Pine Bluff,"W, 84-73",73,115.9,55.9,16.6,26.7,37.3,100.7,49.2,13.8,28.2,28.1,14.0,-11.0,143.0,102.775,109.55,100.7777777777778,95.8870047376297,108.075,106.35,106.15555555555557,104.46274534153775,20211208,102.4,103.8,-1.3999999999999917,91.4,111.5,-20.099999999999994,101.5,104.8,-3.3,67.7,-12.15139983655407,138.12842794150026,67.6036984352774,-9.317342049027019,144.43612036295224,-8.467426057474693,144.43612036295224,-9.317342049027019,144.43612036295224,-8.467426057474693,139.794699743959,86.9,113.2,-26.31,70.2,102.4,103.8,-1.3999999999999917,91.4,111.5,-20.099999999999994,-5.41082630225589,140.4990831380045,0,95.61829687129308,102.73710763725468,-7.118810765961598,-9.593454481618906,102.88571113088018,103.8589949071816,-0.9732837763014146,-1.881364687641748,2021-12-08,8.404480382244529,142.13643732051622,6.997957853505369,142.13643732051622,-9.7,-9.429999999999998,-9.685802469135805,0.27000000000000135,0.25580246913580673,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,3,0.8525929209684728,0.21173180740786202,-2.0777777777777784,5.8,1.9833333333333303,-1.5716666666666668,0.053999999999999826,-1,1.0,1,-1,1,-1,3.0,-1.0
-13.5,-11,-6.133333333333336,-7.551851851851854,-9.180151403197518,93.0,104.1,104.9,110.23333333333336,Sat 12-11 12-11,A,351 (Ⅳ),Mississippi Valley St.,"W, 82-77",79,103.3,60.0,30.2,36.0,84.4,97.0,48.6,20.2,26.8,17.1,11.5,-18.5,147.5,97.8875,102.775,98.1851851851852,95.36209478533338,106.4875,108.075,105.73703703703706,104.54224618853088,20211211,102.2,104.6,-2.3999999999999915,86.9,115.0,-28.099999999999994,101.8,105.3,-3.53,67.9,-18.66590109121985,145.73256867939085,70.79758179231864,-15.06790626748932,150.46466189856508,-14.39010311600294,150.46466189856508,-15.06790626748932,150.46466189856508,-14.39010311600294,140.42035530052019,83.3,117.9,-34.55,73.3,102.2,104.6,-2.3999999999999915,86.9,115.0,-28.099999999999994,-14.776745086923679,140.7544606094589,0,96.0302946645226,101.67709300914188,-5.646798344619285,-6.079300745351917,93.18388951534564,103.71593936299448,-10.532049847648835,-6.7422956309438336,2021-12-11,0.42640390871804357,140.70405445951087,1.3858646212368484,140.70405445951087,-7.470000000000001,-16.9,-9.60053497942387,-9.429999999999998,-7.299465020576129,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,3,0.9609573050315723,0.48380344737225434,-4.021851851851855,-2.6033333333333366,-2.0777777777777784,-2.4142857142857146,-1.5716666666666668,-1,-1.0,-1,-1,-1,-3,-1.0,3.0
10.5,2,-7.800000000000002,-4.267901234567904,-7.092851148070697,112.3,100.43333333333334,110.0,108.23333333333336,Tue 12-14 12-14,A,4 (I-A),Texas Tech,"L, 75-62",65,95.9,51.9,15.5,17.1,26.4,116.1,63.0,23.2,31.8,32.0,-4.0,23.5,141.0,105.09375,97.8875,102.89012345679016,98.44171391527276,108.24375,106.4875,107.15802469135804,105.53456506334344,20211214,100.7,104.5,-3.799999999999997,106.3,90.0,16.299999999999997,100.5,105.3,-4.8,68.5,21.26823103567969,133.72943313421737,65.57681365576101,17.553488782966518,136.0450588445397,21.08038906340324,136.0450588445397,17.553488782966518,136.0450588445397,21.08038906340324,130.4855055277584,109.7,88.2,21.53,67.3,100.7,104.5,-3.799999999999997,106.3,90.0,16.299999999999997,19.919075972916804,132.0508730559147,0,97.33805142888332,102.01755139812414,-4.679499969240823,-6.592906677334512,102.87872609526477,92.45437820583048,10.424347889434287,13.045136093265898,2021-12-14,13.732236269160431,131.3913585415298,14.773389826126767,131.3913585415298,6.8,-10.099999999999998,-12.03368998628258,-16.9,1.933689986282582,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.012607422565682258,0.09546514457316135,0.5320987654320959,-3.0000000000000018,-4.021851851851855,-1.2625000000000002,-2.4142857142857146,1,-1.0,1,-1,-1,1,-3.0,-1.0
16.5,22,4.166666666666662,4.521399176954729,-1.785060030239661,102.6,102.63333333333333,80.5,98.46666666666664,Sun 12-19 12-19,H,261 (Ⅳ),Air Force,"W, 68-46",63,107.1,51.8,23.6,45.5,24.6,72.5,37.5,23.6,27.5,12.5,-15.0,-5.5,129.0,103.846875,105.09375,102.79341563786012,99.19776593067772,94.371875,108.24375,98.27201646090536,100.98282596091737,20211219,100.7,105.1,-4.399999999999992,93.5,99.9,-6.400000000000006,100.5,105.1,-4.57,68.4,-5.685660177522571,127.02391989581801,63.14594594594596,-5.120636800533227,128.97733128793965,-5.260372823713522,128.97733128793965,-5.120636800533227,128.97733128793965,-5.260372823713522,127.99656401124071,94.5,102.2,-7.7,64.9,100.7,105.1,-4.399999999999992,93.5,99.9,-6.400000000000006,-2.4823513114685047,121.51146064596668,0,98.09740539268356,99.54054716298334,-1.443141770299789,-2.39863475653152,93.48260011382038,98.39258100915688,-4.909980895336503,-1.094857288202143,2021-12-19,-5.688906703620383,122.9721494953744,-0.9139198907050883,122.9721494953744,26.57,16.470000000000002,-11.38912665752172,-10.099999999999998,27.85912665752172,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,3,0.6997944856925475,0.7060220742342418,9.091399176954729,8.736666666666661,0.5320987654320959,1.8299999999999998,-1.2625000000000002,1,1.0,1,1,-1,3,1.0,-3.0
13.5,12,12.36666666666666,7.247599451303149,0.8485872479857302,95.1,103.33333333333331,82.4,90.96666666666664,Sat 1-01 1-01,H,251 (Ⅳ),Georgia Southern,"W, 74-56",75,98.3,48.2,23.9,30.3,35.1,74.4,38.3,26.6,29.3,28.3,-6.5,-4.5,136.5,99.4734375,103.846875,100.22894375857342,98.4527175796454,88.38593750000001,94.371875,92.98134430727023,97.60413033165965,20220101,101.1,103.8,-2.700000000000003,96.8,99.3,-2.5,100.9,104.2,-3.27,68.4,-4.4637007417415475,132.2104919512747,65.87027027027028,-3.7401332132616005,135.67818083458403,-7.947124912936396,135.67818083458403,-3.7401332132616005,135.67818083458403,-7.947124912936396,132.96591639306467,96.2,100.5,-4.35,67.7,101.1,103.8,-2.700000000000003,96.8,99.3,-2.5,-3.23290532477921,130.5739730700298,0,98.18236510979216,97.78278076630674,0.39958434348541516,0.5042457759596568,98.72445648436891,98.81356428288734,-0.08910779851842676,2.6339701868296777,2022-01-01,-3.9854735909770156,130.74612944102265,-0.47045246082451797,130.74612944102265,15.27,31.740000000000002,-2.1027511050144803,16.470000000000002,33.842751105014486,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,-3,0.6658824291023754,0.6478672798692783,10.517599451303148,15.63666666666666,9.091399176954729,3.174,1.8299999999999998,1,1.0,1,1,1,3,3.0,1.0
